EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,FtPoints,Points,OpponentPoints,PenaltyFtPoints,PenaltyPoints,FoulsDrawn,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,TsPct,PenaltyTsPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,FG2M,FG2A,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,TwoPtShootingFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,LongMidRangeFGM,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGA,ThreePtAssists,Corner3Assists,OffThreePtRebounds,LiveBallTurnovers,BadPassTurnovers,Blocked2s,BlockedShortMidRange,Blocks,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,LiveBallTurnoverPct,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,Avg3ptShotDistance,LostBallTurnovers,DefAtRimReboundPct,PtsPutbacks,SecondChanceTurnovers,BlockingFoulsDrawn,Blocked3s,BlockedArc3,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,OffCorner3ReboundPct,BlocksRecoveredPct,Arc3FGM,PenaltyArc3FGM,NonHeaveArc3FGM,Arc3Assists,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,HeaveAttempts,Fg2aBlocked,FTDefRebounds,SelfOReb,Charge Fouls,Loose Ball Fouls Drawn,BlockedAtRim,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,SelfORebPct,ShortMidRangeFGM,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,StepOutOfBoundsTurnovers,OffAtRimReboundPct,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFtPoints,PtsUnassisted3s,ShortMidRangeAssists,LongMidRangeAssists,LostBallSteals,LostBallOutOfBoundsTurnovers,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,3SecondViolations,Defensive 3 Seconds Violations,SecondChanceFg3Pct,ShortMidRangePctBlocked,LongMidRangePctBlocked,ShortMidRangePctAssisted,LongMidRangePctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,FTOffRebounds,Travels,BlockingFouls,Charge Fouls Drawn,ThreePtShootingFoulsDrawn,BlockedCorner3,DefensiveGoaltends,OffFTReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,Clear Path Fouls,OffensiveGoaltends,FG3APctBlocked,Arc3PctBlocked,BlockedLongMidRange,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
101108-200755-201150-201933-203085,1610612746,"Chris Paul, JJ Redick, Spencer Hawes, Blake Griffin, Austin Rivers","Paul, Redick, Hawes, Griffin, Rivers",101108-200755-201150-201933-203085,LAC,49.0,1,1.0,-3.0,3.0,3.0,3.0,3.0,6.0,3.0,3.0,6.0,3.0,3.0,3.0,6.0,3.0,3.0,3.0,3.0,2.0,0.5,0.5,176.3265306122449,4.0,12.333333333333334,4.0,12.333333333333334,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2015,2014-15,True
101108-200755-201150-201933-2037,1610612746,"Chris Paul, JJ Redick, Spencer Hawes, Blake Griffin, Jamal Crawford","Paul, Redick, Hawes, Griffin, Crawford",101108-200755-201150-201933-2037,LAC,223.0,1,4.0,4.0,7.0,9.0,5.0,,16.0,4.0,8.0,4.0,4.0,8.0,2.0,4.0,1.0,6.0,8.0,5.0,,0.6666666666666666,0.8,103.31838565022422,8.857142857142858,17.88888888888889,8.714285714285714,16.333333333333332,1.0,0.7142857142857143,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,6.0,1.0,7.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,1.0,1.0,0.5,0.75,0.8571428571428571,0.5,1.0,1.0,1.0,0.6666666666666666,1.0,0.5,1.0,1.0,0.5,0.25,0.25,1.0,1.0,1.0,0.6666666666666666,1.0,0.5,0.54595,0.8274,0.5945,0.2,0.2,0.25,7.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2015,2014-15,True
101108-200755-201150-201933-2440,1610612746,"Chris Paul, JJ Redick, Spencer Hawes, Blake Griffin, Matt Barnes","Paul, Redick, Hawes, Griffin, Barnes",101108-200755-201150-201933-2440,LAC,336.0,1,6.0,-2.0,11.0,11.0,5.0,,22.0,2.0,14.0,16.0,2.0,8.0,2.0,4.0,1.0,14.0,8.0,5.0,1.0,0.5833333333333334,0.6666666666666666,94.28571428571429,13.818181818181818,16.727272727272727,13.0,16.454545454545453,0.5714285714285714,0.45454545454545453,2.0,2.0,2.0,,,,,2.0,2.0,3.0,6.0,,1.0,,,2.0,,6.0,,2.0,,6.0,1.0,3.0,1.0,4.0,2.0,6.0,,,,,1.0,,,2.0,,,1.0,,,0.5,,,0.6,,0.6,,0.5,0.3333333333333333,1.0,0.8,0.4,,,1.0,1.0,1.0,0.2,1.0,1.0,,0.2,0.2,,,,,,0.6,0.53281,0.5277,0.49774,0.09090909090909091,0.14285714285714285,,8.633333333333333,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,1.0,2.0,3.0,6.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,0.5,0.4,1.0,0.5,1.0,0.5,0.5,0.5,0.2,1.0,1.0,1.0,0.2,0.5,0.4,1.0,0.2,25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2015,2014-15,True
101108-200755-201175-201599-2037,1610612746,"Chris Paul, JJ Redick, Glen Davis, DeAndre Jordan, Jamal Crawford","Paul, Redick, Davis, Jordan, Crawford",101108-200755-201175-201599-2037,LAC,219.0,3,4.0,-7.0,8.0,8.0,5.0,7.0,16.0,2.0,4.0,11.0,2.0,2.0,1.0,2.0,1.0,4.0,2.0,5.0,1.0,0.3333333333333333,0.25,105.2054794520548,13.75,13.625,13.75,13.0,0.5,0.625,,1.0,1.0,,,,,1.0,1.0,1.0,3.0,,,,,2.0,2.0,,1.0,1.0,1.0,2.0,,1.0,2.0,3.0,,3.0,,,,,2.0,1.0,,2.0,,,,1.0,1.0,0.3333333333333333,,,0.2,,,,1.0,,1.0,1.0,,,1.0,,1.0,,0.2,1.0,1.0,1.0,0.2,0.2,,,,,,0.6,0.47769000000000006,,0.42038333333333333,,,,7.133333333333333,,,1.0,,,1.0,,1.0,,2.0,,,1.0,,1.0,,,,2.0,1.0,,,,,,,,0.4,1.0,,,,,,0.2,,,,0.2,,,,0.3333333333333333,24.45,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2015,2014-15,True
101108-200755-201175-201599-2440,1610612746,"Chris Paul, JJ Redick, Glen Davis, DeAndre Jordan, Matt Barnes","Paul, Redick, Davis, Jordan, Barnes",101108-200755-201175-201599-2440,LAC,217.0,2,4.0,-4.0,8.0,9.0,4.0,4.0,17.0,2.0,9.0,13.0,2.0,4.0,2.0,4.0,,7.0,4.0,4.0,,0.5625,0.6666666666666666,112.8110599078341,12.375,13.11111111111111,11.25,12.88888888888889,0.4444444444444444,0.5,2.0,1.0,1.0,1.0,1.0,,,1.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,1.0,,4.0,,1.0,,3.0,2.0,2.0,,2.0,3.0,5.0,,,1.0,1.0,3.0,1.0,1.0,4.0,,,2.0,,,0.5,0.5,1.0,0.5833333333333334,0.5,1.0,0.5,,1.0,1.0,0.5,1.0,1.0,,,1.0,,0.16666666666666666,1.0,1.0,,0.16666666666666666,0.3333333333333333,0.5,1.0,,,,0.5,0.4918833333333333,0.5331,0.4196,0.25,0.3333333333333333,0.2222222222222222,10.45,1.0,1.0,2.0,,,,,,1.0,2.0,,,,3.0,,1.0,1.0,1.0,2.0,2.0,,,1.0,1.0,0.5,,0.5,0.3333333333333333,0.6666666666666666,1.0,1.0,,0.5,0.5,0.3333333333333333,0.5,0.5,1.0,,,,,,23.6,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2015,2014-15,True
101108-200755-201175-201933-203085,1610612746,"Chris Paul, JJ Redick, Glen Davis, Blake Griffin, Austin Rivers","Paul, Redick, Davis, Griffin, Rivers",101108-200755-201175-201933-203085,LAC,63.0,1,1.0,1.0,1.0,2.0,1.0,2.0,3.0,,3.0,2.0,,3.0,,,,3.0,3.0,1.0,,1.5,1.5,68.57142857142857,23.0,20.0,23.0,20.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,1.0,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,1.5,,1.5,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,1.0,0.41745,,0.41745,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,1.0,3.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,1.0,26.9,,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2015,2014-15,True
101108-200755-201175-201933-2037,1610612746,"Chris Paul, JJ Redick, Glen Davis, Blake Griffin, Jamal Crawford","Paul, Redick, Davis, Griffin, Crawford",101108-200755-201175-201933-2037,LAC,383.0,5,6.0,-9.0,13.0,15.0,9.0,14.0,28.0,4.0,7.0,16.0,2.0,5.0,3.0,4.0,,7.0,5.0,9.0,,0.2692307692307692,0.25,105.27415143603133,14.538461538461538,12.933333333333334,13.076923076923077,12.733333333333333,0.7142857142857143,0.6923076923076923,2.0,,2.0,,1.0,,1.0,1.0,2.0,,5.0,,1.0,,,4.0,,,,1.0,,3.0,1.0,1.0,5.0,7.0,2.0,9.0,,,,1.0,2.0,1.0,2.0,4.0,,,2.0,,,,,,0.13636363636363635,,0.16666666666666666,,0.8333333333333334,0.2,1.0,0.8571428571428571,0.2222222222222222,1.0,0.6666666666666666,1.0,1.0,,0.18181818181818182,,,,0.09090909090909091,0.18181818181818182,0.5,,,0.1111111111111111,,0.7272727272727273,0.48239,0.51555,0.4790625,0.15384615384615385,0.2857142857142857,,10.82,,,1.0,,,5.0,1.0,5.0,1.0,6.0,1.0,1.0,5.0,3.0,4.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,0.16666666666666666,0.2,0.2,0.5454545454545454,0.5,0.25,,,,,0.09090909090909091,,,,0.45454545454545453,0.5,,,0.5555555555555556,30.650000000000002,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.2,1.0,0.2,0.25,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2015,2014-15,True
101108-200755-201175-201933-2440,1610612746,"Chris Paul, JJ Redick, Glen Davis, Blake Griffin, Matt Barnes","Paul, Redick, Davis, Griffin, Barnes",101108-200755-201175-201933-2440,LAC,59.0,1,1.0,-2.0,1.0,2.0,1.0,2.0,3.0,,2.0,4.0,,2.0,,,,2.0,2.0,1.0,,1.0,1.0,73.22033898305085,23.0,18.0,23.0,18.0,1.0,1.0,,,,,,,,1.0,,1.0,1.0,,,,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,0.3848,,0.3848,,,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2015,2014-15,True
101108-200755-201175-203085-2037,1610612746,"Chris Paul, JJ Redick, Glen Davis, Austin Rivers, Jamal Crawford","Paul, Redick, Davis, Rivers, Crawford",101108-200755-201175-203085-2037,LAC,3.0,1,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,480.0,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2015,2014-15,True
101108-200755-201175-2037-2440,1610612746,"Chris Paul, JJ Redick, Glen Davis, Jamal Crawford, Matt Barnes","Paul, Redick, Davis, Crawford, Barnes",101108-200755-201175-2037-2440,LAC,32.0,1,1.0,,2.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,,2.0,2.0,2.0,,0.5,0.5,135.0,13.0,6.0,13.0,6.0,1.0,1.0,1.0,,1.0,,,,1.0,,,,1.0,,,,,1.0,,,,,,,1.0,,,,1.0,1.0,,,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,1.0,,1.0,0.338,,0.338,0.5,0.5,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2015,2014-15,True
