EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Charge Fouls,Loose Ball Fouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,Corner3Assists,FTDefRebounds,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,BlockedShortMidRange,PenaltyFg3Pct,DefFTReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsPutbacks,ShortMidRangeAssists,OffTwoPtRebounds,OffRebounds,SelfOReb,Loose Ball Fouls Drawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,SelfORebPct,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,OffThreePtRebounds,OffThreePtReboundPct,OffArc3ReboundPct,LostBallTurnovers,SecondChanceCorner3FGA,SecondChanceFG3A,SecondChanceFtPoints,NonShootingPenaltyNonTakeFouls,OffCorner3ReboundPct,SecondChanceCorner3Frequency,LongMidRangeFGM,LongMidRangeAssists,LostBallSteals,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,HeaveAttempts,PtsUnassisted3s,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Travels,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceArc3FGA,PenaltyArc3FGM,BadPassOutOfBoundsTurnovers,SecondChanceArc3Frequency,PenaltyArc3Accuracy,LostBallOutOfBoundsTurnovers,BlockingFouls,SecondChanceAtRimPctAssisted,SecondChanceArc3FGM,SecondChanceFG3M,Offensive Fouls,Charge Fouls Drawn,Offensive Fouls Drawn,Blocked3s,BlockedArc3,SecondChanceFg3Pct,ShortMidRangePctBlocked,LongMidRangePctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,BlockedLongMidRange,3SecondViolations,BlockingFoulsDrawn,SecondChanceCorner3FGM,FTOffRebounds,OffFTReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedCorner3,Defensive 3 Seconds Violations,OffensiveGoaltends,StepOutOfBoundsTurnovers,HeaveMakes,Clear Path Fouls,DefensiveGoaltends,Corner3PctBlocked,team_id,year,season,team_vs
1713-201144-201145-201188-201584,1610612763,"Vince Carter, Mike Conley, Jeff Green, Marc Gasol, Courtney Lee","Carter, Conley, Green, Gasol, Lee",1713-201144-201145-201188-201584,MEM,296.0,6,5.0,6.0,11.0,11.0,5.0,1.0,1.0,22.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,4.0,13.0,7.0,2.0,2.0,4.0,8.0,4.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,7.0,2.0,5.0,7.0,7.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,13.0,6.0,4.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.6,1.0,0.75,1.0,0.8125,1.0,0.16666666666666666,0.2,0.25,0.6666666666666666,0.625,0.6666666666666666,0.6363636363636364,1.0,0.3333333333333333,0.5,0.5,1.0,107.02702702702702,1.0,8.090909090909092,18.818181818181817,7.2727272727272725,16.272727272727273,0.6666666666666666,0.75,1.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,0.6316166666666666,0.6447,0.6153846153846154,3.72,24.7,0.45454545454545453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2015,2014-15,False
1713-201144-201145-201188-201585,1610612763,"Vince Carter, Mike Conley, Jeff Green, Marc Gasol, Kosta Koufos","Carter, Conley, Green, Gasol, Koufos",1713-201144-201145-201188-201585,MEM,282.0,1,5.0,3.0,9.0,9.0,4.0,,,18.0,1.0,1.0,,,,,2.0,2.0,2.0,1.0,3.0,7.0,14.0,11.0,,,1.0,4.0,,4.0,3.0,2.0,,,,1.0,1.0,,,3.0,1.0,2.0,4.0,4.0,,,1.0,1.0,,1.0,,,1.0,1.0,,,5.0,8.0,1.0,2.0,1.0,2.0,1.0,14.0,4.0,4.0,1.0,,,1.0,0.3333333333333333,0.3333333333333333,1.0,,0.7,0.5,0.8125,0.5,0.6,,,1.0,0.4,0.5,0.42857142857142855,1.0,,0.5,,1.0,91.91489361702128,0.5,14.333333333333334,17.0,14.333333333333334,14.444444444444445,0.2,1.0,1.0,,,0.4,,,,,,0.8,,0.5575300000000001,0.5671499999999999,0.2857142857142857,2.7,25.03333333333333,0.4444444444444444,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,0.3333333333333333,1.0,0.2,1.0,1.0,0.2,1.0,1.0,1.0,0.3333333333333333,1.0,0.6666666666666666,0.42857142857142855,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2015,2014-15,False
1713-201144-201145-201188-201979,1610612763,"Vince Carter, Mike Conley, Jeff Green, Marc Gasol, Nick Calathes","Carter, Conley, Green, Gasol, Calathes",1713-201144-201145-201188-201979,MEM,3.0,1,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,480.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2015,2014-15,False
1713-201144-201145-201188-2216,1610612763,"Vince Carter, Mike Conley, Jeff Green, Marc Gasol, Zach Randolph","Carter, Conley, Green, Gasol, Randolph",1713-201144-201145-201188-2216,MEM,423.0,5,7.0,,12.0,12.0,4.0,6.0,3.0,24.0,5.0,7.0,2.0,2.0,3.0,,,8.0,16.0,,,2.0,18.0,18.0,2.0,3.0,1.0,5.0,8.0,8.0,,,,,4.0,,4.0,,2.0,8.0,2.0,2.0,4.0,9.0,,,1.0,1.0,,1.0,,1.0,2.0,4.0,,,3.0,2.0,,2.0,2.0,2.0,1.0,12.0,5.0,4.0,,0.5,0.5714285714285714,,,,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5625,0.8333333333333334,,,,1.0,0.4,1.0,0.5714285714285714,0.3333333333333333,,1.0,1.0,1.0,81.70212765957447,0.5,17.083333333333332,18.166666666666668,14.916666666666666,16.166666666666668,0.4375,0.7142857142857143,0.7142857142857143,0.4,0.1875,,,,,0.6666666666666666,1.0,0.4375,,0.52810625,0.5972333333333334,0.2777777777777778,7.1375,,0.3333333333333333,3.0,6.0,,,,,,,,,,2.0,,2.0,,,,0.375,0.5,0.5,,,,,,,,0.125,0.125,1.0,2.0,3.0,4.0,6.0,2.0,2.0,5.0,5.0,2.0,1.0,0.75,0.75,0.75,0.625,0.625,0.5,0.3333333333333333,1.0,0.25,0.6666666666666666,0.5,0.5,0.50715,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2015,2014-15,False
1713-201144-201145-201188-2754,1610612763,"Vince Carter, Mike Conley, Jeff Green, Marc Gasol, Tony Allen","Carter, Conley, Green, Gasol, Allen",1713-201144-201145-201188-2754,MEM,230.0,2,4.0,-4.0,9.0,9.0,,2.0,1.0,18.0,1.0,3.0,,,1.0,,3.0,1.0,5.0,,3.0,3.0,5.0,9.0,,,,,2.0,,,3.0,,1.0,1.0,,1.0,,1.0,2.0,1.0,3.0,4.0,5.0,1.0,1.0,1.0,1.0,,1.0,,,2.0,3.0,,,3.0,4.0,,1.0,1.0,1.0,1.0,5.0,,,,1.0,1.0,,,,0.2,,0.125,,0.25,,0.375,0.2,0.3333333333333333,1.0,0.75,1.0,0.8,0.6666666666666666,,1.0,1.0,,112.69565217391303,1.0,13.777777777777779,11.777777777777779,13.666666666666666,11.777777777777779,0.375,0.3333333333333333,0.5,1.0,0.125,0.375,,,,,,0.75,,0.52821875,,,7.8,25.066666666666666,,,1.0,,,,,,,,,,,,2.0,,,,0.125,,,,,,,,,,0.2,0.2857142857142857,,1.0,,1.0,,,,,1.0,,,,,,,0.14285714285714285,,,,,,1.0,,,,1.0,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2015,2014-15,False
1713-201144-201145-201188-2757,1610612763,"Vince Carter, Mike Conley, Jeff Green, Marc Gasol, Beno Udrih","Carter, Conley, Green, Gasol, Udrih",1713-201144-201145-201188-2757,MEM,105.0,1,2.0,-3.0,5.0,3.0,5.0,,,8.0,1.0,1.0,1.0,1.0,2.0,,,1.0,4.0,,,,2.0,5.0,1.0,4.0,,2.0,2.0,,,,,,1.0,,1.0,,1.0,2.0,,1.0,1.0,1.0,,,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,,2.0,2.0,5.0,,1.0,1.0,,,,0.25,0.25,0.25,0.25,0.25,0.25,,,,1.0,1.0,,1.0,,1.0,,,,109.71428571428571,,14.2,11.333333333333334,14.2,11.333333333333334,0.25,1.0,1.0,1.0,0.5,,,,,0.25,1.0,0.25,,0.509975,0.509975,1.0,12.575,,1.0,,1.0,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2015,2014-15,False
1713-201144-201145-201584-201585,1610612763,"Vince Carter, Mike Conley, Jeff Green, Courtney Lee, Kosta Koufos","Carter, Conley, Green, Lee, Koufos",1713-201144-201145-201584-201585,MEM,256.0,3,4.0,-10.0,6.0,7.0,3.0,1.0,2.0,13.0,1.0,3.0,,1.0,,,,2.0,5.0,,1.0,2.0,6.0,16.0,,2.0,2.0,2.0,2.0,2.0,,,,,1.0,,1.0,,,2.0,,,,2.0,,,1.0,1.0,,1.0,,1.0,1.0,3.0,,,1.0,2.0,,,,,,4.0,2.0,3.0,,0.5,0.5,,,,0.4,,0.3333333333333333,,0.42857142857142855,0.25,0.16666666666666666,,,1.0,,,,,,,,,73.125,,23.333333333333332,16.571428571428573,17.5,16.428571428571427,0.5,0.3333333333333333,0.3333333333333333,,,,,,,0.3333333333333333,,0.6666666666666666,,0.5161083333333333,0.5150166666666667,0.3333333333333333,2.92,23.6,0.5,1.0,2.0,,1.0,,1.0,,,1.0,,,,,1.0,,,,0.3333333333333333,0.5,0.5,0.16666666666666666,,,,0.3333333333333333,,,0.14285714285714285,0.16666666666666666,,1.0,,1.0,2.0,,1.0,1.0,2.0,,,,,0.3333333333333333,0.3333333333333333,0.5,,1.0,,,1.0,0.5,,0.606775,0.3333333333333333,1.0,1.0,,,1.0,1.0,2.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2015,2014-15,False
1713-201144-201145-201584-2216,1610612763,"Vince Carter, Mike Conley, Jeff Green, Courtney Lee, Zach Randolph","Carter, Conley, Green, Lee, Randolph",1713-201144-201145-201584-2216,MEM,241.0,2,4.0,1.0,7.0,6.0,,,,13.0,2.0,2.0,,,2.0,,2.0,4.0,5.0,,2.0,,8.0,7.0,,,,,2.0,6.0,,2.0,,,1.0,,1.0,,,2.0,1.0,,1.0,1.0,1.0,,,,,,,,1.0,2.0,,,1.0,,,,,,,8.0,,,,0.25,0.25,,,,0.8,,0.5714285714285714,,0.5714285714285714,,0.2857142857142857,,,,,1.0,0.5,,,,,1.0,77.67634854771784,,19.285714285714285,17.666666666666668,19.285714285714285,17.666666666666668,0.2857142857142857,1.0,1.0,,0.2857142857142857,0.2857142857142857,,,,,,0.5714285714285714,,0.5170714285714285,,,8.28,24.1,,,1.0,,,,,,,,,,,,,,,,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2015,2014-15,False
1713-201144-201145-201585-201979,1610612763,"Vince Carter, Mike Conley, Jeff Green, Kosta Koufos, Nick Calathes","Carter, Conley, Green, Koufos, Calathes",1713-201144-201145-201585-201979,MEM,356.0,3,6.0,-3.0,12.0,11.0,1.0,8.0,2.0,23.0,3.0,4.0,,,1.0,,3.0,7.0,11.0,,3.0,1.0,15.0,18.0,,1.0,,,6.0,8.0,,2.0,,,3.0,,3.0,,2.0,6.0,1.0,2.0,4.0,6.0,,,1.0,1.0,,1.0,,,1.0,3.0,,,2.0,1.0,,,,,,13.0,,1.0,,0.42857142857142855,0.42857142857142855,,,,0.6363636363636364,,0.5,,0.5357142857142857,,0.21428571428571427,,,1.0,0.6666666666666666,1.0,0.75,0.5,,1.0,1.0,,93.03370786516854,,13.833333333333334,17.272727272727273,12.5,17.181818181818183,0.2857142857142857,0.75,0.75,0.6666666666666666,0.07142857142857142,0.21428571428571427,,,,,,0.5,,0.5060230769230769,0.3845,,6.2272727272727275,34.63333333333333,0.08333333333333333,4.0,6.0,,,,,1.0,,1.0,,1.0,1.0,,1.0,,,1.0,0.42857142857142855,0.6666666666666666,0.6666666666666666,,,,,,,0.5,0.07142857142857142,0.09090909090909091,,1.0,1.0,2.0,2.0,,1.0,1.0,2.0,,,0.5,0.5,0.5,0.25,0.3333333333333333,,0.5,,,0.25,0.5,,0.51705,0.13333333333333333,1.0,0.5,0.5,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2015,2014-15,False
1713-201144-201145-201585-2216,1610612763,"Vince Carter, Mike Conley, Jeff Green, Kosta Koufos, Zach Randolph","Carter, Conley, Green, Koufos, Randolph",1713-201144-201145-201585-2216,MEM,317.0,3,5.0,-4.0,10.0,13.0,,,,23.0,2.0,3.0,,,1.0,1.0,2.0,3.0,5.0,1.0,3.0,2.0,11.0,15.0,,,,,4.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,7.0,2.0,3.0,5.0,5.0,,,2.0,1.0,,2.0,,,2.0,2.0,,,1.0,2.0,,,,,,11.0,,,,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.5,0.6,,0.5625,,0.6111111111111112,,0.375,0.2,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,104.4794952681388,,13.5,14.0,13.5,13.846153846153847,0.375,0.6666666666666666,1.0,1.0,0.125,0.25,0.5,0.5,1.0,,,0.75,1.0,0.6148,,,5.779999999999999,34.833333333333336,,1.0,1.0,,1.0,,,,,,,,,,1.0,,,,0.125,1.0,1.0,0.125,,,,,,,0.1111111111111111,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2015,2014-15,False
