EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,GamesPlayed,PlusMinus,DefPoss,TotalPoss,OpponentPoints,Fouls,SecondsPlayed,OffPoss,PenaltyOffPoss,PenaltyDefPoss,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,PenaltyOffPossPct,Minutes,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG3A,NonHeaveArc3FGA,DefTwoPtRebounds,DefRebounds,Rebounds,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg3ptShotDistance,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,FG2M,FG2A,FG3M,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,FTDefRebounds,OffRebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,BlockingFouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,LiveBallTurnoverPct,DefFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,SecondChanceFtPoints,Fg2aBlocked,Loose Ball Fouls Drawn,FG2APctBlocked,AtRimPctBlocked,Corner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyFG3M,Fg3aBlocked,Corner3Assists,SelfOReb,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,PenaltyTurnovers,Charge Fouls Drawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedAtRim,BlockedLongMidRange,RecoveredBlocks,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,FG3APctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,OffShortMidRangeReboundPct,OffCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,Charge Fouls,BlockedCorner3,Technical Free Throw Trips,DefensiveGoaltends,FTOffRebounds,OffFTReboundPct,3SecondViolations,HeaveAttempts,SecondChanceCorner3FGM,Corner3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,team_id,year,season,team_vs
1882-200794-201143-201952-2594,1610612737,"Elton Brand, Paul Millsap, Al Horford, Jeff Teague, Kyle Korver","Brand, Millsap, Horford, Teague, Korver",1882-200794-201143-201952-2594,ATL,1,-1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2015,2014-15,False
1882-200794-201960-203145-203471,1610612737,"Elton Brand, Paul Millsap, DeMarre Carroll, Kent Bazemore, Dennis Schroder","Brand, Millsap, Carroll, Bazemore, Schroder",1882-200794-201960-203145-203471,ATL,1,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2015,2014-15,False
1882-201960-203145-203471-203544,1610612737,"Elton Brand, DeMarre Carroll, Kent Bazemore, Dennis Schroder, Pero Antic","Brand, Carroll, Bazemore, Schroder, Antic",1882-201960-203145-203471-203544,ATL,1,-2.0,1.0,2.0,2.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,261.8181818181818,1.0,10.0,1.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2015,2014-15,False
200794-201143-201952-201960-202714,1610612737,"Paul Millsap, Al Horford, Jeff Teague, DeMarre Carroll, Shelvin Mack","Millsap, Horford, Teague, Carroll, Mack",200794-201143-201952-201960-202714,ATL,1,-2.0,2.0,4.0,2.0,,61.0,2.0,2.0,,2.0,,94.42622950819673,16.5,14.0,16.5,8.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.558825,0.558825,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2015,2014-15,False
200794-201143-201952-201960-203145,1610612737,"Paul Millsap, Al Horford, Jeff Teague, DeMarre Carroll, Kent Bazemore","Millsap, Horford, Teague, Carroll, Bazemore",200794-201143-201952-201960-203145,ATL,6,16.0,58.0,117.0,56.0,11.0,1814.0,59.0,8.0,14.0,8.0,,92.87761852260198,14.542372881355933,16.482758620689655,14.0,15.810344827586206,0.13559322033898305,30.0,16.0,1.0,18.0,1.0,16.0,12.0,23.0,29.0,0.33962264150943394,0.631578947368421,0.6896551724137931,0.3333333333333333,0.3018867924528302,0.125,0.6415094339622641,0.533883962264151,0.53556875,25.177777777777777,5.0,14.0,16.0,3.0,3.0,3.0,5.0,5.0,8.0,4.0,11.0,2.0,5.0,1.0,2.0,23.0,35.0,5.0,11.0,72.0,4.0,4.0,1.0,2.0,11.0,4.0,7.0,1.0,9.0,30.0,16.0,12.0,3.0,2.0,5.0,15.0,4.0,19.0,4.0,9.0,4.0,2.0,42.0,4.0,2.0,8.0,3.0,6.0,6.0,5.0,1.0,5.0,4.0,2.0,1.0,7.0,6.0,1.0,1.0,2.0,11.0,1.0,1.0,13.0,1.0,7.0,2.0,2.0,2.0,61.0,9.0,0.6521739130434783,0.6818181818181818,0.8,0.2777777777777778,0.5,0.2777777777777778,0.6571428571428571,1.0,0.5714285714285714,0.5754716981132075,0.9166666666666666,0.5,0.6101694915254238,0.9166666666666666,0.5,0.7142857142857143,1.0,0.16666666666666666,0.8,0.3076923076923077,0.24,0.5,0.14285714285714285,0.36363636363636365,0.6666666666666666,0.7142857142857143,0.7777777777777778,1.0,0.3018867924528302,0.875,0.875,0.6428571428571429,0.1509433962264151,0.625,0.625,0.8,0.20754716981132076,0.36363636363636365,0.36363636363636365,0.5,0.03773584905660377,0.3125,0.3125,0.8,0.5,1.0,0.6666666666666666,0.3333333333333333,0.5,1.0,0.625,0.6,0.3125,0.597875,0.11864406779661017,0.17073170731707318,0.1527777777777778,0.125,8.17142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2015,2014-15,False
200794-201143-201952-201960-203471,1610612737,"Paul Millsap, Al Horford, Jeff Teague, DeMarre Carroll, Dennis Schroder","Millsap, Horford, Teague, Carroll, Schroder",200794-201143-201952-201960-203471,ATL,5,-1.0,24.0,51.0,28.0,5.0,813.0,27.0,3.0,,3.0,,90.3321033210332,15.37037037037037,16.583333333333332,14.185185185185185,16.333333333333332,0.1111111111111111,14.0,7.0,1.0,7.0,1.0,7.0,6.0,9.0,12.0,0.2916666666666667,0.8571428571428571,0.8888888888888888,1.0,0.2916666666666667,0.3333333333333333,0.6666666666666666,0.5574708333333334,0.4126666666666667,24.985714285714288,3.0,8.0,9.0,1.0,1.0,,,1.0,4.0,1.0,4.0,,,,,10.0,17.0,,7.0,27.0,1.0,1.0,,,6.0,,2.0,,,10.0,10.0,,,,,5.0,,5.0,,4.0,1.0,,10.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,,,1.0,,1.0,4.0,,,,9.0,,1.0,9.0,1.0,5.0,,,,21.0,,0.5,0.5,,,,,0.5882352941176471,1.0,,0.4166666666666667,1.0,,0.48214285714285715,1.0,,,1.0,0.2857142857142857,1.0,0.14285714285714285,0.21428571428571427,1.0,0.3333333333333333,0.14285714285714285,0.6666666666666666,1.0,1.0,1.0,0.375,0.8888888888888888,1.0,0.5,0.16666666666666666,0.25,0.25,1.0,0.16666666666666666,0.25,0.25,,,,,,1.0,1.0,1.0,,,,,,,0.639,0.17857142857142858,0.23809523809523808,0.2222222222222222,,6.788235294117648,4.0,1.0,1.0,0.058823529411764705,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2015,2014-15,False
200794-201143-201952-201960-2594,1610612737,"Paul Millsap, Al Horford, Jeff Teague, DeMarre Carroll, Kyle Korver","Millsap, Horford, Teague, Carroll, Korver",200794-201143-201952-201960-2594,ATL,21,77.0,459.0,927.0,456.0,75.0,14455.0,468.0,76.0,40.0,75.0,5.0,92.3472846765825,14.976495726495726,16.22222222222222,14.256410256410257,15.44880174291939,0.1623931623931624,241.0,103.0,18.0,135.0,22.0,103.0,118.0,180.0,245.0,0.30269058295964124,0.7108433734939759,0.7391304347826086,0.6666666666666666,0.23094170403587444,0.2857142857142857,0.6659192825112108,0.5193505605381166,0.5037492063492064,25.042222222222225,54.0,103.0,162.0,21.0,35.0,12.0,21.0,26.0,73.0,31.0,76.0,32.0,39.0,5.0,13.0,160.0,311.0,51.0,60.0,533.0,25.0,44.0,5.0,15.0,66.0,19.0,41.0,19.0,75.0,200.0,120.0,132.0,21.0,26.0,39.0,100.0,44.0,144.0,32.0,68.0,7.0,25.0,332.0,21.0,44.0,52.0,10.0,65.0,46.0,22.0,24.0,34.0,22.0,24.0,12.0,58.0,40.0,,6.0,6.0,91.0,2.0,,80.0,11.0,36.0,29.0,9.0,30.0,467.0,73.0,0.625,0.6802721088435374,0.8627450980392157,0.37777777777777777,0.3333333333333333,0.37777777777777777,0.5144694533762058,0.5681818181818182,0.4634146341463415,0.5302690582959642,0.5508474576271186,0.4444444444444444,0.5552083333333333,0.559322033898305,0.5208333333333334,0.5862068965517241,0.9090909090909091,0.29931972789115646,0.8125,0.25925925925925924,0.2850877192982456,0.42105263157894735,0.15555555555555556,0.2786885245901639,0.6862745098039216,0.765625,0.7906976744186046,0.8571428571428571,0.3632286995515695,0.6358024691358025,0.6602564102564102,0.6601941747572816,0.16367713004484305,0.3561643835616438,0.4,0.2692307692307692,0.17040358744394618,0.40789473684210525,0.41333333333333333,0.8064516129032258,0.07174887892376682,0.3786407766990291,0.39,0.8205128205128205,0.5932203389830508,0.6,0.42857142857142855,0.22033898305084745,0.38461538461538464,0.8,0.3333333333333333,0.5714285714285714,0.3786407766990291,0.5322363636363637,0.07838983050847458,0.10714285714285714,0.12382739212007504,0.14071294559099437,7.074598070739551,1.0,15.0,7.0,0.04823151125401929,0.037037037037037035,12.0,2.0,1.0,4.0,5.0,6.0,3.0,12.0,8.0,7.0,3.0,3.0,3.0,6.0,12.0,3.0,1.0,8.0,1.0,1.0,17.0,3.0,18.0,1.0,6.0,0.2727272727272727,0.022222222222222223,0.1095890410958904,0.013157894736842105,0.02912621359223301,0.28888888888888886,0.2,0.0380952380952381,0.6,0.375,0.375,1.0,0.03389830508474576,0.06349206349206349,0.25,0.2777777777777778,0.007352941176470588,,,,,,,,,,,,,1610612737,2015,2014-15,False
200794-201143-201952-202714-203145,1610612737,"Paul Millsap, Al Horford, Jeff Teague, Shelvin Mack, Kent Bazemore","Millsap, Horford, Teague, Mack, Bazemore",200794-201143-201952-202714-203145,ATL,2,-6.0,13.0,25.0,16.0,2.0,380.0,12.0,,2.0,,1.0,94.73684210526316,13.416666666666666,16.846153846153847,12.916666666666666,16.692307692307693,,6.0,2.0,,3.0,,2.0,,5.0,6.0,0.25,,0.6666666666666666,,0.16666666666666666,,0.3333333333333333,0.4726166666666667,,25.7,1.0,1.0,1.0,,,,,1.0,5.0,1.0,3.0,1.0,1.0,,,3.0,9.0,1.0,1.0,10.0,,,,1.0,,,,,,2.0,4.0,,3.0,,1.0,1.0,,1.0,,,,1.0,2.0,1.0,,4.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,,,,1.0,,,1.0,1.0,1.0,,,,10.0,,0.3333333333333333,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,0.3333333333333333,,,0.375,,,0.4166666666666667,,,1.0,1.0,,0.8,0.5,0.125,,,1.0,,,0.8,,0.08333333333333333,1.0,1.0,,0.4166666666666667,0.2,0.25,,0.25,0.3333333333333333,0.5,1.0,0.08333333333333333,0.5,0.5,,,,,,,,,,0.5,,0.08333333333333333,0.1111111111111111,,,10.133333333333333,,2.0,,0.2222222222222222,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.3333333333333333,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1610612737,2015,2014-15,False
200794-201143-201952-202714-2594,1610612737,"Paul Millsap, Al Horford, Jeff Teague, Shelvin Mack, Kyle Korver","Millsap, Horford, Teague, Mack, Korver",200794-201143-201952-202714-2594,ATL,1,,3.0,7.0,2.0,,101.0,4.0,,,,,99.8019801980198,14.0,15.0,14.0,15.0,,2.0,2.0,,2.0,,2.0,,1.0,1.0,0.5,,1.0,,0.5,,0.75,0.531275,,25.6,,,1.0,,,,,1.0,1.0,,,,,,,1.0,2.0,,,2.0,,,,,,,,,,2.0,,,,,,1.0,,1.0,,,1.0,,2.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,2.0,,1.0,1.0,,,,,0.5,,,0.25,,,0.25,,,,,,1.0,,,,,,,,1.0,,0.25,,,,0.25,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2015,2014-15,False
200794-201143-201952-203145-203471,1610612737,"Paul Millsap, Al Horford, Jeff Teague, Kent Bazemore, Dennis Schroder","Millsap, Horford, Teague, Bazemore, Schroder",200794-201143-201952-203145-203471,ATL,2,-3.0,4.0,6.0,5.0,2.0,94.0,2.0,,2.0,,1.0,91.91489361702128,15.5,15.75,15.5,15.75,,2.0,1.0,,1.0,,1.0,1.0,1.0,1.0,0.5,1.0,1.0,,0.5,,0.5,0.450725,,25.3,,,,,,,,1.0,1.0,,,,,,,1.0,1.0,,,2.0,,,,,,,,,,2.0,,,,,,1.0,,1.0,,,1.0,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,,1.0,1.0,,,,,1.0,,,0.5,,,0.5,,,,,,,,,,,,1.0,,,,,,,,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2015,2014-15,False
