EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LiveBallTurnovers,BadPassTurnovers,PenaltyTurnovers,Charge Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,LiveBallTurnoverPct,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Arc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,OffTwoPtRebounds,OffRebounds,LostBallSteals,LostBallTurnovers,2pt And 1 Free Throw Trips,BlockedAtRim,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Arc3FGM,NonHeaveArc3FGM,Arc3Assists,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,Offensive Fouls,PenaltyDefPoss,FTDefRebounds,LostBallOutOfBoundsTurnovers,3SecondViolations,DefFTReboundPct,PenaltyCorner3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyCorner3Accuracy,SecondChanceFtPoints,FTOffRebounds,NonShootingPenaltyNonTakeFouls,OffFTReboundPct,DefCorner3ReboundPct,SecondChanceAtRimPctAssisted,Loose Ball Fouls,AtRimPctBlocked,OffAtRimReboundPct,SecondChanceCorner3FGA,PenaltyArc3FGA,SecondChanceFG3A,OffThreePtRebounds,Loose Ball Fouls Drawn,OffThreePtReboundPct,OffCorner3ReboundPct,SecondChanceCorner3Frequency,PenaltyArc3Frequency,LongMidRangeFGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,Fg3aBlocked,ShortMidRangeAssists,SelfOReb,BlockedLongMidRange,SecondChanceFg3Pct,FG3APctBlocked,Arc3PctBlocked,OffArc3ReboundPct,SelfORebPct,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3FGM,PtsUnassisted3s,BlockingFoulsDrawn,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,StepOutOfBoundsTurnovers,BlockingFouls,OffLongMidRangeReboundPct,LongMidRangeAssists,LongMidRangePctAssisted,SecondChanceCorner3FGM,Travels,SecondChanceTurnovers,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,DefensiveGoaltends,Charge Fouls,Technical Free Throw Trips,HeaveAttempts,Blocked3s,BlockedArc3,Corner3PctBlocked,Clear Path Fouls,LongMidRangePctBlocked,Defensive 3 Seconds Violations,BlockedCorner3,team_id,year,season,team_vs
1495-1938-201158-201168-201980,1610612759,"Tim Duncan, Manu Ginobili, Marco Belinelli, Tiago Splitter, Danny Green","Duncan, Ginobili, Belinelli, Splitter, Green",1495-1938-201158-201168-201980,SAS,289.0,3,5.0,4.0,8.0,9.0,6.0,17.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,4.0,1.0,2.0,1.0,10.0,6.0,3.0,4.0,1.0,1.0,7.0,2.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,10.0,7.0,6.0,0.3333333333333333,0.3333333333333333,1.0,0.5,0.5,0.75,0.75,0.75,0.6,0.7142857142857143,0.5833333333333334,0.3333333333333333,0.75,1.0,0.8,1.0,1.0,84.70588235294117,1.0,14.625,19.11111111111111,14.625,18.0,0.3333333333333333,1.0,1.0,0.5,0.16666666666666666,1.0,1.0,0.16666666666666666,0.3333333333333333,0.5,0.5,1.0,0.4,1.0,0.2,0.6666666666666666,0.5836166666666667,0.57686,0.14285714285714285,0.2,0.7,6.6,23.049999999999997,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2015,2014-15,False
1495-1938-201158-201168-201988,1610612759,"Tim Duncan, Manu Ginobili, Marco Belinelli, Tiago Splitter, Patty Mills","Duncan, Ginobili, Belinelli, Splitter, Mills",1495-1938-201158-201168-201988,SAS,59.0,1,1.0,,3.0,2.0,3.0,5.0,,,,,,,1.0,,,,,1.0,,,2.0,2.0,2.0,,1.0,,2.0,2.0,,,,,,,,,,,,,,,,,,1.0,,,2.0,,2.0,,,,,,2.0,2.0,3.0,,,,,,,,,,0.5,0.5,,,,,,,122.03389830508475,,13.333333333333334,9.5,13.333333333333334,9.5,,,,,,,,1.0,,,,,,,,,0.3879,0.3879,,,1.0,19.5,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2015,2014-15,False
1495-1938-201158-201168-202709,1610612759,"Tim Duncan, Manu Ginobili, Marco Belinelli, Tiago Splitter, Cory Joseph","Duncan, Ginobili, Belinelli, Splitter, Joseph",1495-1938-201158-201168-202709,SAS,638.0,3,11.0,-16.0,22.0,21.0,10.0,43.0,2.0,5.0,,1.0,3.0,11.0,,,2.0,2.0,5.0,16.0,,3.0,2.0,12.0,28.0,1.0,8.0,2.0,,2.0,,10.0,,,,,,,,,5.0,5.0,7.0,4.0,3.0,1.0,2.0,5.0,3.0,5.0,4.0,,3.0,2.0,1.0,,1.0,,8.0,2.0,10.0,,,,,,0.3125,0.125,0.2631578947368421,0.1,0.3,0.1,0.15789473684210525,0.625,,0.45454545454545453,1.0,,97.05329153605017,,16.0,13.619047619047619,15.863636363636363,12.19047619047619,0.2631578947368421,0.4,0.4,,0.5789473684210527,0.2727272727272727,0.3333333333333333,,0.10526315789473684,,,,0.1,,0.2,0.42105263157894735,0.48444473684210526,0.46848,0.1,0.11764705882352941,0.16666666666666666,6.18125,24.233333333333334,0.45454545454545453,3.0,1.0,2.0,,,,0.6,2.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.125,0.18181818181818182,0.2,0.15384615384615385,0.2857142857142857,0.3333333333333333,0.6666666666666666,0.05263157894736842,0.5,1.0,0.5109,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2015,2014-15,False
1495-1938-201158-201168-203937,1610612759,"Tim Duncan, Manu Ginobili, Marco Belinelli, Tiago Splitter, Kyle Anderson","Duncan, Ginobili, Belinelli, Splitter, Anderson",1495-1938-201158-201168-203937,SAS,20.0,1,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,72.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2015,2014-15,False
1495-1938-201158-201168-2225,1610612759,"Tim Duncan, Manu Ginobili, Marco Belinelli, Tiago Splitter, Tony Parker","Duncan, Ginobili, Belinelli, Splitter, Parker",1495-1938-201158-201168-2225,SAS,230.0,4,4.0,5.0,8.0,5.0,,13.0,2.0,2.0,,,1.0,1.0,,,,,3.0,3.0,1.0,2.0,3.0,12.0,7.0,,,,,,4.0,2.0,3.0,2.0,1.0,3.0,,2.0,7.0,,,,,,,,,2.0,1.0,2.0,5.0,2.0,3.0,2.0,,,,,12.0,,,0.6666666666666666,0.6666666666666666,1.0,0.5,0.5,1.0,,0.9,,1.0,,0.4,,,,,,81.39130434782608,,15.875,20.6,15.875,19.8,0.4,1.0,1.0,1.0,0.2,1.0,1.0,,,,,,,,,0.8,0.5852,,0.3333333333333333,0.5,,4.233333333333333,24.8,,2.0,2.0,,,,,1.0,,,,2.0,,,,,2.0,,,,,,1.0,,,,,,,,,,,,0.4,,,,,1.0,1.0,1.0,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2015,2014-15,False
1495-1938-201158-201948-201980,1610612759,"Tim Duncan, Manu Ginobili, Marco Belinelli, Austin Daye, Danny Green","Duncan, Ginobili, Belinelli, Daye, Green",1495-1938-201158-201948-201980,SAS,34.0,2,1.0,,2.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,84.70588235294117,,15.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2015,2014-15,False
1495-1938-201158-201948-2564,1610612759,"Tim Duncan, Manu Ginobili, Marco Belinelli, Austin Daye, Boris Diaw","Duncan, Ginobili, Belinelli, Daye, Diaw",1495-1938-201158-201948-2564,SAS,109.0,1,2.0,-6.0,3.0,4.0,,7.0,1.0,1.0,,,,,,,,,1.0,1.0,,,,2.0,8.0,,,,,,,2.0,,,,,,,,,,1.0,1.0,,,,2.0,2.0,2.0,2.0,1.0,,,,,,,,2.0,,,,,,,,1.0,,1.0,,1.0,,,,,,,,92.4770642201835,,17.666666666666668,14.0,17.666666666666668,13.0,1.0,1.0,1.0,,,,,,,,,,,,,1.0,0.7123,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2015,2014-15,False
1495-1938-201158-201980-201988,1610612759,"Tim Duncan, Manu Ginobili, Marco Belinelli, Danny Green, Patty Mills","Duncan, Ginobili, Belinelli, Green, Mills",1495-1938-201158-201980-201988,SAS,201.0,2,3.0,-2.0,6.0,6.0,4.0,12.0,1.0,1.0,,,,,1.0,2.0,3.0,3.0,1.0,2.0,2.0,3.0,1.0,9.0,11.0,,1.0,3.0,,6.0,2.0,,6.0,1.0,2.0,3.0,2.0,1.0,8.0,,2.0,2.0,2.0,,,,,,2.0,2.0,1.0,,2.0,1.0,3.0,,3.0,2.0,9.0,6.0,4.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5,,0.8,0.75,0.75,0.75,0.6,0.6666666666666666,,0.6666666666666666,,,85.97014925373134,0.6666666666666666,12.833333333333334,20.666666666666668,12.833333333333334,18.0,0.2,1.0,1.0,1.0,,,,0.2,0.6,0.6666666666666666,0.6666666666666666,1.0,,,0.75,0.8,0.57306,0.521625,0.16666666666666666,0.3333333333333333,0.6666666666666666,8.75,23.266666666666666,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,0.6666666666666666,,,,,,,,,,,,,,,3.0,,,,,2.0,2.0,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2015,2014-15,False
1495-1938-201158-201980-202695,1610612759,"Tim Duncan, Manu Ginobili, Marco Belinelli, Danny Green, Kawhi Leonard","Duncan, Ginobili, Belinelli, Green, Leonard",1495-1938-201158-201980-202695,SAS,66.0,1,1.0,3.0,3.0,4.0,1.0,7.0,1.0,1.0,,,,,,,,,1.0,1.0,,1.0,3.0,5.0,2.0,,,,3.0,3.0,2.0,,,1.0,,1.0,,1.0,2.0,1.0,,3.0,4.0,,,,,,,4.0,3.0,,4.0,2.0,,,,,1.0,3.0,1.0,1.0,1.0,,,,1.0,,0.5,,0.625,0.75,0.5,,1.0,1.0,,,152.72727272727272,,7.666666666666667,10.75,5.333333333333333,10.75,0.5,1.0,1.0,1.0,,,,,,,,,,,,1.0,0.475375,,0.5,0.6666666666666666,0.6,3.5,23.8,0.3333333333333333,,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,4.0,,1.0,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,0.5,1.0,1.0,0.3974,0.8,,,,,,,,,4.0,2.0,,,1.0,,,,,2.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2015,2014-15,False
1495-1938-201158-201980-202709,1610612759,"Tim Duncan, Manu Ginobili, Marco Belinelli, Danny Green, Cory Joseph","Duncan, Ginobili, Belinelli, Green, Joseph",1495-1938-201158-201980-202709,SAS,340.0,8,6.0,-9.0,9.0,13.0,2.0,22.0,3.0,4.0,,1.0,1.0,1.0,1.0,,,,4.0,6.0,,1.0,1.0,9.0,18.0,,2.0,,,,4.0,4.0,,2.0,,2.0,,2.0,4.0,,3.0,3.0,4.0,1.0,,,,2.0,4.0,9.0,1.0,,1.0,1.0,2.0,,2.0,1.0,9.0,,2.0,0.5,0.5,,,,0.6666666666666666,,0.5714285714285714,,0.6428571428571429,,0.14285714285714285,0.5,,0.375,0.3333333333333333,,93.17647058823529,0.5,12.222222222222221,17.692307692307693,11.555555555555555,15.384615384615385,0.5714285714285714,0.75,1.0,0.6666666666666666,0.14285714285714285,1.0,1.0,0.14285714285714285,,,,,0.5,,,0.7142857142857143,0.5357428571428572,0.52485,0.14285714285714285,0.16666666666666666,,5.5,26.1,0.2222222222222222,2.0,2.0,,,,,1.0,1.0,,,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,,,,0.16666666666666666,,0.5,0.3333333333333333,,0.6666666666666666,,0.14285714285714285,,,0.3548,,,,,,,,,,7.0,,,,,,,,,,,,,,,1.0,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2015,2014-15,False
