EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,DefPoss,PenaltyDefPoss,TotalPoss,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG3A,NonHeaveArc3FGA,DefTwoPtRebounds,DefRebounds,Rebounds,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg3ptShotDistance,Minutes,PlusMinus,OffPoss,SecondChanceOffPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PtsAssisted2s,TwoPtAssists,Assists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,SecondChanceTurnovers,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,DefensiveGoaltends,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,LiveBallTurnoverPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefArc3ReboundPct,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,PenaltyOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,AtRimAssists,FTDefRebounds,SelfOReb,Steals,BadPassSteals,LostBallTurnovers,ShootingFouls,Fouls,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,BlockedLongMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,Corner3FGM,SecondChanceCorner3FGA,Arc3FGM,FG3M,SecondChanceFG3A,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,OffThreePtRebounds,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,PenaltyTurnovers,Charge Fouls,Loose Ball Fouls,Loose Ball Fouls Drawn,BlockingFoulsDrawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,ShortMidRangePctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,NonHeaveArc3Accuracy,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFtPoints,PenaltyFG3M,PtsUnassisted3s,FTOffRebounds,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Travels,BlockingFouls,Offensive Fouls,Offensive Fouls Drawn,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedShortMidRange,Defensive 3 Seconds Violations,SecondChanceFg3Pct,PenaltyFg3Pct,OffFTReboundPct,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,Charge Fouls Drawn,SecondChanceCorner3FGM,PenaltyCorner3FGM,HeaveAttempts,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,Blocked3s,BlockedArc3,LongMidRangePctBlocked,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,3SecondViolations,BlockedCorner3,3pt And 1 Free Throw Trips,Corner3PctBlocked,Clear Path Fouls,team_id,year,season,team_vs
101150-101161-101236-200768-201942,1610612761,"Lou Williams, Amir Johnson, Chuck Hayes, Kyle Lowry, DeMar DeRozan","Williams, Johnson, Hayes, Lowry, DeRozan",101150-101161-101236-200768-201942,TOR,27.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53.33333333333333,25.0,25.0,1.0,1.0,1.0,0.3516,0.3516,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2015,2014-15,True
101150-101161-101236-200768-201949,1610612761,"Lou Williams, Amir Johnson, Chuck Hayes, Kyle Lowry, James Johnson","Williams, Johnson, Hayes, Lowry, Johnson",101150-101161-101236-200768-201949,TOR,133.0,1,5.0,,11.0,,,,,,,2.0,3.0,,,1.0,,119.09774436090225,11.4,11.4,,,,0.409925,,,2.0,2.0,6.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,2.0,6.0,4.0,4.0,2.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,6.0,1.0,1.0,0.5,0.5,0.6,1.0,0.5,1.0,0.5,1.0,1.0,12.666666666666666,12.166666666666666,0.5,0.5,0.5,1.0,0.5,0.5,0.5,1.0,0.2,0.2,11.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2015,2014-15,True
101150-101161-200768-201942-201946,1610612761,"Lou Williams, Amir Johnson, Kyle Lowry, DeMar DeRozan, Tyler Hansbrough","Williams, Johnson, Lowry, DeRozan, Hansbrough",101150-101161-200768-201942-201946,TOR,795.0,8,30.0,5.0,60.0,4.0,,5.0,,4.0,11.0,17.0,21.0,0.19230769230769232,1.0,0.8888888888888888,1.0,108.67924528301887,13.233333333333333,12.4,0.15384615384615385,,0.5384615384615384,0.5231115384615385,0.53195,25.68,13.0,4.0,30.0,5.0,4.0,8.0,2.0,4.0,10.0,21.0,4.0,24.0,20.0,12.0,6.0,6.0,1.0,2.0,12.0,4.0,5.0,4.0,3.0,,3.0,,6.0,5.0,3.0,,22.0,0.6,0.6666666666666666,0.47619047619047616,0.38461538461538464,0.42857142857142855,1.0,0.36363636363636365,0.7142857142857143,0.25,0.5,0.6666666666666666,13.266666666666667,12.833333333333334,0.3076923076923077,0.5,0.5,0.25,0.15384615384615385,0.5,0.5,1.0,0.10714285714285714,0.13043478260869565,6.309523809523809,2.0,4.0,9.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,3.0,8.0,2.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,1.0,3.0,3.0,3.0,2.0,0.3333333333333333,0.5,0.3333333333333333,0.5,0.3333333333333333,0.75,0.047619047619047616,0.1111111111111111,1.0,0.2,0.5,1.0,1.0,1.0,0.06666666666666667,1.0,0.34615384615384615,0.4444444444444444,0.5,0.75,0.038461538461538464,1.0,0.3333333333333333,0.5,1.0,0.5434333333333333,0.08333333333333333,0.125,0.06666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2015,2014-15,True
101150-101161-200768-201942-201949,1610612761,"Lou Williams, Amir Johnson, Kyle Lowry, DeMar DeRozan, James Johnson","Williams, Johnson, Lowry, DeRozan, Johnson",101150-101161-200768-201942-201949,TOR,1033.0,9,36.0,21.0,68.0,3.0,1.0,5.0,1.0,3.0,7.0,11.0,17.0,0.16129032258064516,0.5384615384615384,0.5555555555555556,0.5,94.7918683446273,15.25,13.194444444444445,0.0967741935483871,0.1111111111111111,0.5483870967741935,0.5136403225806452,0.5486666666666666,24.68,17.0,-14.0,32.0,4.0,2.0,8.0,6.0,6.0,14.0,26.0,4.0,38.0,52.0,14.0,7.0,9.0,,5.0,20.0,4.0,3.0,6.0,3.0,3.0,6.0,,7.0,6.0,3.0,,34.0,0.5,0.5,0.5384615384615384,0.5483870967741935,0.5757575757575758,0.5,0.3333333333333333,0.6,0.4,,0.6666666666666666,15.125,14.09375,0.25806451612903225,0.25,0.2857142857142857,,0.1935483870967742,1.0,1.0,0.8333333333333334,0.09375,0.1111111111111111,7.269230769230769,11.0,6.0,12.0,,2.0,3.0,5.0,2.0,2.0,5.0,4.0,5.0,8.0,3.0,13.0,14.0,,2.0,2.0,1.0,,2.0,1.0,,5.0,12.0,2.0,2.0,,2.0,2.0,1.0,13.0,11.0,0.4,0.625,0.3333333333333333,0.5555555555555556,0.3333333333333333,0.65,0.07692307692307693,0.08333333333333333,1.0,0.3333333333333333,0.3333333333333333,,0.8333333333333334,0.5,,0.5,0.3870967741935484,0.5,0.5454545454545454,0.3333333333333333,0.06451612903225806,0.3333333333333333,,0.5555555555555556,0.6,0.5387625,0.10526315789473684,0.34210526315789475,0.34375,1.0,1.0,1.0,2.0,1.0,6.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.4,0.4,0.125,0.6666666666666666,0.5,1.0,0.5,0.5,1.0,0.3333333333333333,0.3333333333333333,1.0,0.16666666666666666,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2015,2014-15,True
101150-101161-200768-201942-202335,1610612761,"Lou Williams, Amir Johnson, Kyle Lowry, DeMar DeRozan, Patrick Patterson","Williams, Johnson, Lowry, DeRozan, Patterson",101150-101161-200768-201942-202335,TOR,4185.0,27,137.0,44.0,270.0,29.0,12.0,38.0,15.0,29.0,28.0,49.0,80.0,0.3064516129032258,0.5957446808510638,0.6438356164383562,0.5882352941176471,92.90322580645162,15.97080291970803,15.08029197080292,0.23387096774193547,0.22641509433962265,0.6774193548387096,0.4978302419354839,0.49990188679245284,25.2,70.0,-11.0,133.0,26.0,10.0,25.0,8.0,15.0,40.0,86.0,38.0,145.0,156.0,32.0,16.0,23.0,3.0,4.0,53.0,20.0,19.0,31.0,8.0,5.0,21.0,1.0,31.0,48.0,15.0,,113.0,0.4,0.45714285714285713,0.46511627906976744,0.4314516129032258,0.4965753424657534,0.38095238095238093,0.43478260869565216,0.7307692307692307,0.4,0.14285714285714285,0.8,15.015037593984962,13.917293233082706,0.20161290322580644,0.4,0.43478260869565216,0.3,0.12096774193548387,0.5333333333333333,0.5333333333333333,0.5,0.11678832116788321,0.15306122448979592,6.26046511627907,63.0,22.0,46.0,8.0,17.0,8.0,24.0,9.0,9.0,20.0,32.0,15.0,38.0,27.0,63.0,48.0,10.0,9.0,9.0,2.0,5.0,9.0,2.0,3.0,21.0,37.0,3.0,8.0,3.0,2.0,8.0,4.0,63.0,63.0,0.45,0.39473684210526316,0.5217391304347826,0.33962264150943394,0.5714285714285714,0.4701492537313433,0.10465116279069768,0.15217391304347827,1.0,0.4166666666666667,0.6,0.5,0.6666666666666666,0.6363636363636364,0.07575757575757576,0.5,0.3709677419354839,0.4782608695652174,0.5641025641025641,0.4090909090909091,0.07258064516129033,0.7391304347826086,0.47058823529411764,0.4528301886792453,0.3333333333333333,0.5221941176470588,0.2206896551724138,0.43448275862068964,0.47368421052631576,1.0,,8.0,9.0,3.0,21.0,8.0,7.0,6.0,1.0,10.0,7.0,2.0,13.0,14.0,2.0,1.0,2.0,2.0,9.0,8.0,8.0,0.7777777777777778,0.23684210526315788,0.23684210526315788,0.08,0.3448275862068966,0.38095238095238093,0.25,0.1111111111111111,0.1111111111111111,1.0,0.27586206896551724,0.27586206896551724,0.75,,0.27586206896551724,3.0,2.0,3.0,2.0,2.0,8.0,2.0,6.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,0.6666666666666666,0.13333333333333333,0.25,0.125,0.13043478260869565,0.6666666666666666,1.0,0.05660377358490566,0.16666666666666666,0.02564102564102564,,,,,,,,,,,,,,,,,,,1610612761,2015,2014-15,True
101150-101161-200768-201942-202349,1610612761,"Lou Williams, Amir Johnson, Kyle Lowry, DeMar DeRozan, Greivis Vasquez","Williams, Johnson, Lowry, DeRozan, Vasquez",101150-101161-200768-201942-202349,TOR,12.0,2,2.0,2.0,2.0,,,,,,1.0,1.0,1.0,,1.0,1.0,,240.0,6.0,6.0,,,,,,,,-1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2015,2014-15,True
101150-101161-200768-201942-202685,1610612761,"Lou Williams, Amir Johnson, Kyle Lowry, DeMar DeRozan, Jonas Valanciunas","Williams, Johnson, Lowry, DeRozan, Valanciunas",101150-101161-200768-201942-202685,TOR,2192.0,13,76.0,37.0,155.0,12.0,3.0,12.0,3.0,12.0,21.0,32.0,42.0,0.1875,0.9130434782608695,0.875,1.0,101.82481751824818,14.381578947368421,14.118421052631579,0.1875,0.16666666666666666,0.484375,0.511084375,0.49522777777777777,25.508333333333336,37.0,-12.0,79.0,10.0,7.0,14.0,6.0,19.0,26.0,52.0,12.0,70.0,82.0,26.0,13.0,13.0,4.0,3.0,26.0,5.0,7.0,10.0,8.0,5.0,19.0,,17.0,21.0,10.0,,58.0,0.5,0.52,0.5,0.453125,0.4794520547945205,0.42105263157894735,0.20833333333333334,0.7777777777777778,0.24242424242424243,0.16666666666666666,0.8571428571428571,13.91139240506329,12.987341772151899,0.21875,0.5,0.5833333333333334,0.5714285714285714,0.296875,0.3157894736842105,0.3157894736842105,0.5,0.14084507042253522,0.1694915254237288,8.586538461538462,28.0,13.0,19.0,4.0,4.0,4.0,5.0,,4.0,4.0,12.0,7.0,15.0,7.0,24.0,26.0,2.0,4.0,6.0,4.0,1.0,6.0,3.0,3.0,11.0,25.0,3.0,6.0,4.0,1.0,6.0,6.0,24.0,28.0,1.0,0.4666666666666667,0.5714285714285714,0.4722222222222222,0.6,0.5217391304347826,0.07692307692307693,0.10526315789473684,1.0,0.16666666666666666,0.3333333333333333,1.0,0.8333333333333334,0.5,0.03333333333333333,1.0,0.296875,0.6842105263157895,0.7647058823529411,0.46153846153846156,,0.5714285714285714,1.0,0.2777777777777778,0.8,0.6179125,0.17142857142857143,0.34285714285714286,0.35443037974683544,,,2.0,2.0,3.0,,2.0,,,,3.0,3.0,1.0,11.0,9.0,2.0,,,1.0,2.0,3.0,2.0,,0.16666666666666666,0.16666666666666666,0.14285714285714285,0.3333333333333333,0.3333333333333333,,,,,0.16666666666666666,0.16666666666666666,,,0.16666666666666666,,,3.0,1.0,,4.0,1.0,6.0,2.0,3.0,1.0,1.0,2.0,1.0,,,,1.0,,,0.3333333333333333,0.6666666666666666,,0.42857142857142855,,,,0.3333333333333333,,1.0,,,,,,,,,,,,,,,,,,1610612761,2015,2014-15,True
101150-101161-200768-201942-203082,1610612761,"Lou Williams, Amir Johnson, Kyle Lowry, DeMar DeRozan, Terrence Ross","Williams, Johnson, Lowry, DeRozan, Ross",101150-101161-200768-201942-203082,TOR,241.0,4,9.0,5.0,17.0,1.0,,1.0,,1.0,2.0,2.0,3.0,0.2,0.5,0.5,0.5,101.57676348547717,17.555555555555557,17.444444444444443,0.2,,0.8,0.50105,0.4583,24.3,4.0,-2.0,8.0,1.0,,,,1.0,1.0,4.0,2.0,7.0,9.0,,,,,,,1.0,,1.0,,,2.0,,2.0,2.0,1.0,,5.0,,,0.25,0.5,0.5833333333333334,,0.3333333333333333,,0.3333333333333333,,,10.375,10.125,,,,,0.2,,,,0.16666666666666666,0.2,6.825,2.0,1.0,3.0,1.0,1.0,,1.0,,1.0,1.0,2.0,,1.0,,,2.0,2.0,,,,1.0,2.0,1.0,,,2.0,,1.0,1.0,,1.0,1.0,,2.0,1.0,,1.0,,1.0,,,,,0.5,,0.5,,,0.3333333333333333,1.0,0.6,0.3333333333333333,0.3333333333333333,,,1.0,1.0,1.0,,0.5415,0.2857142857142857,,0.25,,,1.0,1.0,,,1.0,,,,,1.0,,2.0,1.0,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,1.0,,,1.0,,,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2015,2014-15,True
101150-101161-200768-201946-201949,1610612761,"Lou Williams, Amir Johnson, Kyle Lowry, Tyler Hansbrough, James Johnson","Williams, Johnson, Lowry, Hansbrough, Johnson",101150-101161-200768-201946-201949,TOR,605.0,5,21.0,3.0,41.0,5.0,,6.0,,5.0,1.0,3.0,5.0,0.42857142857142855,0.16666666666666666,0.2857142857142857,,97.58677685950413,13.285714285714286,12.619047619047619,0.35714285714285715,,0.7857142857142857,0.5372428571428571,0.5116999999999999,24.833333333333332,10.0,-13.0,20.0,2.0,1.0,1.0,,2.0,4.0,8.0,3.0,17.0,30.0,2.0,1.0,3.0,,,8.0,1.0,1.0,2.0,4.0,2.0,7.0,,9.0,4.0,1.0,,15.0,0.25,0.25,0.5,0.5,0.53125,0.5714285714285714,0.3333333333333333,1.0,0.2857142857142857,,,16.3,15.8,0.07142857142857142,1.0,1.0,,0.14285714285714285,,,,0.06666666666666667,0.1111111111111111,7.9625,10.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,6.0,,2.0,1.0,1.0,,2.0,1.0,2.0,6.0,9.0,,2.0,2.0,,2.0,,3.0,10.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.5,0.375,0.25,0.4,1.0,0.5,,0.2,,1.0,,,0.35714285714285715,0.6,1.0,0.3333333333333333,0.07142857142857142,0.5,1.0,0.3333333333333333,1.0,0.4794,0.11764705882352941,0.17647058823529413,0.5,1.0,,1.0,2.0,1.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,7.0,,,1.0,1.0,1.0,,1.0,1.0,0.3333333333333333,0.3333333333333333,,0.25,0.25,,1.0,1.0,1.0,0.2,0.2,1.0,,0.2,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,0.5,,,,,,1.0,,,,,,,,,,,,,,,,,,1610612761,2015,2014-15,True
101150-101161-200768-201946-202349,1610612761,"Lou Williams, Amir Johnson, Kyle Lowry, Tyler Hansbrough, Greivis Vasquez","Williams, Johnson, Lowry, Hansbrough, Vasquez",101150-101161-200768-201946-202349,TOR,34.0,1,,,,,,,,,,,1.0,,,,,,,,,,,0.3618,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,1.0,,,,,1.0,2.0,1.0,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,0.5,0.5,9.9,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2015,2014-15,True
