EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,Corner3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,ShortMidRangeFGM,LongMidRangeFGM,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,SecondChanceFtPoints,PenaltyFG2M,PenaltyFG3M,PenaltyFG3A,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,FTDefRebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Charge Fouls Drawn,Loose Ball Fouls Drawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedAtRim,BlockedCorner3,BlockedShortMidRange,Blocks,RecoveredBlocks,OffensiveGoaltends,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,LiveBallTurnoverPct,DefFTReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,Loose Ball Fouls,PenaltyAtRimFGM,NonShootingPenaltyNonTakeFouls,PenaltyAtRimAccuracy,BlockingFoulsDrawn,2pt And 1 Free Throw Trips,SecondChanceAtRimPctAssisted,SelfOReb,Defensive 3 Seconds Violations,OffArc3ReboundPct,SelfORebPct,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PtsUnassisted3s,LostBallSteals,SecondChanceFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGA,FTOffRebounds,StepOutOfBoundsTurnovers,Offensive Fouls Drawn,3pt And 1 Free Throw Trips,Technical Free Throw Trips,OffFTReboundPct,SecondChanceCorner3Frequency,LongMidRangePctBlocked,team_id,year,season,team_vs
200746-200777-201587-203081-203468,1610612757,"LaMarcus Aldridge, Joel Freeland, Nicolas Batum, Damian Lillard, CJ McCollum","Aldridge, Freeland, Batum, Lillard, McCollum",200746-200777-201587-203081-203468,POR,209.0,1,3.0,-2.0,7.0,6.0,5.0,2.0,13,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,6.0,1.0,2.0,4.0,6.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,5.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,5.0,0.16666666666666666,0.5,0.14285714285714285,0.5,0.25,0.5,0.2,0.14285714285714285,0.3333333333333333,0.5,0.5,1.0,0.25,1.0,1.0,1.0,0.4,0.5,1.0,1.0,1.0,89.56937799043062,15.428571428571429,16.833333333333332,15.428571428571429,16.833333333333332,0.2857142857142857,0.5,1.0,0.2857142857142857,0.2857142857142857,0.14285714285714285,1.0,0.5,0.25,0.42857142857142855,0.4983142857142857,0.6489,0.475775,0.125,0.14285714285714285,0.5,0.5,9.366666666666667,23.6,0.7142857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2015,2014-15,False
200746-201167-201577-201587-203081,1610612757,"LaMarcus Aldridge, Arron Afflalo, Robin Lopez, Nicolas Batum, Damian Lillard","Aldridge, Afflalo, Lopez, Batum, Lillard",200746-201167-201577-201587-203081,POR,2261.0,4,38.0,-33.0,71.0,72.0,11.0,4.0,143,4.0,12.0,1.0,1.0,,9.0,17.0,4.0,9.0,38.0,18.0,10.0,43.0,76.0,1.0,1.0,4.0,3.0,2.0,10.0,12.0,2.0,6.0,,4.0,4.0,24.0,29.0,4.0,33.0,7.0,13.0,2.0,,7.0,13.0,,12.0,13.0,4.0,39.0,10.0,11.0,0.23684210526315788,1.0,0.29464285714285715,1.0,0.3467741935483871,1.0,0.45454545454545453,0.32142857142857145,0.15789473684210525,0.4166666666666667,0.1111111111111111,0.8571428571428571,0.13793103448275862,0.8,,0.8484848484848485,0.09523809523809523,0.14285714285714285,,0.9230769230769231,0.6666666666666666,91.07474568774879,14.19718309859155,17.40277777777778,14.070422535211268,17.0,0.21428571428571427,0.3333333333333333,0.5714285714285714,0.16071428571428573,0.30357142857142855,0.07142857142857142,1.0,1.0,,0.5357142857142857,0.48224732142857146,0.6049,0.4661555555555556,0.08196721311475409,0.09523809523809523,0.09302325581395349,0.23255813953488372,10.878947368421052,25.700000000000003,0.15492957746478872,1.0,2.0,3.0,1.0,1.0,1.0,4.0,14.0,1.0,5.0,5.0,2.0,1.0,2.0,6.0,6.0,15.0,14.0,4.0,3.0,5.0,8.0,4.0,1.0,1.0,1.0,1.0,21.0,1.0,1.0,1.0,6.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,0.3333333333333333,0.375,1.0,0.2777777777777778,0.3333333333333333,0.2777777777777778,0.3333333333333333,0.4444444444444444,0.46153846153846156,1.0,0.25,0.07142857142857142,1.0,0.6666666666666666,1.0,1.0,0.25,0.2222222222222222,0.25,0.5,0.17647058823529413,0.17647058823529413,0.3333333333333333,0.25,0.25,1.0,0.25,0.2857142857142857,0.2857142857142857,1.0,0.1111111111111111,1.0,0.5555555555555556,0.2,0.2857142857142857,0.05263157894736842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2015,2014-15,False
200746-201167-201577-203468-2581,1610612757,"LaMarcus Aldridge, Arron Afflalo, Robin Lopez, CJ McCollum, Steve Blake","Aldridge, Afflalo, Lopez, McCollum, Blake",200746-201167-201577-203468-2581,POR,38.0,1,1.0,2.0,1.0,,,,1,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,2.0,1.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,37.89473684210527,19.0,,19.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2015,2014-15,False
200746-201167-201587-203081-203086,1610612757,"LaMarcus Aldridge, Arron Afflalo, Nicolas Batum, Damian Lillard, Meyers Leonard","Aldridge, Afflalo, Batum, Lillard, Leonard",200746-201167-201587-203081-203086,POR,94.0,1,2.0,,3.0,2.0,,,5,,,,,,1.0,,,,1.0,1.0,,3.0,3.0,,,,,,,,,,,,,1.0,1.0,,1.0,,1.0,,,1.0,1.0,,,,,3.0,,,,,0.75,,0.75,,,0.5,,,,0.5,,,,0.3333333333333333,,,,1.0,,76.59574468085107,13.0,27.5,13.0,24.5,,,,0.5,,,,,,0.5,0.4391,,,,,,,11.9,25.2,,,,,,,,1.0,1.0,,,1.0,,,,,,3.0,1.0,1.0,,1.0,1.0,1.0,,,,,3.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,0.5,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2015,2014-15,False
200746-201167-201587-203081-203468,1610612757,"LaMarcus Aldridge, Arron Afflalo, Nicolas Batum, Damian Lillard, CJ McCollum","Aldridge, Afflalo, Batum, Lillard, McCollum",200746-201167-201587-203081-203468,POR,36.0,1,1.0,-2.0,3.0,5.0,3.0,,8,2.0,2.0,,,2.0,,,,2.0,2.0,1.0,,7.0,9.0,,,,2.0,,7.0,2.0,,,,,,,1.0,,1.0,,,,,,5.0,,,,,7.0,7.0,3.0,1.0,,1.1666666666666667,,1.1666666666666667,,1.1666666666666667,0.3333333333333333,,,,,,,,,,,,,,320.0,5.666666666666667,3.8,5.666666666666667,3.8,0.6666666666666666,1.0,1.0,,,,,,0.6666666666666666,1.0,0.6453166666666666,,0.6453166666666666,,,,1.0,1.3,29.4,1.0,5.0,,,,,,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.1666666666666667,,1.0,,,,,,,0.5,,,,,,,,,,0.3333333333333333,1.0,1.0,1.0,,,0.3333333333333333,1.0,1.0,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2015,2014-15,False
200746-201167-201587-203081-2549,1610612757,"LaMarcus Aldridge, Arron Afflalo, Nicolas Batum, Damian Lillard, Chris Kaman","Aldridge, Afflalo, Batum, Lillard, Kaman",200746-201167-201587-203081-2549,POR,184.0,2,3.0,-3.0,5.0,6.0,,,11,,,,,,1.0,1.0,,1.0,2.0,2.0,2.0,4.0,7.0,,,,,,,2.0,,,,,,2.0,2.0,,2.0,,,,,1.0,1.0,,4.0,2.0,1.0,4.0,,,0.5,,0.25,,0.4,,,0.5,,,,1.0,,,,0.6666666666666666,,,,1.0,,86.08695652173913,19.6,14.333333333333334,19.6,12.0,,,,0.25,0.25,,,,,0.5,0.47785,,,0.2,0.3333333333333333,,,14.45,25.8,,1.0,1.0,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,0.5,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2015,2014-15,False
200746-201167-203081-203086-203468,1610612757,"LaMarcus Aldridge, Arron Afflalo, Damian Lillard, Meyers Leonard, CJ McCollum","Aldridge, Afflalo, Lillard, Leonard, McCollum",200746-201167-203081-203086-203468,POR,57.0,1,1.0,-2.0,2.0,1.0,,,3,,,,,,1.0,1.0,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.78947368421053,22.0,13.0,22.0,13.0,,,,0.5,0.5,,,,,,0.3782,,,,,,,14.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2015,2014-15,False
200746-201167-203081-203086-2581,1610612757,"LaMarcus Aldridge, Arron Afflalo, Damian Lillard, Meyers Leonard, Steve Blake","Aldridge, Afflalo, Lillard, Leonard, Blake",200746-201167-203081-203086-2581,POR,95.0,1,2.0,-2.0,3.0,2.0,3.0,,5,1.0,1.0,,,1.0,,,,1.0,1.0,1.0,,2.0,4.0,,,,1.0,,2.0,2.0,,,,,,,,,,1.0,1.0,,1.0,,1.0,1.0,,,,2.0,2.0,3.0,1.0,,0.5,,0.5,,0.5,0.5,,,,,,,,,,,,,,75.78947368421053,19.333333333333332,18.5,19.333333333333332,18.5,0.5,1.0,1.0,,,,,,0.5,1.0,0.572925,,0.572925,,,,1.0,1.4,26.6,1.0,2.0,,,,,,,1.0,,1.0,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,,,,,,,,,,,,,,,,,,,0.5,,,,,,0.5,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2015,2014-15,False
200746-201167-203086-203468-2581,1610612757,"LaMarcus Aldridge, Arron Afflalo, Meyers Leonard, CJ McCollum, Steve Blake","Aldridge, Afflalo, Leonard, McCollum, Blake",200746-201167-203086-203468-2581,POR,500.0,2,8.0,-6.0,14.0,16.0,3.0,3.0,30,1.0,1.0,1.0,1.0,,4.0,4.0,2.0,4.0,9.0,4.0,3.0,17.0,23.0,2.0,3.0,4.0,4.0,,2.0,,,1.0,1.0,2.0,1.0,4.0,5.0,3.0,8.0,,2.0,,,4.0,5.0,,5.0,5.0,3.0,13.0,2.0,3.0,0.4444444444444444,0.6666666666666666,0.5384615384615384,0.6666666666666666,0.5666666666666667,0.6666666666666666,0.25,0.3076923076923077,0.1111111111111111,,0.25,0.5714285714285714,0.4,1.0,0.5,0.625,0.42857142857142855,0.5,0.5,0.75,,86.39999999999999,17.285714285714285,16.125,14.928571428571429,14.4375,0.07692307692307693,1.0,1.0,0.3076923076923077,0.3076923076923077,0.15384615384615385,0.3333333333333333,1.0,,0.38461538461538464,0.46384615384615385,0.3622,0.3857,0.2,0.2727272727272727,0.23529411764705882,0.11764705882352941,12.533333333333333,24.675,0.21428571428571427,,2.0,1.0,,,,2.0,2.0,,,2.0,,1.0,,,8.0,6.0,2.0,2.0,4.0,2.0,6.0,2.0,,1.0,2.0,1.0,14.0,,,,2.0,,1.0,,1.0,,1.0,,,,,,,,,,,,1.0,1.0,1.0,0.5,,0.5,0.25,0.25,1.0,,,0.3333333333333333,,0.5,1.0,,1.0,0.5,0.6666666666666666,1.0,0.25,0.25,1.0,,,,0.15384615384615385,1.0,1.0,1.0,,,,,1.0,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2015,2014-15,False
200746-201167-203468-2549-2581,1610612757,"LaMarcus Aldridge, Arron Afflalo, CJ McCollum, Chris Kaman, Steve Blake","Aldridge, Afflalo, McCollum, Kaman, Blake",200746-201167-203468-2549-2581,POR,282.0,1,5.0,-1.0,8.0,8.0,,,16,1.0,2.0,,,,,3.0,,2.0,5.0,2.0,1.0,8.0,9.0,,,,,,,4.0,,1.0,,,1.0,2.0,3.0,,3.0,,1.0,,,2.0,2.0,,1.0,2.0,,8.0,,,0.4,,0.5,,0.5,,,0.2857142857142857,0.2,0.5,,0.4,,1.0,,0.5,,,,0.5,,81.70212765957446,15.0,20.25,15.0,17.5,0.2857142857142857,0.5,1.0,,0.42857142857142855,,,,,0.5714285714285714,0.5346857142857143,,,,,,,10.72,25.35,,,,1.0,,,,1.0,2.0,,,1.0,,,,,,3.0,2.0,1.0,,1.0,1.0,1.0,,,,,3.0,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,0.5,,0.5,,,1.0,,,,,1.0,1.0,,,,,,0.3333333333333333,0.3333333333333333,,,,,0.2857142857142857,0.5,0.5,1.0,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2015,2014-15,False
