EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGA,LongMidRangeFGA,SecondChanceArc3FGA,SecondChanceFG3A,PtsAssisted2s,PtsUnassisted3s,TwoPtAssists,AtRimAssists,OffThreePtRebounds,DefThreePtRebounds,SelfOReb,Assisted2sPct,NonPutbacksAssisted2sPct,DefThreePtReboundPct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,BadPassSteals,DeadBallTurnovers,Charge Fouls,BlockingFoulsDrawn,LostBallTurnovers,BlockingFouls,LongMidRangeFGM,LongMidRangeAssists,Charge Fouls Drawn,DefAtRimReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceTurnovers,Offensive Fouls,ShortMidRangePctBlocked,ShortMidRangeFGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG3M,SecondChanceFtPoints,PenaltyFG3M,PenaltyFG3A,PtsPutbacks,SecondChanceFg3Pct,PenaltyFg3Pct,OffCorner3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,Blocked2s,BlockedAtRim,Blocks,ShortMidRangeAssists,ThreePtShootingFoulsDrawn,ShortMidRangePctAssisted,ThreePtShootingFoulsDrawnPct,Loose Ball Fouls,StepOutOfBoundsTurnovers,Offensive Fouls Drawn,SecondChanceArc3FGM,BadPassOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,BlockedShortMidRange,RecoveredBlocks,BlocksRecoveredPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,FTOffRebounds,OffFTReboundPct,Travels,SecondChanceCorner3PctAssisted,3SecondViolations,Technical Free Throw Trips,DefensiveGoaltends,BlockedLongMidRange,Blocked3s,BlockedArc3,LostBallOutOfBoundsTurnovers,OffensiveGoaltends,BlockedCorner3,Defensive 3 Seconds Violations,3pt And 1 Free Throw Trips,Clear Path Fouls,LongMidRangePctBlocked,HeaveAttempts,Corner3PctBlocked,team_id,year,season,team_vs
200779-201566-201571-201627-202683,1610612760,"Steve Novak, Russell Westbrook, D.J. Augustin, Anthony Morrow, Enes Kanter","Novak, Westbrook, Augustin, Morrow, Kanter",200779-201566-201571-201627-202683,OKC,213.0,2,4.0,-3.0,10.0,10.0,5.0,10.0,1.0,20.0,1.0,6.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,6.0,2.0,3.0,4.0,12.0,15.0,1.0,1.0,2.0,1.0,3.0,4.0,6.0,2.0,6.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,6.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,1.0,4.0,1.0,1.0,10.0,6.0,5.0,2.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.16666666666666666,1.0,0.3333333333333333,0.4444444444444444,1.0,0.3333333333333333,0.5454545454545454,1.0,0.6,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.5,1.0,0.5,1.0,0.4,1.0,0.3333333333333333,0.4,1.0,135.21126760563382,10.7,10.6,10.4,10.0,0.6666666666666666,0.16666666666666666,0.2,0.1111111111111111,1.0,1.0,1.0,0.2222222222222222,0.5,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.5,0.6310333333333333,0.6086,0.5393333333333333,0.1,0.14285714285714285,0.16666666666666666,0.5,1.3,23.900000000000002,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2015,2014-15,False
200779-201566-201571-201627-203500,1610612760,"Steve Novak, Russell Westbrook, D.J. Augustin, Anthony Morrow, Steven Adams","Novak, Westbrook, Augustin, Morrow, Adams",200779-201566-201571-201627-203500,OKC,384.0,3,6.0,-8.0,12.0,11.0,,3.0,3.0,23.0,2.0,6.0,1.0,4.0,,,,,1.0,5.0,2.0,12.0,1.0,5.0,,7.0,15.0,1.0,5.0,2.0,,,,,,,5.0,1.0,1.0,,,2.0,,,4.0,4.0,1.0,1.0,4.0,6.0,10.0,,,1.0,1.0,1.0,,1.0,2.0,,,,,,5.0,,,1.0,,,0.2,0.2,0.16666666666666666,0.2,,0.20588235294117646,0.16666666666666666,,0.20588235294117646,0.16666666666666666,,0.29411764705882354,,0.08333333333333333,0.16666666666666666,,1.0,1.0,0.25,0.4,0.5,0.42857142857142855,0.5,,86.25,19.166666666666668,14.0,15.5,13.909090909090908,0.35294117647058826,0.3333333333333333,0.4,,,,,0.29411764705882354,0.2,0.2,,0.6666666666666666,0.25,,,0.6470588235294118,0.2,0.4954235294117647,0.42945,,,,0.2857142857142857,,5.841666666666666,24.759999999999998,,4.0,2.0,1.0,1.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.5,0.25,0.5,0.5,0.5,1.0,1.0,0.15384615384615385,1.0,0.23529411764705882,0.11764705882352941,1.0,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2015,2014-15,False
200779-201566-201571-201627-203956,1610612760,"Steve Novak, Russell Westbrook, D.J. Augustin, Anthony Morrow, Mitch McGary","Novak, Westbrook, Augustin, Morrow, McGary",200779-201566-201571-201627-203956,OKC,142.0,1,2.0,4.0,6.0,5.0,4.0,,,11.0,2.0,3.0,,,1.0,2.0,,,,,2.0,3.0,,,4.0,8.0,4.0,,,,1.0,2.0,2.0,4.0,4.0,,,,,,,,,,,,1.0,,2.0,,2.0,1.0,,,,1.0,1.0,,1.0,2.0,,4.0,1.0,1.0,8.0,4.0,4.0,,1.0,,,,0.6666666666666666,,0.5,0.6666666666666666,,0.5,0.8,,0.6666666666666666,,,,,,,,1.0,,1.0,,,1.0,111.54929577464789,8.166666666666666,18.6,8.166666666666666,18.6,1.0,0.6666666666666666,0.6666666666666666,,,,,,,,,,,1.0,0.5,1.0,,0.4918,,0.4825,0.25,0.25,,0.5,2.466666666666667,,0.6666666666666666,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2015,2014-15,False
200779-201566-201571-201627-2555,1610612760,"Steve Novak, Russell Westbrook, D.J. Augustin, Anthony Morrow, Nick Collison","Novak, Westbrook, Augustin, Morrow, Collison",200779-201566-201571-201627-2555,OKC,187.0,1,3.0,-5.0,8.0,7.0,,7.0,,15.0,2.0,3.0,,,,,,,1.0,3.0,2.0,3.0,1.0,3.0,,7.0,12.0,,,,,,,,,,3.0,1.0,,,,2.0,,,4.0,,,,1.0,,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,,,,7.0,,,1.0,,,0.3333333333333333,0.3333333333333333,0.6666666666666666,,,0.5833333333333334,,,0.5833333333333334,,,0.5,,,,,1.0,,,,1.0,,,,115.50802139037432,11.875,13.142857142857142,11.875,13.142857142857142,0.5,0.6666666666666666,0.6666666666666666,,,,,0.5,0.3333333333333333,0.3333333333333333,,,,,,1.0,0.3333333333333333,0.6253833333333333,,,,,,,1.0999999999999999,24.0,,,,,,4.0,3.0,2.0,2.0,,1.0,,1.0,1.0,1.0,,,,,,1.0,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2015,2014-15,False
200779-201566-201571-203500-2555,1610612760,"Steve Novak, Russell Westbrook, D.J. Augustin, Steven Adams, Nick Collison","Novak, Westbrook, Augustin, Adams, Collison",200779-201566-201571-203500-2555,OKC,108.0,2,2.0,,4.0,3.0,,,,7.0,,,,,,,,1.0,,1.0,1.0,2.0,,2.0,,2.0,2.0,,,,,,,,,,1.0,,,,,1.0,,,2.0,,1.0,,1.0,,1.0,,,,,,,,1.0,1.0,,,,,2.0,,,,,,,,0.5,,,0.25,,,0.25,,,0.5,,,,,,,1.0,,0.5,,,,93.33333333333333,14.75,16.333333333333332,14.75,16.333333333333332,,,,0.25,,,,0.25,,,,,,,,0.5,,0.495275,,,,,,,18.4,23.5,,1.0,1.0,,,2.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,0.25,0.25,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2015,2014-15,False
200779-201566-201571-203956-2555,1610612760,"Steve Novak, Russell Westbrook, D.J. Augustin, Mitch McGary, Nick Collison","Novak, Westbrook, Augustin, McGary, Collison",200779-201566-201571-203956-2555,OKC,10.0,1,,-3.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.0,,9.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2015,2014-15,False
200779-201566-201627-202683-202713,1610612760,"Steve Novak, Russell Westbrook, Anthony Morrow, Enes Kanter, Kyle Singler","Novak, Westbrook, Morrow, Kanter, Singler",200779-201566-201627-202683-202713,OKC,32.0,1,1.0,-2.0,1.0,2.0,1.0,2.0,1.0,3.0,,,,,,,,,,,,1.0,,,,,2.0,,,,,1.0,,,,,,,1.0,,,,,,,1.0,,1.0,1.0,1.0,2.0,,,,,1.0,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,,1.0,,,135.0,13.0,9.5,13.0,9.5,,,,,,,,,,,,,,,,,,0.3426,,0.3426,,,,,4.7,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2015,2014-15,False
200779-201566-201627-202683-203079,1610612760,"Steve Novak, Russell Westbrook, Anthony Morrow, Enes Kanter, Dion Waiters","Novak, Westbrook, Morrow, Kanter, Waiters",200779-201566-201627-202683-203079,OKC,694.0,6,12.0,13.0,29.0,26.0,16.0,19.0,7.0,55.0,3.0,6.0,1.0,3.0,1.0,3.0,2.0,3.0,5.0,12.0,8.0,13.0,7.0,15.0,7.0,44.0,31.0,3.0,5.0,10.0,4.0,6.0,4.0,27.0,12.0,18.0,12.0,5.0,1.0,,6.0,8.0,5.0,1.0,22.0,2.0,6.0,1.0,9.0,7.0,16.0,2.0,1.0,2.0,,3.0,1.0,3.0,7.0,5.0,,10.0,3.0,2.0,34.0,27.0,16.0,1.0,2.0,0.8571428571428571,0.4666666666666667,0.4666666666666667,0.6153846153846154,0.6,0.6666666666666666,0.6607142857142857,0.75,0.71875,0.6666666666666666,0.7142857142857143,0.7105263157894737,0.5357142857142857,,0.07692307692307693,0.16666666666666666,,0.6666666666666666,1.0,0.6,0.4,0.6666666666666666,0.5833333333333334,0.3333333333333333,0.7142857142857143,114.12103746397695,10.96551724137931,14.461538461538462,10.551724137931034,13.538461538461538,0.21428571428571427,0.5,0.6,0.10714285714285714,0.6666666666666666,0.6666666666666666,0.5,0.42857142857142855,0.4166666666666667,0.4166666666666667,1.0,0.5,0.3333333333333333,0.1875,0.3333333333333333,0.75,0.4166666666666667,0.5038053571428571,0.487,0.4906375,0.0967741935483871,0.1875,0.22727272727272727,0.6136363636363636,5.584615384615384,25.459999999999997,0.5517241379310345,5.0,2.0,,1.0,4.0,3.0,2.0,2.0,5.0,2.0,,0.25,0.3333333333333333,1.0,0.7142857142857143,,1.0,0.6666666666666666,,1.0,1.0,,0.6666666666666666,0.17857142857142858,0.07142857142857142,,,1.0,1.0,,1.0,2.0,,1.0,,,1.0,0.5,0.5,,,1.0,,4.0,1.0,1.0,2.0,2.0,3.0,8.0,1.0,1.0,5.0,10.0,4.0,1.0,0.5,1.0,0.8,0.8,0.16666666666666666,1.0,0.125,1.0,0.5,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2015,2014-15,False
200779-201566-201627-203079-203500,1610612760,"Steve Novak, Russell Westbrook, Anthony Morrow, Dion Waiters, Steven Adams","Novak, Westbrook, Morrow, Waiters, Adams",200779-201566-201627-203079-203500,OKC,115.0,1,2.0,-3.0,3.0,3.0,3.0,,,6.0,1.0,2.0,,,1.0,2.0,,,,,2.0,3.0,,,,4.0,7.0,,,,2.0,3.0,,4.0,,,,,,,,2.0,,,4.0,,1.0,,1.0,,1.0,,,,,,,1.0,1.0,,,,,,4.0,4.0,3.0,,,,,,0.6666666666666666,,0.6666666666666666,0.6666666666666666,,0.6666666666666666,0.6666666666666666,,0.6666666666666666,,,,,,,,0.3333333333333333,,0.3333333333333333,,,0.5,75.13043478260869,15.333333333333334,23.0,15.333333333333334,19.666666666666668,0.6666666666666666,0.5,0.5,,,,,,,,,,,0.6666666666666666,0.5,0.6666666666666666,,0.48186666666666667,,0.48186666666666667,,,,1.0,9.533333333333333,,1.0,,1.0,,,4.0,,2.0,1.0,,,,1.0,1.0,,,,,,,,,,1.0,,0.3333333333333333,,,,,,,,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2015,2014-15,False
200779-201566-201627-203079-203956,1610612760,"Steve Novak, Russell Westbrook, Anthony Morrow, Dion Waiters, Mitch McGary","Novak, Westbrook, Morrow, Waiters, McGary",200779-201566-201627-203079-203956,OKC,33.0,1,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,1.0,1.0,,,1.0,1.0,,3.0,2.0,,,,,,,3.0,,3.0,1.0,1.0,,,1.0,1.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,3.0,3.0,1.0,,,1.0,1.0,1.0,,,,1.5,,1.5,1.5,,1.5,1.0,,,,,,,,,,,,,87.27272727272727,19.0,14.0,19.0,14.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,0.40185,,0.40185,,,,1.0,,24.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2015,2014-15,False
