EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Charge Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceFtPoints,PtsUnassisted3s,FTOffRebounds,FTDefRebounds,SecondChanceTurnovers,Loose Ball Fouls,Charge Fouls Drawn,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,RecoveredBlocks,DefensiveGoaltends,ShortMidRangePctBlocked,DefFTReboundPct,OffFTReboundPct,OffLongMidRangeReboundPct,BlocksRecoveredPct,ThreePtShootingFoulsDrawnPct,BlockingFouls,Technical Free Throw Trips,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,Offensive Fouls,BlockedShortMidRange,SecondChanceFg3Pct,OffCorner3ReboundPct,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,HeaveAttempts,LostBallOutOfBoundsTurnovers,Travels,BlockedLongMidRange,SelfOReb,StepOutOfBoundsTurnovers,3SecondViolations,SelfORebPct,Blocked3s,BlockedCorner3,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Defensive 3 Seconds Violations,LongMidRangePctBlocked,Clear Path Fouls,Corner3PctBlocked,BlockedArc3,OffensiveGoaltends,team_id,year,season,team_vs
101133-101139-201155-201228-2449,1610612754,"Ian Mahinmi, CJ Miles, Rodney Stuckey, C.J. Watson, Luis Scola","Mahinmi, Miles, Stuckey, Watson, Scola",101133-101139-201155-201228-2449,IND,1335.0,9,22.0,-9.0,50.0,49.0,20.0,25.0,3.0,99.0,11.0,15.0,3.0,3.0,5.0,5.0,1.0,4.0,5.0,11.0,1.0,2.0,1.0,2.0,4.0,11.0,3.0,4.0,17.0,30.0,5.0,13.0,4.0,53.0,62.0,3.0,3.0,6.0,6.0,9.0,4.0,6.0,3.0,27.0,18.0,16.0,15.0,4.0,11.0,4.0,1.0,9.0,5.0,14.0,4.0,1.0,6.0,1.0,2.0,33.0,1.0,2.0,5.0,7.0,12.0,3.0,15.0,4.0,3.0,1.0,5.0,1.0,3.0,2.0,2.0,7.0,3.0,5.0,9.0,1.0,5.0,1.0,1.0,1.0,6.0,1.0,2.0,1.0,1.0,1.0,47.0,27.0,20.0,1.0,2.0,0.5294117647058824,0.6,1.0,0.38461538461538464,0.6666666666666666,0.38461538461538464,0.5666666666666667,1.0,0.6666666666666666,0.5697674418604651,1.0,0.8,0.5760869565217391,1.0,0.7941176470588235,0.3023255813953488,0.03333333333333333,0.06666666666666667,0.7142857142857143,0.7777777777777778,0.15384615384615385,1.0,0.14285714285714285,0.8571428571428571,0.15,0.25,0.3333333333333333,0.16666666666666666,0.3333333333333333,1.0,1.0,1.0,1.0,106.78651685393258,13.64,13.326530612244898,13.58,13.16326530612245,0.3488372093023256,0.7333333333333333,0.7857142857142857,0.5454545454545454,0.09302325581395349,0.25,0.25,1.0,0.2558139534883721,0.45454545454545453,0.45454545454545453,0.4,0.046511627906976744,0.5,0.5,1.0,0.2558139534883721,0.36363636363636365,0.36363636363636365,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.13333333333333333,0.5,0.26666666666666666,0.75,0.6511627906976745,0.36363636363636365,0.5251476744186047,0.6834,0.51886,0.022727272727272728,0.03225806451612903,0.11320754716981132,0.5094339622641509,8.5,25.33076923076923,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2015,2014-15,False
101133-101139-201155-201228-2561,1610612754,"Ian Mahinmi, CJ Miles, Rodney Stuckey, C.J. Watson, David West","Mahinmi, Miles, Stuckey, Watson, West",101133-101139-201155-201228-2561,IND,1861.0,14,31.0,7.0,62.0,67.0,30.0,44.0,4.0,129.0,8.0,12.0,,,3.0,5.0,5.0,9.0,11.0,22.0,,,,,4.0,7.0,2.0,2.0,24.0,43.0,4.0,7.0,13.0,73.0,66.0,1.0,3.0,5.0,12.0,20.0,2.0,2.0,10.0,40.0,18.0,30.0,9.0,,7.0,4.0,3.0,9.0,3.0,12.0,3.0,,3.0,1.0,5.0,27.0,,4.0,7.0,13.0,22.0,5.0,27.0,6.0,3.0,3.0,8.0,2.0,4.0,2.0,4.0,10.0,6.0,6.0,9.0,,19.0,1.0,2.0,,20.0,7.0,4.0,1.0,1.0,1.0,68.0,40.0,30.0,3.0,2.0,0.375,0.375,0.75,0.5714285714285714,1.0,0.5714285714285714,0.5581395348837209,0.3333333333333333,0.6,0.6,0.3333333333333333,0.6818181818181818,0.6293103448275862,0.625,0.7142857142857143,0.14,0.06976744186046512,0.16666666666666666,0.8,0.5909090909090909,0.21052631578947367,0.7777777777777778,,0.6451612903225806,0.18181818181818182,0.25,,,0.5555555555555556,0.5,0.6666666666666666,0.875,,99.81730252552391,15.387096774193548,13.537313432835822,14.64516129032258,12.388059701492537,0.24,0.6666666666666666,0.8,0.375,0.18,0.5555555555555556,0.625,0.2,0.44,0.5,0.5,0.45454545454545453,,,,,0.14,0.5714285714285714,0.5714285714285714,0.75,,,,0.22727272727272727,0.6,,,0.09090909090909091,1.0,0.38,0.5714285714285714,0.487292,0.37246666666666667,0.4736545454545455,0.14814814814814814,0.14893617021276595,0.0684931506849315,0.547945205479452,11.848837209302326,25.957142857142856,0.4838709677419355,3.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.1111111111111111,1.0,0.5,0.2727272727272727,1.0,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2015,2014-15,False
101133-101139-201155-201579-203524,1610612754,"Ian Mahinmi, CJ Miles, Rodney Stuckey, Roy Hibbert, Solomon Hill","Mahinmi, Miles, Stuckey, Hibbert, Hill",101133-101139-201155-201579-203524,IND,22.0,2,,,,2.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,1.0,,,1.0,,130.9090909090909,,11.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2015,2014-15,False
101133-101139-201155-201588-202331,1610612754,"Ian Mahinmi, CJ Miles, Rodney Stuckey, George Hill, Paul George","Mahinmi, Miles, Stuckey, Hill, George",101133-101139-201155-201588-202331,IND,7.0,1,,3.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,3.0,,,,,,,1.0,1.0,,3.0,,,3.0,,1.0,1.0,,,1.0,1.0,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,1.0,,,,,1.0,1.0,1.0,1.0,,,,1.5,,1.5,1.5,,1.5,1.0,,,,,,,,,,,,,,,,,,205.71428571428572,7.0,,7.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,0.24435,,0.24435,,,,1.0,,28.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2015,2014-15,False
101133-101139-201155-201588-202730,1610612754,"Ian Mahinmi, CJ Miles, Rodney Stuckey, George Hill, Lavoy Allen","Mahinmi, Miles, Stuckey, Hill, Allen",101133-101139-201155-201588-202730,IND,156.0,2,3.0,2.0,5.0,3.0,,2.0,,8.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,3.0,3.0,1.0,1.0,,9.0,7.0,,,,,,,,,,4.0,2.0,3.0,,,,,2.0,1.0,3.0,,1.0,1.0,,1.0,7.0,,,,,,,,,,,1.0,,,,1.0,1.0,,,2.0,,,,,,,,,,,,9.0,,,1.0,,0.6666666666666666,0.6666666666666666,1.0,1.0,,1.0,1.0,,,1.125,,,1.125,,,0.25,,,1.0,,,,,,,,,,,,,,,73.84615384615384,15.0,27.0,15.0,22.666666666666668,0.25,1.0,1.0,1.0,0.25,1.0,1.0,,0.25,1.0,1.0,1.0,0.25,1.0,1.0,1.0,,,,,,,,,,,,,,0.5,,0.541425,,,,,,,10.333333333333334,22.8,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2015,2014-15,False
101133-101139-201155-201588-2449,1610612754,"Ian Mahinmi, CJ Miles, Rodney Stuckey, George Hill, Luis Scola","Mahinmi, Miles, Stuckey, Hill, Scola",101133-101139-201155-201588-2449,IND,817.0,8,14.0,-13.0,24.0,25.0,2.0,5.0,1.0,49.0,3.0,4.0,,,,,1.0,3.0,1.0,6.0,1.0,3.0,,,1.0,3.0,,,5.0,13.0,2.0,6.0,2.0,18.0,31.0,,1.0,,,,,,,,6.0,4.0,6.0,,3.0,1.0,,3.0,2.0,5.0,1.0,1.0,2.0,,1.0,12.0,,2.0,5.0,3.0,9.0,2.0,11.0,1.0,1.0,,5.0,,4.0,,1.0,5.0,1.0,2.0,6.0,,10.0,1.0,2.0,,6.0,2.0,1.0,1.0,1.0,1.0,18.0,,2.0,,1.0,0.6,0.6,1.0,0.3333333333333333,,0.3333333333333333,0.38461538461538464,,,0.42105263157894735,,,0.40476190476190477,,,0.3157894736842105,,,1.0,0.5,0.25,0.625,,0.5714285714285714,0.18181818181818182,1.0,,,0.5,,0.5,0.6,0.6666666666666666,86.36474908200734,17.166666666666668,16.2,16.583333333333332,14.44,0.21052631578947367,0.75,0.75,0.6666666666666666,0.15789473684210525,0.3333333333333333,0.3333333333333333,,0.3157894736842105,0.16666666666666666,0.16666666666666666,1.0,0.15789473684210525,0.3333333333333333,0.3333333333333333,1.0,0.15789473684210525,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,0.5263157894736842,0.3333333333333333,0.50225,0.3336,,0.1,0.14285714285714285,,,10.223076923076924,24.5,0.08333333333333333,,,,1.0,,2.0,,1.0,,,,,,0.5,,0.2,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2015,2014-15,False
101133-101139-201155-201588-2561,1610612754,"Ian Mahinmi, CJ Miles, Rodney Stuckey, George Hill, David West","Mahinmi, Miles, Stuckey, Hill, West",101133-101139-201155-201588-2561,IND,1713.0,15,29.0,6.0,57.0,56.0,23.0,32.0,8.0,113.0,11.0,14.0,3.0,3.0,3.0,5.0,4.0,13.0,3.0,12.0,2.0,4.0,,1.0,4.0,9.0,3.0,5.0,18.0,39.0,6.0,13.0,11.0,65.0,59.0,3.0,4.0,12.0,3.0,10.0,3.0,6.0,8.0,23.0,22.0,14.0,18.0,4.0,9.0,4.0,1.0,11.0,6.0,17.0,4.0,2.0,6.0,2.0,3.0,40.0,1.0,5.0,5.0,17.0,22.0,7.0,29.0,3.0,2.0,1.0,4.0,,3.0,1.0,1.0,5.0,3.0,6.0,10.0,,15.0,,2.0,2.0,15.0,5.0,4.0,2.0,1.0,2.0,53.0,23.0,23.0,,4.0,0.6111111111111112,0.6875,1.0,0.46153846153846156,0.5,0.46153846153846156,0.46153846153846156,0.75,0.3,0.5192307692307693,0.75,0.46875,0.5603448275862069,0.8571428571428571,0.5476190476190477,0.25,0.02564102564102564,,0.8,0.68,0.23809523809523808,0.5,0.16666666666666666,0.6285714285714286,0.2222222222222222,0.3333333333333333,0.2222222222222222,,0.5,0.7142857142857143,0.8,0.5555555555555556,,94.99124343257442,15.175438596491228,15.142857142857142,14.12280701754386,13.875,0.2692307692307692,0.7857142857142857,0.7857142857142857,0.5454545454545454,0.25,0.3076923076923077,0.3333333333333333,0.5,0.23076923076923078,0.25,0.25,1.0,0.07692307692307693,0.5,0.5,1.0,0.17307692307692307,0.4444444444444444,0.4444444444444444,1.0,0.5,1.0,0.3333333333333333,0.3125,0.6,0.0625,,0.3125,0.6,0.5192307692307693,0.4444444444444444,0.49988269230769233,0.5273583333333333,0.507815625,0.09259259259259259,0.12195121951219512,0.18461538461538463,0.35384615384615387,9.353846153846154,25.200000000000003,0.40350877192982454,3.0,,1.0,,1.0,1.0,1.0,3.0,,,,,0.07692307692307693,,0.25,0.2222222222222222,,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.5,0.16666666666666666,0.16666666666666666,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1610612754,2015,2014-15,False
101133-101139-201155-202388-202730,1610612754,"Ian Mahinmi, CJ Miles, Rodney Stuckey, Donald Sloan, Lavoy Allen","Mahinmi, Miles, Stuckey, Sloan, Allen",101133-101139-201155-202388-202730,IND,72.0,2,1.0,-5.0,1.0,2.0,,,,3.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,5.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,60.0,33.0,19.5,33.0,15.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3625,,,,,,,7.6,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2015,2014-15,False
101133-101139-201155-202388-203142,1610612754,"Ian Mahinmi, CJ Miles, Rodney Stuckey, Donald Sloan, Chris Copeland","Mahinmi, Miles, Stuckey, Sloan, Copeland",101133-101139-201155-202388-203142,IND,94.0,2,2.0,7.0,3.0,4.0,2.0,2.0,2.0,7.0,,1.0,,,,1.0,,,,,2.0,2.0,2.0,2.0,1.0,1.0,,,,1.0,3.0,3.0,,9.0,2.0,,,6.0,,1.0,2.0,2.0,,6.0,,,9.0,,1.0,1.0,1.0,,3.0,3.0,1.0,2.0,,,,9.0,,1.0,1.0,,2.0,1.0,3.0,,,,,,,,,,,,1.0,,,,,,,,,,,,3.0,6.0,2.0,1.0,,,,1.0,1.0,1.0,1.0,,,,1.125,1.5,1.0,1.125,1.5,1.0,0.75,1.0,1.0,,,1.0,1.0,,0.5,1.0,1.0,,,,,,1.0,,107.23404255319149,16.333333333333332,11.25,9.666666666666666,11.25,0.25,,,,,,,,,,,,0.5,1.0,1.0,1.0,0.25,1.0,1.0,1.0,,,,0.3333333333333333,,0.6666666666666666,1.0,,,1.0,1.0,0.6141125000000001,0.55635,0.6171166666666666,,,0.6666666666666666,0.6666666666666666,1.1,23.23333333333333,0.6666666666666666,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,1.0,1.0,1.0,2.0,2.0,,,1.0,,0.5,0.5,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1610612754,2015,2014-15,False
101133-101139-201155-202388-2449,1610612754,"Ian Mahinmi, CJ Miles, Rodney Stuckey, Donald Sloan, Luis Scola","Mahinmi, Miles, Stuckey, Sloan, Scola",101133-101139-201155-202388-2449,IND,921.0,8,15.0,10.0,34.0,30.0,3.0,6.0,4.0,64.0,4.0,9.0,1.0,2.0,,,,7.0,3.0,6.0,1.0,2.0,,,4.0,8.0,,,7.0,22.0,5.0,10.0,6.0,35.0,25.0,1.0,2.0,6.0,,1.0,,,,,10.0,4.0,15.0,2.0,8.0,4.0,1.0,5.0,5.0,10.0,4.0,1.0,2.0,,3.0,25.0,2.0,3.0,2.0,9.0,11.0,5.0,16.0,7.0,6.0,1.0,3.0,1.0,1.0,2.0,2.0,5.0,2.0,3.0,8.0,,7.0,2.0,,,7.0,1.0,,,,,29.0,,3.0,,,0.7142857142857143,0.8333333333333334,1.0,0.5,,0.5,0.3181818181818182,0.5,,0.453125,0.625,,0.5147058823529411,0.75,,0.3125,0.045454545454545456,0.1111111111111111,0.6,0.8181818181818182,0.2,0.6666666666666666,0.4,0.7857142857142857,0.25,0.4,0.14285714285714285,0.5,0.5,0.75,1.0,1.0,0.5,100.06514657980456,14.147058823529411,14.666666666666666,13.235294117647058,14.333333333333334,0.28125,0.4444444444444444,0.5,0.5,0.21875,,,,0.1875,0.5,0.5,1.0,0.0625,0.5,0.5,1.0,0.25,0.5,0.5,1.0,0.5,0.5,,,,,,,,0.59375,0.5,0.5316984375,0.62615,0.4252,0.11764705882352941,0.043478260869565216,0.17142857142857143,,8.118181818181817,25.830000000000002,0.08823529411764706,1.0,,,,1.0,1.0,,,2.0,3.0,,,,,,,,0.2727272727272727,,,,1.0,2.0,1.0,2.0,1.0,,0.5,,,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,1610612754,2015,2014-15,False
