EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,PtsAssisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGM,PenaltyArc3FGA,FG3M,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,DefThreePtRebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,Fouls,Loose Ball Fouls Drawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,LiveBallTurnoverPct,DefThreePtReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,LongMidRangeFrequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,PenaltyDefPoss,NonShootingPenaltyNonTakeFouls,SecondChanceOffPoss,Corner3FGA,PenaltyCorner3FGA,SecondChanceArc3FGA,SecondChanceFG3A,PenaltyFtPoints,OffThreePtRebounds,FTDefRebounds,OffRebounds,LostBallTurnovers,PenaltyTurnovers,ShootingFouls,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,DefFTReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffCorner3ReboundPct,Corner3Frequency,SecondChanceArc3Frequency,PenaltyCorner3Frequency,SecondChanceAtRimFGA,SecondChanceFG2A,Fg2aBlocked,OffTwoPtRebounds,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,SecondChanceAtRimFrequency,SecondChanceShotQualityAvg,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Corner3FGM,SecondChanceFtPoints,SecondChancePoints,Corner3Assists,SecondChanceTsPct,DefShortMidRangeReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChancePointsPct,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,BlocksRecoveredPct,LostBallSteals,BlockingFoulsDrawn,SecondChanceTurnovers,BlockingFouls,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG3M,PenaltyFG3M,PtsUnassisted3s,Loose Ball Fouls,SecondChanceFg3Pct,PenaltyFg3Pct,SecondChanceEfgPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,SecondChanceAtRimFGM,SecondChanceFG2M,PtsPutbacks,SelfOReb,SecondChanceFg2Pct,SelfORebPct,SecondChanceAtRimAccuracy,ShortMidRangeFGM,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Defensive 3 Seconds Violations,Travels,BadPassOutOfBoundsTurnovers,BlockedShortMidRange,OffLongMidRangeReboundPct,DefCorner3ReboundPct,HeaveAttempts,Offensive Fouls Drawn,DefensiveGoaltends,SecondChanceAtRimPctAssisted,FTOffRebounds,OffFTReboundPct,LongMidRangeFGM,LongMidRangeAssists,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,2pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Offensive Fouls,PenaltyCorner3FGM,ShortMidRangeAssists,Technical Free Throw Trips,BlockedLongMidRange,ShortMidRangePctAssisted,PenaltyCorner3Accuracy,SecondChanceCorner3FGA,3SecondViolations,SecondChanceCorner3Frequency,Charge Fouls,Charge Fouls Drawn,StepOutOfBoundsTurnovers,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,LongMidRangePctBlocked,Blocked3s,BlockedCorner3,OffensiveGoaltends,BlockedArc3,Corner3PctBlocked,HeaveMakes,Clear Path Fouls,team_id,year,season,team_vs
200779-202324-202330-202407-203546,1610612762,"Steve Novak, Derrick Favors, Gordon Hayward, Elijah Millsap, Ian Clark","Novak, Favors, Hayward, Millsap, Clark",200779-202324-202330-202407-203546,UTA,125.0,1,2.0,1.0,4.0,3.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,4.0,2.0,5.0,1.0,1.0,1.0,0.5,0.625,0.5,0.5,0.5,0.5,80.64,18.75,16.666666666666668,18.75,15.666666666666666,0.5,1.0,1.0,1.0,0.5,1.0,0.6062,0.5,0.6666666666666666,0.1,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2015,2014-15,False
200779-202324-202330-202692-203504,1610612762,"Steve Novak, Derrick Favors, Gordon Hayward, Alec Burks, Trey Burke","Novak, Favors, Hayward, Burks, Burke",200779-202324-202330-202692-203504,UTA,276.0,3,5.0,-3.0,11.0,9.0,20.0,2.0,2.0,3.0,2.0,5.0,3.0,2.0,9.0,12.0,2.0,3.0,1.0,2.0,1.0,5.0,1.0,2.0,2.0,3.0,2.0,1.0,9.0,0.5,0.5,0.4,0.4375,0.5,0.375,0.5,0.6666666666666666,,104.34782608695653,14.181818181818182,13.333333333333334,14.181818181818182,13.333333333333334,0.25,1.0,1.0,0.5,0.375,0.625,0.52801875,0.1111111111111111,0.16666666666666666,9.059999999999999,25.2,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.5,1.0,0.25,0.125,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,0.5397666666666666,0.2222222222222222,0.2727272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2015,2014-15,False
200779-202324-202330-202692-204060,1610612762,"Steve Novak, Derrick Favors, Gordon Hayward, Alec Burks, Joe Ingles","Novak, Favors, Hayward, Burks, Ingles",200779-202324-202330-202692-204060,UTA,3.0,1,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2015,2014-15,False
200779-202324-202330-203497-203504,1610612762,"Steve Novak, Derrick Favors, Gordon Hayward, Rudy Gobert, Trey Burke","Novak, Favors, Hayward, Gobert, Burke",200779-202324-202330-203497-203504,UTA,2.0,1,,-2.0,1.0,1.0,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1440.0,2.0,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2015,2014-15,False
200779-202324-202330-203504-203918,1610612762,"Steve Novak, Derrick Favors, Gordon Hayward, Trey Burke, Rodney Hood","Novak, Favors, Hayward, Burke, Hood",200779-202324-202330-203504-203918,UTA,111.0,3,2.0,-10.0,4.0,6.0,10.0,,,1.0,,,2.0,1.0,1.0,11.0,,1.0,,,,,,1.0,2.0,2.0,4.0,1.0,1.0,,,,,0.125,1.0,,,,129.7297297297297,11.5,10.833333333333334,10.25,10.833333333333334,,,,,0.5,1.0,0.582,0.3333333333333333,1.0,,23.9,4.0,,,,,,1.0,,,,2.0,1.0,,,,,,,,,2.0,1.0,2.0,4.0,,1.0,4.0,,,,,,0.125,1.0,,,,,,,,,,,0.5,,0.582,1.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2015,2014-15,False
200779-202324-202330-203504-203957,1610612762,"Steve Novak, Derrick Favors, Gordon Hayward, Trey Burke, Dante Exum","Novak, Favors, Hayward, Burke, Exum",200779-202324-202330-203504-203957,UTA,124.0,4,2.0,-8.0,5.0,3.0,8.0,,2.0,1.0,,3.0,3.0,,,8.0,,1.0,,,,,,,2.0,,,,,,,,,,0.5,,,,92.9032258064516,15.8,15.0,14.0,13.0,0.3333333333333333,,,,0.16666666666666666,0.8333333333333334,0.5304333333333333,,,3.3000000000000003,23.866666666666664,4.0,,,1.0,,,,,,1.0,2.0,,,,,,,,,,1.0,1.0,1.0,3.0,,,4.0,,,,,,,1.0,,,,0.16666666666666666,,,,,,,,,0.45071666666666665,,0.8,2.0,1.0,1.0,2.0,2.0,,,,1.0,,2.0,,1.0,1.0,,,,0.3333333333333333,0.3333333333333333,,0.3333333333333333,,0.6666666666666666,2.0,2.0,2.0,1.0,0.6666666666666666,1.0,0.3333333333333333,0.5,1.0,1.0,0.5692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2015,2014-15,False
200779-202324-202330-203504-204060,1610612762,"Steve Novak, Derrick Favors, Gordon Hayward, Trey Burke, Joe Ingles","Novak, Favors, Hayward, Burke, Ingles",200779-202324-202330-203504-204060,UTA,114.0,3,2.0,-6.0,5.0,5.0,10.0,1.0,1.0,2.0,1.0,2.0,2.0,,2.0,8.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,2.0,1.0,1.0,0.5,0.25,0.25,0.5,1.0,1.0,1.0,126.31578947368422,12.0,10.8,12.0,10.8,0.25,1.0,1.0,1.0,0.5,0.75,0.506825,,,6.25,25.35,1.0,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,0.25,,,,,,,1.0,,0.3291,,0.2,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2015,2014-15,False
200779-202324-202344-203504-203957,1610612762,"Steve Novak, Derrick Favors, Trevor Booker, Trey Burke, Dante Exum","Novak, Favors, Booker, Burke, Exum",200779-202324-202344-203504-203957,UTA,80.0,1,1.0,7.0,3.0,3.0,6.0,,,1.0,,,3.0,1.0,7.0,,,1.0,,2.0,,6.0,2.0,3.0,4.0,1.0,2.0,1.0,6.0,,,,1.0,0.875,1.0,1.0,1.0,,108.0,12.333333333333334,14.333333333333334,12.333333333333334,14.333333333333334,,,,,0.3333333333333333,1.0,0.6201,0.25,1.0,,23.96666666666667,,,,,,1.0,,2.0,,,,,,6.0,1.0,2.0,1.0,,,,,,,,,,,1.0,0.6666666666666666,0.6666666666666666,,,,,,,,,,1.0,1.0,1.0,,,,1.0,,,,,,1.0,2.0,,,,,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,0.6666666666666666,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2015,2014-15,False
200779-202324-202407-202683-203504,1610612762,"Steve Novak, Derrick Favors, Elijah Millsap, Enes Kanter, Trey Burke","Novak, Favors, Millsap, Kanter, Burke",200779-202324-202407-202683-203504,UTA,19.0,1,,,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,75.78947368421053,19.0,,19.0,,1.0,,,,,1.0,0.4431,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2015,2014-15,False
200779-202324-202407-203497-203504,1610612762,"Steve Novak, Derrick Favors, Elijah Millsap, Rudy Gobert, Trey Burke","Novak, Favors, Millsap, Gobert, Burke",200779-202324-202407-203497-203504,UTA,41.0,1,1.0,2.0,2.0,1.0,3.0,,,1.0,,,1.0,2.0,2.0,,,1.0,,,,,1.0,1.0,1.0,1.0,2.0,1.0,2.0,,,,,0.5,1.0,1.0,1.0,1.0,105.36585365853658,11.5,18.0,11.5,18.0,,,,,1.0,1.0,0.2532,0.5,1.0,,30.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2015,2014-15,False
