EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,ShortMidRangeFGA,Arc3FGA,FG2A,FG3A,FtPoints,Points,OpponentPoints,NonHeaveArc3FGA,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,TsPct,FG3APct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyDefPoss,ShortMidRangeFGM,FG2M,PtsUnassisted2s,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,Fouls,Fg2Pct,EfgPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,PenaltyOffPoss,SecondChanceOffPoss,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,LongMidRangeFGA,SecondChanceFG2A,PenaltyFG2A,Fg2aBlocked,OffTwoPtRebounds,OffRebounds,PenaltyOffPossExcludingTakeFouls,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,AtRimFrequency,LongMidRangeFrequency,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyOffPossPct,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,LiveBallTurnovers,BadPassTurnovers,Turnovers,ThreePtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyEfgPct,PenaltyTsPct,LiveBallTurnoverPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,PenaltyPointsPct,LostBallTurnovers,PenaltyTurnovers,AtRimFGM,PtsAssisted2s,TwoPtAssists,ShortMidRangeAssists,ShootingFouls,Assisted2sPct,NonPutbacksAssisted2sPct,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimFGM,SecondChanceFG2M,SecondChancePoints,PtsPutbacks,2pt And 1 Free Throw Trips,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,SecondChanceAtRimAccuracy,SecondChancePointsPct,PenaltyAtRimFGM,LongMidRangeFGM,Corner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,PenaltyFG2M,PenaltyFtPoints,PtsUnassisted3s,Corner3Assists,AtRimAssists,OffThreePtRebounds,FTDefRebounds,DeadBallTurnovers,Offensive Fouls,NonShootingFoulsDrawn,BlockedShortMidRange,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,PenaltyFg2Pct,DefFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,AtRimPctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimAccuracy,SecondChanceFtPoints,Fg3aBlocked,LongMidRangeAssists,SelfOReb,LostBallSteals,BadPassOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,BlockingFouls,Loose Ball Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,BlockingFoulsDrawn,DefensiveGoaltends,FG3APctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,SelfORebPct,LongMidRangePctAssisted,SecondChanceCorner3FGM,Offensive Fouls Drawn,Blocked3s,BlockedArc3,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,DefCorner3ReboundPct,PenaltyCorner3FGM,PenaltyCorner3Accuracy,StepOutOfBoundsTurnovers,Charge Fouls,Technical Free Throw Trips,3SecondViolations,SecondChanceAtRimPctAssisted,LostBallOutOfBoundsTurnovers,BlockedLongMidRange,Corner3PctBlocked,FTOffRebounds,OffFTReboundPct,LongMidRangePctBlocked,HeaveAttempts,OffensiveGoaltends,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
1890-202389-202681-202684-202697,1610612739,"Shawn Marion, Timofey Mozgov, Kyrie Irving, Tristan Thompson, Iman Shumpert","Marion, Mozgov, Irving, Thompson, Shumpert",1890-202389-202681-202684-202697,CLE,77.0,1,1.0,-2.0,3.0,2.0,5,1.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,2.0,0.3333333333333333,0.5,93.5064935064935,16.666666666666668,13.5,16.666666666666668,12.0,0.5,0.5,0.5,0.418525,0.3333333333333333,0.5,12.4,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2015,2014-15,False
1890-202389-202681-202684-2544,1610612739,"Shawn Marion, Timofey Mozgov, Kyrie Irving, Tristan Thompson, LeBron James","Marion, Mozgov, Irving, Thompson, James",1890-202389-202681-202684-2544,CLE,105.0,1,2.0,2.0,2.0,3.0,5,2.0,,2.0,,,2.0,,,1.0,,,2.0,0.5,,68.57142857142857,15.5,24.666666666666668,15.5,24.666666666666668,1.0,,,0.4036,,,7.8,,3.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2015,2014-15,False
1890-202389-202681-2034-2544,1610612739,"Shawn Marion, Timofey Mozgov, Kyrie Irving, Mike Miller, LeBron James","Marion, Mozgov, Irving, Miller, James",1890-202389-202681-2034-2544,CLE,25.0,1,,,1.0,,1,1.0,,3.0,,,,,,,,,,,,57.599999999999994,25.0,,15.0,,0.3333333333333333,,0.3333333333333333,0.3495,,,9.1,,,,,,,,,3.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,3.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.3829,0.3495,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2015,2014-15,False
1890-202389-203521-2592-2747,1610612739,"Shawn Marion, Timofey Mozgov, Matthew Dellavedova, James Jones, JR Smith","Marion, Mozgov, Dellavedova, Jones, Smith",1890-202389-203521-2592-2747,CLE,264.0,2,4.0,3.0,8.0,8.0,16,4.0,1.0,5.0,2.0,5.0,10.0,7.0,1.0,2.0,5.0,1.0,10.0,0.5555555555555556,0.2857142857142857,87.27272727272727,17.125,15.875,16.375,15.875,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.43825000000000003,0.2222222222222222,0.16666666666666666,9.459999999999999,25.95,5.0,1.0,1.0,2.0,1.0,3.0,4.0,6.0,,,,0.2,0.35714285714285715,1.0,1.0,1.0,,1.0,0.25,0.25,4.0,2.0,,,,1.0,1.0,4.0,,2.0,2.0,4.0,,,0.5,0.4,,0.6666666666666666,,,0.14285714285714285,,,0.5528,0.44755833333333334,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.5,0.5,0.5,0.25,0.25,1.0,1.0,1.0,1.0,0.14285714285714285,1.0,1.0,1.0,0.5,0.16666666666666666,0.16666666666666666,1.0,1.0,0.3333333333333333,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2015,2014-15,False
1890-202684-202697-203521-2592,1610612739,"Shawn Marion, Tristan Thompson, Iman Shumpert, Matthew Dellavedova, James Jones","Marion, Thompson, Shumpert, Dellavedova, Jones",1890-202684-202697-203521-2592,CLE,31.0,1,1.0,3.0,2.0,2.0,4,,1.0,,1.0,,3.0,,1.0,,,,3.0,1.5,1.0,185.8064516129032,9.0,6.5,9.0,6.5,,1.0,1.0,0.3603,,,,25.6,2.0,,,,,,,,2.0,2.0,,,1.5,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,0.3603,1.0,,,,1.0,1.0,1.0,1.0,,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,,1.0,,,,,,3.0,1.0,1.0,1.0,1.0,1.5,1.5,1.0,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2015,2014-15,False
1890-202684-203521-2544-2592,1610612739,"Shawn Marion, Tristan Thompson, Matthew Dellavedova, LeBron James, James Jones","Marion, Thompson, Dellavedova, James, Jones",1890-202684-203521-2544-2592,CLE,176.0,2,3.0,,5.0,4.0,9,1.0,,3.0,1.0,,6.0,6.0,,,,,6.0,0.75,0.25,73.63636363636364,13.4,27.25,13.4,27.25,0.25,,0.75,0.587575,,,2.2666666666666666,22.6,,1.0,3.0,4.0,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.75,1.0,,1.0,,,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,0.5,,,,,,,1.0,,,,,,,,,,,,,,1.0,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,1.0,,0.25,,,,,,,,,,,,,2.0,2.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2015,2014-15,False
1890-202684-203521-2592-2747,1610612739,"Shawn Marion, Tristan Thompson, Matthew Dellavedova, James Jones, JR Smith","Marion, Thompson, Dellavedova, Jones, Smith",1890-202684-203521-2592-2747,CLE,142.0,2,2.0,5.0,4.0,4.0,8,1.0,1.0,4.0,1.0,,7.0,2.0,1.0,1.0,1.0,1.0,5.0,0.7,0.2,81.12676056338029,19.25,16.25,19.25,14.25,0.2,0.2,0.8,0.58513,0.2,0.25,3.725,24.6,2.0,,2.0,4.0,1.0,1.0,2.0,3.0,,,,0.5,0.7,0.5,1.0,0.6666666666666666,,1.0,,,,1.0,3.0,1.0,,,1.0,,1.0,1.0,1.0,,0.25,0.3333333333333333,0.5,0.5,1.0,,,0.6,,1.0,,0.5274,,,,,,1.0,,,1.0,,,,,3.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,1.0,1.0,,1.0,,,,1.0,,,,1.0,1.0,1.0,,,,,1.0,,,,,2.0,,,,,,,0.6666666666666666,1.0,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2015,2014-15,False
1890-202684-2544-2592-2747,1610612739,"Shawn Marion, Tristan Thompson, LeBron James, James Jones, JR Smith","Marion, Thompson, James, Jones, Smith",1890-202684-2544-2592-2747,CLE,27.0,1,,-2.0,1.0,1.0,2,,,,,,,2.0,,,,,,,,106.66666666666666,4.0,23.0,4.0,23.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2015,2014-15,False
201567-202389-202681-202697-2544,1610612739,"Kevin Love, Timofey Mozgov, Kyrie Irving, Iman Shumpert, LeBron James","Love, Mozgov, Irving, Shumpert, James",201567-202389-202681-202697-2544,CLE,595.0,3,10.0,16.0,19.0,17.0,36,2.0,5.0,11.0,7.0,5.0,30.0,14.0,5.0,4.0,7.0,1.0,25.0,0.7142857142857143,0.3888888888888889,87.12605042016807,17.263157894736842,15.705882352941176,16.57894736842105,15.352941176470589,0.1111111111111111,0.2777777777777778,0.7777777777777778,0.5667166666666668,0.1,0.08333333333333333,5.809090909090909,24.842857142857145,5.0,1.0,8.0,12.0,4.0,5.0,10.0,14.0,,,3.0,0.7272727272727273,0.6944444444444444,0.8333333333333334,1.0,0.9,1.0,1.0,0.5,0.5,2.0,3.0,7.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,4.0,2.0,0.18181818181818182,0.2857142857142857,0.3333333333333333,0.5714285714285714,,1.0,,0.3888888888888889,0.1111111111111111,0.5,1.0,0.6432,0.6783,0.10526315789473684,2.0,1.0,,2.0,,,3.0,2.0,,,4.0,6.0,2.0,2.0,4.0,1.0,10.0,1.0,,2.0,1.0,1.0,,1.0,1.0,4.0,0.6666666666666666,0.42857142857142855,,0.42857142857142855,1.0,1.0,0.5,,0.75,1.0,0.1111111111111111,0.4,0.4,0.5,0.25,,,,0.4,0.125,0.13333333333333333,1.0,,5.0,4.0,2.0,,1.0,0.25,0.2857142857142857,0.7142857142857143,1.0,,1.0,1.0,5.0,2.0,,0.5,0.625,0.625,0.5,0.16666666666666666,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.75,0.6666666666666666,1.0,0.4,1.0,1.0,0.5,0.5,1.0,0.25,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2015,2014-15,False
201567-202389-202681-202697-2747,1610612739,"Kevin Love, Timofey Mozgov, Kyrie Irving, Iman Shumpert, JR Smith","Love, Mozgov, Irving, Shumpert, Smith",201567-202389-202681-202697-2747,CLE,8.0,1,,1.0,1.0,,1,,,,,1.0,1.0,,,1.0,2.0,1.0,,0.5,,180.0,8.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,0.5,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,0.5,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2015,2014-15,False
