EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PtsUnassisted2s,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,Fg2Pct,EfgPct,TsPct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,ShotQualityAvg,Avg2ptShotDistance,Steals,LostBallSteals,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsPutbacks,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,FoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,SecondChanceShotQualityAvg,SecondChancePointsPct,Loose Ball Fouls,DefLongMidRangeReboundPct,ShortMidRangeFGM,ShortMidRangeFGA,RecoveredBlocks,BlocksRecoveredPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,PenaltyOffPoss,PenaltyDefPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGA,SecondChanceArc3FGA,FG3M,FG3A,FtPoints,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGA,Fg2aBlocked,ThreePtAssists,Corner3Assists,OffThreePtRebounds,SelfOReb,PenaltyTurnovers,Loose Ball Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,SelfORebPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceFG3M,NonHeaveArc3FGM,Arc3Assists,ShortMidRangeAssists,LongMidRangeAssists,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Offensive Fouls,Charge Fouls Drawn,Offensive Fouls Drawn,BlockedShortMidRange,SecondChanceFg3Pct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,ShortMidRangePctAssisted,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,NonHeaveArc3Accuracy,PenaltyArc3FGM,PenaltyArc3FGA,PtsUnassisted3s,LostBallOutOfBoundsTurnovers,PenaltyArc3Frequency,PenaltyArc3Accuracy,BlockingFouls,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,FTOffRebounds,OffFTReboundPct,SecondChanceFtPoints,Travels,ShortMidRangePctBlocked,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,Defensive 3 Seconds Violations,Charge Fouls,3SecondViolations,BlockingFoulsDrawn,BlockedLongMidRange,Technical Free Throw Trips,3pt And 1 Free Throw Trips,DefensiveGoaltends,HeaveAttempts,LongMidRangePctBlocked,Fg3aBlocked,Blocked3s,BlockedCorner3,FG3APctBlocked,Arc3PctBlocked,BlockedArc3,OffensiveGoaltends,Clear Path Fouls,team_id,year,season,team_vs
101142-201147-203133-203498-203897,1610612750,"Ronny Turiaf, Corey Brewer, Robbie Hummel, Shabazz Muhammad, Zach LaVine","Turiaf, Brewer, Hummel, Muhammad, LaVine",101142-201147-203133-203498-203897,MIN,89.0,1,1.0,-1.0,3.0,3.0,6.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,97.07865168539325,18.333333333333332,11.333333333333334,18.333333333333332,10.666666666666666,1.0,1.0,1.0,0.4053,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2015,2014-15,True
101142-201147-203133-203498-2590,1610612750,"Ronny Turiaf, Corey Brewer, Robbie Hummel, Shabazz Muhammad, Mo Williams","Turiaf, Brewer, Hummel, Muhammad, Williams",101142-201147-203133-203498-2590,MIN,47.0,1,1.0,-2.0,2.0,2.0,4.0,,,,,,2.0,,,,,,2.0,,2.0,2.0,,,,,,,,,,1.0,,,,,122.55319148936171,17.5,6.0,17.5,6.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2015,2014-15,True
101142-201147-203133-203897-2755,1610612750,"Ronny Turiaf, Corey Brewer, Robbie Hummel, Zach LaVine, Kevin Martin","Turiaf, Brewer, Hummel, LaVine, Martin",101142-201147-203133-203897-2755,MIN,77.0,1,1.0,6.0,3.0,2.0,5.0,,1.0,3.0,4.0,6.0,,4.0,,,1.0,2.0,,,,,,,,,,4.0,0.75,0.75,0.75,,,,1.0,,93.5064935064935,13.0,19.0,13.0,19.0,0.25,,,0.6031,4.875,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.3333333333333333,1.0,1.0,0.75,0.5348,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2015,2014-15,True
101142-201147-203476-203952-2590,1610612750,"Ronny Turiaf, Corey Brewer, Gorgui Dieng, Andrew Wiggins, Mo Williams","Turiaf, Brewer, Dieng, Wiggins, Williams",101142-201147-203476-203952-2590,MIN,18.0,1,,,,1.0,1.0,,,,,,,,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,1.0,1.0,,80.0,,18.0,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2015,2014-15,True
201147-201152-201593-201937-201978,1610612750,"Corey Brewer, Thaddeus Young, Nikola Pekovic, Ricky Rubio, Chase Budinger","Brewer, Young, Pekovic, Rubio, Budinger",201147-201152-201593-201937-201978,MIN,148.0,1,2.0,2.0,5.0,5.0,10.0,,1.0,2.0,5.0,4.0,2.0,2.0,3.0,,3.0,3.0,,,,,,,1.0,1.0,1.0,4.0,0.4,0.4,0.4,,,0.6,0.6,0.6666666666666666,97.29729729729729,10.0,19.6,10.0,17.0,0.2,,,0.50514,8.120000000000001,,,,1.0,2.0,,,,,,2.0,,1.0,1.0,1.0,2.0,,,,,0.5,0.5,,,,,,,,,0.4,0.5,0.5,1.0,,,0.4,,,,1.0,1.0,2.0,1.0,1.0,0.4,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2015,2014-15,True
201147-201152-201593-201937-203498,1610612750,"Corey Brewer, Thaddeus Young, Nikola Pekovic, Ricky Rubio, Shabazz Muhammad","Brewer, Young, Pekovic, Rubio, Muhammad",201147-201152-201593-201937-203498,MIN,194.0,2,3.0,1.0,8.0,7.0,15.0,,2.0,2.0,5.0,12.0,11.0,2.0,2.0,,2.0,5.0,1.0,,1.0,1.0,,1.0,,,,10.0,0.4,0.4375,0.6,1.0,,0.5,0.5,1.0,111.34020618556701,11.625,14.428571428571429,10.0,13.571428571428571,0.25,,,0.55018125,7.459999999999999,,,2.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,5.0,1.0,,3.0,5.0,0.5,1.0,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.6,,,0.375,0.6666666666666666,1.0,0.5,0.3333333333333333,1.0,0.75,0.685,0.16666666666666666,,,,,,,,,,6.0,7.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,5.0,1.0,1.0,3.0,1.0,1.0,4.0,9.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,5.0,1.0,2.0,1.0,9.0,6.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.625,0.75,0.375,0.2,0.3333333333333333,1.0,1.0,1.0,0.25,0.125,1.0,1.0,1.0,0.25,0.3333333333333333,0.5,0.5,0.25,1.0,0.531575,0.2222222222222222,0.3333333333333333,0.75,24.5,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2015,2014-15,True
201147-201152-201593-201937-203952,1610612750,"Corey Brewer, Thaddeus Young, Nikola Pekovic, Ricky Rubio, Andrew Wiggins","Brewer, Young, Pekovic, Rubio, Wiggins",201147-201152-201593-201937-203952,MIN,1893.0,2,32.0,-4.0,63.0,63.0,126.0,4.0,11.0,22.0,45.0,64.0,68.0,24.0,15.0,2.0,19.0,26.0,7.0,4.0,3.0,14.0,9.0,18.0,5.0,4.0,5.0,52.0,0.4888888888888889,0.5566037735849056,0.5614035087719298,0.5,1.0,0.5357142857142857,0.53125,0.5833333333333334,95.84786053882726,16.206349206349206,13.841269841269842,15.492063492063492,13.158730158730158,0.20754716981132076,0.36363636363636365,0.36363636363636365,0.4846981132075472,8.804444444444444,6.0,2.0,7.0,10.0,15.0,3.0,3.0,3.0,4.0,12.0,20.0,6.0,10.0,15.0,5.0,35.0,7.0,2.0,7.0,15.0,0.45454545454545453,0.5263157894736842,0.75,1.0,1.0,0.30434782608695654,0.5,0.2692307692307692,0.42857142857142855,,0.2830188679245283,0.6666666666666666,0.6666666666666666,0.5,0.5,1.0,0.4339622641509434,0.57745,0.1875,2.0,0.5714285714285714,8.0,19.0,3.0,0.6,0.3584905660377358,0.42105263157894735,0.42105263157894735,2.0,10.0,,,2.0,4.0,,,4.0,1.0,5.0,8.0,5.0,2.0,,2.0,,,2.0,2.0,15.0,4.0,,5.0,2.0,,1.0,,,7.0,,4.0,,2.0,2.0,,,1.0,0.625,,0.625,,,0.3333333333333333,0.1509433962264151,,,,0.2,,0.038461538461538464,0.07547169811320754,0.5,0.5,1.0,0.07547169811320754,0.16666666666666666,,,,,0.38235,0.07017543859649122,0.08163265306122448,0.03125,24.3375,0.031746031746031744,1.0,1.0,3.0,1.0,2.0,3.0,3.0,2.0,3.0,4.0,1.0,7.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.2727272727272727,0.4444444444444444,1.0,0.25,0.75,0.75,0.75,1.0,0.16666666666666666,1.0,1.0,1.0,1.0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2015,2014-15,True
201147-201152-201593-201937-2590,1610612750,"Corey Brewer, Thaddeus Young, Nikola Pekovic, Ricky Rubio, Mo Williams","Brewer, Young, Pekovic, Rubio, Williams",201147-201152-201593-201937-2590,MIN,465.0,4,8.0,4.0,14.0,13.0,27.0,1.0,2.0,5.0,8.0,18.0,14.0,4.0,4.0,,5.0,8.0,1.0,,1.0,2.0,1.0,2.0,1.0,,1.0,16.0,0.625,0.5416666666666666,0.6,0.5,,0.8,0.8333333333333334,1.0,83.61290322580645,19.214285714285715,15.076923076923077,17.785714285714285,14.846153846153847,0.16666666666666666,0.5,0.5,0.49402083333333335,7.887499999999999,1.0,1.0,4.0,3.0,4.0,1.0,1.0,1.0,2.0,2.0,6.0,2.0,3.0,3.0,1.0,6.0,1.0,1.0,3.0,6.0,0.6,0.75,0.5,0.5,0.5,0.3333333333333333,1.0,0.5,,1.0,0.3333333333333333,0.75,0.75,0.3333333333333333,0.5,1.0,0.6666666666666666,0.374,0.1111111111111111,,0.5,1.0,2.0,1.0,1.0,0.16666666666666666,0.5,0.5,12.0,6.0,3.0,3.0,,,,,4.0,,1.0,4.0,5.0,,4.0,6.0,1.0,3.0,5.0,16.0,,4.0,,,,2.0,,1.0,,6.0,,1.0,2.0,16.0,12.0,,1.0,,0.25,0.3333333333333333,0.25,0.6666666666666666,0.6111111111111112,0.6666666666666666,0.3333333333333333,,,0.6666666666666666,1.0,0.6666666666666666,,,,,,0.3333333333333333,,0.3333333333333333,1.0,,,0.5039333333333333,0.07692307692307693,0.1111111111111111,0.8888888888888888,25.525,0.8571428571428571,,,1.0,,,1.0,,1.0,1.0,,,1.0,,1.0,,,,1.0,,,1.0,,1.0,1.0,0.25,0.25,,,,,,,0.25,1.0,3.0,3.0,1.0,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2015,2014-15,True
201147-201152-201593-201937-2755,1610612750,"Corey Brewer, Thaddeus Young, Nikola Pekovic, Ricky Rubio, Kevin Martin","Brewer, Young, Pekovic, Rubio, Martin",201147-201152-201593-201937-2755,MIN,110.0,3,2.0,-2.0,3.0,5.0,8.0,,,1.0,1.0,2.0,4.0,,1.0,,2.0,2.0,2.0,1.0,1.0,2.0,,1.0,,,,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,,104.72727272727273,14.666666666666666,13.2,14.666666666666666,13.2,,,,0.6221,1.4,,,,1.0,1.0,,,,,,2.0,,1.0,1.0,1.0,2.0,,1.0,,1.0,1.0,1.0,,,,,1.0,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2015,2014-15,True
201147-201152-201593-201978-2590,1610612750,"Corey Brewer, Thaddeus Young, Nikola Pekovic, Chase Budinger, Mo Williams","Brewer, Young, Pekovic, Budinger, Williams",201147-201152-201593-201978-2590,MIN,43.0,1,1.0,-2.0,2.0,2.0,4.0,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,133.95348837209303,9.5,12.0,9.5,12.0,,,,0.4384,12.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2015,2014-15,True
