EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,FTDefRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,DefTwoPtRebounds,FoulsDrawn,DefTwoPtReboundPct,DefLongMidRangeReboundPct,LongMidRangeFGA,Corner3FGM,Corner3FGA,Corner3Assists,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceOffPoss,SecondChanceAtRimFGA,LongMidRangeFGM,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,LongMidRangeAssists,OffTwoPtRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,Blocked2s,BlockedAtRim,Blocks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,LiveBallTurnoverPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,SelfORebPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceShotQualityAvg,SecondChancePointsPct,SecondChanceAtRimFGM,SecondChanceArc3FGA,FtPoints,SecondChanceFG3A,SecondChanceFtPoints,PtsUnassisted3s,ShortMidRangeAssists,OffThreePtRebounds,FTOffRebounds,LostBallSteals,Loose Ball Fouls,Offensive Fouls,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Defensive 3 Seconds Violations,OffFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,ShortMidRangePctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceTurnovers,AtRimPctBlocked,BlockedShortMidRange,PenaltyDefPoss,BlockingFouls,2pt And 1 Free Throw Trips,3SecondViolations,DefCorner3ReboundPct,PtsPutbacks,Offensive Fouls Drawn,BlockedLongMidRange,RecoveredBlocks,DefShortMidRangeReboundPct,BlocksRecoveredPct,PenaltyOffPoss,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,HeaveMakes,HeaveAttempts,PenaltyTurnovers,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg3Pct,PenaltyEfgPct,PenaltyTsPct,LongMidRangePctBlocked,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyCorner3FGM,PenaltyFG2M,ThreePtShootingFoulsDrawn,PenaltyFg2Pct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,NonShootingPenaltyNonTakeFouls,SecondChanceCorner3FGA,Loose Ball Fouls Drawn,SecondChanceCorner3Frequency,Charge Fouls Drawn,PenaltyFtPoints,LostBallOutOfBoundsTurnovers,Charge Fouls,NonShootingPenaltyNonTakeFoulsDrawn,OffCorner3ReboundPct,SecondChanceArc3FGM,SecondChanceFG3M,OffensiveGoaltends,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,StepOutOfBoundsTurnovers,SecondChanceCorner3FGM,Fg3aBlocked,BlockingFoulsDrawn,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Blocked3s,BlockedCorner3,DefensiveGoaltends,team_id,year,season,team_vs
201149-201166-201565-201959-2399,1610612741,"Joakim Noah, Aaron Brooks, Derrick Rose, Taj Gibson, Mike Dunleavy","Noah, Brooks, Rose, Gibson, Dunleavy",201149-201166-201565-201959-2399,CHI,175.0,1,3.0,2.0,5.0,6.0,11,2.0,2.0,1.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,9.0,7.0,4.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,7.0,2.0,1.0,3.0,3.0,2.0,2.0,9.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.75,0.9,0.9,0.2,0.25,0.5,1.0,1.0,1.0,1.0,90.51428571428572,13.8,17.666666666666668,13.8,17.666666666666668,0.4,1.0,1.0,1.0,0.4,0.5,1.0,0.2,1.0,1.0,1.0,0.6,1.0,0.5993,5.025,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2015,2014-15,False
201149-201166-201565-202703-2550,1610612741,"Joakim Noah, Aaron Brooks, Derrick Rose, Nikola Mirotic, Kirk Hinrich","Noah, Brooks, Rose, Mirotic, Hinrich",201149-201166-201565-202703-2550,CHI,33.0,1,1.0,-2.0,1.0,1.0,2,,,,,,1.0,,,,1.0,,2.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,87.27272727272727,20.0,13.0,20.0,13.0,,,,,,,,1.0,,,,1.0,,0.45645,,27.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2015,2014-15,False
201149-201166-201565-202710-203503,1610612741,"Joakim Noah, Aaron Brooks, Derrick Rose, Jimmy Butler, Tony Snell","Noah, Brooks, Rose, Butler, Snell",201149-201166-201565-202710-203503,CHI,68.0,1,1.0,-1.0,2.0,2.0,4,,,,1.0,,1.0,,1.0,,1.0,,1.0,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,0.5,,,,,1.0,,84.70588235294117,20.5,13.5,20.5,13.5,,,,,0.5,,,0.5,,,,0.5,,0.453825,6.3,24.8,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2015,2014-15,False
201149-201166-201565-203503-2550,1610612741,"Joakim Noah, Aaron Brooks, Derrick Rose, Tony Snell, Kirk Hinrich","Noah, Brooks, Rose, Snell, Hinrich",201149-201166-201565-203503-2550,CHI,58.0,1,1.0,1.0,2.0,2.0,4,,,,,,,,1.0,1.0,1.0,3.0,2.0,,,3.0,,,,,1.0,1.0,,,3.0,1.0,,1.0,1.0,1.0,1.0,3.0,,,1.0,1.0,1.0,,0.75,0.75,0.5,,,,1.0,1.0,1.0,99.3103448275862,8.0,21.0,8.0,21.0,,,,,,,,,,,,0.5,,0.493975,17.2,23.4,,,,,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2015,2014-15,False
201149-201166-201959-202703-202710,1610612741,"Joakim Noah, Aaron Brooks, Taj Gibson, Nikola Mirotic, Jimmy Butler","Noah, Brooks, Gibson, Mirotic, Butler",201149-201166-201959-202703-202710,CHI,300.0,3,5.0,-7.0,8.0,8.0,16,1.0,3.0,1.0,2.0,,,3.0,7.0,,,6.0,13.0,4.0,2.0,,,,,2.0,,2.0,,1.0,4.0,,,1.0,4.0,1.0,3.0,4.0,0.6666666666666666,0.6666666666666666,,,,0.42857142857142855,0.42857142857142855,0.42857142857142855,,,,,,0.3333333333333333,,76.8,21.5,16.0,20.625,13.0,0.42857142857142855,0.3333333333333333,0.3333333333333333,1.0,0.2857142857142857,0.5,0.5,,,,,0.42857142857142855,,0.4633857142857143,8.428571428571429,,1.0,2.0,0.5,1.0,2.0,,,,0.2857142857142857,,,,,2.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.75,0.75,0.75,0.5,1.0,1.0,0.25,0.5,0.5,1.0,0.6666666666666666,0.5050333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2015,2014-15,False
201149-201166-201959-202703-203503,1610612741,"Joakim Noah, Aaron Brooks, Taj Gibson, Nikola Mirotic, Tony Snell","Noah, Brooks, Gibson, Mirotic, Snell",201149-201166-201959-202703-203503,CHI,728.0,3,12.0,-6.0,22.0,22.0,44,2.0,3.0,1.0,2.0,3.0,8.0,4.0,9.0,3.0,8.0,22.0,28.0,8.0,,6.0,8.0,3.0,,4.0,2.0,6.0,2.0,2.0,14.0,4.0,1.0,8.0,12.0,4.0,8.0,19.0,1.0,1.0,0.6666666666666666,0.375,0.375,0.4444444444444444,0.5,0.4782608695652174,0.47058823529411764,,,1.0,0.8,0.7,0.8,87.03296703296704,17.954545454545453,15.136363636363637,17.227272727272727,14.318181818181818,0.17647058823529413,0.6666666666666666,0.6666666666666666,1.0,0.11764705882352941,0.5,0.5,0.47058823529411764,0.375,0.375,0.6666666666666666,0.6470588235294118,0.375,0.46462941176470585,10.31111111111111,25.425,3.0,7.0,0.6,0.6666666666666666,4.0,,,,0.23529411764705882,,,,,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,4.0,,3.0,1.0,2.0,,1.0,2.0,1.0,4.0,,,,0.5,0.3333333333333333,0.375,0.5,0.2,0.3,,1.0,,,0.25,0.25,1.0,0.6666666666666666,0.47895,0.13636363636363635,1.0,1.0,5.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,13.0,1.0,5.0,1.0,1.0,0.3333333333333333,0.4,0.4,1.0,1.0,0.5,1.0,0.3333333333333333,0.22727272727272727,0.35714285714285715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2015,2014-15,False
201149-201166-201959-202710-203503,1610612741,"Joakim Noah, Aaron Brooks, Taj Gibson, Jimmy Butler, Tony Snell","Noah, Brooks, Gibson, Butler, Snell",201149-201166-201959-202710-203503,CHI,198.0,2,3.0,4.0,4.0,4.0,8,1.0,2.0,,,1.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,,1.0,4.0,5.0,1.0,1.0,5.0,1.0,1.0,1.0,0.5,0.5,0.5,0.625,0.625,0.5,0.5,,1.0,,0.75,,58.18181818181819,27.0,22.5,26.25,21.25,0.5,0.5,1.0,1.0,,,,0.5,0.5,0.5,1.0,1.0,0.5,0.6053375,0.2,26.1,3.0,2.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,1.0,,1.0,,,1.0,,,,,,,1.0,,0.5,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2015,2014-15,False
201149-201166-201959-202710-2399,1610612741,"Joakim Noah, Aaron Brooks, Taj Gibson, Jimmy Butler, Mike Dunleavy","Noah, Brooks, Gibson, Butler, Dunleavy",201149-201166-201959-202710-2399,CHI,34.0,1,1.0,,1.0,,1,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.35294117647059,24.0,,24.0,,,,,,,,,,,,,,,0.3416,15.2,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2015,2014-15,False
201149-201166-201959-202710-2550,1610612741,"Joakim Noah, Aaron Brooks, Taj Gibson, Jimmy Butler, Kirk Hinrich","Noah, Brooks, Gibson, Butler, Hinrich",201149-201166-201959-202710-2550,CHI,641.0,4,11.0,-15.0,20.0,20.0,40,5.0,7.0,2.0,3.0,,1.0,7.0,14.0,1.0,2.0,18.0,33.0,10.0,4.0,3.0,1.0,,3.0,5.0,1.0,6.0,,4.0,13.0,1.0,,2.0,3.0,4.0,5.0,18.0,0.7142857142857143,0.7142857142857143,1.0,0.5,0.5,0.5,0.53125,0.5625,0.125,0.21428571428571427,0.3333333333333333,,1.0,0.5,,89.85959438377535,19.6,12.45,19.45,11.85,0.4375,0.7142857142857143,1.0,0.8,0.1875,0.6666666666666666,1.0,0.0625,,,,0.5625,,0.52836875,7.357142857142857,25.0,1.0,3.0,0.3333333333333333,,4.0,1.0,1.0,1.0,0.25,0.0625,1.0,1.0,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,,5.0,,,,,,,0.6,0.14285714285714285,0.125,,,0.25,0.2,,,,1.0,0.6947,,,,1.0,,,,1.0,,,,1.0,,1.0,,1.0,,,,,,0.5,0.5,,,,0.0625,0.07142857142857142,,0.2857142857142857,,6.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2015,2014-15,False
201149-201166-201959-203503-2399,1610612741,"Joakim Noah, Aaron Brooks, Taj Gibson, Tony Snell, Mike Dunleavy","Noah, Brooks, Gibson, Snell, Dunleavy",201149-201166-201959-203503-2399,CHI,56.0,1,1.0,-2.0,1.0,2.0,3,,,,1.0,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.14285714285714,27.0,14.5,27.0,14.5,,,,,1.0,,,,,,,,,0.3485,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2015,2014-15,False
