EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,Fouls,FoulsDrawn,BlockingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,LiveBallTurnoverPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGA,PenaltyCorner3FGA,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,DefTwoPtRebounds,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefTwoPtReboundPct,DefAtRimReboundPct,Corner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,ShootingFouls,ShortMidRangeFGA,Fg2aBlocked,Loose Ball Fouls Drawn,FG2APctBlocked,ShortMidRangePctBlocked,DefShortMidRangeReboundPct,ShortMidRangeFrequency,FtPoints,SecondChanceFtPoints,OffThreePtRebounds,DeadBallTurnovers,Travels,FTA,TwoPtShootingFoulsDrawn,OffThreePtReboundPct,OffArc3ReboundPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyFtPoints,FTDefRebounds,PenaltyTurnovers,DefFTReboundPct,DefLongMidRangeReboundPct,ShortMidRangeFGM,OffCorner3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3FGM,PtsUnassisted3s,Corner3Assists,ShortMidRangeAssists,LostBallOutOfBoundsTurnovers,Offensive Fouls Drawn,Blocked2s,BlockedAtRim,Blocks,OffShortMidRangeReboundPct,DefCorner3ReboundPct,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,LostBallTurnovers,AtRimAssists,BadPassOutOfBoundsTurnovers,AtRimPctAssisted,LostBallSteals,BlockedShortMidRange,RecoveredBlocks,BlocksRecoveredPct,SecondChanceArc3FGA,PenaltyArc3FGA,SecondChanceFG3A,StepOutOfBoundsTurnovers,SecondChanceTurnovers,BlockingFouls,Offensive Fouls,SecondChanceArc3Frequency,PenaltyArc3Frequency,PenaltyCorner3FGM,PenaltyArc3FGM,PenaltyFG3M,Loose Ball Fouls,Charge Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,2pt And 1 Free Throw Trips,OffAtRimReboundPct,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceAtRimPctAssisted,AtRimPctBlocked,Fg3aBlocked,FG3APctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,FTOffRebounds,DefensiveGoaltends,OffFTReboundPct,HeaveAttempts,SecondChanceCorner3PctAssisted,Charge Fouls,3SecondViolations,Blocked3s,BlockedArc3,3pt And 1 Free Throw Trips,HeaveMakes,Defensive 3 Seconds Violations,BlockedLongMidRange,BlockedCorner3,Arc3PctBlocked,Clear Path Fouls,OffensiveGoaltends,team_id,year,season,team_vs
101123-101183-200782-201229-202738,1610612756,"Gerald Green, Shavlik Randolph, PJ Tucker, Anthony Tolliver, Isaiah Thomas","Green, Randolph, Tucker, Tolliver, Thomas",101123-101183-200782-201229-202738,PHX,205.0,1,3.0,2.0,7.0,7.0,1.0,14.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,4.0,5.0,1.0,2.0,11.0,9.0,1.0,1.0,2.0,2.0,6.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,9.0,0.25,0.3333333333333333,1.0,0.5,0.5,0.8,1.0,0.7857142857142857,1.0,0.7857142857142857,1.0,0.2857142857142857,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,98.34146341463415,14.428571428571429,14.857142857142858,14.285714285714286,14.857142857142858,0.2857142857142857,1.0,1.0,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.5,0.2857142857142857,0.5,0.5,1.0,1.0,1.0,0.5714285714285714,0.5,0.4747642857142857,0.5663,0.18181818181818182,11.76,24.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2015,2014-15,False
101123-101183-200782-201609-202694,1610612756,"Gerald Green, Shavlik Randolph, PJ Tucker, Goran Dragic, Marcus Morris","Green, Randolph, Tucker, Dragic, Morris",101123-101183-200782-201609-202694,PHX,63.0,1,1.0,2.0,3.0,3.0,,6.0,2.0,2.0,,,,,,,2.0,2.0,,1.0,4.0,2.0,,,,,4.0,,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,,,1.0,,,4.0,,,,,,1.0,,0.6666666666666666,,0.6666666666666666,,0.3333333333333333,,,,1.0,,,,,137.14285714285714,11.0,10.0,11.0,9.333333333333334,0.6666666666666666,1.0,1.0,,,,,,,,,,,1.0,,0.6847500000000001,,,1.2,23.3,3.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0,1.0,4.0,3.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.6847500000000001,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2015,2014-15,False
101123-101183-200782-201609-202738,1610612756,"Gerald Green, Shavlik Randolph, PJ Tucker, Goran Dragic, Isaiah Thomas","Green, Randolph, Tucker, Dragic, Thomas",101123-101183-200782-201609-202738,PHX,92.0,1,2.0,-1.0,3.0,3.0,,6.0,,,,,,1.0,1.0,2.0,,1.0,1.0,2.0,3.0,4.0,,,,,,3.0,,2.0,1.0,,1.0,1.0,1.0,,3.0,,,,,,,,,,,,1.0,,,3.0,,,1.0,0.5,0.5,,,0.5,,0.5,,0.6666666666666666,,,,,,,,,93.91304347826086,15.666666666666666,15.0,15.666666666666666,15.0,,,,0.3333333333333333,,,,0.6666666666666666,0.5,0.5,1.0,,,0.6666666666666666,0.5,0.49774999999999997,,,17.2,25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2015,2014-15,False
101123-101183-200782-202339-202738,1610612756,"Gerald Green, Shavlik Randolph, PJ Tucker, Eric Bledsoe, Isaiah Thomas","Green, Randolph, Tucker, Bledsoe, Thomas",101123-101183-200782-202339-202738,PHX,122.0,1,2.0,-2.0,4.0,3.0,,7.0,,,,,,,,1.0,,1.0,,2.0,,2.0,,,,,,,,1.0,,,,,,,,,1.0,2.0,,2.0,,,,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,0.6666666666666666,1.0,,1.0,1.0,,,1.0,,82.62295081967214,21.25,12.333333333333334,21.25,12.333333333333334,,,,,,,,0.3333333333333333,,,,,,0.6666666666666666,,0.4929333333333333,,,8.6,24.1,,,,,1.0,,,,,,1.0,,,,,,,1.0,,0.3333333333333333,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2015,2014-15,False
101123-101183-200782-202738-203101,1610612756,"Gerald Green, Shavlik Randolph, PJ Tucker, Isaiah Thomas, Miles Plumlee","Green, Randolph, Tucker, Thomas, Plumlee",101123-101183-200782-202738-203101,PHX,123.0,1,2.0,-5.0,4.0,4.0,1.0,8.0,,,,,,,,2.0,,,,2.0,1.0,6.0,,,1.0,,,,,2.0,,,,,,,,,,1.0,1.0,2.0,,,,1.0,1.0,2.0,,1.0,,,,,,,,,,,,0.16666666666666666,0.5,1.0,0.5,,,1.0,0.5,,,,93.65853658536587,17.25,13.5,16.75,13.5,,,,,,,,1.0,,,,,,1.0,,0.5946,,1.0,,24.25,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,0.5,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2015,2014-15,False
101123-101183-200782-202738-203458,1610612756,"Gerald Green, Shavlik Randolph, PJ Tucker, Isaiah Thomas, Alex Len","Green, Randolph, Tucker, Thomas, Len",101123-101183-200782-202738-203458,PHX,111.0,1,2.0,1.0,4.0,4.0,,8.0,,1.0,,,,,,,,1.0,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,1.0,3.0,,3.0,,,,,,1.0,2.0,1.0,,2.0,,,,,,,,,,0.3333333333333333,,0.5,,,0.5,0.5,,,0.5,,103.78378378378378,11.0,16.75,11.0,12.75,0.5,,,,,,,,,,,,,1.0,,0.687525,,,2.2,23.5,4.0,4.0,,1.0,1.0,1.0,,1.0,1.0,2.0,1.0,2.0,4.0,,,,0.3333333333333333,0.5,,0.5,0.5,,0.5,0.687525,1.0,1.0,1.0,,,,,,,,2.0,,,1.0,1.0,2.0,1.0,,,0.3333333333333333,0.5,2.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2015,2014-15,False
101123-101183-201609-202693-202738,1610612756,"Gerald Green, Shavlik Randolph, Goran Dragic, Markieff Morris, Isaiah Thomas","Green, Randolph, Dragic, Morris, Thomas",101123-101183-201609-202693-202738,PHX,248.0,1,4.0,-1.0,8.0,7.0,2.0,15.0,2.0,4.0,,1.0,,2.0,,,3.0,8.0,,1.0,6.0,7.0,,2.0,,,6.0,,,,,,,,,,,1.0,2.0,2.0,2.0,4.0,,2.0,2.0,1.0,1.0,1.0,3.0,2.0,,6.0,,,,,,0.375,,0.3333333333333333,,0.3333333333333333,,0.1111111111111111,1.0,0.2,0.5,0.5,0.3333333333333333,0.5,0.5,,87.09677419354838,16.25,16.857142857142858,14.875,16.857142857142858,0.4444444444444444,0.5,0.5,0.2222222222222222,,,,,,,,0.5,,0.5555555555555556,,0.5325722222222222,0.4547,,6.95,24.2,,,,,1.0,,,,,,,,,,,,,,,0.1111111111111111,,,,,,,,2.0,,,,,,0.2222222222222222,,,1.0,,,,,1.0,,,,,,,,,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2015,2014-15,False
101123-101183-202339-202693-202738,1610612756,"Gerald Green, Shavlik Randolph, Eric Bledsoe, Markieff Morris, Isaiah Thomas","Green, Randolph, Bledsoe, Morris, Thomas",101123-101183-202339-202693-202738,PHX,36.0,1,1.0,-2.0,1.0,1.0,,2.0,,,,,,1.0,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,80.0,22.0,14.0,22.0,14.0,,,,1.0,,,,,,,,,,,,0.3919,,,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2015,2014-15,False
101123-101183-202694-202738-203101,1610612756,"Gerald Green, Shavlik Randolph, Marcus Morris, Isaiah Thomas, Miles Plumlee","Green, Randolph, Morris, Thomas, Plumlee",101123-101183-202694-202738-203101,PHX,806.0,2,13.0,2.0,25.0,26.0,2.0,51.0,2.0,4.0,1.0,2.0,5.0,6.0,2.0,6.0,10.0,16.0,3.0,7.0,33.0,31.0,1.0,2.0,2.0,6.0,14.0,3.0,,6.0,2.0,3.0,1.0,4.0,,2.0,9.0,1.0,1.0,9.0,2.0,11.0,,,,1.0,1.0,2.0,3.0,3.0,,31.0,0.3,0.3,0.3333333333333333,0.42857142857142855,0.42857142857142855,0.625,0.5,0.6304347826086957,0.5,0.66,0.5,0.30434782608695654,0.5,0.16666666666666666,0.5,0.8181818181818182,0.2,,,,91.1166253101737,14.12,17.423076923076923,13.92,17.192307692307693,0.17391304347826086,0.5,0.5,0.2608695652173913,0.8333333333333334,0.8333333333333334,0.4,0.2608695652173913,0.3333333333333333,0.3333333333333333,,1.0,0.5,0.4782608695652174,0.3333333333333333,0.4767717391304348,0.542,0.06060606060606061,11.6125,26.014285714285712,1.0,1.0,,,1.0,,1.0,1.0,,2.0,8.0,2.0,1.0,,1.0,1.0,1.0,0.8888888888888888,,0.043478260869565216,,,,0.2725,0.06060606060606061,0.04,1.0,6.0,,,,,1.0,0.2608695652173913,4.0,,1.0,1.0,,4.0,2.0,0.25,0.25,0.08,0.1111111111111111,,,,,1.0,3.0,,0.5,0.5,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2015,2014-15,False
101123-101183-202694-202738-203458,1610612756,"Gerald Green, Shavlik Randolph, Marcus Morris, Isaiah Thomas, Alex Len","Green, Randolph, Morris, Thomas, Len",101123-101183-202694-202738-203458,PHX,21.0,1,,,2.0,,,2.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,137.14285714285714,10.5,,10.5,,,,,,,,,1.0,,,,,,1.0,,0.58965,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2015,2014-15,False
