EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG3A,HeaveAttempts,Fouls,FG3APct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,Avg3ptShotDistance,PlusMinus,PenaltyOffPoss,Arc3FGM,PenaltyArc3FGM,FG3M,Points,PenaltyFG3M,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,SecondChanceArc3FGA,FG2M,FG2A,FtPoints,OpponentPoints,SecondChanceFG2A,SecondChanceFG3A,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,TwoPtAssists,AtRimAssists,LongMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,ShootingFouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,3SecondViolations,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceArc3Frequency,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,PenaltyFG2A,PenaltyFg2Pct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,Corner3FGM,Corner3FGA,Corner3Assists,LostBallOutOfBoundsTurnovers,Blocked2s,BlockedLongMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,BlocksRecoveredPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFGM,SecondChanceFG2M,SecondChanceFtPoints,SecondChancePoints,PenaltyFtPoints,PtsPutbacks,Fg3aBlocked,FTDefRebounds,SelfOReb,LostBallSteals,LostBallTurnovers,PenaltyTurnovers,Loose Ball Fouls,NonShootingFoulsDrawn,BlockedAtRim,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,DefFTReboundPct,OffAtRimReboundPct,SelfORebPct,SecondChanceAtRimAccuracy,SecondChancePointsPct,ShortMidRangeFGM,ShortMidRangeAssists,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PtsUnassisted3s,Travels,Charge Fouls Drawn,BlockingFoulsDrawn,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,BlockingFouls,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedShortMidRange,SecondChanceFg3Pct,OffCorner3ReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGA,FTOffRebounds,OffFTReboundPct,SecondChanceCorner3Frequency,Blocked3s,BlockedArc3,SecondChanceAtRimPctAssisted,Charge Fouls,PenaltyCorner3FGM,PenaltyCorner3Accuracy,BlockedCorner3,StepOutOfBoundsTurnovers,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,OffensiveGoaltends,LongMidRangePctBlocked,DefensiveGoaltends,HeaveMakes,Corner3PctBlocked,Clear Path Fouls,team_id,year,season,team_vs
101110-101162-1733-1889-202066,1610612764,"Martell Webster, Marcin Gortat, Al Harrington, Andre Miller, Garrett Temple","Webster, Gortat, Harrington, Miller, Temple",101110-101162-1733-1889-202066,WAS,31.0,1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,92.9032258064516,2.0,29.0,2.0,29.0,1.0,1.0,1.0,55.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2014,2013-14,False
101110-101162-1733-1889-202322,1610612764,"Martell Webster, Marcin Gortat, Al Harrington, Andre Miller, John Wall","Webster, Gortat, Harrington, Miller, Wall",101110-101162-1733-1889-202322,WAS,29.0,1,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,1.0,49.6551724137931,21.0,,21.0,,1.0,1.0,1.0,25.5,3.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.5,1.5,1.0,1.0,1.0,1.0,1.0,0.4803,0.4803,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2014,2013-14,False
101110-101162-1733-1889-203078,1610612764,"Martell Webster, Marcin Gortat, Al Harrington, Andre Miller, Bradley Beal","Webster, Gortat, Harrington, Miller, Beal",101110-101162-1733-1889-203078,WAS,692.0,3,12.0,22.0,22.0,,44.0,3.0,,3.0,,,3.0,0.13043478260869565,91.5606936416185,15.136363636363637,16.318181818181817,13.045454545454545,15.409090909090908,0.13043478260869565,,0.5217391304347826,26.166666666666668,5.0,,,,,19.0,,,,3.0,,,5.0,,10.0,19.0,,,,,,,0.34782608695652173,,0.38,,,,,,,0.5244673913043478,,,,4.0,6.0,9.0,2.0,6.0,2.0,5.0,1.0,8.0,20.0,3.0,14.0,5.0,1.0,10.0,6.0,1.0,5.0,3.0,2.0,1.0,5.0,3.0,8.0,11.0,6.0,17.0,3.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,6.0,1.0,1.0,6.0,1.0,1.0,3.0,1.0,0.625,0.625,0.4,0.05,0.1111111111111111,0.3333333333333333,0.8,0.4166666666666667,0.6,0.3333333333333333,0.7333333333333333,0.4,0.5,0.6666666666666666,0.3333333333333333,0.5,0.75,1.0,0.5,1.0,0.391304347826087,0.6666666666666666,0.75,0.5,0.2608695652173913,0.21739130434782608,0.4,0.4,1.0,0.3333333333333333,0.16666666666666666,0.49887,0.12,0.13636363636363635,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2014,2013-14,False
101110-101162-1733-1889-2772,1610612764,"Martell Webster, Marcin Gortat, Al Harrington, Andre Miller, Trevor Ariza","Webster, Gortat, Harrington, Miller, Ariza",101110-101162-1733-1889-2772,WAS,63.0,1,1.0,2.0,2.0,,4.0,,,,,,,,91.42857142857143,11.5,20.0,11.5,20.0,,,1.0,,2.0,2.0,,,,4.0,,4.0,,,,,2.0,,4.0,4.0,4.0,2.0,,,,,1.0,1.0,1.0,1.0,,,,,,0.54495,0.54495,1.0,1.0,,2.0,2.0,,,,,,2.0,2.0,,2.0,,,4.0,,,2.0,2.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,,1.0,,,,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,1.9,2.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2014,2013-14,False
101110-101162-1733-201953-202066,1610612764,"Martell Webster, Marcin Gortat, Al Harrington, Eric Maynor, Garrett Temple","Webster, Gortat, Harrington, Maynor, Temple",101110-101162-1733-201953-202066,WAS,154.0,1,3.0,5.0,6.0,,11.0,1.0,,2.0,,,2.0,0.5,102.85714285714285,14.6,13.5,14.6,13.5,0.25,,0.75,24.85,-7.0,,,,1.0,3.0,,,3.0,1.0,,1.0,1.0,,3.0,3.0,,,1.0,0.5,,0.5,0.375,,0.375,,,,,,,0.5382125,,,,,,1.0,,,,1.0,,,2.0,,10.0,,,,,1.0,,,,,,1.0,1.0,2.0,,2.0,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,0.5,1.0,,1.0,,1.0,,1.0,,,,,,,1.0,1.0,,0.25,,,,,0.25,,,,,,,,,8.6,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2014,2013-14,False
101110-101162-1733-201953-203078,1610612764,"Martell Webster, Marcin Gortat, Al Harrington, Eric Maynor, Bradley Beal","Webster, Gortat, Harrington, Maynor, Beal",101110-101162-1733-201953-203078,WAS,469.0,3,8.0,19.0,16.0,5.0,35.0,7.0,4.0,7.0,4.0,,6.0,0.4375,107.46268656716418,12.736842105263158,14.1875,12.0,13.25,0.4375,0.5,0.8125,25.657142857142855,1.0,8.0,2.0,1.0,2.0,18.0,1.0,7.0,6.0,7.0,2.0,2.0,3.0,2.0,8.0,14.0,7.0,8.0,1.0,0.2857142857142857,0.25,0.2857142857142857,0.3125,0.3125,0.45,0.3888888888888889,0.2857142857142857,0.3333333333333333,1.0,0.25,0.2857142857142857,0.5325,0.51945,0.3888888888888889,0.42105263157894735,3.0,2.0,6.0,3.0,1.0,,2.0,,2.0,9.0,8.0,17.0,3.0,,2.0,2.0,3.0,1.0,1.0,,2.0,3.0,1.0,4.0,6.0,5.0,11.0,2.0,1.0,1.0,,3.0,4.0,1.0,2.0,5.0,,,9.0,1.0,,4.0,,0.5,1.0,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.25,1.0,0.42857142857142855,0.3333333333333333,0.4,0.7142857142857143,0.4166666666666667,,0.5,0.4,1.0,,1.0,0.5,,0.375,0.3333333333333333,0.5,0.5,0.0625,0.125,,,,1.0,,0.52165,0.21052631578947367,0.3333333333333333,5.366666666666666,1.0,3.0,1.0,4.0,0.25,0.375,0.3333333333333333,,,,,1.0,,1.0,1.0,,1.0,,,,,1.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.14285714285714285,1.0,0.14285714285714285,1.0,0.5,0.125,0.3333333333333333,0.2222222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2014,2013-14,False
101110-101162-1733-201953-2772,1610612764,"Martell Webster, Marcin Gortat, Al Harrington, Eric Maynor, Trevor Ariza","Webster, Gortat, Harrington, Maynor, Ariza",101110-101162-1733-201953-2772,WAS,340.0,3,6.0,10.0,12.0,1.0,22.0,2.0,1.0,3.0,1.0,,3.0,0.6,93.17647058823529,16.2,14.833333333333334,15.2,14.833333333333334,0.4,1.0,0.8,24.866666666666664,-9.0,3.0,1.0,1.0,1.0,12.0,1.0,5.0,3.0,2.0,1.0,1.0,3.0,1.0,7.0,12.0,5.0,3.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.7,1.5,0.75,1.25,0.5,0.5,1.0,1.0,0.5,0.5430900000000001,0.4524,0.4166666666666667,0.3,1.0,1.0,1.0,,1.0,,,,2.0,2.0,5.0,21.0,,,4.0,,,2.0,1.0,,,,,1.0,1.0,,1.0,,,,,2.0,2.0,1.0,1.0,4.0,,1.0,6.0,,,2.0,,1.0,1.0,1.0,,,,1.0,,,,1.0,,,,,1.0,,,,,0.2,1.0,1.0,1.0,0.2,,,,,,,,0.2857142857142857,0.5,2.6,,,,,,,,,1.0,,,1.0,,1.0,1.0,,1.0,0.2,,,,,,,,2.0,,,,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2014,2013-14,False
101110-101162-1733-202066-202322,1610612764,"Martell Webster, Marcin Gortat, Al Harrington, Garrett Temple, John Wall","Webster, Gortat, Harrington, Temple, Wall",101110-101162-1733-202066-202322,WAS,29.0,1,,1.0,,,1.0,,,,,,,,49.6551724137931,11.0,,11.0,,,,,,2.0,,,,,2.0,,,,,,,,,,2.0,,,,,,,1.0,,1.0,,,,,,,0.393,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2014,2013-14,False
101110-101162-1733-202322-203078,1610612764,"Martell Webster, Marcin Gortat, Al Harrington, John Wall, Bradley Beal","Webster, Gortat, Harrington, Wall, Beal",101110-101162-1733-202322-203078,WAS,920.0,11,15.0,26.0,31.0,8.0,57.0,6.0,3.0,8.0,3.0,,6.0,0.32,89.21739130434783,16.96153846153846,15.451612903225806,15.653846153846153,14.258064516129032,0.24,0.3333333333333333,0.64,25.1,-7.0,7.0,3.0,1.0,4.0,35.0,1.0,8.0,9.0,6.0,3.0,3.0,7.0,2.0,17.0,33.0,8.0,7.0,0.75,0.5,0.3333333333333333,0.5,0.6,0.3888888888888889,0.6481481481481481,0.4444444444444444,0.5,0.5,0.6666666666666666,0.3333333333333333,0.5,0.53488,0.5695666666666667,0.22857142857142856,0.2692307692307692,2.0,5.0,8.0,3.0,2.0,3.0,7.0,,9.0,17.0,5.0,42.0,4.0,,8.0,10.0,,4.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,4.0,7.0,3.0,2.0,,,3.0,3.0,3.0,,9.0,,1.0,6.0,2.0,,4.0,,0.4444444444444444,0.5,0.5294117647058824,,,,0.16666666666666666,0.25,0.4,0.5,0.2727272727272727,0.3333333333333333,,,0.6666666666666666,,,0.25,0.3333333333333333,0.5,0.32,0.625,0.625,0.4,0.08,0.28,0.42857142857142855,0.42857142857142855,0.3333333333333333,0.75,,0.68085,0.14814814814814814,0.21052631578947367,8.48235294117647,2.0,4.0,2.0,6.0,0.3333333333333333,0.4444444444444444,0.5,1.0,2.0,1.0,1.0,,,,,,,0.08,0.5,0.5,1.0,1.0,1.0,,2.0,1.0,2.0,,,2.0,1.0,,2.0,1.0,,,1.0,,0.25,0.25,0.25,,,,,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.05714285714285714,1.0,1.0,,,0.5,0.5,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2014,2013-14,False
101110-101162-1733-202322-2772,1610612764,"Martell Webster, Marcin Gortat, Al Harrington, John Wall, Trevor Ariza","Webster, Gortat, Harrington, Wall, Ariza",101110-101162-1733-202322-2772,WAS,2257.0,14,38.0,70.0,72.0,19.0,142.0,19.0,8.0,25.0,11.0,,14.0,0.43103448275862066,90.59813912272928,14.457142857142857,17.291666666666668,14.257142857142858,15.76388888888889,0.3275862068965517,0.32,0.7068965517241379,25.18,22.0,29.0,7.0,4.0,9.0,88.0,4.0,41.0,27.0,19.0,7.0,9.0,22.0,7.0,53.0,81.0,41.0,29.0,1.0,0.36,0.36363636363636365,0.36,0.6120689655172413,0.6,0.676923076923077,0.6612903225806451,0.3684210526315789,0.3684210526315789,1.0,0.5,0.3684210526315789,0.5455741379310345,0.532014,0.4659090909090909,0.4142857142857143,4.0,13.0,16.0,2.0,8.0,5.0,9.0,1.0,22.0,33.0,17.0,66.0,3.0,1.0,26.0,18.0,,13.0,7.0,2.0,3.0,3.0,7.0,21.0,29.0,6.0,35.0,3.0,2.0,6.0,5.0,7.0,13.0,5.0,2.0,15.0,,1.0,19.0,4.0,,8.0,,0.5909090909090909,0.65,0.6666666666666666,,,0.46153846153846156,0.5526315789473685,0.2727272727272727,0.6363636363636364,0.2,0.5714285714285714,0.23076923076923078,0.25,0.25,0.09090909090909091,0.46153846153846156,0.6363636363636364,0.5714285714285714,0.625,0.6666666666666666,0.27586206896551724,0.8125,0.8125,0.5384615384615384,0.13793103448275862,0.15517241379310345,0.5555555555555556,0.5555555555555556,0.4,0.5,0.25,0.50975,0.14516129032258066,0.21621621621621623,7.778787878787878,6.0,7.0,9.0,14.0,0.6428571428571429,0.28,0.8571428571428571,2.0,6.0,2.0,1.0,7.0,,7.0,2.0,,0.2857142857142857,0.10344827586206896,0.3333333333333333,0.3333333333333333,1.0,2.0,2.0,,7.0,11.0,4.0,,1.0,1.0,1.0,1.0,2.0,2.0,3.0,6.0,1.0,3.0,0.6666666666666666,0.875,0.875,,,,1.0,0.3333333333333333,0.038461538461538464,1.0,0.07954545454545454,4.0,4.0,1.0,1.0,0.5,0.5,1.0,,1.0,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.12,0.04,,,,,,,,,,,,,,,,,,,,,,1610612764,2014,2013-14,False
