EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,ShortMidRangeAssists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,AtRimFGM,AtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,PtsUnassisted2s,NonHeaveArc3FGM,Arc3Assists,AtRimAssists,DefTwoPtRebounds,LiveBallTurnovers,LostBallTurnovers,Charge Fouls,2pt And 1 Free Throw Trips,LiveBallTurnoverPct,DefTwoPtReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,Charge Fouls Drawn,Offensive Fouls Drawn,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsPutbacks,OffTwoPtRebounds,OffRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,Blocked2s,BlockedAtRim,Blocks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,SelfORebPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,BadPassTurnovers,RecoveredBlocks,DefAtRimReboundPct,BlocksRecoveredPct,PenaltyOffPoss,PenaltyDefPoss,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PenaltyFtPoints,PenaltyPoints,Fg2aBlocked,Steals,LostBallSteals,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,OffAtRimReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyPointsPct,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,PenaltyFG2A,BadPassSteals,PenaltyFg2Pct,PenaltyEfgPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyShotQualityAvg,PenaltyCorner3FGA,PenaltyFG3A,PenaltyCorner3Frequency,PenaltyTurnovers,NonShootingPenaltyNonTakeFouls,PenaltyArc3FGA,LongMidRangeAssists,SecondChanceTurnovers,Loose Ball Fouls,LongMidRangePctAssisted,PenaltyArc3Frequency,ThreePtShootingFoulsDrawn,BlockedLongMidRange,ThreePtShootingFoulsDrawnPct,PenaltyArc3FGM,SecondChanceFtPoints,PenaltyFG3M,PtsUnassisted3s,OffThreePtRebounds,Loose Ball Fouls Drawn,PenaltyFg3Pct,OffThreePtReboundPct,OffArc3ReboundPct,PenaltyArc3Accuracy,FTDefRebounds,LostBallOutOfBoundsTurnovers,ShortMidRangePctBlocked,LongMidRangePctBlocked,DefFTReboundPct,Travels,BlockedShortMidRange,SecondChanceAtRimPctAssisted,PenaltyCorner3FGM,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,PenaltyCorner3Accuracy,OffCorner3ReboundPct,FTOffRebounds,OffFTReboundPct,team_id,year,season,team_vs
201177-201604-201945-202689-203469,1610612766,"Josh McRoberts, Chris Douglas-Roberts, Gerald Henderson, Kemba Walker, Cody Zeller","McRoberts, Douglas-Roberts, Henderson, Walker, Zeller",201177-201604-201945-202689-203469,CHA,180.0,1,3.0,2.0,6.0,5.0,11.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,7.0,5.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,7.0,1.0,1.0,1.0,0.5,0.5,0.5,0.625,0.7,0.5,1.0,1.0,1.0,1.0,88.0,19.0,13.2,19.0,13.2,0.5,0.5,0.5,1.0,0.25,1.0,1.0,1.0,0.25,0.5,0.4686,0.2,0.3333333333333333,7.25,23.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2014,2013-14,True
201177-201604-201945-202689-2744,1610612766,"Josh McRoberts, Chris Douglas-Roberts, Gerald Henderson, Kemba Walker, Al Jefferson","McRoberts, Douglas-Roberts, Henderson, Walker, Jefferson",201177-201604-201945-202689-2744,CHA,437.0,2,7.0,7.0,13.0,14.0,27.0,,2.0,1.0,1.0,2.0,4.0,7.0,2.0,3.0,4.0,18.0,11.0,4.0,6.0,2.0,2.0,2.0,4.0,1.0,,10.0,3.0,8.0,8.0,1.0,2.0,1.0,3.0,,4.0,5.0,3.0,18.0,0.5,0.5,1.0,0.6666666666666666,0.6666666666666666,0.5714285714285714,0.7,0.75,0.3,0.75,0.8888888888888888,0.75,,88.97025171624715,14.23076923076923,18.0,14.23076923076923,17.357142857142858,0.2,,,,0.1,1.0,1.0,1.0,0.2,0.7,0.516065,0.25,0.3333333333333333,5.928571428571429,25.599999999999998,3.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.4,0.75,0.75,0.6666666666666666,0.1,1.0,1.0,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2014,2013-14,True
201177-201604-202390-202687-202689,1610612766,"Josh McRoberts, Chris Douglas-Roberts, Gary Neal, Bismack Biyombo, Kemba Walker","McRoberts, Douglas-Roberts, Neal, Biyombo, Walker",201177-201604-202390-202687-202689,CHA,170.0,1,3.0,-1.0,5.0,5.0,10.0,1.0,2.0,,,,1.0,3.0,,,2.0,4.0,5.0,,,,,,,,,,,,,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,4.0,,,,,,0.3333333333333333,0.3333333333333333,0.5,,,,,,84.70588235294117,22.0,12.0,22.0,12.0,0.6666666666666666,0.5,0.5,,,,,,,,0.35133333333333333,0.25,0.25,11.366666666666667,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2014,2013-14,True
201177-201604-202390-202687-2557,1610612766,"Josh McRoberts, Chris Douglas-Roberts, Gary Neal, Bismack Biyombo, Luke Ridnour","McRoberts, Douglas-Roberts, Neal, Biyombo, Ridnour",201177-201604-202390-202687-2557,CHA,328.0,1,5.0,5.0,8.0,8.0,16.0,1.0,4.0,2.0,2.0,,3.0,7.0,2.0,2.0,,12.0,7.0,,6.0,,,2.0,2.0,2.0,,6.0,1.0,2.0,4.0,1.0,1.0,,1.0,,,,,10.0,,,1.0,1.0,1.0,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.2222222222222222,0.5,0.5,,0.5,70.2439024390244,19.25,21.75,19.125,19.5,0.4444444444444444,0.25,0.25,,0.2222222222222222,1.0,1.0,1.0,,0.4444444444444444,0.4799555555555556,,,9.828571428571427,23.45,2.0,2.0,,1.0,,6.0,,,,1.0,,,,,,0.5,,1.0,0.2222222222222222,1.0,1.0,,0.1111111111111111,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.3333333333333333,1.0,0.25,1.0,1.0,0.639,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2014,2013-14,True
201177-201604-202390-202689-203469,1610612766,"Josh McRoberts, Chris Douglas-Roberts, Gary Neal, Kemba Walker, Cody Zeller","McRoberts, Douglas-Roberts, Neal, Walker, Zeller",201177-201604-202390-202689-203469,CHA,116.0,1,2.0,1.0,4.0,4.0,8.0,1.0,1.0,,,,3.0,3.0,,,,6.0,5.0,2.0,,,1.0,,1.0,,,2.0,1.0,2.0,2.0,,1.0,1.0,1.0,,,,,6.0,0.3333333333333333,0.3333333333333333,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,99.3103448275862,13.75,15.25,13.75,15.25,0.3333333333333333,1.0,1.0,,,,,,,0.6666666666666666,0.4769333333333334,,,5.266666666666667,,2.0,2.0,,,,4.0,,,1.0,1.0,1.0,,,,1.0,1.0,,,0.6666666666666666,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2014,2013-14,True
201177-201604-202390-202689-2744,1610612766,"Josh McRoberts, Chris Douglas-Roberts, Gary Neal, Kemba Walker, Al Jefferson","McRoberts, Douglas-Roberts, Neal, Walker, Jefferson",201177-201604-202390-202689-2744,CHA,217.0,4,4.0,7.0,10.0,7.0,17.0,,,,,2.0,3.0,5.0,1.0,2.0,5.0,14.0,7.0,4.0,3.0,2.0,2.0,1.0,3.0,,,7.0,1.0,3.0,4.0,,1.0,1.0,1.0,,3.0,6.0,1.0,11.0,0.6666666666666666,0.6666666666666666,1.0,0.5,0.5,0.6,0.6428571428571429,0.7,0.2857142857142857,1.0,1.0,1.0,,112.8110599078341,13.1,12.285714285714286,10.5,12.285714285714286,,,,,,,,,0.2857142857142857,0.8571428571428571,0.55885,0.125,0.16666666666666666,4.3,25.7,3.0,4.0,,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,,,,1.0,1.0,1.0,,0.5714285714285714,0.75,1.0,0.6666666666666666,0.14285714285714285,,,0.5,0.5,1.0,0.5,,,2.0,,,,1.0,3.0,,1.0,1.0,,,,,,,0.75,0.75,0.5,0.3333333333333333,,,,,,0.40085,0.21428571428571427,1.0,,1.0,,2.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,0.75,0.2,0.25,1.0,0.5,1.0,1.0,0.21428571428571427,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2014,2013-14,True
201177-201604-202390-203469-2557,1610612766,"Josh McRoberts, Chris Douglas-Roberts, Gary Neal, Cody Zeller, Luke Ridnour","McRoberts, Douglas-Roberts, Neal, Zeller, Ridnour",201177-201604-202390-203469-2557,CHA,294.0,2,5.0,-1.0,7.0,10.0,17.0,,,1.0,1.0,1.0,2.0,5.0,2.0,2.0,,10.0,11.0,4.0,6.0,1.0,2.0,2.0,4.0,1.0,,10.0,1.0,4.0,4.0,,,1.0,1.0,,,,,10.0,1.0,1.0,1.0,1.0,1.0,0.4,0.7142857142857143,0.7142857142857143,0.2857142857142857,1.0,0.8,,1.0,83.26530612244898,17.714285714285715,17.0,17.714285714285715,16.6,,,,,0.14285714285714285,1.0,1.0,1.0,0.14285714285714285,0.8571428571428571,0.5399999999999999,,,4.74,24.9,2.0,4.0,,1.0,1.0,,1.0,1.0,2.0,3.0,,,,,,0.75,1.0,0.5,0.5714285714285714,0.5,0.5,1.0,0.14285714285714285,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,3.0,,,,,,2.0,,1.0,,,2.0,1.0,,,1.0,,,,,,,0.2,0.14285714285714285,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2014,2013-14,True
201177-201604-202390-2557-2744,1610612766,"Josh McRoberts, Chris Douglas-Roberts, Gary Neal, Luke Ridnour, Al Jefferson","McRoberts, Douglas-Roberts, Neal, Ridnour, Jefferson",201177-201604-202390-2557-2744,CHA,17.0,1,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,84.70588235294117,,17.0,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2014,2013-14,True
201177-201604-202689-203077-203469,1610612766,"Josh McRoberts, Chris Douglas-Roberts, Kemba Walker, Michael Kidd-Gilchrist, Cody Zeller","McRoberts, Douglas-Roberts, Walker, Kidd-Gilchrist, Zeller",201177-201604-202689-203077-203469,CHA,152.0,1,3.0,3.0,4.0,5.0,9.0,,,1.0,2.0,,1.0,1.0,1.0,2.0,,5.0,2.0,,3.0,,,1.0,1.0,1.0,,3.0,,1.0,1.0,1.0,1.0,,,,1.0,,,5.0,,,1.0,0.5,0.5,1.0,0.8333333333333334,0.8333333333333334,0.6666666666666666,,0.5,,,85.26315789473685,16.75,17.0,16.75,17.0,,,,,0.6666666666666666,0.5,0.5,1.0,,1.0,0.566,,,1.5,23.3,1.0,1.0,,,,2.0,,,,1.0,,,,,,0.5,,,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,0.25,,,,,,,,,,0.3921,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2014,2013-14,True
201177-201604-202689-203077-2744,1610612766,"Josh McRoberts, Chris Douglas-Roberts, Kemba Walker, Michael Kidd-Gilchrist, Al Jefferson","McRoberts, Douglas-Roberts, Walker, Kidd-Gilchrist, Jefferson",201177-201604-202689-203077-2744,CHA,233.0,2,4.0,-6.0,7.0,7.0,14.0,,,,1.0,1.0,,,,2.0,3.0,3.0,9.0,,,1.0,,,,,,,1.0,3.0,3.0,3.0,3.0,,2.0,,2.0,4.0,2.0,3.0,,,,,,,,0.375,1.0,0.5,0.75,0.5,,86.52360515021459,18.428571428571427,14.857142857142858,18.428571428571427,13.857142857142858,,,,,0.5,,,,0.5,1.0,0.510525,0.5,1.0,,23.95,,,,,,,,,,2.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,1.0,6.0,,,,,,,,,,,,1.0,,,,,,,,,,,0.14285714285714285,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2014,2013-14,True
