EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,OpponentPoints,Steals,BadPassSteals,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG3A,NonHeaveArc3FGA,DefTwoPtRebounds,DefRebounds,Rebounds,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg3ptShotDistance,LongMidRangeFGA,FG2A,FtPoints,Points,LiveBallTurnovers,LostBallTurnovers,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,TsPct,LiveBallTurnoverPct,LongMidRangeFrequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,PenaltyDefPoss,DefThreePtRebounds,DefThreePtReboundPct,DefArc3ReboundPct,PenaltyOffPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,FG2M,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,Technical Free Throw Trips,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,PenaltyTsPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyPointsPct,PenaltyOffPossPct,BadPassOutOfBoundsTurnovers,DefAtRimReboundPct,SecondChanceOffPoss,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Arc3FGM,SecondChanceArc3FGA,FG3M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFtPoints,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,OffThreePtRebounds,OffRebounds,LostBallSteals,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyArc3FGM,PenaltyFG3M,OffTwoPtRebounds,FTDefRebounds,SecondChanceTurnovers,PenaltyFg3Pct,DefFTReboundPct,OffTwoPtReboundPct,OffAtRimReboundPct,PenaltyArc3Accuracy,SecondChanceAtRimFGM,SecondChanceArc3FGM,SecondChanceFG2M,PtsUnassisted3s,PtsPutbacks,Fg2aBlocked,BadPassTurnovers,Charge Fouls,SecondChanceFg2Pct,FG2APctBlocked,AtRimPctBlocked,SecondChanceAtRimAccuracy,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,LostBallOutOfBoundsTurnovers,Travels,Offensive Fouls Drawn,BlockingFoulsDrawn,BlockedLongMidRange,RecoveredBlocks,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,BlocksRecoveredPct,SecondChanceAtRimPctAssisted,PenaltyCorner3FGA,SelfOReb,SelfORebPct,PenaltyCorner3Frequency,NonShootingPenaltyNonTakeFouls,FTOffRebounds,OffFTReboundPct,HeaveAttempts,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,PenaltyCorner3FGM,StepOutOfBoundsTurnovers,Blocked3s,BlockedCorner3,LongMidRangePctBlocked,PenaltyCorner3Accuracy,3SecondViolations,Charge Fouls Drawn,BlockingFouls,BlockedArc3,DefensiveGoaltends,OffensiveGoaltends,3pt And 1 Free Throw Trips,Corner3PctBlocked,Clear Path Fouls,team_id,year,season,team_vs
101128-200758-201166-201600-201956,1610612745,"Francisco Garcia, Ronnie Brewer, Aaron Brooks, Omer Asik, Omri Casspi","Garcia, Brewer, Brooks, Asik, Casspi",101128-200758-201166-201600-201956,HOU,43.0,1,1.0,-1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,66.97674418604652,15.0,28.0,15.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2014,2013-14,False
101128-200758-201166-201935-203093,1610612745,"Francisco Garcia, Ronnie Brewer, Aaron Brooks, James Harden, Terrence Jones","Garcia, Brewer, Brooks, Harden, Jones",101128-200758-201166-201935-203093,HOU,5.0,1,,,,1.0,1.0,,,,,,,,288.0,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2014,2013-14,False
101128-200758-201166-201956-202962,1610612745,"Francisco Garcia, Ronnie Brewer, Aaron Brooks, Omri Casspi, Greg Smith","Garcia, Brewer, Brooks, Casspi, Smith",101128-200758-201166-201956-202962,HOU,24.0,1,,,,1.0,1.0,,,,,,,,60.0,,23.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.231,0.231,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2014,2013-14,False
101128-200758-201935-201976-2730,1610612745,"Francisco Garcia, Ronnie Brewer, James Harden, Patrick Beverley, Dwight Howard","Garcia, Brewer, Harden, Beverley, Howard",101128-200758-201935-201976-2730,HOU,93.0,1,2.0,,4.0,3.0,7.0,2.0,,,,1.0,,,108.38709677419355,15.25,10.666666666666666,15.25,8.333333333333334,1.0,,1.0,,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5,,0.5,0.46935,,26.2,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,0.3333333333333333,1.0,0.5,0.3333333333333333,0.5,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2014,2013-14,False
101128-200758-201935-202391-203093,1610612745,"Francisco Garcia, Ronnie Brewer, James Harden, Jeremy Lin, Terrence Jones","Garcia, Brewer, Harden, Lin, Jones",101128-200758-201935-202391-203093,HOU,5.0,1,,,,1.0,1.0,,,,,,,,288.0,,5.0,,5.0,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2014,2013-14,False
101128-200758-201956-202718-203093,1610612745,"Francisco Garcia, Ronnie Brewer, Omri Casspi, Chandler Parsons, Terrence Jones","Garcia, Brewer, Casspi, Parsons, Jones",101128-200758-201956-202718-203093,HOU,234.0,1,4.0,-3.0,8.0,7.0,15.0,13.0,1.0,1.0,1.0,1.0,,,92.3076923076923,15.875,15.285714285714286,15.875,15.0,,,,,,,,,,,,,,,0.2857142857142857,0.44965714285714287,0.3212,,2.0,7.0,,10.0,,,,1.0,,10.0,0.7142857142857143,,0.2857142857142857,,,9.942857142857141,,,,,3.0,2.0,2.0,2.0,3.0,1.0,5.0,2.0,3.0,4.0,8.0,2.0,4.0,4.0,2.0,1.0,1.0,8.0,1.0,4.0,3.0,0.8,0.8,0.7142857142857143,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.2857142857142857,1.0,1.0,1.0,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,1.0,0.4,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2014,2013-14,False
101128-200758-201976-202391-203093,1610612745,"Francisco Garcia, Ronnie Brewer, Patrick Beverley, Jeremy Lin, Terrence Jones","Garcia, Brewer, Beverley, Lin, Jones",101128-200758-201976-202391-203093,HOU,67.0,1,1.0,-2.0,2.0,3.0,5.0,2.0,,,1.0,1.0,,,107.46268656716417,16.5,11.333333333333334,16.5,8.666666666666666,1.0,,1.0,,1.0,2.0,2.0,2.0,1.0,0.6666666666666666,0.6666666666666666,,1.0,,1.0,0.55125,,23.8,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2014,2013-14,False
101128-201166-201600-201935-201956,1610612745,"Francisco Garcia, Aaron Brooks, Omer Asik, James Harden, Omri Casspi","Garcia, Brooks, Asik, Harden, Casspi",101128-201166-201600-201935-201956,HOU,808.0,5,13.0,9.0,27.0,23.0,50.0,22.0,4.0,3.0,3.0,3.0,1.0,5.0,89.10891089108911,14.592592592592593,18.0,13.25925925925926,17.043478260869566,10.0,1.0,12.0,1.0,10.0,8.0,9.0,13.0,0.46153846153846156,0.7272727272727273,0.6923076923076923,1.0,0.38461538461538464,0.2,0.8076923076923077,0.5053576923076922,0.50706,25.049999999999997,1.0,14.0,9.0,31.0,,,8.0,10.0,4.0,26.0,0.5344827586206896,,0.038461538461538464,0.17857142857142858,0.26666666666666666,4.821428571428571,6.0,1.0,0.5,,7.0,6.0,9.0,1.0,4.0,1.0,8.0,2.0,4.0,9.0,2.0,14.0,1.0,3.0,1.0,,,8.0,,9.0,7.0,0.125,0.125,0.5714285714285714,0.5,0.4230769230769231,0.4,0.6428571428571429,0.34615384615384615,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.15384615384615385,0.25,0.25,,1.0,1.0,,0.2903225806451613,0.25925925925925924,2.0,0.5,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,5.0,5.0,6.0,1.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.16666666666666666,0.5,0.16666666666666666,0.5,0.625,0.4,0.25,0.3333333333333333,1.0,0.5,1.0,0.07692307692307693,0.5,0.5,1.0,0.1,0.1,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,0.4,0.5,0.1,0.5411,0.07692307692307693,0.16129032258064516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2014,2013-14,False
101128-201166-201600-201935-202700,1610612745,"Francisco Garcia, Aaron Brooks, Omer Asik, James Harden, Donatas Motiejunas","Garcia, Brooks, Asik, Harden, Motiejunas",101128-201166-201600-201935-202700,HOU,314.0,1,5.0,-4.0,9.0,10.0,19.0,14.0,,,2.0,3.0,1.0,1.0,87.13375796178345,15.555555555555555,17.4,14.555555555555555,16.9,2.0,1.0,2.0,1.0,2.0,2.0,3.0,4.0,0.2857142857142857,0.5,0.5,1.0,0.2857142857142857,0.3333333333333333,0.5714285714285714,0.46675000000000005,0.49405000000000004,25.25,,5.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,10.0,0.7142857142857143,0.3333333333333333,,0.14285714285714285,0.2,5.5200000000000005,,,,,4.0,1.0,2.0,2.0,3.0,,3.0,2.0,2.0,8.0,,6.0,,1.0,,,,3.0,,8.0,4.0,,,0.6,1.0,0.6428571428571429,1.1666666666666667,1.3333333333333333,0.2857142857142857,0.5,0.5,,0.42857142857142855,0.6666666666666666,0.6666666666666666,,,,,0.8,0.4444444444444444,1.0,,1.0,,1.0,1.0,,,,,1.0,,1.0,,,,,,1.0,3.0,1.0,1.0,1.0,,,1.0,,1.0,,,,1.0,,,1.0,1.0,,1.0,,,1.0,0.5,,0.5,,,,0.3333333333333333,,,1.0,,,,,,0.5,0.5,1.0,,,,,,0.3333333333333333,1.0,0.5,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2014,2013-14,False
101128-201166-201600-201935-202718,1610612745,"Francisco Garcia, Aaron Brooks, Omer Asik, James Harden, Chandler Parsons","Garcia, Brooks, Asik, Harden, Parsons",101128-201166-201600-201935-202718,HOU,219.0,3,4.0,,7.0,9.0,16.0,8.0,1.0,1.0,2.0,3.0,1.0,3.0,105.2054794520548,16.714285714285715,11.333333333333334,15.428571428571429,11.333333333333334,3.0,1.0,4.0,1.0,3.0,1.0,3.0,5.0,0.6666666666666666,1.0,1.0,1.0,0.5,1.0,1.0,0.5194166666666667,0.56025,24.8,,2.0,,8.0,1.0,,1.0,2.0,1.0,3.0,0.5714285714285714,0.3333333333333333,,0.14285714285714285,0.3333333333333333,2.7,2.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,1.0,,,3.0,,2.0,,1.0,,,,3.0,,3.0,1.0,,,0.5,,0.6666666666666666,1.5,0.75,0.3333333333333333,0.5,1.0,,,,,,,,,0.375,0.14285714285714285,1.0,,2.0,1.0,,,,1.0,,,2.0,1.0,2.0,1.0,1.0,1.0,,5.0,,3.0,2.0,1.0,1.0,,1.0,2.0,,,,,,,,,,,,,,,0.5,0.5,1.0,0.5,1.25,1.25,0.5,0.6666666666666666,,1.0,,,0.16666666666666666,,,,0.6666666666666666,0.6666666666666666,0.5,0.5,,,,0.5,,,0.6666666666666666,0.5163,,0.625,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2014,2013-14,False
