EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,Steals,LostBallSteals,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PlusMinus,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,Corner3FGA,PenaltyCorner3FGA,FtPoints,SecondChanceFtPoints,SecondChancePoints,PenaltyFtPoints,AtRimAssists,ShortMidRangeAssists,OffTwoPtRebounds,DefThreePtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Fouls,FoulsDrawn,BlockingFoulsDrawn,FTA,TwoPtShootingFoulsDrawn,SecondChanceTsPct,LiveBallTurnoverPct,DefFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangePctAssisted,Corner3Frequency,PenaltyCorner3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGM,FG3M,SecondChanceFG2A,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,DefTwoPtRebounds,SecondChanceTurnovers,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,Fg3aBlocked,BlockedLongMidRange,BlockedShortMidRange,RecoveredBlocks,FG3APctBlocked,Corner3PctBlocked,DefShortMidRangeReboundPct,BlocksRecoveredPct,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,DefCorner3ReboundPct,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,NonShootingPenaltyNonTakeFouls,ShortMidRangePctBlocked,Corner3FGM,PenaltyCorner3FGM,SecondChanceArc3FGA,SecondChanceFG3A,PenaltyFG3M,Corner3Assists,OffThreePtRebounds,BadPassSteals,BadPassTurnovers,LostBallOutOfBoundsTurnovers,Travels,Offensive Fouls Drawn,PenaltyFg3Pct,OffThreePtReboundPct,OffArc3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Accuracy,OffLongMidRangeReboundPct,Technical Free Throw Trips,SecondChanceAtRimFGM,PenaltyArc3FGM,SecondChanceFG2M,PtsPutbacks,BadPassOutOfBoundsTurnovers,Loose Ball Fouls,SecondChanceFg2Pct,SecondChanceEfgPct,LongMidRangePctBlocked,OffAtRimReboundPct,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyArc3Accuracy,OffCorner3ReboundPct,SelfOReb,SelfORebPct,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,FTOffRebounds,OffFTReboundPct,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,Offensive Fouls,3SecondViolations,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Charge Fouls Drawn,3pt And 1 Free Throw Trips,HeaveAttempts,StepOutOfBoundsTurnovers,SecondChanceCorner3FGM,Charge Fouls,Defensive 3 Seconds Violations,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,OffensiveGoaltends,DefensiveGoaltends,Blocked3s,BlockedArc3,Arc3PctBlocked,team_id,year,season,team_vs
1495-1938-201158-201168-201988,1610612759,"Tim Duncan, Manu Ginobili, Marco Belinelli, Tiago Splitter, Patty Mills","Duncan, Ginobili, Belinelli, Splitter, Mills",1495-1938-201158-201168-201988,SAS,86.0,1,1.0,3.0,3.0,3.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,4.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,0.5,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,100.46511627906976,13.333333333333334,15.333333333333334,13.333333333333334,13.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.46745,0.46745,1.0,13.7,24.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2014,2013-14,False
1495-1938-201158-201168-2225,1610612759,"Tim Duncan, Manu Ginobili, Marco Belinelli, Tiago Splitter, Tony Parker","Duncan, Ginobili, Belinelli, Splitter, Parker",1495-1938-201158-201168-2225,SAS,259.0,4,4.0,10.0,11.0,4.0,21.0,1.0,3.0,,1.0,1.0,,2.0,5.0,2.0,6.0,17.0,,2.0,1.0,2.0,4.0,,1.0,2.0,2.0,,4.0,1.0,1.0,,,,4.0,2.0,4.0,1.0,1.0,0.4,,0.2857142857142857,,0.375,0.25,0.2857142857142857,116.75675675675676,16.4,8.636363636363637,16.2,8.636363636363637,0.42857142857142855,0.3333333333333333,0.3333333333333333,0.14285714285714285,,,,0.14285714285714285,,0.42857142857142855,0.48209285714285716,0.42608333333333337,0.3333333333333333,9.66,24.05,0.4,-11.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.5,1.0,0.3333333333333333,1.0,1.0,0.2,0.5,1.0,0.14285714285714285,1.0,1.0,1.0,1.0,0.14285714285714285,0.3333333333333333,0.125,0.16666666666666666,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2014,2013-14,False
1495-1938-201158-201980-201988,1610612759,"Tim Duncan, Manu Ginobili, Marco Belinelli, Danny Green, Patty Mills","Duncan, Ginobili, Belinelli, Green, Mills",1495-1938-201158-201980-201988,SAS,177.0,3,3.0,7.0,5.0,3.0,12.0,1.0,1.0,,,2.0,,3.0,4.0,3.0,12.0,3.0,1.0,2.0,1.0,2.0,6.0,,2.0,3.0,4.0,,9.0,,,,,,12.0,2.0,3.0,1.0,1.0,0.75,0.5,0.8571428571428571,0.3333333333333333,0.8571428571428571,0.3333333333333333,0.42857142857142855,97.62711864406779,14.285714285714286,15.4,11.0,15.4,0.14285714285714285,1.0,1.0,,,,,0.2857142857142857,,0.8571428571428571,0.48315714285714284,0.49035,0.16666666666666666,4.3,24.733333333333334,0.42857142857142855,9.0,1.0,1.0,2.0,3.0,1.0,1.0,,,,,2.0,1.0,,,,3.0,,3.0,,1.0,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,,,,0.42857142857142855,0.6666666666666666,1.0,1.0,1.0,0.14285714285714285,0.3333333333333333,,,,1.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,0.5,0.6666666666666666,0.6666666666666666,0.25,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,0.5,1.0,0.4712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2014,2013-14,False
1495-1938-201158-201980-202695,1610612759,"Tim Duncan, Manu Ginobili, Marco Belinelli, Danny Green, Kawhi Leonard","Duncan, Ginobili, Belinelli, Green, Leonard",1495-1938-201158-201980-202695,SAS,79.0,1,1.0,2.0,2.0,,4.0,,,1.0,1.0,,,1.0,1.0,1.0,3.0,,,,,,,2.0,,,,,,,,2.0,,2.0,3.0,,,,,1.0,,0.5,,0.5,,0.5,72.9113924050633,21.0,18.5,21.0,18.5,,,,0.5,1.0,1.0,,,,0.5,0.511125,,,15.1,23.2,,3.0,,,,,1.0,,1.0,,,,,,,,,2.0,,2.0,,,,,,,1.0,1.0,3.0,,2.0,1.0,,,,,,1.0,,,,,,,,,0.5,,0.3333333333333333,0.5,,,,,,,,,,,,,,2.0,,,,,,,1.0,,1.0,,,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2014,2013-14,False
1495-1938-201158-201980-2564,1610612759,"Tim Duncan, Manu Ginobili, Marco Belinelli, Danny Green, Boris Diaw","Duncan, Ginobili, Belinelli, Green, Diaw",1495-1938-201158-201980-2564,SAS,101.0,1,2.0,3.0,3.0,3.0,6.0,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,3.0,,,,,,,0.16666666666666666,0.16666666666666666,0.5,85.54455445544555,11.0,22.666666666666668,11.0,22.666666666666668,,,,,,,,,,1.0,0.57245,0.57245,1.0,0.7,22.6,1.0,1.0,2.0,,,1.0,1.0,1.0,1.0,,,1.0,,,,2.0,,3.0,,3.0,,,,,,,1.0,1.0,1.0,,2.0,,,,,,1.0,1.0,,,,0.5,,,,,0.5,0.5,,,,,,1.0,,,,,,,,,,1.0,,,,,,,1.0,,1.0,,,,,0.5,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2014,2013-14,False
1495-1938-201158-201988-202695,1610612759,"Tim Duncan, Manu Ginobili, Marco Belinelli, Patty Mills, Kawhi Leonard","Duncan, Ginobili, Belinelli, Mills, Leonard",1495-1938-201158-201988-202695,SAS,125.0,2,2.0,5.0,6.0,2.0,11.0,1.0,2.0,,,,,2.0,3.0,1.0,7.0,5.0,1.0,1.0,,4.0,4.0,,,2.0,2.0,,4.0,,,,,,7.0,4.0,2.0,1.0,1.0,0.6666666666666666,1.0,0.5,1.0,0.7,1.0,0.25,126.71999999999998,13.2,9.833333333333334,13.2,9.833333333333334,0.5,0.5,1.0,,,,,,,0.5,0.462975,0.468,0.5714285714285714,7.433333333333334,23.9,0.4,2.0,2.0,,1.0,1.0,1.0,,3.0,,,2.0,1.0,1.0,,,2.0,2.0,,2.0,,,,,,2.0,,3.0,2.0,,3.0,1.0,,,1.0,,,,,,,0.25,1.0,1.0,1.0,1.0,0.25,,0.25,0.3333333333333333,,,1.0,1.0,,,,,,,1.0,,,,,,,,0.3333333333333333,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2014,2013-14,False
1495-1938-201158-201988-2564,1610612759,"Tim Duncan, Manu Ginobili, Marco Belinelli, Patty Mills, Boris Diaw","Duncan, Ginobili, Belinelli, Mills, Diaw",1495-1938-201158-201988-2564,SAS,848.0,7,14.0,28.0,29.0,8.0,57.0,5.0,7.0,,3.0,7.0,2.0,10.0,17.0,9.0,28.0,37.0,1.0,3.0,4.0,7.0,10.0,10.0,7.0,5.0,6.0,,13.0,1.0,,,,,28.0,7.0,8.0,0.5,0.5,0.5882352941176471,0.3333333333333333,0.5,0.35714285714285715,0.5185185185185185,0.4375,0.34615384615384615,96.79245283018868,16.214285714285715,13.586206896551724,15.821428571428571,13.448275862068966,0.2692307692307692,0.7142857142857143,0.7142857142857143,0.11538461538461539,,,,0.2692307692307692,0.2857142857142857,0.6153846153846154,0.47574807692307697,0.4651,0.25,7.070588235294117,24.788888888888888,0.2857142857142857,-9.0,16.0,1.0,5.0,7.0,2.0,2.0,2.0,,,2.0,4.0,1.0,1.0,3.0,1.0,10.0,2.0,12.0,2.0,2.0,,4.0,,1.0,,2.0,6.0,,3.0,2.0,,0.5,1.0,0.14285714285714285,1.0,0.9,0.15384615384615385,0.5,1.0,0.2692307692307692,0.7142857142857143,0.7142857142857143,0.8,0.2,0.07692307692307693,0.2857142857142857,0.07407407407407407,0.1111111111111111,,,1.0,1.0,1.0,2.0,,3.0,3.0,1.0,,1.0,,6.0,,0.5,0.2222222222222222,0.2222222222222222,,,0.8571428571428571,1.0,1.0,0.14285714285714285,0.14285714285714285,,,0.14285714285714285,1.0,0.14285714285714285,0.5466,,,,,,,0.5,,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.25,0.16666666666666666,0.2,0.5,0.5,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2014,2013-14,False
1495-1938-201158-201988-2588,1610612759,"Tim Duncan, Manu Ginobili, Marco Belinelli, Patty Mills, Matt Bonner","Duncan, Ginobili, Belinelli, Mills, Bonner",1495-1938-201158-201988-2588,SAS,81.0,1,1.0,2.0,2.0,,4.0,,1.0,,1.0,,,,2.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.1111111111111,32.5,8.0,23.0,8.0,0.5,,,0.5,,,,,,,0.3843,,,12.15,,,-4.0,2.0,1.0,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,,1.0,1.0,,2.0,,2.0,,,,,,1.0,,0.5,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2014,2013-14,False
1495-1938-201158-202695-2225,1610612759,"Tim Duncan, Manu Ginobili, Marco Belinelli, Kawhi Leonard, Tony Parker","Duncan, Ginobili, Belinelli, Leonard, Parker",1495-1938-201158-202695-2225,SAS,283.0,5,5.0,11.0,12.0,7.0,23.0,,1.0,,1.0,2.0,1.0,3.0,6.0,2.0,11.0,12.0,2.0,5.0,1.0,5.0,4.0,2.0,2.0,2.0,2.0,,4.0,2.0,,,,,11.0,5.0,7.0,0.6666666666666666,0.6666666666666666,0.5,0.4,0.375,0.3333333333333333,0.5,0.3333333333333333,0.25,117.03180212014134,10.545454545454545,13.916666666666666,10.545454545454545,12.916666666666666,0.125,,,0.125,,,,0.25,0.16666666666666666,0.75,0.56638125,0.5284166666666666,0.45454545454545453,4.7,24.8,0.6363636363636364,-1.0,,,3.0,4.0,,,5.0,,,1.0,2.0,,,2.0,,4.0,,4.0,1.0,,,1.0,1.0,3.0,1.0,3.0,3.0,,5.0,2.0,,1.0,,,1.0,0.8,,,1.0,0.5,0.75,1.0,0.6666666666666666,,,,0.2,0.25,,,2.0,3.0,,,,,,,1.0,,,2.0,,,,,0.16666666666666666,0.25,0.6666666666666666,1.0,,,,,,0.5,0.6666666666666666,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,2.0,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2014,2013-14,False
1495-1938-201158-2225-2564,1610612759,"Tim Duncan, Manu Ginobili, Marco Belinelli, Tony Parker, Boris Diaw","Duncan, Ginobili, Belinelli, Parker, Diaw",1495-1938-201158-2225-2564,SAS,1763.0,12,29.0,56.0,58.0,15.0,114.0,2.0,16.0,2.0,6.0,12.0,3.0,13.0,34.0,17.0,54.0,74.0,3.0,7.0,6.0,17.0,16.0,10.0,12.0,8.0,15.0,1.0,37.0,1.0,1.0,1.0,1.0,1.0,47.0,17.0,15.0,0.6153846153846154,0.6666666666666666,0.38235294117647056,0.42857142857142855,0.49019607843137253,0.5769230769230769,0.4909090909090909,0.5666666666666667,0.3333333333333333,93.11401020986955,17.053571428571427,13.931034482758621,16.553571428571427,13.431034482758621,0.3137254901960784,0.125,0.14285714285714285,0.11764705882352941,0.3333333333333333,0.5,0.5,0.23529411764705882,0.23076923076923078,0.5686274509803921,0.4814911764705882,0.4780076923076923,0.3148148148148148,8.055882352941175,24.46470588235294,0.26785714285714285,-20.0,16.0,6.0,9.0,12.0,5.0,3.0,4.0,1.0,7.0,2.0,6.0,1.0,4.0,7.0,1.0,20.0,6.0,26.0,2.0,7.0,1.0,9.0,3.0,4.0,,8.0,11.0,,8.0,3.0,0.7,0.2222222222222222,0.5,0.2,0.7777777777777778,0.7037037037037037,0.20689655172413793,0.21428571428571427,0.8571428571428571,0.23529411764705882,0.75,0.8181818181818182,0.6666666666666666,0.5,0.09803921568627451,0.23076923076923078,0.05555555555555555,0.08108108108108109,0.12962962962962962,3.0,2.0,2.0,4.0,8.0,4.0,21.0,3.0,4.0,5.0,7.0,4.0,12.0,1.0,0.875,0.47058823529411764,0.47058823529411764,0.14705882352941177,0.08333333333333333,0.6666666666666666,0.5714285714285714,0.8,0.3333333333333333,0.3333333333333333,1.0,0.75,0.15384615384615385,1.0,0.3333333333333333,0.5960666666666666,,,,1.0,,,0.6666666666666666,1.0,1.0,1.0,0.5,1.0,,2.0,0.125,4.0,2.0,,,3.0,3.0,2.0,,1.0,1.0,2.0,2.0,0.5,0.2222222222222222,0.25,0.8,0.8,0.75,,0.6666666666666666,,,3.0,1.0,3.0,2.0,1.0,1.0,0.75,0.75,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2014,2013-14,False
