EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,DefTwoPtRebounds,DefRebounds,Rebounds,DeadBallTurnovers,Turnovers,PenaltyTurnovers,PenaltyOffPossExcludingTakeFouls,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,PenaltyOffPossPct,DefLongMidRangeReboundPct,PlusMinus,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,FTDefRebounds,OffRebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,StepOutOfBoundsTurnovers,Travels,ShootingFouls,BlockingFouls,Fouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,SecondChanceTurnovers,SecondChanceFtPoints,HeaveAttempts,Offensive Fouls Drawn,LostBallTurnovers,RecoveredBlocks,BlocksRecoveredPct,PenaltyCorner3FGA,PtsUnassisted3s,SelfOReb,OffCorner3ReboundPct,SelfORebPct,PenaltyCorner3Frequency,BadPassOutOfBoundsTurnovers,NonShootingPenaltyNonTakeFouls,LostBallOutOfBoundsTurnovers,Technical Free Throw Trips,Defensive 3 Seconds Violations,LongMidRangePctBlocked,DefensiveGoaltends,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,3SecondViolations,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,BlockedLongMidRange,Charge Fouls Drawn,FTOffRebounds,OffFTReboundPct,Fg3aBlocked,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,FG3APctBlocked,Arc3PctBlocked,ThreePtShootingFoulsDrawnPct,Clear Path Fouls,Blocked3s,BlockedArc3,BlockedCorner3,Corner3PctBlocked,OffensiveGoaltends,team_id,year,season,team_vs
101109-1897-200745-202697-203143,1610612752,"Raymond Felton, Metta World Peace, Andrea Bargnani, Iman Shumpert, Pablo Prigioni","Felton, World Peace, Bargnani, Shumpert, Prigioni",101109-1897-200745-202697-203143,NYK,32.0,1,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90.0,18.0,14.0,18.0,14.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2014,2013-14,True
101109-1897-200745-202697-203501,1610612752,"Raymond Felton, Metta World Peace, Andrea Bargnani, Iman Shumpert, Tim Hardaway Jr.","Felton, World Peace, Bargnani, Shumpert, Hardaway Jr.",101109-1897-200745-202697-203501,NYK,6.0,1,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,240.0,,5.0,,5.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2014,2013-14,True
101109-1897-200745-202697-2546,1610612752,"Raymond Felton, Metta World Peace, Andrea Bargnani, Iman Shumpert, Carmelo Anthony","Felton, World Peace, Bargnani, Shumpert, Anthony",101109-1897-200745-202697-2546,NYK,1825.0,5,30.0,57.0,60.0,21.0,14.0,117.0,10.0,23.0,29.0,6.0,9.0,6.0,21.0,0.47619047619047616,0.5833333333333334,0.5,92.31780821917808,14.350877192982455,16.783333333333335,13.666666666666666,15.683333333333334,0.3684210526315789,0.375,2.0,6.0,14.0,18.0,2.0,2.0,4.0,6.0,4.0,12.0,3.0,8.0,2.0,2.0,4.0,10.0,1.0,2.0,2.0,4.0,21.0,38.0,6.0,12.0,8.0,68.0,66.0,3.0,4.0,1.0,2.0,9.0,7.0,12.0,2.0,4.0,3.0,23.0,18.0,24.0,18.0,4.0,10.0,4.0,4.0,9.0,6.0,15.0,4.0,2.0,6.0,2.0,1.0,36.0,1.0,5.0,11.0,2.0,6.0,6.0,3.0,3.0,3.0,3.0,1.0,2.0,7.0,1.0,15.0,1.0,1.0,2.0,11.0,2.0,1.0,9.0,1.0,4.0,1.0,3.0,2.0,1.0,3.0,59.0,23.0,1.0,0.42857142857142855,0.47368421052631576,1.0,0.5,0.5,0.5,0.5,0.5526315789473685,0.75,0.5833333333333334,0.6,0.75,0.625,0.6296296296296297,0.75,0.6764705882352942,0.24,0.10526315789473684,0.1111111111111111,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.29411764705882354,0.7333333333333333,0.16666666666666666,0.2608695652173913,0.25,0.25,0.4,0.16666666666666666,0.5714285714285714,0.7692307692307693,0.5,0.36,0.7777777777777778,0.875,0.42857142857142855,0.24,0.3333333333333333,0.4,0.5,0.16,0.375,0.375,0.3333333333333333,0.04,1.0,1.0,1.0,0.2,0.4,0.4,1.0,0.3333333333333333,1.0,0.3333333333333333,0.5,1.0,0.375,0.6666666666666666,0.25,0.5,0.6,0.4,0.540333,0.50778,0.53785,0.07547169811320754,0.0975609756097561,0.1323529411764706,0.3382352941176471,6.671052631578948,25.191666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2014,2013-14,True
101109-1897-200745-202697-2747,1610612752,"Raymond Felton, Metta World Peace, Andrea Bargnani, Iman Shumpert, JR Smith","Felton, World Peace, Bargnani, Shumpert, Smith",101109-1897-200745-202697-2747,NYK,27.0,1,,1.0,1.0,1.0,1.0,2.0,,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,,106.66666666666666,24.0,3.0,23.0,3.0,1.0,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,0.3732,,0.3732,,,,,2.1,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2014,2013-14,True
101109-1897-200745-202697-2757,1610612752,"Raymond Felton, Metta World Peace, Andrea Bargnani, Iman Shumpert, Beno Udrih","Felton, World Peace, Bargnani, Shumpert, Udrih",101109-1897-200745-202697-2757,NYK,89.0,1,1.0,2.0,2.0,,,4.0,1.0,2.0,3.0,,,,,1.0,1.0,,64.71910112359551,24.5,20.0,19.5,20.0,,1.0,5.0,1.0,,,,,,,2.0,2.0,,1.0,,,,,,,,,2.0,3.0,,,1.0,5.0,,1.0,1.0,,,3.0,,,,,,,2.0,2.0,,,,,,1.0,,1.0,,,,1.0,,2.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,2.0,,,1.0,1.0,1.0,,,,,,2.0,,,0.5,0.5,,,,,,0.6666666666666666,1.0,,0.6666666666666666,1.0,,0.8333333333333334,1.5,,,,,,,,1.0,1.0,,1.0,,,1.0,,,1.0,,,,,,0.6666666666666666,1.0,1.0,0.5,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,0.40090000000000003,0.4107,,0.3333333333333333,0.3333333333333333,0.6,,12.666666666666666,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2014,2013-14,True
101109-1897-200745-2030-203501,1610612752,"Raymond Felton, Metta World Peace, Andrea Bargnani, Kenyon Martin, Tim Hardaway Jr.","Felton, World Peace, Bargnani, Martin, Hardaway Jr.",101109-1897-200745-2030-203501,NYK,83.0,1,1.0,2.0,2.0,,,4.0,,,,,,,,,,,69.39759036144578,21.0,20.5,21.0,17.0,,,-2.0,,,1.0,,,,,,,1.0,1.0,,,,,,,,,1.0,2.0,,,,2.0,4.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,0.5,,,0.5,,,0.5,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,0.5,,0.5366,,,,,,,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2014,2013-14,True
101109-1897-200745-203501-2546,1610612752,"Raymond Felton, Metta World Peace, Andrea Bargnani, Tim Hardaway Jr., Carmelo Anthony","Felton, World Peace, Bargnani, Hardaway Jr., Anthony",101109-1897-200745-203501-2546,NYK,222.0,1,4.0,8.0,9.0,8.0,,17.0,1.0,3.0,3.0,,1.0,1.0,8.0,1.0,1.0,,110.27027027027026,12.5,13.555555555555555,12.5,13.555555555555555,1.0,,-3.0,,4.0,5.0,,,4.0,5.0,,,,,,,,2.0,,,,2.0,4.0,5.0,,2.0,2.0,10.0,13.0,,,,,,4.0,5.0,,2.0,2.0,10.0,6.0,2.0,,,1.0,,,3.0,,3.0,,,3.0,,,6.0,,,2.0,,,1.0,1.0,,1.0,1.0,,,,,,,,,2.0,,,3.0,1.0,2.0,,,,,,10.0,10.0,,0.75,0.75,,,,,,0.8,,0.8,0.5714285714285714,,0.5714285714285714,0.625,,0.625,0.2857142857142857,,,,1.0,,,1.0,,,,,,,1.0,1.0,,0.7142857142857143,0.8,0.8,0.75,,,,,,,,,,,,,0.2857142857142857,,,,,,,,,0.7142857142857143,0.8,0.2857142857142857,,1.0,,0.6085083333333333,,0.6085083333333333,0.25,0.3333333333333333,,1.0,2.12,32.3,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2014,2013-14,True
101109-1897-200745-203501-2747,1610612752,"Raymond Felton, Metta World Peace, Andrea Bargnani, Tim Hardaway Jr., JR Smith","Felton, World Peace, Bargnani, Hardaway Jr., Smith",101109-1897-200745-203501-2747,NYK,14.0,1,,,1.0,,,1.0,,,,,,,,,,,102.85714285714286,,14.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2014,2013-14,True
101109-1897-200745-2199-2546,1610612752,"Raymond Felton, Metta World Peace, Andrea Bargnani, Tyson Chandler, Carmelo Anthony","Felton, World Peace, Bargnani, Chandler, Anthony",101109-1897-200745-2199-2546,NYK,435.0,1,7.0,14.0,15.0,,,29.0,7.0,7.0,10.0,,3.0,,,1.0,1.0,1.0,96.0,15.571428571428571,14.466666666666667,15.071428571428571,14.466666666666667,,1.0,,3.0,4.0,8.0,,1.0,,,,,,3.0,,,1.0,3.0,,,,,4.0,11.0,1.0,3.0,,11.0,11.0,,1.0,,,,,,,,,,8.0,,3.0,,3.0,1.0,2.0,4.0,1.0,5.0,1.0,,4.0,,,11.0,,3.0,,,3.0,2.0,2.0,,3.0,1.0,,,1.0,,1.0,,,,1.0,,,,,,,1.0,1.0,,1.0,11.0,,,1.0,1.0,1.0,0.3333333333333333,,,0.3333333333333333,0.36363636363636365,,,0.39285714285714285,,,0.39285714285714285,,,0.21428571428571427,0.18181818181818182,0.25,,1.0,,0.42857142857142855,,,0.3333333333333333,0.25,,0.6666666666666666,,1.0,,,0.5714285714285714,0.5,0.6666666666666666,1.0,,,,,0.21428571428571427,,,,,,,,0.21428571428571427,0.3333333333333333,0.3333333333333333,1.0,1.0,,,,,,,,,0.7857142857142857,0.3333333333333333,0.545975,0.7022,,,,,,6.654545454545455,24.733333333333334,2.0,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2014,2013-14,True
101109-1897-200745-2546-2747,1610612752,"Raymond Felton, Metta World Peace, Andrea Bargnani, Carmelo Anthony, JR Smith","Felton, World Peace, Bargnani, Anthony, Smith",101109-1897-200745-2546-2747,NYK,1390.0,5,23.0,43.0,41.0,15.0,3.0,84.0,12.0,20.0,28.0,4.0,6.0,2.0,15.0,0.9230769230769231,0.7916666666666666,1.0,87.02158273381295,15.44186046511628,17.70731707317073,14.372093023255815,17.195121951219512,0.3488372093023256,1.0,18.0,7.0,10.0,15.0,3.0,5.0,3.0,4.0,2.0,6.0,4.0,5.0,1.0,5.0,3.0,8.0,,,,1.0,16.0,26.0,4.0,13.0,10.0,54.0,36.0,3.0,6.0,,,8.0,6.0,10.0,,2.0,5.0,17.0,14.0,18.0,9.0,4.0,8.0,3.0,2.0,7.0,3.0,10.0,2.0,1.0,4.0,2.0,1.0,23.0,4.0,4.0,7.0,1.0,8.0,4.0,4.0,,2.0,2.0,,,2.0,,5.0,,,2.0,7.0,1.0,,12.0,,4.0,2.0,,,,,46.0,17.0,2.0,0.4375,0.5,0.75,0.3076923076923077,,,0.3076923076923077,0.6153846153846154,0.5,0.6,0.5641025641025641,0.5,0.5,0.6,0.5,0.5666666666666667,0.3333333333333333,0.07692307692307693,0.06666666666666667,0.16666666666666666,0.3333333333333333,1.0,0.4,0.6363636363636364,0.4444444444444444,0.42105263157894735,0.6,0.25,,0.6,0.8,0.7142857142857143,0.5,0.38461538461538464,0.6666666666666666,0.7142857142857143,0.4,0.15384615384615385,0.3333333333333333,0.4,1.0,0.1282051282051282,0.8,0.8,0.25,0.1282051282051282,0.2,0.2,1.0,0.20512820512820512,0.375,0.375,0.6666666666666666,0.8333333333333334,0.6,,,,0.3333333333333333,0.75,0.08333333333333333,,0.717948717948718,0.375,0.5582551282051282,0.561275,0.5018791666666667,0.09302325581395349,0.13333333333333333,0.14814814814814814,0.3148148148148148,5.865384615384615,24.54615384615385,,2.0,,1.0,,,,1.0,3.0,1.0,0.25,0.058823529411764705,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2014,2013-14,True
