EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,PtsUnassisted2s,DefTwoPtRebounds,DefRebounds,Rebounds,FirstChancePoints,Fg2Pct,EfgPct,TsPct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,ShotQualityAvg,Avg2ptShotDistance,PenaltyDefPoss,FtPoints,OpponentPoints,FTDefRebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,LiveBallTurnoverPct,DefFTReboundPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyOffPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3A,PtsAssisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,SelfOReb,Steals,LostBallSteals,DeadBallTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,ShootingFouls,Fouls,Offensive Fouls,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,SecondChancePointsPct,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PenaltyPointsExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyPointsPct,BadPassOutOfBoundsTurnovers,BlockedShortMidRange,LongMidRangeAssists,BadPassSteals,BadPassTurnovers,LongMidRangePctAssisted,PenaltyFtPoints,Fg2aBlocked,FG2APctBlocked,ShortMidRangePctBlocked,Travels,PenaltyTurnovers,OffArc3ReboundPct,Charge Fouls,OffAtRimReboundPct,SecondChanceShotQualityAvg,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,PenaltyFg3Pct,AtRimPctBlocked,OffShortMidRangeReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,BlockingFoulsDrawn,ShortMidRangeAssists,DefensiveGoaltends,NonShootingPenaltyNonTakeFouls,ShortMidRangePctAssisted,Loose Ball Fouls,BlockingFouls,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGA,LostBallOutOfBoundsTurnovers,SecondChanceCorner3Frequency,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,FTOffRebounds,OffFTReboundPct,Technical Free Throw Trips,Blocked3s,BlockedArc3,BlockedLongMidRange,Defensive 3 Seconds Violations,HeaveMakes,3pt And 1 Free Throw Trips,3SecondViolations,OffensiveGoaltends,BlockedCorner3,LongMidRangePctBlocked,Clear Path Fouls,Corner3PctBlocked,team_id,year,season,team_vs
101107-101249-200839-202324-202330,1610612762,"Marvin Williams, John Lucas III, Mike Harris, Derrick Favors, Gordon Hayward","Williams, Lucas III, Harris, Favors, Hayward",101107-101249-200839-202324-202330,UTA,44.0,1,1.0,2.0,1.0,2.0,3,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,98.18181818181819,20.0,12.0,20.0,12.0,1.0,1.0,1.0,0.3793,15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2014,2013-14,True
101107-101249-200839-202324-202692,1610612762,"Marvin Williams, John Lucas III, Mike Harris, Derrick Favors, Alec Burks","Williams, Lucas III, Harris, Favors, Burks",101107-101249-200839-202324-202692,UTA,32.0,1,1.0,-1.0,2.0,2.0,4,,,,,1.0,,,1.0,1.0,1.0,,,0.5,,,,180.0,13.5,2.5,13.5,2.0,,,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2014,2013-14,True
101107-101249-200839-202683-202692,1610612762,"Marvin Williams, John Lucas III, Mike Harris, Enes Kanter, Alec Burks","Williams, Lucas III, Harris, Kanter, Burks",101107-101249-200839-202683-202692,UTA,736.0,4,12.0,13.0,23.0,22.0,45,1.0,3.0,6.0,10.0,37.0,4.0,6.0,8.0,11.0,32.0,0.6,0.8181818181818182,0.8409090909090909,0.6666666666666666,0.7272727272727273,1.0,88.04347826086956,13.826086956521738,19.0,13.391304347826088,18.5,0.13636363636363635,0.3333333333333333,0.3333333333333333,0.5512285714285714,7.49,1.0,1.0,24.0,,2.0,2.0,5.0,5.0,1.0,1.0,0.4,,0.045454545454545456,0.1,1.0,3.0,4.0,5.0,1.0,1.0,1.0,2.0,1.0,3.0,7.0,9.0,2.0,8.0,12.0,2.0,2.0,1.0,5.0,2.0,8.0,21.0,3.0,2.0,1.0,8.0,7.0,4.0,7.0,11.0,6.0,1.0,4.0,29.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,4.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,0.6666666666666666,0.8,0.875,0.6666666666666666,0.7272727272727273,1.0,1.0,1.25,0.5454545454545454,0.25,1.0,1.0,0.5,0.5,1.0,0.4,1.0,1.0,1.0,0.16666666666666666,0.6666666666666666,0.22727272727272727,0.8,0.8,1.0,0.09090909090909091,0.5,0.5,0.13636363636363635,0.3333333333333333,0.3333333333333333,1.0,0.4090909090909091,0.7777777777777778,0.7777777777777778,0.8571428571428571,0.5,1.0,1.0,1.0,0.7727272727272727,0.875,0.2874,0.13513513513513514,28.724999999999998,0.043478260869565216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2014,2013-14,True
101107-101249-200839-202692-203197,1610612762,"Marvin Williams, John Lucas III, Mike Harris, Alec Burks, Diante Garrett","Williams, Lucas III, Harris, Burks, Garrett",101107-101249-200839-202692-203197,UTA,40.0,1,1.0,,1.0,1.0,2,,,1.0,1.0,2.0,,,,,2.0,1.0,1.0,1.0,,,,72.0,13.0,27.0,13.0,9.0,,,,0.489,1.8,1.0,,2.0,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,,0.489,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2014,2013-14,True
101107-101249-200839-203197-2210,1610612762,"Marvin Williams, John Lucas III, Mike Harris, Diante Garrett, Richard Jefferson","Williams, Lucas III, Harris, Garrett, Jefferson",101107-101249-200839-203197-2210,UTA,41.0,1,1.0,3.0,2.0,2.0,4,,,1.0,1.0,3.0,,1.0,1.0,1.0,3.0,1.0,1.0,1.5,1.0,1.0,,140.4878048780488,9.0,11.5,9.0,11.5,,,,0.5899,2.1,,1.0,,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,1.0,,,1.0,2.0,,,,,,,,1.0,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2014,2013-14,True
101107-101249-201575-202324-202330,1610612762,"Marvin Williams, John Lucas III, Brandon Rush, Derrick Favors, Gordon Hayward","Williams, Lucas III, Rush, Favors, Hayward",101107-101249-201575-202324-202330,UTA,45.0,1,1.0,2.0,1.0,1.0,2,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,64.0,28.0,17.0,28.0,17.0,,,,0.3258,10.4,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,0.3258,,,1.0,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2014,2013-14,True
101107-101249-201575-202324-202692,1610612762,"Marvin Williams, John Lucas III, Brandon Rush, Derrick Favors, Alec Burks","Williams, Lucas III, Rush, Favors, Burks",101107-101249-201575-202324-202692,UTA,114.0,1,2.0,,4.0,4.0,8,1.0,1.0,1.0,2.0,4.0,,,1.0,1.0,4.0,0.5,0.5,0.6666666666666666,,1.0,,101.05263157894737,16.0,12.5,16.0,12.5,0.5,1.0,1.0,0.65185,10.1,,2.0,4.0,,1.0,,1.0,2.0,2.0,1.0,1.0,,0.3333333333333333,0.3333333333333333,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,1.0,,,,2.0,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,0.5,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2014,2013-14,True
101107-101249-201575-202330-202683,1610612762,"Marvin Williams, John Lucas III, Brandon Rush, Gordon Hayward, Enes Kanter","Williams, Lucas III, Rush, Hayward, Kanter",101107-101249-201575-202330-202683,UTA,60.0,1,1.0,,2.0,2.0,4,,,1.0,1.0,4.0,2.0,,,,4.0,1.0,1.0,1.0,,,,96.0,14.0,16.0,14.0,14.5,,,,0.3753,3.7,,2.0,4.0,,,,,1.0,2.0,1.0,,,0.5,0.5,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,0.3753,,,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2014,2013-14,True
101107-101249-202324-202330-202379,1610612762,"Marvin Williams, John Lucas III, Derrick Favors, Gordon Hayward, Jeremy Evans","Williams, Lucas III, Favors, Hayward, Evans",101107-101249-202324-202330-202379,UTA,53.0,1,1.0,2.0,2.0,1.0,3,,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,,81.50943396226415,15.5,22.0,15.5,22.0,0.5,,,0.4176,10.65,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2014,2013-14,True
101107-101249-202324-202330-202683,1610612762,"Marvin Williams, John Lucas III, Derrick Favors, Gordon Hayward, Enes Kanter","Williams, Lucas III, Favors, Hayward, Kanter",101107-101249-202324-202330-202683,UTA,71.0,1,1.0,2.0,3.0,3.0,6,,,,1.0,2.0,,1.0,2.0,2.0,2.0,,,0.5,1.0,1.0,,121.69014084507042,12.333333333333334,11.333333333333334,12.333333333333334,11.333333333333334,,,,0.4,12.0,,2.0,,,,,1.0,1.0,2.0,1.0,,,0.5,0.5,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2014,2013-14,True
