EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFtPoints,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,SecondChanceTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyArc3FGA,PenaltyFG3A,HeaveAttempts,PenaltyArc3Frequency,PenaltyOffPoss,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG2A,Fg2aBlocked,Corner3Assists,OffTwoPtRebounds,SelfOReb,DeadBallTurnovers,PenaltyTurnovers,Offensive Fouls,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,PenaltyOffPossExcludingTakeFouls,SecondChanceFg3Pct,SecondChanceEfgPct,FG2APctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,SelfORebPct,ShortMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyAtRimFrequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyOffPossPct,SecondChanceAtRimFGM,ShortMidRangeFGM,SecondChanceFG2M,PtsPutbacks,ShortMidRangeAssists,Loose Ball Fouls,BlockingFoulsDrawn,SecondChanceFg2Pct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimAccuracy,Offensive Fouls Drawn,BlockedShortMidRange,PenaltyAtRimFGM,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyFG2M,PenaltyFG3M,PenaltyFtPoints,PenaltyPoints,LongMidRangeAssists,PenaltyPointsExcludingTakeFouls,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,LongMidRangePctAssisted,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyPointsPct,AtRimPctBlocked,SecondChanceArc3FGM,SecondChanceArc3FGA,PtsUnassisted3s,Fg3aBlocked,FTOffRebounds,FTDefRebounds,BadPassSteals,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,Charge Fouls Drawn,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,Blocked3s,BlockedCorner3,RecoveredBlocks,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFoulsDrawn,FG3APctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,DefFTReboundPct,OffFTReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Charge Fouls,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedLongMidRange,ThreePtShootingFoulsDrawnPct,PenaltyArc3FGM,StepOutOfBoundsTurnovers,BlockingFouls,NonShootingPenaltyNonTakeFouls,PenaltyArc3Accuracy,3SecondViolations,BlockedArc3,DefensiveGoaltends,OffensiveGoaltends,Clear Path Fouls,Arc3PctBlocked,HeaveMakes,team_id,year,season,team_vs
1737-201149-201571-202710-2399,1610612741,"Nazr Mohammed, Joakim Noah, D.J. Augustin, Jimmy Butler, Mike Dunleavy","Mohammed, Noah, Augustin, Butler, Dunleavy",1737-201149-201571-202710-2399,CHI,243.0,1,4.0,7.0,9.0,8.0,6.0,1.0,17.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,2.0,4.0,13.0,6.0,2.0,2.0,2.0,4.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,3.0,1.0,4.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,2.0,11.0,0.3333333333333333,0.3333333333333333,1.0,0.5,0.5,0.75,0.75,0.8125,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,100.74074074074075,13.222222222222221,15.5,12.88888888888889,15.5,0.5,0.6666666666666666,0.6666666666666666,0.5,0.16666666666666666,1.0,1.0,0.3333333333333333,0.5,0.5,1.0,0.8333333333333334,0.5,0.5466333333333333,0.25,0.3333333333333333,0.15384615384615385,5.75,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2014,2013-14,False
1737-201149-201571-202710-2550,1610612741,"Nazr Mohammed, Joakim Noah, D.J. Augustin, Jimmy Butler, Kirk Hinrich","Mohammed, Noah, Augustin, Butler, Hinrich",1737-201149-201571-202710-2550,CHI,15.0,1,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,96.0,,15.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2014,2013-14,False
1737-201149-2399-2550-2736,1610612741,"Nazr Mohammed, Joakim Noah, Mike Dunleavy, Kirk Hinrich, Luol Deng","Mohammed, Noah, Dunleavy, Hinrich, Deng",1737-201149-2399-2550-2736,CHI,1.0,1,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,58.1,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2014,2013-14,False
1737-201565-201959-202710-2550,1610612741,"Nazr Mohammed, Derrick Rose, Taj Gibson, Jimmy Butler, Kirk Hinrich","Mohammed, Rose, Gibson, Butler, Hinrich",1737-201565-201959-202710-2550,CHI,164.0,2,3.0,3.0,5.0,4.0,,2.0,9.0,,3.0,,1.0,,,,5.0,1.0,1.0,2.0,5.0,2.0,2.0,5.0,,,3.0,,,,1.0,1.0,,,3.0,,,1.0,1.0,3.0,4.0,,,,,,1.0,,1.0,2.0,2.0,,,,,1.0,1.0,1.0,,0.25,0.35714285714285715,0.8333333333333334,0.16666666666666666,,0.3333333333333333,,,0.3333333333333333,0.6,,1.0,,79.02439024390243,20.2,15.75,18.4,15.25,0.5,,,,0.16666666666666666,,,,,,,0.6666666666666666,,0.5392416666666667,,,1.0,5.08,23.1,,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.75,0.2,1.0,0.6,0.6666666666666666,1.0,0.25,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.572925,0.6729,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2014,2013-14,False
1737-201565-201959-2399-2550,1610612741,"Nazr Mohammed, Derrick Rose, Taj Gibson, Mike Dunleavy, Kirk Hinrich","Mohammed, Rose, Gibson, Dunleavy, Hinrich",1737-201565-201959-2399-2550,CHI,411.0,3,7.0,,13.0,12.0,,2.0,25.0,3.0,4.0,,2.0,,1.0,4.0,8.0,,1.0,3.0,11.0,11.0,,2.0,2.0,6.0,,1.0,,1.0,,1.0,,,2.0,,,7.0,7.0,2.0,9.0,,,3.0,1.0,2.0,3.0,,6.0,4.0,6.0,3.0,9.0,0.25,0.3333333333333333,,,,0.5,0.4444444444444444,0.4583333333333333,0.5,0.1111111111111111,1.0,0.5384615384615384,,,0.5,0.4,,0.3333333333333333,,87.59124087591242,14.384615384615385,18.666666666666668,13.76923076923077,16.25,0.4444444444444444,0.75,0.75,,0.2222222222222222,,,0.1111111111111111,,,,0.5555555555555556,,0.5006888888888889,0.25,0.2727272727272727,0.18181818181818182,7.2125,26.3,,,,,,1.0,,2.0,,,,,2.0,,,,,,2.0,1.0,,,,,,,,,,0.5,,,0.5,1.0,,0.2,0.2222222222222222,,,,,0.5,,,,,0.47625,,,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5714285714285714,0.6666666666666666,0.5,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2014,2013-14,False
1737-201565-201959-2550-2736,1610612741,"Nazr Mohammed, Derrick Rose, Taj Gibson, Kirk Hinrich, Luol Deng","Mohammed, Rose, Gibson, Hinrich, Deng",1737-201565-201959-2550-2736,CHI,165.0,3,3.0,-1.0,6.0,6.0,,1.0,12.0,1.0,1.0,,,,,2.0,4.0,,,,4.0,5.0,,2.0,,4.0,,,,,,,,,,,1.0,1.0,2.0,1.0,3.0,,,2.0,1.0,1.0,3.0,1.0,2.0,1.0,,,2.0,,,,,,0.5,0.5,0.5,1.0,,0.6666666666666666,0.5,0.5,,0.5,0.5,,1.0,1.0,104.72727272727273,13.5,14.0,13.5,14.0,0.25,1.0,1.0,,,,,,,,,0.25,,0.4257,,,0.5,6.475,,,,,,,1.0,,3.0,,,,,1.0,,,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,,1.0,0.25,0.3333333333333333,0.5,,,,0.75,,,,,1.0,,,,,0.6186,,,1.0,1.0,1.0,2.0,,,,1.0,0.5,,,0.3333333333333333,0.5,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2014,2013-14,False
1737-201571-201858-201959-2399,1610612741,"Nazr Mohammed, D.J. Augustin, Cartier Martin, Taj Gibson, Mike Dunleavy","Mohammed, Augustin, Martin, Gibson, Dunleavy",1737-201571-201858-201959-2399,CHI,112.0,1,2.0,,2.0,3.0,,,5.0,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,2.0,2.0,,,2.0,,,1.0,,1.0,,1.0,,1.0,2.0,,,2.0,2.0,,2.0,,,,,,,,,3.0,,,2.0,1.0,1.0,,,,1.0,0.5,0.5,,0.5,,0.5,,,0.4,,,,,64.28571428571428,19.0,24.666666666666668,19.0,18.333333333333332,0.5,1.0,1.0,1.0,,,,0.5,,,,1.0,,0.635575,,,,0.1,25.3,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2014,2013-14,False
1737-201571-201858-201959-2550,1610612741,"Nazr Mohammed, D.J. Augustin, Cartier Martin, Taj Gibson, Kirk Hinrich","Mohammed, Augustin, Martin, Gibson, Hinrich",1737-201571-201858-201959-2550,CHI,163.0,1,3.0,6.0,5.0,4.0,,1.0,9.0,1.0,1.0,1.0,2.0,,,2.0,3.0,1.0,1.0,3.0,10.0,4.0,,3.0,2.0,2.0,3.0,,,1.0,1.0,2.0,,,5.0,,,1.0,1.0,1.0,2.0,1.0,1.0,,,,,1.0,1.0,2.0,4.0,2.0,7.0,0.5,0.5,1.0,1.0,1.0,0.6666666666666666,0.875,0.8333333333333334,1.5,0.25,,1.0,,,1.0,1.0,,,,79.50920245398773,19.4,16.5,16.4,16.5,0.25,1.0,1.0,,0.5,0.5,0.5,,,,,0.5,,0.4795875,0.3333333333333333,0.4,0.3,13.766666666666666,23.4,,1.0,,,3.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,,1.0,1.0,,,,,,,,,3.0,1.0,1.5,,,1.0,,1.0,,,0.25,1.0,1.0,1.0,,1.0,1.0,1.0,0.3333333333333333,0.61995,0.5010166666666667,0.6,,,,,,,,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,7.0,1.0,7.0,1.0,0.5,0.8333333333333334,0.875,1.0,1.0,0.3333333333333333,1.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2014,2013-14,False
1737-201571-201959-202690-203503,1610612741,"Nazr Mohammed, D.J. Augustin, Taj Gibson, Jimmer Fredette, Tony Snell","Mohammed, Augustin, Gibson, Fredette, Snell",1737-201571-201959-202690-203503,CHI,27.0,1,,,1.0,1.0,,,2.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,106.66666666666666,6.0,21.0,6.0,21.0,1.0,,,,,,,,,,,1.0,,0.5627,,,,2.9,,,,,,1.0,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,0.5627,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2014,2013-14,False
1737-201571-201959-202710-203503,1610612741,"Nazr Mohammed, D.J. Augustin, Taj Gibson, Jimmy Butler, Tony Snell","Mohammed, Augustin, Gibson, Butler, Snell",1737-201571-201959-202710-203503,CHI,6945.0,31,116.0,3.0,204.0,209.0,8.0,26.0,413.0,31.0,47.0,17.0,44.0,12.0,39.0,61.0,129.0,15.0,50.0,49.0,216.0,213.0,8.0,28.0,66.0,56.0,39.0,39.0,12.0,33.0,13.0,46.0,10.0,14.0,105.0,14.0,14.0,56.0,77.0,32.0,109.0,23.0,6.0,23.0,18.0,5.0,32.0,29.0,53.0,55.0,64.0,32.0,188.0,0.5409836065573771,0.5892857142857143,0.8666666666666667,0.3,0.3,0.4728682170542636,0.4664804469273743,0.5218446601941747,0.4827586206896552,0.27932960893854747,0.71875,0.6292134831460674,0.6086956521739131,0.42424242424242425,0.625,0.31,0.3076923076923077,0.68,0.5625,85.63282937365011,17.485294117647058,16.16267942583732,16.465686274509803,15.124401913875598,0.26256983240223464,0.6595744680851063,0.8157894736842105,0.45161290322580644,0.24581005586592178,0.38636363636363635,0.40476190476190477,0.21787709497206703,0.3076923076923077,0.3076923076923077,0.8333333333333334,0.5418994413407822,0.3076923076923077,0.495272905027933,0.15763546798029557,0.20915032679738563,0.12962962962962962,9.3,24.88,3.0,5.0,,0.14285714285714285,20.0,11.0,4.0,38.0,3.0,11.0,1.0,2.0,18.0,2.0,7.0,16.0,12.0,3.0,17.0,2.0,9.0,2.0,2.0,3.0,15.0,9.0,16.0,20.0,0.2857142857142857,0.4,0.09302325581395349,0.02631578947368421,0.2537313432835821,0.375,0.1111111111111111,0.022727272727272728,0.2122905027932961,0.061452513966480445,0.2727272727272727,0.3,1.0,0.44,0.08,0.5,1.0,0.19047619047619047,0.5213533333333333,0.44944523809523806,0.09803921568627451,6.0,13.0,7.0,10.0,7.0,5.0,2.0,0.3888888888888889,0.3333333333333333,0.6052631578947368,0.6153846153846154,0.34210526315789475,0.35135135135135137,0.5384615384615384,0.5454545454545454,1.0,6.0,3.0,,2.0,8.0,,5.0,21.0,12.0,21.0,,0.5,0.38095238095238093,0.4375,0.7058823529411765,0.75,0.09523809523809523,,0.09722222222222222,0.19148936170212766,1.0,5.0,6.0,1.0,1.0,7.0,17.0,2.0,1.0,2.0,2.0,2.0,4.0,8.0,2.0,1.0,1.0,8.0,1.0,2.0,0.02,0.045454545454545456,0.09090909090909091,1.0,0.16666666666666666,0.8571428571428571,0.7142857142857143,0.5,0.16666666666666666,0.2,0.2,1.0,,,,,,,,,,,,,,,,,,1610612741,2014,2013-14,False
