EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,ShortMidRangeFGA,FG2A,FtPoints,Points,SecondChanceFG2A,Fg2aBlocked,OffTwoPtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,TsPct,FG2APctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Minutes,PenaltyOffPoss,PenaltyDefPoss,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,LongMidRangeFGA,FG2M,OpponentPoints,SecondChanceFG2M,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,DefTwoPtRebounds,SelfOReb,DeadBallTurnovers,Travels,Turnovers,Fouls,Charge Fouls Drawn,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,AtRimPctBlocked,DefTwoPtReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,LongMidRangeFGM,LongMidRangeAssists,ShootingFouls,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Charge Fouls,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG3A,NonHeaveArc3FGA,FG3APct,DefLongMidRangeReboundPct,Arc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,Avg3ptShotDistance,Corner3FGA,Loose Ball Fouls Drawn,Corner3Frequency,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,AtRimAssists,OffThreePtRebounds,FTDefRebounds,BadPassOutOfBoundsTurnovers,PenaltyTurnovers,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,DefFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,AtRimPctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,FTOffRebounds,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,BlockingFouls,Offensive Fouls,RecoveredBlocks,LongMidRangePctBlocked,LiveBallTurnoverPct,OffFTReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,SecondChanceFtPoints,SecondChanceTurnovers,BlockingFoulsDrawn,NonShootingPenaltyNonTakeFouls,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,Corner3Assists,Steals,BadPassSteals,LostBallSteals,Loose Ball Fouls,Offensive Fouls Drawn,OffensiveGoaltends,OffCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Technical Free Throw Trips,HeaveAttempts,LostBallOutOfBoundsTurnovers,Blocked3s,BlockedArc3,Defensive 3 Seconds Violations,SecondChanceCorner3FGA,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedLongMidRange,3SecondViolations,SecondChanceCorner3Frequency,ThreePtShootingFoulsDrawnPct,BlockedCorner3,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Clear Path Fouls,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Corner3PctBlocked,team_id,year,season,team_vs
101141-201196-201564-202688-203089,1610612749,"Ersan Ilyasova, Ramon Sessions, O.J. Mayo, Brandon Knight, John Henson","Ilyasova, Sessions, Mayo, Knight, Henson",101141-201196-201564-202688-203089,MIL,30.0,1,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.16666666666666666,0.5,1.0,0.5,1.0,1.0,0.5,1.0,1.0,144.0,11.0,8.0,7.0,8.0,0.5,0.5,0.5,0.56005,0.4769,0.3333333333333333,0.3333333333333333,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2014,2013-14,True
101141-201196-201564-202874-203089,1610612749,"Ersan Ilyasova, Ramon Sessions, O.J. Mayo, Chris Wright, John Henson","Ilyasova, Sessions, Mayo, Wright, Henson",101141-201196-201564-202874-203089,MIL,311.0,1,-2.0,8.0,10.0,3.0,18.0,2.0,4.0,9.0,3.0,11.0,3.0,1.0,3.0,2.0,3.0,3.0,6.0,5.0,5.0,2.0,5.0,0.5,0.1111111111111111,,0.6,1.0,0.75,0.6,1.0,1.0,83.34405144694533,23.25,12.5,21.625,11.9,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.41534444444444446,0.44680000000000003,0.2,0.2,9.444444444444445,5.0,2.0,3.0,1.0,1.0,1.0,3.0,3.0,4.0,13.0,3.0,6.0,1.0,1.0,2.0,4.0,2.0,6.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,0.25,0.5,0.4444444444444444,1.0,1.0,0.4444444444444444,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.3333333333333333,1.0,1.0,0.25,0.5,1.0,0.75,0.75,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.4334,0.5454545454545454,0.36363636363636365,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2014,2013-14,True
101141-201196-201564-203089-203114,1610612749,"Ersan Ilyasova, Ramon Sessions, O.J. Mayo, John Henson, Khris Middleton","Ilyasova, Sessions, Mayo, Henson, Middleton",101141-201196-201564-203089-203114,MIL,102.0,2,2.0,2.0,2.0,1.0,4.0,2.0,2.0,5.0,,4.0,3.0,1.0,3.0,,1.0,3.0,4.0,,,,2.0,0.4,0.2,,1.0,,1.0,1.0,1.0,,56.470588235294116,32.0,19.0,19.5,19.0,0.4,0.4,0.4,0.49858,0.5657666666666666,,,7.18,2.0,,,,,2.0,1.0,1.0,2.0,2.0,1.0,2.0,,,,,2.0,2.0,,1.0,1.0,,2.0,1.0,,,,,1.0,,,,,,,,0.5,0.5,0.4,0.3333333333333333,,0.4,0.3333333333333333,,0.3333333333333333,,0.5,1.0,1.0,,1.0,,,,,0.5,0.5,,0.2,0.6666666666666666,,,0.5,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2014,2013-14,True
101141-201196-201564-203089-203507,1610612749,"Ersan Ilyasova, Ramon Sessions, O.J. Mayo, John Henson, Giannis Antetokounmpo","Ilyasova, Sessions, Mayo, Henson, Antetokounmpo",101141-201196-201564-203089-203507,MIL,48.0,2,-1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,12.0,36.0,12.0,36.0,,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2014,2013-14,True
101141-201196-201564-203507-2585,1610612749,"Ersan Ilyasova, Ramon Sessions, O.J. Mayo, Giannis Antetokounmpo, Zaza Pachulia","Ilyasova, Sessions, Mayo, Antetokounmpo, Pachulia",101141-201196-201564-203507-2585,MIL,97.0,1,,2.0,3.0,,5.0,1.0,,1.0,,2.0,,,,,1.0,,1.0,,,,2.0,0.5,,,,,0.5,,,,74.22680412371133,21.5,18.0,21.5,16.0,0.5,,1.0,0.606,,,,0.9,2.0,2.0,,1.0,,,,,1.0,2.0,,,1.0,1.0,,2.0,,2.0,,,,,,1.0,,,,,,,,,,2.0,2.0,,,,1.0,,1.0,0.5,,0.5,,0.5,,1.0,,,,,,1.0,1.0,,,,,,,0.606,,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,0.5,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2014,2013-14,True
101141-201196-202399-202688-203114,1610612749,"Ersan Ilyasova, Ramon Sessions, Jeff Adrien, Brandon Knight, Khris Middleton","Ilyasova, Sessions, Adrien, Knight, Middleton",101141-201196-202399-202688-203114,MIL,117.0,1,-2.0,2.0,3.0,1.0,5.0,2.0,,3.0,,2.0,1.0,1.0,2.0,,1.0,2.0,3.0,1.0,,,,0.25,0.3333333333333333,,1.0,,0.5,0.6666666666666666,1.0,,61.53846153846154,28.0,20.333333333333332,27.5,18.666666666666668,0.5,,0.75,0.5768625,0.599,,,7.6000000000000005,2.0,,3.0,1.0,1.0,1.0,,1.0,1.0,4.0,1.0,2.0,,,,,,2.0,2.0,,,,,1.0,,,,,,,,,,,,,,,0.3333333333333333,1.0,,0.25,1.0,,1.0,,0.5,1.0,,1.0,1.0,,,0.5,1.0,,,,0.25,1.0,1.0,,1.0,,,,,,,,,,,,,,1.0,,,0.25,,,,,,23.4,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2014,2013-14,True
101141-201196-202688-203089-203114,1610612749,"Ersan Ilyasova, Ramon Sessions, Brandon Knight, John Henson, Khris Middleton","Ilyasova, Sessions, Knight, Henson, Middleton",101141-201196-202688-203089-203114,MIL,566.0,6,-1.0,16.0,18.0,6.0,34.0,8.0,3.0,12.0,1.0,21.0,3.0,1.0,3.0,5.0,9.0,5.0,14.0,2.0,2.0,,12.0,0.5526315789473685,0.08333333333333333,,0.375,1.0,0.8,0.5,0.25,1.0,86.5017667844523,16.8125,16.5,14.375,15.444444444444445,0.4444444444444444,0.16666666666666666,0.7777777777777778,0.579575,0.5748875,,,4.0,9.0,10.0,8.0,4.0,,2.0,,1.0,4.0,22.0,,9.0,2.0,7.0,1.0,14.0,2.0,6.0,,1.0,4.0,,11.0,3.0,1.0,2.0,1.0,2.0,3.0,,,1.0,,14.0,10.0,1.0,0.25,0.25,0.3333333333333333,,0.2857142857142857,0.5555555555555556,0.75,0.5909090909090909,0.75,0.5833333333333334,0.125,0.6,0.6666666666666666,,0.5,1.0,0.1111111111111111,0.5,0.5714285714285714,,,,0.05555555555555555,0.3333333333333333,,0.5467863636363637,0.42857142857142855,0.6666666666666666,0.625,,,2.0,,,,,2.0,3.0,6.0,4.0,6.0,4.0,6.0,0.3333333333333333,1.0,0.3333333333333333,0.2727272727272727,0.6666666666666666,0.36363636363636365,25.766666666666666,,,,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,9.0,3.0,4.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.75,0.6666666666666666,1.0,0.75,0.6666666666666666,1.0,1.0,1.0,0.25,0.6666666666666666,0.6666666666666666,0.75,0.5,1.0,0.6666666666666666,0.75,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2014,2013-14,True
101141-201196-202688-203089-203489,1610612749,"Ersan Ilyasova, Ramon Sessions, Brandon Knight, John Henson, Nate Wolters","Ilyasova, Sessions, Knight, Henson, Wolters",101141-201196-202688-203089-203489,MIL,26.0,1,3.0,1.0,,1.0,1.0,,,1.0,,3.0,,,1.0,,,1.0,1.0,,,,,0.75,,,1.0,,,1.0,,,55.38461538461538,20.0,,16.0,,,,0.5,0.442525,0.48915,,,19.7,,,,,,,,1.0,,,,3.0,,,,,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,0.75,1.5,,1.5,,,,,1.0,,,,,,,,,0.5,,,,1.0,,,,,,,,,,,,1.0,,1.0,,1.0,0.5,,0.5,,,,25.4,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,3.0,,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2014,2013-14,True
101141-201196-202688-203089-203507,1610612749,"Ersan Ilyasova, Ramon Sessions, Brandon Knight, John Henson, Giannis Antetokounmpo","Ilyasova, Sessions, Knight, Henson, Antetokounmpo",101141-201196-202688-203089-203507,MIL,843.0,5,-8.0,25.0,30.0,2.0,55.0,7.0,4.0,16.0,3.0,31.0,3.0,1.0,1.0,,10.0,3.0,13.0,5.0,4.0,1.0,27.0,0.6458333333333334,0.0625,,0.2,,0.7,0.2222222222222222,1.0,,93.95017793594306,19.24,12.066666666666666,18.8,11.766666666666667,0.3181818181818182,0.18181818181818182,0.5909090909090909,0.5124181818181818,0.5187,0.043478260869565216,0.058823529411764705,8.53125,14.0,3.0,1.0,6.0,1.0,2.0,3.0,5.0,11.0,39.0,2.0,4.0,1.0,1.0,2.0,4.0,8.0,14.0,2.0,4.0,4.0,1.0,8.0,7.0,1.0,2.0,1.0,4.0,7.0,,,1.0,,4.0,3.0,1.0,0.36363636363636365,0.4,0.6875,0.6666666666666666,1.0,0.6363636363636364,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,,0.7777777777777778,,,0.6666666666666666,,0.125,0.8571428571428571,0.8571428571428571,0.75,0.75,0.3333333333333333,0.22727272727272727,0.6666666666666666,0.5,0.50655,0.12903225806451613,0.12903225806451613,0.12,2.0,1.0,5.0,0.4,0.5,0.5,,1.0,1.0,5.0,1.0,6.0,1.0,5.0,0.2727272727272727,1.0,0.22727272727272727,0.5,1.0,0.5,25.55,1.0,1.0,0.045454545454545456,2.0,,,,2.0,,,,,6.0,2.0,,,2.0,1.0,3.0,,,1.0,,1.0,1.0,,0.3333333333333333,,,0.3333333333333333,1.0,0.25,0.3333333333333333,0.3333333333333333,0.4,0.4,,,,,,0.4,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.2,0.5,1.0,0.75,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2014,2013-14,True
101141-201196-202688-203114-203507,1610612749,"Ersan Ilyasova, Ramon Sessions, Brandon Knight, Khris Middleton, Giannis Antetokounmpo","Ilyasova, Sessions, Knight, Middleton, Antetokounmpo",101141-201196-202688-203114-203507,MIL,116.0,3,-2.0,6.0,6.0,2.0,12.0,1.0,1.0,2.0,6.0,6.0,,,2.0,,2.0,2.0,4.0,3.0,6.0,1.0,4.0,0.5,,,1.0,,1.0,0.6666666666666666,1.0,,148.9655172413793,15.5,3.8333333333333335,14.666666666666666,3.8333333333333335,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.4436166666666667,,0.25,0.3333333333333333,4.05,2.0,5.0,6.0,,,,,,,8.0,,2.0,,2.0,4.0,4.0,,,,,,,,1.0,,2.0,,2.0,5.0,,,2.0,,,3.0,,,,,,,,,,1.0,0.4,,1.0,1.0,,1.0,,,,,,,,,,,0.4436166666666667,0.3333333333333333,0.6666666666666666,0.8333333333333334,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,,0.3333333333333333,0.3333333333333333,,0.3333333333333333,25.7,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2014,2013-14,True
