EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,DefPoss,TotalPoss,OpponentPoints,Pace,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,Minutes,OffPoss,AtRimFGA,LongMidRangeFGA,Corner3FGA,FG2A,FG3A,Fg2aBlocked,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,FG3APct,FG2APctBlocked,AtRimPctBlocked,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,AtRimFrequency,LongMidRangeFrequency,Corner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,SecondChanceOffPoss,ShortMidRangeFGA,LongMidRangeFGM,Arc3FGA,SecondChanceArc3FGA,FG2M,Points,SecondChanceFG3A,PtsUnassisted2s,NonHeaveArc3FGA,OffTwoPtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Loose Ball Fouls,FirstChancePoints,Fg2Pct,EfgPct,TsPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,ShortMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,SecondChanceArc3Frequency,SecondChanceShotQualityAvg,AtRimFGM,ShortMidRangeFGM,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,DefTwoPtRebounds,Blocked2s,BlockedShortMidRange,Blocks,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,DefTwoPtReboundPct,DefLongMidRangeReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,PenaltyOffPoss,PenaltyDefPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyArc3FGM,PenaltyArc3FGA,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsPutbacks,TwoPtAssists,AtRimAssists,LongMidRangeAssists,OffThreePtRebounds,FTDefRebounds,Steals,BadPassSteals,Travels,PenaltyTurnovers,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,BlockedAtRim,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,DefFTReboundPct,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimPctAssisted,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFtPoints,PtsUnassisted3s,Fg3aBlocked,ShortMidRangeAssists,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,SecondChanceTurnovers,Charge Fouls Drawn,BlockingFoulsDrawn,FG3APctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,ShortMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,NonShootingFoulsDrawn,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFoulsDrawn,Technical Free Throw Trips,Corner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,Corner3Assists,Charge Fouls,Offensive Fouls,SecondChanceFg3Pct,OffArc3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3FGA,2pt And 1 Free Throw Trips,SecondChanceAtRimPctAssisted,PenaltyCorner3Frequency,BlockingFouls,3SecondViolations,FTOffRebounds,OffFTReboundPct,PenaltyCorner3FGM,LostBallOutOfBoundsTurnovers,Blocked3s,BlockedArc3,ShortMidRangePctBlocked,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,HeaveAttempts,Loose Ball Fouls Drawn,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,LongMidRangePctBlocked,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,BlockedLongMidRange,DefensiveGoaltends,team_id,year,season,team_vs
101133-201228-201579-202323-202331,1610612754,"Ian Mahinmi, C.J. Watson, Roy Hibbert, Evan Turner, Paul George","Mahinmi, Watson, Hibbert, Turner, George",101133-201228-201579-202323-202331,IND,23.0,1,-2.0,1.0,1,2.0,62.60869565217391,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2014,2013-14,False
101133-201228-201588-202323-2449,1610612754,"Ian Mahinmi, C.J. Watson, George Hill, Evan Turner, Luis Scola","Mahinmi, Watson, Hill, Turner, Scola",101133-201228-201588-202323-2449,IND,148.0,1,-10.0,4.0,8,10.0,77.83783783783784,14.25,14.25,2.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,22.75,22.75,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.47176666666666667,10.95,23.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2014,2013-14,False
101133-201228-201588-202331-202362,1610612754,"Ian Mahinmi, C.J. Watson, George Hill, Paul George, Lance Stephenson","Mahinmi, Watson, Hill, George, Stephenson",101133-201228-201588-202331-202362,IND,63.0,1,1.0,2.0,4,1.0,91.42857142857143,12.0,12.0,1.0,2.0,,1.0,,2.0,1.0,,,,,,1.0,,0.3333333333333333,,,19.5,16.0,,0.3333333333333333,,0.3333333333333333,0.44039999999999996,12.4,29.4,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,0.5,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,0.5124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2014,2013-14,False
101133-201228-201588-202331-203142,1610612754,"Ian Mahinmi, C.J. Watson, George Hill, Paul George, Chris Copeland","Mahinmi, Watson, Hill, George, Copeland",101133-201228-201588-202331-203142,IND,396.0,2,-2.0,11.0,22,13.0,80.0,18.727272727272727,17.181818181818183,7.0,11.0,4.0,1.0,,8.0,2.0,,,1.0,1.0,1.0,2.0,2.0,0.2,,,17.272727272727273,17.272727272727273,0.4,0.1,,0.6,0.526535,5.7375,25.35,,3.0,1.0,2.0,,4.0,11.0,,8.0,2.0,,3.0,4.0,,4.0,,,11.0,0.5,0.55,0.55,,0.75,0.5714285714285714,,,1.0,,0.3,1.0,1.0,0.2,,,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.3333333333333333,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2014,2013-14,False
101133-201228-201588-202331-2449,1610612754,"Ian Mahinmi, C.J. Watson, George Hill, Paul George, Luis Scola","Mahinmi, Watson, Hill, George, Scola",101133-201228-201588-202331-2449,IND,458.0,5,6.0,15.0,29,14.0,91.17903930131004,16.466666666666665,15.066666666666666,8.0,14.0,2.0,7.0,2.0,10.0,3.0,,,1.0,1.0,2.0,4.0,6.0,0.23076923076923078,,,15.071428571428571,14.571428571428571,0.15384615384615385,0.5384615384615384,0.15384615384615385,0.38461538461538464,0.4207961538461538,13.91,24.96666666666667,2.0,1.0,4.0,1.0,,6.0,20.0,,4.0,1.0,1.0,5.0,9.0,3.0,12.0,,1.0,17.0,0.6,0.5769230769230769,0.625,0.3333333333333333,0.8333333333333334,0.5833333333333334,0.6,,0.6666666666666666,,0.07692307692307693,0.5714285714285714,0.5714285714285714,0.07692307692307693,,0.5844,2.0,,1.0,1.0,3.0,1.0,1.0,5.0,1.0,11.0,2.0,2.0,,2.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,1.0,1.0,,,1.0,1.0,1.0,1.0,4.0,6.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,5.0,8.0,2.0,4.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,2.0,1.0,5.0,4.0,1.0,0.6666666666666666,0.8,1.0,1.0,0.5,1.0,0.8333333333333334,0.75,0.8333333333333334,1.0,1.0,0.5,1.0,0.5,1.0,0.5,0.5,0.75,1.0,1.0,0.3333333333333333,1.0,0.3296,0.1875,0.23076923076923078,0.15,0.25,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2014,2013-14,False
101133-201228-201588-202331-2561,1610612754,"Ian Mahinmi, C.J. Watson, George Hill, Paul George, David West","Mahinmi, Watson, Hill, George, West",101133-201228-201588-202331-2561,IND,1086.0,7,-2.0,33.0,68,33.0,90.16574585635358,15.303030303030303,15.272727272727273,18.0,35.0,10.0,5.0,1.0,22.0,9.0,2.0,2.0,3.0,5.0,3.0,8.0,3.0,0.2903225806451613,0.09090909090909091,0.2,16.6,16.37142857142857,0.3225806451612903,0.16129032258064516,0.03225806451612903,0.6129032258064516,0.4723322580645161,7.1909090909090905,26.788888888888888,3.0,7.0,1.0,8.0,,13.0,31.0,,12.0,8.0,3.0,6.0,12.0,3.0,15.0,1.0,,30.0,0.5909090909090909,0.46774193548387094,0.4696969696969697,0.3333333333333333,1.0,0.9166666666666666,0.17647058823529413,0.3333333333333333,1.0,0.07142857142857142,0.22580645161290322,0.2,0.2,0.25806451612903225,,,8.0,4.0,1.0,1.0,,1.0,,7.0,,14.0,5.0,1.0,1.0,1.0,,0.1111111111111111,0.1111111111111111,0.8333333333333334,0.5,0.8,1.0,0.5714285714285714,0.5714285714285714,0.125,0.14285714285714285,,0.125,20.0,15.0,,,1.0,5.0,2.0,,,1.0,1.0,8.0,11.0,1.0,5.0,20.0,14.0,,7.0,5.0,1.0,,1.0,5.0,1.0,1.0,4.0,,4.0,2.0,,1.0,20.0,20.0,,0.5384615384615384,0.5384615384615384,0.2,,0.7272727272727273,,0.59375,0.5,0.5882352941176471,1.0,,0.25,,1.0,,1.0,0.625,1.0,,,0.3125,0.2,0.44163125,0.06060606060606061,0.08333333333333333,0.03225806451612903,0.6451612903225806,0.5714285714285714,5.0,7.0,1.0,3.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,0.1111111111111111,0.125,0.4,0.5,1.0,0.25,0.4375,0.7142857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2014,2013-14,False
101133-201228-201588-202362-203142,1610612754,"Ian Mahinmi, C.J. Watson, George Hill, Lance Stephenson, Chris Copeland","Mahinmi, Watson, Hill, Stephenson, Copeland",101133-201228-201588-202362-203142,IND,56.0,1,-1.0,3.0,6,4.0,154.28571428571428,14.666666666666666,14.666666666666666,1.0,3.0,,,,,1.0,,,,1.0,,,1.0,1.0,,,4.0,4.0,,,,1.0,0.17535,,27.9,,,,1.0,,,3.0,,,1.0,,1.0,2.0,,2.0,,,3.0,,1.5,0.75,,1.0,1.0,,,1.0,,,,,1.0,,,,,1.0,1.0,,1.0,,,,,1.0,1.0,,1.0,,1.0,1.0,1.0,,,,,,1.0,1.0,,1.0,3.0,3.0,,,1.0,1.0,,,,,,,,1.0,1.0,3.0,,,,,,,,,,,1.0,,2.0,,1.0,1.0,3.0,3.0,,,,1.0,,,,1.5,,0.75,,,,,1.0,,1.0,,,,,1.0,1.0,0.17535,,,,1.0,1.0,,,,3.0,,,,1.0,1.0,,,,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2014,2013-14,False
101133-201228-201588-202362-2449,1610612754,"Ian Mahinmi, C.J. Watson, George Hill, Lance Stephenson, Luis Scola","Mahinmi, Watson, Hill, Stephenson, Scola",101133-201228-201588-202362-2449,IND,142.0,2,-2.0,4.0,8,2.0,81.12676056338029,12.0,12.0,2.0,4.0,,2.0,,3.0,,,,,1.0,,,1.0,,,,23.5,23.5,,0.6666666666666666,,,0.3586666666666667,14.700000000000001,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,0.5,,,,,0.3333333333333333,,,,,,,,,,,,,,,,1.0,,,,,,,0.5,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.276,,,,,0.25,,,,,,,,1.0,1.0,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2014,2013-14,False
101133-201228-201588-202362-2561,1610612754,"Ian Mahinmi, C.J. Watson, George Hill, Lance Stephenson, David West","Mahinmi, Watson, Hill, Stephenson, West",101133-201228-201588-202362-2561,IND,760.0,3,-2.0,25.0,50,28.0,94.73684210526316,13.56,13.52,13.0,25.0,5.0,5.0,1.0,15.0,7.0,,1.0,4.0,4.0,2.0,8.0,2.0,0.3181818181818182,,,16.84,16.52,0.22727272727272727,0.22727272727272727,0.045454545454545456,0.5454545454545454,0.480475,8.913333333333332,25.057142857142857,2.0,5.0,1.0,6.0,1.0,6.0,26.0,1.0,8.0,6.0,1.0,5.0,12.0,2.0,14.0,1.0,,21.0,0.4,0.5454545454545454,0.5652173913043478,0.1111111111111111,1.0,0.9230769230769231,0.16666666666666666,0.25,1.0,0.08333333333333333,0.22727272727272727,0.2,0.2,0.2727272727272727,0.5,0.6463,4.0,1.0,3.0,4.0,12.0,3.0,4.0,6.0,3.0,16.0,7.0,2.0,1.0,2.0,1.0,0.5714285714285714,0.5714285714285714,0.875,1.0,0.8,0.8,0.2,0.2,0.5,0.5,1.0,0.5,11.0,18.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,5.0,5.0,8.0,1.0,2.0,15.0,4.0,2.0,2.0,2.0,,1.0,,,,,1.0,,2.0,1.0,1.0,1.0,15.0,11.0,2.0,0.3333333333333333,0.4,0.5,1.0,0.625,1.25,0.65,1.25,0.6818181818181818,,0.3333333333333333,,,1.0,1.0,0.5,0.5,,0.5,1.0,0.2,0.5,0.49291,0.043478260869565216,0.0625,0.19230769230769232,0.5769230769230769,0.44,3.0,3.0,2.0,,,,,,,,,,,,,,,0.6666666666666666,,0.3,1.0,,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2014,2013-14,False
101133-201228-201588-2446-2449,1610612754,"Ian Mahinmi, C.J. Watson, George Hill, Rasual Butler, Luis Scola","Mahinmi, Watson, Hill, Butler, Scola",101133-201228-201588-2446-2449,IND,262.0,1,-2.0,7.0,14,9.0,76.94656488549619,16.428571428571427,16.428571428571427,4.0,7.0,2.0,3.0,1.0,5.0,2.0,,1.0,1.0,1.0,,1.0,2.0,0.2857142857142857,,,21.0,20.571428571428573,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.5714285714285714,0.44139285714285714,12.48,24.6,1.0,,1.0,1.0,,2.0,7.0,,2.0,1.0,1.0,1.0,2.0,1.0,3.0,,,7.0,0.4,0.5,0.5,0.3333333333333333,1.0,1.0,0.25,,1.0,,,0.3333333333333333,0.3333333333333333,0.14285714285714285,,0.4494,1.0,,,1.0,3.0,,1.0,2.0,,5.0,1.0,,,,1.0,0.5,0.5,1.0,1.0,0.5,0.5,,,,,,,,,,1.0,,,,,1.0,,,,,,,,2.0,,1.0,,1.0,,,,,,,1.0,,,,,,,,0.5,0.5,,,,,,,,,,0.5,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2014,2013-14,False
