EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,PtsUnassisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceAtRimFrequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,ShortMidRangeFGM,ShortMidRangeFGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG2M,SecondChanceFtPoints,PenaltyFtPoints,PtsUnassisted2s,PtsPutbacks,Arc3Assists,ShortMidRangeAssists,OffTwoPtRebounds,FTOffRebounds,FTDefRebounds,LostBallTurnovers,Charge Fouls,Loose Ball Fouls,Offensive Fouls Drawn,BlockedShortMidRange,RecoveredBlocks,3SecondViolations,SecondChanceFg2Pct,ShortMidRangePctBlocked,DefFTReboundPct,OffFTReboundPct,OffTwoPtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceShotQualityAvg,PenaltyCorner3FGM,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyCorner3Accuracy,Loose Ball Fouls Drawn,Offensive Fouls,BlockingFoulsDrawn,OffShortMidRangeReboundPct,Fg3aBlocked,Charge Fouls Drawn,FG3APctBlocked,Arc3PctBlocked,Technical Free Throw Trips,Defensive 3 Seconds Violations,SecondChanceArc3PctAssisted,NonShootingPenaltyNonTakeFouls,SecondChanceAtRimPctAssisted,SelfOReb,LostBallOutOfBoundsTurnovers,BlockingFouls,SelfORebPct,StepOutOfBoundsTurnovers,Travels,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Corner3PctBlocked,OffensiveGoaltends,Clear Path Fouls,DefensiveGoaltends,BlockedLongMidRange,Blocked3s,BlockedArc3,BlockedCorner3,team_id,year,season,team_vs
200761-200770-201156-201941-201975,1610612747,"Shawne Williams, Jordan Farmar, Nick Young, Jordan Hill, Jodie Meeks","Williams, Farmar, Young, Hill, Meeks",200761-200770-201156-201941-201975,LAL,581.0,5,10.0,-16.0,19.0,21.0,9.0,3.0,4.0,40.0,2.0,6.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,10.0,1.0,1.0,1.0,6.0,3.0,8.0,2.0,13.0,1.0,13.0,29.0,2.0,1.0,1.0,3.0,1.0,4.0,1.0,7.0,5.0,6.0,3.0,3.0,1.0,9.0,1.0,2.0,3.0,1.0,4.0,1.0,2.0,1.0,9.0,4.0,2.0,2.0,4.0,4.0,8.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,4.0,2.0,3.0,1.0,1.0,1.0,10.0,5.0,9.0,1.0,1.0,0.5,0.15384615384615385,1.0,0.14285714285714285,0.16666666666666666,0.375,0.25,0.2857142857142857,0.5,0.22727272727272727,0.29545454545454547,0.5,0.22727272727272727,0.6190476190476191,0.25,0.16666666666666666,0.5,0.6666666666666666,0.5,1.0,0.4,0.6666666666666666,0.26666666666666666,0.375,0.5,1.0,1.0,1.0,99.1394148020654,16.894736842105264,12.380952380952381,15.736842105263158,11.80952380952381,0.2857142857142857,0.3333333333333333,0.4,1.0,0.09523809523809523,0.5,1.0,1.0,0.14285714285714285,0.3333333333333333,0.3333333333333333,1.0,0.47619047619047616,0.1,0.1,0.6666666666666666,0.3333333333333333,1.0,0.2727272727272727,0.3333333333333333,0.09090909090909091,0.5454545454545454,0.16666666666666666,0.9047619047619048,0.1111111111111111,0.5488850000000001,0.524485,0.13636363636363635,0.3333333333333333,0.23076923076923078,0.38461538461538464,4.9625,28.00769230769231,0.47368421052631576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2014,2013-14,False
200761-200770-201156-201941-202333,1610612747,"Shawne Williams, Jordan Farmar, Nick Young, Jordan Hill, Xavier Henry","Williams, Farmar, Young, Hill, Henry",200761-200770-201156-201941-202333,LAL,2094.0,7,35.0,10.0,70.0,68.0,7.0,6.0,10.0,138.0,10.0,22.0,4.0,,1.0,7.0,13.0,3.0,13.0,,8.0,13.0,,,1.0,2.0,19.0,42.0,11.0,26.0,8.0,79.0,69.0,7.0,1.0,1.0,11.0,1.0,5.0,1.0,2.0,6.0,16.0,30.0,3.0,,13.0,8.0,3.0,8.0,10.0,18.0,3.0,5.0,1.0,46.0,4.0,11.0,9.0,22.0,10.0,32.0,5.0,5.0,,3.0,1.0,1.0,5.0,8.0,1.0,,10.0,20.0,12.0,10.0,2.0,6.0,3.0,1.0,3.0,68.0,6.0,7.0,0.42105263157894735,0.4444444444444444,0.9090909090909091,0.4230769230769231,1.0,0.5,0.4230769230769231,0.4523809523809524,0.2,0.5220588235294118,0.5625,0.35714285714285715,0.5486111111111112,0.6111111111111112,0.375,0.38235294117647056,0.07142857142857142,0.09090909090909091,,0.375,0.42857142857142855,0.9166666666666666,0.26666666666666666,0.6060606060606061,0.23684210526315788,0.2,0.3,0.5,0.875,1.0,94.89971346704871,15.3,15.044117647058824,14.442857142857143,14.441176470588236,0.3235294117647059,0.45454545454545453,0.5,0.5,0.19117647058823528,0.5384615384615384,0.5384615384615384,0.14285714285714285,0.19117647058823528,0.23076923076923078,0.23076923076923078,1.0,0.19117647058823528,0.6153846153846154,0.6153846153846154,0.5,,,0.14285714285714285,,,0.2857142857142857,0.5,0.7058823529411765,0.6153846153846154,0.5264338235294117,0.44952857142857144,0.08333333333333333,0.13043478260869565,0.13924050632911392,0.0759493670886076,8.511904761904763,24.5,0.1,1.0,2.0,7.0,1.0,1.0,3.0,2.0,1.0,22.0,2.0,7.0,2.0,5.0,1.0,2.0,2.0,3.0,1.0,3.0,2.0,1.0,1.0,0.42857142857142855,0.14285714285714285,1.0,1.0,0.21739130434782608,0.25,0.3333333333333333,0.2727272727272727,1.0,0.3333333333333333,0.10294117647058823,0.2857142857142857,0.3333333333333333,1.0,0.875,0.25,0.125,1.0,1.0,0.4852166666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2014,2013-14,False
200761-200770-201156-201941-203527,1610612747,"Shawne Williams, Jordan Farmar, Nick Young, Jordan Hill, Ryan Kelly","Williams, Farmar, Young, Hill, Kelly",200761-200770-201156-201941-203527,LAL,68.0,1,1.0,3.0,3.0,2.0,3.0,2.0,,5.0,,,,,,,,1.0,1.0,1.0,,1.0,,,,1.0,,,1.0,2.0,2.0,5.0,2.0,,,,,,,1.0,2.0,5.0,,3.0,,,1.0,,,,1.0,1.0,1.0,,,3.0,,1.0,,1.0,,1.0,,,,,,,,,,,1.0,1.0,1.0,2.0,,,,,,5.0,5.0,3.0,,,1.0,0.5,,0.5,0.5,,,0.75,,0.75,0.8333333333333334,,0.8333333333333334,1.0,,,,,,1.0,,1.0,,,,,1.0,,105.88235294117648,11.666666666666666,16.5,11.666666666666666,16.5,,,,,,,,,0.5,1.0,1.0,1.0,0.5,,,,,,,,0.5,0.5,,1.0,,0.3837,0.3837,,,,1.0,,24.6,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2014,2013-14,False
200761-200770-201156-201941-2581,1610612747,"Shawne Williams, Jordan Farmar, Nick Young, Jordan Hill, Steve Blake","Williams, Farmar, Young, Hill, Blake",200761-200770-201156-201941-2581,LAL,157.0,1,3.0,-3.0,6.0,5.0,1.0,,1.0,11.0,1.0,2.0,1.0,1.0,1.0,,1.0,,,,,,,,,,2.0,5.0,,,,4.0,7.0,1.0,,,,1.0,1.0,,,2.0,2.0,,,,,,,1.0,,1.0,,,,2.0,,1.0,1.0,2.0,1.0,3.0,,,,2.0,,,,2.0,,,1.0,1.0,1.0,,,,,,,4.0,2.0,1.0,0.5,0.5,,,,,,0.4,1.0,0.4,,1.0,0.4,,1.0,,,,,1.0,1.0,1.0,,1.0,0.3333333333333333,,,1.0,1.0,,100.89171974522293,17.5,10.4,16.666666666666668,10.4,0.4,0.5,0.5,,0.2,,,,,,,,,,,1.0,,,1.0,1.0,,,,0.4,,0.43701999999999996,0.5298,,,,0.5,7.68,,0.16666666666666666,,1.0,2.0,,,,,,2.0,,,1.0,1.0,,,2.0,,,,,,,,,,,0.3333333333333333,,1.0,,,,0.4,0.5,0.5,1.0,,,,,,0.445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2014,2013-14,False
200761-200770-201156-201975-203135,1610612747,"Shawne Williams, Jordan Farmar, Nick Young, Jodie Meeks, Robert Sacre","Williams, Farmar, Young, Meeks, Sacre",200761-200770-201156-201975-203135,LAL,323.0,2,5.0,-5.0,13.0,14.0,,,2.0,27.0,1.0,2.0,,,,1.0,1.0,1.0,1.0,,,4.0,,,,,3.0,4.0,1.0,5.0,,9.0,14.0,,1.0,1.0,3.0,,,,,,6.0,3.0,,,4.0,,1.0,3.0,1.0,4.0,1.0,1.0,1.0,9.0,1.0,2.0,2.0,5.0,2.0,7.0,1.0,1.0,,3.0,2.0,1.0,3.0,6.0,1.0,,2.0,3.0,2.0,,,,1.0,1.0,1.0,6.0,,,1.0,1.0,1.0,0.2,1.0,,0.2,0.75,,0.5,1.5,,0.5,1.5,,0.5555555555555556,0.25,0.5,,0.5,1.0,1.0,0.25,1.0,0.4,0.25,,1.0,1.0,,120.37151702786377,11.153846153846153,12.714285714285714,10.538461538461538,12.357142857142858,0.2222222222222222,0.5,1.0,1.0,0.1111111111111111,1.0,1.0,1.0,0.1111111111111111,1.0,1.0,1.0,0.4444444444444444,,,,,,,,,,,0.7777777777777778,,0.5555111111111111,,,,0.3333333333333333,,6.275,25.54,,,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,,1.0,2.0,1.0,,,,1.0,,,,0.5,,1.0,1.0,,1.0,,1.0,0.1111111111111111,1.0,1.0,1.0,,,1.0,1.0,1.0,0.58815,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2014,2013-14,False
200761-200770-201156-201975-2200,1610612747,"Shawne Williams, Jordan Farmar, Nick Young, Jodie Meeks, Pau Gasol","Williams, Farmar, Young, Meeks, Gasol",200761-200770-201156-201975-2200,LAL,921.0,4,15.0,-5.0,29.0,29.0,,2.0,3.0,58.0,3.0,7.0,,,,3.0,6.0,2.0,4.0,,1.0,5.0,,,,,6.0,18.0,3.0,9.0,1.0,22.0,27.0,2.0,,1.0,,,,,,,10.0,9.0,,,5.0,1.0,4.0,5.0,3.0,8.0,2.0,2.0,3.0,19.0,1.0,4.0,8.0,13.0,3.0,16.0,1.0,1.0,,2.0,1.0,,2.0,4.0,,,1.0,3.0,4.0,2.0,,1.0,2.0,1.0,2.0,22.0,,,0.8333333333333334,0.8333333333333334,1.0,0.3333333333333333,,,0.3333333333333333,0.3333333333333333,,0.3888888888888889,,,0.39285714285714285,,,0.3333333333333333,0.2222222222222222,0.2857142857142857,,0.5,0.8,0.8,0.16666666666666666,0.8,0.16666666666666666,0.25,,0.75,0.6666666666666666,1.0,90.68403908794788,15.586206896551724,16.17241379310345,14.206896551724139,15.89655172413793,0.25925925925925924,0.42857142857142855,0.6,0.6666666666666666,0.2222222222222222,0.5,0.5,1.0,0.14814814814814814,0.5,0.5,1.0,0.18518518518518517,0.2,0.2,,,,,,,,,0.5925925925925926,0.2,0.5099444444444444,,0.03571428571428571,0.05263157894736842,,,8.988888888888889,24.61111111111111,,,,5.0,,1.0,,,,2.0,,1.0,,2.0,,1.0,2.0,,,1.0,1.0,2.0,,,0.4,1.0,,0.16666666666666666,,0.3333333333333333,0.6666666666666666,1.0,1.0,0.18518518518518517,,,,1.0,,0.3333333333333333,,,0.53235,,,,,,1.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2014,2013-14,False
200761-200770-201156-201975-2549,1610612747,"Shawne Williams, Jordan Farmar, Nick Young, Jodie Meeks, Chris Kaman","Williams, Farmar, Young, Meeks, Kaman",200761-200770-201156-201975-2549,LAL,404.0,2,7.0,-1.0,14.0,13.0,7.0,4.0,,27.0,2.0,3.0,,1.0,1.0,,,,1.0,1.0,1.0,6.0,,,,3.0,5.0,6.0,1.0,7.0,,13.0,14.0,,,,,2.0,2.0,,4.0,4.0,6.0,3.0,,,6.0,1.0,1.0,3.0,1.0,4.0,,1.0,,9.0,,2.0,2.0,4.0,,4.0,1.0,1.0,,,,,,,,,1.0,1.0,3.0,,,,,,,13.0,4.0,7.0,0.6,0.6,1.0,0.14285714285714285,,,0.14285714285714285,0.8333333333333334,1.0,0.5,,0.3333333333333333,0.5,,0.3333333333333333,0.5384615384615384,0.16666666666666666,0.3333333333333333,,,0.6666666666666666,1.0,,0.8,,,,,1.0,,96.23762376237623,15.428571428571429,14.461538461538462,15.428571428571429,14.461538461538462,0.23076923076923078,0.6666666666666666,1.0,0.5,,,,,0.07692307692307693,,,,0.46153846153846156,0.16666666666666666,0.2,,,,0.16666666666666666,1.0,0.16666666666666666,0.5,,0.7692307692307693,0.16666666666666666,0.5228038461538461,0.5025333333333334,,,,0.3076923076923077,4.6000000000000005,24.585714285714285,0.5,,3.0,3.0,,,,,,4.0,,1.0,2.0,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,0.23076923076923078,1.0,1.0,0.6666666666666666,1.0,,,,,,,,,,,,,,1.0,1.0,0.14285714285714285,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,1610612747,2014,2013-14,False
200761-200770-201156-202325-203135,1610612747,"Shawne Williams, Jordan Farmar, Nick Young, Wesley Johnson, Robert Sacre","Williams, Farmar, Young, Johnson, Sacre",200761-200770-201156-202325-203135,LAL,160.0,1,3.0,-4.0,5.0,5.0,3.0,1.0,,10.0,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,,,2.0,4.0,8.0,,,,1.0,1.0,1.0,,,3.0,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,1.0,1.0,1.0,2.0,3.0,,2.0,,2.0,1.0,3.0,,1.0,2.0,1.0,2.0,3.0,3.0,3.0,,,,,,,,1.0,1.0,1.0,,1.0,0.75,,1.0,,,,,0.3333333333333333,0.2,,,0.2,,,,,,,90.0,9.6,22.4,9.6,16.8,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,0.4022,0.4022,0.5,0.5,0.25,0.75,17.5,,0.6,,,,,,,1.0,1.0,2.0,,,,,,,,,,,1.0,1.0,,,,,,,,,0.5,,0.5,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1610612747,2014,2013-14,False
200761-200770-201156-202325-2200,1610612747,"Shawne Williams, Jordan Farmar, Nick Young, Wesley Johnson, Pau Gasol","Williams, Farmar, Young, Johnson, Gasol",200761-200770-201156-202325-2200,LAL,246.0,3,4.0,12.0,8.0,7.0,8.0,7.0,2.0,15.0,2.0,5.0,2.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,,,,,,,3.0,7.0,2.0,2.0,3.0,15.0,3.0,3.0,,,3.0,3.0,7.0,2.0,2.0,15.0,,6.0,,,,,1.0,,2.0,2.0,2.0,,,6.0,,,4.0,4.0,4.0,8.0,,,,,,,,,,,1.0,1.0,4.0,6.0,,,,,,12.0,15.0,8.0,,,1.0,1.0,,1.0,1.0,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.625,0.375,0.625,0.2222222222222222,0.14285714285714285,0.2,,,0.8,,,0.8,1.0,,,0.6666666666666666,,,87.8048780487805,13.5,19.714285714285715,10.0,18.857142857142858,0.5555555555555556,0.4,0.5,,0.2222222222222222,0.5,0.5,,0.2222222222222222,1.0,1.0,1.0,,,,0.6666666666666666,,,0.5555555555555556,0.4,0.2222222222222222,,,0.7777777777777778,,0.5711166666666667,0.5711166666666667,,,0.2,1.0,5.971428571428571,24.1,1.0,1.0,,,,,1.0,1.0,3.0,6.0,,,,4.0,,,,,,,,,,0.3333333333333333,,,,1.0,1.0,1.0,1.0,,,,,,,,0.5,,,,0.5757333333333333,2.0,3.0,3.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2014,2013-14,False
200761-200770-201156-202333-203135,1610612747,"Shawne Williams, Jordan Farmar, Nick Young, Xavier Henry, Robert Sacre","Williams, Farmar, Young, Henry, Sacre",200761-200770-201156-202333-203135,LAL,900.0,2,15.0,23.0,27.0,27.0,3.0,9.0,3.0,54.0,3.0,4.0,1.0,,,3.0,6.0,2.0,5.0,,6.0,8.0,1.0,1.0,1.0,2.0,6.0,11.0,8.0,13.0,4.0,40.0,17.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,5.0,2.0,12.0,12.0,,8.0,6.0,,1.0,4.0,5.0,2.0,,1.0,14.0,1.0,2.0,8.0,11.0,3.0,14.0,4.0,3.0,1.0,1.0,,1.0,1.0,2.0,,,3.0,9.0,5.0,6.0,,3.0,,,,34.0,5.0,3.0,0.16666666666666666,0.16666666666666666,0.5,0.6153846153846154,1.0,0.5,0.6153846153846154,0.5454545454545454,1.0,0.75,1.25,0.8333333333333334,0.7407407407407407,1.0,0.8333333333333334,0.5416666666666666,,,,0.5,0.7272727272727273,0.6666666666666666,0.2,0.7142857142857143,0.3,,0.3333333333333333,0.8,1.0,0.5,86.4,14.037037037037036,19.296296296296298,13.333333333333334,17.40740740740741,0.16666666666666666,0.75,0.75,,0.25,0.5,0.5,0.3333333333333333,0.20833333333333334,0.4,0.4,1.0,0.3333333333333333,0.75,0.75,0.5,0.5,1.0,,,,0.6666666666666666,0.5,0.7083333333333334,0.75,0.5282958333333333,0.46526666666666666,0.1111111111111111,0.21428571428571427,0.15,0.125,10.981818181818182,25.076923076923077,0.1111111111111111,1.0,,1.0,,,1.0,1.0,,10.0,,2.0,,2.0,,1.0,,,1.0,1.0,,,,1.0,,1.0,,0.4,,0.3333333333333333,0.5,0.75,,0.041666666666666664,,,,0.3333333333333333,1.0,,,,0.60085,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1610612747,2014,2013-14,False
