EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,Arc3FGA,SecondChanceArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFG3A,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,DeadBallTurnovers,Turnovers,Fouls,Offensive Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,SecondChanceArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceFG2M,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsPutbacks,FTDefRebounds,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,DefFTReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,NonShootingPenaltyNonTakeFouls,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,ShortMidRangeAssists,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,ShortMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,LongMidRangeFGM,DefThreePtRebounds,LiveBallTurnovers,BadPassTurnovers,ShootingFouls,Loose Ball Fouls Drawn,LiveBallTurnoverPct,DefThreePtReboundPct,DefCorner3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceFtPoints,DefShortMidRangeReboundPct,Corner3FGM,Corner3Assists,LostBallTurnovers,Blocked2s,BlockedAtRim,Blocks,OffShortMidRangeReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,StepOutOfBoundsTurnovers,BadPassOutOfBoundsTurnovers,Travels,BlockingFouls,Charge Fouls,RecoveredBlocks,DefArc3ReboundPct,BlocksRecoveredPct,Offensive Fouls Drawn,LongMidRangeAssists,LongMidRangePctAssisted,PenaltyFtPoints,BlockedShortMidRange,LostBallOutOfBoundsTurnovers,Loose Ball Fouls,PenaltyTurnovers,Charge Fouls Drawn,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceTurnovers,NonShootingFoulsDrawn,ShortMidRangePctBlocked,LongMidRangePctBlocked,OffArc3ReboundPct,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PtsUnassisted3s,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,HeaveAttempts,Technical Free Throw Trips,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,Blocked3s,BlockedCorner3,SecondChanceFg3Pct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,NonShootingPenaltyNonTakeFoulsDrawn,3SecondViolations,SecondChanceArc3FGM,BlockingFoulsDrawn,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,FTOffRebounds,OffFTReboundPct,OffensiveGoaltends,DefensiveGoaltends,Fg3aBlocked,Defensive 3 Seconds Violations,FG3APctBlocked,Arc3PctBlocked,BlockedArc3,BlockedLongMidRange,Clear Path Fouls,3pt And 1 Free Throw Trips,Corner3PctBlocked,team_id,year,season,team_vs
1740-201141-201563-201596-202708,1610612748,"Rashard Lewis, Greg Oden, Michael Beasley, Mario Chalmers, Norris Cole","Lewis, Oden, Beasley, Chalmers, Cole",1740-201141-201563-201596-202708,MIA,264.0,1,4.0,3.0,9.0,7.0,2.0,16.0,2.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,7.0,3.0,1.0,7.0,4.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,7.0,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.3,0.35,0.3,0.14285714285714285,0.3333333333333333,0.6666666666666666,0.25,0.3333333333333333,0.6666666666666666,0.2857142857142857,1.0,1.0,1.0,0.16666666666666666,87.27272727272727,17.77777777777778,14.857142857142858,16.0,14.571428571428571,0.3,0.6666666666666666,1.0,0.5,0.3,0.3333333333333333,0.3333333333333333,0.1,0.1,0.2,0.5,0.6,0.513085,0.4743,0.1,0.14285714285714285,7.1571428571428575,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2014,2013-14,True
1740-201141-201563-202708-2427,1610612748,"Rashard Lewis, Greg Oden, Michael Beasley, Norris Cole, Roger Mason Jr.","Lewis, Oden, Beasley, Cole, Mason Jr.",1740-201141-201563-202708-2427,MIA,29.0,1,,2.0,1.0,2.0,1.0,3.0,1.0,1.0,,,1.0,,,,1.0,2.0,,,2.0,,1.0,,,2.0,,,,,,,,1.0,1.0,2.0,1.0,3.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,0.5,0.5,0.5,,,,1.0,1.0,,1.0,1.0,,,,,148.9655172413793,21.0,4.0,18.0,3.5,0.5,1.0,1.0,,,,,0.5,,,,0.5,0.46615,0.5417,0.5,0.5,10.75,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.46615,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2014,2013-14,True
1740-201202-201563-202708-2544,1610612748,"Rashard Lewis, Joel Anthony, Michael Beasley, Norris Cole, LeBron James","Lewis, Anthony, Beasley, Cole, James",1740-201202-201563-202708-2544,MIA,102.0,1,2.0,,3.0,3.0,1.0,6.0,2.0,3.0,,,,1.0,,,2.0,3.0,1.0,,4.0,4.0,1.0,,,4.0,,1.0,,,,,,1.0,1.0,1.0,1.0,2.0,,,,,,,1.0,,,,,,2.0,,,0.6666666666666666,0.5,0.5,0.25,0.3333333333333333,0.3333333333333333,1.0,1.0,,1.0,0.5,1.0,,1.0,,84.70588235294117,23.666666666666668,10.333333333333334,23.666666666666668,10.333333333333334,0.75,0.6666666666666666,1.0,,,,,,0.25,,,1.0,0.645675,0.7102,,,1.2,24.2,,3.0,1.0,1.0,,,1.0,2.0,,,,2.0,,,,1.0,,1.0,,1.0,,,,,1.0,1.0,,,,0.5,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2014,2013-14,True
1740-201202-201563-202708-2548,1610612748,"Rashard Lewis, Joel Anthony, Michael Beasley, Norris Cole, Dwyane Wade","Lewis, Anthony, Beasley, Cole, Wade",1740-201202-201563-202708-2548,MIA,94.0,1,2.0,-1.0,2.0,2.0,,4.0,,,1.0,1.0,,,1.0,,1.0,1.0,1.0,,5.0,6.0,,,2.0,,1.0,,1.0,2.0,,5.0,,,,,,,,,,,,,,,,,,,5.0,1.0,1.0,1.0,1.25,1.25,0.5,,,,,,,,,,,,61.276595744680854,27.5,19.5,27.5,19.5,,,,,0.5,1.0,1.0,,,0.5,,0.5,0.4866,,,,7.1,25.2,2.0,,,,,,,,1.0,1.0,5.0,,,5.0,2.0,,1.0,,1.25,,1.25,,,,,,,,0.4866,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2014,2013-14,True
1740-201202-201563-2427-2548,1610612748,"Rashard Lewis, Joel Anthony, Michael Beasley, Roger Mason Jr., Dwyane Wade","Lewis, Anthony, Beasley, Mason Jr., Wade",1740-201202-201563-2427-2548,MIA,369.0,1,6.0,-7.0,12.0,11.0,,23.0,1.0,2.0,,2.0,4.0,,1.0,,2.0,8.0,1.0,,4.0,11.0,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,,,3.0,6.0,,6.0,,,,,1.0,2.0,2.0,,3.0,2.0,,1.0,4.0,0.5,0.5,0.25,0.2222222222222222,0.2,0.1111111111111111,0.125,0.5,0.75,,,0.7142857142857143,,,,0.6666666666666666,,89.7560975609756,16.333333333333332,15.727272727272727,16.333333333333332,14.636363636363637,0.2222222222222222,0.5,1.0,1.0,0.2222222222222222,,,0.4444444444444444,,0.1111111111111111,,0.3333333333333333,0.47153333333333336,,0.1,0.1111111111111111,11.55,24.6,,4.0,,,,,,,,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2014,2013-14,True
1740-201202-202708-2548-951,1610612748,"Rashard Lewis, Joel Anthony, Norris Cole, Dwyane Wade, Ray Allen","Lewis, Anthony, Cole, Wade, Allen",1740-201202-202708-2548-951,MIA,83.0,1,1.0,2.0,3.0,3.0,1.0,6.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,2.0,1.0,3.0,1.0,1.0,,,2.0,1.0,,,,,,1.0,,2.0,2.0,1.0,3.0,,,,,,,1.0,,2.0,1.0,1.0,1.0,,,,0.5,0.25,0.375,0.5,,,1.0,,0.5,1.0,0.3333333333333333,,1.0,,,104.09638554216868,14.333333333333334,13.333333333333334,14.333333333333334,13.333333333333334,,,,,0.25,1.0,1.0,0.25,0.25,0.25,,0.5,0.505525,,0.25,0.5,11.4,23.75,1.0,,,,,,1.0,3.0,,,,2.0,,,1.0,1.0,,1.0,,1.5,,,,1.0,,,,,0.60135,1.0,,0.3333333333333333,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2014,2013-14,True
1740-201563-201596-202708-2365,1610612748,"Rashard Lewis, Michael Beasley, Mario Chalmers, Norris Cole, Chris Andersen","Lewis, Beasley, Chalmers, Cole, Andersen",1740-201563-201596-202708-2365,MIA,430.0,2,7.0,1.0,13.0,13.0,3.0,26.0,2.0,5.0,2.0,4.0,2.0,3.0,1.0,,4.0,11.0,4.0,1.0,15.0,14.0,3.0,,2.0,6.0,1.0,,1.0,3.0,,8.0,1.0,3.0,5.0,7.0,4.0,11.0,,,,,,2.0,1.0,,4.0,3.0,1.0,2.0,11.0,0.25,0.5,0.36363636363636365,0.4666666666666667,0.46875,0.26666666666666666,,,0.7142857142857143,0.42857142857142855,0.5,0.7777777777777778,0.4444444444444444,0.3333333333333333,1.0,0.5,,87.06976744186046,17.46153846153846,15.615384615384615,17.0,15.461538461538462,0.3333333333333333,0.4,0.4,,0.26666666666666666,0.5,0.5,0.13333333333333333,0.2,0.06666666666666667,,0.6,0.5219533333333334,0.55455,0.125,0.16666666666666666,7.4,23.725,,,2.0,3.0,,,2.0,4.0,,,,4.0,,,,0.6666666666666666,,0.6666666666666666,,0.5,,,0.5,1.0,1.0,0.6666666666666666,,,,0.26666666666666666,,,,,,,2.0,,,6.0,,2.0,,1.0,1.0,0.5,,0.5,0.5,,,,,,,,2.0,2.0,,,,1.0,1.0,1.0,,,,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2014,2013-14,True
1740-201563-201596-202708-2547,1610612748,"Rashard Lewis, Michael Beasley, Mario Chalmers, Norris Cole, Chris Bosh","Lewis, Beasley, Chalmers, Cole, Bosh",1740-201563-201596-202708-2547,MIA,267.0,1,4.0,-3.0,9.0,9.0,1.0,18.0,1.0,3.0,,1.0,3.0,,,,3.0,7.0,,3.0,9.0,12.0,1.0,,,6.0,,1.0,,,,,,1.0,1.0,1.0,1.0,2.0,,2.0,1.0,1.0,1.0,2.0,1.0,,3.0,5.0,1.0,3.0,9.0,,,0.42857142857142855,0.42857142857142855,0.5,,0.14285714285714285,0.3333333333333333,0.5,0.25,,0.5,0.25,,,,,97.07865168539325,14.666666666666666,15.0,14.444444444444445,14.333333333333334,0.42857142857142855,0.3333333333333333,0.5,,0.14285714285714285,,,0.42857142857142855,,,,0.42857142857142855,0.5133428571428571,0.6087,0.3333333333333333,0.3333333333333333,8.671428571428573,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,1.0,,0.5,,,0.6666666666666666,0.6666666666666666,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2014,2013-14,True
1740-201563-201596-202708-2617,1610612748,"Rashard Lewis, Michael Beasley, Mario Chalmers, Norris Cole, Udonis Haslem","Lewis, Beasley, Chalmers, Cole, Haslem",1740-201563-201596-202708-2617,MIA,314.0,3,5.0,-3.0,10.0,9.0,,19.0,,,2.0,2.0,,,1.0,,2.0,2.0,1.0,2.0,6.0,9.0,,,,4.0,1.0,,,,,,,,4.0,6.0,,6.0,,,,,4.0,6.0,4.0,,2.0,2.0,,1.0,6.0,,,1.0,0.6666666666666666,0.75,0.3333333333333333,,,0.8,,,0.8333333333333334,,,,1.0,,87.13375796178345,13.8,19.555555555555557,13.8,19.444444444444443,,,,,0.6666666666666666,1.0,1.0,,,0.3333333333333333,,0.3333333333333333,0.4401,,0.25,0.3333333333333333,8.45,25.0,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,2.0,,0.3333333333333333,1.0,,,,,0.5,,,1.0,1.0,1.0,1.0,,,,,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2014,2013-14,True
1740-201563-201596-2365-2427,1610612748,"Rashard Lewis, Michael Beasley, Mario Chalmers, Chris Andersen, Roger Mason Jr.","Lewis, Beasley, Chalmers, Andersen, Mason Jr.",1740-201563-201596-2365-2427,MIA,196.0,1,3.0,7.0,8.0,7.0,1.0,15.0,3.0,4.0,,,,2.0,,,3.0,4.0,2.0,2.0,14.0,7.0,1.0,,2.0,4.0,,,1.0,3.0,1.0,8.0,,1.0,1.0,3.0,1.0,4.0,,1.0,1.0,,,2.0,2.0,,1.0,2.0,,1.0,12.0,0.3333333333333333,0.5,0.75,1.0,1.0,0.3333333333333333,,,1.0,1.0,,1.0,1.0,1.0,,1.0,,110.20408163265306,10.0,16.571428571428573,10.0,16.571428571428573,0.6666666666666666,0.75,0.75,0.3333333333333333,,,,,0.3333333333333333,,,1.0,0.64715,0.6775,0.14285714285714285,0.2,1.25,23.5,,,1.0,1.0,,,1.0,2.0,,,,2.0,,,,1.0,,1.0,,1.0,,,,,1.0,1.0,,,,0.14285714285714285,,,,,,,2.0,,,6.0,,2.0,,,1.0,1.0,,1.0,,,,,,,,,2.0,2.0,2.0,,,1.0,1.0,,,,,,2.0,2.0,,,,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2014,2013-14,True
