EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,OffThreePtRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,Corner3Frequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGA,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FG3M,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsAssisted3s,ThreePtAssists,Assists,Corner3Assists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,ShortMidRangeFrequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceShotQualityAvg,DefThreePtRebounds,LiveBallTurnovers,LostBallTurnovers,ShootingFouls,LiveBallTurnoverPct,DefThreePtReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,PenaltyArc3FGM,PtsAssisted2s,PtsUnassisted3s,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,LongMidRangeAssists,Charge Fouls Drawn,Assisted2sPct,NonPutbacksAssisted2sPct,FG2APctBlocked,AtRimPctBlocked,OffAtRimReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ShortMidRangeFGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFtPoints,HeaveAttempts,Arc3Assists,AtRimAssists,ShortMidRangeAssists,FTOffRebounds,FTDefRebounds,SelfOReb,LostBallSteals,BadPassTurnovers,LostBallOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,Charge Fouls,Loose Ball Fouls,Offensive Fouls,Offensive Fouls Drawn,BlockingFoulsDrawn,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,BlockedShortMidRange,RecoveredBlocks,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,ShortMidRangePctBlocked,LongMidRangePctBlocked,DefFTReboundPct,OffFTReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,Blocked3s,BlockedArc3,BlockedLongMidRange,DefensiveGoaltends,BlockedCorner3,team_id,year,season,team_vs
200746-200777-201587-202083-203081,1610612757,"LaMarcus Aldridge, Joel Freeland, Nicolas Batum, Wesley Matthews, Damian Lillard","Aldridge, Freeland, Batum, Matthews, Lillard",200746-200777-201587-202083-203081,POR,189.0,2,3.0,-2.0,6.0,6.0,4.0,1.0,1.0,12,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,4.0,6.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,6.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,4.0,2.0,2.0,2.0,2.0,4.0,6.0,4.0,2.0,0.5,1.0,1.0,0.2,1.0,0.3333333333333333,0.42857142857142855,1.0,0.6,0.6,0.3333333333333333,0.25,0.5,91.42857142857143,16.0,15.5,15.833333333333334,15.5,0.4,0.5,0.5,0.2,0.4,1.0,1.0,0.3333333333333333,1.0,0.6666666666666666,1.0,0.5941799999999999,0.5909833333333333,0.3333333333333333,1.0,0.65,24.366666666666664,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2014,2013-14,False
200746-200777-201587-202083-2590,1610612757,"LaMarcus Aldridge, Joel Freeland, Nicolas Batum, Wesley Matthews, Mo Williams","Aldridge, Freeland, Batum, Matthews, Williams",200746-200777-201587-202083-2590,POR,67.0,1,1.0,3.0,2.0,1.0,2.0,,1.0,3,,,,,,,1.0,,,,1.0,1.0,,3.0,,,,3.0,,,1.0,,3.0,,,,,1.0,2.0,,,,2.0,,,,,,,,3.0,2.0,,,,,0.75,1.5,1.5,0.75,1.5,1.5,0.5,,1.0,,64.4776119402985,22.5,22.0,17.5,22.0,,,,0.5,,,,,,,0.5,0.448,0.5592,1.0,1.0,13.4,23.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2014,2013-14,False
200746-200777-201587-203081-2590,1610612757,"LaMarcus Aldridge, Joel Freeland, Nicolas Batum, Damian Lillard, Mo Williams","Aldridge, Freeland, Batum, Lillard, Williams",200746-200777-201587-203081-2590,POR,97.0,2,2.0,,2.0,3.0,,1.0,,5,1.0,1.0,,,,,,,,1.0,1.0,,,2.0,2.0,,,,,,,,,2.0,,,,,2.0,,,1.0,1.0,,,,,,,2.0,,,,1.0,,,1.0,,,1.0,,,,,,,74.22680412371133,29.0,13.0,29.0,8.0,1.0,1.0,1.0,,,,,,,,1.0,0.6745,,,,0.8,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2014,2013-14,False
200746-200777-202083-203081-2590,1610612757,"LaMarcus Aldridge, Joel Freeland, Wesley Matthews, Damian Lillard, Mo Williams","Aldridge, Freeland, Matthews, Lillard, Williams",200746-200777-202083-203081-2590,POR,120.0,1,2.0,3.0,4.0,3.0,4.0,,1.0,7,,1.0,,,,1.0,1.0,1.0,1.0,1.0,3.0,2.0,,5.0,2.0,,,,1.0,3.0,2.0,,5.0,,,1.0,,1.0,2.0,,,1.0,1.0,,,,,,,5.0,5.0,4.0,,0.3333333333333333,,0.3333333333333333,0.5,,0.5,0.5,,0.5,0.4,,0.3333333333333333,,84.0,12.5,23.333333333333332,11.0,18.0,0.2,,,0.2,0.2,,,0.2,,0.2,0.6,0.52222,0.52222,,1.0,9.666666666666666,25.9,1.0,1.0,,,1.0,,1.0,1.0,,1.0,1.0,,,1.0,,2.0,1.0,,1.0,,,,,,0.5,,0.5,0.5,,0.5,0.5,,,0.2,,,,1.0,,,0.2,,0.6804,1.0,,,,,0.5,0.5,,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2014,2013-14,False
200746-201577-201587-202083-203081,1610612757,"LaMarcus Aldridge, Robin Lopez, Nicolas Batum, Wesley Matthews, Damian Lillard","Aldridge, Lopez, Batum, Matthews, Lillard",200746-201577-201587-202083-203081,POR,13329.0,18,222.0,2.0,417.0,415.0,82.0,43.0,70.0,832,73.0,117.0,18.0,34.0,16.0,20.0,23.0,67.0,12.0,150.0,311.0,90.0,86.0,482.0,480.0,23.0,50.0,87.0,28.0,48.0,15.0,32.0,100.0,174.0,24.0,66.0,20.0,81.0,226.0,27.0,18.0,81.0,112.0,12.0,105.0,11.0,24.0,20.0,24.0,395.0,96.0,80.0,7.0,0.48231511254019294,0.46,0.5833333333333334,0.4937655860349127,0.5403225806451613,0.5396825396825397,0.5345982142857143,0.5972222222222222,0.6265822784810127,0.22443890274314215,0.3508771929824561,0.37209302325581395,0.4,89.88521269412558,15.827338129496402,16.2144578313253,14.75779376498801,15.349397590361447,0.29177057356608477,0.6239316239316239,0.6697247706422018,0.057356608478802994,0.16708229426433915,0.5483870967741935,0.5294117647058824,0.31746031746031744,0.8,0.19047619047619047,0.516209476309227,0.495543875,0.50215,0.18049792531120332,0.2074688796680498,9.113826366559486,24.854444444444447,0.19664268585131894,89.0,6.0,3.0,4.0,,3.0,32.0,7.0,12.0,4.0,72.0,24.0,87.0,4.0,198.0,60.0,103.0,145.0,5.0,24.0,53.0,14.0,0.75,0.35555555555555557,0.5833333333333334,0.26666666666666666,0.3595505617977528,0.6560509554140127,0.379746835443038,0.6715686274509803,0.4423076923076923,0.5614035087719298,0.22194513715710723,0.2608695652173913,0.2608695652173913,0.6666666666666666,0.06451612903225806,0.75,0.3333333333333333,0.047619047619047616,,0.5567091836734694,34.0,29.0,11.0,39.0,0.5471698113207547,0.723404255319149,0.7419354838709677,0.6875,41.0,105.0,26.0,4.0,126.0,24.0,26.0,16.0,63.0,16.0,2.0,0.42,0.45652173913043476,0.05144694533762058,0.06837606837606838,0.45454545454545453,0.26184538653366585,0.3904761904761905,0.4019607843137255,0.3902439024390244,0.3880597014925373,0.3880597014925373,0.3333333333333333,0.3939393939393939,36.0,4.0,8.0,20.0,1.0,20.0,34.0,13.0,1.0,8.0,10.0,9.0,18.0,6.0,1.0,9.0,1.0,6.0,8.0,5.0,6.0,7.0,1.0,3.0,43.0,1.0,4.0,9.0,2.0,6.0,0.056179775280898875,0.02857142857142857,0.6153846153846154,0.1,0.27419354838709675,0.23529411764705882,0.6470588235294118,0.7755102040816326,0.05,0.375,0.4657534246575342,0.4044943820224719,0.42857142857142855,0.3611111111111111,0.7692307692307693,0.16666666666666666,0.12903225806451613,0.5,0.75,0.10068649885583524,0.1239193083573487,0.011111111111111112,,,,,,,,,,1610612757,2014,2013-14,False
200746-201577-201587-202083-203115,1610612757,"LaMarcus Aldridge, Robin Lopez, Nicolas Batum, Wesley Matthews, Will Barton","Aldridge, Lopez, Batum, Matthews, Barton",200746-201577-201587-202083-203115,POR,141.0,1,2.0,2.0,6.0,5.0,6.0,,1.0,11,1.0,2.0,,,1.0,2.0,,,,2.0,4.0,,,4.0,2.0,,,,2.0,4.0,,,4.0,2.0,,,,1.0,4.0,1.0,1.0,1.0,,,,,,,,4.0,4.0,6.0,,0.5,,0.5,0.5,,0.5,0.5,,0.5,,,0.5,,112.34042553191489,10.833333333333334,15.2,10.5,15.2,0.5,0.5,0.5,,,,,0.5,0.5,,0.5,0.422725,0.422725,,1.0,5.125,,1.0,2.0,,,,,,,,,,,,1.0,,2.0,1.0,1.0,3.0,,1.0,2.0,2.0,,,,,,1.0,0.5,1.0,1.0,,0.5,,,,,,,,,,2.0,1.0,1.0,,0.5,1.0,1.0,,,,,,2.0,,,,1.0,,,0.5,0.5,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,1610612757,2014,2013-14,False
200746-201577-201587-202083-2590,1610612757,"LaMarcus Aldridge, Robin Lopez, Nicolas Batum, Wesley Matthews, Mo Williams","Aldridge, Lopez, Batum, Matthews, Williams",200746-201577-201587-202083-2590,POR,441.0,7,7.0,-9.0,13.0,14.0,,2.0,,27,2.0,2.0,,,,,,4.0,,4.0,5.0,4.0,1.0,12.0,21.0,,,,,,,,,4.0,,4.0,,,2.0,2.0,1.0,2.0,2.0,,2.0,,1.0,1.0,1.0,12.0,,,,0.8,,,0.6111111111111112,,,0.6,,,0.4444444444444444,,,,88.16326530612245,16.76923076923077,15.928571428571429,16.76923076923077,14.357142857142858,0.2222222222222222,1.0,1.0,,0.4444444444444444,,,,,,0.6666666666666666,0.49991874999999997,,,,12.02,27.725,,,,,,,,1.0,,,,3.0,1.0,3.0,,7.0,,2.0,2.0,,2.0,4.0,,1.0,0.25,,,0.25,1.0,,0.6666666666666666,,1.0,,,,,,,,,,,,2.0,1.0,1.0,0.5,,,,2.0,3.0,1.0,,4.0,,1.0,,2.0,,,0.5,0.5,,,,0.3333333333333333,0.6666666666666666,0.6666666666666666,,0.25,0.25,,0.25,,,,,,1.0,2.0,,,,,1.0,1.0,1.0,,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,0.1,0.16666666666666666,,,,,,,,,,,1610612757,2014,2013-14,False
200746-201577-201587-203081-203115,1610612757,"LaMarcus Aldridge, Robin Lopez, Nicolas Batum, Damian Lillard, Will Barton","Aldridge, Lopez, Batum, Lillard, Barton",200746-201577-201587-203081-203115,POR,196.0,2,3.0,-2.0,5.0,7.0,5.0,1.0,,12,2.0,2.0,,,2.0,2.0,,2.0,2.0,2.0,3.0,2.0,1.0,5.0,7.0,,,,2.0,3.0,2.0,1.0,5.0,2.0,,1.0,,,3.0,1.0,,,1.0,,2.0,,,,,5.0,5.0,5.0,,0.6666666666666666,,0.6666666666666666,0.4,,0.4,0.4166666666666667,,0.4166666666666667,0.4,,,,88.16326530612245,14.6,17.571428571428573,14.6,15.428571428571429,0.4,1.0,1.0,,0.4,,,0.4,1.0,0.4,0.8,0.4986375,0.4986375,,1.0,6.5,38.7,1.0,,,,,,,,,,,,,1.0,,2.0,,2.0,3.0,1.0,1.0,1.0,1.0,,,,,,1.0,,0.75,,,,,,,,,,,,,1.0,,,,,0.5,1.0,,,1.0,,,2.0,,,,1.0,,,0.5,0.5,,,,0.2,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,0.5,,,,,,,,,0.16666666666666666,0.25,,,,,,,,,,,1610612757,2014,2013-14,False
200746-201577-201587-203081-2590,1610612757,"LaMarcus Aldridge, Robin Lopez, Nicolas Batum, Damian Lillard, Mo Williams","Aldridge, Lopez, Batum, Lillard, Williams",200746-201577-201587-203081-2590,POR,204.0,2,3.0,11.0,7.0,5.0,1.0,,,12,1.0,1.0,,,,,1.0,1.0,,3.0,4.0,2.0,2.0,14.0,3.0,,,,,,,2.0,2.0,4.0,,1.0,,,4.0,,,2.0,1.0,,2.0,1.0,1.0,1.0,1.0,14.0,2.0,1.0,1.0,0.75,,,1.0,,,1.0,,1.0,0.3333333333333333,,,,84.70588235294117,12.714285714285714,23.0,12.714285714285714,18.8,0.16666666666666666,1.0,1.0,0.16666666666666666,0.16666666666666666,,,,,,0.5,0.5142333333333333,,,0.14285714285714285,13.75,23.85,0.14285714285714285,,1.0,,,,,2.0,,,,6.0,2.0,3.0,1.0,8.0,,3.0,4.0,,,,,1.0,1.0,,,1.0,0.75,,0.6666666666666666,,0.75,,1.0,1.0,1.0,,,,,,,1.0,,,,,0.5,0.5,,2.0,3.0,1.0,,2.0,,1.0,,1.0,,,0.3333333333333333,0.3333333333333333,,,,0.5,0.6666666666666666,0.6666666666666666,,1.0,1.0,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,1610612757,2014,2013-14,False
200746-201577-202083-203081-203115,1610612757,"LaMarcus Aldridge, Robin Lopez, Wesley Matthews, Damian Lillard, Will Barton","Aldridge, Lopez, Matthews, Lillard, Barton",200746-201577-202083-203081-203115,POR,113.0,1,2.0,,3.0,3.0,,,1.0,6,2.0,2.0,1.0,1.0,,,,1.0,,2.0,3.0,1.0,,4.0,4.0,1.0,1.0,2.0,,,,,,4.0,2.0,1.0,1.0,1.0,2.0,,,,1.0,,,,,,,2.0,,,,0.6666666666666666,1.0,,0.5,1.0,,0.5,1.0,,0.25,1.0,0.5,1.0,76.46017699115045,19.666666666666668,18.0,19.666666666666668,18.0,0.5,1.0,1.0,,0.25,1.0,1.0,,,,0.75,0.5655875,,0.5,,6.2,24.9,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2014,2013-14,False
