EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,SecondChanceAtRimFGA,SecondChanceFG2A,PtsUnassisted2s,Fg2aBlocked,OffTwoPtRebounds,OffRebounds,SelfOReb,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Travels,Offensive Fouls Drawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,SecondChanceAtRimFrequency,SecondChanceShotQualityAvg,SecondChanceOffPoss,SecondChanceAtRimFGM,ShortMidRangeFGA,Corner3FGM,Corner3FGA,FG3M,SecondChanceFG2M,SecondChancePoints,PtsAssisted3s,PtsPutbacks,ThreePtAssists,Corner3Assists,OffThreePtRebounds,DefThreePtRebounds,FTDefRebounds,BlockingFouls,Loose Ball Fouls Drawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefFTReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimAccuracy,SecondChancePointsPct,SecondChanceFtPoints,BadPassOutOfBoundsTurnovers,Offensive Fouls,2pt And 1 Free Throw Trips,ShortMidRangePctBlocked,OffCorner3ReboundPct,SecondChanceCorner3FGA,SecondChanceFG3A,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,ShortMidRangeFGM,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,BlockedAtRim,PenaltyCorner3FGA,Arc3FGM,PenaltyFtPoints,PtsUnassisted3s,NonHeaveArc3FGM,Fg3aBlocked,Arc3Assists,ShortMidRangeAssists,BadPassTurnovers,SecondChanceTurnovers,Charge Fouls,Loose Ball Fouls,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked3s,BlockedCorner3,BlockedLongMidRange,DefensiveGoaltends,NonShootingPenaltyNonTakeFouls,FG3APctBlocked,Corner3PctBlocked,DefCorner3ReboundPct,ShortMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,PenaltyFG3M,StepOutOfBoundsTurnovers,Charge Fouls Drawn,SecondChanceFg3Pct,PenaltyFg3Pct,LongMidRangePctBlocked,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,Defensive 3 Seconds Violations,BlockingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,3SecondViolations,Arc3PctBlocked,HeaveAttempts,PenaltyCorner3FGM,PenaltyCorner3Accuracy,FTOffRebounds,OffFTReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,BlockedArc3,SecondChanceCorner3PctAssisted,OffensiveGoaltends,team_id,year,season,team_vs
1737-201149-201571-202710-2399,1610612741,"Nazr Mohammed, Joakim Noah, D.J. Augustin, Jimmy Butler, Mike Dunleavy","Mohammed, Noah, Augustin, Butler, Dunleavy",1737-201149-201571-202710-2399,CHI,243.0,1,4.0,-7.0,8.0,9.0,6.0,17.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,6.0,13.0,2.0,3.0,2.0,4.0,4.0,3.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,6.0,4.0,6.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.4,0.42857142857142855,0.4,0.5,1.0,1.0,0.5,1.0,100.74074074074075,15.5,13.222222222222221,15.5,12.88888888888889,0.16666666666666666,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,1.0,0.5,0.2,1.0,0.4,0.6666666666666666,0.5291083333333334,0.53011,0.14285714285714285,0.25,0.6666666666666666,12.033333333333333,25.666666666666668,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2014,2013-14,True
1737-201149-201571-202710-2550,1610612741,"Nazr Mohammed, Joakim Noah, D.J. Augustin, Jimmy Butler, Kirk Hinrich","Mohammed, Noah, Augustin, Butler, Hinrich",1737-201149-201571-202710-2550,CHI,15.0,1,,,1.0,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,15.0,,15.0,,,,,,1.0,,,,,,,,,0.2976,,,,,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2014,2013-14,True
1737-201149-2399-2550-2736,1610612741,"Nazr Mohammed, Joakim Noah, Mike Dunleavy, Kirk Hinrich, Luol Deng","Mohammed, Noah, Dunleavy, Hinrich, Deng",1737-201149-2399-2550-2736,CHI,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2014,2013-14,True
1737-201565-201959-202710-2550,1610612741,"Nazr Mohammed, Derrick Rose, Taj Gibson, Jimmy Butler, Kirk Hinrich","Mohammed, Rose, Gibson, Butler, Hinrich",1737-201565-201959-202710-2550,CHI,164.0,2,3.0,-3.0,4.0,5.0,,9.0,1.0,3.0,,,,1.0,,,1.0,4.0,,,2.0,5.0,,,,,,,,,,,,2.0,2.0,4.0,,,,,,2.0,,,2.0,1.0,,,2.0,,,,,0.25,,0.25,,0.25,,,,0.4,0.4,0.3333333333333333,79.02439024390243,15.75,20.2,15.25,18.4,0.75,0.3333333333333333,0.5,,0.25,,,,,,,,0.75,0.5358,,,,,6.5,,,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,1.0,0.5,1.0,1.0,0.5577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2014,2013-14,True
1737-201565-201959-2399-2550,1610612741,"Nazr Mohammed, Derrick Rose, Taj Gibson, Mike Dunleavy, Kirk Hinrich","Mohammed, Rose, Gibson, Dunleavy, Hinrich",1737-201565-201959-2399-2550,CHI,411.0,3,7.0,,12.0,13.0,,25.0,2.0,9.0,,,2.0,5.0,1.0,,4.0,17.0,2.0,,11.0,11.0,,,,,4.0,1.0,2.0,3.0,1.0,1.0,7.0,2.0,5.0,12.0,3.0,1.0,2.0,,,,,3.0,4.0,6.0,,,9.0,,,0.5,0.6666666666666666,0.23529411764705882,,0.2894736842105263,,0.2894736842105263,,0.10526315789473684,,0.5,0.6,,87.59124087591242,18.666666666666668,14.384615384615385,16.25,13.76923076923077,0.47368421052631576,0.2222222222222222,0.2222222222222222,0.5,0.2631578947368421,0.4,0.4,0.5,0.05263157894736842,,,,0.5789473684210527,0.4941210526315789,,,,,8.829411764705881,24.85,,,5.0,6.0,4.0,,6.0,7.0,1.0,,,,,,,,,,,0.46153846153846156,0.5,0.42857142857142855,,0.07142857142857142,,0.8333333333333334,0.5196,5.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,0.15789473684210525,0.05263157894736842,1.0,1.0,1.0,0.2,0.18181818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2014,2013-14,True
1737-201565-201959-2550-2736,1610612741,"Nazr Mohammed, Derrick Rose, Taj Gibson, Kirk Hinrich, Luol Deng","Mohammed, Rose, Gibson, Hinrich, Deng",1737-201565-201959-2550-2736,CHI,165.0,3,3.0,1.0,6.0,6.0,,12.0,2.0,2.0,,,,1.0,1.0,,2.0,4.0,2.0,1.0,5.0,4.0,,,,,,1.0,,,,,,1.0,1.0,3.0,2.0,1.0,1.0,,,2.0,,,1.0,2.0,1.0,1.0,2.0,,,,,0.5,,0.3333333333333333,,0.4166666666666667,,0.3333333333333333,,0.5,0.5,,104.72727272727273,14.0,13.5,14.0,13.5,0.3333333333333333,1.0,1.0,,0.16666666666666666,,,,0.16666666666666666,,,,0.6666666666666666,0.56885,,0.16666666666666666,0.25,,6.95,24.85,,,1.0,1.0,4.0,1.0,1.0,2.0,,2.0,,,1.0,1.0,1.0,1.0,,0.25,,0.5,0.5,,0.5,,,1.0,,1.0,1.0,1.0,,1.0,,1.0,3.0,,2.0,,,1.0,,,,,,,,1.0,1.0,1.5,,,0.5,1.0,,,,,0.16666666666666666,0.16666666666666666,,,,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2014,2013-14,True
1737-201571-201858-201959-2399,1610612741,"Nazr Mohammed, D.J. Augustin, Cartier Martin, Taj Gibson, Mike Dunleavy","Mohammed, Augustin, Martin, Gibson, Dunleavy",1737-201571-201858-201959-2399,CHI,112.0,1,2.0,,3.0,2.0,,5.0,1.0,3.0,,,,1.0,,,1.0,5.0,1.0,,2.0,2.0,,,,,2.0,,1.0,1.0,1.0,,2.0,,1.0,4.0,,,,,,,,,3.0,,,,,,,1.0,1.0,0.2,,0.16666666666666666,,0.16666666666666666,,0.16666666666666666,,,1.0,,64.28571428571428,24.666666666666668,19.0,18.333333333333332,19.0,0.5,0.3333333333333333,0.5,1.0,0.16666666666666666,,,,,,,,0.6666666666666666,0.5043083333333334,,,,,6.4799999999999995,23.2,,,1.0,2.0,,1.0,2.0,3.0,,,,,,,,,,0.2,0.3333333333333333,0.5,0.6,0.5,,,,0.3333333333333333,0.562975,2.0,1.0,1.0,,1.0,,1.0,2.0,,,,,1.0,1.0,,,,,,,0.5,0.3333333333333333,0.3333333333333333,,1.0,1.0,,1.0,,,1.0,0.16666666666666666,0.16666666666666666,,,,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2014,2013-14,True
1737-201571-201858-201959-2550,1610612741,"Nazr Mohammed, D.J. Augustin, Cartier Martin, Taj Gibson, Kirk Hinrich","Mohammed, Augustin, Martin, Gibson, Hinrich",1737-201571-201858-201959-2550,CHI,163.0,1,3.0,-6.0,4.0,5.0,,9.0,,,,,,,,,1.0,2.0,,2.0,4.0,10.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,2.0,2.0,1.0,2.0,1.0,4.0,,,,,0.5,,0.5,,0.6666666666666666,,,1.0,,,,79.50920245398773,16.5,19.4,16.5,16.4,,,,,,,,,,,,,,0.40025,,0.3333333333333333,0.3333333333333333,,6.95,,,3.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2014,2013-14,True
1737-201571-201959-202690-203503,1610612741,"Nazr Mohammed, D.J. Augustin, Taj Gibson, Jimmer Fredette, Tony Snell","Mohammed, Augustin, Gibson, Fredette, Snell",1737-201571-201959-202690-203503,CHI,27.0,1,,,1.0,1.0,,2.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,106.66666666666666,21.0,6.0,21.0,6.0,,,,,1.0,,,,,,,,,0.3804,,,,,15.7,,,1.0,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2014,2013-14,True
1737-201571-201959-202710-203503,1610612741,"Nazr Mohammed, D.J. Augustin, Taj Gibson, Jimmy Butler, Tony Snell","Mohammed, Augustin, Gibson, Butler, Snell",1737-201571-201959-202710-203503,CHI,6945.0,31,116.0,-3.0,209.0,204.0,8.0,413.0,31.0,69.0,,4.0,14.0,40.0,29.0,,63.0,153.0,39.0,39.0,213.0,216.0,3.0,9.0,1.0,7.0,58.0,29.0,29.0,44.0,16.0,7.0,103.0,50.0,74.0,116.0,23.0,18.0,5.0,23.0,6.0,37.0,2.0,32.0,55.0,53.0,56.0,28.0,187.0,7.0,8.0,0.4603174603174603,0.4915254237288136,0.4117647058823529,0.3333333333333333,0.453125,0.3,0.48623853211009177,0.3181818181818182,0.203125,0.6216216216216216,0.746268656716418,0.69,0.625,85.63282937365011,16.16267942583732,17.485294117647058,15.124401913875598,16.465686274509803,0.359375,0.4492753623188406,0.5166666666666667,0.5161290322580645,0.20833333333333334,0.35,0.35,0.5,0.15104166666666666,0.4,,,0.5625,0.49829947916666667,0.423725,0.1336405529953917,0.15730337078651685,0.03286384976525822,7.94313725490196,24.564102564102566,0.03827751196172249,20.0,19.0,29.0,68.0,15.0,33.0,42.0,2.0,14.0,2.0,3.0,2.0,12.0,1.0,13.0,8.0,0.09803921568627451,0.13043478260869565,0.3707865168539326,0.375,0.39473684210526316,0.6666666666666666,0.020833333333333332,0.6153846153846154,0.6551724137931034,0.499428,30.0,8.0,44.0,3.0,10.0,16.0,11.0,26.0,45.0,8.0,15.0,3.0,9.0,19.0,5.0,2.0,5.0,0.9375,0.41025641025641024,0.41025641025641024,0.3793103448275862,0.3793103448275862,0.41935483870967744,0.8333333333333334,0.5757575757575758,0.391304347826087,0.38461538461538464,0.32,0.4375,0.8888888888888888,0.6923076923076923,0.22916666666666666,0.052083333333333336,0.3,0.3333333333333333,1.0,0.42105263157894735,0.12206572769953052,4.0,3.0,1.0,3.0,0.13636363636363635,0.2857142857142857,,,0.25,,18.0,0.4090909090909091,0.47368421052631576,9.0,1.0,13.0,1.0,3.0,13.0,1.0,12.0,6.0,17.0,7.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.02564102564102564,0.1,0.14285714285714285,0.3333333333333333,0.4482758620689655,0.4482758620689655,0.9230769230769231,0.1,0.4482758620689655,0.02564102564102564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2014,2013-14,True
