EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,ShortMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2A,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,Offensive Fouls Drawn,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,SecondChanceAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,Avg2ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,LongMidRangeFGA,PenaltyFG2A,FTDefRebounds,PenaltyOffPossExcludingTakeFouls,DefFTReboundPct,LongMidRangeFrequency,PenaltyShotQualityAvg,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,FtPoints,PenaltyFG2M,PenaltyFtPoints,PenaltyPoints,FTA,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefCorner3ReboundPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyPointsPct,Arc3FGM,Arc3FGA,FG3M,FG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APct,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,Avg3ptShotDistance,SecondChanceAtRimFGM,ShortMidRangeFGM,LongMidRangeFGM,Corner3FGA,SecondChanceCorner3FGA,SecondChanceFG2M,SecondChanceFG3A,SecondChancePoints,PtsUnassisted2s,PtsPutbacks,OffThreePtRebounds,SelfOReb,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,Loose Ball Fouls,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,RecoveredBlocks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Corner3FGM,PtsUnassisted3s,Fg2aBlocked,Corner3Assists,LongMidRangeAssists,LostBallSteals,FG2APctBlocked,AtRimPctBlocked,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,ShortMidRangeAssists,ShortMidRangePctAssisted,Charge Fouls Drawn,BlockingFoulsDrawn,2pt And 1 Free Throw Trips,DefensiveGoaltends,Offensive Fouls,SecondChanceCorner3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ShortMidRangePctBlocked,StepOutOfBoundsTurnovers,SecondChanceArc3FGA,PenaltyArc3FGA,SecondChanceFtPoints,PenaltyFG3A,Loose Ball Fouls Drawn,SecondChanceArc3Frequency,PenaltyArc3Frequency,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyFG3M,PenaltyTurnovers,Charge Fouls,PenaltyFg3Pct,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,BlockedLongMidRange,BlockedShortMidRange,OffLongMidRangeReboundPct,SecondChanceArc3FGM,SecondChanceTurnovers,ThreePtShootingFoulsDrawn,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,Clear Path Fouls,3SecondViolations,Travels,OffCorner3ReboundPct,HeaveAttempts,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,PenaltyArc3FGM,3pt And 1 Free Throw Trips,NonShootingPenaltyNonTakeFouls,PenaltyArc3Accuracy,BlockingFouls,FTOffRebounds,OffFTReboundPct,Defensive 3 Seconds Violations,SecondChanceAtRimPctAssisted,Blocked3s,BlockedArc3,OffensiveGoaltends,Arc3PctBlocked,LongMidRangePctBlocked,BlockedCorner3,HeaveMakes,team_id,year,season,team_vs
1740-201141-201563-201596-202708,1610612748,"Rashard Lewis, Greg Oden, Michael Beasley, Mario Chalmers, Norris Cole","Lewis, Oden, Beasley, Chalmers, Cole",1740-201141-201563-201596-202708,MIA,264.0,1,4.0,-3.0,7.0,9.0,1.0,16.0,2.0,4.0,1.0,1.0,2.0,5.0,4.0,7.0,1.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,3.0,5.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,0.4,0.4,0.4,0.6666666666666666,0.75,0.3333333333333333,0.6666666666666666,0.7142857142857143,0.3333333333333333,1.0,1.0,1.0,1.0,87.27272727272727,14.857142857142858,17.77777777777778,14.571428571428571,16.0,0.8,0.5,0.5,1.0,0.2,1.0,0.8,0.59764,0.6173,3.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2014,2013-14,False
1740-201141-201563-202708-2427,1610612748,"Rashard Lewis, Greg Oden, Michael Beasley, Norris Cole, Roger Mason Jr.","Lewis, Oden, Beasley, Cole, Mason Jr.",1740-201141-201563-202708-2427,MIA,29.0,1,,-2.0,2.0,1.0,1.0,3.0,,,,,,1.0,,2.0,,,,,,,,,,1.0,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,148.9655172413793,4.0,21.0,3.5,18.0,,,,,,,,0.2853,,17.6,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.2853,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2014,2013-14,False
1740-201202-201563-202708-2544,1610612748,"Rashard Lewis, Joel Anthony, Michael Beasley, Norris Cole, LeBron James","Lewis, Anthony, Beasley, Cole, James",1740-201202-201563-202708-2544,MIA,102.0,1,2.0,,3.0,3.0,,6.0,1.0,2.0,,,1.0,2.0,4.0,4.0,,2.0,1.0,1.0,1.0,2.0,,1.0,,1.0,,1.0,,,,,,,,,1.0,,1.0,1.0,1.0,4.0,1.0,1.0,0.5,0.5,0.6666666666666666,,,,1.0,0.5,,,,,,84.70588235294117,10.333333333333334,23.666666666666668,10.333333333333334,23.666666666666668,1.0,0.5,0.5,1.0,,,1.0,0.68685,,1.05,3.0,,,2.0,,3.0,,,0.68685,1.0,1.0,2.0,2.0,1.0,2.0,4.0,2.0,1.0,4.0,1.0,0.5,0.5,0.6666666666666666,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2014,2013-14,False
1740-201202-201563-202708-2548,1610612748,"Rashard Lewis, Joel Anthony, Michael Beasley, Norris Cole, Dwyane Wade","Lewis, Anthony, Beasley, Cole, Wade",1740-201202-201563-202708-2548,MIA,94.0,1,2.0,1.0,2.0,2.0,,4.0,,,,,,,6.0,5.0,,,,2.0,,6.0,,,,,,,,,,,,,,,,,,,,6.0,,,,1.5,1.5,,,,,,,,,,,61.276595744680854,19.5,27.5,19.5,27.5,,,,,,,1.0,0.578775,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,6.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2014,2013-14,False
1740-201202-201563-2427-2548,1610612748,"Rashard Lewis, Joel Anthony, Michael Beasley, Roger Mason Jr., Dwyane Wade","Lewis, Anthony, Beasley, Mason Jr., Wade",1740-201202-201563-2427-2548,MIA,369.0,1,6.0,7.0,11.0,12.0,2.0,23.0,1.0,4.0,1.0,1.0,3.0,7.0,11.0,4.0,1.0,,,1.0,,3.0,1.0,1.0,5.0,7.0,2.0,9.0,,,1.0,,,1.0,1.0,3.0,2.0,,1.0,1.0,1.0,9.0,,,0.42857142857142855,0.4090909090909091,0.4166666666666667,,1.0,0.25,1.0,1.0,0.2857142857142857,,1.0,1.0,1.0,89.7560975609756,15.727272727272727,16.333333333333332,14.636363636363637,16.333333333333332,0.36363636363636365,0.25,0.25,,0.09090909090909091,0.5,0.7272727272727273,0.5659545454545455,0.639,6.242857142857143,4.0,,2.0,3.0,1.0,4.0,1.0,0.18181818181818182,0.5194333333333333,0.36363636363636365,,1.0,2.0,1.0,1.0,3.0,3.0,,3.0,,0.3333333333333333,0.3333333333333333,0.375,,0.3333333333333333,,0.2727272727272727,1.0,2.0,1.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,0.25,0.25,0.36363636363636365,0.18181818181818182,0.5,0.5,1.0,0.5,24.375,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.3333333333333333,0.3333333333333333,1.0,1.0,0.14285714285714285,1.0,1.0,1.0,0.5,0.5,0.18181818181818182,1.0,0.5,0.08333333333333333,0.125,0.18181818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2014,2013-14,False
1740-201202-202708-2548-951,1610612748,"Rashard Lewis, Joel Anthony, Norris Cole, Dwyane Wade, Ray Allen","Lewis, Anthony, Cole, Wade, Allen",1740-201202-202708-2548-951,MIA,83.0,1,1.0,-2.0,3.0,3.0,,6.0,,,,1.0,,2.0,1.0,3.0,,,,,,,,1.0,1.0,2.0,,2.0,,,,,,,1.0,2.0,1.0,,,,,1.0,,,,,0.16666666666666666,,1.0,,0.5,0.6666666666666666,,,,1.0,1.0,104.09638554216868,13.333333333333334,14.333333333333334,13.333333333333334,14.333333333333334,,,,,0.5,,,0.41195,,13.0,,1.0,1.0,,,,,0.5,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2014,2013-14,False
1740-201563-201596-202708-2365,1610612748,"Rashard Lewis, Michael Beasley, Mario Chalmers, Norris Cole, Chris Andersen","Lewis, Beasley, Chalmers, Cole, Andersen",1740-201563-201596-202708-2365,MIA,430.0,2,7.0,-1.0,13.0,13.0,2.0,26.0,3.0,7.0,2.0,1.0,4.0,11.0,14.0,15.0,2.0,2.0,1.0,2.0,,5.0,2.0,1.0,4.0,5.0,2.0,7.0,,,,,,,2.0,4.0,1.0,,,,,10.0,0.25,0.5,0.36363636363636365,0.4666666666666667,0.4666666666666667,,0.5714285714285714,0.2857142857142857,0.5,0.5555555555555556,0.2222222222222222,,0.5,0.5,1.0,87.06976744186046,15.615384615384615,17.46153846153846,15.461538461538462,17.0,0.4666666666666667,0.42857142857142855,0.5,,0.06666666666666667,1.0,0.7333333333333333,0.5662266666666667,0.6746,7.354545454545455,,,3.0,,,,,0.2,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,,0.5,0.5,0.5,0.26666666666666666,0.06666666666666667,1.0,1.0,,1.0,24.225,2.0,,1.0,3.0,,2.0,,4.0,6.0,4.0,,,2.0,,,,,,,1.0,1.0,1.0,,0.5,,0.6666666666666666,,,,,0.3333333333333333,0.3333333333333333,0.2,1.0,,,,0.2857142857142857,1.0,3.0,1.0,1.0,1.0,2.0,0.09090909090909091,0.14285714285714285,1.0,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2014,2013-14,False
1740-201563-201596-202708-2547,1610612748,"Rashard Lewis, Michael Beasley, Mario Chalmers, Norris Cole, Chris Bosh","Lewis, Beasley, Chalmers, Cole, Bosh",1740-201563-201596-202708-2547,MIA,267.0,1,4.0,3.0,9.0,9.0,1.0,18.0,2.0,2.0,,2.0,5.0,7.0,12.0,9.0,1.0,8.0,4.0,4.0,1.0,8.0,1.0,,3.0,3.0,1.0,4.0,2.0,1.0,,,1.0,2.0,3.0,3.0,1.0,,1.0,1.0,1.0,12.0,0.8,0.8,0.7142857142857143,0.7142857142857143,0.75,1.0,0.75,0.5,,0.75,0.5,1.0,,1.0,,97.07865168539325,15.0,14.666666666666666,14.333333333333334,14.444444444444445,0.2857142857142857,1.0,1.0,0.5,0.2857142857142857,,0.2857142857142857,0.4716714285714286,0.4524,10.071428571428571,,,3.0,,,,,0.42857142857142855,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,2.0,,,1.0,1.0,,,,,1.0,1.0,,,,,,,1.0,0.5,1.0,0.5,0.5,0.6666666666666666,0.6666666666666666,,,,0.125,0.125,,,,,,2.0,1.0,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2014,2013-14,False
1740-201563-201596-202708-2617,1610612748,"Rashard Lewis, Michael Beasley, Mario Chalmers, Norris Cole, Udonis Haslem","Lewis, Beasley, Chalmers, Cole, Haslem",1740-201563-201596-202708-2617,MIA,314.0,3,5.0,3.0,9.0,10.0,1.0,19.0,2.0,4.0,1.0,3.0,4.0,9.0,9.0,6.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,,1.0,1.0,2.0,,,,,,,1.0,2.0,4.0,,,,,9.0,0.25,0.25,0.4444444444444444,0.4,0.45,,,0.2,1.0,1.0,0.16666666666666666,0.5,,,1.0,87.13375796178345,19.555555555555557,13.8,19.444444444444443,13.8,0.4,0.5,0.6666666666666666,0.5,0.3,1.0,0.5,0.42172,0.5381,7.133333333333334,,,2.0,,,,,0.2,,,,,1.0,,,,2.0,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,0.1,0.1,,,,,25.5,,1.0,1.0,,,,,,6.0,,,,2.0,1.0,,,,2.0,,,,,,,,,,,0.3333333333333333,0.3333333333333333,0.5,0.5,,,,0.2,0.2222222222222222,,,,1.0,,,1.0,0.1111111111111111,0.25,,,,,,,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2014,2013-14,False
1740-201563-201596-2365-2427,1610612748,"Rashard Lewis, Michael Beasley, Mario Chalmers, Chris Andersen, Roger Mason Jr.","Lewis, Beasley, Chalmers, Andersen, Mason Jr.",1740-201563-201596-2365-2427,MIA,196.0,1,3.0,-7.0,7.0,8.0,,15.0,1.0,2.0,,1.0,2.0,3.0,7.0,14.0,,,,1.0,,3.0,,,,,,,1.0,1.0,,,,1.0,1.0,1.0,2.0,,,,,7.0,,,0.6666666666666666,0.5833333333333334,0.5833333333333334,1.0,,,,,,,,,,110.20408163265306,16.571428571428573,10.0,16.571428571428573,10.0,0.3333333333333333,0.5,0.5,,0.16666666666666666,,0.8333333333333334,0.5987833333333333,,2.566666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,3.0,3.0,2.0,,1.0,,1.0,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,,,,,24.766666666666666,,1.0,,1.0,,,,,4.0,,,,2.0,2.0,,,,,,,,,,,,,,,1.0,1.0,,,0.16666666666666666,,,,,,1.0,,,1.0,,,,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2014,2013-14,False
