EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,AtRimFGA,FG2A,OpponentPoints,Fg2aBlocked,Fouls,NonShootingPenaltyNonTakeFouls,FG2APctBlocked,AtRimPctBlocked,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Minutes,PenaltyOffPoss,SecondChanceOffPoss,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG3M,FG3A,Points,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg3aBlocked,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,ShootingFouls,BlockingFouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,FtPoints,PenaltyFtPoints,PtsAssisted2s,TwoPtAssists,ShortMidRangeAssists,LongMidRangeAssists,FTDefRebounds,PenaltyTurnovers,FTA,TwoPtShootingFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,DefFTReboundPct,ShortMidRangePctAssisted,LongMidRangePctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,AtRimFGM,HeaveAttempts,AtRimAssists,Steals,BadPassSteals,LostBallSteals,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LostBallOutOfBoundsTurnovers,3SecondViolations,OffLongMidRangeReboundPct,PenaltyAtRimFGM,PenaltyAtRimAccuracy,SecondChanceAtRimFGM,SecondChanceFG2M,SecondChanceFtPoints,PtsPutbacks,OffThreePtRebounds,SelfOReb,LostBallTurnovers,SecondChanceTurnovers,Charge Fouls,Charge Fouls Drawn,Blocked2s,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,SecondChanceFg2Pct,ShortMidRangePctBlocked,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,BlockedAtRim,StepOutOfBoundsTurnovers,Loose Ball Fouls,FTOffRebounds,OffFTReboundPct,OffCorner3ReboundPct,Travels,Defensive 3 Seconds Violations,Loose Ball Fouls Drawn,BlockingFoulsDrawn,OffensiveGoaltends,Technical Free Throw Trips,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Corner3PctBlocked,DefensiveGoaltends,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedCorner3,HeaveMakes,BlockedArc3,3pt And 1 Free Throw Trips,Clear Path Fouls,team_id,year,season,team_vs
101114-101154-101187-1718-1891,1610612751,"Deron Williams, Andray Blatche, Alan Anderson, Paul Pierce, Jason Terry","Williams, Blatche, Anderson, Pierce, Terry",101114-101154-101187-1718-1891,BKN,23.0,1,-1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,125.21739130434781,8.0,15.0,8.0,15.0,1.0,1.0,0.5597,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2014,2013-14,True
101114-101154-101187-1718-1905,1610612751,"Deron Williams, Andray Blatche, Alan Anderson, Paul Pierce, Andrei Kirilenko","Williams, Blatche, Anderson, Pierce, Kirilenko",101114-101154-101187-1718-1905,BKN,542.0,3,-3.0,17.0,17.0,,34.0,4.0,11.0,18.0,1.0,4.0,,0.09090909090909091,,90.33210332103322,16.470588235294116,15.411764705882353,15.705882352941176,15.411764705882353,0.23529411764705882,0.5882352941176471,0.4903058823529412,8.818181818181818,9.0,3.0,3.0,1.0,1.0,2.0,4.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,3.0,3.0,6.0,15.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,8.0,6.0,6.0,3.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,6.0,3.0,2.0,5.0,7.0,3.0,10.0,1.0,1.0,1.0,4.0,5.0,2.0,1.0,1.0,2.0,1.0,12.0,8.0,3.0,0.6666666666666666,0.5,0.5,1.0,0.5,0.2727272727272727,0.5,0.4411764705882353,0.5,1.0,0.4411764705882353,0.5,1.0,0.35294117647058826,0.16666666666666666,0.3333333333333333,0.25,0.2,1.0,0.42857142857142855,1.0,1.0,0.3333333333333333,0.75,1.0,1.0,1.0,1.0,0.23529411764705882,0.5,0.5,0.17647058823529413,0.3333333333333333,0.5,0.11764705882352941,0.5,0.5,1.0,0.23529411764705882,0.5,0.6666666666666666,0.5,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,0.25,0.25,1.0,0.25,1.0,0.5,0.5645333333333333,0.5297875,0.2,0.5333333333333333,24.7,0.17647058823529413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2014,2013-14,True
101114-101154-101187-1718-201572,1610612751,"Deron Williams, Andray Blatche, Alan Anderson, Paul Pierce, Brook Lopez","Williams, Blatche, Anderson, Pierce, Lopez",101114-101154-101187-1718-201572,BKN,329.0,2,-2.0,13.0,13.0,9.0,26.0,,6.0,12.0,,3.0,,,,113.79939209726443,13.461538461538462,11.846153846153847,13.461538461538462,11.846153846153847,,0.25,0.434125,13.183333333333332,5.0,4.0,,,,2.0,3.0,2.0,3.0,,,,,,,,2.0,,,,4.0,,2.0,10.0,,,,,1.0,2.0,,,3.0,4.0,,,2.0,,,,2.0,,,4.0,,1.0,5.0,7.0,,7.0,3.0,,3.0,,3.0,3.0,,,2.0,,10.0,3.0,4.0,,,,,,0.6666666666666666,0.5,0.5,,0.5,0.5,,0.5,0.25,,,,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,0.375,0.6666666666666666,0.6666666666666666,0.375,0.6666666666666666,0.6666666666666666,,,,,0.25,,,,,,,,,,,,,,,,0.39285,,0.3,27.8,0.3076923076923077,2.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,0.5,0.5,1.0,0.5,0.5,0.2,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2014,2013-14,True
101114-101154-101187-1718-201977,1610612751,"Deron Williams, Andray Blatche, Alan Anderson, Paul Pierce, Marcus Thornton","Williams, Blatche, Anderson, Pierce, Thornton",101114-101154-101187-1718-201977,BKN,330.0,3,-1.0,11.0,10.0,1.0,21.0,2.0,4.0,13.0,,2.0,,,,91.63636363636364,14.363636363636363,17.2,14.363636363636363,17.2,0.2857142857142857,0.7142857142857143,0.4638333333333334,7.3,6.0,4.0,,,,1.0,1.0,1.0,1.0,,,,,,,,3.0,,,3.0,4.0,,3.0,12.0,,,,,,,,3.0,1.0,2.0,,,2.0,,,,3.0,,,6.0,,1.0,1.0,2.0,,2.0,2.0,,2.0,1.0,3.0,2.0,,,3.0,,12.0,1.0,4.0,,,,,,1.0,,0.5714285714285714,,,0.6666666666666666,,0.125,0.42857142857142855,,,,0.6666666666666666,1.0,,1.0,1.0,,,,1.0,,1.0,0.14285714285714285,1.0,1.0,0.14285714285714285,1.0,1.0,,,,,0.42857142857142855,,,,,,,,,,,,1.0,,,,0.53865,,0.08333333333333333,32.333333333333336,0.36363636363636365,4.0,1.0,6.0,3.0,,1.0,,1.0,5.0,2.0,0.75,0.75,,,1.0,0.25,0.4,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2014,2013-14,True
101114-101154-101187-1718-203141,1610612751,"Deron Williams, Andray Blatche, Alan Anderson, Paul Pierce, Mirza Teletovic","Williams, Blatche, Anderson, Pierce, Teletovic",101114-101154-101187-1718-203141,BKN,260.0,1,-5.0,8.0,8.0,,16.0,1.0,4.0,11.0,,2.0,,,,88.61538461538463,20.625,11.875,20.625,11.75,0.2,0.4,0.48982000000000003,8.625,4.0,,,,,,2.0,,1.0,1.0,1.0,,,,,,,,,,,1.0,1.0,6.0,,,,,,,,,,,3.0,,,,,1.0,1.0,,1.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,,,,2.0,2.0,1.0,,,2.0,,6.0,,,1.0,1.0,,,1.0,,,0.3,,,0.42857142857142855,,,0.2,,,,,0.5,0.25,1.0,0.6666666666666666,0.25,,0.5,,,1.0,0.4,,,0.2,,,0.2,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,23.7,,3.0,,,,,,,,4.0,2.0,,,,,,0.2857142857142857,0.3333333333333333,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2014,2013-14,True
101114-101154-101187-1718-203486,1610612751,"Deron Williams, Andray Blatche, Alan Anderson, Paul Pierce, Mason Plumlee","Williams, Blatche, Anderson, Pierce, Plumlee",101114-101154-101187-1718-203486,BKN,147.0,2,-5.0,6.0,5.0,4.0,11.0,1.0,2.0,9.0,,3.0,,,,107.75510204081633,13.333333333333334,13.4,13.333333333333334,13.4,0.3333333333333333,0.6666666666666666,0.4462333333333333,10.3,2.0,5.0,,,1.0,,,,1.0,,,,,,,,1.0,,,1.0,1.0,,1.0,4.0,,,,,1.0,2.0,,1.0,4.0,2.0,,,1.0,,,,,,,,,,1.0,1.0,,1.0,,,,1.0,1.0,2.0,,1.0,3.0,,4.0,4.0,5.0,,,,,,0.5,0.5,0.3333333333333333,,0.3333333333333333,0.4,,0.5,0.3333333333333333,,,,,1.0,,,1.0,,,1.0,,,,,,,0.3333333333333333,,,,,,,0.3333333333333333,,,,,,,,,0.3333333333333333,,,0.3333333333333333,,,,0.4462333333333333,,1.0,25.4,0.8333333333333334,2.0,2.0,,,,,,1.0,4.0,1.0,,,,,,0.25,0.3333333333333333,1.0,,,,,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2014,2013-14,True
101114-101154-101187-1718-2207,1610612751,"Deron Williams, Andray Blatche, Alan Anderson, Paul Pierce, Joe Johnson","Williams, Blatche, Anderson, Pierce, Johnson",101114-101154-101187-1718-2207,BKN,1699.0,12,4.0,54.0,55.0,13.0,109.0,20.0,34.0,64.0,2.0,9.0,2.0,0.058823529411764705,0.05,92.38375515008829,15.25925925925926,15.909090909090908,14.537037037037036,15.545454545454545,0.4444444444444444,0.6888888888888889,0.5329177777777778,6.488235294117647,28.0,19.0,6.0,4.0,7.0,1.0,6.0,5.0,8.0,2.0,4.0,,,1.0,3.0,3.0,7.0,,1.0,2.0,19.0,5.0,11.0,68.0,6.0,,,8.0,6.0,10.0,2.0,5.0,26.0,10.0,12.0,3.0,7.0,3.0,,4.0,18.0,2.0,2.0,40.0,7.0,8.0,11.0,22.0,8.0,30.0,4.0,3.0,2.0,6.0,10.0,4.0,,1.0,16.0,,60.0,26.0,19.0,0.8,0.45454545454545453,,0.4,0.45454545454545453,0.5588235294117647,0.6,0.5888888888888889,0.5,0.6,0.6415094339622641,0.6666666666666666,0.6842105263157895,0.24444444444444444,,,,0.4,0.9166666666666666,0.4666666666666667,0.7272727272727273,0.8260869565217391,0.38095238095238093,0.5714285714285714,1.0,0.6666666666666666,1.0,0.7142857142857143,0.13333333333333333,0.16666666666666666,0.2,0.17777777777777778,0.625,0.625,0.08888888888888889,0.5,0.5,1.0,0.15555555555555556,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.6666666666666666,,,,,0.4666666666666667,0.2,0.3333333333333333,0.13333333333333333,0.5,0.42857142857142855,0.54722,0.5181566666666667,0.11764705882352941,0.38235294117647056,24.536363636363635,0.35185185185185186,15.0,8.0,28.0,14.0,1.0,3.0,3.0,2.0,19.0,8.0,0.7368421052631579,0.7777777777777778,1.0,1.0,0.6,0.16,0.20512820512820512,13.0,,10.0,2.0,1.0,1.0,3.0,3.0,3.0,0.65,0.6842105263157895,0.7692307692307693,,,,5.0,0.7142857142857143,2.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.5,0.16666666666666666,0.16666666666666666,0.6,0.25,0.75,0.05263157894736842,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2014,2013-14,True
101114-101154-101187-1718-2733,1610612751,"Deron Williams, Andray Blatche, Alan Anderson, Paul Pierce, Shaun Livingston","Williams, Blatche, Anderson, Pierce, Livingston",101114-101154-101187-1718-2733,BKN,201.0,1,,7.0,6.0,,13.0,2.0,4.0,7.0,1.0,3.0,1.0,0.25,0.5,93.13432835820895,15.428571428571429,15.5,15.428571428571429,15.5,0.4,0.6,0.52043,7.825,3.0,2.0,,,,,1.0,1.0,1.0,,,,,,,1.0,1.0,,,,1.0,1.0,1.0,7.0,,,,,1.0,1.0,,,2.0,,3.0,,1.0,1.0,,1.0,2.0,1.0,,5.0,,2.0,1.0,3.0,,3.0,1.0,,,,1.0,1.0,,,2.0,,7.0,2.0,2.0,1.0,1.0,,,1.0,0.25,1.0,0.5,,1.0,0.5833333333333334,,1.0,0.2,,,,1.0,1.0,,1.0,1.0,,,,1.0,,1.0,0.2,,,0.2,1.0,1.0,,,,,0.2,1.0,1.0,1.0,,,,,,,,,,,1.0,,0.4173,,0.2857142857142857,24.9,0.2857142857142857,2.0,,2.0,1.0,,1.0,,1.0,2.0,1.0,1.0,1.0,,,1.0,0.16666666666666666,0.2,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2014,2013-14,True
101114-101154-101187-1891-1905,1610612751,"Deron Williams, Andray Blatche, Alan Anderson, Jason Terry, Andrei Kirilenko","Williams, Blatche, Anderson, Terry, Kirilenko",101114-101154-101187-1891-1905,BKN,42.0,1,2.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,68.57142857142857,18.0,24.0,18.0,22.0,1.0,1.0,0.5834,2.1,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,1.0,1.0,,,,,,1.0,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2014,2013-14,True
101114-101154-101187-1891-201572,1610612751,"Deron Williams, Andray Blatche, Alan Anderson, Jason Terry, Brook Lopez","Williams, Blatche, Anderson, Terry, Lopez",101114-101154-101187-1891-201572,BKN,234.0,1,1.0,8.0,7.0,,15.0,2.0,8.0,6.0,,3.0,,,,92.3076923076923,16.875,14.142857142857142,16.5,13.0,0.2222222222222222,0.3333333333333333,0.4712666666666666,7.6375,4.0,,3.0,2.0,,1.0,6.0,,,,,,,,,,1.0,,,,2.0,,1.0,7.0,2.0,,,5.0,,,,,,4.0,,,1.0,,,,,,,,3.0,1.0,1.0,2.0,3.0,5.0,,,,1.0,1.0,1.0,,,3.0,1.0,2.0,,,,,,,,0.25,,0.2222222222222222,0.5,,0.35,0.8333333333333334,,0.1111111111111111,,,,,0.3333333333333333,0.5,1.0,0.5,0.42857142857142855,,,0.5,,,0.6666666666666666,0.16666666666666666,0.16666666666666666,,,,,,,,0.1111111111111111,,,,1.0,,,,,,,,,,,0.6226,,0.7142857142857143,,24.6,,3.0,,,,,,,,3.0,2.0,,,,,,0.2,0.2222222222222222,1.0,,,,,,1.0,,,0.5,0.5,,,,,,,1.0,1.0,3.0,2.0,,,,,,,1.0,,1.0,1.0,,0.5,,,0.6,,1.0,,,0.5,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1610612751,2014,2013-14,True
