EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,OffPoss,DefPoss,TotalPoss,Arc3FGA,FG3A,OpponentPoints,NonHeaveArc3FGA,DefTwoPtRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg3ptShotDistance,Minutes,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,FG2M,FG2A,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,TwoPtAssists,Assists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,OffRebounds,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Charge Fouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,BlockedAtRim,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyCorner3Frequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,TwoPtShootingFoulsDrawn,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Travels,Charge Fouls Drawn,AtRimAssists,OffThreePtRebounds,DefThreePtRebounds,LostBallOutOfBoundsTurnovers,DefThreePtReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,AtRimPctAssisted,SecondChanceAtRimPctAssisted,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyArc3FGA,Loose Ball Fouls,DefCorner3ReboundPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,Corner3FGM,PenaltyCorner3FGM,SecondChanceArc3FGA,FG3M,SecondChanceFG3A,PenaltyFG3M,PenaltyFtPoints,PtsAssisted3s,Fg2aBlocked,ThreePtAssists,Corner3Assists,FTDefRebounds,2pt And 1 Free Throw Trips,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Accuracy,Arc3FGM,NonHeaveArc3FGM,Arc3Assists,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,Offensive Fouls Drawn,BlockingFoulsDrawn,BlockedLongMidRange,DefensiveGoaltends,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,BlockingFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFtPoints,FTOffRebounds,SelfOReb,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Offensive Fouls,Loose Ball Fouls Drawn,LiveBallTurnoverPct,OffFTReboundPct,SelfORebPct,Technical Free Throw Trips,3SecondViolations,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,OffCorner3ReboundPct,PenaltyArc3FGM,PtsUnassisted3s,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,HeaveAttempts,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Defensive 3 Seconds Violations,LongMidRangePctBlocked,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Corner3PctBlocked,Blocked3s,BlockedArc3,OffensiveGoaltends,BlockedCorner3,team_id,year,season,team_vs
101141-201196-201564-202688-203089,1610612749,"Ersan Ilyasova, Ramon Sessions, O.J. Mayo, Brandon Knight, John Henson","Ilyasova, Sessions, Mayo, Knight, Henson",101141-201196-201564-202688-203089,MIL,30.0,1,-1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,144.0,1.0,8.0,11.0,8.0,7.0,1.0,1.0,0.5319,25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2014,2013-14,False
101141-201196-201564-202874-203089,1610612749,"Ersan Ilyasova, Ramon Sessions, O.J. Mayo, Chris Wright, John Henson","Ilyasova, Sessions, Mayo, Wright, Henson",101141-201196-201564-202874-203089,MIL,311.0,1,2.0,10.0,8.0,18.0,1.0,2.0,11.0,1.0,2.0,2.0,3.0,2.0,5.0,1.0,,1.0,,0.2,0.4,0.4,,83.34405144694533,,12.5,23.25,11.9,21.625,0.1,0.4,0.43716999999999995,24.5,5.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,4.0,1.0,1.0,6.0,8.0,1.0,13.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,8.0,4.0,2.0,4.0,4.0,1.0,3.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,2.0,3.0,1.0,0.6666666666666666,0.8,0.75,1.0,1.0,0.6,1.0,0.5,0.5909090909090909,1.0,0.5,0.5,0.25,1.0,0.6666666666666666,0.2,0.5,0.5,0.2,1.0,1.0,0.5,0.4,0.75,0.75,1.0,0.1,0.5,1.0,0.5,0.41345,0.446375,0.3076923076923077,0.15384615384615385,11.3375,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2014,2013-14,False
101141-201196-201564-203089-203114,1610612749,"Ersan Ilyasova, Ramon Sessions, O.J. Mayo, John Henson, Khris Middleton","Ilyasova, Sessions, Mayo, Henson, Middleton",101141-201196-201564-203089-203114,MIL,102.0,2,-2.0,2.0,2.0,4.0,,,4.0,,,,,,,1.0,,1.0,,,,,,56.470588235294116,,19.0,32.0,19.0,19.5,,1.0,0.7182,,2.0,,,,,1.0,,,,,,,,,,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,1.0,2.0,,,,,,,,,,,,0.5,,,,,,,1.0,,,,,,,,,,,,,,,,,,,0.8,,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2014,2013-14,False
101141-201196-201564-203089-203507,1610612749,"Ersan Ilyasova, Ramon Sessions, O.J. Mayo, John Henson, Giannis Antetokounmpo","Ilyasova, Sessions, Mayo, Henson, Antetokounmpo",101141-201196-201564-203089-203507,MIL,48.0,2,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,60.0,,36.0,12.0,36.0,12.0,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,3.0,2.0,,,1.0,,1.0,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2014,2013-14,False
101141-201196-201564-203507-2585,1610612749,"Ersan Ilyasova, Ramon Sessions, O.J. Mayo, Giannis Antetokounmpo, Zaza Pachulia","Ilyasova, Sessions, Mayo, Antetokounmpo, Pachulia",101141-201196-201564-203507-2585,MIL,97.0,1,,3.0,2.0,5.0,1.0,1.0,2.0,1.0,,1.0,2.0,,,,,,,0.3333333333333333,,1.0,,74.22680412371133,,18.0,21.5,16.0,21.5,0.3333333333333333,0.6666666666666666,0.5841999999999999,25.4,2.0,,2.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,1.0,2.0,,2.0,1.0,1.0,2.0,,,,,2.0,,,1.0,1.0,,,2.0,,1.0,1.0,1.0,,,,,,,,,,,1.0,1.0,0.5,1.0,,0.3333333333333333,1.0,,0.3333333333333333,1.0,,,0.5,,,0.3333333333333333,1.0,1.0,,,,,0.3333333333333333,,,,,1.0,1.0,,,,1.0,,8.65,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2014,2013-14,False
101141-201196-202399-202688-203114,1610612749,"Ersan Ilyasova, Ramon Sessions, Jeff Adrien, Brandon Knight, Khris Middleton","Ilyasova, Sessions, Adrien, Knight, Middleton",101141-201196-202399-202688-203114,MIL,117.0,1,2.0,3.0,2.0,5.0,1.0,1.0,2.0,1.0,,1.0,2.0,,1.0,1.0,,1.0,,0.25,,0.3333333333333333,,61.53846153846154,,20.333333333333332,28.0,18.666666666666668,27.5,0.25,0.75,0.6053125,25.0,2.0,3.0,,1.0,1.0,2.0,,1.0,,,1.0,1.0,,,2.0,3.0,,4.0,,1.0,,2.0,3.0,1.0,4.0,2.0,2.0,,1.0,1.0,,1.0,2.0,,1.0,,,,,,,,1.0,4.0,4.0,3.0,,0.5,0.5,0.6666666666666666,,0.6666666666666666,0.5,,0.5,0.5,,0.5,,0.5,,,0.5,0.5,0.5,,,,,0.25,1.0,1.0,1.0,,1.0,,,,0.6053125,,1.0,5.233333333333333,1.0,,,,,,,1.0,1.0,,1.0,1.0,1.0,,,,1.0,2.0,1.0,1.0,1.0,0.5,0.5,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2014,2013-14,False
101141-201196-202688-203089-203114,1610612749,"Ersan Ilyasova, Ramon Sessions, Brandon Knight, John Henson, Khris Middleton","Ilyasova, Sessions, Knight, Henson, Middleton",101141-201196-202688-203089-203114,MIL,566.0,6,1.0,18.0,16.0,34.0,3.0,7.0,21.0,3.0,5.0,6.0,8.0,,2.0,1.0,,1.0,,0.3888888888888889,0.625,0.5,0.3333333333333333,86.5017667844523,,16.5,16.8125,15.444444444444445,14.375,0.16666666666666666,0.7222222222222222,0.5252111111111112,24.7,9.0,8.0,10.0,2.0,4.0,6.0,1.0,1.0,2.0,3.0,,2.0,4.0,2.0,6.0,11.0,4.0,22.0,1.0,1.0,2.0,1.0,4.0,4.0,7.0,6.0,6.0,,3.0,5.0,1.0,,12.0,2.0,2.0,,,,,3.0,5.0,1.0,1.0,20.0,5.0,7.0,1.0,0.5,0.5,0.5454545454545454,1.0,0.25,0.5,0.5,0.3125,0.55,0.5,0.3888888888888889,0.4,0.2,,1.0,0.3333333333333333,0.6666666666666666,0.8,0.16666666666666666,0.6666666666666666,1.0,0.5,0.1111111111111111,,,,0.2222222222222222,0.5,1.0,0.25,0.553575,0.50153125,0.09090909090909091,0.3181818181818182,6.572727272727272,0.4444444444444444,2.0,0.10526315789473684,0.16666666666666666,,,2.0,,,,,,,,0.5,,,2.0,2.0,,,0.25,,0.25,2.0,1.0,1.0,2.0,1.0,1.0,2.0,6.0,2.0,2.0,2.0,1.0,1.0,1.0,0.2857142857142857,0.25,0.2857142857142857,0.18181818181818182,0.16666666666666666,0.3333333333333333,1.0,0.5,1.0,0.75,0.5,0.5,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2014,2013-14,False
101141-201196-202688-203089-203489,1610612749,"Ersan Ilyasova, Ramon Sessions, Brandon Knight, John Henson, Nate Wolters","Ilyasova, Sessions, Knight, Henson, Wolters",101141-201196-202688-203089-203489,MIL,26.0,1,-3.0,,1.0,1.0,,,3.0,,,,,,,,,,,,,,,55.38461538461538,,,20.0,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2014,2013-14,False
101141-201196-202688-203089-203507,1610612749,"Ersan Ilyasova, Ramon Sessions, Brandon Knight, John Henson, Giannis Antetokounmpo","Ilyasova, Sessions, Knight, Henson, Antetokounmpo",101141-201196-202688-203089-203507,MIL,843.0,5,8.0,30.0,25.0,55.0,2.0,2.0,31.0,2.0,4.0,7.0,10.0,1.0,5.0,1.0,,1.0,1.0,0.08,0.8,0.7777777777777778,1.0,93.95017793594306,1.0,12.066666666666666,19.24,11.766666666666667,18.8,0.08,0.68,0.579808,25.3,14.0,1.0,3.0,3.0,12.0,15.0,2.0,2.0,,4.0,2.0,4.0,,,14.0,23.0,8.0,39.0,3.0,3.0,6.0,,1.0,,,14.0,14.0,4.0,7.0,8.0,,1.0,17.0,2.0,3.0,1.0,1.0,,,7.0,10.0,,,33.0,,1.0,1.0,0.5,0.5833333333333334,0.6086956521739131,1.0,,0.62,1.0,,0.65,1.0,,0.2222222222222222,0.3,,1.0,0.6,0.8,0.8,0.16,,,,0.16,0.5,0.5,0.5,,0.6666666666666666,1.0,,0.594,0.4302,0.15384615384615385,,5.078260869565217,0.03333333333333333,5.0,0.16666666666666666,0.17857142857142858,,,6.0,1.0,3.0,,0.75,1.0,1.0,0.6666666666666666,0.5,,,,,1.0,1.0,,,,,,,1.0,,,,3.0,1.0,1.0,,,,1.0,0.5,,0.5,0.043478260869565216,,0.25,,0.3333333333333333,0.25,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2014,2013-14,False
101141-201196-202688-203114-203507,1610612749,"Ersan Ilyasova, Ramon Sessions, Brandon Knight, Khris Middleton, Giannis Antetokounmpo","Ilyasova, Sessions, Knight, Middleton, Antetokounmpo",101141-201196-202688-203114-203507,MIL,116.0,3,2.0,6.0,6.0,12.0,,,6.0,,,1.0,1.0,1.0,3.0,,,,,,,0.3333333333333333,,148.9655172413793,,3.8333333333333335,15.5,3.8333333333333335,14.666666666666666,,1.0,0.74405,,2.0,6.0,5.0,,1.0,2.0,,,,,,,,,1.0,2.0,6.0,8.0,,,,1.0,2.0,,8.0,,2.0,,,,,,,,,,,,,5.0,8.0,4.0,,8.0,2.0,3.0,,,,0.5,,0.5,0.5,,0.5,0.6666666666666666,,0.6666666666666666,,,,,1.0,0.5,0.5,,,,,,,,,,,,,,0.74405,,1.0,1.25,1.0,,,,,,,,1.0,,1.0,,,1.0,,,1.0,2.0,,,,1.0,0.5,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2014,2013-14,False
