EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,ShortMidRangeFGA,FG2A,PenaltyFG2A,PenaltyOffPossExcludingTakeFouls,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,PenaltyOffPossPct,LongMidRangeFGA,LongMidRangeFrequency,PlusMinus,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,LongMidRangeFGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,FirstChancePoints,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg3ptShotDistance,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Offensive Fouls,LostBallSteals,PenaltyArc3FGM,PenaltyFG3M,FTDefRebounds,SelfOReb,PenaltyFg3Pct,DefFTReboundPct,DefCorner3ReboundPct,SelfORebPct,PenaltyArc3Accuracy,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Travels,PtsUnassisted3s,BlockedLongMidRange,BadPassOutOfBoundsTurnovers,HeaveAttempts,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,SecondChanceArc3Accuracy,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGA,LongMidRangePctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3FGM,Charge Fouls,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3PctAssisted,Blocked3s,BlockedArc3,StepOutOfBoundsTurnovers,OffensiveGoaltends,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Defensive 3 Seconds Violations,HeaveMakes,Corner3PctBlocked,DefensiveGoaltends,BlockedCorner3,team_id,year,season,team_vs
101109-1897-200745-202697-203143,1610612752,"Raymond Felton, Metta World Peace, Andrea Bargnani, Iman Shumpert, Pablo Prigioni","Felton, World Peace, Bargnani, Shumpert, Prigioni",101109-1897-200745-202697-203143,NYK,32.0,1,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,90.0,14.0,18.0,14.0,18.0,1.0,0.3913,0.3913,10.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2014,2013-14,False
101109-1897-200745-202697-203501,1610612752,"Raymond Felton, Metta World Peace, Andrea Bargnani, Iman Shumpert, Tim Hardaway Jr.","Felton, World Peace, Bargnani, Shumpert, Hardaway Jr.",101109-1897-200745-202697-203501,NYK,6.0,1,,1.0,,1.0,,1.0,,1.0,1.0,1.0,240.0,5.0,,5.0,,,0.1926,0.1926,20.6,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2014,2013-14,False
101109-1897-200745-202697-2546,1610612752,"Raymond Felton, Metta World Peace, Andrea Bargnani, Iman Shumpert, Carmelo Anthony","Felton, World Peace, Bargnani, Shumpert, Anthony",101109-1897-200745-202697-2546,NYK,1825.0,5,30.0,60.0,57.0,14.0,21.0,117.0,10.0,43.0,7.0,14.0,92.31780821917808,16.783333333333335,14.350877192982455,15.683333333333334,13.666666666666666,0.16129032258064516,0.5038903225806451,0.46122083333333336,9.96046511627907,0.23333333333333334,17.0,0.27419354838709675,-2.0,12.0,9.0,16.0,4.0,7.0,1.0,1.0,4.0,9.0,2.0,2.0,4.0,17.0,1.0,3.0,22.0,4.0,19.0,10.0,66.0,68.0,7.0,12.0,1.0,2.0,16.0,5.0,5.0,4.0,14.0,22.0,22.0,12.0,6.0,17.0,4.0,3.0,11.0,4.0,15.0,4.0,2.0,3.0,6.0,34.0,4.0,11.0,1.0,5.0,12.0,17.0,16.0,33.0,3.0,3.0,6.0,3.0,2.0,1.0,3.0,8.0,2.0,2.0,4.0,1.0,11.0,2.0,15.0,1.0,1.0,2.0,1.0,14.0,1.0,1.0,7.0,4.0,2.0,2.0,4.0,4.0,1.0,50.0,14.0,1.0,0.5,0.5789473684210527,1.0,0.21052631578947367,0.21052631578947367,0.5116279069767442,0.5833333333333334,0.7142857142857143,0.45161290322580644,0.5384615384615384,0.4166666666666667,0.4852941176470588,0.5714285714285714,0.5,0.3064516129032258,0.06976744186046512,0.125,0.1,0.75,0.3333333333333333,0.7058823529411765,0.5238095238095238,0.8333333333333334,0.26666666666666666,0.7391304347826086,0.4166666666666667,0.42857142857142855,0.5,0.625,0.23076923076923078,0.5,0.75,0.75,0.6,0.8333333333333334,1.0,0.25806451612903225,0.5625,0.6428571428571429,0.2222222222222222,0.4,0.4444444444444444,0.75,0.5294117647058824,0.5294117647058824,0.6666666666666666,0.03225806451612903,0.27419354838709675,0.23529411764705882,0.23529411764705882,1.0,0.5384615384615384,0.5714285714285714,0.25,0.07692307692307693,0.08333333333333333,1.0,0.16666666666666666,0.25,0.5645161290322581,0.23529411764705882,0.5299708333333334,0.10294117647058823,0.14285714285714285,0.24242424242424243,0.21212121212121213,25.594736842105263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2014,2013-14,False
101109-1897-200745-202697-2747,1610612752,"Raymond Felton, Metta World Peace, Andrea Bargnani, Iman Shumpert, JR Smith","Felton, World Peace, Bargnani, Shumpert, Smith",101109-1897-200745-202697-2747,NYK,27.0,1,,1.0,1.0,1.0,1.0,2.0,,,,1.0,106.66666666666666,3.0,24.0,3.0,23.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,39.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2014,2013-14,False
101109-1897-200745-202697-2757,1610612752,"Raymond Felton, Metta World Peace, Andrea Bargnani, Iman Shumpert, Beno Udrih","Felton, World Peace, Bargnani, Shumpert, Udrih",101109-1897-200745-202697-2757,NYK,89.0,1,1.0,2.0,2.0,,,4.0,,1.0,,,64.71910112359551,20.0,24.5,20.0,19.5,,0.473125,,15.0,,1.0,0.5,-5.0,,,,,,,,,,,,,1.0,,,,,1.0,,,5.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,0.5,,,,,,,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2014,2013-14,False
101109-1897-200745-2030-203501,1610612752,"Raymond Felton, Metta World Peace, Andrea Bargnani, Kenyon Martin, Tim Hardaway Jr.","Felton, World Peace, Bargnani, Martin, Hardaway Jr.",101109-1897-200745-2030-203501,NYK,83.0,1,1.0,2.0,2.0,,,4.0,,2.0,,,69.39759036144578,20.5,21.0,17.0,21.0,,0.5666666666666667,,8.65,,1.0,0.3333333333333333,2.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,,2.0,,1.0,,4.0,2.0,1.0,1.0,,,2.0,,,,,2.0,2.0,,,,,,1.0,,1.0,,,,1.0,2.0,1.0,,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,0.5,0.5,,,,1.0,1.0,,0.6666666666666666,1.0,,0.6666666666666666,1.0,,0.3333333333333333,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,1.0,,,,,0.3333333333333333,1.0,1.0,,,,,1.0,1.0,1.0,0.3333333333333333,,,,,1.0,1.0,,,,,,,0.6666666666666666,,,,,0.5,,23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2014,2013-14,False
101109-1897-200745-203501-2546,1610612752,"Raymond Felton, Metta World Peace, Andrea Bargnani, Tim Hardaway Jr., Carmelo Anthony","Felton, World Peace, Bargnani, Hardaway Jr., Anthony",101109-1897-200745-203501-2546,NYK,222.0,1,4.0,9.0,8.0,,8.0,17.0,,3.0,,,110.27027027027026,13.555555555555555,12.5,13.555555555555555,12.5,,0.5563875,,1.7333333333333334,,,,3.0,,2.0,3.0,,,,,,,1.0,,2.0,4.0,,,2.0,3.0,5.0,,13.0,10.0,,,,,,,,,,2.0,2.0,9.0,,4.0,2.0,,1.0,3.0,4.0,2.0,1.0,,,11.0,,,,1.0,1.0,2.0,,2.0,1.0,1.0,1.0,1.0,,,,1.0,,,2.0,,2.0,,,,,,,,,,,,,,,,,13.0,,,0.5,0.5,1.0,0.6,0.6,0.6666666666666666,,,0.8125,,,0.8125,,,0.625,,,,1.0,,1.0,,1.0,,1.0,,,,,,,1.0,,,1.0,,0.375,0.6666666666666666,0.6666666666666666,0.5,,,,,,,0.125,0.5,0.5,0.5,1.0,,,,,,,,,1.0,0.5,,,,,,24.82,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2014,2013-14,False
101109-1897-200745-203501-2747,1610612752,"Raymond Felton, Metta World Peace, Andrea Bargnani, Tim Hardaway Jr., JR Smith","Felton, World Peace, Bargnani, Hardaway Jr., Smith",101109-1897-200745-203501-2747,NYK,14.0,1,,1.0,,,,1.0,,,,,102.85714285714286,14.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2014,2013-14,False
101109-1897-200745-2199-2546,1610612752,"Raymond Felton, Metta World Peace, Andrea Bargnani, Tyson Chandler, Carmelo Anthony","Felton, World Peace, Bargnani, Chandler, Anthony",101109-1897-200745-2199-2546,NYK,435.0,1,7.0,15.0,14.0,,,29.0,5.0,10.0,,,96.0,14.466666666666667,15.571428571428571,14.466666666666667,15.071428571428571,0.45454545454545453,0.4455363636363636,,10.190000000000001,,3.0,0.2727272727272727,,,,2.0,,,,,2.0,1.0,,,1.0,1.0,,,3.0,1.0,1.0,2.0,11.0,11.0,,,,,,,,,,2.0,4.0,3.0,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,1.0,5.0,,,,2.0,4.0,6.0,,6.0,3.0,1.0,2.0,2.0,1.0,,,3.0,,,,,1.0,,1.0,,,,,2.0,,,1.0,2.0,2.0,,2.0,1.0,1.0,11.0,,,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.3,,,0.4090909090909091,,,0.4583333333333333,,,0.09090909090909091,0.1,0.5,,0.6666666666666666,,0.5714285714285714,,1.0,,0.6666666666666666,,,,,,,0.75,,0.3333333333333333,1.0,0.5,0.18181818181818182,,,,0.4,0.4,,0.3333333333333333,0.3333333333333333,1.0,,0.09090909090909091,1.0,1.0,1.0,,,,,,,,,0.2727272727272727,1.0,,0.08333333333333333,0.09090909090909091,,,25.3,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2014,2013-14,False
101109-1897-200745-2546-2747,1610612752,"Raymond Felton, Metta World Peace, Andrea Bargnani, Carmelo Anthony, JR Smith","Felton, World Peace, Bargnani, Anthony, Smith",101109-1897-200745-2546-2747,NYK,1390.0,5,23.0,41.0,43.0,3.0,15.0,84.0,8.0,25.0,2.0,3.0,87.02158273381295,17.70731707317073,15.44186046511628,17.195121951219512,14.372093023255815,0.20512820512820512,0.5320692307692307,0.5473875,5.932,0.07317073170731707,3.0,0.07692307692307693,-18.0,4.0,9.0,14.0,1.0,3.0,,2.0,2.0,1.0,4.0,,3.0,10.0,,2.0,12.0,3.0,14.0,3.0,36.0,54.0,2.0,5.0,,,4.0,,2.0,,3.0,10.0,14.0,9.0,2.0,10.0,3.0,,5.0,3.0,8.0,3.0,4.0,,1.0,19.0,4.0,1.0,,5.0,6.0,12.0,5.0,17.0,2.0,2.0,4.0,4.0,1.0,,,5.0,,1.0,4.0,,7.0,1.0,5.0,,,2.0,,4.0,,,2.0,2.0,1.0,1.0,2.0,1.0,,32.0,3.0,2.0,0.4166666666666667,0.45454545454545453,1.0,0.21428571428571427,0.21428571428571427,0.48,0.4,,0.4230769230769231,0.4,0.375,0.43902439024390244,0.4,0.375,0.358974358974359,,,,0.8,,0.6,0.07692307692307693,0.5555555555555556,0.36363636363636365,0.5789473684210527,0.20833333333333334,0.2,,,0.2857142857142857,0.5,0.4,0.75,1.0,0.4,0.5,0.358974358974359,0.6428571428571429,0.6428571428571429,0.4444444444444444,0.25,0.25,,0.3333333333333333,0.3333333333333333,1.0,0.10256410256410256,0.2564102564102564,0.3,0.3,1.0,0.6,0.3333333333333333,,,0.5,,,0.5,0.717948717948718,0.3,0.5274,0.04878048780487805,0.07407407407407407,0.1111111111111111,0.08333333333333333,24.642857142857142,,,,,,1.0,,1.0,1.0,1.0,1.0,0.5,1.0,0.75,0.041666666666666664,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2014,2013-14,False
