EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Travels,Turnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyDefPoss,Charge Fouls,2pt And 1 Free Throw Trips,OffShortMidRangeReboundPct,PenaltyOffPoss,Corner3FGA,PenaltyArc3FGA,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,ShortMidRangeAssists,OffThreePtRebounds,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,OffThreePtReboundPct,OffCorner3ReboundPct,ShortMidRangePctAssisted,Corner3Frequency,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,PtsUnassisted3s,Corner3Assists,BadPassSteals,SecondChanceTurnovers,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockedShortMidRange,DefensiveGoaltends,Defensive 3 Seconds Violations,SecondChanceFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,BadPassOutOfBoundsTurnovers,PenaltyAtRimFGA,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,OffArc3ReboundPct,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyArc3Accuracy,Technical Free Throw Trips,PenaltyAtRimFGM,StepOutOfBoundsTurnovers,PenaltyTurnovers,BlockingFouls,ShortMidRangePctBlocked,PenaltyAtRimAccuracy,OffensiveGoaltends,PenaltyCorner3FGM,HeaveAttempts,Fg3aBlocked,LostBallTurnovers,FG3APctBlocked,Arc3PctBlocked,SecondChanceAtRimPctAssisted,PenaltyCorner3Accuracy,BlockedLongMidRange,FTOffRebounds,OffFTReboundPct,LongMidRangePctBlocked,LostBallOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BlockingFoulsDrawn,Clear Path Fouls,HeaveMakes,3SecondViolations,Corner3PctBlocked,BlockedCorner3,team_id,year,season,team_vs
201177-201196-201229-201604-202687,1610612766,"Josh McRoberts, Ramon Sessions, Anthony Tolliver, Chris Douglas-Roberts, Bismack Biyombo","McRoberts, Sessions, Tolliver, Douglas-Roberts, Biyombo",201177-201196-201229-201604-202687,CHA,966.0,6,16.0,11.0,32.0,33.0,5.0,65.0,6.0,15.0,1.0,3.0,1.0,2.0,6.0,9.0,3.0,6.0,13.0,26.0,3.0,6.0,2.0,37.0,26.0,3.0,6.0,6.0,18.0,8.0,9.0,2.0,6.0,3.0,1.0,9.0,3.0,12.0,3.0,4.0,5.0,27.0,5.0,4.0,10.0,1.0,15.0,5.0,20.0,2.0,4.0,4.0,2.0,2.0,2.0,1.0,4.0,5.0,8.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,31.0,0.6923076923076923,0.75,1.0,0.5,0.5,0.5,0.5,0.546875,0.5,0.5606060606060606,0.5,0.1875,0.038461538461538464,0.06666666666666667,0.5,1.0,0.9090909090909091,0.38461538461538464,1.0,0.9333333333333333,0.3125,0.4444444444444444,0.3333333333333333,1.0,0.8,1.0,1.0,1.0,0.13333333333333333,96.89440993788818,1.0,13.90625,15.787878787878787,12.875,15.787878787878787,0.46875,0.4,0.42857142857142855,0.6666666666666666,0.0625,0.5,0.5,0.28125,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.1875,0.5,0.5,1.0,0.5,0.3333333333333333,0.65625,0.5,0.5413375,0.48456666666666665,0.030303030303030304,0.037037037037037035,0.16216216216216217,8.226923076923077,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2014,2013-14,True
201177-201196-201229-201604-202689,1610612766,"Josh McRoberts, Ramon Sessions, Anthony Tolliver, Chris Douglas-Roberts, Kemba Walker","McRoberts, Sessions, Tolliver, Douglas-Roberts, Walker",201177-201196-201229-201604-202689,CHA,24.0,1,,,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,,19.0,5.0,19.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2014,2013-14,True
201177-201196-201229-201604-2744,1610612766,"Josh McRoberts, Ramon Sessions, Anthony Tolliver, Chris Douglas-Roberts, Al Jefferson","McRoberts, Sessions, Tolliver, Douglas-Roberts, Jefferson",201177-201196-201229-201604-2744,CHA,429.0,5,7.0,,14.0,13.0,3.0,27.0,3.0,4.0,2.0,2.0,1.0,4.0,2.0,4.0,,2.0,6.0,12.0,,2.0,1.0,13.0,13.0,3.0,3.0,6.0,2.0,10.0,,4.0,2.0,,,1.0,,1.0,,,1.0,2.0,2.0,,4.0,2.0,6.0,2.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,3.0,4.0,,1.0,3.0,1.0,1.0,,,,,,,7.0,0.16666666666666666,0.25,,,,0.5,1.0,0.42857142857142855,1.0,0.4642857142857143,1.0,0.14285714285714285,,,0.5,1.0,0.6666666666666666,0.3333333333333333,,0.6666666666666666,0.25,1.0,,,0.75,1.0,,,0.125,90.62937062937063,,15.857142857142858,15.923076923076923,14.857142857142858,15.615384615384615,0.2857142857142857,0.75,0.75,,0.2857142857142857,0.25,0.25,0.2857142857142857,0.5,0.5,0.5,0.14285714285714285,,,,0.6666666666666666,1.0,0.42857142857142855,,0.45637857142857147,0.46226666666666666,0.07142857142857142,0.08333333333333333,0.46153846153846156,9.15,25.45,,,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2014,2013-14,True
201177-201196-201229-201945-202399,1610612766,"Josh McRoberts, Ramon Sessions, Anthony Tolliver, Gerald Henderson, Jeff Adrien","McRoberts, Sessions, Tolliver, Henderson, Adrien",201177-201196-201229-201945-202399,CHA,466.0,3,8.0,1.0,17.0,18.0,1.0,35.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,5.0,,2.0,6.0,10.0,,3.0,6.0,18.0,17.0,1.0,2.0,2.0,4.0,8.0,,2.0,2.0,,,2.0,,2.0,,,1.0,4.0,1.0,1.0,5.0,1.0,7.0,2.0,9.0,1.0,3.0,3.0,1.0,1.0,1.0,,2.0,3.0,5.0,1.0,1.0,5.0,8.0,3.0,2.0,,,2.0,2.0,2.0,16.0,0.3333333333333333,0.4,,,,0.6,0.5,0.46153846153846156,0.5,0.5294117647058824,0.5,0.23076923076923078,,,0.5,1.0,0.8333333333333334,0.25,1.0,0.8571428571428571,0.2857142857142857,,,1.0,,0.75,1.0,,0.14285714285714285,108.15450643776825,1.0,12.294117647058824,14.277777777777779,11.823529411764707,14.277777777777779,0.07692307692307693,1.0,1.0,,0.3076923076923077,0.5,0.5,0.38461538461538464,0.6,0.6,0.3333333333333333,0.15384615384615385,,,,0.5,1.0,0.3076923076923077,,0.4501538461538462,0.549,0.1875,0.23076923076923078,0.1111111111111111,12.969999999999999,24.566666666666666,4.0,,,0.5,3.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,0.5,0.6666666666666666,0.3333333333333333,1.0,0.5,0.07692307692307693,0.5,0.436975,0.2222222222222222,0.17647058823529413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2014,2013-14,True
201177-201196-201229-201945-202687,1610612766,"Josh McRoberts, Ramon Sessions, Anthony Tolliver, Gerald Henderson, Bismack Biyombo","McRoberts, Sessions, Tolliver, Henderson, Biyombo",201177-201196-201229-201945-202687,CHA,1576.0,11,26.0,-3.0,44.0,48.0,9.0,92.0,11.0,15.0,2.0,2.0,1.0,9.0,5.0,7.0,5.0,7.0,17.0,31.0,7.0,13.0,5.0,60.0,63.0,3.0,4.0,16.0,20.0,14.0,15.0,4.0,7.0,5.0,2.0,10.0,5.0,15.0,3.0,7.0,3.0,35.0,5.0,5.0,9.0,4.0,18.0,8.0,26.0,,1.0,,2.0,2.0,2.0,1.0,4.0,7.0,14.0,2.0,1.0,12.0,10.0,6.0,4.0,,,2.0,4.0,3.0,44.0,0.5882352941176471,0.6666666666666666,0.7142857142857143,0.5384615384615384,0.5384615384615384,0.5483870967741935,0.75,0.625,0.9375,0.625,0.8888888888888888,0.29545454545454547,0.06451612903225806,0.13333333333333333,0.5,0.8,0.8181818181818182,0.35714285714285715,0.7142857142857143,0.7777777777777778,0.4,0.25,0.5,1.0,0.6666666666666666,0.8,0.8,0.5,,84.06091370558376,0.75,17.227272727272727,17.041666666666668,15.295454545454545,15.770833333333334,0.3409090909090909,0.7333333333333333,0.8461538461538461,0.6363636363636364,0.20454545454545456,0.1111111111111111,0.1111111111111111,0.1590909090909091,0.7142857142857143,0.7142857142857143,0.6,0.1590909090909091,0.7142857142857143,0.7142857142857143,0.6,0.25,1.0,0.6363636363636364,0.7142857142857143,0.5305806818181819,0.53144,0.125,0.17142857142857143,0.26666666666666666,7.04516129032258,24.592307692307692,4.0,,2.0,0.375,,6.0,,,,,,,,3.0,,,,1.0,,,,,0.5,0.75,,0.13636363636363635,,,,,2.0,1.0,2.0,2.0,2.0,3.0,4.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.75,0.3333333333333333,0.3333333333333333,1.0,0.25,0.5,1.0,0.25,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2014,2013-14,True
201177-201196-201229-201945-202689,1610612766,"Josh McRoberts, Ramon Sessions, Anthony Tolliver, Gerald Henderson, Kemba Walker","McRoberts, Sessions, Tolliver, Henderson, Walker",201177-201196-201229-201945-202689,CHA,92.0,1,2.0,4.0,3.0,3.0,,6.0,1.0,1.0,,,1.0,1.0,,,,,2.0,2.0,,,,4.0,,,,,,4.0,,,,,,,,,,,,,,2.0,1.0,,3.0,,3.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,4.0,,,,,,1.0,,1.0,,1.0,,,,,,,1.0,,1.0,1.0,,,,1.0,,,1.0,1.0,,93.91304347826086,,7.0,23.666666666666668,7.0,23.666666666666668,0.5,1.0,1.0,,0.5,1.0,1.0,,,,,,,,,,,0.5,,0.58225,,,,,3.2,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2014,2013-14,True
201177-201196-201229-201945-203077,1610612766,"Josh McRoberts, Ramon Sessions, Anthony Tolliver, Gerald Henderson, Michael Kidd-Gilchrist","McRoberts, Sessions, Tolliver, Henderson, Kidd-Gilchrist",201177-201196-201229-201945-203077,CHA,111.0,3,2.0,-2.0,5.0,6.0,1.0,11.0,,2.0,,1.0,,,,,1.0,3.0,,2.0,1.0,4.0,2.0,5.0,7.0,,1.0,,,,,,3.0,1.0,1.0,,,,,,,,1.0,1.0,,1.0,2.0,2.0,4.0,,,,,,,,,,4.0,,,1.0,2.0,1.0,,,,,,,5.0,,,,0.25,0.25,,,0.25,,0.35714285714285715,,0.6666666666666666,0.5,0.5,,1.0,,0.5,1.0,1.0,0.4,0.5,,,,,1.0,,,142.7027027027027,,11.6,8.833333333333334,9.2,8.833333333333334,0.3333333333333333,,,,,,,,,,,0.5,0.3333333333333333,0.3333333333333333,,0.5,,1.0,0.3333333333333333,0.40475833333333333,0.43965,0.14285714285714285,0.3333333333333333,,1.35,27.225,3.0,,,,5.0,1.0,3.0,,2.0,4.0,2.0,5.0,,1.0,,5.0,5.0,,,,0.25,0.35714285714285715,0.3333333333333333,,,0.16666666666666666,0.5,0.40475833333333333,1.0,1.0,,,,,1.0,,1.0,,3.0,,,,,,,,,,,,,,,,,0.5,,,,2.0,1.0,1.0,1.0,0.25,0.5,0.3333333333333333,0.16666666666666666,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2014,2013-14,True
201177-201196-201229-201945-203106,1610612766,"Josh McRoberts, Ramon Sessions, Anthony Tolliver, Gerald Henderson, Jeffery Taylor","McRoberts, Sessions, Tolliver, Henderson, Taylor",201177-201196-201229-201945-203106,CHA,479.0,1,8.0,-2.0,14.0,14.0,2.0,28.0,3.0,7.0,1.0,1.0,,,2.0,2.0,1.0,2.0,5.0,9.0,1.0,4.0,2.0,15.0,17.0,1.0,1.0,2.0,4.0,6.0,3.0,2.0,2.0,1.0,,2.0,1.0,3.0,1.0,2.0,,7.0,1.0,,3.0,2.0,5.0,2.0,7.0,1.0,1.0,,,,3.0,,3.0,2.0,6.0,1.0,2.0,2.0,2.0,1.0,1.0,,,1.0,1.0,1.0,13.0,0.4,0.5,1.0,0.25,0.25,0.5555555555555556,1.0,0.5,0.5,0.5384615384615384,0.5,0.3076923076923077,,,,1.0,1.0,0.25,,0.75,0.2857142857142857,0.25,,1.0,,1.0,,,0.14285714285714285,84.17536534446764,1.0,14.857142857142858,19.357142857142858,14.0,19.071428571428573,0.5384615384615384,0.42857142857142855,0.42857142857142855,0.6666666666666666,,,,0.15384615384615385,1.0,1.0,,0.15384615384615385,0.5,0.5,1.0,0.5,1.0,0.8461538461538461,0.5,0.6106692307692307,0.639,0.07692307692307693,0.1111111111111111,0.13333333333333333,4.544444444444444,24.375,1.0,,1.0,,,2.0,,,,,,,,1.0,,,,,,,,,0.3333333333333333,,,0.15384615384615385,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,0.5,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2014,2013-14,True
201177-201196-201229-201945-2744,1610612766,"Josh McRoberts, Ramon Sessions, Anthony Tolliver, Gerald Henderson, Al Jefferson","McRoberts, Sessions, Tolliver, Henderson, Jefferson",201177-201196-201229-201945-2744,CHA,2904.0,22,48.0,7.0,96.0,87.0,7.0,183.0,14.0,20.0,3.0,4.0,10.0,17.0,10.0,23.0,4.0,17.0,34.0,60.0,4.0,25.0,16.0,96.0,89.0,3.0,5.0,8.0,28.0,40.0,12.0,6.0,17.0,4.0,4.0,14.0,4.0,18.0,4.0,2.0,5.0,40.0,5.0,7.0,22.0,4.0,33.0,7.0,40.0,,5.0,1.0,4.0,4.0,4.0,1.0,8.0,11.0,23.0,2.0,,18.0,19.0,8.0,3.0,,,2.0,3.0,2.0,88.0,0.4117647058823529,0.45161290322580644,1.0,0.16,0.16,0.5666666666666667,0.6,0.47058823529411764,0.5,0.5106382978723404,0.5714285714285714,0.29411764705882354,0.06666666666666667,0.15,0.5,1.0,0.8148148148148148,0.2,0.875,0.8285714285714286,0.15555555555555556,0.3333333333333333,0.08333333333333333,0.7142857142857143,0.75,0.9166666666666666,1.0,0.5,,90.74380165289257,0.6666666666666666,14.854166666666666,16.988505747126435,14.385416666666666,16.655172413793103,0.23529411764705882,0.7,0.8235294117647058,0.14285714285714285,0.2,0.5882352941176471,0.625,0.27058823529411763,0.43478260869565216,0.43478260869565216,0.5,0.2,0.23529411764705882,0.23529411764705882,1.0,0.6666666666666666,0.75,0.5294117647058824,0.23529411764705882,0.47995117647058827,0.5393,0.08695652173913043,0.11940298507462686,0.08333333333333333,9.856666666666666,24.764,19.0,,1.0,0.2857142857142857,39.0,8.0,9.0,12.0,24.0,13.0,7.0,34.0,7.0,2.0,2.0,32.0,38.0,1.0,1.0,0.5,0.36486486486486486,0.4146341463414634,0.1,0.125,0.7,0.09411764705882353,0.24324324324324326,0.48642432432432436,0.3541666666666667,0.40625,,,1.0,,,,1.0,2.0,,,4.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0.16666666666666666,,,,,,1.0,10.0,4.0,1.0,1.0,0.07692307692307693,0.08333333333333333,0.2702702702702703,0.10810810810810811,0.1111111111111111,,5.0,1.0,2.0,1.0,0.058823529411764705,0.5,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2014,2013-14,True
201177-201196-201229-202399-2732,1610612766,"Josh McRoberts, Ramon Sessions, Anthony Tolliver, Jeff Adrien, Ben Gordon","McRoberts, Sessions, Tolliver, Adrien, Gordon",201177-201196-201229-202399-2732,CHA,284.0,1,5.0,-5.0,10.0,11.0,1.0,21.0,,5.0,,2.0,,1.0,,1.0,1.0,1.0,,7.0,1.0,2.0,1.0,4.0,9.0,,2.0,,,,3.0,,1.0,1.0,2.0,,1.0,1.0,1.0,,,3.0,2.0,1.0,5.0,1.0,7.0,2.0,9.0,1.0,,,1.0,1.0,2.0,1.0,3.0,2.0,3.0,,,2.0,2.0,1.0,1.0,,,1.0,1.0,1.0,4.0,,,1.0,0.5,0.5,,,0.16666666666666666,,0.2,,0.2222222222222222,0.2857142857142857,0.4,0.3333333333333333,1.0,1.0,0.2857142857142857,1.0,1.0,0.25,0.4,,1.0,1.0,1.0,1.0,,0.16666666666666666,106.47887323943662,1.0,15.2,12.0,14.9,12.0,0.5555555555555556,,,,0.1111111111111111,,,0.1111111111111111,,,,0.1111111111111111,1.0,1.0,1.0,1.0,,0.7777777777777778,1.0,0.535461111111111,0.6637,0.1,0.125,,4.257142857142857,24.85,,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1610612766,2014,2013-14,True
