EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,Points,OpponentPoints,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,FoulsDrawn,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,FG2M,FG2A,PtsUnassisted2s,PtsAssisted3s,Fg2aBlocked,ThreePtAssists,Assists,Corner3Assists,AssistPoints,Fouls,Offensive Fouls Drawn,Assisted3sPct,Fg2Pct,FG2APctBlocked,AtRimPctBlocked,DefArc3ReboundPct,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Avg2ptShotDistance,AtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,FtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,TwoPtShootingFoulsDrawn,PenaltyFg2Pct,AtRimAccuracy,UnblockedAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceOffPoss,SecondChanceFtPoints,SecondChancePoints,OffTwoPtRebounds,OffRebounds,Steals,BadPassSteals,SecondChanceTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,SecondChancePointsPct,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,Arc3Assists,FTOffRebounds,LostBallTurnovers,Blocked2s,BlockedShortMidRange,Blocks,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,SecondChanceEfgPct,OffFTReboundPct,OffLongMidRangeReboundPct,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceShotQualityAvg,PenaltyCorner3FGA,SecondChanceFG2A,OffThreePtRebounds,ShootingFouls,Offensive Fouls,OffThreePtReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,PenaltyCorner3Frequency,OffArc3ReboundPct,SecondChanceAtRimFGA,PtsAssisted2s,TwoPtAssists,AtRimAssists,LongMidRangeAssists,FTDefRebounds,LostBallSteals,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,Loose Ball Fouls,BlockedAtRim,RecoveredBlocks,Assisted2sPct,NonPutbacksAssisted2sPct,DefFTReboundPct,OffAtRimReboundPct,BlocksRecoveredPct,AtRimPctAssisted,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimFGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG2M,PtsPutbacks,Fg3aBlocked,ShortMidRangeAssists,SelfOReb,SecondChanceTurnovers,BlockingFouls,Loose Ball Fouls Drawn,BlockingFoulsDrawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,SecondChanceFg2Pct,FG3APctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,SelfORebPct,ShortMidRangePctAssisted,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,Charge Fouls,PenaltyCorner3FGM,PenaltyCorner3Accuracy,Travels,Clear Path Fouls,Blocked3s,BlockedCorner3,DefensiveGoaltends,HeaveAttempts,3SecondViolations,SecondChanceAtRimPctAssisted,Charge Fouls Drawn,Corner3PctBlocked,BlockedLongMidRange,BlockedArc3,StepOutOfBoundsTurnovers,LongMidRangePctBlocked,team_id,year,season,team_vs
1740-201596-201962-2547-2548,1610612748,"Rashard Lewis, Mario Chalmers, Toney Douglas, Chris Bosh, Dwyane Wade","Lewis, Chalmers, Douglas, Bosh, Wade",1740-201596-201962-2547-2548,MIA,127.0,1,2.0,1.0,3.0,3.0,3.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.5,1.5,0.75,0.75,1.0,0.5,0.5,1.0,0.6666666666666666,1.0,1.0,68.03149606299212,18.333333333333332,24.0,18.333333333333332,19.666666666666668,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.40995,0.40995,1.0,26.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2014,2013-14,True
1740-201596-201962-2547-951,1610612748,"Rashard Lewis, Mario Chalmers, Toney Douglas, Chris Bosh, Ray Allen","Lewis, Chalmers, Douglas, Bosh, Allen",1740-201596-201962-2547-951,MIA,13.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2014,2013-14,True
1740-201596-202708-2544-2547,1610612748,"Rashard Lewis, Mario Chalmers, Norris Cole, LeBron James, Chris Bosh","Lewis, Chalmers, Cole, James, Bosh",1740-201596-202708-2544-2547,MIA,265.0,2,4.0,-1.0,8.0,7.0,,15.0,,2.0,,,1.0,3.0,7.0,8.0,,,,,2.0,,1.0,,1.0,1.0,,,,,,2.0,,,7.0,,,,0.3333333333333333,,0.3333333333333333,0.4375,,0.4375,,0.375,,,1.0,1.0,,,81.50943396226414,20.125,14.857142857142858,20.125,14.857142857142858,0.25,,,,,0.75,,0.519725,,,25.0,,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,4.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.4,0.2,0.3333333333333333,1.0,0.375,0.125,1.0,1.0,0.125,1.0,1.0,0.125,1.0,1.0,1.0,7.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2014,2013-14,True
1740-201596-202708-2544-2617,1610612748,"Rashard Lewis, Mario Chalmers, Norris Cole, LeBron James, Udonis Haslem","Lewis, Chalmers, Cole, James, Haslem",1740-201596-202708-2544-2617,MIA,45.0,1,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,3.0,2.0,,,3.0,,,,,,,,,,,,,1.0,2.0,,3.0,3.0,1.0,,,,,1.0,1.0,0.75,0.75,,,,,,,,64.0,25.0,20.0,25.0,20.0,,,,,,1.0,,0.5018,0.5018,1.0,,1.0,1.0,1.0,,,,,,,1.0,1.0,2.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2014,2013-14,True
1740-201596-202708-2547-2548,1610612748,"Rashard Lewis, Mario Chalmers, Norris Cole, Chris Bosh, Dwyane Wade","Lewis, Chalmers, Cole, Bosh, Wade",1740-201596-202708-2547-2548,MIA,193.0,1,3.0,2.0,6.0,5.0,2.0,11.0,,,,,,,7.0,5.0,,,3.0,,,,1.0,1.0,2.0,3.0,,,,,,2.0,2.0,,6.0,3.0,2.0,,,,,0.5,0.5,0.5,0.5,,,1.0,1.0,1.0,,,82.07253886010362,16.0,19.4,16.0,19.4,,,,,,0.16666666666666666,,0.4417333333333333,0.505,0.42857142857142855,,0.3333333333333333,,1.0,2.0,4.0,,1.0,,,3.0,6.0,6.0,,,,,,,2.0,,,0.5,,,1.0,0.16666666666666666,0.6666666666666666,0.5,0.5,0.16666666666666666,,,,,,,10.299999999999999,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.14285714285714285,0.14285714285714285,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,0.5,1.0,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2014,2013-14,True
1740-201596-2203-2544-951,1610612748,"Rashard Lewis, Mario Chalmers, Shane Battier, LeBron James, Ray Allen","Lewis, Chalmers, Battier, James, Allen",1740-201596-2203-2544-951,MIA,141.0,1,2.0,,4.0,4.0,4.0,8.0,1.0,2.0,1.0,2.0,1.0,2.0,5.0,5.0,1.0,2.0,5.0,,2.0,1.0,1.0,,1.0,3.0,1.0,,,1.0,1.0,2.0,4.0,2.0,,5.0,4.0,2.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6666666666666666,1.0,,1.0,0.5,,,81.70212765957446,18.0,17.25,16.5,16.25,0.6666666666666666,0.5,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5,0.39080000000000004,0.39080000000000004,1.0,25.9,1.0,4.0,,,,,1.0,,,,1.0,,3.0,,1.0,1.0,,3.0,1.0,,1.0,,,,1.0,,,,,0.3333333333333333,,,,,,,20.3,,,,2.0,,1.0,2.0,,,,,,,,,2.0,2.0,5.0,1.0,2.0,,,1.25,1.0,0.5,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,0.4932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2014,2013-14,True
1740-201596-2365-2544-2548,1610612748,"Rashard Lewis, Mario Chalmers, Chris Andersen, LeBron James, Dwyane Wade","Lewis, Chalmers, Andersen, James, Wade",1740-201596-2365-2544-2548,MIA,229.0,2,4.0,2.0,7.0,7.0,4.0,14.0,2.0,3.0,,1.0,2.0,4.0,7.0,5.0,,2.0,1.0,,3.0,2.0,2.0,1.0,3.0,4.0,,,1.0,1.0,1.0,1.0,2.0,,7.0,1.0,4.0,,0.5,,0.5,0.5,,0.5,0.125,0.6666666666666666,,1.0,1.0,1.0,,,88.0349344978166,15.285714285714286,17.428571428571427,13.285714285714286,17.428571428571427,0.5,0.6666666666666666,0.6666666666666666,0.3333333333333333,,0.6666666666666666,0.6666666666666666,0.4414,0.41205,0.14285714285714285,26.925,0.5714285714285714,,,,2.0,,,,1.0,,2.0,,6.0,,2.0,2.0,,6.0,3.0,,1.0,,,,1.0,,0.3333333333333333,,,,,,0.16666666666666666,,,,6.75,,,,1.0,,1.0,1.0,1.0,,,,,,0.14285714285714285,0.3333333333333333,1.0,,,,1.0,1.0,1.0,,,0.3333333333333333,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2014,2013-14,True
1740-201596-2365-2544-2592,1610612748,"Rashard Lewis, Mario Chalmers, Chris Andersen, LeBron James, James Jones","Lewis, Chalmers, Andersen, James, Jones",1740-201596-2365-2544-2592,MIA,324.0,2,5.0,-1.0,7.0,8.0,5.0,15.0,2.0,5.0,2.0,5.0,2.0,5.0,8.0,9.0,2.0,5.0,7.0,,5.0,2.0,1.0,2.0,3.0,4.0,1.0,,,1.0,,3.0,4.0,1.0,8.0,7.0,5.0,1.0,0.4,0.4,0.4,0.6,0.6,0.5714285714285714,0.5833333333333334,1.0,1.0,0.6666666666666666,0.25,0.42857142857142855,0.5,0.3333333333333333,66.66666666666666,17.714285714285715,25.0,17.714285714285715,20.375,1.0,0.4,0.4,1.0,0.4,1.0,0.4,0.50754,0.50754,0.875,25.32,0.7142857142857143,1.0,,,,,,,,,,,6.0,,2.0,2.0,,6.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,1.0,,,,,,0.16666666666666666,1.0,,,,,1.0,1.0,1.0,,,0.3333333333333333,,,,,,,,2.0,,1.0,,,,,,,,,1.0,,,,,,,1.0,1.0,,0.3333333333333333,,1.0,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2014,2013-14,True
1740-201596-2365-2544-951,1610612748,"Rashard Lewis, Mario Chalmers, Chris Andersen, LeBron James, Ray Allen","Lewis, Chalmers, Andersen, James, Allen",1740-201596-2365-2544-951,MIA,853.0,7,14.0,1.0,26.0,23.0,10.0,49.0,2.0,3.0,2.0,2.0,4.0,8.0,29.0,28.0,2.0,4.0,12.0,3.0,3.0,2.0,1.0,5.0,7.0,8.0,,,2.0,2.0,1.0,12.0,8.0,1.0,29.0,12.0,10.0,1.0,0.5,0.5,0.5,0.6,0.6666666666666666,0.6041666666666666,0.6666666666666666,0.4,,0.625,0.5,0.6,1.0,1.0,82.71981242672919,14.461538461538462,20.73913043478261,14.461538461538462,20.043478260869566,0.15,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,0.75,0.6666666666666666,0.5122325,0.4672,0.41379310344827586,23.75,0.38461538461538464,9.0,7.0,,2.0,2.0,3.0,2.0,5.0,6.0,12.0,2.0,9.0,1.0,3.0,8.0,1.0,19.0,9.0,2.0,0.75,0.5,0.08333333333333333,0.14285714285714285,,0.35,0.1,,,0.15,0.6666666666666666,0.6666666666666666,0.25,0.4,0.4,0.5,8.183333333333334,4.0,,1.0,5.0,1.0,2.0,4.0,3.0,0.5,0.5714285714285714,0.6666666666666666,0.16666666666666666,,0.13043478260869565,0.2,1.0,,,1.0,1.0,2.0,,,0.16666666666666666,0.1111111111111111,,1.0,,,,,,2.0,,,1.0,,1.0,,,,,,1.0,,,,0.6274,2.0,1.0,,4.0,,,,0.5,0.3333333333333333,,1.0,10.0,5.0,3.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,0.8333333333333334,0.8333333333333334,1.0,0.3333333333333333,1.0,0.75,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2014,2013-14,True
1740-201596-2544-2547-2548,1610612748,"Rashard Lewis, Mario Chalmers, LeBron James, Chris Bosh, Dwyane Wade","Lewis, Chalmers, James, Bosh, Wade",1740-201596-2544-2547-2548,MIA,5861.0,11,98.0,-15.0,173.0,177.0,9.0,350.0,11.0,27.0,1.0,2.0,16.0,38.0,182.0,197.0,1.0,2.0,9.0,12.0,27.0,11.0,27.0,35.0,67.0,85.0,18.0,13.0,13.0,31.0,1.0,38.0,36.0,,160.0,9.0,9.0,,0.42105263157894735,0.5,0.42105263157894735,0.5238095238095238,0.5,0.558641975308642,0.5,0.2585034013605442,0.5806451612903226,0.7954545454545454,0.9310344827586207,0.8493150684931506,0.625,0.875,85.99215150998123,17.53757225433526,15.971751412429379,16.68208092485549,15.64406779661017,0.1836734693877551,0.4074074074074074,0.4230769230769231,0.2222222222222222,0.5,0.5850340136054422,0.4074074074074074,0.5019336734693878,0.4814555555555555,0.04945054945054945,25.257894736842108,0.05202312138728324,13.0,48.0,16.0,40.0,9.0,21.0,5.0,11.0,53.0,109.0,60.0,36.0,6.0,12.0,35.0,5.0,82.0,41.0,2.0,0.75,0.48623853211009177,0.05504587155963303,0.08333333333333333,0.9523809523809523,0.32653061224489793,0.272108843537415,0.4,0.42105263157894735,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.07482993197278912,0.45454545454545453,0.45454545454545453,1.0,7.440366972477064,28.0,2.0,5.0,28.0,3.0,7.0,,18.0,0.42857142857142855,0.5833333333333334,0.6363636363636364,0.5555555555555556,0.4,0.11728395061728394,0.14634146341463414,18.0,2.0,22.0,13.0,18.0,18.0,9.0,0.6470588235294118,0.23636363636363636,0.23376623376623376,0.2916666666666667,0.9473684210526315,0.12087912087912088,1.0,2.0,2.0,3.0,7.0,,5.0,5.0,1.0,5.0,,0.6666666666666666,0.6666666666666666,,,0.6363636363636364,0.13333333333333333,0.5,1.0,0.5242749999999999,,12.0,5.0,17.0,8.0,0.22727272727272727,0.3333333333333333,0.7058823529411765,,0.1875,9.0,46.0,23.0,13.0,6.0,5.0,9.0,2.0,1.0,2.0,4.0,4.0,0.4339622641509434,0.4791666666666667,1.0,0.3157894736842105,0.8,0.4642857142857143,0.6666666666666666,0.6,6.0,1.0,1.0,7.0,10.0,1.0,4.0,2.0,2.0,2.0,3.0,2.0,4.0,1.0,1.0,0.5833333333333334,0.02631578947368421,0.05,0.037037037037037035,0.02857142857142857,0.25,0.6666666666666666,0.06666666666666667,1.0,1.0,0.02564102564102564,,,,,,,,,,,,,,,,,,1610612748,2014,2013-14,True
