EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PtsPutbacks,Fg2aBlocked,ShortMidRangeAssists,OffTwoPtRebounds,FTOffRebounds,FTDefRebounds,LostBallSteals,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Charge Fouls,Offensive Fouls,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,SecondChanceFg3Pct,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,OffFTReboundPct,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,ThreePtShootingFoulsDrawnPct,Corner3FGM,PenaltyCorner3FGM,Corner3Assists,StepOutOfBoundsTurnovers,Charge Fouls Drawn,BlockingFoulsDrawn,ShortMidRangePctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,BadPassOutOfBoundsTurnovers,3SecondViolations,PtsUnassisted3s,Fg3aBlocked,SelfOReb,Blocked3s,BlockedArc3,Defensive 3 Seconds Violations,FG3APctBlocked,Arc3PctBlocked,SelfORebPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,DefensiveGoaltends,OffensiveGoaltends,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,HeaveAttempts,Corner3PctBlocked,BlockedLongMidRange,LongMidRangePctBlocked,3pt And 1 Free Throw Trips,BlockedCorner3,team_id,year,season,team_vs
101145-101181-1713-1717-1890,1610612742,"Monta Ellis, Jose Calderon, Vince Carter, Dirk Nowitzki, Shawn Marion","Ellis, Calderon, Carter, Nowitzki, Marion",101145-101181-1713-1717-1890,DAL,1180.0,14,20.0,-32.0,40.0,51.0,24.0,47.0,1.0,91.0,7.0,7.0,1.0,1.0,5.0,9.0,1.0,1.0,3.0,9.0,3.0,5.0,12.0,16.0,3.0,10.0,12.0,45.0,77.0,1.0,1.0,1.0,3.0,2.0,5.0,3.0,6.0,9.0,22.0,14.0,10.0,9.0,9.0,3.0,7.0,3.0,10.0,3.0,5.0,2.0,23.0,1.0,4.0,7.0,11.0,1.0,12.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,4.0,3.0,2.0,1.0,19.0,1.0,12.0,1.0,1.0,20.0,2.0,3.0,8.0,42.0,21.0,23.0,11.0,3.0,0.5833333333333334,0.5833333333333334,1.0,0.3,0.5,0.3,0.75,1.0,0.4,0.6346153846153846,1.0,0.5909090909090909,0.6428571428571429,1.5,0.5789473684210527,0.38461538461538464,0.75,0.5833333333333334,0.8,0.14285714285714285,0.6470588235294118,0.09090909090909091,0.16666666666666666,1.0,0.6,0.8,111.05084745762711,13.45,12.588235294117647,13.35,12.235294117647058,0.2692307692307692,1.0,1.0,0.7142857142857143,0.34615384615384615,0.5555555555555556,0.5555555555555556,0.4,0.038461538461538464,0.34615384615384615,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,0.09090909090909091,0.45454545454545453,0.6,0.6538461538461539,0.3333333333333333,0.5296115384615384,0.4444545454545454,0.1111111111111111,0.17647058823529413,0.06666666666666667,0.4888888888888889,10.049999999999999,24.95,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2014,2013-14,True
101145-101181-1713-1717-201148,1610612742,"Monta Ellis, Jose Calderon, Vince Carter, Dirk Nowitzki, Brandan Wright","Ellis, Calderon, Carter, Nowitzki, Wright",101145-101181-1713-1717-201148,DAL,3278.0,41,55.0,-2.0,101.0,112.0,50.0,76.0,14.0,213.0,19.0,27.0,4.0,6.0,11.0,21.0,4.0,1.0,7.0,24.0,3.0,9.0,37.0,60.0,7.0,28.0,34.0,129.0,131.0,6.0,10.0,3.0,18.0,15.0,30.0,3.0,10.0,22.0,61.0,38.0,36.0,21.0,24.0,7.0,19.0,7.0,26.0,7.0,12.0,4.0,59.0,10.0,17.0,22.0,41.0,21.0,62.0,7.0,6.0,7.0,5.0,9.0,2.0,1.0,16.0,6.0,10.0,,30.0,1.0,27.0,2.0,1.0,43.0,2.0,11.0,9.0,111.0,53.0,46.0,6.0,4.0,0.5135135135135135,0.59375,1.0,0.25,0.3,0.25,0.6166666666666667,0.6,0.5,0.5397727272727273,0.5769230769230769,0.4875,0.5934579439252337,0.5666666666666667,0.5754716981132075,0.3181818181818182,0.4375,0.6875,0.8095238095238095,0.5263157894736842,0.7358490566037735,0.4878048780487805,0.5,0.7142857142857143,0.7777777777777778,0.7692307692307693,93.56924954240391,15.861386138613861,14.964285714285714,15.178217821782178,14.428571428571429,0.3068181818181818,0.7037037037037037,0.8636363636363636,0.631578947368421,0.23863636363636365,0.5238095238095238,0.5238095238095238,0.36363636363636365,0.045454545454545456,0.2727272727272727,0.2916666666666667,0.2916666666666667,1.0,0.46153846153846156,0.6666666666666666,,0.025,0.225,0.3333333333333333,0.625,0.2916666666666667,0.48679195402298847,0.4797025,0.12244897959183673,0.15942028985507245,0.13953488372093023,0.4728682170542636,9.153333333333332,25.300000000000004,0.49504950495049505,8.0,14.0,7.0,12.0,1.0,3.0,1.0,3.0,10.0,5.0,3.0,10.0,1.0,2.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,3.0,1.0,2.0,3.0,3.0,0.3333333333333333,0.08333333333333333,0.18518518518518517,1.0,0.2,0.45454545454545453,0.5,0.4,0.4444444444444444,0.6666666666666666,0.5555555555555556,0.875,1.0,0.13636363636363635,0.5833333333333334,0.5833333333333334,0.42857142857142855,0.23076923076923078,0.3333333333333333,1.0,0.35,0.5714285714285714,0.4640714285714286,0.034482758620689655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2014,2013-14,True
101145-101181-1713-1717-201961,1610612742,"Monta Ellis, Jose Calderon, Vince Carter, Dirk Nowitzki, Wayne Ellington","Ellis, Calderon, Carter, Nowitzki, Ellington",101145-101181-1713-1717-201961,DAL,17.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2014,2013-14,True
101145-101181-1713-1717-201971,1610612742,"Monta Ellis, Jose Calderon, Vince Carter, Dirk Nowitzki, DeJuan Blair","Ellis, Calderon, Carter, Nowitzki, Blair",101145-101181-1713-1717-201971,DAL,2333.0,34,39.0,-30.0,74.0,83.0,30.0,34.0,5.0,157.0,8.0,11.0,,,8.0,15.0,9.0,5.0,3.0,9.0,1.0,3.0,16.0,35.0,7.0,18.0,21.0,74.0,104.0,,2.0,4.0,4.0,5.0,9.0,4.0,8.0,14.0,36.0,18.0,14.0,21.0,9.0,3.0,9.0,7.0,16.0,3.0,4.0,5.0,39.0,3.0,7.0,13.0,22.0,5.0,27.0,7.0,4.0,7.0,4.0,2.0,3.0,,9.0,4.0,10.0,1.0,23.0,1.0,23.0,,,31.0,2.0,11.0,5.0,70.0,36.0,30.0,5.0,5.0,0.5625,0.5625,1.0,0.3888888888888889,0.5,0.3888888888888889,0.45714285714285713,,0.5555555555555556,0.5,,0.6470588235294118,0.5447761194029851,0.5,0.6923076923076923,0.33962264150943394,0.7777777777777778,0.6190476190476191,0.7,0.2727272727272727,0.6451612903225806,0.13793103448275862,0.16666666666666666,0.6666666666666666,0.7,0.7142857142857143,96.90527218174024,14.824324324324325,14.891566265060241,14.14864864864865,14.265060240963855,0.20754716981132076,0.7272727272727273,0.7272727272727273,0.5,0.2830188679245283,0.5333333333333333,0.5333333333333333,0.625,0.16981132075471697,0.16981132075471697,0.3333333333333333,0.3333333333333333,1.0,,,,0.29411764705882354,0.17647058823529413,0.3333333333333333,0.5471698113207547,0.3333333333333333,0.5011490566037736,0.5049705882352942,0.1774193548387097,0.25,0.05405405405405406,0.4864864864864865,9.728571428571428,24.244444444444447,0.40540540540540543,2.0,3.0,,9.0,,,,,,1.0,,1.0,1.0,2.0,3.0,,1.0,,,1.0,,3.0,2.0,1.0,3.0,1.0,,0.02857142857142857,,1.0,0.1,0.05555555555555555,0.3333333333333333,,,0.4,0.4,0.6666666666666666,0.3333333333333333,0.16981132075471697,,,,,,,0.17647058823529413,0.6666666666666666,0.4124,,4.0,3.0,4.0,1.0,1.0,3.0,0.1111111111111111,0.4444444444444444,0.4444444444444444,1.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2014,2013-14,True
101145-101181-1713-1717-203108,1610612742,"Monta Ellis, Jose Calderon, Vince Carter, Dirk Nowitzki, Bernard James","Ellis, Calderon, Carter, Nowitzki, James",101145-101181-1713-1717-203108,DAL,368.0,2,6.0,10.0,15.0,15.0,8.0,6.0,2.0,30.0,3.0,3.0,1.0,1.0,3.0,3.0,,,1.0,1.0,1.0,1.0,6.0,8.0,1.0,1.0,5.0,20.0,10.0,1.0,1.0,,2.0,2.0,3.0,1.0,1.0,5.0,12.0,6.0,6.0,3.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,2.0,9.0,,,6.0,6.0,1.0,7.0,1.0,1.0,2.0,1.0,2.0,1.0,,4.0,2.0,1.0,,3.0,,3.0,1.0,,6.0,,1.0,2.0,18.0,12.0,8.0,1.0,2.0,0.5,0.6,1.0,1.0,1.0,1.0,0.75,1.0,0.6666666666666666,0.8333333333333334,1.0,0.875,0.8333333333333334,1.0,0.8571428571428571,0.1111111111111111,0.5,1.0,,,1.0,0.5,,1.0,,,117.39130434782608,10.4,14.133333333333333,9.866666666666667,14.133333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6666666666666666,,0.1111111111111111,1.0,1.0,1.0,1.0,1.0,,,0.25,1.0,0.4444444444444444,1.0,0.5258888888888889,0.4977,0.1,0.1111111111111111,0.1,0.6,8.45,24.5,0.5333333333333333,1.0,1.0,,2.0,,,,,2.0,,,1.0,,,,,1.0,,,,,2.0,2.0,,2.0,2.0,,,,,,0.5,,0.5,,,1.0,,1.0,0.2222222222222222,,,,,,,0.25,1.0,0.5683,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1610612742,2014,2013-14,True
101145-101181-1713-1717-203109,1610612742,"Monta Ellis, Jose Calderon, Vince Carter, Dirk Nowitzki, Jae Crowder","Ellis, Calderon, Carter, Nowitzki, Crowder",101145-101181-1713-1717-203109,DAL,14.0,3,,-5.0,,3.0,,2.0,,3.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,308.57142857142856,,4.666666666666667,,4.666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2014,2013-14,True
101145-101181-1713-1717-203499,1610612742,"Monta Ellis, Jose Calderon, Vince Carter, Dirk Nowitzki, Shane Larkin","Ellis, Calderon, Carter, Nowitzki, Larkin",101145-101181-1713-1717-203499,DAL,6.0,1,,-2.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.0,,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2014,2013-14,True
101145-101181-1713-1717-2223,1610612742,"Monta Ellis, Jose Calderon, Vince Carter, Dirk Nowitzki, Samuel Dalembert","Ellis, Calderon, Carter, Nowitzki, Dalembert",101145-101181-1713-1717-2223,DAL,3632.0,36,61.0,-26.0,121.0,132.0,77.0,59.0,14.0,253.0,14.0,18.0,3.0,3.0,5.0,17.0,13.0,6.0,7.0,27.0,5.0,23.0,25.0,50.0,11.0,40.0,34.0,117.0,143.0,3.0,6.0,5.0,14.0,14.0,30.0,7.0,29.0,24.0,73.0,28.0,22.0,30.0,27.0,7.0,14.0,10.0,24.0,6.0,9.0,3.0,58.0,8.0,20.0,28.0,50.0,13.0,63.0,6.0,4.0,14.0,9.0,12.0,5.0,1.0,26.0,14.0,20.0,3.0,32.0,2.0,24.0,2.0,1.0,39.0,2.0,17.0,4.0,103.0,71.0,76.0,3.0,2.0,0.56,0.6086956521739131,0.9090909090909091,0.275,0.2413793103448276,0.275,0.5,0.5,0.4666666666666667,0.46111111111111114,0.6428571428571429,0.4152542372881356,0.536697247706422,0.7777777777777778,0.5069444444444444,0.4444444444444444,0.5384615384615384,0.7,0.8333333333333334,0.2962962962962963,0.75,0.23529411764705882,0.2222222222222222,0.7142857142857143,0.7692307692307693,0.7647058823529411,100.30837004405286,13.950413223140496,14.727272727272727,13.355371900826446,14.242424242424242,0.2,0.7777777777777778,0.9333333333333333,0.6428571428571429,0.18888888888888888,0.29411764705882354,0.29411764705882354,0.6,0.14444444444444443,0.3,0.25925925925925924,0.2692307692307692,0.8571428571428571,0.42857142857142855,1.0,,0.1016949152542373,0.3898305084745763,0.21739130434782608,0.6444444444444445,0.25925925925925924,0.5056348314606741,0.5129362068965517,0.1619047619047619,0.26153846153846155,0.11965811965811966,0.6239316239316239,9.532,24.9075,0.6363636363636364,9.0,12.0,6.0,15.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,4.0,1.0,2.0,2.0,,5.0,1.0,,,,8.0,4.0,4.0,9.0,6.0,1.0,0.06,0.16666666666666666,1.0,0.25,0.16666666666666666,0.25,0.3333333333333333,,0.4444444444444444,0.6153846153846154,1.0,0.6666666666666666,0.16666666666666666,0.4,0.4,0.3333333333333333,0.14285714285714285,1.0,1.0,0.2033898305084746,0.75,0.47475,,4.0,2.0,4.0,,,1.0,,0.3076923076923077,0.3076923076923077,1.0,0.3333333333333333,7.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.025,0.037037037037037035,0.02127659574468085,,,,,,,,,,,,,,1610612742,2014,2013-14,True
101145-101181-1713-1717-2734,1610612742,"Monta Ellis, Jose Calderon, Vince Carter, Dirk Nowitzki, Devin Harris","Ellis, Calderon, Carter, Nowitzki, Harris",101145-101181-1713-1717-2734,DAL,77.0,9,1.0,-5.0,2.0,5.0,1.0,5.0,,7.0,,,,,,,1.0,,,1.0,,1.0,,,1.0,2.0,,3.0,8.0,,,,,,,,1.0,,,,,3.0,1.0,,,1.0,1.0,,,,3.0,,1.0,1.0,2.0,,2.0,,,,,1.0,,,1.0,1.0,,,4.0,,,,,,,,,3.0,,1.0,1.0,,,,1.0,0.5,,0.5,,,,0.75,,,0.75,,,1.0,,1.0,0.5,,0.6666666666666666,,,,1.0,0.5,130.9090909090909,12.5,10.4,12.5,9.8,,,,,,,,,0.5,0.5,,,,,,,,1.0,,1.0,,0.55185,,,,,,,29.65,0.5,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2014,2013-14,True
101145-101181-1713-1890-201148,1610612742,"Monta Ellis, Jose Calderon, Vince Carter, Shawn Marion, Brandan Wright","Ellis, Calderon, Carter, Marion, Wright",101145-101181-1713-1890-201148,DAL,5849.0,43,97.0,36.0,191.0,190.0,51.0,45.0,23.0,381.0,44.0,67.0,9.0,17.0,15.0,32.0,14.0,4.0,10.0,28.0,4.0,11.0,69.0,128.0,19.0,42.0,45.0,240.0,204.0,11.0,21.0,4.0,35.0,19.0,35.0,6.0,15.0,12.0,68.0,60.0,78.0,48.0,28.0,10.0,30.0,16.0,46.0,7.0,22.0,6.0,108.0,1.0,17.0,46.0,67.0,27.0,94.0,22.0,13.0,6.0,4.0,19.0,2.0,2.0,25.0,5.0,12.0,1.0,39.0,2.0,47.0,2.0,1.0,60.0,12.0,33.0,,205.0,68.0,51.0,5.0,,0.43478260869565216,0.47619047619047616,0.8421052631578947,0.4523809523809524,0.4,0.4523809523809524,0.5390625,0.5238095238095238,0.5428571428571428,0.5735294117647058,0.5961538461538461,0.56,0.6171875,0.603448275862069,0.5982142857142857,0.24705882352941178,0.24,0.7540983606557377,0.6296296296296297,0.043478260869565216,0.7159090909090909,0.3170731707317073,,0.8461538461538461,0.7647058823529411,0.625,93.80064968370661,15.041884816753926,15.663157894736843,14.387434554973822,14.884210526315789,0.3941176470588235,0.6567164179104478,0.7096774193548387,0.5,0.18823529411764706,0.46875,0.46875,0.4,0.08235294117647059,0.16470588235294117,0.35714285714285715,0.35714285714285715,0.7,0.6538461538461539,0.5294117647058824,0.2222222222222222,0.08,0.22,0.36363636363636365,0.6411764705882353,0.35714285714285715,0.5238361764705882,0.494581,0.17708333333333334,0.2214765100671141,0.14583333333333334,0.2833333333333333,7.5578125,24.385714285714286,0.2670157068062827,12.0,18.0,10.0,29.0,1.0,3.0,3.0,5.0,12.0,6.0,2.0,25.0,1.0,4.0,9.0,3.0,1.0,3.0,5.0,3.0,1.0,3.0,1.0,2.0,4.0,2.0,0.6,0.046875,0.07462686567164178,1.0,0.1,0.423728813559322,0.5217391304347826,0.3684210526315789,0.35294117647058826,0.2,0.6111111111111112,0.6666666666666666,0.5,0.17058823529411765,0.3448275862068966,0.35714285714285715,0.2,0.11538461538461539,0.3333333333333333,1.0,0.36,0.6666666666666666,0.5603041666666667,0.023255813953488372,9.0,2.0,9.0,,1.0,2.0,0.034482758620689655,0.6428571428571429,0.6428571428571429,1.0,0.5,3.0,,9.0,,4.0,1.0,1.0,1.0,,,0.05263157894736842,2.0,2.0,1.0,1.0,0.07692307692307693,1.0,1.0,,,,,,,1610612742,2014,2013-14,True
