EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG2A,PtsAssisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,Arc3FGM,PenaltyArc3FGA,FG3M,FtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,LostBallTurnovers,ShootingFouls,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefAtRimReboundPct,DefCorner3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyOffPossPct,Corner3FGA,SecondChanceCorner3FGA,SecondChanceFG3A,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,BlockedShortMidRange,Corner3Frequency,SecondChanceCorner3Frequency,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG2M,SecondChanceFG3M,SecondChancePoints,PenaltyFG3M,PtsPutbacks,SecondChanceFg3Pct,PenaltyFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Accuracy,SecondChancePointsPct,SecondChanceFtPoints,PenaltyFtPoints,PtsUnassisted3s,PenaltyTurnovers,NonShootingPenaltyNonTakeFouls,Corner3FGM,PenaltyCorner3FGM,Corner3Assists,SelfOReb,ThreePtShootingFoulsDrawn,RecoveredBlocks,OffAtRimReboundPct,OffLongMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,FTDefRebounds,Charge Fouls Drawn,DefFTReboundPct,Fg2aBlocked,Travels,Loose Ball Fouls,NonShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedCorner3,BlockedLongMidRange,NonShootingPenaltyNonTakeFoulsDrawn,FG2APctBlocked,AtRimPctBlocked,LostBallOutOfBoundsTurnovers,ShortMidRangePctBlocked,LostBallSteals,LongMidRangeAssists,StepOutOfBoundsTurnovers,LongMidRangePctAssisted,DefensiveGoaltends,HeaveAttempts,SecondChanceCorner3FGM,Defensive 3 Seconds Violations,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,FTOffRebounds,OffFTReboundPct,Charge Fouls,3pt And 1 Free Throw Trips,LongMidRangePctBlocked,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,OffensiveGoaltends,Arc3PctBlocked,Clear Path Fouls,3SecondViolations,team_id,year,season,team_vs
101150-1627826-1628379-1629599-1629611,1610612746,"Lou Williams, Ivica Zubac, Luke Kennard, Amir Coffey, Terance Mann","Williams, Zubac, Kennard, Coffey, Mann",101150-1627826-1628379-1629599-1629611,LAC,419.0,2,7.0,-7.0,14.0,13.0,2.0,27.0,4.0,5.0,2.0,3.0,2.0,3.0,6.0,10.0,3.0,12.0,19.0,1.0,12.0,3.0,6.0,6.0,4.0,2.0,12.0,1.0,1.0,2.0,2.0,4.0,2.0,6.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,12.0,1.0,1.0,0.6,0.46153846153846156,0.46153846153846156,0.23076923076923078,0.6666666666666666,0.6666666666666666,0.25,1.0,0.3333333333333333,0.8,0.2857142857142857,1.0,0.3333333333333333,1.0,1.0,92.79236276849642,15.357142857142858,15.692307692307692,13.714285714285714,14.076923076923077,0.38461538461538464,0.8,0.8,1.0,0.23076923076923078,0.6666666666666666,0.6666666666666666,1.0,0.15384615384615385,0.23076923076923078,0.6153846153846154,0.5019076923076923,0.3827,7.83,27.366666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2021,2020-21,True
101150-1627826-1628379-1629599-201587,1610612746,"Lou Williams, Ivica Zubac, Luke Kennard, Amir Coffey, Nicolas Batum","Williams, Zubac, Kennard, Coffey, Batum",101150-1627826-1628379-1629599-201587,LAC,90.0,1,2.0,-2.0,2.0,2.0,,4.0,,,,1.0,1.0,,,2.0,,,2.0,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,1.0,,2.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,64.0,23.0,22.0,23.0,22.0,,,,,0.5,,,,0.5,,,0.4074,,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2021,2020-21,True
101150-1627826-1628379-1629599-202335,1610612746,"Lou Williams, Ivica Zubac, Luke Kennard, Amir Coffey, Patrick Patterson","Williams, Zubac, Kennard, Coffey, Patterson",101150-1627826-1628379-1629599-202335,LAC,433.0,1,7.0,-7.0,13.0,14.0,,27.0,2.0,3.0,1.0,1.0,1.0,4.0,4.0,5.0,4.0,13.0,20.0,,4.0,4.0,2.0,3.0,2.0,,7.0,,,2.0,2.0,4.0,,4.0,1.0,,1.0,2.0,,2.0,,4.0,,,,,13.0,0.5,0.5,0.8,0.6111111111111112,0.5909090909090909,0.4444444444444444,0.5,0.5,,1.0,,0.6666666666666666,,,,1.0,1.0,89.79214780600462,16.153846153846153,15.928571428571429,16.153846153846153,15.714285714285714,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.1111111111111111,1.0,1.0,,0.1111111111111111,0.4444444444444444,0.7777777777777778,0.4632,,6.540000000000001,26.475,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0,0.25,0.25,1.0,0.5,0.5,0.3333333333333333,1.0,1.0,1.0,0.25,0.25,1.0,0.5,1.0,0.5,0.25,0.354,0.18181818181818182,0.2857142857142857,0.15384615384615385,0.15384615384615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2021,2020-21,True
101150-1627826-1628379-1629599-202694,1610612746,"Lou Williams, Ivica Zubac, Luke Kennard, Amir Coffey, Marcus Morris Sr.","Williams, Zubac, Kennard, Coffey, Morris Sr.",101150-1627826-1628379-1629599-202694,LAC,249.0,2,4.0,10.0,9.0,8.0,1.0,17.0,4.0,4.0,1.0,1.0,1.0,2.0,6.0,6.0,4.0,16.0,6.0,,8.0,2.0,4.0,4.0,3.0,1.0,8.0,1.0,,3.0,1.0,4.0,1.0,5.0,,,,,,1.0,,4.0,,1.0,,1.0,16.0,0.6666666666666666,0.6666666666666666,1.0,0.6,0.75,0.4,,0.5,,0.75,0.25,0.6666666666666666,0.25,,0.5,0.5,,98.31325301204818,13.666666666666666,15.75,13.222222222222221,15.25,0.4,1.0,1.0,0.75,0.1,1.0,1.0,1.0,0.1,0.2,0.8,0.599035,,5.8,24.5,,1.0,,,1.0,,,,4.0,,,,,4.0,,,,,,,,,1.0,4.0,3.0,,,,,,,,,,0.75,1.0,1.0,,,,,,,,,0.3,0.5,,,2.0,1.0,1.0,1.0,3.0,1.0,1.0,0.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2021,2020-21,True
101150-1627826-1628379-1629611-201587,1610612746,"Lou Williams, Ivica Zubac, Luke Kennard, Terance Mann, Nicolas Batum","Williams, Zubac, Kennard, Mann, Batum",101150-1627826-1628379-1629611-201587,LAC,125.0,1,2.0,2.0,4.0,5.0,2.0,9.0,1.0,1.0,,2.0,,2.0,1.0,3.0,3.0,5.0,3.0,1.0,,2.0,,1.0,,,3.0,1.0,1.0,,2.0,2.0,2.0,4.0,,,,,,1.0,,,,,,,,,,0.3333333333333333,0.4166666666666667,0.4166666666666667,0.5,,1.0,0.5,,0.5,1.0,0.5,0.5,,,,103.67999999999999,14.25,13.6,11.75,13.6,0.16666666666666666,1.0,1.0,,0.3333333333333333,,,,,0.3333333333333333,0.6666666666666666,0.551875,0.7947,3.9,25.266666666666666,4.0,1.0,1.0,1.0,,1.0,2.0,1.0,,1.0,3.0,3.0,5.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,5.0,4.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.4166666666666667,,,,,0.5,0.5,1.0,0.16666666666666666,1.0,0.3333333333333333,0.5,0.551875,,,1.0,1.0,1.0,,1.0,,,,,0.16666666666666666,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,0.3333333333333333,1.0,1.25,1.25,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.16666666666666666,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2021,2020-21,True
101150-1627826-1628379-1629611-202331,1610612746,"Lou Williams, Ivica Zubac, Luke Kennard, Terance Mann, Paul George","Williams, Zubac, Kennard, Mann, George",101150-1627826-1628379-1629611-202331,LAC,464.0,3,8.0,3.0,17.0,16.0,1.0,33.0,2.0,3.0,4.0,4.0,,6.0,6.0,7.0,7.0,24.0,21.0,,10.0,6.0,5.0,6.0,2.0,3.0,13.0,1.0,,,2.0,2.0,1.0,3.0,,,2.0,2.0,,3.0,,5.0,,,,,22.0,0.8333333333333334,0.8333333333333334,0.8571428571428571,0.6428571428571429,0.71875,0.5,,0.5,,,0.2,0.4,0.16666666666666666,,0.25,,,102.41379310344827,16.176470588235293,11.8125,15.882352941176471,11.6875,0.21428571428571427,0.6666666666666666,0.6666666666666666,1.0,0.2857142857142857,1.0,1.0,0.75,,0.42857142857142855,0.7142857142857143,0.5026464285714286,,6.314285714285715,24.957142857142856,6.0,1.0,,,,2.0,1.0,2.0,6.0,3.0,3.0,1.0,8.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,,2.0,6.0,3.0,8.0,6.0,0.5,0.2857142857142857,0.2857142857142857,1.0,0.75,0.8,,,,,0.3333333333333333,0.3333333333333333,0.5,,,0.25,0.3333333333333333,0.40015,0.1875,0.3333333333333333,0.3333333333333333,0.35294117647058826,1.0,,,1.0,1.0,1.0,,0.07142857142857142,,,,,,,,,,2.0,,,,,,,1.0,,0.6666666666666666,,,,,,,,0.08333333333333333,2.0,2.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2021,2020-21,True
101150-1627826-1628379-1629611-202335,1610612746,"Lou Williams, Ivica Zubac, Luke Kennard, Terance Mann, Patrick Patterson","Williams, Zubac, Kennard, Mann, Patterson",101150-1627826-1628379-1629611-202335,LAC,61.0,1,1.0,3.0,3.0,2.0,,5.0,1.0,1.0,,1.0,,1.0,1.0,2.0,1.0,6.0,3.0,,2.0,1.0,1.0,2.0,1.0,,5.0,,,1.0,,1.0,,1.0,,,,,,,,1.0,,,,,6.0,1.0,1.0,0.5,0.8333333333333334,1.0,0.3333333333333333,,,,1.0,,1.0,,,,,,118.03278688524591,12.0,12.5,12.0,12.5,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,,,,,0.3333333333333333,0.6666666666666666,0.5185000000000001,,3.75,25.0,,,,,,1.0,,1.0,1.0,,,,,,3.0,1.0,1.0,1.0,,,,,,1.0,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,1.0,1.0,,,,1.0,,0.3333333333333333,0.5,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2021,2020-21,True
101150-1627826-1628379-1629611-202694,1610612746,"Lou Williams, Ivica Zubac, Luke Kennard, Terance Mann, Marcus Morris Sr.","Williams, Zubac, Kennard, Mann, Morris Sr.",101150-1627826-1628379-1629611-202694,LAC,885.0,4,15.0,13.0,30.0,32.0,5.0,62.0,8.0,11.0,1.0,3.0,3.0,9.0,9.0,17.0,10.0,48.0,35.0,4.0,10.0,9.0,5.0,10.0,4.0,1.0,25.0,1.0,4.0,2.0,10.0,12.0,5.0,17.0,2.0,,,2.0,,4.0,,8.0,,5.0,2.0,5.0,39.0,0.5555555555555556,0.7142857142857143,0.5294117647058824,0.6111111111111112,0.7121212121212122,0.37037037037037035,1.0,0.7142857142857143,0.5714285714285714,0.5,0.2,0.6666666666666666,0.4166666666666667,1.0,0.2,0.7142857142857143,,100.88135593220339,13.033333333333333,15.4375,12.566666666666666,13.78125,0.4074074074074074,0.7272727272727273,0.7272727272727273,0.5,0.1111111111111111,0.3333333333333333,0.3333333333333333,1.0,0.1111111111111111,0.3333333333333333,0.7777777777777778,0.5550777777777778,0.6619875,5.411764705882353,25.09,13.0,4.0,4.0,6.0,,4.0,4.0,5.0,15.0,5.0,8.0,5.0,24.0,8.0,15.0,4.0,5.0,4.0,1.0,1.0,,2.0,2.0,15.0,4.0,24.0,13.0,1.0,0.5,0.5,0.625,0.6153846153846154,0.75,0.6666666666666666,1.0,,,0.4444444444444444,0.4444444444444444,1.0,0.46153846153846156,0.6666666666666666,0.3076923076923077,0.4444444444444444,0.58215,0.18181818181818182,0.19047619047619047,0.5,0.43333333333333335,1.0,,1.0,1.0,,1.0,3.0,0.037037037037037035,,3.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,9.0,2.0,4.0,1.0,0.4,0.75,0.9,0.9,,0.75,0.8,0.75,0.2,1.0,1.0,0.07692307692307693,0.25,0.1875,,8.0,,,,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.3333333333333333,0.08333333333333333,0.4,1.0,1.0,1.0,0.3333333333333333,1.0,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2021,2020-21,True
101150-1627826-1628379-1629611-202695,1610612746,"Lou Williams, Ivica Zubac, Luke Kennard, Terance Mann, Kawhi Leonard","Williams, Zubac, Kennard, Mann, Leonard",101150-1627826-1628379-1629611-202695,LAC,325.0,2,5.0,,11.0,13.0,3.0,24.0,1.0,3.0,4.0,4.0,2.0,1.0,6.0,9.0,4.0,14.0,14.0,2.0,8.0,1.0,4.0,4.0,1.0,3.0,8.0,2.0,1.0,,3.0,5.0,3.0,8.0,,,,,,2.0,,3.0,,,,,10.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.46153846153846156,0.5,0.3076923076923077,,0.6,0.3333333333333333,,0.5,0.6,0.42857142857142855,,1.0,0.5,,106.33846153846153,14.090909090909092,13.076923076923077,13.727272727272727,12.307692307692308,0.23076923076923078,0.3333333333333333,0.3333333333333333,1.0,0.3076923076923077,1.0,1.0,0.75,0.15384615384615385,0.07692307692307693,0.5384615384615384,0.5012692307692308,0.7628,7.133333333333334,23.775,4.0,1.0,,,1.0,,,,2.0,2.0,2.0,2.0,6.0,4.0,,,,,1.0,1.0,,,2.0,2.0,1.0,6.0,4.0,,,,1.0,0.5,0.6,,,0.5,0.5,,,,,,,,0.4845875,0.07142857142857142,0.1,0.42857142857142855,0.36363636363636365,3.0,,,1.0,,,,0.23076923076923078,,,1.0,2.0,,,,1.0,,4.0,,,,,0.5,0.5,0.6666666666666666,0.3333333333333333,1.0,0.5,,,,,0.5,,0.2857142857142857,2.0,2.0,,,,,,,,,,,1.0,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2021,2020-21,True
101150-1627826-1628379-1629611-202704,1610612746,"Lou Williams, Ivica Zubac, Luke Kennard, Terance Mann, Reggie Jackson","Williams, Zubac, Kennard, Mann, Jackson",101150-1627826-1628379-1629611-202704,LAC,1153.0,4,19.0,-7.0,42.0,41.0,6.0,83.0,2.0,6.0,5.0,12.0,7.0,11.0,8.0,25.0,15.0,51.0,58.0,3.0,6.0,11.0,3.0,10.0,,3.0,27.0,2.0,4.0,3.0,10.0,13.0,6.0,19.0,2.0,1.0,1.0,3.0,1.0,6.0,,9.0,,3.0,,5.0,45.0,0.375,0.42857142857142855,0.32,0.5375,0.5555555555555556,0.375,0.6666666666666666,1.0,0.25,0.6,0.3333333333333333,0.8666666666666667,0.2727272727272727,0.14285714285714285,0.2,1.0,,103.66001734605378,13.571428571428571,14.21951219512195,13.333333333333334,13.902439024390244,0.15,0.3333333333333333,0.5,,0.3,0.4166666666666667,0.4166666666666667,0.6,0.175,0.275,0.525,0.5011062500000001,0.6447625,8.896,25.566666666666666,14.0,11.0,1.0,3.0,1.0,6.0,3.0,9.0,8.0,2.0,8.0,5.0,20.0,10.0,21.0,6.0,7.0,4.0,3.0,3.0,,1.0,3.0,11.0,2.0,20.0,14.0,0.7777777777777778,0.6,0.6,0.25,0.5,0.5588235294117647,,1.0,0.14285714285714285,0.14285714285714285,0.5454545454545454,0.5454545454545454,0.6666666666666666,0.23076923076923078,0.3333333333333333,0.23076923076923078,0.5454545454545454,0.5219884615384616,0.047619047619047616,0.07407407407407407,0.39215686274509803,0.3333333333333333,4.0,,1.0,,,1.0,2.0,0.1,,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,6.0,3.0,2.0,1.0,0.6,0.3333333333333333,0.625,0.6,1.0,1.0,0.5,0.5,0.25,1.0,1.0,0.15384615384615385,0.6666666666666666,0.11764705882352941,1.0,7.0,6.0,1.0,,3.0,1.0,3.0,,,4.0,0.3333333333333333,0.3333333333333333,,0.8,0.75,0.75,1.0,,0.5,,,,,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,0.08,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2021,2020-21,True
