EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG3A,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,OffTwoPtRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,FirstChancePoints,Fg3Pct,NonHeaveFg3Pct,EfgPct,TsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,LongMidRangeFGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,FTDefRebounds,DefRebounds,LiveBallTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,PenaltyTurnovers,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,PenaltyFg3Pct,Fg2Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PtsPutbacks,ShortMidRangeAssists,OffThreePtRebounds,BadPassTurnovers,Offensive Fouls Drawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffThreePtReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChancePointsPct,LongMidRangeFGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,LongMidRangeAssists,DefThreePtRebounds,Offensive Fouls,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,AtRimPctBlocked,DefThreePtReboundPct,OffAtRimReboundPct,DefCorner3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,2pt And 1 Free Throw Trips,DefArc3ReboundPct,Corner3FGM,SecondChanceCorner3FGM,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,Corner3Assists,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Loose Ball Fouls,Loose Ball Fouls Drawn,ThreePtShootingFoulsDrawn,DefensiveGoaltends,SecondChanceFg3Pct,OffCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,SelfOReb,Charge Fouls Drawn,Technical Free Throw Trips,OffensiveGoaltends,OffLongMidRangeReboundPct,SelfORebPct,SecondChanceArc3PctAssisted,3pt And 1 Free Throw Trips,BlockedLongMidRange,HeaveAttempts,Fg3aBlocked,Blocked3s,BlockedCorner3,Defensive 3 Seconds Violations,FG3APctBlocked,Arc3PctBlocked,StepOutOfBoundsTurnovers,Charge Fouls,Corner3PctBlocked,FTOffRebounds,OffFTReboundPct,team_id,year,season,team_vs
1626220-1627777-1628378-202324-203903,1610612762,"Royce O'Neale, Georges Niang, Donovan Mitchell, Derrick Favors, Jordan Clarkson","O'Neale, Niang, Mitchell, Favors, Clarkson",1626220-1627777-1628378-202324-203903,UTA,165.0,2,3.0,-8.0,5.0,5.0,1.0,10.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,3.0,11.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,0.2,0.2,0.25,0.25,0.8333333333333334,1.0,1.0,1.0,0.2,1.0,87.27272727272727,18.2,14.8,17.0,14.8,0.16666666666666666,0.8333333333333334,0.2,0.2,1.0,0.8333333333333334,0.2,0.5182833333333333,0.5052,6.3,25.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2021,2020-21,False
1626220-1627777-1628378-203497-203903,1610612762,"Royce O'Neale, Georges Niang, Donovan Mitchell, Rudy Gobert, Jordan Clarkson","O'Neale, Niang, Mitchell, Gobert, Clarkson",1626220-1627777-1628378-203497-203903,UTA,358.0,3,6.0,-3.0,12.0,13.0,,25.0,2.0,1.0,3.0,,4.0,1.0,3.0,10.0,13.0,,,3.0,1.0,,,,5.0,2.0,5.0,10.0,0.3333333333333333,0.3333333333333333,0.5,0.5555555555555556,0.42857142857142855,,,,,,100.55865921787709,13.0,15.538461538461538,13.0,15.23076923076923,0.2857142857142857,0.42857142857142855,0.3333333333333333,0.3333333333333333,,0.5714285714285714,0.3333333333333333,0.5016357142857143,,9.75,26.8,5.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,7.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,5.0,4.0,1.0,5.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,4.0,2.0,7.0,5.0,2.0,0.5,0.5,1.0,0.5,0.5,1.0,0.8333333333333334,0.875,0.6666666666666666,1.0,0.8,0.8,1.0,0.6666666666666666,0.14285714285714285,1.0,1.0,1.0,0.5,0.5,0.14285714285714285,1.0,0.3333333333333333,1.0,0.6666666666666666,0.5,0.5715166666666667,0.2222222222222222,0.3333333333333333,0.7,0.4166666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2021,2020-21,False
1626220-1627777-201144-202324-203903,1610612762,"Royce O'Neale, Georges Niang, Mike Conley, Derrick Favors, Jordan Clarkson","O'Neale, Niang, Conley, Favors, Clarkson",1626220-1627777-201144-202324-203903,UTA,251.0,1,4.0,1.0,9.0,9.0,2.0,18.0,4.0,1.0,2.0,,7.0,1.0,2.0,14.0,13.0,,,2.0,1.0,,1.0,2.0,4.0,,1.0,11.0,0.5,0.5,0.7222222222222222,0.7,0.2222222222222222,,,0.5,0.6666666666666666,0.5,103.26693227091633,16.0,11.88888888888889,16.0,11.555555555555555,0.4444444444444444,0.2222222222222222,0.5,0.5,,0.5555555555555556,0.5,0.5071055555555556,0.8403,5.114285714285714,26.2,3.0,9.0,3.0,3.0,1.0,1.0,2.0,,1.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,,5.0,6.0,4.0,3.0,3.0,1.0,4.0,1.0,2.0,9.0,2.0,,2.0,1.0,,,,1.0,,2.0,2.0,1.0,5.0,3.0,,0.6,0.75,1.0,1.0,0.7142857142857143,0.5,0.8333333333333334,0.8333333333333334,1.0,,0.6666666666666666,0.6666666666666666,0.5,,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5,0.5,,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.4918166666666666,0.1,0.125,0.35714285714285715,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.21428571428571427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2021,2020-21,False
1626220-1627777-202324-203903-204060,1610612762,"Royce O'Neale, Georges Niang, Derrick Favors, Jordan Clarkson, Joe Ingles","O'Neale, Niang, Favors, Clarkson, Ingles",1626220-1627777-202324-203903-204060,UTA,89.0,2,1.0,-2.0,3.0,4.0,,7.0,,1.0,2.0,,,1.0,2.0,3.0,5.0,,3.0,2.0,1.0,,,,1.0,1.0,1.0,3.0,0.5,0.5,0.75,0.5,1.0,,,,,,113.25842696629213,12.666666666666666,12.75,12.666666666666666,12.75,,1.0,0.5,0.5,,1.0,0.5,0.538575,,,25.5,2.0,2.0,,,,,,,1.0,2.0,,,,,1.0,2.0,,3.0,,,,,,,,,,1.0,,1.0,,,,,,,1.0,2.0,1.0,3.0,2.0,,,,,0.5,,,0.75,0.75,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,0.5,0.538575,0.3333333333333333,1.0,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2021,2020-21,False
1626220-1627777-203497-203903-204060,1610612762,"Royce O'Neale, Georges Niang, Rudy Gobert, Jordan Clarkson, Joe Ingles","O'Neale, Niang, Gobert, Clarkson, Ingles",1626220-1627777-203497-203903-204060,UTA,448.0,4,7.0,-5.0,15.0,15.0,1.0,30.0,1.0,3.0,7.0,,5.0,3.0,8.0,17.0,22.0,1.0,6.0,7.0,3.0,1.0,1.0,1.0,5.0,1.0,4.0,17.0,0.375,0.375,0.5769230769230769,0.6071428571428571,0.6153846153846154,0.2,,0.5,0.14285714285714285,,96.42857142857143,18.666666666666668,11.2,18.466666666666665,11.2,0.07692307692307693,0.5384615384615384,0.42857142857142855,0.42857142857142855,,0.8461538461538461,0.42857142857142855,0.47273076923076923,0.68625,7.4799999999999995,25.775,11.0,9.0,2.0,3.0,1.0,2.0,,1.0,2.0,5.0,3.0,2.0,2.0,4.0,2.0,6.0,2.0,12.0,4.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,7.0,3.0,,4.0,,2.0,,,2.0,1.0,3.0,2.0,,12.0,11.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6,0.5,0.5,0.5454545454545454,,,0.75,0.8,1.0,0.6666666666666666,0.23076923076923078,0.6666666666666666,1.0,0.5,,,0.07692307692307693,0.3333333333333333,0.2,0.5,0.5,0.4,0.46597999999999995,,,0.7058823529411765,0.7333333333333333,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.07692307692307693,1.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2021,2020-21,False
1626220-1628378-1629671-202711-203497,1610612762,"Royce O'Neale, Donovan Mitchell, Miye Oni, Bojan Bogdanovic, Rudy Gobert","O'Neale, Mitchell, Oni, Bogdanovic, Gobert",1626220-1628378-1629671-202711-203497,UTA,12.0,1,,-3.0,,1.0,,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,120.0,,11.0,,11.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2021,2020-21,False
1626220-1628378-201144-202324-202711,1610612762,"Royce O'Neale, Donovan Mitchell, Mike Conley, Derrick Favors, Bojan Bogdanovic","O'Neale, Mitchell, Conley, Favors, Bogdanovic",1626220-1628378-201144-202324-202711,UTA,138.0,2,2.0,5.0,4.0,5.0,,9.0,,,1.0,,3.0,,1.0,7.0,2.0,,,1.0,,,,,4.0,,1.0,7.0,,,0.75,0.875,0.25,,,,,,93.91304347826087,11.25,18.6,11.25,18.6,,0.25,,,,1.0,,0.6516875,,1.3666666666666665,25.4,,,3.0,3.0,,,,,,,3.0,1.0,,,,,,,4.0,2.0,,2.0,,2.0,,2.0,4.0,2.0,,4.0,,,,,,,2.0,1.0,1.0,,,,0.6666666666666666,0.6666666666666666,,,1.0,,,,,,1.0,1.0,,1.0,0.75,1.0,1.0,0.6666666666666666,,,,,,,,,,0.25,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2021,2020-21,False
1626220-1628378-201144-202711-203497,1610612762,"Royce O'Neale, Donovan Mitchell, Mike Conley, Bojan Bogdanovic, Rudy Gobert","O'Neale, Mitchell, Conley, Bogdanovic, Gobert",1626220-1628378-201144-202711-203497,UTA,3895.0,8,65.0,22.0,129.0,124.0,19.0,253.0,24.0,30.0,50.0,5.0,65.0,36.0,61.0,195.0,173.0,7.0,39.0,50.0,30.0,4.0,11.0,19.0,51.0,7.0,20.0,164.0,0.5901639344262295,0.5901639344262295,0.6904761904761905,0.7065217391304348,0.48412698412698413,0.06153846153846154,0.041666666666666664,0.3548387096774194,0.34545454545454546,0.47058823529411764,93.53530166880616,16.162790697674417,14.596774193548388,15.62015503875969,14.153225806451612,0.19047619047619047,0.3968253968253968,0.6,0.6,0.29411764705882354,0.7698412698412699,0.6,0.5303980158730159,0.60365,5.576923076923077,25.721311475409838,29.0,10.0,24.0,36.0,2.0,5.0,7.0,5.0,6.0,10.0,33.0,21.0,2.0,9.0,8.0,16.0,14.0,42.0,32.0,34.0,69.0,16.0,23.0,39.0,17.0,12.0,101.0,19.0,1.0,32.0,8.0,4.0,4.0,1.0,12.0,3.0,30.0,29.0,10.0,38.0,27.0,2.0,0.48484848484848486,0.5925925925925926,0.6388888888888888,0.5,0.5076923076923077,0.2222222222222222,0.56,0.6363636363636364,0.6666666666666666,1.0,0.6129032258064516,0.6595744680851063,0.5294117647058824,0.8,0.2857142857142857,0.6666666666666666,0.7272727272727273,0.5,0.2916666666666667,0.30434782608695654,0.03968253968253968,0.5666666666666667,0.2,0.4,0.4,0.6,0.530548,0.08270676691729323,0.14084507042253522,0.2153846153846154,0.2248062015503876,8.0,9.0,9.0,10.0,1.0,31.0,12.0,3.0,8.0,4.0,4.0,4.0,,4.0,4.0,3.0,0.9,0.8823529411764706,0.9117647058823529,0.3333333333333333,0.21052631578947367,0.6666666666666666,0.75,0.42857142857142855,0.5294117647058824,0.8888888888888888,0.15897435897435896,2.0,11.0,2.0,6.0,1.0,12.0,,5.0,3.0,0.08333333333333333,0.75,0.2727272727272727,0.75,0.4,0.4,0.5,0.0873015873015873,0.11764705882352941,0.24,4.0,0.75,6.0,2.0,2.0,2.0,4.0,6.0,8.0,5.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.5714285714285714,0.8,0.5454545454545454,0.5454545454545454,1.0,0.25,1.0,1.0,0.4,0.3333333333333333,0.016129032258064516,,,,,,,,,,,,,,,,,,,,,,1610612762,2021,2020-21,False
1626220-1628378-201144-203497-203903,1610612762,"Royce O'Neale, Donovan Mitchell, Mike Conley, Rudy Gobert, Jordan Clarkson","O'Neale, Mitchell, Conley, Gobert, Clarkson",1626220-1628378-201144-203497-203903,UTA,55.0,1,1.0,-1.0,2.0,2.0,1.0,4.0,,,,,,,1.0,2.0,3.0,,,,,,,1.0,2.0,,,2.0,,,,0.5,1.0,,,,1.0,,104.72727272727273,6.5,21.0,6.0,21.0,,,,,,1.0,,0.3954,,,23.3,1.0,2.0,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,2.0,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.3954,0.5,1.0,,0.5,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,1.0,,1.0,,1.0,,,,,1.0,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2021,2020-21,False
1626220-1628378-202324-202711-203903,1610612762,"Royce O'Neale, Donovan Mitchell, Derrick Favors, Bojan Bogdanovic, Jordan Clarkson","O'Neale, Mitchell, Favors, Bogdanovic, Clarkson",1626220-1628378-202324-202711-203903,UTA,3306.0,10,55.0,-2.0,110.0,111.0,10.0,221.0,19.0,18.0,48.0,6.0,44.0,22.0,55.0,132.0,134.0,7.0,18.0,48.0,18.0,1.0,9.0,13.0,53.0,10.0,25.0,114.0,0.4,0.4,0.5757575757575758,0.6064814814814815,0.5555555555555556,0.022727272727272728,,0.45,0.25,0.45454545454545453,96.26134301270417,14.763636363636364,15.153153153153154,14.236363636363636,14.846846846846846,0.1919191919191919,0.48484848484848486,0.375,0.375,0.5,0.7474747474747475,0.375,0.522479292929293,0.6253,6.759090909090909,25.989090909090912,23.0,21.0,13.0,19.0,4.0,4.0,8.0,6.0,3.0,10.0,24.0,18.0,8.0,12.0,4.0,12.0,1.0,29.0,14.0,34.0,48.0,7.0,16.0,23.0,12.0,7.0,62.0,19.0,1.0,40.0,8.0,8.0,5.0,,16.0,3.0,23.0,23.0,7.0,29.0,23.0,2.0,0.2916666666666667,0.30434782608695654,0.7272727272727273,0.3333333333333333,0.5454545454545454,0.6666666666666666,0.5833333333333334,0.6041666666666666,0.5,1.0,0.6785714285714286,0.78,0.7142857142857143,0.75,0.1919191919191919,0.6842105263157895,0.7222222222222222,0.5384615384615384,0.42105263157894735,0.42105263157894735,0.06060606060606061,0.6666666666666666,0.16666666666666666,1.0,0.4166666666666667,0.3,0.5283875,0.09259259259259259,0.14,0.2196969696969697,0.20909090909090908,2.0,5.0,2.0,5.0,2.0,18.0,2.0,,4.0,3.0,3.0,4.0,3.0,1.0,4.0,1.0,0.4,0.6666666666666666,0.6923076923076923,0.125,0.13333333333333333,0.6,0.25,,0.4166666666666667,0.4,0.13636363636363635,3.0,7.0,1.0,2.0,,20.0,1.0,,,0.05263157894736842,0.9090909090909091,0.5,1.0,0.5,0.5,,0.0707070707070707,0.08333333333333333,0.08333333333333333,1.0,0.875,4.0,,1.0,4.0,4.0,4.0,5.0,5.0,,3.0,1.0,,2.0,1.0,3.0,,0.5714285714285714,,0.5714285714285714,0.5714285714285714,1.0,0.5,,,0.6666666666666666,0.5,0.05172413793103448,3.0,1.0,1.0,1.0,0.3333333333333333,0.058823529411764705,1.0,,,,,,,,,,,,,,,1610612762,2021,2020-21,False
