EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,Corner3FGM,Corner3FGA,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PtsAssisted2s,PtsUnassisted2s,PtsUnassisted3s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,Fouls,Loose Ball Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,ShootingFouls,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,ShortMidRangeFGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,OffRebounds,Charge Fouls Drawn,DefensiveGoaltends,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,SecondChanceFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,ShortMidRangeFrequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Frequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,LongMidRangeFGM,LongMidRangeFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,FTDefRebounds,SelfOReb,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,2pt And 1 Free Throw Trips,PenaltyPointsExcludingTakeFouls,SecondChanceFg2Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,LiveBallTurnoverPct,DefFTReboundPct,OffCorner3ReboundPct,SelfORebPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyPointsPct,PenaltyArc3FGM,PenaltyFG3M,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,BlocksRecoveredPct,PenaltyArc3Accuracy,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PtsPutbacks,Corner3Assists,LostBallTurnovers,Technical Free Throw Trips,OffLongMidRangeReboundPct,Corner3PctAssisted,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,LongMidRangeAssists,LongMidRangePctAssisted,ShortMidRangeAssists,ShortMidRangePctAssisted,Offensive Fouls,SecondChanceCorner3FGM,Blocked3s,BlockedArc3,ShortMidRangePctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Steals,BadPassSteals,Offensive Fouls Drawn,LostBallOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,NonShootingPenaltyNonTakeFouls,BlockedAtRim,FTOffRebounds,OffFTReboundPct,SecondChanceTurnovers,Travels,BlockedCorner3,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,LostBallSteals,OffensiveGoaltends,Defensive 3 Seconds Violations,BlockedLongMidRange,3SecondViolations,Charge Fouls,HeaveMakes,HeaveAttempts,3pt And 1 Free Throw Trips,Corner3PctBlocked,StepOutOfBoundsTurnovers,team_id,year,season,team_vs
1627826-1628379-1629611-200765-202331,1610612746,"Ivica Zubac, Luke Kennard, Terance Mann, Rajon Rondo, Paul George","Zubac, Kennard, Mann, Rondo, George",1627826-1628379-1629611-200765-202331,LAC,199.0,2,3.0,-2.0,7.0,6.0,13.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,1.0,3.0,1.0,8.0,10.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,8.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5833333333333334,0.5714285714285714,0.5,0.6666666666666666,0.5,1.0,0.5,94.07035175879396,14.857142857142858,15.833333333333334,14.857142857142858,13.0,0.5,0.6666666666666666,0.6666666666666666,0.5,0.16666666666666666,1.0,1.0,0.3333333333333333,1.0,0.5069916666666666,0.14285714285714285,0.25,2.8333333333333335,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2021,2020-21,False
1627826-1628379-1629611-200765-202704,1610612746,"Ivica Zubac, Luke Kennard, Terance Mann, Rajon Rondo, Reggie Jackson","Zubac, Kennard, Mann, Rondo, Jackson",1627826-1628379-1629611-200765-202704,LAC,52.0,1,1.0,-3.0,1.0,2.0,3.0,1.0,1.0,,,,1.0,1.0,,,,2.0,5.0,2.0,,,,1.0,1.0,1.0,2.0,,,,2.0,,,,,2.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,83.07692307692308,21.0,15.5,21.0,15.5,1.0,1.0,1.0,1.0,,,,,1.0,0.718,,,1.2,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2021,2020-21,False
1627826-1628379-1629611-201587-202331,1610612746,"Ivica Zubac, Luke Kennard, Terance Mann, Nicolas Batum, Paul George","Zubac, Kennard, Mann, Batum, George",1627826-1628379-1629611-201587-202331,LAC,392.0,3,7.0,-1.0,12.0,11.0,23.0,1.0,4.0,,1.0,9.0,1.0,7.0,2.0,10.0,,8.0,9.0,,2.0,,9.0,,2.0,,6.0,1.0,5.0,11.0,2.0,1.0,3.0,,,5.0,,,0.2,0.2,0.14285714285714285,0.23529411764705882,0.23529411764705882,0.5882352941176471,0.5,0.625,1.0,,84.48979591836735,17.333333333333332,16.727272727272727,12.5,16.636363636363637,0.23529411764705882,0.25,0.5,,0.058823529411764705,,,0.5294117647058824,0.8235294117647058,0.4779588235294117,,,5.857142857142857,26.26,,1.0,5.0,4.0,3.0,2.0,1.0,6.0,2.0,1.0,6.0,3.0,2.0,6.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,6.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.25,0.25,0.2857142857142857,0.5,0.6666666666666666,0.6666666666666666,0.25,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.2857142857142857,0.5,0.6666666666666666,1.0,0.17647058823529413,0.2222222222222222,0.2222222222222222,1.0,1.0,0.16666666666666666,1.0,1.0,0.2222222222222222,0.53655,0.4695,0.375,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2021,2020-21,False
1627826-1628379-1629611-201587-202704,1610612746,"Ivica Zubac, Luke Kennard, Terance Mann, Nicolas Batum, Reggie Jackson","Zubac, Kennard, Mann, Batum, Jackson",1627826-1628379-1629611-201587-202704,LAC,268.0,1,4.0,1.0,8.0,8.0,16.0,2.0,2.0,,1.0,1.0,4.0,5.0,,2.0,1.0,9.0,8.0,2.0,6.0,,1.0,1.0,1.0,1.0,2.0,1.0,5.0,7.0,3.0,,5.0,5.0,3.0,6.0,0.25,0.25,,,0.8,0.5714285714285714,0.5,0.2857142857142857,1.0,0.8,1.0,,85.97014925373134,18.5,15.0,17.625,15.0,0.2857142857142857,1.0,1.0,0.5,0.14285714285714285,,,0.14285714285714285,0.5714285714285714,0.44862857142857143,0.3333333333333333,0.42857142857142855,7.4799999999999995,26.1,1.0,3.0,3.0,1.0,2.0,,,,1.0,,,3.0,1.0,,,,,,2.0,,3.0,2.0,,,3.0,,,1.0,0.75,,,0.75,,1.0,0.6666666666666666,,,1.0,1.0,0.5,1.0,0.2857142857142857,,,,,,,0.5,,,0.49485,0.3333333333333333,0.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,0.5,0.375,0.5,1.0,1.0,0.3333333333333333,0.5,0.5,0.14285714285714285,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2021,2020-21,False
1627826-1628379-1629611-201976-202331,1610612746,"Ivica Zubac, Luke Kennard, Terance Mann, Patrick Beverley, Paul George","Zubac, Kennard, Mann, Beverley, George",1627826-1628379-1629611-201976-202331,LAC,229.0,2,4.0,-2.0,7.0,7.0,14.0,1.0,3.0,,,4.0,1.0,7.0,1.0,4.0,2.0,7.0,9.0,2.0,,,4.0,1.0,2.0,1.0,5.0,2.0,4.0,9.0,,,2.0,4.0,,3.0,1.0,1.0,0.25,0.25,0.14285714285714285,0.22727272727272727,0.2916666666666667,0.36363636363636365,1.0,0.8,1.0,1.0,88.0349344978166,17.571428571428573,15.142857142857142,14.142857142857142,14.571428571428571,0.2727272727272727,0.3333333333333333,0.3333333333333333,1.0,,,,0.36363636363636365,0.6363636363636364,0.5059181818181818,,,6.885714285714286,26.175,,5.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,3.0,3.0,1.0,,1.0,1.0,1.0,4.0,2.0,5.0,,,5.0,1.0,1.0,0.375,0.5,,,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5555555555555556,1.0,0.6666666666666666,0.3333333333333333,,0.6666666666666666,,0.2727272727272727,0.25,0.25,1.0,0.25,1.0,1.0,0.6,0.25,0.5081833333333333,0.51695,0.5714285714285714,0.7142857142857143,,2.0,,,,,1.0,,3.0,1.0,,2.0,1.0,4.0,,1.0,,,,,,,,4.0,,,0.3,0.3333333333333333,,,,0.1111111111111111,,,0.09090909090909091,,,0.5,,,,,0.5714285714285714,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.3333333333333333,0.5,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2021,2020-21,False
1627826-1628379-1629611-201976-202695,1610612746,"Ivica Zubac, Luke Kennard, Terance Mann, Patrick Beverley, Kawhi Leonard","Zubac, Kennard, Mann, Beverley, Leonard",1627826-1628379-1629611-201976-202695,LAC,304.0,2,5.0,3.0,10.0,9.0,19.0,1.0,1.0,1.0,4.0,2.0,1.0,4.0,1.0,6.0,3.0,8.0,5.0,,2.0,,2.0,,1.0,,3.0,5.0,6.0,8.0,,,1.0,3.0,,6.0,,,0.16666666666666666,0.16666666666666666,0.25,0.25,0.3181818181818182,0.6,1.0,1.0,1.0,1.0,90.0,15.7,16.333333333333332,13.8,16.333333333333332,0.1,1.0,1.0,,0.4,0.25,0.25,0.2,0.7,0.5092,,,8.45,24.75,,10.0,7.0,2.0,2.0,,,,2.0,,1.0,2.0,6.0,3.0,,,1.0,,,2.0,1.0,2.0,,,10.0,1.0,,0.5,0.5,,,1.0,0.6666666666666666,,0.25,,0.5,,,1.0,,0.2,,,,,,,0.2,,0.6241,0.5092,0.25,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,4.0,3.0,8.0,,,1.0,,,,1.0,1.0,,8.0,1.0,0.25,0.25,0.3181818181818182,1.0,,,,,,0.1,,,0.5,1.0,,0.1,1.0,1.0,,1.0,,1.0,,,,,,0.16666666666666666,,,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.4,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2021,2020-21,False
1627826-1628379-1629611-202331-202694,1610612746,"Ivica Zubac, Luke Kennard, Terance Mann, Paul George, Marcus Morris Sr.","Zubac, Kennard, Mann, George, Morris Sr.",1627826-1628379-1629611-202331-202694,LAC,119.0,1,2.0,4.0,4.0,4.0,8.0,1.0,1.0,,1.0,,2.0,2.0,,1.0,2.0,6.0,2.0,4.0,,,,2.0,2.0,1.0,4.0,1.0,3.0,3.0,1.0,,1.0,2.0,,6.0,1.0,1.0,,,1.0,0.6666666666666666,0.75,0.3333333333333333,1.0,1.0,1.0,,96.80672268907563,6.75,23.0,6.75,23.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,,,,0.6666666666666666,0.60655,,,9.15,24.4,,4.0,,,,,,,,,,,1.0,,,,,,,,2.0,,,,4.0,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,0.60655,,1.0,,,1.0,1.0,,1.0,1.0,,,,2.0,2.0,2.0,6.0,,,,,,,,,,6.0,,1.0,0.6666666666666666,0.75,,,,,,,0.3333333333333333,1.0,1.0,,,,0.3333333333333333,1.0,1.0,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,0.3333333333333333,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2021,2020-21,False
1627826-1628379-1629611-202331-202704,1610612746,"Ivica Zubac, Luke Kennard, Terance Mann, Paul George, Reggie Jackson","Zubac, Kennard, Mann, George, Jackson",1627826-1628379-1629611-202331-202704,LAC,432.0,4,7.0,6.0,11.0,12.0,23.0,1.0,3.0,,1.0,3.0,3.0,8.0,2.0,4.0,4.0,16.0,10.0,2.0,4.0,3.0,3.0,1.0,2.0,,5.0,2.0,8.0,11.0,4.0,,7.0,4.0,2.0,10.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.375,0.5,0.5714285714285714,0.3333333333333333,0.6666666666666666,0.875,0.5,1.0,76.66666666666667,20.09090909090909,17.583333333333332,18.0,17.25,0.25,0.3333333333333333,0.3333333333333333,,0.08333333333333333,,,0.25,0.5833333333333334,0.4888166666666667,0.14285714285714285,0.2,9.175,27.475,2.0,,,3.0,2.0,2.0,,,,,,6.0,,3.0,2.0,,1.0,1.0,2.0,1.0,5.0,3.0,,,,0.5,,1.0,1.0,,,1.0,0.2,1.0,0.42857142857142855,0.5,,1.0,1.0,1.0,,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.5,,,,,0.6666666666666666,0.4957,,0.375,,1.0,1.0,,,1.0,1.0,3.0,2.0,2.0,2.0,,,,,1.0,,,,,,,,,,1.0,,,,,1.0,1.0,,0.5,0.5,0.25,0.3333333333333333,0.3333333333333333,0.5,1.0,,,,,,,1.0,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2021,2020-21,False
1627826-1628379-200765-201587-201976,1610612746,"Ivica Zubac, Luke Kennard, Rajon Rondo, Nicolas Batum, Patrick Beverley","Zubac, Kennard, Rondo, Batum, Beverley",1627826-1628379-200765-201587-201976,LAC,78.0,1,1.0,-6.0,3.0,2.0,5.0,,,,,,,1.0,,,,,6.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,92.3076923076923,21.333333333333332,7.0,21.333333333333332,7.0,,,,,,,,,,0.3998,,,8.7,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,2.0,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2021,2020-21,False
1627826-1628379-200765-201587-202331,1610612746,"Ivica Zubac, Luke Kennard, Rajon Rondo, Nicolas Batum, Paul George","Zubac, Kennard, Rondo, Batum, George",1627826-1628379-200765-201587-202331,LAC,361.0,2,6.0,2.0,9.0,11.0,20.0,1.0,1.0,1.0,1.0,3.0,4.0,6.0,2.0,4.0,5.0,19.0,17.0,2.0,6.0,,3.0,1.0,3.0,1.0,8.0,4.0,5.0,8.0,3.0,,7.0,7.0,1.0,11.0,0.25,0.25,0.5,0.5,0.6666666666666666,0.7,0.6785714285714286,0.4,0.8,0.8333333333333334,0.8,,79.77839335180056,15.666666666666666,20.0,14.333333333333334,18.09090909090909,0.1,1.0,1.0,1.0,0.1,1.0,1.0,0.3,0.5,0.47471500000000005,0.09090909090909091,0.14285714285714285,10.299999999999999,25.275,2.0,5.0,5.0,4.0,3.0,1.0,,,1.0,1.0,1.0,8.0,1.0,6.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,,,5.0,1.0,1.0,1.1666666666666667,1.0,0.16666666666666666,,1.0,0.5,1.0,0.75,,,1.0,,1.0,,0.3,0.3333333333333333,0.3333333333333333,1.0,,,,0.25,0.3333333333333333,0.4398,0.4601125,0.42105263157894735,0.5555555555555556,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,4.0,8.0,,,,,,,,,,8.0,1.0,0.6666666666666666,0.5,0.5714285714285714,,,,,0.6666666666666666,1.0,0.2,0.5,0.5,0.3333333333333333,1.0,1.0,0.25,1.0,0.42105263157894735,,,4.0,3.0,1.0,1.0,2.0,2.0,3.0,,1.0,,1.0,,,,1.0,,,1.0,1.0,0.3333333333333333,,,,,,,,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2021,2020-21,False
