EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,LongMidRangeFGA,PenaltyCorner3FGA,SecondChanceArc3FGM,FtPoints,SecondChanceFG3M,SecondChanceFtPoints,PenaltyFtPoints,AtRimAssists,LongMidRangeAssists,SelfOReb,LostBallSteals,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls,Technical Free Throw Trips,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,ShortMidRangePctBlocked,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimPctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,Loose Ball Fouls Drawn,BlockedShortMidRange,Charge Fouls,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,Offensive Fouls Drawn,ThreePtShootingFoulsDrawn,RecoveredBlocks,LongMidRangePctBlocked,BlocksRecoveredPct,ThreePtShootingFoulsDrawnPct,BlockedLongMidRange,DefensiveGoaltends,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,Charge Fouls Drawn,HeaveAttempts,PenaltyCorner3FGM,PenaltyCorner3Accuracy,StepOutOfBoundsTurnovers,FTOffRebounds,OffFTReboundPct,3pt And 1 Free Throw Trips,Defensive 3 Seconds Violations,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Corner3PctBlocked,Blocked3s,BlockedArc3,3SecondViolations,BlockedCorner3,OffensiveGoaltends,team_id,year,season,team_vs
1626161-1626196-1627827-1628467-1628973,1610612742,"Willie Cauley-Stein, Josh Richardson, Dorian Finney-Smith, Maxi Kleber, Jalen Brunson","Cauley-Stein, Richardson, Finney-Smith, Kleber, Brunson",1626161-1626196-1627827-1628467-1628973,DAL,397.0,2,7.0,8.0,12.0,13.0,3.0,4.0,3.0,25.0,1.0,4.0,1.0,2.0,1.0,2.0,3.0,4.0,1.0,1.0,3.0,5.0,1.0,1.0,2.0,4.0,8.0,4.0,6.0,20.0,12.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,5.0,6.0,2.0,9.0,3.0,2.0,5.0,3.0,2.0,1.0,3.0,3.0,6.0,2.0,1.0,3.0,15.0,1.0,2.0,3.0,4.0,1.0,8.0,3.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,5.0,3.0,0.75,1.0,0.75,0.6666666666666666,0.5,0.6666666666666666,0.5,0.5,0.5,0.7142857142857143,0.3333333333333333,0.625,0.7142857142857143,0.3333333333333333,0.625,0.42857142857142855,0.16666666666666666,0.25,0.5,0.2,1.0,1.0,0.8,0.5,1.0,0.5,0.875,0.5,0.3333333333333333,1.0,0.5,1.0,1.0,90.68010075566751,13.166666666666666,18.384615384615383,12.083333333333334,17.846153846153847,0.2857142857142857,0.25,0.5,0.2857142857142857,0.75,0.75,1.0,0.07142857142857142,1.0,1.0,1.0,0.35714285714285715,0.6,0.75,0.6666666666666666,0.6666666666666666,0.5,0.3333333333333333,0.5,0.5,0.5,0.5,0.7142857142857143,0.6,0.5340071428571428,0.64645,0.556625,0.07142857142857142,0.125,0.1,0.25,4.5125,25.366666666666664,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2021,2020-21,True
1626161-1626196-1627827-1628467-1629029,1610612742,"Willie Cauley-Stein, Josh Richardson, Dorian Finney-Smith, Maxi Kleber, Luka Doncic","Cauley-Stein, Richardson, Finney-Smith, Kleber, Doncic",1626161-1626196-1627827-1628467-1629029,DAL,2208.0,7,37.0,-11.0,74.0,74.0,20.0,17.0,7.0,148.0,12.0,21.0,3.0,5.0,3.0,4.0,5.0,14.0,,5.0,9.0,17.0,1.0,4.0,5.0,21.0,45.0,9.0,22.0,75.0,86.0,3.0,6.0,1.0,10.0,7.0,11.0,4.0,6.0,28.0,26.0,16.0,24.0,3.0,4.0,17.0,9.0,6.0,,13.0,8.0,21.0,8.0,,4.0,50.0,2.0,6.0,14.0,12.0,2.0,28.0,8.0,36.0,9.0,6.0,7.0,6.0,10.0,8.0,16.0,11.0,13.0,,5.0,,,,65.0,28.0,20.0,0.6190476190476191,0.6842105263157895,0.8888888888888888,0.4090909090909091,0.6666666666666666,0.4090909090909091,0.4666666666666667,0.5,0.6363636363636364,0.5149253731343284,0.6428571428571429,0.7647058823529411,0.5068493150684932,0.625,0.7368421052631579,0.3283582089552239,,0.13333333333333333,0.09523809523809523,,0.7,1.0,0.8,0.25,0.7368421052631579,0.15384615384615385,0.7647058823529411,0.21621621621621623,0.3333333333333333,0.2222222222222222,,0.75,0.6875,96.5217391304348,14.378378378378379,15.45945945945946,14.04054054054054,14.662162162162161,0.31343283582089554,0.5714285714285714,0.631578947368421,0.208955223880597,0.35714285714285715,0.5,0.8,0.07462686567164178,,,,0.2537313432835821,0.5294117647058824,0.5294117647058824,0.8888888888888888,0.7142857142857143,0.6,0.14285714285714285,0.23529411764705882,0.75,0.29411764705882354,0.8,0.6417910447761194,0.5294117647058824,0.49804253731343273,0.63608,0.4481941176470588,0.06944444444444445,0.1,0.13333333333333333,0.37333333333333335,7.4622222222222225,25.422727272727272,0.2702702702702703,4.0,10.0,1.0,1.0,6.0,1.0,1.0,2.0,6.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.2857142857142857,0.16666666666666666,0.4,1.0,0.7777777777777778,1.0,0.03225806451612903,0.5,0.14925373134328357,0.4,0.4,0.75,0.3333333333333333,1.0,1.0,0.058823529411764705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2021,2020-21,True
1626161-1626196-1627827-1628973-1629029,1610612742,"Willie Cauley-Stein, Josh Richardson, Dorian Finney-Smith, Jalen Brunson, Luka Doncic","Cauley-Stein, Richardson, Finney-Smith, Brunson, Doncic",1626161-1626196-1627827-1628973-1629029,DAL,502.0,5,8.0,5.0,18.0,17.0,6.0,7.0,2.0,35.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,,2.0,3.0,7.0,,,2.0,4.0,7.0,3.0,9.0,20.0,15.0,2.0,2.0,,5.0,3.0,4.0,,2.0,9.0,4.0,4.0,9.0,,2.0,7.0,3.0,,,2.0,3.0,5.0,3.0,,1.0,13.0,,2.0,5.0,,3.0,8.0,2.0,10.0,2.0,1.0,2.0,,3.0,1.0,7.0,4.0,3.0,1.0,1.0,1.0,,1.0,15.0,9.0,6.0,0.5,0.6666666666666666,1.0,0.3333333333333333,,0.3333333333333333,0.5714285714285714,1.0,0.75,0.53125,1.0,0.5,0.5882352941176471,1.25,0.6428571428571429,0.5625,,,,,0.6666666666666666,1.0,,0.6666666666666666,0.8333333333333334,,0.7142857142857143,0.2222222222222222,,0.6666666666666666,,,0.8,100.39840637450199,14.11111111111111,14.588235294117647,13.222222222222221,13.647058823529411,0.125,1.0,1.0,0.3125,0.4,0.4,0.5,0.125,,,,0.4375,0.42857142857142855,0.42857142857142855,1.0,1.0,1.0,,0.3333333333333333,1.0,0.3333333333333333,,0.6875,0.42857142857142855,0.51031875,0.78885,0.5366916666666667,0.0625,0.14285714285714285,0.25,0.45,5.142857142857143,24.522222222222222,0.3333333333333333,,,,,3.0,,1.0,3.0,1.0,,,1.0,1.0,,2.0,1.0,,,,,1.0,2.0,1.0,,,,,,,1.0,,0.5,,,,,0.5,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2021,2020-21,True
1626161-1626196-1627827-1628973-201949,1610612742,"Willie Cauley-Stein, Josh Richardson, Dorian Finney-Smith, Jalen Brunson, James Johnson","Cauley-Stein, Richardson, Finney-Smith, Brunson, Johnson",1626161-1626196-1627827-1628973-201949,DAL,234.0,3,4.0,3.0,9.0,6.0,,3.0,3.0,15.0,3.0,3.0,1.0,1.0,,,,1.0,,1.0,1.0,3.0,1.0,,,3.0,4.0,1.0,4.0,10.0,7.0,1.0,2.0,1.0,5.0,,,,,,2.0,4.0,3.0,,2.0,3.0,1.0,,,1.0,1.0,2.0,1.0,,,5.0,1.0,,2.0,,1.0,3.0,1.0,4.0,,,,,2.0,1.0,4.0,1.0,1.0,1.0,1.0,,,,5.0,,,0.3333333333333333,0.5,1.0,0.25,,0.25,0.75,0.5,,0.5625,0.8333333333333334,,0.625,0.8333333333333334,,0.5,,,,,,1.0,,,1.0,0.3333333333333333,1.0,0.25,,,0.5,,1.0,92.3076923076923,15.777777777777779,15.333333333333334,13.0,15.333333333333334,0.375,1.0,1.0,0.125,,,,0.125,,,,0.375,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,,,,,0.875,0.3333333333333333,0.55124375,0.465975,,0.125,0.25,0.5,,2.825,25.35,,,,,1.0,1.0,1.0,,,1.0,,,,2.0,1.0,,,,,,,,1.0,,1.0,,,,,,1.0,,0.3333333333333333,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2021,2020-21,True
1626161-1626196-1627827-1628973-203501,1610612742,"Willie Cauley-Stein, Josh Richardson, Dorian Finney-Smith, Jalen Brunson, Tim Hardaway Jr.","Cauley-Stein, Richardson, Finney-Smith, Brunson, Hardaway Jr.",1626161-1626196-1627827-1628973-203501,DAL,1271.0,8,21.0,-25.0,39.0,42.0,5.0,8.0,5.0,81.0,3.0,5.0,,1.0,,2.0,7.0,17.0,1.0,4.0,3.0,8.0,2.0,,,11.0,26.0,4.0,12.0,37.0,62.0,1.0,2.0,2.0,5.0,,4.0,,1.0,,10.0,12.0,9.0,3.0,,8.0,3.0,2.0,,5.0,3.0,8.0,2.0,1.0,3.0,19.0,2.0,4.0,8.0,6.0,,14.0,6.0,20.0,2.0,2.0,1.0,1.0,5.0,4.0,10.0,7.0,7.0,1.0,4.0,,,,32.0,,5.0,0.45454545454545453,0.45454545454545453,0.75,0.3333333333333333,,0.3333333333333333,0.4230769230769231,0.5,,0.4473684210526316,0.625,,0.45121951219512196,0.625,,0.3157894736842105,,0.07692307692307693,0.2,,0.2,,0.5454545454545454,0.26666666666666666,0.7272727272727273,0.25,0.6363636363636364,0.2608695652173913,,0.3,0.2,1.0,0.8571428571428571,91.77025963808025,17.307692307692307,14.19047619047619,16.641025641025642,13.285714285714286,0.13157894736842105,0.6,0.75,0.4473684210526316,0.4117647058823529,0.4375,0.42857142857142855,0.10526315789473684,0.25,0.25,1.0,0.21052631578947367,0.375,0.375,0.6666666666666666,0.25,,0.5,0.4,,,,0.4473684210526316,0.375,0.47884210526315796,0.52755,0.52181,0.0975609756097561,0.13793103448275862,0.13513513513513514,,8.626923076923077,24.708333333333332,0.1282051282051282,1.0,4.0,1.0,1.0,3.0,1.0,,,2.0,,1.0,,4.0,,,1.0,2.0,,2.0,,,,,0.5,0.058823529411764705,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.5,0.047619047619047616,0.6666666666666666,0.10526315789473684,0.25,0.25,,,0.5,1.0,0.2,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2021,2020-21,True
1626161-1626196-1627827-1628973-203504,1610612742,"Willie Cauley-Stein, Josh Richardson, Dorian Finney-Smith, Jalen Brunson, Trey Burke","Cauley-Stein, Richardson, Finney-Smith, Brunson, Burke",1626161-1626196-1627827-1628973-203504,DAL,254.0,3,4.0,4.0,10.0,9.0,1.0,,1.0,19.0,2.0,4.0,,,,,,1.0,1.0,1.0,,1.0,,,,2.0,6.0,1.0,2.0,9.0,5.0,,1.0,,,,1.0,,,,4.0,,3.0,,,1.0,,,,2.0,1.0,3.0,,1.0,,7.0,,,3.0,1.0,,4.0,,4.0,1.0,1.0,,,1.0,,,2.0,2.0,,1.0,,,,9.0,,1.0,1.0,1.0,1.0,0.5,,0.5,0.3333333333333333,,,0.4375,,,0.5,,,0.25,,,,,,,0.5,,1.0,,0.8,,,,,,1.0,107.71653543307086,13.6,13.11111111111111,12.9,13.0,0.5,0.5,0.5,0.125,,,,0.125,1.0,1.0,1.0,0.125,,,,,,,,,,,0.75,,0.55456875,0.3932,0.3932,0.1111111111111111,0.14285714285714285,,,6.3999999999999995,24.3,0.1,,1.0,,,2.0,,,,2.0,,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,1.0,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2021,2020-21,True
1626161-1626196-1627827-1628973-204001,1610612742,"Willie Cauley-Stein, Josh Richardson, Dorian Finney-Smith, Jalen Brunson, Kristaps Porzingis","Cauley-Stein, Richardson, Finney-Smith, Brunson, Porzingis",1626161-1626196-1627827-1628973-204001,DAL,187.0,1,3.0,6.0,6.0,5.0,2.0,5.0,,11.0,2.0,2.0,,,,,,,,,1.0,2.0,,,,2.0,2.0,1.0,2.0,10.0,4.0,,,,,,,,,2.0,2.0,2.0,,3.0,,2.0,1.0,,,1.0,,1.0,,,,2.0,,,,1.0,,1.0,,1.0,2.0,1.0,,,1.0,,,4.0,3.0,1.0,2.0,,,,10.0,2.0,2.0,0.5,0.5,,0.5,,0.5,1.0,,,0.875,,,1.0,,1.0,0.5,,,,,,,1.0,,,,0.5,,,,,,,84.70588235294117,14.0,20.6,14.0,20.6,0.5,1.0,1.0,,,,,,,,,0.5,0.5,0.5,,,,,,,,,1.0,0.5,0.61235,,,0.4,0.6666666666666666,,0.2,1.0,25.1,0.3333333333333333,,,,,3.0,,,2.0,1.0,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,1.0,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2021,2020-21,True
1626161-1626196-1627827-1629029-200755,1610612742,"Willie Cauley-Stein, Josh Richardson, Dorian Finney-Smith, Luka Doncic, JJ Redick","Cauley-Stein, Richardson, Finney-Smith, Doncic, Redick",1626161-1626196-1627827-1629029-200755,DAL,69.0,1,1.0,4.0,3.0,2.0,,,,5.0,2.0,2.0,,,,,1.0,1.0,,,,,,,,3.0,3.0,,,6.0,2.0,,,,,,,,,,2.0,4.0,,,,,,,,1.0,,1.0,,,1.0,2.0,,,1.0,,,1.0,,1.0,,,,,,,,1.0,,,,,,,6.0,,,0.3333333333333333,0.3333333333333333,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,104.34782608695653,14.0,13.5,14.0,13.5,0.6666666666666666,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,,,,,,,0.6666666666666666,,0.5681333333333333,,,,,,,2.8666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2021,2020-21,True
1626161-1626196-1627827-1629029-201949,1610612742,"Willie Cauley-Stein, Josh Richardson, Dorian Finney-Smith, Luka Doncic, James Johnson","Cauley-Stein, Richardson, Finney-Smith, Doncic, Johnson",1626161-1626196-1627827-1629029-201949,DAL,452.0,2,8.0,5.0,16.0,15.0,2.0,,2.0,31.0,3.0,5.0,,,,,1.0,1.0,1.0,2.0,2.0,5.0,2.0,1.0,2.0,5.0,7.0,3.0,7.0,22.0,17.0,,,2.0,3.0,1.0,1.0,1.0,2.0,5.0,6.0,4.0,6.0,3.0,,5.0,2.0,,,3.0,2.0,5.0,1.0,1.0,,12.0,1.0,,2.0,3.0,,5.0,1.0,6.0,2.0,2.0,,,1.0,2.0,3.0,4.0,4.0,,2.0,,,,19.0,5.0,2.0,0.6,0.6,0.6666666666666666,0.42857142857142855,0.5,0.42857142857142855,0.7142857142857143,,1.0,0.6785714285714286,0.75,0.8333333333333334,0.6875,0.75,0.8333333333333334,0.5,,,,,,,1.0,,0.5,0.25,0.7142857142857143,0.16666666666666666,,,0.3333333333333333,,,98.76106194690266,13.625,15.6,12.9375,14.066666666666666,0.35714285714285715,0.6,0.6,0.07142857142857142,1.0,1.0,,0.14285714285714285,0.5,0.5,1.0,0.35714285714285715,0.4,0.4,0.5,,,1.0,,,0.6666666666666666,0.5,0.8571428571428571,0.4,0.5572357142857143,0.54525,0.50355,0.125,0.2222222222222222,0.13636363636363635,0.22727272727272727,4.428571428571429,24.957142857142856,0.125,1.0,1.0,,1.0,3.0,1.0,,,3.0,,,,1.0,,,,,,1.0,,,,,0.5,,,,1.0,1.0,1.0,,1.0,0.07142857142857142,1.0,1.0,,,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2021,2020-21,True
1626161-1626196-1627827-1629029-203501,1610612742,"Willie Cauley-Stein, Josh Richardson, Dorian Finney-Smith, Luka Doncic, Tim Hardaway Jr.","Cauley-Stein, Richardson, Finney-Smith, Doncic, Hardaway Jr.",1626161-1626196-1627827-1629029-203501,DAL,6049.0,21,101.0,-34.0,205.0,202.0,44.0,8.0,23.0,407.0,28.0,45.0,5.0,8.0,9.0,11.0,13.0,40.0,1.0,9.0,25.0,72.0,8.0,6.0,15.0,48.0,100.0,26.0,81.0,208.0,242.0,6.0,11.0,8.0,29.0,12.0,18.0,6.0,18.0,54.0,50.0,46.0,63.0,15.0,8.0,72.0,25.0,13.0,,25.0,21.0,46.0,20.0,1.0,5.0,113.0,11.0,16.0,28.0,34.0,8.0,70.0,27.0,97.0,20.0,13.0,16.0,7.0,26.0,20.0,34.0,31.0,44.0,1.0,13.0,6.0,2.0,6.0,179.0,54.0,44.0,0.5208333333333334,0.5681818181818182,0.8076923076923077,0.32098765432098764,0.3333333333333333,0.32098765432098764,0.48,0.5454545454545454,0.6666666666666666,0.48066298342541436,0.5526315789473685,0.5833333333333334,0.5148514851485149,0.6041666666666666,0.574468085106383,0.44751381215469616,,0.13,0.15555555555555556,,0.6153846153846154,1.0,0.723404255319149,0.3137254901960784,0.7777777777777778,0.2,0.7469879518072289,0.25471698113207547,0.5294117647058824,0.2222222222222222,0.1702127659574468,0.8181818181818182,0.8,96.88874194081667,14.736585365853658,14.990099009900991,14.253658536585366,14.599009900990099,0.24861878453038674,0.6222222222222222,0.7368421052631579,0.22099447513812154,0.325,0.37142857142857144,0.38461538461538464,0.049723756906077346,0.1111111111111111,0.1111111111111111,1.0,0.39779005524861877,0.3472222222222222,0.3472222222222222,0.8,0.42105263157894735,0.625,0.42105263157894735,0.3055555555555556,0.8181818181818182,0.4166666666666667,0.4,0.6961325966850829,0.3472222222222222,0.5271096685082873,0.5879535714285715,0.5398416666666667,0.07216494845360824,0.11607142857142858,0.13942307692307693,0.25961538461538464,6.992000000000001,25.42839506172839,0.2146341463414634,7.0,15.0,3.0,3.0,34.0,3.0,8.0,12.0,17.0,3.0,4.0,7.0,10.0,1.0,9.0,1.0,3.0,2.0,2.0,,8.0,,8.0,0.375,0.125,0.14285714285714285,0.375,0.7272727272727273,0.68,0.6666666666666666,0.043010752688172046,0.6071428571428571,0.08287292817679558,0.4666666666666667,0.5,0.42857142857142855,0.2,0.375,1.0,0.08333333333333333,3.0,4.0,1.0,5.0,1.0,1.0,1.0,4.0,0.06666666666666667,0.6666666666666666,0.012195121951219513,,,,,,,,,,,,,,,,,,,,,,,1610612742,2021,2020-21,True
