EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,DefPoss,TotalPoss,DefTwoPtRebounds,DefRebounds,Rebounds,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,Minutes,PlusMinus,OffPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,Steals,BadPassSteals,FoulsDrawn,FTA,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyAtRimFrequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3FGA,PenaltyArc3FGA,PenaltyFG3A,SelfOReb,DeadBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,NonShootingPenaltyNonTakeFouls,DefCorner3ReboundPct,SelfORebPct,Corner3Frequency,PenaltyArc3Frequency,PenaltyAtRimFGM,LongMidRangeFGM,PenaltyCorner3FGA,PenaltyFtPoints,PtsAssisted3s,Fg2aBlocked,ThreePtAssists,Arc3Assists,ShortMidRangeAssists,LongMidRangeAssists,FTDefRebounds,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,BlockedShortMidRange,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3PctAssisted,SecondChanceAtRimPctAssisted,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Corner3FGM,PenaltyCorner3FGM,PenaltyArc3FGM,PenaltyFG3M,Offensive Fouls,Blocked3s,BlockedCorner3,PenaltyFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,LostBallTurnovers,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,Corner3Assists,Corner3PctAssisted,SecondChanceFtPoints,BlockedArc3,OffCorner3ReboundPct,Charge Fouls Drawn,Offensive Fouls Drawn,AtRimPctBlocked,DefLongMidRangeReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,LostBallOutOfBoundsTurnovers,Loose Ball Fouls,OffensiveGoaltends,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3FGM,BadPassOutOfBoundsTurnovers,SecondChanceArc3Accuracy,DefensiveGoaltends,SecondChanceTurnovers,HeaveAttempts,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceArc3PctAssisted,Travels,LongMidRangePctBlocked,Charge Fouls,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,BlockedLongMidRange,FTOffRebounds,OffFTReboundPct,3pt And 1 Free Throw Trips,Corner3PctBlocked,team_id,year,season,team_vs
1626171-1626192-1627854-1628978-203507,1610612749,"Bobby Portis, Pat Connaughton, Bryn Forbes, Donte DiVincenzo, Giannis Antetokounmpo","Portis, Connaughton, Forbes, DiVincenzo, Antetokounmpo",1626171-1626192-1627854-1628978-203507,MIL,25.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,57.599999999999994,1.0,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2021,2020-21,True
1626171-1626192-1627854-200782-201950,1610612749,"Bobby Portis, Pat Connaughton, Bryn Forbes, P.J. Tucker, Jrue Holiday","Portis, Connaughton, Forbes, Tucker, Holiday",1626171-1626192-1627854-200782-201950,MIL,283.0,4,10.0,19.0,,2.0,6.0,,,,,,0.6666666666666666,,96.67844522968197,,11.8,11.5,5.0,2.0,9.0,2.0,5.0,3.0,4.0,5.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0,1.0,5.0,9.0,1.0,4.0,2.0,15.0,13.0,2.0,2.0,1.0,4.0,1.0,2.0,2.0,4.0,6.0,3.0,4.0,4.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,11.0,2.0,2.0,0.4,0.6666666666666666,0.25,0.25,0.5555555555555556,1.0,0.5,0.5,0.6666666666666666,0.5,0.5769230769230769,0.6666666666666666,0.5,0.3076923076923077,0.5,0.6666666666666666,0.6666666666666666,0.5714285714285714,1.0,0.5,0.6666666666666666,0.6666666666666666,18.333333333333332,17.88888888888889,0.38461538461538464,0.8,0.8,0.5,0.15384615384615385,0.5,0.5,0.15384615384615385,0.3076923076923077,0.25,0.25,0.6666666666666666,1.0,0.3333333333333333,0.5,0.6923076923076923,0.25,0.5236807692307692,0.69465,0.42805,0.26666666666666666,0.13333333333333333,7.011111111111111,27.225,0.2222222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2021,2020-21,True
1626171-1626192-1627854-201572-201950,1610612749,"Bobby Portis, Pat Connaughton, Bryn Forbes, Brook Lopez, Jrue Holiday","Portis, Connaughton, Forbes, Lopez, Holiday",1626171-1626192-1627854-201572-201950,MIL,421.0,3,13.0,26.0,,1.0,2.0,1.0,1.0,1.0,,,0.14285714285714285,,88.93111638954869,,12.153846153846153,10.692307692307692,7.0,-14.0,13.0,4.0,6.0,1.0,2.0,3.0,,1.0,,1.0,3.0,2.0,,4.0,,3.0,8.0,,5.0,,6.0,20.0,,1.0,,,,2.0,,,6.0,,,4.0,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,,6.0,,4.0,,,,,0.375,,,0.23076923076923078,,,0.23076923076923078,,,0.38461538461538464,0.2,0.5,,0.1,0.5,,,,20.23076923076923,19.923076923076923,0.23076923076923078,0.6666666666666666,0.6666666666666666,,0.23076923076923078,0.3333333333333333,0.3333333333333333,0.15384615384615385,0.3076923076923077,,,1.0,,,,0.6153846153846154,,0.5415423076923077,0.7529,0.4242333333333333,,,9.025,25.7,0.3076923076923077,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.1,0.07692307692307693,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2021,2020-21,True
1626171-1626192-1627854-201950-203114,1610612749,"Bobby Portis, Pat Connaughton, Bryn Forbes, Jrue Holiday, Khris Middleton","Portis, Connaughton, Forbes, Holiday, Middleton",1626171-1626192-1627854-201950-203114,MIL,740.0,8,28.0,56.0,4.0,10.0,12.0,4.0,1.0,4.0,1.0,0.4,0.47368421052631576,0.4,108.97297297297297,0.25,14.821428571428571,13.785714285714286,12.0,7.0,28.0,21.0,14.0,2.0,3.0,6.0,2.0,2.0,6.0,3.0,5.0,6.0,2.0,6.0,,10.0,17.0,2.0,7.0,9.0,35.0,28.0,2.0,2.0,,4.0,7.0,14.0,21.0,8.0,12.0,3.0,2.0,6.0,2.0,4.0,5.0,1.0,11.0,1.0,1.0,5.0,2.0,3.0,2.0,6.0,10.0,31.0,21.0,21.0,0.4,0.4444444444444444,0.2857142857142857,0.2857142857142857,0.5882352941176471,1.0,0.5,0.5416666666666666,1.0,0.3888888888888889,0.603448275862069,1.0,0.4772727272727273,0.2916666666666667,0.14285714285714285,0.5555555555555556,0.25,0.18181818181818182,,,0.3333333333333333,0.42857142857142855,11.607142857142858,11.535714285714286,0.25,0.5,0.5,0.3333333333333333,0.20833333333333334,0.6,0.75,0.25,0.25,0.3333333333333333,0.3333333333333333,1.0,1.0,,0.3333333333333333,0.5416666666666666,0.3333333333333333,0.4882458333333333,0.7278,0.4937694444444445,0.11428571428571428,0.6,9.705882352941176,26.842857142857145,0.75,1.0,3.0,4.0,,,,1.0,1.0,2.0,5.0,,1.0,,0.041666666666666664,0.16666666666666666,3.0,4.0,1.0,7.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,4.0,0.5,0.058823529411764705,0.2,1.0,1.0,0.3333333333333333,0.4,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,0.5,0.05555555555555555,0.04,0.05555555555555555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2021,2020-21,True
1626171-1626192-1627854-201950-203507,1610612749,"Bobby Portis, Pat Connaughton, Bryn Forbes, Jrue Holiday, Giannis Antetokounmpo","Portis, Connaughton, Forbes, Holiday, Antetokounmpo",1626171-1626192-1627854-201950-203507,MIL,941.0,10,32.0,64.0,3.0,11.0,16.0,,,1.0,1.0,0.6,0.5882352941176471,0.6666666666666666,97.93836344314559,1.0,14.1875,12.8125,16.0,1.0,32.0,13.0,11.0,3.0,5.0,5.0,1.0,1.0,1.0,5.0,8.0,3.0,4.0,12.0,2.0,11.0,16.0,5.0,15.0,2.0,39.0,38.0,2.0,3.0,2.0,4.0,3.0,5.0,23.0,8.0,14.0,6.0,2.0,12.0,4.0,4.0,7.0,2.0,17.0,4.0,1.0,7.0,5.0,3.0,,4.0,2.0,35.0,23.0,13.0,0.36363636363636365,0.4,0.3333333333333333,0.3333333333333333,0.6875,0.6666666666666666,0.6,0.5967741935483871,0.4,1.05,0.609375,0.4,1.0454545454545454,0.4838709677419355,0.2,0.5833333333333334,0.4,0.3333333333333333,,0.5,0.5,0.5,15.21875,14.375,0.16129032258064516,1.0,1.0,0.4,0.25806451612903225,0.625,0.625,0.0967741935483871,0.3870967741935484,0.3333333333333333,0.3333333333333333,0.2,1.0,0.4,0.1,0.6451612903225806,0.3333333333333333,0.5106516129032258,0.555,0.4772,0.10256410256410256,0.5897435897435898,7.83125,25.586666666666666,0.40625,3.0,4.0,5.0,,2.0,,5.0,2.0,5.0,8.0,,1.0,,0.0967741935483871,0.4,1.0,1.0,1.0,2.0,9.0,,3.0,3.0,2.0,,1.0,3.0,3.0,3.0,,1.0,,1.0,0.6,,,0.6,0.5,,0.5,0.4,0.3333333333333333,0.3333333333333333,,0.75,,1.0,0.1,,,1.0,1.0,4.0,5.0,2.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2021,2020-21,True
1626171-1626192-1627854-201950-203648,1610612749,"Bobby Portis, Pat Connaughton, Bryn Forbes, Jrue Holiday, Thanasis Antetokounmpo","Portis, Connaughton, Forbes, Holiday, Antetokounmpo",1626171-1626192-1627854-201950-203648,MIL,70.0,1,4.0,8.0,,2.0,2.0,,,,,,1.0,,164.57142857142856,,11.0,11.0,1.0,1.0,4.0,4.0,,,,,,,,1.0,1.0,,,,,1.0,1.0,,,3.0,5.0,4.0,,,,,1.0,1.0,5.0,,2.0,,,,,,,,,,,2.0,,,,2.0,3.0,5.0,5.0,4.0,,,,,1.0,,1.0,1.0,,1.0,1.25,,1.25,,,1.0,,,,,,1.0,6.5,6.5,,,,,1.0,1.0,1.0,,,,,,,,,,,0.3006,,0.3006,,1.0,4.8,,1.0,,,,,,,2.0,2.0,,,,,,,,,,,3.0,,,,,,,,,2.0,1.0,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2021,2020-21,True
1626171-1626192-1627854-201952-203114,1610612749,"Bobby Portis, Pat Connaughton, Bryn Forbes, Jeff Teague, Khris Middleton","Portis, Connaughton, Forbes, Teague, Middleton",1626171-1626192-1627854-201952-203114,MIL,115.0,1,3.0,7.0,1.0,1.0,1.0,,,,,1.0,1.0,,87.65217391304347,,16.333333333333332,16.333333333333332,2.0,6.0,4.0,1.0,2.0,,1.0,1.0,,,,,,,1.0,1.0,,1.0,1.0,2.0,2.0,2.0,10.0,4.0,,,,,,,3.0,2.0,,,,1.0,1.0,1.0,3.0,1.0,8.0,,,,,,,1.0,2.0,10.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.3333333333333333,,1.5,1.25,,1.5,0.6666666666666666,,,,,,,,,16.5,16.5,0.3333333333333333,1.0,1.0,1.0,,,,,0.3333333333333333,1.0,1.0,,,,,1.0,1.0,0.5701333333333333,,0.53265,,0.3,0.7,24.2,0.25,1.0,1.0,1.0,,,,,,1.0,1.0,,,,0.3333333333333333,1.0,,,,,6.0,,2.0,1.0,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,1.0,,,,0.25,0.5,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2021,2020-21,True
1626171-1626192-1627854-201952-203507,1610612749,"Bobby Portis, Pat Connaughton, Bryn Forbes, Jeff Teague, Giannis Antetokounmpo","Portis, Connaughton, Forbes, Teague, Antetokounmpo",1626171-1626192-1627854-201952-203507,MIL,35.0,1,1.0,2.0,,,,,,,,,,,82.28571428571428,,15.0,15.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,2.0,2.0,2.0,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2021,2020-21,True
1626171-1626192-1627854-203114-203507,1610612749,"Bobby Portis, Pat Connaughton, Bryn Forbes, Khris Middleton, Giannis Antetokounmpo","Portis, Connaughton, Forbes, Middleton, Antetokounmpo",1626171-1626192-1627854-203114-203507,MIL,567.0,5,19.0,36.0,1.0,6.0,8.0,1.0,1.0,2.0,1.0,0.3333333333333333,0.5555555555555556,0.3333333333333333,91.42857142857143,0.5,14.842105263157896,14.105263157894736,9.0,-9.0,17.0,,9.0,1.0,2.0,3.0,,,,2.0,2.0,3.0,2.0,7.0,1.0,5.0,8.0,2.0,8.0,4.0,20.0,29.0,,,1.0,2.0,,,,6.0,4.0,,,7.0,2.0,3.0,5.0,1.0,12.0,2.0,,4.0,2.0,1.0,,5.0,5.0,18.0,,,0.6,0.6,0.25,0.25,0.625,,,0.5,,,0.5555555555555556,0.5,,0.5,,0.6666666666666666,0.3333333333333333,0.2222222222222222,,,0.2,0.8,16.764705882352942,16.235294117647058,0.1875,0.6666666666666666,0.6666666666666666,0.5,0.125,1.0,1.0,0.1875,0.4375,0.2857142857142857,0.2857142857142857,,,1.0,,0.6875,0.2857142857142857,0.5111866666666667,,,0.1,,10.0125,27.65,,1.0,,,,,,1.0,,2.0,2.0,,,,0.0625,,,1.0,,,6.0,,2.0,2.0,2.0,,1.0,1.0,1.0,1.0,3.0,,,,1.0,,,1.0,1.0,,,1.0,0.3333333333333333,0.3333333333333333,,1.0,,,,0.16666666666666666,0.3,,,,,,1.0,,,,,,,,,1.0,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2021,2020-21,True
1626171-1626192-1628978-200782-203507,1610612749,"Bobby Portis, Pat Connaughton, Donte DiVincenzo, P.J. Tucker, Giannis Antetokounmpo","Portis, Connaughton, DiVincenzo, Tucker, Antetokounmpo",1626171-1626192-1628978-200782-203507,MIL,63.0,2,3.0,6.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,137.14285714285714,1.0,13.333333333333334,13.333333333333334,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,7.666666666666667,7.666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,,,,,0.5,,,1.0,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2021,2020-21,True
