EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGA,SecondChanceArc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,BadPassOutOfBoundsTurnovers,FoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyEfgPct,PenaltyTsPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,LongMidRangeFGM,LongMidRangeAssists,OffThreePtRebounds,FTDefRebounds,LostBallSteals,Charge Fouls,Loose Ball Fouls,Offensive Fouls,DefFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyFG2A,PenaltyDefPoss,DefLongMidRangeReboundPct,Offensive Fouls Drawn,FtPoints,SecondChanceFtPoints,FTA,TwoPtShootingFoulsDrawn,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SelfOReb,OffCorner3ReboundPct,SelfORebPct,SecondChanceArc3FGM,SecondChanceFG3M,Fg2aBlocked,SecondChanceFg3Pct,FG2APctBlocked,ShortMidRangePctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,PenaltyFg2Pct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,Blocked3s,BlockedCorner3,AtRimPctBlocked,OffAtRimReboundPct,Corner3FGM,Corner3Assists,BlockedShortMidRange,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3FGM,PenaltyFtPoints,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyCorner3Accuracy,Loose Ball Fouls Drawn,Travels,2pt And 1 Free Throw Trips,NonShootingPenaltyNonTakeFouls,LongMidRangePctBlocked,PenaltyTurnovers,SecondChanceTurnovers,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGA,Charge Fouls Drawn,SecondChanceCorner3Frequency,Technical Free Throw Trips,SecondChanceAtRimPctAssisted,StepOutOfBoundsTurnovers,BlockedArc3,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Defensive 3 Seconds Violations,team_id,year,season,team_vs
1626149-1627936-1628398-1629659-2544,1610612747,"Montrezl Harrell, Alex Caruso, Kyle Kuzma, Talen Horton-Tucker, LeBron James","Harrell, Caruso, Kuzma, Horton-Tucker, James",1626149-1627936-1628398-1629659-2544,LAL,250.0,1,4.0,-3.0,8.0,8.0,2.0,16,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,6.0,1.0,6.0,9.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,4.0,0.6666666666666666,1.0,0.5,1.0,0.42857142857142855,0.5,0.42857142857142855,0.5,0.14285714285714285,0.6666666666666666,0.5,0.6666666666666666,1.0,0.6666666666666666,0.5,1.0,1.0,0.5,1.0,92.16,16.0,15.25,14.625,15.25,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.5,0.2857142857142857,0.5,0.5,1.0,0.14285714285714285,0.14285714285714285,0.5,1.0,0.5,0.5714285714285714,0.5158571428571429,0.6202,0.3333333333333333,7.116666666666667,29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2021,2020-21,True
1626149-1627936-1628398-202083-203471,1610612747,"Montrezl Harrell, Alex Caruso, Kyle Kuzma, Wesley Matthews, Dennis Schroder","Harrell, Caruso, Kuzma, Matthews, Schroder",1626149-1627936-1628398-202083-203471,LAL,131.0,1,2.0,7.0,6.0,5.0,,11,,,,,,,,3.0,,,,4.0,9.0,2.0,,,,,,,,3.0,,2.0,,,6.0,,2.0,2.0,4.0,,4.0,,,1.0,1.0,1.0,,,2.0,,,9.0,,,,,1.125,,1.125,,1.0,0.5,0.6666666666666666,,1.0,0.8,,,,0.5,1.0,120.91603053435115,11.166666666666666,12.8,11.166666666666666,12.8,,,,,,,,,,0.75,,,,1.0,0.5236875,,,,25.625,3.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,6.0,6.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,6.0,3.0,0.6666666666666666,0.75,0.6666666666666666,0.75,1.0,1.0,1.0,1.0,0.5,0.25,1.0,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,1.0,0.50405,0.6666666666666666,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2021,2020-21,True
1626149-1627936-1628398-202083-2544,1610612747,"Montrezl Harrell, Alex Caruso, Kyle Kuzma, Wesley Matthews, LeBron James","Harrell, Caruso, Kuzma, Matthews, James",1626149-1627936-1628398-202083-2544,LAL,347.0,2,6.0,,10.0,10.0,,20,,,,,,,2.0,5.0,,1.0,2.0,5.0,11.0,11.0,,,,,2.0,,,5.0,1.0,2.0,,,5.0,,,4.0,5.0,1.0,6.0,1.0,,1.0,,3.0,,1.0,4.0,2.0,5.0,11.0,1.0,1.0,0.5,,0.7857142857142857,,0.7857142857142857,,0.7142857142857143,0.25,0.8,,,0.8,0.3333333333333333,,,0.6666666666666666,,82.9971181556196,15.3,19.4,15.3,17.1,,,,,,,,,0.2857142857142857,0.7142857142857143,,,,0.7142857142857143,0.5001714285714286,,,16.8,26.5,,,,3.0,,,3.0,,,,3.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,0.3333333333333333,0.6,,0.6,,,1.0,,1.0,,0.6,0.6,0.3333333333333333,,,,0.6,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2021,2020-21,True
1626149-1627936-1628398-203076-2544,1610612747,"Montrezl Harrell, Alex Caruso, Kyle Kuzma, Anthony Davis, LeBron James","Harrell, Caruso, Kuzma, Davis, James",1626149-1627936-1628398-203076-2544,LAL,118.0,1,2.0,1.0,5.0,5.0,,10,,,,,1.0,1.0,1.0,2.0,,1.0,2.0,2.0,5.0,4.0,,,,,,2.0,,2.0,,1.0,,,3.0,,,2.0,2.0,,2.0,1.0,1.0,,,1.0,,,1.0,,,5.0,,,0.5,,0.625,,0.625,,0.5,,0.6666666666666666,,,0.6666666666666666,,,,1.0,,122.03389830508475,8.8,14.8,8.8,12.6,,,,,0.25,1.0,1.0,,0.25,0.5,,,,0.5,0.47075,,,12.3,28.3,1.0,,,1.0,,,1.0,,,,3.0,,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,0.5,,0.5,,,,,,,0.5,0.5,1.0,,,,0.5,0.3815,,0.2,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2021,2020-21,True
1626149-1627936-1629659-202083-2544,1610612747,"Montrezl Harrell, Alex Caruso, Talen Horton-Tucker, Wesley Matthews, LeBron James","Harrell, Caruso, Horton-Tucker, Matthews, James",1626149-1627936-1629659-202083-2544,LAL,56.0,1,1.0,1.0,1.0,2.0,,3,,,,,,,1.0,,,1.0,1.0,,2.0,1.0,,,,,2.0,,,,1.0,1.0,,,2.0,,,1.0,1.0,,1.0,,,,,,,,,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,,1.0,,,,0.5,,,0.5,,,,,,77.14285714285714,24.0,16.0,24.0,16.0,,,,,,,,,1.0,,,,,,0.4169,,,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2021,2020-21,True
1626149-1628398-203076-203471-203484,1610612747,"Montrezl Harrell, Kyle Kuzma, Anthony Davis, Dennis Schroder, Kentavious Caldwell-Pope","Harrell, Kuzma, Davis, Schroder, Caldwell-Pope",1626149-1628398-203076-203471-203484,LAL,208.0,1,3.0,6.0,7.0,7.0,1.0,14,4.0,4.0,1.0,1.0,,1.0,1.0,1.0,,5.0,6.0,1.0,10.0,4.0,1.0,1.0,,2.0,4.0,6.0,2.0,1.0,2.0,2.0,1.0,,4.0,1.0,1.0,2.0,4.0,1.0,5.0,,,1.0,1.0,,,,1.0,2.0,2.0,8.0,0.4,0.5,0.8333333333333334,1.0,0.7142857142857143,1.0,0.7142857142857143,1.0,0.14285714285714285,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,,,96.92307692307692,12.142857142857142,17.571428571428573,12.142857142857142,17.571428571428573,0.5714285714285714,1.0,1.0,0.25,0.14285714285714285,,,,0.14285714285714285,0.14285714285714285,1.0,1.0,,0.7142857142857143,0.5918428571428571,0.499,0.2,5.95,27.7,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,1.0,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2021,2020-21,True
1626149-1628398-203463-203471-2544,1610612747,"Montrezl Harrell, Kyle Kuzma, Ben McLemore, Dennis Schroder, LeBron James","Harrell, Kuzma, McLemore, Schroder, James",1626149-1628398-203463-203471-2544,LAL,281.0,1,5.0,-2.0,8.0,8.0,1.0,16,2.0,3.0,,,1.0,2.0,,3.0,,3.0,5.0,3.0,7.0,9.0,,,,1.0,2.0,4.0,,3.0,1.0,1.0,1.0,,2.0,1.0,1.0,2.0,3.0,1.0,4.0,1.0,1.0,,,,,,,1.0,1.0,6.0,0.3333333333333333,0.3333333333333333,0.6,,0.375,,0.3888888888888889,0.5,0.375,,0.6666666666666666,0.5,1.0,0.75,0.2,1.0,,0.5,,81.99288256227757,17.75,17.375,17.75,15.75,0.375,0.6666666666666666,0.6666666666666666,0.5,0.25,0.5,0.5,,,0.375,,,,0.75,0.5054,,0.14285714285714285,5.0,25.8,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,0.1111111111111111,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2021,2020-21,True
1626149-1629659-202693-203484-2544,1610612747,"Montrezl Harrell, Talen Horton-Tucker, Markieff Morris, Kentavious Caldwell-Pope, LeBron James","Harrell, Horton-Tucker, Morris, Caldwell-Pope, James",1626149-1629659-202693-203484-2544,LAL,210.0,1,4.0,5.0,6.0,6.0,2.0,12,1.0,2.0,,,,1.0,1.0,2.0,1.0,2.0,4.0,3.0,9.0,4.0,,,1.0,2.0,4.0,,,2.0,2.0,3.0,1.0,,7.0,1.0,1.0,3.0,4.0,2.0,6.0,,,,,,,,,1.0,2.0,7.0,1.0,1.0,0.5,,0.5,,0.5625,0.5,0.42857142857142855,,1.0,0.5,1.0,1.0,0.5,1.0,,1.0,,82.28571428571429,16.666666666666668,18.333333333333332,14.833333333333334,18.333333333333332,0.2857142857142857,0.5,0.5,1.0,0.14285714285714285,,,,0.14285714285714285,0.2857142857142857,,,1.0,0.7142857142857143,0.5602428571428572,0.65805,0.2222222222222222,6.85,24.933333333333334,,1.0,,1.0,,,1.0,,,,3.0,,1.0,1.0,1.0,,1.0,2.0,2.0,2.0,2.0,,,1.0,0.3333333333333333,,0.3333333333333333,,,,1.0,1.0,0.14285714285714285,0.5,0.5,1.0,,,,0.5,,,,1.0,1.0,1.0,,,,,,,0.5,,1.0,1.0,1.0,,,,,2.0,2.0,2.0,1.0,0.125,0.2,2.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2021,2020-21,True
1627936-1628398-1629659-201188-203076,1610612747,"Alex Caruso, Kyle Kuzma, Talen Horton-Tucker, Marc Gasol, Anthony Davis","Caruso, Kuzma, Horton-Tucker, Gasol, Davis",1627936-1628398-1629659-201188-203076,LAL,134.0,1,2.0,2.0,4.0,4.0,,8,1.0,1.0,,,,1.0,,1.0,,1.0,2.0,1.0,2.0,,,,,,2.0,,,1.0,1.0,1.0,1.0,,2.0,,1.0,2.0,3.0,,3.0,,,1.0,1.0,,,,1.0,,1.0,2.0,1.0,1.0,0.5,,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,1.0,1.0,,1.0,1.0,,,,,,85.97014925373134,11.75,21.75,11.75,21.75,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,,,,,0.3333333333333333,,,,0.6666666666666666,0.5387166666666666,,,4.9,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2021,2020-21,True
1627936-1628398-201188-202083-203076,1610612747,"Alex Caruso, Kyle Kuzma, Marc Gasol, Wesley Matthews, Anthony Davis","Caruso, Kuzma, Gasol, Matthews, Davis",1627936-1628398-201188-202083-203076,LAL,265.0,2,4.0,-3.0,9.0,9.0,1.0,18,1.0,1.0,,,2.0,3.0,,3.0,2.0,3.0,4.0,5.0,9.0,12.0,,,2.0,3.0,,6.0,,3.0,,1.0,,,3.0,,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,,,2.0,,1.0,6.0,,,0.75,,0.5,0.75,0.5,0.75,0.5555555555555556,0.5,0.5,,1.0,0.6666666666666666,0.25,,,,,97.81132075471697,12.777777777777779,16.666666666666668,11.222222222222221,16.666666666666668,0.1111111111111111,1.0,1.0,,0.3333333333333333,0.6666666666666666,1.0,,,0.3333333333333333,,,1.0,0.6666666666666666,0.5090222222222223,0.57405,0.3333333333333333,7.925,25.639999999999997,,2.0,,1.0,,,1.0,,,,3.0,,1.0,1.0,1.0,,1.0,,,,,,,1.0,0.2,,0.2,,,1.0,1.0,,0.2222222222222222,0.3333333333333333,0.3333333333333333,1.0,,,,0.3333333333333333,,,,,,1.0,,1.0,,,1.0,,0.3333333333333333,1.0,,,,,5.0,,,,,,,,,1.0,,0.3333333333333333,1.0,1.0,1.0,0.5,0.25,0.3333333333333333,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2021,2020-21,True
