EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,FG2M,FG2A,FtPoints,Points,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,DefThreePtReboundPct,DefFGReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Minutes,PenaltyDefPoss,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,FG3M,FG3A,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,ShortMidRangeAssists,LongMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Travels,Turnovers,ShootingFouls,Charge Fouls,Offensive Fouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg3ptShotDistance,LostBallTurnovers,Corner3FGM,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,Fg3aBlocked,Corner3Assists,SecondChanceTurnovers,PenaltyTurnovers,Loose Ball Fouls,Charge Fouls Drawn,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,PenaltyFg3Pct,FG3APctBlocked,AtRimPctBlocked,Arc3PctBlocked,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,BlocksRecoveredPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGM,PenaltyCorner3Accuracy,SecondChanceCorner3FGA,Loose Ball Fouls Drawn,Offensive Fouls Drawn,SecondChanceCorner3Frequency,SecondChanceCorner3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedShortMidRange,Corner3PctBlocked,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,LostBallOutOfBoundsTurnovers,team_id,year,season,team_vs
1628389-1629130-1629134-202710-2738,1610612748,"Bam Adebayo, Duncan Robinson, Kendrick Nunn, Jimmy Butler, Andre Iguodala","Adebayo, Robinson, Nunn, Butler, Iguodala",1628389-1629130-1629134-202710-2738,MIA,28.0,1,3.0,1.0,1.0,1.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.0,1.0,1.0,102.85714285714286,28.0,28.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6495,0.6495,1.0,1.0,1.0,2.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2021,2020-21,True
1628389-1629130-1629134-202710-2772,1610612748,"Bam Adebayo, Duncan Robinson, Kendrick Nunn, Jimmy Butler, Trevor Ariza","Adebayo, Robinson, Nunn, Butler, Ariza",1628389-1629130-1629134-202710-2772,MIA,1337.0,3,14.0,50.0,49.0,4.0,99,16.0,21.0,2.0,3.0,19.0,30.0,4.0,57.0,2.0,4.0,,4.0,26.0,13.0,17.0,10.0,38.0,12.0,25.0,32.0,5.0,4.0,7.0,1.0,4.0,50.0,4.0,4.0,,0.6842105263157895,0.7647058823529411,0.6333333333333333,0.5,0.5760869565217391,0.5,0.5816326530612245,0.5,1.0,0.96,1.0,106.62677636499625,14.36734693877551,14.244897959183673,0.45652173913043476,0.7619047619047619,0.7619047619047619,0.625,0.75,0.6666666666666666,0.8043478260869565,0.5692923913043478,0.60075,0.08163265306122448,0.12121212121212122,0.07017543859649122,4.4,0.08,22.0,2.0,5.0,3.0,5.0,2.0,6.0,1.0,3.0,1.0,5.0,15.0,1.0,5.0,16.0,43.0,3.0,5.0,1.0,1.0,7.0,12.0,12.0,3.0,4.0,15.0,5.0,1.0,4.0,4.0,2.0,1.0,4.0,3.0,12.0,1.0,7.0,2.0,4.0,2.0,2.0,3.0,1.0,3.0,5.0,1.0,8.0,1.0,2.0,1.0,0.8,0.3125,0.3125,0.6,0.5,0.5,0.34782608695652173,0.03333333333333333,0.16666666666666666,0.375,1.0,0.9230769230769231,0.2727272727272727,0.36363636363636365,0.3181818181818182,0.6,0.4,0.5,1.0,1.0,1.0,0.09523809523809523,12.66,12.24,0.13043478260869565,0.3333333333333333,0.4,1.0,0.06521739130434782,0.3333333333333333,0.3333333333333333,1.0,0.021739130434782608,0.32608695652173914,0.3333333333333333,0.3333333333333333,0.8,0.8333333333333334,0.6,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.7390666666666666,0.12280701754385964,26.3875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2021,2020-21,True
1628389-1629130-1629639-201609-202710,1610612748,"Bam Adebayo, Duncan Robinson, Tyler Herro, Goran Dragic, Jimmy Butler","Adebayo, Robinson, Herro, Dragic, Butler",1628389-1629130-1629639-201609-202710,MIA,27.0,1,,,1.0,,1,,,,,,1.0,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,53.33333333333333,25.0,25.0,,,,,,,,0.2551,0.2551,,,,22.8,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2021,2020-21,True
1628389-1629130-1629639-202710-2738,1610612748,"Bam Adebayo, Duncan Robinson, Tyler Herro, Jimmy Butler, Andre Iguodala","Adebayo, Robinson, Herro, Butler, Iguodala",1628389-1629130-1629639-202710-2738,MIA,37.0,1,-2.0,1.0,2.0,,3,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,0.5,,116.75675675675676,14.0,13.5,,,,,,,1.0,0.55095,,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,2.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,0.5,,,,,,1.0,,,,,9.0,9.0,,,,,,,,,,1.0,,,,,,,,,,,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2021,2020-21,True
1628389-1629130-201609-202357-202710,1610612748,"Bam Adebayo, Duncan Robinson, Goran Dragic, Nemanja Bjelica, Jimmy Butler","Adebayo, Robinson, Dragic, Bjelica, Butler",1628389-1629130-201609-202357-202710,MIA,41.0,1,2.0,2.0,1.0,1.0,3,,,,,,,2.0,2.0,,,2.0,2.0,,,,,,1.0,1.0,1.0,,1.0,2.0,,1.0,2.0,2.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,105.36585365853658,17.0,17.0,,,,,,,,,,1.0,1.0,1.0,,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2021,2020-21,True
1628389-1629130-201609-202710-2772,1610612748,"Bam Adebayo, Duncan Robinson, Goran Dragic, Jimmy Butler, Trevor Ariza","Adebayo, Robinson, Dragic, Butler, Ariza",1628389-1629130-201609-202710-2772,MIA,2213.0,5,7.0,73.0,77.0,21.0,150,15.0,21.0,4.0,5.0,24.0,45.0,11.0,71.0,6.0,12.0,7.0,22.0,14.0,7.0,10.0,4.0,23.0,19.0,38.0,50.0,12.0,22.0,19.0,,5.0,56.0,21.0,20.0,2.0,0.2916666666666667,0.3888888888888889,0.5333333333333333,0.5,0.42857142857142855,0.5357142857142857,0.4551282051282051,0.55,0.9047619047619048,0.8409090909090909,0.8,97.60506100316313,14.753246753246753,14.376623376623376,0.3,0.7142857142857143,0.75,0.26666666666666666,0.35714285714285715,0.8,0.6571428571428571,0.5288792857142858,0.5184428571428571,0.08,0.1,0.30985915492957744,7.442222222222222,0.2876712328767123,37.0,13.0,11.0,7.0,7.0,6.0,14.0,3.0,10.0,8.0,2.0,17.0,2.0,4.0,25.0,64.0,7.0,8.0,2.0,1.0,15.0,34.0,9.0,3.0,12.0,17.0,2.0,1.0,3.0,1.0,2.0,1.0,7.0,5.0,18.0,1.0,12.0,2.0,6.0,1.0,5.0,5.0,,5.0,3.0,2.0,8.0,5.0,,1.0,0.75,0.16,0.16,0.875,0.7,0.6818181818181818,0.35714285714285715,0.022222222222222223,,0.625,1.0,0.782608695652174,0.23809523809523808,0.3333333333333333,0.2857142857142857,0.16666666666666666,0.3333333333333333,0.8,0.7,1.0,0.9375,0.05,14.753424657534246,14.219178082191782,0.2,0.42857142857142855,0.42857142857142855,0.3333333333333333,0.14285714285714285,0.3,0.3,0.3333333333333333,0.11428571428571428,0.24285714285714285,0.11764705882352941,0.125,0.5,0.7,1.0,0.14285714285714285,0.2,0.11764705882352941,0.6265,0.2112676056338028,25.468000000000004,,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,0.5,0.04,0.047619047619047616,0.058823529411764705,0.375,0.14285714285714285,0.3333333333333333,1.0,0.25,0.25,1.0,0.07142857142857142,0.07142857142857142,1.0,0.04,,,,,,,,,,,,,,,,,,1610612748,2021,2020-21,True
1628389-1629130-202710-2738-2772,1610612748,"Bam Adebayo, Duncan Robinson, Jimmy Butler, Andre Iguodala, Trevor Ariza","Adebayo, Robinson, Butler, Iguodala, Ariza",1628389-1629130-202710-2738-2772,MIA,13.0,1,1.0,1.0,,1.0,1,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,1.0,2.0,,1.0,1.0,1.0,1.0,,,,,,,,0.5,0.5,,,,110.76923076923076,,,,,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2021,2020-21,True
1628389-1629134-1629639-201609-2738,1610612748,"Bam Adebayo, Kendrick Nunn, Tyler Herro, Goran Dragic, Andre Iguodala","Adebayo, Nunn, Herro, Dragic, Iguodala",1628389-1629134-1629639-201609-2738,MIA,1111.0,5,-8.0,38.0,40.0,5.0,78,8.0,10.0,1.0,2.0,10.0,18.0,2.0,34.0,1.0,2.0,,5.0,14.0,7.0,10.0,5.0,23.0,6.0,15.0,21.0,7.0,6.0,2.0,,1.0,28.0,5.0,5.0,,0.7,0.875,0.5555555555555556,0.5,0.45714285714285713,0.5,0.4722222222222222,0.5,0.75,0.8823529411764706,1.0,101.0981098109811,12.875,12.775,0.2857142857142857,0.8,0.8,0.625,0.4,0.5,0.7714285714285715,0.5294800000000001,0.56365,0.027777777777777776,0.05263157894736842,0.14705882352941177,5.183333333333334,0.13157894736842105,19.0,2.0,5.0,2.0,3.0,2.0,7.0,,1.0,2.0,3.0,15.0,,4.0,17.0,42.0,2.0,3.0,,2.0,6.0,6.0,9.0,3.0,4.0,15.0,3.0,2.0,3.0,2.0,2.0,,5.0,1.0,9.0,,6.0,2.0,4.0,4.0,,5.0,1.0,1.0,3.0,1.0,8.0,4.0,1.0,,0.75,0.23529411764705882,0.23529411764705882,0.6666666666666666,0.6666666666666666,0.75,0.4857142857142857,0.1111111111111111,0.2857142857142857,0.625,,1.0,0.125,0.4166666666666667,0.3,,0.45454545454545453,1.0,1.0,1.0,0.6666666666666666,0.1111111111111111,15.68421052631579,15.447368421052632,0.2,0.2857142857142857,0.4,1.0,0.02857142857142857,,,,0.05714285714285714,0.42857142857142855,0.2,0.2,0.6666666666666666,1.0,0.6666666666666666,,,0.2,0.7671,0.17647058823529413,26.34705882352941,4.0,1.0,1.0,,2.0,1.0,3.0,,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,,,0.3333333333333333,,,,0.2,,,1.0,0.5,0.5,1.0,0.2,0.4,,,1.0,1.0,,,,,,,,,,,,,,,,1610612748,2021,2020-21,True
1628389-1629134-1629639-202710-2738,1610612748,"Bam Adebayo, Kendrick Nunn, Tyler Herro, Jimmy Butler, Andre Iguodala","Adebayo, Nunn, Herro, Butler, Iguodala",1628389-1629134-1629639-202710-2738,MIA,473.0,2,-3.0,17.0,19.0,1.0,36,3.0,7.0,,,5.0,12.0,2.0,21.0,,,,,6.0,3.0,6.0,2.0,15.0,3.0,8.0,16.0,2.0,3.0,2.0,,1.0,19.0,,1.0,,0.6,0.6,0.4166666666666667,,0.4318181818181818,,0.45652173913043476,,0.75,0.8888888888888888,,109.5983086680761,13.894736842105264,13.894736842105264,0.3181818181818182,0.42857142857142855,0.42857142857142855,0.6666666666666666,,,0.7727272727272727,0.5444977272727273,0.5466,0.043478260869565216,0.07692307692307693,,4.658333333333333,0.058823529411764705,8.0,8.0,1.0,1.0,4.0,2.0,5.0,,,4.0,1.0,6.0,,3.0,10.0,24.0,1.0,6.0,1.0,,2.0,4.0,9.0,,,6.0,1.0,,3.0,1.0,1.0,,2.0,6.0,5.0,,8.0,3.0,,,,1.0,,,1.0,,2.0,,,1.0,1.0,0.3,0.3,0.16666666666666666,0.14285714285714285,0.14285714285714285,0.45454545454545453,,,0.5,,1.0,0.8571428571428571,0.2857142857142857,0.5714285714285714,1.0,0.2,,1.0,,0.75,0.21428571428571427,12.294117647058824,10.882352941176471,0.22727272727272727,0.4,0.4,0.5,,,,,0.18181818181818182,0.2727272727272727,0.16666666666666666,0.16666666666666666,1.0,0.5714285714285714,0.25,,,0.16666666666666666,0.5464416666666666,0.09523809523809523,24.96,1.0,2.0,,,1.0,,1.0,,2.0,,,1.0,,,,,,,,,,1.0,,,,,0.6666666666666666,,0.5,,0.5,0.5,1.0,,1.0,,,,,1.0,1.0,1.0,0.14285714285714285,,,,,,,,,,,,1610612748,2021,2020-21,True
1628389-1629134-1629639-202710-2772,1610612748,"Bam Adebayo, Kendrick Nunn, Tyler Herro, Jimmy Butler, Trevor Ariza","Adebayo, Nunn, Herro, Butler, Ariza",1628389-1629134-1629639-202710-2772,MIA,105.0,1,5.0,5.0,5.0,3.0,10,1.0,2.0,1.0,2.0,2.0,3.0,2.0,9.0,2.0,3.0,,4.0,,,1.0,,3.0,2.0,3.0,4.0,1.0,2.0,3.0,,1.0,3.0,4.0,3.0,,,,0.6666666666666666,0.6666666666666666,0.875,0.6666666666666666,0.9,0.6666666666666666,1.0,1.0,1.0,137.14285714285714,13.0,13.0,0.5,0.5,0.5,,0.6666666666666666,0.5,0.75,0.6467875,0.6507333333333333,0.4,0.25,0.4444444444444444,3.466666666666667,0.6,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,4.0,1.0,1.0,1.0,1.0,6.0,4.0,3.0,,,,,,1.0,,,,,1.0,1.0,,1.0,,,,,1.0,,1.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.25,1.5,0.25,,,1.0,,1.0,1.0,,1.0,1.0,,,,1.0,1.0,,8.0,5.4,0.25,1.0,1.0,,,,,,0.25,,,,,0.5,1.0,,,,0.744925,0.6666666666666666,24.5,,1.0,,,,,,,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,,,1.0,,,0.5,1.0,1.0,1.0,1.0,1.0,,,,,,,1610612748,2021,2020-21,True
