EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,Arc3FGA,FG3M,FG3A,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,OffTwoPtRebounds,OffRebounds,Blocked2s,BlockedShortMidRange,Blocks,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg3ptShotDistance,Corner3FGA,FtPoints,PenaltyFtPoints,DefThreePtRebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,FoulsDrawn,FTA,NonShootingFoulsDrawn,BlockedAtRim,NonShootingPenaltyNonTakeFoulsDrawn,LiveBallTurnoverPct,DefThreePtReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Corner3Frequency,Fg2aBlocked,BadPassTurnovers,FG2APctBlocked,ShortMidRangePctBlocked,Corner3FGM,Corner3Assists,OffThreePtRebounds,FTDefRebounds,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Offensive Fouls Drawn,DefFTReboundPct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyArc3FGA,PenaltyFG3A,PenaltyArc3Frequency,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,BlockedLongMidRange,RecoveredBlocks,BlocksRecoveredPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyFG3M,PtsUnassisted3s,PenaltyTurnovers,Offensive Fouls,NonShootingPenaltyNonTakeFouls,PenaltyFg3Pct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,HeaveAttempts,SecondChanceTurnovers,AtRimPctBlocked,LongMidRangePctBlocked,Charge Fouls Drawn,LostBallOutOfBoundsTurnovers,Loose Ball Fouls,OffLongMidRangeReboundPct,OffArc3ReboundPct,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceArc3Frequency,Loose Ball Fouls Drawn,SelfOReb,SelfORebPct,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Charge Fouls,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,StepOutOfBoundsTurnovers,SecondChanceAtRimPctAssisted,FTOffRebounds,OffFTReboundPct,SecondChanceFtPoints,SecondChanceCorner3FGA,Technical Free Throw Trips,SecondChanceCorner3Frequency,SecondChanceArc3FGM,SecondChanceFG3M,Travels,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Blocked3s,BlockedCorner3,DefensiveGoaltends,BlockedArc3,Defensive 3 Seconds Violations,3pt And 1 Free Throw Trips,Arc3PctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,team_id,year,season,team_vs
1628455-1628971-1629013-1629651-201142,1610612751,"Mike James, Bruce Brown, Landry Shamet, Nicolas Claxton, Kevin Durant","James, Brown, Shamet, Claxton, Durant",1628455-1628971-1629013-1629651-201142,BKN,47.0,1,1.0,-1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,91.91489361702128,10.0,18.5,10.0,18.5,1.0,1.0,1.0,1.0,0.4359,0.4359,1.0,14.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2021,2020-21,False
1628455-1628971-1629013-201933-203925,1610612751,"Mike James, Bruce Brown, Landry Shamet, Blake Griffin, Joe Harris","James, Brown, Shamet, Griffin, Harris",1628455-1628971-1629013-201933-203925,BKN,189.0,1,3.0,3.0,6.0,5.0,,,11.0,,1.0,3.0,5.0,9.0,6.0,,,,4.0,2.0,3.0,,7.0,2.0,2.0,3.0,,1.0,7.0,,,0.6666666666666666,1.0,0.6,,0.6428571428571429,,0.6428571428571429,,0.6666666666666666,0.6666666666666666,0.5,83.80952380952381,15.0,19.8,15.0,18.2,0.14285714285714285,,,,0.5660928571428572,,,4.9799999999999995,,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.2857142857142857,0.5,0.3333333333333333,1.0,1.0,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.5,0.14285714285714285,1.0,1.0,1.0,0.2857142857142857,0.5,0.5,1.0,1.0,1.0,0.7142857142857143,0.5,0.7509,0.2222222222222222,25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2021,2020-21,False
1628455-1628971-1629651-201142-202681,1610612751,"Mike James, Bruce Brown, Nicolas Claxton, Kevin Durant, Kyrie Irving","James, Brown, Claxton, Durant, Irving",1628455-1628971-1629651-201142-202681,BKN,187.0,1,3.0,6.0,6.0,5.0,1.0,1.0,11.0,,,2.0,2.0,6.0,,,,2.0,2.0,1.0,1.0,,2.0,3.0,5.0,5.0,,1.0,6.0,2.0,1.0,0.5,0.5,1.0,,0.5,,0.6,1.0,0.75,0.8333333333333334,,84.70588235294117,15.0,19.4,15.0,16.2,,,,,0.5149625,,0.3333333333333333,10.45,0.16666666666666666,,,,,,2.0,2.0,,1.0,,2.0,,,,2.0,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,0.5,,,,,,,,,0.5,1.0,1.0,0.5,0.25,,,,,,0.5,,,,24.35,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2021,2020-21,False
1628455-1628971-201142-201145-203925,1610612751,"Mike James, Bruce Brown, Kevin Durant, Jeff Green, Joe Harris","James, Brown, Durant, Green, Harris",1628455-1628971-201142-201145-203925,BKN,112.0,1,2.0,,4.0,4.0,1.0,,8.0,,,1.0,2.0,4.0,4.0,,,2.0,2.0,1.0,1.0,,2.0,1.0,2.0,2.0,,1.0,4.0,2.0,1.0,1.0,1.0,0.5,,0.5,,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,102.85714285714286,9.75,18.25,9.75,18.25,,,,,0.4006,,0.5,8.1,0.25,,,,,,1.0,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,0.5,1.0,1.0,,,,,,,,,,,,,2.0,2.0,1.0,1.0,,1.0,2.0,2.0,1.0,,1.0,1.0,1.0,,1.0,,,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2021,2020-21,False
1628455-1628971-201142-201933-202681,1610612751,"Mike James, Bruce Brown, Kevin Durant, Blake Griffin, Kyrie Irving","James, Brown, Durant, Griffin, Irving",1628455-1628971-201142-201933-202681,BKN,666.0,3,11.0,13.0,22.0,22.0,,9.0,44.0,,,12.0,17.0,30.0,17.0,,,,18.0,9.0,11.0,,24.0,6.0,11.0,13.0,2.0,3.0,30.0,,,0.75,0.75,0.7058823529411765,,0.6521739130434783,,0.6521739130434783,,0.8571428571428571,0.9090909090909091,1.0,95.13513513513514,17.136363636363637,13.136363636363637,16.954545454545453,13.045454545454545,,,,,0.5743239130434783,,,4.958823529411765,,1.0,6.0,8.0,,1.0,6.0,9.0,1.0,3.0,2.0,6.0,,1.0,,6.0,6.0,,3.0,1.0,2.0,1.0,5.0,4.0,1.0,2.0,,,,1.0,0.3333333333333333,0.3333333333333333,,,,0.2608695652173913,0.2,0.2222222222222222,,1.0,0.34782608695652173,0.75,0.75,0.8333333333333334,0.391304347826087,0.6666666666666666,0.75,0.6666666666666666,0.13043478260869565,0.3333333333333333,0.3333333333333333,1.0,1.0,,0.6086956521739131,0.3333333333333333,,,24.483333333333334,3.0,,,4.0,,,1.0,2.0,,,,,,1.0,0.5,1.0,,0.13043478260869565,1.0,,0.058823529411764705,0.1111111111111111,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,0.5,0.25,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2021,2020-21,False
1628455-1628971-201142-201933-203925,1610612751,"Mike James, Bruce Brown, Kevin Durant, Blake Griffin, Joe Harris","James, Brown, Durant, Griffin, Harris",1628455-1628971-201142-201933-203925,BKN,53.0,1,1.0,,2.0,2.0,2.0,,4.0,,,1.0,1.0,2.0,2.0,1.0,1.0,2.0,,,,,,,,,,,2.0,2.0,2.0,,,1.0,1.0,0.5,0.5,0.5,0.5,,,,108.67924528301887,10.0,16.5,10.0,16.5,,,,,0.28485,0.28485,1.0,10.7,1.0,,,,,,1.0,1.0,,1.0,,1.0,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,0.5,,,,,,,,,0.5,1.0,1.0,,0.5,,,,,,0.5,,,,31.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2021,2020-21,False
1628455-1628971-201933-202681-203925,1610612751,"Mike James, Bruce Brown, Blake Griffin, Kyrie Irving, Joe Harris","James, Brown, Griffin, Irving, Harris",1628455-1628971-201933-202681-203925,BKN,219.0,1,4.0,1.0,7.0,7.0,,3.0,14.0,,1.0,1.0,4.0,5.0,4.0,,,,2.0,1.0,2.0,,5.0,2.0,4.0,4.0,1.0,4.0,5.0,,,1.0,1.0,0.25,,0.35714285714285715,,0.35714285714285715,,1.0,1.0,1.0,92.05479452054794,15.428571428571429,15.857142857142858,15.428571428571429,15.857142857142858,0.14285714285714285,,,,0.5609714285714286,,,8.45,,,1.0,2.0,,,,1.0,1.0,3.0,1.0,3.0,,,,,3.0,,3.0,1.0,1.0,1.0,1.0,,,,,,,1.0,0.3333333333333333,0.3333333333333333,,,,0.42857142857142855,,,,,0.2857142857142857,0.5,0.5,1.0,0.14285714285714285,,,,0.42857142857142855,0.3333333333333333,0.3333333333333333,1.0,,,0.7142857142857143,0.3333333333333333,,,26.0,,,,2.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2021,2020-21,False
1628455-1629013-1629651-201142-201145,1610612751,"Mike James, Landry Shamet, Nicolas Claxton, Kevin Durant, Jeff Green","James, Shamet, Claxton, Durant, Green",1628455-1629013-1629651-201142-201145,BKN,93.0,1,2.0,,2.0,3.0,2.0,3.0,5.0,,,1.0,1.0,2.0,2.0,1.0,1.0,2.0,,,,,,1.0,2.0,2.0,,,2.0,2.0,2.0,,,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,,77.41935483870968,22.0,16.333333333333332,22.0,16.333333333333332,,,,,0.5283166666666667,0.5283166666666667,1.0,11.9,1.0,,,,,,1.0,1.0,,2.0,,2.0,,,,2.0,,,2.0,,,,,,,,1.0,,1.0,,,,,,,0.6666666666666666,,,,1.0,,,,,0.3333333333333333,1.0,1.0,,0.6666666666666666,,,,,,0.6666666666666666,,,,25.15,,,,1.0,,,,1.0,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2021,2020-21,False
1628455-1629013-1629651-201142-202681,1610612751,"Mike James, Landry Shamet, Nicolas Claxton, Kevin Durant, Kyrie Irving","James, Shamet, Claxton, Durant, Irving",1628455-1629013-1629651-201142-202681,BKN,718.0,4,12.0,-6.0,26.0,26.0,17.0,6.0,52.0,1.0,4.0,8.0,17.0,26.0,32.0,6.0,13.0,20.0,8.0,4.0,5.0,1.0,11.0,5.0,9.0,11.0,4.0,8.0,22.0,20.0,17.0,0.5,0.6666666666666666,0.47058823529411764,0.46153846153846156,0.4782608695652174,0.5625,0.52,0.5882352941176471,0.625,0.5384615384615384,0.5,104.28969359331477,13.615384615384615,14.0,13.615384615384615,13.115384615384615,0.17391304347826086,0.25,0.25,1.0,0.5151260869565217,0.518721875,0.7692307692307693,7.81764705882353,0.6538461538461539,2.0,4.0,7.0,2.0,2.0,3.0,6.0,1.0,4.0,2.0,6.0,2.0,2.0,4.0,8.0,3.0,4.0,4.0,1.0,1.0,,1.0,2.0,2.0,2.0,4.0,3.0,4.0,0.5,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.2608695652173913,0.2222222222222222,0.15384615384615385,0.3333333333333333,1.0,0.30434782608695654,0.5714285714285714,0.5714285714285714,0.25,0.2608695652173913,0.5,0.5,0.6666666666666666,0.17391304347826086,0.25,0.25,,1.0,1.0,0.5652173913043478,0.25,0.7729,0.15384615384615385,25.916666666666668,2.0,4.0,2.0,2.0,2.0,1.0,3.0,4.0,4.0,1.0,1.0,1.0,0.6666666666666666,0.4,0.5,0.3333333333333333,0.5,0.08695652173913043,,1.0,,,1.0,1.0,,2.0,4.0,1.0,3.0,,1.0,,1.0,,0.3333333333333333,,0.5,0.5,1.0,1.0,3.0,0.0625,,1.0,,1.0,0.25,0.041666666666666664,0.05555555555555555,3.0,6.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,0.6666666666666666,0.375,0.5,0.125,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2021,2020-21,False
1628455-1629013-1629651-201142-203925,1610612751,"Mike James, Landry Shamet, Nicolas Claxton, Kevin Durant, Joe Harris","James, Shamet, Claxton, Durant, Harris",1628455-1629013-1629651-201142-203925,BKN,262.0,3,4.0,7.0,8.0,10.0,6.0,9.0,18.0,1.0,2.0,2.0,7.0,9.0,2.0,1.0,5.0,7.0,,,,,,2.0,4.0,5.0,,1.0,9.0,7.0,6.0,,,0.2857142857142857,0.2,0.3888888888888889,0.35714285714285715,0.45,0.4375,1.0,1.0,,98.93129770992367,17.75,12.0,17.5,10.8,0.2222222222222222,0.5,1.0,,0.38916875,0.3947083333333334,0.7777777777777778,11.542857142857143,0.75,1.0,,2.0,,,1.0,3.0,1.0,2.0,1.0,2.0,,1.0,,4.0,,,1.0,1.0,,,,,1.0,1.0,,,,,0.5,1.0,,,,0.2222222222222222,0.25,0.25,0.5,,0.2222222222222222,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.2222222222222222,0.5,0.5,,,,0.4444444444444444,1.0,0.3214,,36.05,,2.0,2.0,1.0,,,1.0,3.0,2.0,1.0,,1.0,,1.0,1.0,1.0,,,2.0,,0.2857142857142857,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,2.0,2.0,0.2857142857142857,,,,,,,,,2.0,,,1.0,1.0,3.0,1.0,,,0.5,0.2857142857142857,,,,0.5,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2021,2020-21,False
