EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyDefPoss,Arc3FGA,NonHeaveArc3FGA,Fg2aBlocked,Fouls,FG2APctBlocked,AtRimPctBlocked,DefCorner3ReboundPct,Arc3Frequency,FTOffRebounds,SelfOReb,LostBallTurnovers,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,ThreePtShootingFoulsDrawn,OffFTReboundPct,DefLongMidRangeReboundPct,SelfORebPct,ThreePtShootingFoulsDrawnPct,SecondChanceTurnovers,OffShortMidRangeReboundPct,PenaltyOffPoss,LongMidRangeFGA,SecondChanceFtPoints,PenaltyFG2A,PenaltyOffPossExcludingTakeFouls,LongMidRangeFrequency,PenaltyShotQualityAvg,PenaltyOffPossPct,LongMidRangeFGM,Offensive Fouls,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3FGM,SecondChanceArc3FGA,FG3M,SecondChanceFG3A,PtsUnassisted3s,NonHeaveArc3FGM,FTDefRebounds,ShootingFouls,Fg3Pct,NonHeaveFg3Pct,DefFTReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceArc3Frequency,NonHeaveArc3Accuracy,DefShortMidRangeReboundPct,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,ThreePtAssists,Arc3Assists,ShortMidRangeAssists,PenaltyTurnovers,Technical Free Throw Trips,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,Assisted3sPct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,BlocksRecoveredPct,ShortMidRangePctAssisted,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyPointsPct,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Fg3aBlocked,OffThreePtRebounds,BlockedAtRim,FG3APctBlocked,Corner3PctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,PenaltyFg3Pct,ShortMidRangePctBlocked,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonShootingPenaltyNonTakeFouls,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,LostBallOutOfBoundsTurnovers,Loose Ball Fouls,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,LongMidRangeAssists,LongMidRangePctAssisted,DefensiveGoaltends,PenaltyCorner3FGA,PenaltyCorner3Frequency,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,BlockedLongMidRange,SecondChanceCorner3FGM,SecondChanceCorner3FGA,OffLongMidRangeReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Charge Fouls,PenaltyCorner3FGM,PenaltyCorner3Accuracy,StepOutOfBoundsTurnovers,Arc3PctBlocked,Blocked3s,BlockedArc3,Travels,team_id,year,season,team_vs
1626149-1627936-1628398-1629659-2544,1610612747,"Montrezl Harrell, Alex Caruso, Kyle Kuzma, Talen Horton-Tucker, LeBron James","Harrell, Caruso, Kuzma, Horton-Tucker, James",1626149-1627936-1628398-1629659-2544,LAL,250.0,1,4.0,3.0,8.0,8.0,1.0,16,2.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,3.0,9.0,6.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,7.0,0.3333333333333333,0.5,0.6,1.0,0.5,1.0,0.6428571428571429,1.0,0.16666666666666666,0.5,0.3333333333333333,0.5,1.0,0.5,0.3333333333333333,0.5,1.0,1.0,92.16,15.25,16.0,15.25,14.625,0.6666666666666666,0.5,0.5,0.5,0.16666666666666666,1.0,1.0,0.16666666666666666,1.0,1.0,0.8333333333333334,0.5442583333333334,0.7733,0.2857142857142857,0.3333333333333333,0.2222222222222222,2.94,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2021,2020-21,False
1626149-1627936-1628398-202083-203471,1610612747,"Montrezl Harrell, Alex Caruso, Kyle Kuzma, Wesley Matthews, Dennis Schroder","Harrell, Caruso, Kuzma, Matthews, Schroder",1626149-1627936-1628398-202083-203471,LAL,131.0,1,2.0,-7.0,5.0,6.0,1.0,11,1.0,3.0,1.0,1.0,,1.0,1.0,1.0,4.0,2.0,,2.0,9.0,1.0,1.0,2.0,,2.0,2.0,,,,,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,0.25,1.0,0.16666666666666666,1.0,0.16666666666666666,1.0,0.3333333333333333,,,0.3333333333333333,1.0,1.0,0.2,0.5,,,120.91603053435115,12.8,11.166666666666666,12.8,11.166666666666666,0.5,0.3333333333333333,1.0,,0.16666666666666666,,,0.16666666666666666,1.0,1.0,0.8333333333333334,0.6400666666666667,0.8598,,,1.0,2.775,24.0,3.0,1.0,1.0,2.0,1.0,0.5,0.6666666666666666,1.0,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2021,2020-21,False
1626149-1627936-1628398-202083-2544,1610612747,"Montrezl Harrell, Alex Caruso, Kyle Kuzma, Wesley Matthews, LeBron James","Harrell, Caruso, Kuzma, Matthews, James",1626149-1627936-1628398-202083-2544,LAL,347.0,2,6.0,,10.0,10.0,2.0,20,3.0,6.0,,,2.0,4.0,,5.0,10.0,,1.0,11.0,11.0,1.0,2.0,2.0,4.0,6.0,,2.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,,1.0,1.0,,,,1.0,5.0,4.0,1.0,1.0,9.0,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,,1.0,1.0,0.2,0.5,0.6666666666666666,0.2,0.3333333333333333,,0.5,82.9971181556196,19.4,15.3,17.1,15.3,0.6,0.5,0.6,0.6666666666666666,0.4,0.5,0.5,,,,0.6,0.52332,0.4365,0.18181818181818182,0.1,0.18181818181818182,5.220000000000001,,,,,1.0,1.0,0.1,0.16666666666666666,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2021,2020-21,False
1626149-1627936-1628398-203076-2544,1610612747,"Montrezl Harrell, Alex Caruso, Kyle Kuzma, Anthony Davis, LeBron James","Harrell, Caruso, Kuzma, Davis, James",1626149-1627936-1628398-203076-2544,LAL,118.0,1,2.0,-1.0,5.0,5.0,1.0,10,2.0,4.0,,,,1.0,,2.0,5.0,,,4.0,5.0,,,,4.0,,,2.0,2.0,2.0,4.0,1.0,1.0,,1.0,1.0,2.0,,,,1.0,,1.0,,1.0,,,,,4.0,1.0,1.0,0.4,,0.4,,0.4,,,1.0,,0.3333333333333333,1.0,1.0,0.3333333333333333,,,1.0,122.03389830508475,14.8,8.8,12.6,8.8,0.8,0.5,0.5,1.0,0.2,,,,,,0.8,0.66672,,,,,3.4799999999999995,,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2021,2020-21,False
1626149-1627936-1629659-202083-2544,1610612747,"Montrezl Harrell, Alex Caruso, Talen Horton-Tucker, Wesley Matthews, LeBron James","Harrell, Caruso, Horton-Tucker, Matthews, James",1626149-1627936-1629659-202083-2544,LAL,56.0,1,1.0,-1.0,2.0,1.0,1.0,3,,,,,,1.0,,,2.0,,1.0,1.0,2.0,,,1.0,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,1.0,2.0,,1.0,,,,,,,,0.16666666666666666,0.5,,,,0.5,,,0.5,,,,77.14285714285714,16.0,24.0,16.0,24.0,,,,,0.5,,,,,,,0.4344,,0.3333333333333333,0.3333333333333333,1.0,15.25,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.429,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2021,2020-21,False
1626149-1628398-203076-203471-203484,1610612747,"Montrezl Harrell, Kyle Kuzma, Anthony Davis, Dennis Schroder, Kentavious Caldwell-Pope","Harrell, Kuzma, Davis, Schroder, Caldwell-Pope",1626149-1628398-203076-203471-203484,LAL,208.0,1,3.0,-6.0,7.0,7.0,,14,,,,,,2.0,,1.0,3.0,1.0,2.0,4.0,10.0,,,,,2.0,,,,,,,1.0,,1.0,,1.0,1.0,1.0,,,,,1.0,1.0,2.0,4.0,,2.0,4.0,,,0.3333333333333333,,0.25,,0.3333333333333333,,0.25,,,,1.0,0.5,,,,1.0,96.92307692307692,17.571428571428573,12.142857142857142,17.571428571428573,12.142857142857142,,,,,0.5,,,,,,0.25,0.4254875,,0.3333333333333333,0.4,,12.4,25.9,,1.0,1.0,,1.0,,,,0.25,,,,,,,,,,,,,,,1.0,,,,0.25,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2021,2020-21,False
1626149-1628398-203463-203471-2544,1610612747,"Montrezl Harrell, Kyle Kuzma, Ben McLemore, Dennis Schroder, LeBron James","Harrell, Kuzma, McLemore, Schroder, James",1626149-1628398-203463-203471-2544,LAL,281.0,1,5.0,2.0,8.0,8.0,1.0,16,2.0,4.0,,,1.0,2.0,,3.0,6.0,2.0,,9.0,7.0,,,,2.0,4.0,,1.0,1.0,1.0,2.0,1.0,3.0,1.0,5.0,1.0,6.0,,,,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,9.0,0.3333333333333333,0.3333333333333333,0.5,,0.5625,,0.5625,,0.25,0.5,0.5,0.3333333333333333,1.0,0.8,0.25,0.5,1.0,1.0,81.99288256227757,17.375,17.75,15.75,17.75,0.5,0.5,0.5,0.5,0.25,0.5,0.5,,,,0.75,0.549425,0.5361,0.125,0.16666666666666666,,2.8833333333333333,26.85,,2.0,2.0,,2.0,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2021,2020-21,False
1626149-1629659-202693-203484-2544,1610612747,"Montrezl Harrell, Talen Horton-Tucker, Markieff Morris, Kentavious Caldwell-Pope, LeBron James","Harrell, Horton-Tucker, Morris, Caldwell-Pope, James",1626149-1629659-202693-203484-2544,LAL,210.0,1,4.0,-5.0,6.0,6.0,,12,,3.0,,,,,,1.0,4.0,1.0,2.0,4.0,9.0,,,,,2.0,,,,,,,1.0,1.0,2.0,,2.0,,,,,,,,,2.0,2.0,,1.0,4.0,,,0.25,,0.2,,0.3333333333333333,,0.2,,0.5,,0.5,0.5,,,1.0,1.0,82.28571428571429,18.333333333333332,16.666666666666668,18.333333333333332,14.833333333333334,0.6,,,,,,,,,,0.8,0.54562,,0.16666666666666666,0.2,,5.175,25.4,,1.0,1.0,2.0,1.0,0.5,0.6666666666666666,,0.2,,,,,,,,,,,,,,,1.0,,,,0.2,,,1.0,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2021,2020-21,False
1627936-1628398-1629659-201188-203076,1610612747,"Alex Caruso, Kyle Kuzma, Talen Horton-Tucker, Marc Gasol, Anthony Davis","Caruso, Kuzma, Horton-Tucker, Gasol, Davis",1627936-1628398-1629659-201188-203076,LAL,134.0,1,2.0,-2.0,4.0,4.0,,8,,,,,,,,,2.0,1.0,,,2.0,,,,,,,,,,,,1.0,1.0,2.0,,2.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,0.3333333333333333,,1.0,,1.0,1.0,,,,1.0,85.97014925373134,21.75,11.75,21.75,11.75,,,,,,,,,,,0.3333333333333333,0.4294833333333334,,,,,16.15,26.4,,1.0,1.0,,,,,,0.3333333333333333,,,,,,,,,,,,,,,2.0,,,,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2021,2020-21,False
1627936-1628398-201188-202083-203076,1610612747,"Alex Caruso, Kyle Kuzma, Marc Gasol, Wesley Matthews, Anthony Davis","Caruso, Kuzma, Gasol, Matthews, Davis",1627936-1628398-201188-202083-203076,LAL,265.0,2,4.0,3.0,9.0,9.0,1.0,18,1.0,2.0,1.0,1.0,3.0,4.0,,4.0,6.0,2.0,1.0,12.0,9.0,1.0,1.0,2.0,4.0,4.0,2.0,2.0,3.0,,7.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0,1.0,,2.0,,1.0,,2.0,1.0,1.0,,,10.0,0.5,0.6666666666666666,0.6666666666666666,1.0,0.6875,1.0,0.6875,1.0,0.25,1.0,1.0,0.5,0.6666666666666666,0.75,0.3333333333333333,1.0,,,97.81132075471697,16.666666666666668,12.777777777777779,16.666666666666668,11.222222222222221,0.25,0.5,0.5,,0.5,0.75,0.75,,1.0,1.0,0.5,0.5025,0.6605,,,0.16666666666666666,5.266666666666667,24.6,,2.0,2.0,,1.0,,,1.0,0.25,,1.0,1.0,,,1.0,,,,0.3333333333333333,,,,5.0,,,5.0,5.0,,0.49526000000000003,0.5555555555555556,,,,,1.0,,1.0,,,1.0,,,0.5,0.5,,0.5,0.5,,0.5,1.0,1.0,2.0,3.0,1.0,7.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,0.6,0.6,0.6,1.0,0.6666666666666666,1.0,0.4,0.5,0.5833333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2021,2020-21,False
