EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,PenaltyOffPoss,PenaltyAtRimFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,Steals,BadPassSteals,BlockedLongMidRange,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyEfgPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefLongMidRangeReboundPct,DefCorner3ReboundPct,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,Corner3FGM,Corner3FGA,SecondChanceArc3FGA,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PtsUnassisted2s,PtsUnassisted3s,Corner3Assists,LongMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,BadPassTurnovers,Loose Ball Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,SecondChanceTsPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceArc3Frequency,SecondChanceShotQualityAvg,SecondChancePointsPct,LostBallSteals,2pt And 1 Free Throw Trips,BlockedAtRim,OffShortMidRangeReboundPct,PenaltyDefPoss,PenaltyFG2M,PenaltyFtPoints,PenaltyTurnovers,Offensive Fouls,Charge Fouls Drawn,NonShootingPenaltyNonTakeFouls,PenaltyFg2Pct,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceAtRimFGM,PenaltyAtRimFGM,SecondChanceFG2M,PtsPutbacks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceAtRimAccuracy,PenaltyAtRimAccuracy,LongMidRangePctBlocked,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,ShortMidRangeAssists,StepOutOfBoundsTurnovers,Charge Fouls,Blocked3s,BlockedArc3,SecondChanceFg3Pct,ShortMidRangePctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,HeaveAttempts,SelfOReb,Travels,Technical Free Throw Trips,SelfORebPct,OffLongMidRangeReboundPct,SecondChanceTurnovers,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,FTOffRebounds,OffFTReboundPct,SecondChanceAtRimPctAssisted,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,ShortMidRangePctBlocked,LostBallOutOfBoundsTurnovers,OffensiveGoaltends,Arc3PctBlocked,DefensiveGoaltends,3pt And 1 Free Throw Trips,BlockedCorner3,Defensive 3 Seconds Violations,3SecondViolations,team_id,year,season,team_vs
1626178-1626181-1627884-203081-2546,1610612757,"Rondae Hollis-Jefferson, Norman Powell, Derrick Jones Jr., Damian Lillard, Carmelo Anthony","Hollis-Jefferson, Powell, Jones Jr., Lillard, Anthony",1626178-1626181-1627884-203081-2546,POR,122.0,1,2.0,1.0,5.0,5.0,10.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,0.5,0.5,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,118.03278688524591,1.0,13.0,11.4,13.0,11.4,0.5,1.0,1.0,1.0,0.5,0.5,0.5098,0.3333333333333333,0.3333333333333333,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2021,2020-21,True
1626178-1626181-1627884-203468-2546,1610612757,"Rondae Hollis-Jefferson, Norman Powell, Derrick Jones Jr., CJ McCollum, Carmelo Anthony","Hollis-Jefferson, Powell, Jones Jr., McCollum, Anthony",1626178-1626181-1627884-203468-2546,POR,123.0,1,2.0,3.0,4.0,5.0,9.0,,2.0,,,2.0,,3.0,,,,1.0,,3.0,2.0,2.0,,4.0,4.0,,,,,,,,,,,1.0,,1.0,1.0,3.0,,,,0.375,0.375,,,1.0,0.6666666666666666,0.8,,,0.5,105.3658536585366,1.0,11.0,15.8,11.0,14.8,0.5,,,,,1.0,0.5524625,,,2.55,4.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,0.5,0.5,0.5,0.375,0.375,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5524625,1.0,26.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2021,2020-21,True
1626178-1626181-1629014-1629642-2546,1610612757,"Rondae Hollis-Jefferson, Norman Powell, Anfernee Simons, Nassir Little, Carmelo Anthony","Hollis-Jefferson, Powell, Simons, Little, Anthony",1626178-1626181-1629014-1629642-2546,POR,669.0,2,11.0,-10.0,19.0,19.0,38.0,5.0,9.0,1.0,7.0,11.0,2.0,22.0,32.0,8.0,4.0,5.0,3.0,11.0,3.0,2.0,,5.0,10.0,1.0,1.0,1.0,,2.0,2.0,4.0,4.0,2.0,1.0,,,,,20.0,0.5714285714285714,0.5714285714285714,0.6363636363636364,0.47619047619047616,0.5,0.5,,0.4,0.5,0.45454545454545453,0.5,,0.5,81.79372197309416,,18.842105263157894,16.36842105263158,18.263157894736842,15.842105263157896,0.42857142857142855,0.5555555555555556,0.7142857142857143,0.6,0.047619047619047616,0.9047619047619048,0.5611166666666667,0.045454545454545456,0.08333333333333333,3.6636363636363636,,,1.0,7.0,,,2.0,10.0,,,,,3.0,7.0,1.0,2.0,1.0,,,,,,,0.5,0.2,,0.2,,,0.47619047619047616,0.18181818181818182,0.2222222222222222,1.0,,0.3333333333333333,0.14285714285714285,0.14285714285714285,,,,,0.14285714285714285,,,25.259999999999998,,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,6.0,3.0,1.0,1.0,3.0,2.0,5.0,1.0,1.0,1.0,1.0,0.25,0.5,0.375,0.4166666666666667,0.5,0.16666666666666666,1.0,0.047619047619047616,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,0.54645,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2021,2020-21,True
1626178-1626181-1629014-202683-203468,1610612757,"Rondae Hollis-Jefferson, Norman Powell, Anfernee Simons, Enes Kanter, CJ McCollum","Hollis-Jefferson, Powell, Simons, Kanter, McCollum",1626178-1626181-1629014-202683-203468,POR,604.0,2,10.0,4.0,21.0,20.0,41.0,4.0,7.0,3.0,7.0,16.0,3.0,20.0,16.0,2.0,1.0,2.0,1.0,5.0,5.0,5.0,,10.0,12.0,,1.0,1.0,,1.0,2.0,4.0,3.0,5.0,3.0,4.0,1.0,4.0,3.0,20.0,0.14285714285714285,0.14285714285714285,0.4375,0.425,0.45454545454545453,,,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666666,1.0,0.8333333333333334,97.74834437086093,0.75,14.571428571428571,14.9,13.428571428571429,14.4,0.35,0.5714285714285714,0.6666666666666666,0.25,0.15,0.55,0.50527,0.13636363636363635,0.16666666666666666,7.6125,,,1.0,3.0,,,1.0,4.0,,,,,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,0.25,,0.25,,,0.2,0.0625,0.14285714285714285,1.0,,0.15,0.3333333333333333,0.3333333333333333,1.0,,,,0.3333333333333333,,,24.525,,2.0,,2.0,6.0,1.0,,1.0,1.0,1.0,1.0,,,12.0,,,,,2.0,2.0,,,,,,0.2222222222222222,,0.16666666666666666,0.3333333333333333,,,0.3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.05,,,,,0.5,0.43045,,1.0,1.0,3.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2021,2020-21,True
1626178-1626181-1629014-203468-203994,1610612757,"Rondae Hollis-Jefferson, Norman Powell, Anfernee Simons, CJ McCollum, Jusuf Nurkic","Hollis-Jefferson, Powell, Simons, McCollum, Nurkic",1626178-1626181-1629014-203468-203994,POR,198.0,1,3.0,-5.0,7.0,7.0,14.0,,1.0,,1.0,2.0,3.0,5.0,10.0,,,,,,1.0,1.0,,2.0,3.0,1.0,1.0,2.0,,3.0,2.0,5.0,3.0,4.0,2.0,1.0,,1.0,,4.0,,,0.5,0.3333333333333333,0.5,0.3333333333333333,,0.5,0.5,0.5,0.5,,0.5,101.81818181818183,,14.285714285714286,14.0,13.857142857142858,12.0,0.3333333333333333,,,,,0.6666666666666666,0.5433666666666667,0.4,0.5,3.35,6.0,1.0,,1.0,,1.0,,1.0,2.0,,1.0,3.0,,1.0,,,,,,,,3.0,6.0,,,,,0.3333333333333333,0.375,0.3333333333333333,,,,,0.3333333333333333,,,,0.3333333333333333,0.3333333333333333,,,0.5433666666666667,0.6,25.6,0.8571428571428571,1.0,,1.0,1.0,,,,,,,1.0,1.0,2.0,,,,,1.0,1.0,1.0,,,,0.5,1.0,,0.5,1.0,,,0.3333333333333333,1.0,1.0,,,,,,,,,,,0.2,,,1.0,,7.0,1.0,1.0,3.0,1.0,1.0,2.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2021,2020-21,True
1626178-1626181-1629014-203468-2546,1610612757,"Rondae Hollis-Jefferson, Norman Powell, Anfernee Simons, CJ McCollum, Carmelo Anthony","Hollis-Jefferson, Powell, Simons, McCollum, Anthony",1626178-1626181-1629014-203468-2546,POR,9.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2021,2020-21,True
1626178-1626181-1629642-203468-203496,1610612757,"Rondae Hollis-Jefferson, Norman Powell, Nassir Little, CJ McCollum, Robert Covington","Hollis-Jefferson, Powell, Little, McCollum, Covington",1626178-1626181-1629642-203468-203496,POR,56.0,1,1.0,1.0,2.0,3.0,5.0,,,,,,1.0,1.0,,,,,,,3.0,,,3.0,3.0,,,,,,,,2.0,4.0,,,,,,1.0,,,,,0.16666666666666666,,,,1.0,1.0,,,1.0,128.57142857142856,,11.0,11.333333333333334,11.0,11.333333333333334,,,,,,1.0,0.5283,,,,2.0,,,1.0,,1.0,,1.0,,,1.0,1.0,,1.0,,,,,,,,1.0,2.0,,,,,,0.16666666666666666,1.0,,,,1.0,1.0,,,,,1.0,,,0.5283,1.0,27.1,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2021,2020-21,True
1626178-1626181-1629642-203468-2546,1610612757,"Rondae Hollis-Jefferson, Norman Powell, Nassir Little, CJ McCollum, Carmelo Anthony","Hollis-Jefferson, Powell, Little, McCollum, Anthony",1626178-1626181-1629642-203468-2546,POR,382.0,3,6.0,4.0,11.0,11.0,22.0,4.0,4.0,1.0,5.0,5.0,4.0,17.0,13.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,6.0,7.0,1.0,,,,1.0,1.0,3.0,3.0,4.0,1.0,1.0,,1.0,,15.0,0.2,0.25,1.0,0.7222222222222222,0.7727272727272727,1.0,1.0,0.5,0.8,0.7142857142857143,,,0.6666666666666666,82.93193717277488,,14.636363636363637,20.09090909090909,14.636363636363637,17.454545454545453,0.4444444444444444,1.0,1.0,0.25,0.1111111111111111,0.8888888888888888,0.62215,0.1,0.16666666666666666,4.18,4.0,3.0,1.0,2.0,,,1.0,4.0,3.0,,,8.0,,2.0,1.0,,,,,,,8.0,4.0,,0.25,,0.25,1.0,1.0,0.4444444444444444,,,1.0,1.0,0.2222222222222222,0.5,0.5,,1.0,,,0.5,0.6697333333333333,0.47058823529411764,23.95,0.36363636363636365,1.0,1.0,,,1.0,,2.0,,1.0,,,2.0,8.0,3.0,,,1.0,,1.0,1.0,,,,1.0,,0.3333333333333333,0.3333333333333333,,,0.5,,,,1.0,1.0,,0.2222222222222222,,,,1.0,,,0.11764705882352941,,,1.0,,9.0,3.0,2.0,,,,,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2021,2020-21,True
1626178-1626181-1629642-203496-2546,1610612757,"Rondae Hollis-Jefferson, Norman Powell, Nassir Little, Robert Covington, Carmelo Anthony","Hollis-Jefferson, Powell, Little, Covington, Anthony",1626178-1626181-1629642-203496-2546,POR,43.0,1,1.0,2.0,2.0,1.0,3.0,,1.0,1.0,1.0,2.0,,2.0,,2.0,1.0,1.0,,2.0,1.0,,,1.0,1.0,,,,,,,,,,,1.0,,1.0,,,1.0,1.0,0.5,0.5,0.5,,,,1.0,0.3333333333333333,,,,100.46511627906976,,10.0,23.0,9.0,22.0,0.5,,,,0.5,0.5,0.41025,,,10.3,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.5,1.0,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,2.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,0.353,1.0,,,1.0,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2021,2020-21,True
1626178-1626181-202683-203081-203468,1610612757,"Rondae Hollis-Jefferson, Norman Powell, Enes Kanter, Damian Lillard, CJ McCollum","Hollis-Jefferson, Powell, Kanter, Lillard, McCollum",1626178-1626181-202683-203081-203468,POR,102.0,1,2.0,-8.0,3.0,4.0,7.0,,1.0,2.0,,3.0,,,8.0,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,98.82352941176471,,19.0,11.25,19.0,10.25,0.3333333333333333,,,,0.6666666666666666,0.3333333333333333,0.4164333333333334,,,11.533333333333333,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.3333333333333333,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2021,2020-21,True
