EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,OffPoss,PenaltyOffPoss,TotalPoss,Corner3FGA,PenaltyCorner3FGA,FG3A,PenaltyFG3A,PenaltyOffPossExcludingTakeFouls,FG3APct,Pace,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,Corner3Frequency,PenaltyCorner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg3ptShotDistance,PenaltyOffPossPct,Arc3FGA,PenaltyArc3FGA,NonHeaveArc3FGA,FoulsDrawn,Arc3Frequency,PenaltyArc3Frequency,PlusMinus,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,Points,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,FirstChancePoints,PenaltyPointsExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,PenaltyPointsPct,Avg2ptShotDistance,FtPoints,PenaltyFtPoints,FTA,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Minutes,DefPoss,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,Fouls,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,AtRimFGM,AtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,OpponentPoints,PtsAssisted2s,TwoPtAssists,Corner3Assists,AtRimAssists,DefThreePtRebounds,Steals,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,ShootingFouls,Loose Ball Fouls,Offensive Fouls,TwoPtShootingFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,DefThreePtReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ShortMidRangeAssists,ShortMidRangePctAssisted,Fg2aBlocked,BadPassSteals,Charge Fouls Drawn,FG2APctBlocked,ShortMidRangePctBlocked,PenaltyDefPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,FTDefRebounds,NonShootingPenaltyNonTakeFouls,DefFTReboundPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyCorner3Accuracy,PtsUnassisted3s,LostBallOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,PenaltyArc3FGM,PenaltyTurnovers,2pt And 1 Free Throw Trips,LongMidRangePctBlocked,PenaltyArc3Accuracy,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceCorner3FGA,SecondChanceArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PtsPutbacks,LongMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,SelfOReb,Travels,SecondChanceTurnovers,Charge Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,Technical Free Throw Trips,BlockedShortMidRange,DefensiveGoaltends,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,AtRimPctBlocked,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,SelfORebPct,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceShotQualityAvg,SecondChancePointsPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Blocked3s,BlockedArc3,SecondChanceArc3FGM,OffCorner3ReboundPct,SecondChanceArc3Accuracy,team_id,year,season,team_vs
1628373-1629628-201565-203457-203944,1610612752,"Frank Ntilikina, RJ Barrett, Derrick Rose, Nerlens Noel, Julius Randle","Ntilikina, Barrett, Rose, Noel, Randle",1628373-1629628-201565-203457-203944,NYK,25.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,57.599999999999994,23.0,23.0,1.0,1.0,1.0,0.55335,0.55335,23.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2021,2020-21,True
1628373-1629628-203457-203493-203944,1610612752,"Frank Ntilikina, RJ Barrett, Nerlens Noel, Reggie Bullock, Julius Randle","Ntilikina, Barrett, Noel, Bullock, Randle",1628373-1629628-203457-203493-203944,NYK,23.0,1,1.0,1.0,1,,,1.0,1.0,1.0,1.0,62.60869565217391,23.0,23.0,,,1.0,0.30645,0.30645,27.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2021,2020-21,True
1628373-201959-202692-203493-203944,1610612752,"Frank Ntilikina, Taj Gibson, Alec Burks, Reggie Bullock, Julius Randle","Ntilikina, Gibson, Burks, Bullock, Randle",1628373-201959-202692-203493-203944,NYK,9.0,1,1.0,1.0,1,,,,,1.0,,160.0,9.0,9.0,,,,0.3119,0.3119,,1.0,,,,,,,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2021,2020-21,True
1628373-202692-203457-203493-203944,1610612752,"Frank Ntilikina, Alec Burks, Nerlens Noel, Reggie Bullock, Julius Randle","Ntilikina, Burks, Noel, Bullock, Randle",1628373-202692-203457-203493-203944,NYK,2.0,1,1.0,1.0,1,,,,,1.0,,720.0,2.0,2.0,,,,,,,1.0,,,,1.0,,,2.0,,,,,2.0,,,2.0,,2.0,2.0,,,,,1.0,1.0,,,,1.0,,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2021,2020-21,True
1629628-1630167-1630193-201959-202692,1610612752,"RJ Barrett, Obi Toppin, Immanuel Quickley, Taj Gibson, Alec Burks","Barrett, Toppin, Quickley, Gibson, Burks",1629628-1630167-1630193-201959-202692,NYK,91.0,1,4.0,,7,,,2.0,,,1.0,110.76923076923077,11.25,11.25,,,1.0,0.53625,,25.4,,2.0,,2.0,1.0,1.0,,3.0,,,,,3.0,,,,,3.0,,,,0.75,,0.75,,,,,,,,,,,,2.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.333333333333334,15.333333333333334,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2021,2020-21,True
1629628-1630167-1630193-202692-203457,1610612752,"RJ Barrett, Obi Toppin, Immanuel Quickley, Alec Burks, Nerlens Noel","Barrett, Toppin, Quickley, Burks, Noel",1629628-1630167-1630193-202692-203457,NYK,382.0,1,12.0,,24,1.0,,4.0,,,0.5,90.47120418848168,15.25,15.25,0.125,,0.75,0.58105625,,25.775,,3.0,,3.0,3.0,0.375,,-1.0,1.0,1.0,4.0,4.0,13.0,,,,4.0,13.0,,1.0,,0.6875,,0.65,,0.125,1.0,1.0,,6.6,2.0,,4.0,,,6.0,12.0,,1.0,3.0,,1.0,3.0,,7.0,2.0,4.0,4.0,1.0,,3.0,3.0,,,,,1.0,0.25,0.25,0.3333333333333333,0.5,0.6666666666666666,0.5,1.0,,,16.583333333333332,15.333333333333334,,,,,2.0,2.0,1.0,1.0,1.0,14.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.125,1.0,1.0,1.0,1.0,1.0,0.2,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2021,2020-21,True
1629628-1630167-1630193-203457-203493,1610612752,"RJ Barrett, Obi Toppin, Immanuel Quickley, Nerlens Noel, Reggie Bullock","Barrett, Toppin, Quickley, Noel, Bullock",1629628-1630167-1630193-203457-203493,NYK,25.0,1,,,1,,,,,,,57.599999999999994,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,1.0,,18.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2021,2020-21,True
1629628-1630167-201959-202692-203493,1610612752,"RJ Barrett, Obi Toppin, Taj Gibson, Alec Burks, Reggie Bullock","Barrett, Toppin, Gibson, Burks, Bullock",1629628-1630167-201959-202692-203493,NYK,117.0,1,3.0,,7,,,,,,,86.15384615384616,14.666666666666666,14.666666666666666,,,,0.44236666666666663,,,,,,,,,,-2.0,2.0,2.0,2.0,3.0,4.0,,,,2.0,4.0,,0.6666666666666666,,0.6666666666666666,,0.6666666666666666,,0.6666666666666666,1.0,1.0,,13.266666666666666,,,,,,2.0,4.0,,,,,,1.0,,2.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,0.5,0.5,0.5,,,,18.25,16.75,,,,,,,,1.0,,6.0,2.0,1.0,,,,,,,,,1.0,,,,0.5,0.5,,,,,,,,0.3333333333333333,,,,,,,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2021,2020-21,True
1629628-1630193-201565-203457-203944,1610612752,"RJ Barrett, Immanuel Quickley, Derrick Rose, Nerlens Noel, Julius Randle","Barrett, Quickley, Rose, Noel, Randle",1629628-1630193-201565-203457-203944,NYK,214.0,1,8.0,,16,2.0,,4.0,,,0.5714285714285714,107.66355140186916,13.625,13.625,0.2857142857142857,,0.8571428571428571,0.5671857142857143,,26.05,,2.0,,2.0,1.0,0.2857142857142857,,-2.0,,1.0,2.0,3.0,7.0,,,,2.0,7.0,,0.6666666666666666,,0.5,,0.5,,0.14285714285714285,,,,3.4333333333333336,,,,,,4.0,8.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,5.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,0.25,0.25,1.0,,0.5,,,,,13.125,12.5,0.5,0.5,1.0,0.5,2.0,2.0,,,,9.0,2.0,1.0,,1.0,1.0,1.0,,,,,1.0,,,,0.5,0.5,1.0,1.0,,0.2857142857142857,1.0,1.0,0.5,,,,,,,,,,,1.0,1.0,1.0,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2021,2020-21,True
1629628-1630193-201959-202692-203944,1610612752,"RJ Barrett, Immanuel Quickley, Taj Gibson, Alec Burks, Julius Randle","Barrett, Quickley, Gibson, Burks, Randle",1629628-1630193-201959-202692-203944,NYK,103.0,2,4.0,2.0,8,,,1.0,,2.0,0.5,111.84466019417476,13.0,13.0,,,1.0,0.613275,0.6933,24.5,0.5,1.0,,1.0,3.0,0.5,,1.0,,,1.0,1.0,6.0,1.0,1.0,4.0,,6.0,4.0,1.0,1.0,0.5,1.0,0.75,1.0,,,,0.6666666666666666,1.4,4.0,2.0,4.0,,,2.0,4.0,,,,,,1.0,,2.0,,2.0,2.0,,,,2.0,,,,,,,,,,,,,,,12.75,12.75,,,,,1.0,1.0,,,,5.0,2.0,1.0,,1.0,,1.0,1.0,,,,1.0,,,2.0,1.0,1.0,,,,0.5,1.0,1.0,1.0,,,,,,,0.5,0.6666666666666666,,,,,,,,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2021,2020-21,True
