EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,Fouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Minutes,ShortMidRangeFGM,ShortMidRangeFGA,ShootingFouls,NonShootingPenaltyNonTakeFouls,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,DefThreePtRebounds,DefRebounds,Rebounds,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Charge Fouls,TwoPtShootingFoulsDrawn,DefensiveGoaltends,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceOffPoss,Corner3FGA,Arc3FGA,FG3A,SecondChanceFG2A,NonHeaveArc3FGA,Fg2aBlocked,OffTwoPtRebounds,DefTwoPtRebounds,OffRebounds,Loose Ball Fouls,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,Corner3Frequency,Arc3Frequency,SecondChanceShotQualityAvg,Avg3ptShotDistance,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Arc3FGM,SecondChanceArc3FGA,FG3M,SecondChanceFG2M,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGM,ThreePtAssists,Corner3Assists,AtRimAssists,OffThreePtRebounds,FTDefRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,LiveBallTurnoverPct,DefFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimPctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,NonHeaveArc3Accuracy,SecondChancePointsPct,PenaltyCorner3FGA,SecondChanceArc3FGM,PenaltyFG3A,Arc3Assists,ShortMidRangeAssists,LostBallTurnovers,SecondChanceTurnovers,Offensive Fouls,Offensive Fouls Drawn,NonShootingPenaltyNonTakeFoulsDrawn,AtRimPctBlocked,LongMidRangePctBlocked,OffAtRimReboundPct,DefCorner3ReboundPct,ShortMidRangePctAssisted,Arc3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,OffLongMidRangeReboundPct,LostBallOutOfBoundsTurnovers,PenaltyArc3FGA,ThreePtShootingFoulsDrawn,PenaltyArc3Frequency,ThreePtShootingFoulsDrawnPct,BadPassOutOfBoundsTurnovers,PenaltyArc3FGM,PenaltyFG3M,Fg3aBlocked,Travels,PenaltyFg3Pct,FG3APctBlocked,Arc3PctBlocked,PenaltyArc3Accuracy,Charge Fouls Drawn,PenaltyCorner3FGM,PenaltyCorner3Accuracy,HeaveAttempts,SecondChanceAtRimPctAssisted,Blocked3s,BlockedArc3,Technical Free Throw Trips,StepOutOfBoundsTurnovers,Defensive 3 Seconds Violations,Corner3PctBlocked,BlockedLongMidRange,OffensiveGoaltends,team_id,year,season,team_vs
101150-1628381-1628989-1629027-201568,1610612737,"Lou Williams, John Collins, Kevin Huerter, Trae Young, Danilo Gallinari","Williams, Collins, Huerter, Young, Gallinari",101150-1628381-1628989-1629027-201568,ATL,23.0,3,6.0,4.0,1.0,4.0,1.0,5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,8.0,2.0,2.0,2.0,4.0,8.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,2.0,8.0,4.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,313.04347826086956,5.5,1.0,5.5,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,0.537,0.537,1.0,7.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2021,2020-21,False
101150-1628381-1628989-1629027-203991,1610612737,"Lou Williams, John Collins, Kevin Huerter, Trae Young, Clint Capela","Williams, Collins, Huerter, Young, Capela",101150-1628381-1628989-1629027-203991,ATL,67.0,1,1.0,2.0,2.0,,2.0,4,,,,,1.0,1.0,2.0,2.0,,4.0,3.0,,,,,,4.0,,,,,3.0,,,,4.0,,,,,1.0,,1.0,,1.0,,85.97014925373134,12.5,21.0,12.5,21.0,,,,0.5,1.0,1.0,,,,,0.4245,,,15.5,,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2021,2020-21,False
101150-1628381-1628989-1629629-203991,1610612737,"Lou Williams, John Collins, Kevin Huerter, Cam Reddish, Clint Capela","Williams, Collins, Huerter, Reddish, Capela",101150-1628381-1628989-1629629-203991,ATL,127.0,1,-2.0,4.0,5.0,4.0,5.0,9,,1.0,,1.0,,,1.0,2.0,2.0,4.0,6.0,1.0,2.0,2.0,4.0,,2.0,,,,,2.0,1.0,2.0,,4.0,4.0,4.0,,,0.5,0.5,0.5,0.5,0.6666666666666666,0.6666666666666666,102.04724409448819,19.25,10.0,19.25,10.0,0.5,,,,,,,0.5,,0.5,0.54145,0.54145,1.0,7.15,1.0,2.0,1.0,1.0,1.0,,0.5,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2021,2020-21,False
101150-1628381-1628989-201568-203503,1610612737,"Lou Williams, John Collins, Kevin Huerter, Danilo Gallinari, Tony Snell","Williams, Collins, Huerter, Gallinari, Snell",101150-1628381-1628989-201568-203503,ATL,159.0,1,-5.0,4.0,4.0,,,8,,,,,,,,2.0,,,5.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,72.45283018867924,21.5,18.25,21.0,16.75,,,,,,,,,,0.5,0.4498125,,,6.5,,3.0,,2.0,,,0.5,,,,1.0,2.0,1.0,1.0,,,,,,0.3333333333333333,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.25,0.5,1.0,0.25,0.25,0.3741,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2021,2020-21,False
101150-1628381-1628989-201568-203524,1610612737,"Lou Williams, John Collins, Kevin Huerter, Danilo Gallinari, Solomon Hill","Williams, Collins, Huerter, Gallinari, Hill",101150-1628381-1628989-201568-203524,ATL,4.0,1,-3.0,,1.0,,1.0,1,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,360.0,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2021,2020-21,False
101150-1628381-1628989-201568-203992,1610612737,"Lou Williams, John Collins, Kevin Huerter, Danilo Gallinari, Bogdan Bogdanovic","Williams, Collins, Huerter, Gallinari, Bogdanovic",101150-1628381-1628989-201568-203992,ATL,1088.0,8,-11.0,36.0,36.0,2.0,1.0,72,5.0,5.0,,,,2.0,7.0,18.0,10.0,33.0,44.0,,1.0,2.0,2.0,4.0,10.0,2.0,4.0,,10.0,8.0,8.0,11.0,,23.0,2.0,2.0,0.2857142857142857,0.4,0.3888888888888889,,0.3484848484848485,,0.4342105263157895,0.5,95.29411764705883,15.583333333333334,14.63888888888889,14.722222222222221,14.11111111111111,0.15151515151515152,1.0,1.0,0.06060606060606061,,,,,,0.6060606060606061,0.5207045454545455,0.356,0.06060606060606061,6.944444444444445,0.05555555555555555,18.0,2.0,11.0,3.0,1.0,0.3333333333333333,0.18181818181818182,0.2222222222222222,2.0,9.0,15.0,,5.0,,,6.0,,0.5,0.5333333333333333,0.5,0.15789473684210525,0.2608695652173913,6.0,6.0,9.0,15.0,4.0,9.0,2.0,2.0,6.0,6.0,,0.45454545454545453,0.1111111111111111,0.18181818181818182,0.5454545454545454,0.18181818181818182,0.2608695652173913,0.2222222222222222,0.5,0.18181818181818182,0.2727272727272727,0.5815,25.80666666666667,2.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,10.0,6.0,3.0,4.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,4.0,3.0,1.0,5.0,5.0,1.0,1.0,3.0,1.0,2.0,3.0,3.0,0.6666666666666666,0.2,0.3333333333333333,0.2,0.75,0.6428571428571429,0.7142857142857143,1.0,1.0,0.3333333333333333,0.375,0.25,0.6,0.5,0.09523809523809523,1.0,0.4,0.3333333333333333,0.3333333333333333,1.0,0.1111111111111111,0.1111111111111111,0.2857142857142857,1.0,0.2857142857142857,0.5,1.0,0.14285714285714285,0.1111111111111111,0.30303030303030304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2021,2020-21,False
101150-1628381-1628989-203991-203992,1610612737,"Lou Williams, John Collins, Kevin Huerter, Clint Capela, Bogdan Bogdanovic","Williams, Collins, Huerter, Capela, Bogdanovic",101150-1628381-1628989-203991-203992,ATL,2049.0,4,,60.0,63.0,4.0,8.0,123,5.0,8.0,,,3.0,7.0,17.0,30.0,10.0,74.0,74.0,,1.0,4.0,4.0,20.0,14.0,10.0,16.0,1.0,38.0,10.0,12.0,12.0,1.0,64.0,4.0,4.0,0.5882352941176471,0.5882352941176471,0.5666666666666667,,0.5517241379310345,,0.578125,0.5,86.44216691068814,17.05,16.285714285714285,16.25,15.65079365079365,0.13793103448275862,0.625,0.7142857142857143,0.1206896551724138,0.42857142857142855,0.5,0.3333333333333333,,,0.6206896551724138,0.49785344827586203,0.418425,0.05405405405405406,8.923333333333334,0.06666666666666667,34.0,9.0,15.0,4.0,,0.25862068965517243,0.6,0.6923076923076923,15.0,23.0,32.0,1.0,5.0,,,5.0,,0.6818181818181818,0.6216216216216216,0.631578947368421,0.07936507936507936,0.14285714285714285,8.0,7.0,21.0,28.0,4.0,21.0,4.0,2.0,8.0,9.0,,0.4827586206896552,0.13333333333333333,0.13333333333333333,0.5333333333333333,0.15384615384615385,0.2903225806451613,0.16666666666666666,0.5,0.1206896551724138,0.3620689655172414,0.3888,25.52857142857143,,1.0,1.0,,,9.0,1.0,10.0,1.0,1.0,1.0,5.0,10.0,18.0,12.0,,9.0,6.0,1.0,4.0,7.0,,,5.0,3.0,2.0,4.0,2.0,3.0,,3.0,1.0,2.0,3.0,1.0,0.6,0.35714285714285715,1.0,0.35714285714285715,0.25,0.5,0.625,0.8,,0.3888888888888889,0.4166666666666667,0.3333333333333333,0.5555555555555556,0.5,,0.3333333333333333,0.8,0.14285714285714285,0.14285714285714285,1.0,0.42857142857142855,0.42857142857142855,0.2,,,,,0.2,0.42857142857142855,0.13513513513513514,1.0,1.0,1.0,5.0,5.0,2.0,1.0,1.0,2.0,1.0,0.125,0.14285714285714285,0.3333333333333333,1.0,0.5555555555555556,0.5555555555555556,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2021,2020-21,False
101150-1628381-1629027-1630168-201568,1610612737,"Lou Williams, John Collins, Trae Young, Onyeka Okongwu, Danilo Gallinari","Williams, Collins, Young, Okongwu, Gallinari",101150-1628381-1629027-1630168-201568,ATL,263.0,1,3.0,8.0,9.0,8.0,,17,2.0,2.0,2.0,2.0,1.0,3.0,6.0,8.0,2.0,14.0,11.0,6.0,8.0,,12.0,4.0,8.0,2.0,2.0,,4.0,3.0,1.0,2.0,,14.0,12.0,8.0,0.3333333333333333,0.3333333333333333,0.75,0.75,0.75,0.75,0.875,0.75,93.07984790874524,14.125,16.666666666666668,13.875,13.444444444444445,0.25,1.0,1.0,0.375,0.3333333333333333,0.3333333333333333,,0.25,1.0,0.25,0.4888,0.4888,0.8571428571428571,11.3125,1.0,4.0,3.0,3.0,2.0,,0.375,1.0,1.0,2.0,3.0,4.0,,1.0,1.0,,,,1.0,0.5,1.0,,,1.0,,,,,,,1.0,1.0,1.0,1.0,,,,0.25,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,1.0,1.0,,,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,0.5,,,,0.5,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,0.3333333333333333,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2021,2020-21,False
101150-1628381-1629027-1630168-203992,1610612737,"Lou Williams, John Collins, Trae Young, Onyeka Okongwu, Bogdan Bogdanovic","Williams, Collins, Young, Okongwu, Bogdanovic",101150-1628381-1629027-1630168-203992,ATL,200.0,2,-8.0,6.0,6.0,,,12,,1.0,,,,,1.0,2.0,,5.0,13.0,,,,,2.0,,1.0,1.0,,2.0,1.0,,,,5.0,,,1.0,1.0,0.5,,0.5,,0.5,,86.39999999999999,21.833333333333332,11.5,21.833333333333332,11.5,0.2,,,,,,,,,0.8,0.52687,,,4.25,,3.0,1.0,1.0,,,0.2,1.0,1.0,,,,,1.0,,,,,,,,,,,,3.0,3.0,,3.0,,,,,,0.6,,,,,,,,,0.6,,26.133333333333336,,,,,,1.0,,1.0,,,,,,,3.0,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,0.3333333333333333,,0.3333333333333333,,,,1.0,,,,,,,,,,,,,0.3333333333333333,0.3333333333333333,,,,,,,0.3333333333333333,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2021,2020-21,False
101150-1628381-1629027-201568-203524,1610612737,"Lou Williams, John Collins, Trae Young, Danilo Gallinari, Solomon Hill","Williams, Collins, Young, Gallinari, Hill",101150-1628381-1629027-201568-203524,ATL,317.0,2,-9.0,11.0,11.0,,6.0,22,1.0,1.0,,,1.0,1.0,3.0,6.0,,6.0,15.0,,,,,4.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,,,6.0,,,0.6666666666666666,0.6666666666666666,0.5,,0.3333333333333333,,0.3333333333333333,,99.93690851735016,15.454545454545455,13.363636363636363,15.454545454545455,11.545454545454545,0.1111111111111111,1.0,1.0,0.1111111111111111,1.0,1.0,1.0,,,0.4444444444444444,0.4889777777777778,,,9.033333333333333,,5.0,1.0,4.0,,,0.4444444444444444,0.25,0.3333333333333333,3.0,4.0,4.0,2.0,3.0,,,,,0.75,0.5714285714285714,0.75,,,,1.0,2.0,3.0,,2.0,1.0,,1.0,,,0.3333333333333333,0.16666666666666666,0.25,0.3333333333333333,,,,0.5,0.1111111111111111,0.2222222222222222,,25.766666666666666,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2021,2020-21,False
