EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,DefPoss,PenaltyDefPoss,TotalPoss,OpponentPoints,Fouls,Pace,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,Minutes,OffPoss,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,PtsUnassisted2s,NonHeaveArc3FGA,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,LiveBallTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Charge Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Fg2Pct,EfgPct,TsPct,FG3APct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsPutbacks,OffThreePtRebounds,OffRebounds,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChancePointsPct,PenaltyOffPoss,PenaltyAtRimFGA,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,SecondChanceFG3A,SecondChanceFtPoints,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,SelfOReb,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyEfgPct,PenaltyTsPct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,Arc3PctBlocked,OffTwoPtReboundPct,DefThreePtReboundPct,OffAtRimReboundPct,DefArc3ReboundPct,SelfORebPct,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,Offensive Fouls Drawn,NonShootingPenaltyNonTakeFouls,LongMidRangeFGA,LongMidRangeFrequency,BadPassOutOfBoundsTurnovers,PenaltyTurnovers,LongMidRangeFGM,PenaltyFG2M,PenaltyFg2Pct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,OffLongMidRangeReboundPct,PenaltyAtRimFGM,PtsAssisted2s,TwoPtAssists,AtRimAssists,Assisted2sPct,NonPutbacksAssisted2sPct,AtRimPctAssisted,PenaltyAtRimAccuracy,Corner3FGM,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,Steals,BadPassSteals,LostBallSteals,BadPassTurnovers,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Loose Ball Fouls,Offensive Fouls,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,Corner3PctBlocked,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,ShortMidRangePctAssisted,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,PenaltyCorner3FGM,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,DefCorner3ReboundPct,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,BlockedLongMidRange,ShortMidRangePctBlocked,StepOutOfBoundsTurnovers,SecondChanceCorner3FGM,Travels,SecondChanceCorner3Accuracy,Technical Free Throw Trips,SecondChanceArc3PctAssisted,HeaveAttempts,Charge Fouls Drawn,DefensiveGoaltends,team_id,year,season,team_vs
1627885-1628420-1629008-1630267-203085,1610612743,"Shaquille Harrison, Monte Morris, Michael Porter Jr., Facundo Campazzo, Austin Rivers","Harrison, Morris, Porter Jr., Campazzo, Rivers",1627885-1628420-1629008-1630267-203085,DEN,4.0,1,-1.0,1.0,1.0,1.0,1.0,1.0,360.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2021,2020-21,True
1627885-1628420-1629008-200794-203210,1610612743,"Shaquille Harrison, Monte Morris, Michael Porter Jr., Paul Millsap, JaMychal Green","Harrison, Morris, Porter Jr., Millsap, Green",1627885-1628420-1629008-200794-203210,DEN,211.0,1,-6.0,7.0,,14.0,11.0,3.0,95.54502369668246,15.714285714285714,15.714285714285714,4.0,7.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,5.0,4.0,1.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,5.0,0.6666666666666666,0.5,0.5,0.25,0.5,1.0,1.0,1.0,1.0,1.0,14.428571428571429,14.428571428571429,0.75,0.6666666666666666,0.6666666666666666,0.25,0.25,0.427425,0.2,0.25,7.666666666666667,33.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2021,2020-21,True
1627885-1628420-1629008-203210-203999,1610612743,"Shaquille Harrison, Monte Morris, Michael Porter Jr., JaMychal Green, Nikola Jokic","Harrison, Morris, Porter Jr., Green, Jokic",1627885-1628420-1629008-203210-203999,DEN,47.0,1,,1.0,1.0,2.0,2.0,1.0,61.276595744680854,29.0,29.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,2.0,2.0,1.0,,1.0,1.0,2.0,,,,,,,,,,,1.0,0.5,0.5,0.5,,1.0,,,,,18.0,18.0,,,,0.5,1.0,0.6318,,,0.7,27.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2021,2020-21,True
1627885-1628420-1630210-200794-203210,1610612743,"Shaquille Harrison, Monte Morris, Markus Howard, Paul Millsap, JaMychal Green","Harrison, Morris, Howard, Millsap, Green",1627885-1628420-1630210-200794-203210,DEN,260.0,2,6.0,7.0,1.0,17.0,9.0,,94.15384615384616,16.285714285714285,15.571428571428571,4.0,10.0,,,5.0,2.0,5.0,7.0,2.0,15.0,4.0,5.0,1.0,,3.0,6.0,,,,,,,3.0,3.0,1.0,12.0,0.4,0.5416666666666666,0.5769230769230769,0.5833333333333334,,,0.5,0.6,,1.0,14.6,13.2,,,,0.4166666666666667,1.0,0.5514208333333334,0.08333333333333333,0.2,1.7399999999999998,25.685714285714287,2.0,2.0,5.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.5,0.5,0.4166666666666667,0.4,0.5,0.3333333333333333,1.0,0.2,6.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,4.0,1.0,10.0,6.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,6.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,10.0,6.0,1.0,0.6666666666666666,0.42857142857142855,0.75,0.42857142857142855,0.9,0.8333333333333334,0.14285714285714285,0.2,0.2,0.2,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.25,0.16666666666666666,0.6,0.75,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.2,0.2,0.6,1.0,0.6,0.6068333333333333,0.44555,0.6666666666666666,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2021,2020-21,True
1627885-1628420-1630210-203210-203999,1610612743,"Shaquille Harrison, Monte Morris, Markus Howard, JaMychal Green, Nikola Jokic","Harrison, Morris, Howard, Green, Jokic",1627885-1628420-1630210-203210-203999,DEN,32.0,2,,2.0,1.0,2.0,,,90.0,16.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2021,2020-21,True
1627885-1628420-1630267-203085-203210,1610612743,"Shaquille Harrison, Monte Morris, Facundo Campazzo, Austin Rivers, JaMychal Green","Harrison, Morris, Campazzo, Rivers, Green",1627885-1628420-1630267-203085-203210,DEN,10.0,1,,1.0,1.0,2.0,,,288.0,4.0,4.0,,1.0,,1.0,,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,6.0,6.0,1.0,,,,,0.206,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2021,2020-21,True
1627885-1628420-1630267-203085-203932,1610612743,"Shaquille Harrison, Monte Morris, Facundo Campazzo, Austin Rivers, Aaron Gordon","Harrison, Morris, Campazzo, Rivers, Gordon",1627885-1628420-1630267-203085-203932,DEN,11.0,2,-4.0,2.0,2.0,3.0,4.0,2.0,392.72727272727275,3.0,3.0,,1.0,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,5.0,5.0,,,,1.0,1.0,0.3744,,,,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2021,2020-21,True
1627885-1628420-1630267-203085-203999,1610612743,"Shaquille Harrison, Monte Morris, Facundo Campazzo, Austin Rivers, Nikola Jokic","Harrison, Morris, Campazzo, Rivers, Jokic",1627885-1628420-1630267-203085-203999,DEN,34.0,3,3.0,2.0,2.0,4.0,,,169.41176470588235,4.0,4.0,1.0,2.0,,,1.0,,1.0,1.0,,3.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,3.0,,0.75,0.75,0.5,,1.0,,,,,13.0,13.0,,,,0.5,0.5,0.319575,,,22.1,26.3,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,,3.0,,3.0,1.0,,,,,,,,,,,,,,3.0,2.0,,,1.0,1.0,1.0,0.75,0.75,,,,,,,,,,,1.0,1.0,,,,,,0.5,1.0,1.0,,0.319575,1.0,1.0,,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2021,2020-21,True
1627885-1628420-1630267-203115-203932,1610612743,"Shaquille Harrison, Monte Morris, Facundo Campazzo, Will Barton, Aaron Gordon","Harrison, Morris, Campazzo, Barton, Gordon",1627885-1628420-1630267-203115-203932,DEN,3.0,1,2.0,,,1.0,,,480.0,,,,1.0,,,,,,,2.0,2.0,,,,,,,,,,,,,1.0,2.0,,2.0,,,1.0,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,1.0,,2.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2021,2020-21,True
1627885-1628420-1630267-203932-203999,1610612743,"Shaquille Harrison, Monte Morris, Facundo Campazzo, Aaron Gordon, Nikola Jokic","Harrison, Morris, Campazzo, Gordon, Jokic",1627885-1628420-1630267-203932-203999,DEN,108.0,1,-8.0,4.0,4.0,7.0,8.0,1.0,93.33333333333333,12.0,12.0,2.0,3.0,,,1.0,,1.0,2.0,,,,1.0,,,1.0,1.0,,1.0,,1.0,1.0,,,,,,,,,0.6666666666666666,,,,1.0,,,20.0,20.0,,,,0.3333333333333333,0.6666666666666666,0.49184999999999995,,,18.1,24.2,,,,,,,,,,,,,,,,,,,,,,,,3.0,,1.0,,1.0,,,,1.0,,,,1.0,,2.0,,,,,,,,,,,,,1.0,,,,,,,3.0,,,,,,,,,,,,,1.0,,1.0,,0.3333333333333333,,,,,,,0.3333333333333333,0.3333333333333333,,,,0.49184999999999995,,1.0,,,1.0,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2021,2020-21,True
1627885-1628420-203085-203115-203999,1610612743,"Shaquille Harrison, Monte Morris, Austin Rivers, Will Barton, Nikola Jokic","Harrison, Morris, Rivers, Barton, Jokic",1627885-1628420-203085-203115-203999,DEN,29.0,1,2.0,1.0,1.0,2.0,,,99.3103448275862,5.0,5.0,,1.0,,,,1.0,1.0,,,2.0,2.0,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,,,,,,,,24.0,24.0,,,,,,0.2632,,,17.3,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.2632,1.0,1.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2021,2020-21,True
1627885-1628420-203085-203210-203932,1610612743,"Shaquille Harrison, Monte Morris, Austin Rivers, JaMychal Green, Aaron Gordon","Harrison, Morris, Rivers, Green, Gordon",1627885-1628420-203085-203210-203932,DEN,32.0,1,,1.0,1.0,2.0,,,90.0,9.0,9.0,1.0,1.0,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,23.0,22.0,,,,,0.5,0.62475,,,7.15,,1.0,,1.0,,1.0,,1.0,,,,1.0,,,,,0.5,,0.5,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,0.8701,,,,,,1.0,0.5,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2021,2020-21,True
1627885-1628420-203085-203210-203999,1610612743,"Shaquille Harrison, Monte Morris, Austin Rivers, JaMychal Green, Nikola Jokic","Harrison, Morris, Rivers, Green, Jokic",1627885-1628420-203085-203210-203999,DEN,27.0,1,2.0,1.0,,3.0,,,160.0,18.0,18.0,,2.0,,,1.0,1.0,1.0,1.0,,2.0,,1.0,1.0,,1.0,1.0,,,,,,,,,,2.0,1.0,0.5,0.5,0.5,,,1.0,1.0,,1.0,4.5,1.5,,,,0.5,1.0,0.6033,,,0.9,26.1,1.0,1.0,1.0,,,,,,,,,,,,,,,0.5,1.0,1.0,,,,2.0,1.0,,,,,1.0,,1.0,,1.0,,1.0,,1.0,,2.0,,,,,,,1.0,,2.0,,,,,,,,2.0,2.0,,,,,,0.5,0.5,,,,,,,,,,,,,,,1.0,0.5,,0.5,,,0.3927,0.6033,1.0,1.0,,,,,,,,1.0,1.0,,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2021,2020-21,True
1627885-1628420-203115-203932-203999,1610612743,"Shaquille Harrison, Monte Morris, Will Barton, Aaron Gordon, Nikola Jokic","Harrison, Morris, Barton, Gordon, Jokic",1627885-1628420-203115-203932-203999,DEN,34.0,1,-2.0,1.0,1.0,3.0,2.0,1.0,127.05882352941177,,,1.0,2.0,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,17.0,0.5,,,,0.5,0.4712,,,7.45,,,,1.0,,,,,,,,,,,,,,,0.5,,,,,,2.0,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,0.4712,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2021,2020-21,True
1627885-1630267-203085-203932-203999,1610612743,"Shaquille Harrison, Facundo Campazzo, Austin Rivers, Aaron Gordon, Nikola Jokic","Harrison, Campazzo, Rivers, Gordon, Jokic",1627885-1630267-203085-203932-203999,DEN,8.0,1,2.0,,,1.0,,,180.0,,,,1.0,,,,,,,2.0,2.0,,,,,,,,,,,,,1.0,2.0,,2.0,,,1.0,,,,,,,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,1.0,,2.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2021,2020-21,True
1628420-1629008-1630210-200794-203210,1610612743,"Monte Morris, Michael Porter Jr., Markus Howard, Paul Millsap, JaMychal Green","Morris, Porter Jr., Howard, Millsap, Green",1628420-1629008-1630210-200794-203210,DEN,2412.0,7,-25.0,75.0,5.0,147.0,109.0,11.0,87.76119402985074,15.506666666666666,14.92,40.0,72.0,8.0,13.0,27.0,17.0,33.0,37.0,17.0,84.0,18.0,27.0,9.0,1.0,22.0,33.0,4.0,3.0,1.0,7.0,4.0,,18.0,18.0,10.0,76.0,0.5151515151515151,0.4785714285714286,0.5384615384615384,0.5285714285714286,0.5714285714285714,1.0,0.5625,0.6774193548387096,0.25,0.7142857142857143,17.34722222222222,17.01388888888889,0.18571428571428572,0.6153846153846154,0.6153846153846154,0.38571428571428573,0.6285714285714286,0.5118657142857143,0.1282051282051282,0.24390243902439024,10.306060606060607,25.13783783783784,10.0,4.0,7.0,1.0,3.0,2.0,5.0,8.0,2.0,7.0,11.0,0.4,0.3333333333333333,0.5,0.2916666666666667,0.275,0.29411764705882354,0.1,0.5714285714285714,0.5714285714285714,0.5,0.3333333333333333,0.09523809523809523,5.0,1.0,10.0,,,8.0,1.0,1.0,3.0,11.0,1.0,4.0,2.0,1.0,3.0,2.0,5.0,30.0,3.0,8.0,,1.0,10.0,18.0,7.0,46.0,4.0,12.0,,1.0,2.0,,,5.0,5.0,,0.9090909090909091,0.2972972972972973,0.3333333333333333,0.2972972972972973,0.3,0.4166666666666667,0.02702702702702703,,,,0.25,0.8,0.3333333333333333,0.8,,0.14285714285714285,0.2962962962962963,0.2962962962962963,0.875,,0.16666666666666666,0.2,,0.6,0.3333333333333333,0.2962962962962963,0.66139,0.45739,0.05952380952380952,0.06944444444444445,,,13.0,0.18571428571428572,,1.0,5.0,,,0.38461538461538464,0.38461538461538464,0.25,,16.0,8.0,4.0,0.47058823529411764,0.5,1.0,,3.0,3.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.1,0.2,0.2857142857142857,0.6,0.5,0.25,0.4,0.3,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1610612743,2021,2020-21,True
