EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGM,Corner3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PtsUnassisted2s,PtsUnassisted3s,OffTwoPtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,FirstChancePoints,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,SecondChanceTsPct,FG3APct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefArc3ReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,SecondChanceAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,AtRimFGM,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,Steals,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefTwoPtReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,PenaltyAtRimFGA,PtsAssisted3s,Fg2aBlocked,ThreePtAssists,Arc3Assists,ShortMidRangeAssists,BadPassSteals,PenaltyTurnovers,Offensive Fouls,Assisted3sPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,ShortMidRangePctAssisted,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimFGM,FTDefRebounds,LostBallOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,DefFTReboundPct,PenaltyAtRimAccuracy,SecondChanceAtRimFGM,PenaltyCorner3FGA,SecondChanceFG2M,PtsPutbacks,Offensive Fouls Drawn,Technical Free Throw Trips,BlockedAtRim,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,SecondChanceEfgPct,DefCorner3ReboundPct,SecondChanceAtRimAccuracy,PenaltyCorner3Frequency,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,Corner3Assists,LongMidRangeAssists,OffThreePtRebounds,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,SecondChanceTurnovers,Loose Ball Fouls,Loose Ball Fouls Drawn,RecoveredBlocks,DefensiveGoaltends,SecondChanceFg3Pct,LiveBallTurnoverPct,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,LongMidRangePctAssisted,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Charge Fouls,PenaltyCorner3FGM,PenaltyCorner3Accuracy,LongMidRangePctBlocked,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,Fg3aBlocked,Travels,Blocked3s,BlockedArc3,FG3APctBlocked,Corner3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,HeaveAttempts,FTOffRebounds,OffFTReboundPct,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Charge Fouls Drawn,BlockedCorner3,3SecondViolations,team_id,year,season,team_vs
1626220-1627777-1628378-202324-203903,1610612762,"Royce O'Neale, Georges Niang, Donovan Mitchell, Derrick Favors, Jordan Clarkson","O'Neale, Niang, Mitchell, Favors, Clarkson",1626220-1627777-1628378-202324-203903,UTA,165.0,2,3.0,8.0,5.0,5.0,1.0,10.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,4.0,11.0,3.0,1.0,2.0,2.0,4.0,3.0,2.0,4.0,4.0,2.0,6.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,9.0,1.0,1.0,0.5,0.7,0.7857142857142857,0.5,0.2,1.0,1.0,0.8,1.0,1.0,1.0,0.5,87.27272727272727,14.8,18.2,14.8,17.0,0.4,0.4,1.0,1.0,0.2,1.0,1.0,1.0,0.6,0.54107,0.7404,0.2857142857142857,0.3333333333333333,0.18181818181818182,6.475,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2021,2020-21,True
1626220-1627777-1628378-203497-203903,1610612762,"Royce O'Neale, Georges Niang, Donovan Mitchell, Rudy Gobert, Jordan Clarkson","O'Neale, Niang, Mitchell, Gobert, Clarkson",1626220-1627777-1628378-203497-203903,UTA,358.0,3,6.0,3.0,13.0,12.0,1.0,25.0,1.0,,,2.0,,,2.0,7.0,1.0,1.0,6.0,13.0,10.0,,1.0,1.0,2.0,3.0,1.0,2.0,4.0,1.0,5.0,,5.0,8.0,2.0,,,,12.0,1.0,1.0,0.2857142857142857,0.4375,0.5416666666666666,0.5,0.125,0.2,1.0,1.0,0.2,,1.0,,100.55865921787709,15.538461538461538,13.0,15.23076923076923,13.0,0.125,0.25,,,,,,,0.25,0.39545625,,0.2,0.2222222222222222,0.07692307692307693,12.157142857142857,26.6,6.0,5.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,5.0,10.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,10.0,6.0,2.0,0.5,0.5,1.0,0.3333333333333333,0.625,0.7142857142857143,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.5,0.25,0.25,0.125,1.0,1.0,0.25,1.0,1.0,0.4014625,0.7692307692307693,0.46153846153846156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2021,2020-21,True
1626220-1627777-201144-202324-203903,1610612762,"Royce O'Neale, Georges Niang, Mike Conley, Derrick Favors, Jordan Clarkson","O'Neale, Niang, Conley, Favors, Clarkson",1626220-1627777-201144-202324-203903,UTA,251.0,1,4.0,-1.0,9.0,9.0,1.0,18.0,1.0,1.0,2.0,4.0,,,4.0,7.0,1.0,1.0,2.0,13.0,14.0,1.0,,,6.0,,1.0,,1.0,1.0,2.0,,1.0,2.0,,,,,13.0,1.0,1.0,0.5714285714285714,0.6875,0.7222222222222222,,0.125,0.3333333333333333,,0.3333333333333333,0.3333333333333333,,,,103.26693227091633,11.88888888888889,16.0,11.555555555555555,16.0,0.125,0.5,0.5,0.6666666666666666,,,,1.0,0.25,0.41325625,0.5087,,,,9.957142857142857,28.8,9.0,3.0,,2.0,2.0,1.0,1.0,1.0,1.0,4.0,7.0,1.0,1.0,2.0,13.0,2.0,1.0,1.0,1.0,2.0,,5.0,1.0,1.0,,,1.0,1.0,1.0,2.0,1.0,13.0,9.0,,0.25,0.25,1.0,0.5714285714285714,0.6875,0.7222222222222222,0.5,,0.5,,,,,0.25,1.0,1.0,0.125,1.0,1.0,0.125,1.0,1.0,0.41325625,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2857142857142857,1.0,0.25,0.5,0.5,1.0,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2021,2020-21,True
1626220-1627777-202324-203903-204060,1610612762,"Royce O'Neale, Georges Niang, Derrick Favors, Jordan Clarkson, Joe Ingles","O'Neale, Niang, Favors, Clarkson, Ingles",1626220-1627777-202324-203903-204060,UTA,89.0,2,1.0,2.0,4.0,3.0,,7.0,2.0,,,1.0,,,2.0,3.0,,,1.0,5.0,3.0,,,,4.0,,,1.0,2.0,,2.0,,1.0,1.0,1.0,,,,5.0,,,0.6666666666666666,0.6666666666666666,0.8333333333333334,,,,1.0,1.0,,,1.0,,113.25842696629213,12.75,12.666666666666666,12.75,12.666666666666666,0.6666666666666666,0.3333333333333333,,,,,,,0.6666666666666666,0.5700666666666666,,0.3333333333333333,0.3333333333333333,,4.433333333333334,,2.0,2.0,2.0,,,,,,,2.0,2.0,,,1.0,5.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,,5.0,2.0,,,,,1.0,1.0,1.25,,,,,1.0,1.0,,,,,,,,,,,0.6299,1.0,0.5,2.0,,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2021,2020-21,True
1626220-1627777-203497-203903-204060,1610612762,"Royce O'Neale, Georges Niang, Rudy Gobert, Jordan Clarkson, Joe Ingles","O'Neale, Niang, Gobert, Clarkson, Ingles",1626220-1627777-203497-203903-204060,UTA,448.0,4,7.0,5.0,15.0,15.0,1.0,30.0,3.0,1.0,2.0,3.0,,1.0,5.0,9.0,2.0,3.0,6.0,22.0,17.0,1.0,,2.0,6.0,,1.0,5.0,6.0,1.0,7.0,,4.0,6.0,1.0,1.0,,1.0,20.0,0.6666666666666666,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.75,1.0,0.25,0.25,1.0,0.8571428571428571,0.2,,1.0,,96.42857142857143,11.2,18.666666666666668,11.2,18.466666666666665,0.25,0.25,0.6666666666666666,0.6666666666666666,0.08333333333333333,,,1.0,0.5,0.45635833333333337,0.6353,0.08333333333333333,0.1111111111111111,0.09090909090909091,8.577777777777778,25.233333333333334,9.0,11.0,3.0,,3.0,2.0,2.0,,,3.0,6.0,,1.0,6.0,12.0,4.0,2.0,2.0,2.0,4.0,1.0,10.0,1.0,,,,2.0,2.0,,3.0,2.0,12.0,9.0,1.0,0.4,0.5,,0.5,0.42857142857142855,0.6111111111111112,0.5,0.3333333333333333,1.0,,1.0,1.0,0.3333333333333333,0.25,,,0.16666666666666666,1.0,1.0,,,1.0,0.4126071428571429,0.5454545454545454,0.6,2.0,6.0,,2.0,2.0,1.0,,1.0,1.0,1.0,,,,,0.5,1.0,0.2857142857142857,2.0,,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2021,2020-21,True
1626220-1628378-1629671-202711-203497,1610612762,"Royce O'Neale, Donovan Mitchell, Miye Oni, Bojan Bogdanovic, Rudy Gobert","O'Neale, Mitchell, Oni, Bogdanovic, Gobert",1626220-1628378-1629671-202711-203497,UTA,12.0,1,,3.0,1.0,,,1.0,,,,,,,,,1.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,3.0,1.0,1.0,,1.5,1.5,,1.0,,,,,,,,120.0,11.0,,11.0,,,,,,,,,,1.0,0.306,,,,,,28.1,1.0,,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,3.0,,1.0,1.0,,1.0,,3.0,,,,,,,,,,3.0,1.0,,,,1.0,,1.5,1.5,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.306,1.0,1.0,,3.0,,1.0,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2021,2020-21,True
1626220-1628378-201144-202324-202711,1610612762,"Royce O'Neale, Donovan Mitchell, Mike Conley, Derrick Favors, Bojan Bogdanovic","O'Neale, Mitchell, Conley, Favors, Bogdanovic",1626220-1628378-201144-202324-202711,UTA,138.0,2,2.0,-5.0,5.0,4.0,,9.0,,,1.0,1.0,,,1.0,3.0,,2.0,,2.0,7.0,,,,,,,1.0,1.0,,1.0,,1.0,,,,,,2.0,,,0.3333333333333333,0.2,0.2,,0.4,,1.0,1.0,,,1.0,,93.91304347826087,18.6,11.25,18.6,11.25,,0.2,1.0,1.0,,,,,0.4,0.47199,,,,,15.133333333333333,25.3,,,,,2.0,,2.0,,,,,,,,,2.0,2.0,,1.0,1.0,,2.0,,,,,,,1.0,2.0,,,,,1.0,1.0,,,,,,,,,,,,0.4,,,0.4,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2021,2020-21,True
1626220-1628378-201144-202711-203497,1610612762,"Royce O'Neale, Donovan Mitchell, Mike Conley, Bojan Bogdanovic, Rudy Gobert","O'Neale, Mitchell, Conley, Bogdanovic, Gobert",1626220-1628378-201144-202711-203497,UTA,3895.0,8,65.0,-22.0,124.0,129.0,14.0,253.0,35.0,7.0,24.0,41.0,5.0,9.0,54.0,85.0,16.0,32.0,17.0,173.0,195.0,11.0,1.0,22.0,60.0,12.0,12.0,16.0,40.0,16.0,56.0,4.0,20.0,20.0,7.0,4.0,1.0,4.0,151.0,0.5,0.5,0.6352941176470588,0.6666666666666666,0.6825396825396826,0.7333333333333333,0.27350427350427353,0.3870967741935484,0.6666666666666666,0.6545454545454545,0.3404255319148936,0.3333333333333333,0.7894736842105263,0.09302325581395349,93.53530166880616,14.596774193548388,16.162790697674417,14.153225806451612,15.62015503875969,0.29914529914529914,0.3504273504273504,0.5853658536585366,0.6486486486486487,0.07692307692307693,0.5555555555555556,0.5555555555555556,0.5,0.5726495726495726,0.5320799145299145,0.6417166666666666,0.056451612903225805,0.07608695652173914,0.12716763005780346,6.523529411764706,24.703125,10.0,29.0,26.0,4.0,9.0,11.0,23.0,,,3.0,5.0,,,7.0,13.0,48.0,23.0,11.0,24.0,36.0,10.0,84.0,20.0,8.0,4.0,,6.0,14.0,11.0,30.0,2.0,13.0,10.0,2.0,0.4444444444444444,0.5106382978723404,,0.6,0.6,0.7222222222222222,0.6451612903225806,0.2,0.5294117647058824,1.0,0.7428571428571429,0.7428571428571429,0.38461538461538464,0.07692307692307693,0.4444444444444444,0.4444444444444444,0.19658119658119658,0.4782608695652174,0.4782608695652174,,,0.4782608695652174,0.45446,0.07514450867052024,0.08064516129032258,2.0,36.0,4.0,12.0,7.0,12.0,4.0,1.0,4.0,0.75,0.047058823529411764,,0.0975609756097561,0.47058823529411764,0.5,0.6363636363636364,0.4,1.0,4.0,1.0,,1.0,0.5,6.0,,9.0,14.0,,2.0,3.0,3.0,0.8181818181818182,0.75,0.2,0.8571428571428571,,1.0,1.0,2.0,1.0,3.0,5.0,2.0,4.0,8.0,5.0,3.0,2.0,1.0,1.0,3.0,1.0,0.3333333333333333,0.5714285714285714,0.25,0.25,0.25,0.7272727272727273,0.75,0.5,1.0,0.07142857142857142,0.14285714285714285,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,1610612762,2021,2020-21,True
1626220-1628378-201144-203497-203903,1610612762,"Royce O'Neale, Donovan Mitchell, Mike Conley, Rudy Gobert, Jordan Clarkson","O'Neale, Mitchell, Conley, Gobert, Clarkson",1626220-1628378-201144-203497-203903,UTA,55.0,1,1.0,1.0,2.0,2.0,,4.0,,,,,,1.0,,,1.0,2.0,,3.0,2.0,,,,,,,,,,,,,,,,,,3.0,0.5,0.5,,0.75,0.75,,1.0,,,,,,,,104.72727272727273,21.0,6.5,21.0,6.0,,,,,0.5,,,,1.0,0.5088,,,,,,25.3,2.0,1.0,,,,1.0,1.0,1.0,1.0,,,1.0,2.0,,3.0,,1.0,1.0,,1.0,,3.0,,,,,,,1.0,1.0,,3.0,2.0,,,,0.5,,0.75,0.75,,,,,,,,,,,0.5,1.0,1.0,0.5,1.0,1.0,0.5088,1.0,1.0,,3.0,,1.0,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2021,2020-21,True
1626220-1628378-202324-202711-203903,1610612762,"Royce O'Neale, Donovan Mitchell, Derrick Favors, Bojan Bogdanovic, Jordan Clarkson","O'Neale, Mitchell, Favors, Bogdanovic, Clarkson",1626220-1628378-202324-202711-203903,UTA,3306.0,10,55.0,2.0,111.0,110.0,9.0,221.0,31.0,3.0,9.0,23.0,1.0,7.0,34.0,62.0,16.0,38.0,18.0,134.0,132.0,5.0,2.0,19.0,40.0,6.0,9.0,28.0,39.0,11.0,50.0,4.0,25.0,22.0,10.0,1.0,,1.0,115.0,0.42105263157894735,0.42105263157894735,0.5483870967741935,0.58,0.6090909090909091,1.0555555555555556,0.38,0.32142857142857145,0.875,0.75,0.22,0.4,0.8666666666666667,0.08695652173913043,96.26134301270417,15.153153153153154,14.763636363636364,14.846846846846846,14.236363636363636,0.31,0.23,0.391304347826087,0.4090909090909091,0.07,0.14285714285714285,0.14285714285714285,0.375,0.69,0.5151305,0.5728083333333334,0.09259259259259259,0.14285714285714285,0.1417910447761194,6.214516129032258,25.476315789473684,21.0,23.0,21.0,4.0,8.0,15.0,31.0,2.0,4.0,7.0,14.0,2.0,4.0,3.0,23.0,28.0,31.0,15.0,14.0,28.0,7.0,70.0,11.0,8.0,5.0,1.0,7.0,12.0,10.0,23.0,2.0,23.0,21.0,2.0,0.4117647058823529,0.4666666666666667,0.5,0.5,0.5555555555555556,0.575,0.55,0.25,0.5454545454545454,0.6666666666666666,0.6774193548387096,0.75,0.3333333333333333,0.08,0.5,0.5,0.31,0.4838709677419355,0.4838709677419355,0.2222222222222222,0.5,0.4838709677419355,0.46905277777777776,0.17164179104477612,0.1891891891891892,8.0,42.0,4.0,14.0,14.0,5.0,3.0,3.0,3.0,0.875,0.06451612903225806,0.0967741935483871,0.043478260869565216,0.2857142857142857,0.5555555555555556,0.9333333333333333,0.4444444444444444,5.0,,2.0,2.0,,0.625,3.0,,4.0,8.0,1.0,,1.0,,0.8,1.0625,1.0,1.0,,,3.0,3.0,3.0,3.0,,2.0,2.0,5.0,5.0,,,1.0,2.0,1.0,,1.0,0.4166666666666667,0.09090909090909091,0.125,,0.5,1.0,0.5,,,0.375,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1610612762,2021,2020-21,True
