EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,ShortMidRangeAssists,AssistPoints,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Charge Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,Corner3FGM,Corner3FGA,PtsUnassisted2s,Corner3Assists,AtRimAssists,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,LostBallTurnovers,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,SecondChanceArc3FGA,SecondChanceFG3A,Fg2aBlocked,OffTwoPtRebounds,OffRebounds,LostBallSteals,BadPassOutOfBoundsTurnovers,Offensive Fouls,Offensive Fouls Drawn,ThreePtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,LongMidRangeFrequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,ThreePtShootingFoulsDrawnPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsPutbacks,OffThreePtRebounds,Loose Ball Fouls Drawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffThreePtReboundPct,OffArc3ReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChancePointsPct,SecondChanceFtPoints,LostBallOutOfBoundsTurnovers,Charge Fouls Drawn,Technical Free Throw Trips,DefensiveGoaltends,OffShortMidRangeReboundPct,LongMidRangeFGM,PenaltyCorner3FGA,PtsUnassisted3s,FTDefRebounds,SelfOReb,Loose Ball Fouls,DefFTReboundPct,DefCorner3ReboundPct,SelfORebPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,PenaltyCorner3Frequency,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,HeaveAttempts,Travels,NonShootingFoulsDrawn,BlockedAtRim,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,ShortMidRangePctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3FGM,PenaltyCorner3Accuracy,LongMidRangeAssists,OffCorner3ReboundPct,LongMidRangePctAssisted,SecondChanceTurnovers,OffensiveGoaltends,SecondChanceAtRimPctAssisted,Clear Path Fouls,FTOffRebounds,OffFTReboundPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,StepOutOfBoundsTurnovers,3SecondViolations,LongMidRangePctBlocked,Defensive 3 Seconds Violations,Corner3PctBlocked,BlockedLongMidRange,3pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,BlockedCorner3,HeaveMakes,team_id,year,season,team_vs
1626179-1628370-1628970-1628984-1629023,1610612766,"Terry Rozier, Malik Monk, Miles Bridges, Devonte' Graham, P.J. Washington","Rozier, Monk, Bridges, Graham, Washington",1626179-1628370-1628970-1628984-1629023,CHA,145.0,1,2.0,-3.0,5.0,6.0,5.0,3.0,11.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,6.0,9.0,1.0,1.0,1.0,2.0,1.0,6.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,5.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.8333333333333334,0.8333333333333334,1.0,1.0,0.6666666666666666,0.5,109.24137931034484,12.4,13.833333333333334,12.4,13.833333333333334,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,0.5,0.5,1.0,0.6666666666666666,0.5,0.6666666666666666,0.5,0.4903,0.4903,0.3333333333333333,1.0,1.0,7.1,26.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2021,2020-21,True
1626179-1628370-1628970-1628984-202330,1610612766,"Terry Rozier, Malik Monk, Miles Bridges, Devonte' Graham, Gordon Hayward","Rozier, Monk, Bridges, Graham, Hayward",1626179-1628370-1628970-1628984-202330,CHA,22.0,2,,-3.0,,2.0,,2.0,2.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,130.9090909090909,,11.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2021,2020-21,True
1626179-1628370-1628970-1628984-202687,1610612766,"Terry Rozier, Malik Monk, Miles Bridges, Devonte' Graham, Bismack Biyombo","Rozier, Monk, Bridges, Graham, Biyombo",1626179-1628370-1628970-1628984-202687,CHA,300.0,3,5.0,1.0,11.0,12.0,1.0,2.0,23.0,1.0,1.0,1.0,2.0,,,4.0,5.0,2.0,4.0,,14.0,13.0,1.0,1.0,,,,2.0,4.0,6.0,2.0,1.0,2.0,2.0,4.0,1.0,,10.0,2.0,2.0,1.0,,1.0,2.0,,,1.0,1.0,,,,,14.0,2.0,1.0,,0.5,0.5,1.0,0.5,,0.5,0.8,1.0,0.7777777777777778,1.0,0.7777777777777778,1.0,0.4444444444444444,0.5,110.4,13.909090909090908,12.25,13.909090909090908,11.916666666666666,0.1111111111111111,1.0,1.0,,0.2222222222222222,0.5,0.5,1.0,,,0.8888888888888888,0.5,0.5315055555555556,0.3624,,,0.14285714285714285,2.82,24.275,0.09090909090909091,3.0,4.0,1.0,2.0,4.0,1.0,2.0,3.0,2.0,5.0,5.0,1.0,1.0,0.75,0.8333333333333334,1.0,1.0,1.0,0.4444444444444444,0.75,0.75,0.6666666666666666,0.2222222222222222,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2021,2020-21,True
1626179-1628370-1628970-1628984-203469,1610612766,"Terry Rozier, Malik Monk, Miles Bridges, Devonte' Graham, Cody Zeller","Rozier, Monk, Bridges, Graham, Zeller",1626179-1628370-1628970-1628984-203469,CHA,388.0,2,6.0,3.0,15.0,15.0,8.0,11.0,30.0,,,,3.0,,2.0,6.0,9.0,,3.0,3.0,15.0,12.0,2.0,5.0,,2.0,1.0,5.0,6.0,,3.0,,3.0,,3.0,,,6.0,3.0,2.0,,,2.0,2.0,2.0,2.0,3.0,,6.0,9.0,2.0,4.0,15.0,5.0,8.0,,0.5,0.5,,,,,0.6666666666666666,0.4,0.5,0.2857142857142857,0.5,0.3125,0.25,,111.34020618556701,12.866666666666667,13.0,11.6,12.333333333333334,,,,,0.25,,,,0.2857142857142857,,0.9166666666666666,,0.6362458333333333,0.6088785714285715,0.3333333333333333,0.36363636363636365,0.3333333333333333,3.2333333333333334,25.900000000000002,0.5333333333333333,6.0,8.0,,,6.0,,3.0,1.0,4.0,5.0,7.0,,0.8,1.0,0.8333333333333334,0.5,1.0,1.0,0.6666666666666666,0.75,0.8571428571428571,0.5,,,,,2.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1111111111111111,0.125,0.6666666666666666,0.3333333333333333,0.5,1.0,1.0,1.0,0.08333333333333333,1.0,0.5714285714285714,0.5,0.50685,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2021,2020-21,True
1626179-1628370-1628970-1628997-202687,1610612766,"Terry Rozier, Malik Monk, Miles Bridges, Caleb Martin, Bismack Biyombo","Rozier, Monk, Bridges, Martin, Biyombo",1626179-1628370-1628970-1628997-202687,CHA,223.0,2,4.0,-1.0,7.0,6.0,,1.0,13.0,,1.0,,3.0,,,3.0,8.0,,3.0,1.0,7.0,8.0,,,,,,,,,3.0,,,,,,,,,,,,1.0,1.0,,1.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,,,,,,,,,,0.375,,0.2727272727272727,,0.3181818181818182,,0.2727272727272727,,83.94618834080717,20.0,13.833333333333334,17.571428571428573,13.166666666666666,0.09090909090909091,,,,0.2727272727272727,,,,,,0.7272727272727273,,0.5105181818181819,,0.09090909090909091,0.125,,5.8875,27.733333333333334,,3.0,5.0,,,6.0,,,1.0,2.0,3.0,8.0,,0.6666666666666666,1.0,0.75,0.6666666666666666,,1.0,0.45454545454545453,0.6,0.75,,,,,,3.0,,,2.0,1.0,1.0,1.0,2.0,5.0,,,,,,,,,,0.125,0.2,0.4,0.625,1.0,,,,0.18181818181818182,0.2,,,0.5873333333333334,,2.0,3.0,2.0,4.0,4.0,4.0,3.0,1.0,0.5,0.4,0.4,1.0,1.0,0.6,0.6666666666666666,0.5714285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2021,2020-21,True
1626179-1628370-1628970-1628998-1629023,1610612766,"Terry Rozier, Malik Monk, Miles Bridges, Cody Martin, P.J. Washington","Rozier, Monk, Bridges, Martin, Washington",1626179-1628370-1628970-1628998-1629023,CHA,858.0,5,14.0,1.0,25.0,26.0,2.0,3.0,51.0,5.0,8.0,1.0,4.0,,1.0,8.0,14.0,3.0,8.0,3.0,28.0,27.0,,,,1.0,,,8.0,9.0,4.0,1.0,4.0,3.0,7.0,1.0,3.0,17.0,1.0,1.0,2.0,,3.0,5.0,1.0,1.0,5.0,,7.0,5.0,,2.0,26.0,,2.0,,0.5,0.5,1.0,0.375,,0.375,0.5714285714285714,,0.5681818181818182,,0.5625,,0.36363636363636365,0.4,85.59440559440559,18.16,15.538461538461538,18.12,15.307692307692308,0.36363636363636365,0.625,0.625,0.6,0.18181818181818182,0.25,0.25,1.0,1.0,,0.5909090909090909,0.25,0.48301136363636366,0.55635,0.08333333333333333,0.125,,6.235714285714286,24.325,0.08,3.0,5.0,2.0,4.0,8.0,2.0,1.0,5.0,4.0,9.0,12.0,2.0,0.8,1.0,0.9,1.0,0.6666666666666666,1.0,0.22727272727272727,0.6,0.75,0.3333333333333333,0.18181818181818182,0.5,0.5,1.0,2.0,,,1.0,1.0,1.0,1.0,2.0,3.0,,,2.0,,,,,,,0.07142857142857142,0.2,0.3333333333333333,0.2727272727272727,0.5,,,,0.045454545454545456,1.0,,,0.4962,,,,,,2.0,,1.0,,,,0.3333333333333333,0.2,0.3333333333333333,,,0.07142857142857142,2.0,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2021,2020-21,True
1626179-1628370-1628970-1628998-202687,1610612766,"Terry Rozier, Malik Monk, Miles Bridges, Cody Martin, Bismack Biyombo","Rozier, Monk, Bridges, Martin, Biyombo",1626179-1628370-1628970-1628998-202687,CHA,660.0,4,11.0,-16.0,23.0,26.0,11.0,7.0,49.0,,1.0,2.0,8.0,,3.0,6.0,10.0,2.0,10.0,2.0,20.0,36.0,2.0,3.0,,5.0,2.0,6.0,6.0,,8.0,2.0,3.0,,3.0,,,6.0,1.0,,3.0,3.0,1.0,4.0,2.0,2.0,5.0,,3.0,2.0,,1.0,18.0,6.0,11.0,1.0,0.5,0.6,,0.2,,0.2,0.6,0.6666666666666666,0.45,0.25,0.47619047619047616,0.3333333333333333,0.5,0.75,106.9090909090909,15.521739130434783,11.653846153846153,15.26086956521739,11.26923076923077,0.05,,,,0.4,0.25,0.25,,0.375,,0.7,0.25,0.5407025,0.5722875,0.047619047619047616,0.09090909090909091,0.3,9.73,25.080000000000002,0.4782608695652174,4.0,4.0,,2.0,6.0,,3.0,3.0,3.0,8.0,10.0,,1.0,0.6,0.75,1.0,1.0,0.3333333333333333,0.2,1.0,1.0,0.75,0.1,,,,2.0,2.0,2.0,5.0,,,,2.0,2.0,1.0,1.0,,,,,,,,,,0.5,0.16666666666666666,,0.6666666666666666,,,0.25,,0.25,1.0,0.463,,,,1.0,2.0,2.0,2.0,,,0.5,0.5,0.5,,,,,0.1,,,1.0,,,,2.0,2.0,6.0,2.0,1.0,1.0,1.0,1.0,0.08333333333333333,0.4,0.4,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2021,2020-21,True
1626179-1628370-1628970-1629023-1629667,1610612766,"Terry Rozier, Malik Monk, Miles Bridges, P.J. Washington, Jalen McDaniels","Rozier, Monk, Bridges, Washington, McDaniels",1626179-1628370-1628970-1629023-1629667,CHA,201.0,2,3.0,-3.0,5.0,6.0,,,11.0,,1.0,1.0,1.0,,,1.0,2.0,1.0,1.0,1.0,6.0,9.0,,,,,,,,3.0,1.0,1.0,,1.0,1.0,1.0,,3.0,1.0,,2.0,1.0,,2.0,,,2.0,,2.0,2.0,,1.0,6.0,,,,,,1.0,1.0,,1.0,0.5,,0.8333333333333334,,0.75,,0.3333333333333333,1.0,78.80597014925372,18.6,18.0,18.6,16.166666666666668,0.3333333333333333,,,,0.3333333333333333,1.0,1.0,1.0,,,0.6666666666666666,1.0,0.47115,,0.25,0.3333333333333333,,5.2,25.6,,1.0,1.0,,,2.0,,,,1.0,1.0,1.0,1.0,1.0,,0.5,1.0,,,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2021,2020-21,True
1626179-1628370-1628970-1629023-1630163,1610612766,"Terry Rozier, Malik Monk, Miles Bridges, P.J. Washington, LaMelo Ball","Rozier, Monk, Bridges, Washington, Ball",1626179-1628370-1628970-1629023-1630163,CHA,619.0,8,10.0,-9.0,26.0,23.0,15.0,5.0,49.0,1.0,3.0,3.0,4.0,,1.0,5.0,10.0,5.0,9.0,5.0,30.0,39.0,3.0,7.0,,3.0,3.0,9.0,8.0,12.0,3.0,3.0,4.0,4.0,8.0,2.0,,20.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,,6.0,10.0,,2.0,27.0,8.0,14.0,,0.8,0.8,0.8,0.5555555555555556,,0.625,0.5,0.42857142857142855,0.6578947368421053,0.3,0.625,0.32142857142857145,0.47368421052631576,0.5,113.99030694668821,12.846153846153847,12.391304347826088,12.653846153846153,11.869565217391305,0.15789473684210525,0.3333333333333333,0.5,,0.21052631578947367,0.75,0.75,0.6666666666666666,0.1,,0.7894736842105263,1.0,0.5419416666666667,0.5277222222222222,0.09523809523809523,0.16666666666666666,0.3,5.1,27.155555555555555,0.5769230769230769,4.0,6.0,2.0,5.0,2.0,2.0,4.0,1.0,3.0,4.0,5.0,,0.5,0.5,0.5,0.75,,0.5,0.3157894736842105,0.6666666666666666,0.6666666666666666,1.0,0.2631578947368421,0.4,0.4,1.0,1.0,3.0,5.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,1.0,0.1,,0.2,0.125,,,,1.0,0.05263157894736842,,0.5,0.6,0.61725,,,,,,3.0,,,,,1.5,1.5,,,,,0.1,,,,,,0.5,,2.0,3.0,,,,,,,,,0.2,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2021,2020-21,True
1626179-1628370-1628970-1629023-202330,1610612766,"Terry Rozier, Malik Monk, Miles Bridges, P.J. Washington, Gordon Hayward","Rozier, Monk, Bridges, Washington, Hayward",1626179-1628370-1628970-1629023-202330,CHA,1337.0,5,22.0,-3.0,41.0,44.0,5.0,14.0,85.0,5.0,10.0,9.0,13.0,3.0,3.0,11.0,23.0,13.0,19.0,3.0,64.0,67.0,2.0,3.0,3.0,3.0,,13.0,6.0,36.0,13.0,9.0,3.0,12.0,15.0,8.0,,42.0,,,1.0,1.0,1.0,2.0,,7.0,12.0,,6.0,6.0,,3.0,56.0,13.0,5.0,,0.2727272727272727,0.2727272727272727,0.9230769230769231,0.6842105263157895,1.0,0.6842105263157895,0.4782608695652174,0.6666666666666666,0.7261904761904762,1.0833333333333333,0.7111111111111111,1.0833333333333333,0.4523809523809524,0.5,91.54824233358264,16.097560975609756,15.386363636363637,14.926829268292684,14.909090909090908,0.23809523809523808,0.5,0.5555555555555556,,0.30952380952380953,0.6923076923076923,0.6923076923076923,0.8888888888888888,0.5,1.0,0.7380952380952381,0.6923076923076923,0.5137559523809524,0.5804166666666667,0.06666666666666667,0.11538461538461539,0.203125,5.7043478260869565,25.110526315789475,0.12195121951219512,6.0,12.0,4.0,6.0,16.0,4.0,3.0,12.0,4.0,17.0,23.0,,0.8,0.9230769230769231,0.8888888888888888,1.0,0.6666666666666666,0.9,0.2857142857142857,0.5,0.6666666666666666,0.5,0.14285714285714285,0.6666666666666666,0.6666666666666666,1.0,6.0,2.0,2.0,1.0,3.0,6.0,4.0,5.0,6.0,,,1.0,,,2.0,,2.0,2.0,0.17391304347826086,0.25,0.4166666666666667,0.3333333333333333,0.3333333333333333,1.0,,1.0,0.023809523809523808,0.42857142857142855,0.3333333333333333,1.0,0.5885083333333333,,1.0,1.0,1.0,1.0,8.0,,1.0,,1.0,0.5714285714285714,0.5714285714285714,0.16666666666666666,0.25,0.14285714285714285,1.0,0.125,,,,,,0.4,,,3.0,1.0,1.0,,1.0,1.0,0.07142857142857142,,,,1.0,3.0,2.0,,,,2.0,,0.3333333333333333,0.1,0.42857142857142855,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2021,2020-21,True
