EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FG2M,FG2A,FG3M,FG3A,Points,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,ThreePtAssists,Assists,Corner3Assists,AssistPoints,Steals,BadPassSteals,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Minutes,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,Arc3FGA,FtPoints,OpponentPoints,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Arc3Assists,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceOffPoss,AtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyArc3FGA,PtsAssisted2s,TwoPtAssists,AtRimAssists,OffThreePtRebounds,OffRebounds,ShootingFouls,ThreePtShootingFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,ThreePtShootingFoulsDrawnPct,PenaltyDefPoss,SecondChanceArc3FGA,SecondChanceFG3A,FTDefRebounds,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,Charge Fouls,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,SecondChanceArc3Frequency,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,ShortMidRangeAssists,Loose Ball Fouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChancePointsPct,PenaltyArc3FGM,PtsUnassisted3s,LostBallTurnovers,PenaltyTurnovers,Offensive Fouls,2pt And 1 Free Throw Trips,NonShootingPenaltyNonTakeFouls,PenaltyArc3Accuracy,DefensiveGoaltends,HeaveAttempts,BlockedShortMidRange,SecondChanceFtPoints,PenaltyFtPoints,OffTwoPtRebounds,Defensive 3 Seconds Violations,OffTwoPtReboundPct,OffAtRimReboundPct,PtsPutbacks,SecondChanceShotQualityAvg,LongMidRangeAssists,SelfOReb,Travels,Charge Fouls Drawn,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,SelfORebPct,LongMidRangePctAssisted,Offensive Fouls Drawn,Blocked3s,BlockedCorner3,SecondChanceTurnovers,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,FTOffRebounds,StepOutOfBoundsTurnovers,Technical Free Throw Trips,SecondChanceFg3Pct,LongMidRangePctBlocked,OffFTReboundPct,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,BlockedLongMidRange,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,3pt And 1 Free Throw Trips,BlockedArc3,OffensiveGoaltends,3SecondViolations,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Clear Path Fouls,Corner3PctBlocked,team_id,year,season,team_vs
1626149-1626188-1627936-1629659-203484,1610612747,"Montrezl Harrell, Quinn Cook, Alex Caruso, Talen Horton-Tucker, Kentavious Caldwell-Pope","Harrell, Cook, Caruso, Horton-Tucker, Caldwell-Pope",1626149-1626188-1627936-1629659-203484,LAL,28.0,1,5.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,5.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,1.25,1.25,1.25,0.5,154.28571428571428,8.0,12.0,8.0,12.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,0.4827,0.4827,1.0,20.6,24.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2021,2020-21,True
1626149-1626188-1627936-1629659-2544,1610612747,"Montrezl Harrell, Quinn Cook, Alex Caruso, Talen Horton-Tucker, LeBron James","Harrell, Cook, Caruso, Horton-Tucker, James",1626149-1626188-1627936-1629659-2544,LAL,164.0,1,5.0,6.0,5.0,,11.0,,,1.0,1.0,,,1.0,2.0,2.0,3.0,9.0,,,,,,2.0,6.0,2.0,2.0,1.0,6.0,,,9.0,,,1.0,0.6666666666666666,,0.6666666666666666,0.5,,0.8,,0.75,,0.6,96.58536585365853,15.333333333333334,14.4,15.333333333333334,14.4,,,,0.2,1.0,1.0,1.0,,,0.8,0.51884,,,3.9,25.46666666666667,,3.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.2,1.0,1.0,0.4,0.5,0.5,1.0,0.5,0.16666666666666666,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2021,2020-21,True
1626149-1626188-1629659-202083-2544,1610612747,"Montrezl Harrell, Quinn Cook, Talen Horton-Tucker, Wesley Matthews, LeBron James","Harrell, Cook, Horton-Tucker, Matthews, James",1626149-1626188-1629659-202083-2544,LAL,137.0,1,-1.0,5.0,5.0,2.0,10.0,,,,,,,1.0,1.0,,3.0,4.0,1.0,1.0,,1.0,2.0,,,,1.0,,2.0,,,4.0,2.0,2.0,,,,,1.0,1.0,0.25,0.5,0.3333333333333333,0.5,0.75,105.1094890510949,15.2,12.2,14.4,12.2,,,,,,,,,,1.0,0.53295,0.51735,0.5,2.6,26.866666666666664,0.4,2.0,1.0,,,,3.0,2.0,5.0,3.0,,,,2.0,1.0,3.0,4.0,2.0,2.0,5.0,1.0,,,1.0,1.0,1.0,,1.0,0.25,,,,0.75,,,,,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2021,2020-21,True
1626149-1627936-1628035-1628398-1629659,1610612747,"Montrezl Harrell, Alex Caruso, Alfonzo McKinnie, Kyle Kuzma, Talen Horton-Tucker","Harrell, Caruso, McKinnie, Kuzma, Horton-Tucker",1626149-1627936-1628035-1628398-1629659,LAL,582.0,4,2.0,20.0,22.0,,42.0,,,2.0,3.0,,,3.0,7.0,2.0,8.0,15.0,,,,,,4.0,6.0,2.0,3.0,2.0,8.0,3.0,1.0,15.0,,,1.0,0.25,,0.25,0.42857142857142855,,0.4,,0.4411764705882353,,0.5333333333333333,103.91752577319589,13.55,14.136363636363637,12.75,14.0,,,,0.2,0.6666666666666666,0.6666666666666666,1.0,,,0.8666666666666667,0.5641999999999999,,,3.2857142857142856,25.1375,,10.0,5.0,,2.0,,5.0,3.0,13.0,5.0,,2.0,,2.0,8.0,12.0,13.0,5.0,3.0,4.0,2.0,0.2857142857142857,0.2,0.8888888888888888,0.6666666666666666,0.8333333333333334,1.0,1.0,0.3333333333333333,0.13333333333333333,,,0.3333333333333333,,,,,0.11764705882352941,0.2222222222222222,1.0,3.0,,,,2.0,1.0,1.0,1.0,1.0,2.0,,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.1111111111111111,0.2,1.0,,0.6,0.75,0.3333333333333333,,,,,4.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,0.5,0.4,1.0,0.8571428571428571,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2021,2020-21,True
1626149-1627936-1628035-1629659-1629719,1610612747,"Montrezl Harrell, Alex Caruso, Alfonzo McKinnie, Talen Horton-Tucker, Devontae Cacok","Harrell, Caruso, McKinnie, Horton-Tucker, Cacok",1626149-1627936-1628035-1629659-1629719,LAL,92.0,1,2.0,2.0,1.0,,3.0,,,,,,,2.0,2.0,,1.0,4.0,,,,,,,,,2.0,,4.0,,,2.0,,,,,,,1.0,,0.6666666666666666,,0.6666666666666666,,0.3333333333333333,46.95652173913043,25.5,41.0,21.5,41.0,,,,,,,,,,0.6666666666666666,0.46868333333333334,,,5.95,26.0,,2.0,1.0,1.0,1.0,,1.0,,2.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,,,,,,,1.0,1.0,,,,4.0,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2021,2020-21,True
1626149-1627936-1628035-1629659-202083,1610612747,"Montrezl Harrell, Alex Caruso, Alfonzo McKinnie, Talen Horton-Tucker, Wesley Matthews","Harrell, Caruso, McKinnie, Horton-Tucker, Matthews",1626149-1627936-1628035-1629659-202083,LAL,120.0,1,3.0,5.0,4.0,3.0,9.0,,,,,,,1.0,1.0,1.0,1.0,5.0,,,1.0,1.0,3.0,,,,1.0,,2.0,,,5.0,3.0,3.0,,1.0,1.0,1.0,1.0,,1.25,1.5,1.25,1.5,0.5,108.0,12.0,15.0,12.0,15.0,,,,,,,,,,1.0,0.50965,0.3741,0.6,1.4,25.8,0.6,2.0,1.0,,,1.0,1.0,,2.0,1.0,1.0,,,1.0,,1.0,1.0,3.0,1.0,1.0,1.0,,,,1.0,0.5,,1.0,0.5,,,,0.5,1.0,1.0,,1.0,0.5,1.0,,1.0,,,1.0,2.0,1.0,1.0,,,1.0,,1.0,1.0,,,,,,1.0,1.0,1.0,,,1.0,,4.0,,,,,1.0,1.0,,2.0,,3.0,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2021,2020-21,True
1626149-1627936-1628035-1629659-202693,1610612747,"Montrezl Harrell, Alex Caruso, Alfonzo McKinnie, Talen Horton-Tucker, Markieff Morris","Harrell, Caruso, McKinnie, Horton-Tucker, Morris",1626149-1627936-1628035-1629659-202693,LAL,551.0,2,4.0,21.0,21.0,,42.0,,2.0,,,,,3.0,9.0,2.0,7.0,18.0,,,,,,,6.0,2.0,5.0,,12.0,1.0,,18.0,,,1.0,0.2857142857142857,,0.2857142857142857,0.3333333333333333,,0.375,,0.47368421052631576,,0.4375,109.76406533575317,12.047619047619047,14.19047619047619,12.047619047619047,14.19047619047619,0.125,,,,,,,,,0.8125,0.481825,,,6.111111111111111,26.599999999999998,,9.0,6.0,,1.0,2.0,7.0,6.0,14.0,7.0,2.0,,2.0,4.0,5.0,11.0,11.0,8.0,4.0,6.0,3.0,,,1.0,1.0,1.0,1.0,1.0,0.375,0.0625,,,0.4375,0.2857142857142857,0.2857142857142857,1.0,0.2857142857142857,0.15789473684210525,0.25,,3.0,,,,6.0,3.0,3.0,,,5.0,,1.0,1.0,,,,1.0,1.0,0.5,0.5,1.0,,,,,3.0,,,2.0,1.0,,1.0,,2.0,,2.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2021,2020-21,True
1626149-1627936-1628035-1629659-203463,1610612747,"Montrezl Harrell, Alex Caruso, Alfonzo McKinnie, Talen Horton-Tucker, Ben McLemore","Harrell, Caruso, McKinnie, Horton-Tucker, McLemore",1626149-1627936-1628035-1629659-203463,LAL,301.0,2,5.0,10.0,11.0,,21.0,,,,,,,3.0,4.0,2.0,4.0,16.0,,,,1.0,,4.0,6.0,2.0,3.0,,8.0,1.0,1.0,16.0,,,1.0,0.5,,0.6666666666666666,0.75,,0.75,,0.8,,0.5,100.46511627906978,10.6,17.727272727272727,10.6,16.272727272727273,,,,,,,,,,1.0,0.6057785714285714,,,1.7,31.65,,5.0,4.0,,,2.0,4.0,4.0,11.0,3.0,2.0,,2.0,1.0,4.0,5.0,5.0,,2.0,4.0,2.0,,,0.5714285714285714,1.0,0.625,0.5,1.0,0.5,,,,0.5,0.5,0.5,1.0,0.6666666666666666,0.2,0.3333333333333333,,3.0,,,1.0,2.0,1.0,1.0,,,,,0.3333333333333333,0.3333333333333333,,,,,,0.75,0.75,0.3333333333333333,,,1.0,,,,,,,,,,1.0,1.0,1.0,,2.0,1.0,2.0,1.0,,,,0.75,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2021,2020-21,True
1626149-1627936-1628035-1629659-203484,1610612747,"Montrezl Harrell, Alex Caruso, Alfonzo McKinnie, Talen Horton-Tucker, Kentavious Caldwell-Pope","Harrell, Caruso, McKinnie, Horton-Tucker, Caldwell-Pope",1626149-1627936-1628035-1629659-203484,LAL,101.0,1,4.0,3.0,3.0,,6.0,,,,,,,1.0,1.0,1.0,2.0,5.0,,,,,,2.0,3.0,1.0,1.0,,3.0,,,5.0,,,1.0,0.5,,0.5,1.0,,0.8333333333333334,,0.8333333333333334,,0.6666666666666666,85.54455445544555,15.666666666666666,18.0,15.666666666666666,18.0,,,,,,,,,,0.6666666666666666,0.4714333333333333,,,7.6,27.2,,2.0,,1.0,1.0,1.0,2.0,,1.0,2.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,1.0,0.5,,1.0,,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5,0.5,1.0,0.5,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2021,2020-21,True
1626149-1627936-1628035-202083-203463,1610612747,"Montrezl Harrell, Alex Caruso, Alfonzo McKinnie, Wesley Matthews, Ben McLemore","Harrell, Caruso, McKinnie, Matthews, McLemore",1626149-1627936-1628035-202083-203463,LAL,185.0,1,4.0,6.0,6.0,,12.0,,,,,,,3.0,3.0,2.0,3.0,12.0,,,,,,2.0,3.0,1.0,3.0,,7.0,,,12.0,,,0.5,0.6666666666666666,,0.6666666666666666,1.0,,1.0,,1.0,,0.5,93.4054054054054,13.833333333333334,17.0,13.833333333333334,15.333333333333334,,,,,,,,,,1.0,0.483725,,,3.1,26.866666666666664,,3.0,3.0,,,2.0,3.0,,8.0,3.0,2.0,,1.0,2.0,,3.0,3.0,1.0,,,,,,,1.0,0.6666666666666666,,1.0,0.5,,,,0.5,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,,,,3.0,,,,4.0,2.0,2.0,,,1.0,,0.6666666666666666,0.6666666666666666,,,,,,1.0,1.0,0.6666666666666666,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2021,2020-21,True
