EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PlusMinus,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,LongMidRangeAssists,DefTwoPtRebounds,DefRebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyDefPoss,ShortMidRangeFGM,Corner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,FG3M,SecondChanceFG3M,SecondChanceFG3A,PtsUnassisted3s,NonHeaveArc3FGM,OffThreePtRebounds,SelfOReb,Steals,LostBallSteals,DeadBallTurnovers,LostBallTurnovers,Travels,SecondChanceTurnovers,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,SelfORebPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,NonHeaveArc3Accuracy,ShortMidRangeAssists,DefThreePtRebounds,DefThreePtReboundPct,DefArc3ReboundPct,ShortMidRangePctAssisted,PenaltyCorner3FGA,PenaltyCorner3Frequency,PtsAssisted3s,ThreePtAssists,Arc3Assists,Assisted3sPct,Arc3PctAssisted,PenaltyFtPoints,BadPassOutOfBoundsTurnovers,Fg2aBlocked,FG2APctBlocked,AtRimPctBlocked,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Offensive Fouls,BadPassSteals,FTDefRebounds,DefFTReboundPct,NonShootingPenaltyNonTakeFouls,DefCorner3ReboundPct,Offensive Fouls Drawn,PenaltyTurnovers,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedCorner3,Corner3FGM,Corner3Assists,StepOutOfBoundsTurnovers,Loose Ball Fouls,Charge Fouls Drawn,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PtsPutbacks,Technical Free Throw Trips,BlockedLongMidRange,BlockedShortMidRange,ShortMidRangePctBlocked,Charge Fouls,SecondChanceCorner3FGA,Fg3aBlocked,LostBallOutOfBoundsTurnovers,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3Frequency,SecondChanceArc3PctAssisted,OffLongMidRangeReboundPct,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyArc3Accuracy,PenaltyCorner3FGM,PenaltyCorner3Accuracy,HeaveAttempts,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Defensive 3 Seconds Violations,LongMidRangePctBlocked,FTOffRebounds,OffFTReboundPct,BlockedArc3,3pt And 1 Free Throw Trips,OffensiveGoaltends,DefensiveGoaltends,Corner3PctBlocked,3SecondViolations,team_id,year,season,team_vs
1628372-1628995-1629011-202692-203493,1610612752,"Dennis Smith Jr., Kevin Knox II, Mitchell Robinson, Alec Burks, Reggie Bullock","Smith Jr., Knox II, Robinson, Burks, Bullock",1628372-1628995-1629011-202692-203493,NYK,115.0,1,2.0,4.0,4.0,3.0,1.0,8.0,3.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,7.0,7.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,4.0,4.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,0.6666666666666666,0.6666666666666666,0.75,1.0,1.0,0.6,1.0,0.6666666666666666,0.7,1.5,0.6666666666666666,0.2,1.0,0.5,1.0,100.17391304347825,16.0,12.75,13.75,11.0,0.8,0.75,0.75,0.6666666666666666,0.2,1.0,1.0,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.58703,0.593,0.6264833333333334,0.2,0.25,0.42857142857142855,0.5714285714285714,1.925,24.8,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2021,2020-21,True
1628372-1628995-1629011-202692-203944,1610612752,"Dennis Smith Jr., Kevin Knox II, Mitchell Robinson, Alec Burks, Julius Randle","Smith Jr., Knox II, Robinson, Burks, Randle",1628372-1628995-1629011-202692-203944,NYK,76.0,1,1.0,2.0,3.0,,,5.0,,,,,,,,,1.0,2.0,,,2.0,,,,,,,,,,2.0,,,1.0,1.0,,2.0,1.0,1.0,3.0,,,1.0,1.0,,,,2.0,,,1.0,1.0,0.5,,,0.5,,,0.5,,,,1.0,1.0,,94.73684210526316,14.5,15.666666666666666,14.5,15.666666666666666,,,,,,,,,,,,,0.41295,,,,,,,12.65,,,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2021,2020-21,True
1628372-1628995-1629628-202692-203457,1610612752,"Dennis Smith Jr., Kevin Knox II, RJ Barrett, Alec Burks, Nerlens Noel","Smith Jr., Knox II, Barrett, Burks, Noel",1628372-1628995-1629628-202692-203457,NYK,402.0,1,7.0,11.0,11.0,3.0,3.0,22.0,,4.0,,2.0,,1.0,5.0,2.0,3.0,8.0,6.0,,9.0,14.0,1.0,3.0,,5.0,1.0,2.0,2.0,2.0,,6.0,5.0,,,,,2.0,4.0,6.0,1.0,2.0,2.0,,,,,4.0,2.0,3.0,,,0.375,0.3333333333333333,0.5,0.32142857142857145,0.625,0.25,0.32142857142857145,0.625,0.25,0.42857142857142855,0.4,0.4444444444444444,0.5,78.80597014925372,21.636363636363637,14.909090909090908,19.09090909090909,14.272727272727273,0.2857142857142857,,,,0.35714285714285715,0.5,,,0.25,,0.5,0.7142857142857143,0.48639642857142856,0.45408333333333334,0.452325,,,0.5555555555555556,0.2222222222222222,6.2875,25.366666666666664,0.2727272727272727,-5.0,3.0,,1.0,,2.0,2.0,1.0,,2.0,2.0,2.0,2.0,,0.5,0.4,0.4,,0.25,,,0.21428571428571427,0.07142857142857142,,,,7.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,1.0,0.16666666666666666,0.5,0.3333333333333333,1.0,1.0,0.1111111111111111,1.0,1.0,0.07142857142857142,0.2,0.2,0.25,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2021,2020-21,True
1628372-1628995-202692-203457-203493,1610612752,"Dennis Smith Jr., Kevin Knox II, Alec Burks, Nerlens Noel, Reggie Bullock","Smith Jr., Knox II, Burks, Noel, Bullock",1628372-1628995-202692-203457-203493,NYK,171.0,1,3.0,5.0,6.0,,1.0,11.0,3.0,4.0,,,,,1.0,,3.0,5.0,1.0,,6.0,4.0,,,,,,,,,2.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,,,,6.0,,,0.3333333333333333,0.3333333333333333,0.6,,,0.5,,,0.5,,,0.16666666666666666,0.5,0.3333333333333333,1.0,92.63157894736842,16.6,14.666666666666666,15.2,14.666666666666666,0.6666666666666666,0.75,0.75,0.3333333333333333,0.16666666666666666,,,,,,,0.8333333333333334,0.503675,0.52155,,,,,,3.6,25.9,,2.0,1.0,,,,3.0,3.0,,,,,,,,,0.75,0.75,,,1.0,,0.16666666666666666,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2021,2020-21,True
1628372-1629011-202692-203493-203944,1610612752,"Dennis Smith Jr., Mitchell Robinson, Alec Burks, Reggie Bullock, Julius Randle","Smith Jr., Robinson, Burks, Bullock, Randle",1628372-1629011-202692-203493-203944,NYK,147.0,1,2.0,4.0,4.0,,,8.0,1.0,1.0,,,,,1.0,,2.0,3.0,1.0,,4.0,7.0,,,,,,,,,4.0,,1.0,2.0,2.0,1.0,4.0,,,1.0,,1.0,1.0,,,,,4.0,,,1.0,1.0,0.6666666666666666,,,0.5,,,0.5,,,0.25,,,,78.3673469387755,17.75,19.0,17.75,19.0,0.25,1.0,1.0,1.0,0.25,,,,,,,0.5,0.53165,,,,,,,7.533333333333334,25.7,,-3.0,2.0,,,,,1.0,,,,,,,,,,1.0,,,,,0.5,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2021,2020-21,True
1628373-1628995-1629011-1629628-203944,1610612752,"Frank Ntilikina, Kevin Knox II, Mitchell Robinson, RJ Barrett, Julius Randle","Ntilikina, Knox II, Robinson, Barrett, Randle",1628373-1628995-1629011-1629628-203944,NYK,21.0,1,,1.0,1.0,1.0,,2.0,,,,,,,,,,,1.0,,,3.0,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,137.14285714285714,5.0,16.0,5.0,16.0,,,,,,,,,,,,1.0,0.29355,,0.29355,,,,,,23.0,1.0,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2021,2020-21,True
1628373-1628995-1629011-1630167-202692,1610612752,"Frank Ntilikina, Kevin Knox II, Mitchell Robinson, Obi Toppin, Alec Burks","Ntilikina, Knox II, Robinson, Toppin, Burks",1628373-1628995-1629011-1630167-202692,NYK,141.0,1,2.0,5.0,4.0,,,9.0,2.0,2.0,,,,,2.0,,2.0,2.0,2.0,,7.0,6.0,,,,,,,,,2.0,2.0,2.0,1.0,2.0,1.0,5.0,,,2.0,2.0,3.0,,,,,,7.0,,,0.5,0.5,1.0,,,0.875,,,0.875,,,0.5,,,,91.91489361702128,13.4,18.5,13.4,18.5,0.5,1.0,1.0,0.5,0.5,,,,,,,1.0,0.540625,,,,,,,1.95,26.5,,1.0,,,,,1.0,2.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,0.5,,0.5,,,,,,,,,0.5,0.5,,,0.5,,1.0,1.0,1.0,,,,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2021,2020-21,True
1628373-1628995-1629011-202692-203944,1610612752,"Frank Ntilikina, Kevin Knox II, Mitchell Robinson, Alec Burks, Julius Randle","Ntilikina, Knox II, Robinson, Burks, Randle",1628373-1628995-1629011-202692-203944,NYK,64.0,1,1.0,2.0,2.0,2.0,1.0,4.0,,,,,,,1.0,1.0,,,1.0,2.0,2.0,6.0,,,,,,,1.0,2.0,,,1.0,,,,,,,1.0,,1.0,1.0,,2.0,,1.0,2.0,2.0,2.0,,,,,,,,,0.5,,0.5,1.0,,,,90.0,7.5,24.5,2.5,24.5,,,,,1.0,,,,,,1.0,1.0,0.5697,0.5697,0.5697,0.5,1.0,,1.0,,26.2,1.0,-4.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2021,2020-21,True
1628373-1628995-1629011-203493-203944,1610612752,"Frank Ntilikina, Kevin Knox II, Mitchell Robinson, Reggie Bullock, Julius Randle","Ntilikina, Knox II, Robinson, Bullock, Randle",1628373-1628995-1629011-203493-203944,NYK,188.0,1,3.0,7.0,6.0,,,13.0,,1.0,,,,,2.0,,,1.0,3.0,1.0,4.0,5.0,,,,,,,,,,,2.0,,1.0,,3.0,,,4.0,1.0,2.0,1.0,,2.0,,1.0,4.0,,,,,,,,0.375,,,0.4,,,0.75,,,,99.57446808510639,11.285714285714286,18.166666666666668,11.285714285714286,15.166666666666666,0.25,,,,0.5,,,,,,,1.0,0.5888625,,,0.2,0.5,,,1.3,25.166666666666668,,-1.0,,,,,3.0,4.0,1.0,,2.0,,,,,0.5,0.75,0.8,,1.0,0.5,,,,,,,,,1.0,1.0,,,1.0,,,,1.0,,,,,1.0,1.0,,,0.3333333333333333,,0.3333333333333333,,,,1.0,,,,0.25,0.5,0.5,,,0.5,,1.0,1.0,1.0,,,,3.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2021,2020-21,True
1628373-1628995-1629628-202692-203457,1610612752,"Frank Ntilikina, Kevin Knox II, RJ Barrett, Alec Burks, Nerlens Noel","Ntilikina, Knox II, Barrett, Burks, Noel",1628373-1628995-1629628-202692-203457,NYK,358.0,1,6.0,11.0,12.0,1.0,1.0,23.0,3.0,4.0,1.0,1.0,,,3.0,,5.0,8.0,4.0,,10.0,15.0,1.0,1.0,,2.0,1.0,1.0,,2.0,4.0,6.0,3.0,2.0,2.0,2.0,4.0,,1.0,5.0,1.0,1.0,1.0,,,,,8.0,2.0,1.0,0.4,0.4,0.625,1.0,1.0,0.4166666666666667,1.0,1.0,0.4166666666666667,1.0,1.0,0.3333333333333333,,0.14285714285714285,,92.51396648044692,18.0,13.333333333333334,17.545454545454547,13.166666666666666,0.3333333333333333,0.75,1.0,0.6666666666666666,0.25,1.0,1.0,1.0,,,,0.6666666666666666,0.4936875,,0.3484,,,0.2,0.2,8.575,24.8,0.09090909090909091,-5.0,2.0,1.0,2.0,,3.0,4.0,,,,,,,,,0.75,0.8,,1.0,0.5,,0.16666666666666666,0.16666666666666666,0.5,0.5,,4.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,0.25,,1.0,1.0,,0.5,0.5,0.08333333333333333,,,,,,,1.0,1.0,1.0,,,,,,,,,,,1.0,0.125,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2021,2020-21,True
