EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,Corner3FGA,FG3A,OpponentPoints,Fouls,FoulsDrawn,NonShootingPenaltyNonTakeFouls,FG3APct,Pace,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,Corner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg3ptShotDistance,Minutes,PenaltyOffPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FtPoints,Points,SecondChanceFG2A,PenaltyFG2A,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Charge Fouls Drawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGA,OffShortMidRangeReboundPct,SecondChanceAtRimFrequency,LostBallSteals,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,Fg2aBlocked,OffThreePtRebounds,SelfOReb,StepOutOfBoundsTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Charge Fouls,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedAtRim,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,PenaltyFg3Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,SelfORebPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,SecondChanceAtRimFGM,SecondChanceArc3FGA,SecondChanceFG2M,PtsPutbacks,SecondChanceFg2Pct,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,Loose Ball Fouls,Offensive Fouls,DefensiveGoaltends,ShortMidRangePctBlocked,OffLongMidRangeReboundPct,SecondChanceAtRimPctAssisted,BlockedCorner3,OffensiveGoaltends,team_id,year,season,team_vs
1628389-1629130-1629134-202710-2738,1610612748,"Bam Adebayo, Duncan Robinson, Kendrick Nunn, Jimmy Butler, Andre Iguodala","Adebayo, Robinson, Nunn, Butler, Iguodala",1628389-1629130-1629134-202710-2738,MIA,28.0,1,-3.0,1.0,1.0,1.0,2,1.0,1.0,3.0,1.0,1.0,1.0,1.0,102.85714285714286,28.0,28.0,1.0,1.0,0.50085,25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2021,2020-21,False
1628389-1629130-1629134-202710-2772,1610612748,"Bam Adebayo, Duncan Robinson, Kendrick Nunn, Jimmy Butler, Trevor Ariza","Adebayo, Robinson, Nunn, Butler, Ariza",1628389-1629130-1629134-202710-2772,MIA,1337.0,3,-14.0,49.0,50.0,4.0,99,4.0,20.0,57.0,4.0,5.0,,0.47619047619047616,106.62677636499625,14.36734693877551,14.244897959183673,0.09523809523809523,0.6190476190476191,0.5011404761904762,26.410000000000004,22.0,2.0,1.0,4.0,6.0,4.0,9.0,1.0,7.0,2.0,6.0,16.0,9.0,22.0,8.0,1.0,43.0,1.0,2.0,10.0,8.0,18.0,6.0,16.0,6.0,5.0,6.0,11.0,4.0,2.0,3.0,1.0,1.0,28.0,1.0,7.0,8.0,1.0,16.0,1.0,17.0,3.0,3.0,4.0,2.0,2.0,3.0,1.0,2.0,7.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,43.0,2.0,0.5555555555555556,0.5555555555555556,0.75,0.4,0.4,0.4090909090909091,0.5,0.5,0.5714285714285714,1.0,0.7272727272727273,0.07692307692307693,0.6363636363636364,0.6818181818181818,0.04,0.5,0.4,1.0,1.0,0.6,1.0,1.0,12.66,12.24,0.14285714285714285,0.6666666666666666,0.6666666666666666,0.75,0.21428571428571427,0.4444444444444444,0.4444444444444444,0.25,0.16666666666666666,0.14285714285714285,0.14285714285714285,1.0,0.5,0.5,1.0,0.38095238095238093,0.375,0.375,0.6666666666666666,0.375,0.4498,0.4361,0.023255813953488372,0.043478260869565216,9.954545454545455,0.04081632653061224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2021,2020-21,False
1628389-1629130-1629639-201609-202710,1610612748,"Bam Adebayo, Duncan Robinson, Tyler Herro, Goran Dragic, Jimmy Butler","Adebayo, Robinson, Herro, Dragic, Butler",1628389-1629130-1629639-201609-202710,MIA,27.0,1,,1.0,,,1,,,,,,,,53.33333333333333,25.0,25.0,,,0.2396,,,1.0,,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,0.2396,,,6.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2021,2020-21,False
1628389-1629130-1629639-202710-2738,1610612748,"Bam Adebayo, Duncan Robinson, Tyler Herro, Jimmy Butler, Andre Iguodala","Adebayo, Robinson, Herro, Butler, Iguodala",1628389-1629130-1629639-202710-2738,MIA,37.0,1,2.0,2.0,1.0,,3,,,,,1.0,,,116.75675675675676,14.0,13.5,,0.5,0.57695,,1.0,,1.0,,1.0,,1.0,,,,,,,2.0,,2.0,2.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,2.0,,,,,,,,,,,,,2.0,1.0,,,,,2.0,,,,,,,,,0.3333333333333333,,,,0.5,1.0,1.0,0.5,,,,,1.0,,,9.0,9.0,0.5,,,,0.5,,,,,,,,,,,,,,,,0.7504,,0.3333333333333333,0.3333333333333333,4.9,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2021,2020-21,False
1628389-1629130-201609-202357-202710,1610612748,"Bam Adebayo, Duncan Robinson, Goran Dragic, Nemanja Bjelica, Jimmy Butler","Adebayo, Robinson, Dragic, Bjelica, Butler",1628389-1629130-201609-202357-202710,MIA,41.0,1,-2.0,1.0,2.0,1.0,3,1.0,1.0,2.0,1.0,,,1.0,105.36585365853658,17.0,17.0,1.0,1.0,0.5508,24.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2021,2020-21,False
1628389-1629130-201609-202710-2772,1610612748,"Bam Adebayo, Duncan Robinson, Goran Dragic, Jimmy Butler, Trevor Ariza","Adebayo, Robinson, Dragic, Butler, Ariza",1628389-1629130-201609-202710-2772,MIA,2213.0,5,-7.0,77.0,73.0,21.0,150,11.0,30.0,71.0,22.0,12.0,2.0,0.44776119402985076,97.60506100316313,14.753246753246753,14.376623376623376,0.16417910447761194,0.6716417910447762,0.513079104477612,25.603333333333335,37.0,13.0,7.0,5.0,15.0,5.0,15.0,4.0,7.0,6.0,3.0,19.0,14.0,37.0,9.0,9.0,64.0,1.0,4.0,14.0,14.0,24.0,3.0,19.0,3.0,7.0,8.0,15.0,3.0,5.0,2.0,3.0,2.0,38.0,5.0,14.0,16.0,4.0,34.0,7.0,41.0,5.0,5.0,6.0,6.0,1.0,8.0,,5.0,14.0,6.0,,1.0,13.0,4.0,1.0,,2.0,,57.0,13.0,0.5,0.5,0.8888888888888888,0.3,0.3,0.3783783783783784,0.41044776119402987,0.4444444444444444,0.42857142857142855,1.0,0.7619047619047619,0.21739130434782608,0.6666666666666666,0.7142857142857143,0.1590909090909091,0.2,0.8333333333333334,0.625,0.8571428571428571,0.6666666666666666,0.6666666666666666,,14.753424657534246,14.219178082191782,0.22388059701492538,0.3333333333333333,0.4166666666666667,0.4,0.22388059701492538,0.3333333333333333,0.3333333333333333,0.6,0.1044776119402985,0.5714285714285714,0.5714285714285714,0.5,0.5454545454545454,0.5454545454545454,0.8333333333333334,0.2835820895522388,0.15789473684210525,0.15789473684210525,1.0,0.15789473684210525,0.68735,0.5420388888888888,0.07042253521126761,0.1,7.627027027027027,0.16883116883116883,1.0,0.3,0.25,,2.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,7.0,2.0,3.0,5.0,3.0,16.0,3.0,2.0,1.0,1.0,2.0,6.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,0.6666666666666666,0.6,0.5,0.75,0.7222222222222222,0.7,0.7272727272727273,0.08108108108108109,0.2,0.09523809523809523,0.0625,0.2,0.024390243902439025,0.75,0.6666666666666666,1.0,0.2222222222222222,1.0,0.3333333333333333,0.6666666666666666,0.2222222222222222,0.5,0.03225806451612903,0.109375,0.25,,,,,,,,,,,,,,,,1610612748,2021,2020-21,False
1628389-1629130-202710-2738-2772,1610612748,"Bam Adebayo, Duncan Robinson, Jimmy Butler, Andre Iguodala, Trevor Ariza","Adebayo, Robinson, Butler, Iguodala, Ariza",1628389-1629130-202710-2738-2772,MIA,13.0,1,-1.0,,1.0,1.0,1,,,1.0,1.0,,,,110.76923076923076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2021,2020-21,False
1628389-1629134-1629639-201609-2738,1610612748,"Bam Adebayo, Kendrick Nunn, Tyler Herro, Goran Dragic, Andre Iguodala","Adebayo, Nunn, Herro, Dragic, Iguodala",1628389-1629134-1629639-201609-2738,MIA,1111.0,5,8.0,40.0,38.0,5.0,78,2.0,13.0,34.0,6.0,7.0,,0.38235294117647056,101.0981098109811,12.875,12.775,0.058823529411764705,0.6764705882352942,0.4858455882352941,26.246153846153845,19.0,2.0,1.0,5.0,10.0,4.0,6.0,3.0,5.0,,4.0,11.0,12.0,21.0,4.0,6.0,42.0,1.0,1.0,2.0,22.0,6.0,6.0,11.0,4.0,1.0,2.0,3.0,2.0,,1.0,,,8.0,,7.0,7.0,,14.0,2.0,16.0,5.0,1.0,4.0,1.0,4.0,1.0,,,5.0,1.0,1.0,,7.0,4.0,2.0,2.0,2.0,2.0,40.0,2.0,0.08333333333333333,0.09090909090909091,0.5,0.3076923076923077,0.3076923076923077,0.5714285714285714,0.5294117647058824,0.5675675675675675,0.8,,0.875,,0.5833333333333334,0.7,0.11764705882352941,,1.0,0.8,1.0,0.5454545454545454,1.0,1.0,15.68421052631579,15.447368421052632,0.29411764705882354,0.5,0.5555555555555556,0.2,0.17647058823529413,0.6666666666666666,0.6666666666666666,,0.14705882352941177,0.6,0.6,,,,,0.3235294117647059,0.36363636363636365,0.36363636363636365,0.5,0.36363636363636365,,0.5983,0.10810810810810811,0.16666666666666666,7.795238095238095,0.05,1.0,,0.5,4.0,1.0,1.0,,,,,,,,1.0,,2.0,1.0,,,,2.0,1.0,2.0,,,,1.0,,,1.0,,,,,,,2.0,,,,1.0,0.5,1.0,0.5,1.0,0.047619047619047616,0.1,0.25,0.3333333333333333,,,,,,1.0,1.0,,,,,,0.047619047619047616,0.047619047619047616,1.0,1.0,1.0,2.0,1.0,1.0,0.5,,,,,,,,,1610612748,2021,2020-21,False
1628389-1629134-1629639-202710-2738,1610612748,"Bam Adebayo, Kendrick Nunn, Tyler Herro, Jimmy Butler, Andre Iguodala","Adebayo, Nunn, Herro, Butler, Iguodala",1628389-1629134-1629639-202710-2738,MIA,473.0,2,3.0,19.0,17.0,1.0,36,,8.0,21.0,3.0,2.0,,0.4444444444444444,109.5983086680761,13.894736842105264,13.894736842105264,,0.6111111111111112,0.5174194444444444,26.0625,8.0,8.0,1.0,3.0,3.0,1.0,6.0,1.0,1.0,,4.0,8.0,5.0,10.0,4.0,2.0,24.0,,6.0,4.0,6.0,9.0,3.0,8.0,4.0,2.0,3.0,5.0,3.0,,1.0,1.0,,13.0,,5.0,1.0,,6.0,1.0,7.0,1.0,,,,,1.0,,,1.0,1.0,,1.0,2.0,,,,,,22.0,8.0,0.4,0.4,0.75,0.5,0.5,0.5,0.6111111111111112,0.631578947368421,,,0.14285714285714285,,0.7142857142857143,0.42857142857142855,0.1111111111111111,,,0.3333333333333333,,0.8,0.5,,12.294117647058824,10.882352941176471,0.16666666666666666,1.0,1.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,1.0,0.05555555555555555,1.0,1.0,,,,,0.4444444444444444,0.5,0.5,0.75,0.5,,0.545225,,,7.05,0.42105263157894735,,,,1.0,3.0,3.0,,,,,1.0,2.0,,,2.0,2.0,4.0,1.0,2.0,2.0,13.0,,1.0,,,,,,1.0,,,,1.0,,,,13.0,1.0,,0.5,0.6666666666666666,,0.6875,1.0,0.7222222222222222,,,0.25,0.25,,,,,,0.375,1.0,,,0.25,0.5,,0.08333333333333333,0.5416666666666666,,,,,,,,1.0,1.0,1.0,,,,,,1610612748,2021,2020-21,False
1628389-1629134-1629639-202710-2772,1610612748,"Bam Adebayo, Kendrick Nunn, Tyler Herro, Jimmy Butler, Trevor Ariza","Adebayo, Nunn, Herro, Butler, Ariza",1628389-1629134-1629639-202710-2772,MIA,105.0,1,-5.0,5.0,5.0,3.0,10,1.0,2.0,9.0,2.0,1.0,,0.5,137.14285714285714,13.0,13.0,0.25,0.5,0.4914,25.1,2.0,1.0,,,,1.0,1.0,,1.0,,,1.0,1.0,2.0,,2.0,4.0,,1.0,2.0,,,,1.0,,1.0,,1.0,,,,1.0,,2.0,,,,,,,,1.0,1.0,,,,,,,,2.0,,,2.0,1.0,,,,,4.0,1.0,1.0,1.0,,,,0.5,0.25,0.4,,,,,,,,,,,,,,,8.0,5.4,,,,,0.25,1.0,1.0,1.0,0.25,,,,,,,0.25,,,,,,0.4116,0.2,0.3333333333333333,15.3,0.2,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,2.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,1610612748,2021,2020-21,False
