EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,OffPoss,DefPoss,TotalPoss,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Minutes,PlusMinus,PenaltyOffPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,Technical Free Throw Trips,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChancePoints,PtsUnassisted2s,PtsPutbacks,Offensive Fouls,Blocked2s,BlockedAtRim,Blocks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChancePointsPct,PenaltyDefPoss,ShortMidRangeFGA,SelfOReb,LostBallTurnovers,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,SelfORebPct,ShortMidRangeFrequency,Corner3FGM,Corner3FGA,Corner3Assists,DefLongMidRangeReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Travels,OffThreePtRebounds,ShortMidRangePctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,ShortMidRangeFGM,ShortMidRangeAssists,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PtsUnassisted3s,Loose Ball Fouls Drawn,Offensive Fouls Drawn,TwoPtShootingFoulsDrawn,RecoveredBlocks,LongMidRangePctBlocked,OffCorner3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,LongMidRangeFGM,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceTurnovers,Loose Ball Fouls,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFtPoints,LongMidRangeAssists,FTDefRebounds,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,DefFTReboundPct,LongMidRangePctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,LostBallOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,Fg3aBlocked,BlockedShortMidRange,DefensiveGoaltends,FG3APctBlocked,Arc3PctBlocked,StepOutOfBoundsTurnovers,Charge Fouls Drawn,Charge Fouls,3pt And 1 Free Throw Trips,SecondChanceAtRimPctAssisted,Clear Path Fouls,Corner3PctBlocked,Defensive 3 Seconds Violations,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,HeaveAttempts,FTOffRebounds,Blocked3s,BlockedCorner3,BlockedLongMidRange,OffensiveGoaltends,3SecondViolations,OffFTReboundPct,BlockedArc3,team_id,year,season,team_vs
101141-1626220-1627777-1629714-204060,1610612762,"Ersan Ilyasova, Royce O'Neale, Georges Niang, Jarrell Brantley, Joe Ingles","Ilyasova, O'Neale, Niang, Brantley, Ingles",101141-1626220-1627777-1629714-204060,UTA,20.0,1,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,144.0,8.0,12.0,8.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2021,2020-21,False
101141-1626220-1627777-1629744-204060,1610612762,"Ersan Ilyasova, Royce O'Neale, Georges Niang, Matt Thomas, Joe Ingles","Ilyasova, O'Neale, Niang, Thomas, Ingles",101141-1626220-1627777-1629744-204060,UTA,350.0,1,10.0,10.0,20.0,1.0,,,,1.0,82.28571428571429,18.1,16.9,16.5,16.9,6.0,-2.0,5.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,7.0,1.0,2.0,3.0,2.0,5.0,2.0,7.0,1.0,11.0,13.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,9.0,4.0,6.0,7.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,10.0,2.0,1.0,2.0,3.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,11.0,9.0,5.0,1.0,1.0,1.0,0.2857142857142857,0.6666666666666666,0.2857142857142857,0.4,0.5,0.4166666666666667,0.8,0.4166666666666667,0.8,0.5833333333333334,0.2,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,1.0,0.2857142857142857,1.0,0.5,1.0,1.0,0.25,0.6666666666666666,1.0,1.0,0.16666666666666666,0.5833333333333334,0.2857142857142857,0.2857142857142857,1.0,0.5,0.2,1.0,0.6,0.6666666666666666,0.8333333333333334,0.2857142857142857,0.5147958333333333,0.447275,0.4415,0.8181818181818182,9.22,26.685714285714287,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2021,2020-21,False
101141-1626220-1627777-1630235-203903,1610612762,"Ersan Ilyasova, Royce O'Neale, Georges Niang, Trent Forrest, Jordan Clarkson","Ilyasova, O'Neale, Niang, Forrest, Clarkson",101141-1626220-1627777-1630235-203903,UTA,46.0,1,2.0,1.0,3.0,1.0,1.0,,1.0,1.0,93.91304347826086,8.0,30.0,8.0,24.0,1.0,2.0,,1.0,1.0,2.0,,,,,,,,,1.0,2.0,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,0.5,,0.5,,0.5,,,,,,,1.0,,,1.0,1.0,,,,1.0,0.5,0.5,,,,,,,,,,,,1.0,,0.7989,0.8251,,,0.35,,,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2021,2020-21,False
101141-1626220-1627777-202324-204060,1610612762,"Ersan Ilyasova, Royce O'Neale, Georges Niang, Derrick Favors, Joe Ingles","Ilyasova, O'Neale, Niang, Favors, Ingles",101141-1626220-1627777-202324-204060,UTA,141.0,1,4.0,5.0,9.0,,,,,2.0,91.91489361702128,16.0,15.4,13.5,12.8,2.0,-1.0,,1.0,2.0,3.0,,,1.0,,,,,,2.0,5.0,,,,4.0,5.0,3.0,,,,,,,,2.0,,,,,1.0,,1.0,,1.0,2.0,3.0,1.0,1.0,2.0,3.0,5.0,,2.0,1.0,,,1.0,1.0,,,2.0,,,0.5,0.5,,,,,0.4,,0.4,,0.4,,,,,1.0,1.0,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,,1.0,0.6,0.6666666666666666,0.6666666666666666,0.5,0.2,,,,,,,,,,0.6,,0.51996,0.5825666666666667,,,6.0,,,1.0,2.0,1.0,2.0,2.0,,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.6666666666666666,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2021,2020-21,False
101141-1626220-1627777-203903-204060,1610612762,"Ersan Ilyasova, Royce O'Neale, Georges Niang, Jordan Clarkson, Joe Ingles","Ilyasova, O'Neale, Niang, Clarkson, Ingles",101141-1626220-1627777-203903-204060,UTA,102.0,1,2.0,3.0,5.0,,,,,1.0,70.58823529411765,18.5,21.666666666666668,18.5,21.666666666666668,2.0,-1.0,,,,,,,,,,,,,,,1.0,1.0,,3.0,4.0,,,,,,,,,,3.0,,,,,1.0,1.0,,,3.0,,,1.0,1.0,,1.0,,1.0,1.0,,,1.0,1.0,,,3.0,,,,,1.0,1.0,,1.0,,,1.5,,1.5,,1.0,,,1.0,0.5,,,0.5,,,,,,,,,,,,,,,,,,,,1.0,,0.5919,,,,,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2021,2020-21,False
101141-1626220-1628378-202711-203903,1610612762,"Ersan Ilyasova, Royce O'Neale, Donovan Mitchell, Bojan Bogdanovic, Jordan Clarkson","Ilyasova, O'Neale, Mitchell, Bogdanovic, Clarkson",101141-1626220-1628378-202711-203903,UTA,113.0,1,5.0,4.0,9.0,,,,1.0,1.0,114.69026548672566,16.2,8.0,16.2,8.0,2.0,-7.0,,,,,,,,,3.0,,,,,1.0,,3.0,,,7.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,0.75,,0.52335,,,,11.9,25.46666666666667,,,,,,,,,,,,,,,,,,4.0,1.0,,,,,,0.25,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2021,2020-21,False
101141-1626220-1628378-202711-204060,1610612762,"Ersan Ilyasova, Royce O'Neale, Donovan Mitchell, Bojan Bogdanovic, Joe Ingles","Ilyasova, O'Neale, Mitchell, Bogdanovic, Ingles",101141-1626220-1628378-202711-204060,UTA,124.0,1,3.0,3.0,6.0,,,,,,69.6774193548387,22.666666666666668,18.666666666666668,22.0,18.666666666666668,2.0,,,1.0,1.0,1.0,,,,,2.0,,,,1.0,2.0,,2.0,,2.0,2.0,1.0,,,,,,,,2.0,,2.0,,1.0,1.0,,1.0,,1.0,2.0,,,2.0,2.0,1.0,3.0,,,,,,1.0,1.0,,,2.0,,,1.0,1.0,,,,,0.5,,0.25,,0.25,,0.5,0.5,,,0.5,,,0.5,0.3333333333333333,,,0.6666666666666666,,0.25,1.0,1.0,1.0,,0.5,,,,,,,,,0.75,,0.543625,,,,4.3,25.2,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.25,,,,,,,,,,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2021,2020-21,False
101141-1626220-1629671-1630235-203903,1610612762,"Ersan Ilyasova, Royce O'Neale, Miye Oni, Trent Forrest, Jordan Clarkson","Ilyasova, O'Neale, Oni, Forrest, Clarkson",101141-1626220-1629671-1630235-203903,UTA,121.0,1,4.0,5.0,9.0,,,,1.0,1.0,107.10743801652893,16.5,11.0,16.5,10.6,2.0,2.0,,,,,,,,,3.0,,,,1.0,1.0,,3.0,,2.0,,,,,,,,,,2.0,,3.0,,,1.0,,1.0,,,2.0,,2.0,1.0,3.0,,3.0,,,,,,1.0,,,,2.0,,,1.0,1.0,,,,,1.0,,0.25,,0.25,,0.75,,,,1.0,,1.0,1.0,,,,,1.0,,,,,,0.75,,,,,,,,,0.75,,0.449275,,,,5.5,26.8,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.25,,,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2021,2020-21,False
101141-1626220-1630235-202711-203903,1610612762,"Ersan Ilyasova, Royce O'Neale, Trent Forrest, Bojan Bogdanovic, Jordan Clarkson","Ilyasova, O'Neale, Forrest, Bogdanovic, Clarkson",101141-1626220-1630235-202711-203903,UTA,15.0,1,1.0,,1.0,,,,,,96.0,12.0,,12.0,,,3.0,,,,,,,,1.0,1.0,,,,,,1.0,1.0,,3.0,,,,,,,,,,,3.0,1.0,1.0,,,1.0,1.0,1.0,,3.0,,,,,,,,,,,,,,,,3.0,,,,,1.0,1.0,,1.0,,,1.5,,1.5,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,0.5367,,,,,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2021,2020-21,False
101141-1626220-202711-203903-204060,1610612762,"Ersan Ilyasova, Royce O'Neale, Bojan Bogdanovic, Jordan Clarkson, Joe Ingles","Ilyasova, O'Neale, Bogdanovic, Clarkson, Ingles",101141-1626220-202711-203903-204060,UTA,1145.0,3,36.0,36.0,72.0,5.0,3.0,1.0,1.0,4.0,90.55021834061137,15.916666666666666,15.88888888888889,15.416666666666666,15.444444444444445,19.0,6.0,2.0,1.0,5.0,5.0,,,2.0,8.0,20.0,1.0,1.0,1.0,7.0,9.0,11.0,24.0,2.0,49.0,43.0,1.0,1.0,1.0,1.0,1.0,1.0,,5.0,8.0,30.0,20.0,8.0,1.0,4.0,10.0,14.0,7.0,3.0,38.0,,7.0,4.0,11.0,2.0,13.0,2.0,3.0,2.0,,4.0,5.0,6.0,2.0,,47.0,5.0,2.0,0.5714285714285714,0.6666666666666666,0.9090909090909091,0.4583333333333333,1.0,0.4583333333333333,0.7777777777777778,1.0,0.7121212121212122,1.25,0.7205882352941176,1.25,0.7272727272727273,0.1111111111111111,,0.75,0.6666666666666666,,0.7777777777777778,0.7333333333333333,0.13333333333333333,,,0.6666666666666666,0.6666666666666666,0.15151515151515152,1.0,1.0,0.6,0.06060606060606061,0.6060606060606061,0.4,0.4,0.875,0.5,,,0.5,1.0,0.8787878787878788,0.4,0.5190893939393939,0.55935,0.3714,0.10204081632653061,6.466666666666667,26.270833333333332,0.05555555555555555,1.0,1.0,1.0,2.0,6.0,2.0,,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.04081632653061224,3.0,2.0,,1.0,,0.5,,0.06060606060606061,3.0,4.0,3.0,1.0,0.12121212121212122,0.75,0.75,1.0,,2.0,,0.15384615384615385,0.08333333333333333,2.0,1.0,1.0,1.0,0.5,3.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.029411764705882353,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2021,2020-21,False
