EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,TotalPoss,AtRimFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PtsAssisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,BlockingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,PlusMinus,DeadBallTurnovers,Travels,SecondChanceOffPoss,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGA,SecondChanceArc3FGA,FG3A,SecondChanceFG3A,NonHeaveArc3FGA,ShortMidRangeAssists,OffThreePtRebounds,OffRebounds,StepOutOfBoundsTurnovers,Offensive Fouls Drawn,FG3APct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Frequency,SecondChanceArc3Frequency,Avg3ptShotDistance,AtRimFGM,PtsUnassisted2s,ShootingFouls,AtRimAccuracy,UnblockedAtRimAccuracy,PenaltyOffPoss,PenaltyDefPoss,PenaltyAtRimFGA,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyEfgPct,PenaltyTsPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,PenaltyFG2M,BadPassOutOfBoundsTurnovers,PenaltyTurnovers,PenaltyFg2Pct,DefLongMidRangeReboundPct,SecondChanceFtPoints,SecondChancePoints,OffTwoPtRebounds,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceTsPct,OffTwoPtReboundPct,OffShortMidRangeReboundPct,SecondChancePointsPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,Corner3FGA,SecondChanceCorner3FGA,SecondChanceFG2M,SecondChanceFG2A,PtsPutbacks,SelfOReb,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,SecondChanceEfgPct,OffAtRimReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Corner3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,AtRimAssists,AtRimPctAssisted,Fg2aBlocked,FTDefRebounds,BadPassSteals,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,LostBallTurnovers,2pt And 1 Free Throw Trips,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,HeaveAttempts,ShortMidRangePctBlocked,SecondChanceTurnovers,OffLongMidRangeReboundPct,Charge Fouls,Loose Ball Fouls,BlockedShortMidRange,Charge Fouls Drawn,PtsUnassisted3s,LostBallOutOfBoundsTurnovers,Offensive Fouls,BlockingFoulsDrawn,Blocked3s,BlockedArc3,Technical Free Throw Trips,DefensiveGoaltends,OffensiveGoaltends,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,Fg3aBlocked,Corner3Assists,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,FTOffRebounds,ThreePtShootingFoulsDrawn,OffFTReboundPct,ThreePtShootingFoulsDrawnPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedCorner3,BlockedLongMidRange,Defensive 3 Seconds Violations,Corner3PctBlocked,3SecondViolations,Clear Path Fouls,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
101124-201160-202333-203148-2427,1610612740,"Hakim Warrick, Jason Smith, Xavier Henry, Brian Roberts, Roger Mason Jr.","Warrick, Smith, Henry, Roberts, Mason Jr.",101124-201160-202333-203148-2427,NOH,194.0,1,3.0,7.0,7.0,14.0,1.0,1.0,3.0,1.0,4.0,2.0,4.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,0.25,0.25,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,103.91752577319588,1.0,14.142857142857142,13.571428571428571,14.142857142857142,13.571428571428571,0.25,0.75,0.3333333333333333,0.3333333333333333,1.0,0.25,0.419775,0.2,0.2,12.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2013,2012-13,False
101124-201577-202329-203148-2427,1610612740,"Hakim Warrick, Robin Lopez, Al-Farouq Aminu, Brian Roberts, Roger Mason Jr.","Warrick, Lopez, Aminu, Roberts, Mason Jr.",101124-201577-202329-203148-2427,NOH,89.0,1,1.0,3.0,3.0,6.0,,,2.0,,2.0,,,4.0,,,,,,,1.0,1.0,1.0,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,,1.0,1.0,,,97.07865168539325,1.0,22.0,7.666666666666667,22.0,7.666666666666667,,1.0,,,,,0.41575,,,16.75,-4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2013,2012-13,False
101124-201577-202333-203148-2427,1610612740,"Hakim Warrick, Robin Lopez, Xavier Henry, Brian Roberts, Roger Mason Jr.","Warrick, Lopez, Henry, Roberts, Mason Jr.",101124-201577-202333-203148-2427,NOH,151.0,1,3.0,4.0,4.0,8.0,,1.0,1.0,2.0,2.0,,4.0,5.0,4.0,2.0,2.0,1.0,4.0,,,,1.0,,,,,1.0,,,2.0,,,,,,,4.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,76.29139072847683,,23.75,14.0,22.75,14.0,,0.25,1.0,1.0,1.0,0.5,0.4517625,,,11.8,-1.0,1.0,,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.25,1.0,1.0,1.0,0.5,1.0,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2013,2012-13,False
200811-201569-201577-202329-202349,1610612740,"Lou Amundson, Eric Gordon, Robin Lopez, Al-Farouq Aminu, Greivis Vasquez","Amundson, Gordon, Lopez, Aminu, Vasquez",200811-201569-201577-202329-202349,NOH,47.0,1,1.0,1.0,2.0,3.0,1.0,,,1.0,1.0,,2.0,4.0,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,1.0,1.0,1.0,,,,,,,,91.91489361702128,,14.0,16.5,14.0,16.5,1.0,,,,,1.0,0.6094,,,1.9,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2013,2012-13,False
200811-201569-201577-202329-203148,1610612740,"Lou Amundson, Eric Gordon, Robin Lopez, Al-Farouq Aminu, Brian Roberts","Amundson, Gordon, Lopez, Aminu, Roberts",200811-201569-201577-202329-203148,NOH,104.0,1,2.0,3.0,4.0,7.0,1.0,,,,1.0,1.0,4.0,6.0,,,1.0,,3.0,,,,,,,,,,,,1.0,2.0,1.0,,,,,4.0,,,,0.75,0.6666666666666666,,,,,,,,96.92307692307692,,19.666666666666668,11.25,19.666666666666668,11.25,0.5,,,,,1.0,0.413775,0.3333333333333333,0.5,3.6,-2.0,,,,,,1.0,,1.0,,1.0,,,,,,0.5,,,,,,,,0.5,,26.2,,,,,,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,0.75,0.6666666666666666,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.413775,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2013,2012-13,False
200811-201569-201577-202333-203148,1610612740,"Lou Amundson, Eric Gordon, Robin Lopez, Xavier Henry, Brian Roberts","Amundson, Gordon, Lopez, Henry, Roberts",200811-201569-201577-202333-203148,NOH,103.0,1,2.0,3.0,2.0,5.0,,,,1.0,1.0,,2.0,,,,,,,1.0,1.0,2.0,2.0,,,1.0,1.0,2.0,,1.0,,,,,,,,2.0,,,1.0,1.0,1.0,0.5,1.0,0.5,0.6666666666666666,,,1.0,69.90291262135922,,13.0,32.0,13.0,29.0,,,,,,,0.4103,,,5.9,2.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,2.0,,,,3.0,1.0,,,,,,1.0,,,,2.0,,,,,2.0,3.0,,,,,1.0,1.0,,,,,,,,0.4103,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2013,2012-13,False
200811-201569-201577-202333-2427,1610612740,"Lou Amundson, Eric Gordon, Robin Lopez, Xavier Henry, Roger Mason Jr.","Amundson, Gordon, Lopez, Henry, Mason Jr.",200811-201569-201577-202333-2427,NOH,38.0,1,1.0,1.0,1.0,2.0,,,,,1.0,2.0,2.0,2.0,,,,,,,,,1.0,,,,,,,,1.0,2.0,,,,,,,,,,,0.5,,,,,,,,75.78947368421053,,23.0,15.0,23.0,15.0,,,,,,,0.3133,,,4.0,,,,1.0,,1.0,,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,2.0,2.0,,,,,2.0,1.0,,,,,,0.5,,,,,,,,0.3133,1.0,1.0,,,,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2013,2012-13,False
200811-201569-201583-202329-202349,1610612740,"Lou Amundson, Eric Gordon, Ryan Anderson, Al-Farouq Aminu, Greivis Vasquez","Amundson, Gordon, Anderson, Aminu, Vasquez",200811-201569-201583-202329-202349,NOH,361.0,2,6.0,11.0,10.0,21.0,6.0,,,4.0,7.0,4.0,15.0,15.0,,,1.0,,3.0,1.0,1.0,2.0,6.0,,,1.0,1.0,1.0,,2.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,11.0,,,0.5714285714285714,0.4583333333333333,0.5357142857142857,1.0,0.3333333333333333,1.0,0.5,1.0,,,83.76731301939058,1.0,16.90909090909091,17.5,15.818181818181818,15.9,0.5,,,,,0.9166666666666666,0.5120416666666666,0.14285714285714285,0.2222222222222222,2.6714285714285713,,,,2.0,,1.0,4.0,,5.0,1.0,4.0,,2.0,4.0,,1.0,0.4166666666666667,0.5,0.5714285714285714,0.3333333333333333,0.08333333333333333,,,,0.3333333333333333,,25.78,4.0,8.0,,0.6666666666666666,0.6666666666666666,4.0,6.0,2.0,1.0,,2.0,1.0,2.0,,2.0,,2.0,3.0,1.0,1.0,1.0,2.0,4.0,1.0,0.2,,0.2,0.25,0.25,0.25,0.25,1.0,0.5,0.5,,0.25,0.559725,0.13333333333333333,0.36363636363636365,1.0,,,0.5,,,4.0,2.0,,,,0.5,0.6666666666666666,1.0,0.26666666666666666,2.0,3.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,0.6666666666666666,0.5,0.5,1.0,1.0,0.14285714285714285,0.08333333333333333,0.75,0.6666666666666666,0.25,0.5,0.5681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2013,2012-13,False
200811-201569-201583-202329-203148,1610612740,"Lou Amundson, Eric Gordon, Ryan Anderson, Al-Farouq Aminu, Brian Roberts","Amundson, Gordon, Anderson, Aminu, Roberts",200811-201569-201583-202329-203148,NOH,75.0,1,1.0,2.0,2.0,4.0,1.0,,1.0,1.0,2.0,,2.0,2.0,2.0,1.0,1.0,,2.0,,1.0,1.0,1.0,,,,,,,,1.0,2.0,1.0,,,,,2.0,1.0,1.0,0.5,0.5,0.3333333333333333,,1.0,,1.0,,1.0,,76.8,,21.5,16.0,21.5,16.0,0.5,0.5,,,,0.5,0.519,0.3333333333333333,0.3333333333333333,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2013,2012-13,False
200811-201569-201583-202329-2427,1610612740,"Lou Amundson, Eric Gordon, Ryan Anderson, Al-Farouq Aminu, Roger Mason Jr.","Amundson, Gordon, Anderson, Aminu, Mason Jr.",200811-201569-201583-202329-2427,NOH,136.0,1,2.0,5.0,6.0,11.0,1.0,,,,1.0,4.0,4.0,2.0,,,,,,1.0,,2.0,2.0,2.0,1.0,1.0,1.0,2.0,,2.0,2.0,4.0,2.0,,,,,4.0,,,,,0.6666666666666666,0.5,,1.0,1.0,,,1.0,116.47058823529412,,14.0,11.0,14.0,10.666666666666666,1.0,,,,,1.0,0.7567,0.6666666666666666,0.6666666666666666,1.4,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,3.0,5.0,1.0,,,,,1.0,,,,,,,,,,3.0,,,,,,,,,,1.0,,,,0.7567,,0.6,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2013,2012-13,False
