EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,FTDefRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefFTReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,DefTwoPtRebounds,Blocked2s,BlockedShortMidRange,Blocks,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,SecondChanceOffPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,ShortMidRangeAssists,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,Technical Free Throw Trips,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,SecondChanceShotQualityAvg,SecondChancePointsPct,Fg2aBlocked,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,FG2APctBlocked,AtRimPctBlocked,PtsUnassisted2s,Steals,BadPassSteals,TwoPtShootingFoulsDrawn,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,LongMidRangeFGM,PtsUnassisted3s,BlockedAtRim,RecoveredBlocks,DefAtRimReboundPct,BlocksRecoveredPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Loose Ball Fouls,LiveBallTurnovers,BadPassTurnovers,LiveBallTurnoverPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,SecondChanceFG3A,SecondChanceFtPoints,PtsPutbacks,Corner3Assists,LongMidRangeAssists,OffThreePtRebounds,SelfOReb,LostBallSteals,LostBallTurnovers,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,ShortMidRangePctBlocked,OffThreePtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,SelfORebPct,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,DefCorner3ReboundPct,BlockingFouls,Offensive Fouls Drawn,LongMidRangePctBlocked,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,HeaveMakes,HeaveAttempts,SecondChanceFg3Pct,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,LostBallOutOfBoundsTurnovers,Offensive Fouls,Travels,Charge Fouls,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceTurnovers,ThreePtShootingFoulsDrawn,Blocked3s,BlockedCorner3,BlockedLongMidRange,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,Clear Path Fouls,3SecondViolations,SecondChanceArc3PctAssisted,BlockingFoulsDrawn,Defensive 3 Seconds Violations,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,StepOutOfBoundsTurnovers,Charge Fouls Drawn,FTOffRebounds,OffFTReboundPct,SecondChanceCorner3PctAssisted,DefensiveGoaltends,Arc3PctBlocked,OffensiveGoaltends,3pt And 1 Free Throw Trips,BlockedArc3,team_id,year,season,team_vs
101109-200758-200778-200779-2199,1610612752,"Raymond Felton, Ronnie Brewer, James White, Steve Novak, Tyson Chandler","Felton, Brewer, White, Novak, Chandler",101109-200758-200778-200779-2199,NYK,86.0,1,1.0,1.0,3.0,3.0,3.0,3.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,6.0,1.0,1.0,1.0,1.0,2.0,7.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,7.0,7.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,1.25,1.1666666666666667,1.1666666666666667,0.5,1.0,100.46511627906976,14.0,14.666666666666666,14.0,14.666666666666666,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,0.57935,0.57935,1.0,1.6,24.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2013,2012-13,True
101109-200758-200778-200779-467,1610612752,"Raymond Felton, Ronnie Brewer, James White, Steve Novak, Jason Kidd","Felton, Brewer, White, Novak, Kidd",101109-200758-200778-200779-467,NYK,47.0,1,1.0,1.0,1.0,2.0,1.0,2.0,3.0,,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,3.0,2.0,,,1.0,1.0,,3.0,,3.0,1.0,1.0,,1.0,1.0,1.0,,3.0,,1.0,1.0,,,,,,3.0,3.0,1.0,,,,1.0,1.0,1.0,1.0,,,1.5,1.5,1.5,1.5,1.0,,91.91489361702128,10.0,18.5,10.0,15.5,,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0.52575,0.52575,1.0,,24.8,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2013,2012-13,True
101109-200758-200778-200779-739,1610612752,"Raymond Felton, Ronnie Brewer, James White, Steve Novak, Rasheed Wallace","Felton, Brewer, White, Novak, Wallace",101109-200758-200778-200779-739,NYK,85.0,1,1.0,4.0,3.0,2.0,3.0,2.0,5.0,,,,,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,6.0,2.0,1.0,3.0,1.0,1.0,,5.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,,5.0,,1.0,2.0,,1.0,,1.0,,4.0,5.0,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.625,0.625,0.625,0.625,0.25,,84.70588235294117,20.333333333333332,12.0,17.666666666666668,12.0,,,,,0.25,1.0,1.0,1.0,,,0.25,1.0,0.25,1.0,0.3943625,0.3943625,0.8333333333333334,10.200000000000001,25.3,1.0,,,,,,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,0.5,0.5,1.0,0.25,0.4091,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2013,2012-13,True
101109-200758-200778-2199-2747,1610612752,"Raymond Felton, Ronnie Brewer, James White, Tyson Chandler, JR Smith","Felton, Brewer, White, Chandler, Smith",101109-200758-200778-2199-2747,NYK,112.0,3,2.0,,5.0,4.0,4.0,2.0,9.0,,1.0,,1.0,,,,,,3.0,,,2.0,2.0,2.0,,2.0,,,2.0,2.0,,,,,,,,,,,,2.0,2.0,,1.0,1.0,2.0,1.0,2.0,2.0,4.0,1.0,,,,,,,,,,,0.25,0.3333333333333333,,,115.71428571428571,13.2,11.5,13.2,11.5,0.3333333333333333,,,,,,,,0.5,,,,0.3333333333333333,,0.4452,0.475,1.0,12.666666666666666,,0.8,2.0,,,,1.0,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,,,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2013,2012-13,True
101109-200758-200778-2199-467,1610612752,"Raymond Felton, Ronnie Brewer, James White, Tyson Chandler, Jason Kidd","Felton, Brewer, White, Chandler, Kidd",101109-200758-200778-2199-467,NYK,74.0,1,1.0,1.0,3.0,3.0,1.0,,6.0,2.0,2.0,,,,,,,2.0,2.0,,,2.0,6.0,5.0,,,,,2.0,2.0,2.0,,,,1.0,,1.0,,1.0,2.0,,,,1.0,1.0,2.0,2.0,,6.0,2.0,1.0,,0.5,0.5,,,,,1.0,,1.0,,1.0,1.0,,,116.75675675675676,10.333333333333334,14.333333333333334,10.333333333333334,14.333333333333334,1.0,1.0,1.0,0.5,,,,,,,,,1.0,,0.7203,,0.3333333333333333,1.25,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2013,2012-13,True
101109-200758-200778-2747-467,1610612752,"Raymond Felton, Ronnie Brewer, James White, JR Smith, Jason Kidd","Felton, Brewer, White, Smith, Kidd",101109-200758-200778-2747-467,NYK,135.0,1,2.0,7.0,6.0,5.0,6.0,5.0,11.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,9.0,2.0,2.0,4.0,1.0,1.0,2.0,9.0,2.0,,1.0,1.0,1.0,,1.0,,1.0,2.0,,4.0,4.0,,,1.0,2.0,,9.0,9.0,6.0,,0.5,0.5,,1.0,1.0,1.0,0.5,0.5,0.7,0.7,0.75,0.75,0.2,,117.33333333333333,11.833333333333334,12.8,11.833333333333334,12.8,0.4,0.5,0.5,1.0,0.2,1.0,1.0,,0.4,0.5,0.2,1.0,0.6,1.0,0.58342,0.58342,1.0,8.45,25.0,1.0,4.0,2.0,,2.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,0.2,,,,0.2,,,,,,,,,,2.0,,,1.0,0.16666666666666666,0.2,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2013,2012-13,True
101109-200758-200779-203142-467,1610612752,"Raymond Felton, Ronnie Brewer, Steve Novak, Chris Copeland, Jason Kidd","Felton, Brewer, Novak, Copeland, Kidd",101109-200758-200779-203142-467,NYK,13.0,1,,2.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,,,2.0,,1.0,1.0,,,,2.0,2.0,,,,1.0,,1.0,,1.0,2.0,,,,,1.0,,,,2.0,2.0,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,110.76923076923076,13.0,,13.0,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,,1.0,,0.6013,0.6013,1.0,2.4,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2013,2012-13,True
101109-200758-200779-203143-739,1610612752,"Raymond Felton, Ronnie Brewer, Steve Novak, Pablo Prigioni, Rasheed Wallace","Felton, Brewer, Novak, Prigioni, Wallace",101109-200758-200779-203143-739,NYK,96.0,2,2.0,-3.0,4.0,5.0,2.0,2.0,9.0,,,,,,,,,1.0,1.0,,,2.0,4.0,7.0,,,,,2.0,2.0,2.0,,,,1.0,,1.0,,,2.0,,1.0,1.0,,1.0,1.0,2.0,,4.0,2.0,2.0,,1.0,1.0,,,,,1.0,,1.0,,1.0,1.0,,,135.0,10.5,10.8,10.5,10.8,,,,,,,,,,,,,,,0.4158,,0.5,13.5,,0.5,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,,,,,1.0,,,,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,1.0,,,,,,,1.0,0.5,0.5,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2013,2012-13,True
101109-200758-200779-2199-2546,1610612752,"Raymond Felton, Ronnie Brewer, Steve Novak, Tyson Chandler, Carmelo Anthony","Felton, Brewer, Novak, Chandler, Anthony",101109-200758-200779-2199-2546,NYK,1151.0,4,19.0,-3.0,36.0,35.0,9.0,4.0,71.0,9.0,11.0,3.0,3.0,1.0,7.0,,2.0,15.0,25.0,3.0,10.0,6.0,45.0,48.0,6.0,8.0,,2.0,3.0,15.0,12.0,9.0,7.0,1.0,6.0,3.0,9.0,1.0,3.0,21.0,1.0,10.0,17.0,3.0,9.0,8.0,9.0,1.0,34.0,15.0,9.0,1.0,0.4,0.46153846153846156,1.0,0.3,,0.3,0.6,0.75,0.5571428571428572,0.6,0.5769230769230769,0.6818181818181818,0.2857142857142857,1.0,88.82710686359687,16.22222222222222,16.2,14.916666666666666,15.82857142857143,0.3142857142857143,0.8181818181818182,0.9,0.3333333333333333,0.2,0.14285714285714285,0.14285714285714285,1.0,0.3,1.0,0.2,,0.6,0.14285714285714285,0.5347214285714286,0.514095,0.3333333333333333,7.343999999999999,24.830000000000002,0.25,6.0,,,,0.6,0.6428571428571429,1.0,7.0,,7.0,7.0,5.0,6.0,11.0,,4.0,3.0,7.0,,1.0,0.8333333333333334,0.7142857142857143,0.6875,0.4,0.75,0.4117647058823529,1.0,1.0,0.2,,,,0.2,0.5529200000000001,0.24444444444444444,3.0,,1.0,4.0,,0.12,0.09090909090909091,18.0,4.0,2.0,4.0,0.10526315789473684,0.14285714285714285,6.0,,,,0.25,,0.8571428571428571,0.8571428571428571,,3.0,1.0,0.75,3.0,3.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,0.2857142857142857,0.42857142857142855,0.5,0.2857142857142857,0.3333333333333333,1.0,0.5,0.07142857142857142,0.5,0.08571428571428572,0.6666666666666666,0.6666666666666666,1.0,0.42857142857142855,1.0,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2013,2012-13,True
101109-200758-200779-2199-2747,1610612752,"Raymond Felton, Ronnie Brewer, Steve Novak, Tyson Chandler, JR Smith","Felton, Brewer, Novak, Chandler, Smith",101109-200758-200779-2199-2747,NYK,509.0,3,8.0,6.0,18.0,17.0,5.0,4.0,35.0,6.0,9.0,2.0,3.0,1.0,2.0,,,7.0,14.0,1.0,2.0,6.0,23.0,17.0,3.0,4.0,,,2.0,8.0,8.0,,2.0,1.0,4.0,,4.0,,3.0,8.0,,8.0,10.0,,3.0,4.0,7.0,,21.0,8.0,5.0,,0.5714285714285714,0.6666666666666666,,0.5,,0.5,0.5,0.75,0.53125,0.75,0.6052631578947368,0.8,0.125,,99.01768172888016,13.0,16.176470588235293,12.833333333333334,15.411764705882353,0.5625,0.6666666666666666,0.75,0.5,0.125,0.5,0.5,,0.75,0.6666666666666666,,,0.6875,0.5,0.587740625,0.6751,0.34782608695652173,5.478571428571429,25.15,0.2777777777777778,6.0,1.0,,1.0,1.0,0.8888888888888888,1.0,2.0,,2.0,3.0,1.0,2.0,2.0,,2.0,2.0,2.0,,,0.5,0.5,0.5,0.2857142857142857,0.6666666666666666,0.25,0.5,0.5,0.125,,,,0.1875,0.59875,0.08695652173913043,2.0,,,2.0,,0.14285714285714285,0.1111111111111111,6.0,2.0,2.0,4.0,0.21052631578947367,0.23529411764705882,1.0,3.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,2.0,1.0,1.0,1.0,2.0,,,,,,2.0,,1.0,,,,1.0,,1.0,0.5,,,0.5,,,1.0,,1.0,,,,,1.0,0.5,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2013,2012-13,True
