EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PtsAssisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,Defensive 3 Seconds Violations,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,AtRimFGM,AtRimAssists,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFGM,LongMidRangeFGA,PtsUnassisted2s,LongMidRangeAssists,DefTwoPtRebounds,ShootingFouls,Fouls,DefTwoPtReboundPct,DefAtRimReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyDefPoss,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,Steals,BadPassSteals,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceShotQualityAvg,SecondChancePointsPct,PenaltyOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,Corner3FGA,Arc3FGM,PenaltyArc3FGA,FG3M,FtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,FTDefRebounds,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyOffPossPct,Technical Free Throw Trips,DefCorner3ReboundPct,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGM,SecondChanceFtPoints,PenaltyFG3M,PenaltyFtPoints,FTOffRebounds,SelfOReb,Charge Fouls,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,ShortMidRangePctBlocked,OffFTReboundPct,OffCorner3ReboundPct,SelfORebPct,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,BlockingFouls,Offensive Fouls Drawn,BlockingFoulsDrawn,DefensiveGoaltends,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3FGM,HeaveAttempts,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedCorner3,3SecondViolations,LongMidRangePctBlocked,SecondChanceAtRimPctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,OffensiveGoaltends,HeaveMakes,team_id,year,season,team_vs
200757-200758-201142-201566-201586,1610612760,"Thabo Sefolosha, Ronnie Brewer, Kevin Durant, Russell Westbrook, Serge Ibaka","Sefolosha, Brewer, Durant, Westbrook, Ibaka",200757-200758-201142-201566-201586,OKC,111.0,1,2.0,-3.0,3.0,3.0,6,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.5,1.0,77.83783783783784,18.666666666666668,18.333333333333332,18.666666666666668,18.333333333333332,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.54685,3.4,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2013,2012-13,False
200757-200758-201566-201586-202350,1610612760,"Thabo Sefolosha, Ronnie Brewer, Russell Westbrook, Serge Ibaka, Daniel Orton","Sefolosha, Brewer, Westbrook, Ibaka, Orton",200757-200758-201566-201586-202350,OKC,22.0,1,,2.0,1.0,,1,1.0,,,,1.0,1.0,,2.0,,2.0,,1.0,1.0,,2.0,,,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,65.45454545454545,22.0,,22.0,,1.0,,,,,,1.0,0.7229,0.5,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2013,2012-13,False
200757-200758-201566-201586-2555,1610612760,"Thabo Sefolosha, Ronnie Brewer, Russell Westbrook, Serge Ibaka, Nick Collison","Sefolosha, Brewer, Westbrook, Ibaka, Collison",200757-200758-201566-201586-2555,OKC,95.0,1,2.0,-1.0,2.0,3.0,5,,1.0,1.0,,2.0,2.0,,4.0,5.0,2.0,,1.0,1.0,,2.0,,1.0,1.0,,4.0,0.5,0.5,1.0,1.0,1.0,,,1.0,,75.78947368421053,18.5,19.333333333333332,18.5,19.333333333333332,,0.5,1.0,1.0,,,,0.4208,15.6,,,,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2013,2012-13,False
200757-200758-202350-202704-2555,1610612760,"Thabo Sefolosha, Ronnie Brewer, Daniel Orton, Reggie Jackson, Nick Collison","Sefolosha, Brewer, Orton, Jackson, Collison",200757-200758-202350-202704-2555,OKC,124.0,1,2.0,-3.0,4.0,4.0,8,2.0,,,2.0,2.0,4.0,2.0,4.0,7.0,,2.0,,,,,,,2.0,,2.0,,,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,92.9032258064516,21.0,10.0,17.5,9.0,0.3333333333333333,,,,,0.3333333333333333,0.6666666666666666,0.4937666666666667,10.6,24.5,2.0,,1.0,1.0,,,2.0,4.0,,,,1.0,,,0.3333333333333333,,,,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.54345,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2013,2012-13,False
200757-201142-201566-201586-201934,1610612760,"Thabo Sefolosha, Kevin Durant, Russell Westbrook, Serge Ibaka, Hasheem Thabeet","Sefolosha, Durant, Westbrook, Ibaka, Thabeet",200757-201142-201566-201586-201934,OKC,3255.0,8,54.0,22.0,102.0,105.0,207,27.0,6.0,18.0,14.0,38.0,72.0,18.0,115.0,93.0,30.0,14.0,15.0,23.0,2.0,54.0,10.0,44.0,59.0,,107.0,0.39473684210526316,0.42857142857142855,0.5277777777777778,0.5722222222222222,0.5989583333333334,0.2,0.625,0.6935483870967742,0.7142857142857143,91.57603686635944,15.764705882352942,15.685714285714285,15.127450980392156,14.752380952380953,0.3,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.15555555555555556,0.5,0.5144661111111111,9.640277777777778,24.62777777777778,21.0,10.0,0.7777777777777778,0.84,0.47619047619047616,11.0,27.0,46.0,3.0,33.0,4.0,20.0,0.717391304347826,0.631578947368421,0.3,0.4074074074074074,0.4074074074074074,0.2727272727272727,18.0,13.0,3.0,4.0,,4.0,10.0,,8.0,3.0,12.0,15.0,9.0,5.0,,0.4,0.4,0.4,0.35294117647058826,0.3333333333333333,0.3488372093023256,0.375,0.42857142857142855,0.4,0.75,,0.5073666666666666,0.06956521739130435,9.0,3.0,3.0,2.0,4.0,7.0,1.0,9.0,12.0,4.0,7.0,1.0,8.0,24.0,3.0,6.0,7.0,2.0,8.0,6.0,2.0,1.0,4.0,11.0,1.0,8.0,9.0,2.0,3.0,1.0,1.0,20.0,4.0,2.0,1.0,3.0,18.0,1.0,2.0,13.0,1.0,7.0,12.0,6.0,2.0,4.0,12.0,7.0,8.0,9.0,0.8888888888888888,0.5,0.5,0.5714285714285714,0.5,0.5,0.027777777777777776,0.07407407407407407,0.55,1.0,0.5,0.25,0.7,0.8235294117647058,0.5833333333333334,0.044444444444444446,0.5,0.5,1.0,0.5,0.5,0.8571428571428571,0.375,1.0,0.125,0.5,0.52680625,0.07291666666666667,0.08974358974358974,0.06956521739130435,0.08823529411764706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2013,2012-13,False
200757-201142-201566-201586-202350,1610612760,"Thabo Sefolosha, Kevin Durant, Russell Westbrook, Serge Ibaka, Daniel Orton","Sefolosha, Durant, Westbrook, Ibaka, Orton",200757-201142-201566-201586-202350,OKC,260.0,1,4.0,8.0,9.0,10.0,19,3.0,2.0,5.0,,4.0,8.0,1.0,12.0,4.0,4.0,,2.0,3.0,1.0,7.0,2.0,5.0,6.0,,10.0,0.5,0.6666666666666666,0.5,0.6111111111111112,0.6111111111111112,0.1111111111111111,0.6666666666666666,0.8333333333333334,0.5,105.23076923076924,13.0,14.3,13.0,14.1,0.3333333333333333,0.5555555555555556,0.4,0.4,0.5,,0.4444444444444444,0.5500666666666666,4.625,22.3,2.0,1.0,0.6666666666666666,0.6666666666666666,0.5,,,4.0,,3.0,1.0,2.0,1.0,1.0,,,,,,1.0,1.0,1.0,,1.0,1.0,,2.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,0.25,,0.25,,,1.0,1.0,,0.6076,0.16666666666666666,,,,1.0,1.0,,,1.0,1.0,,,,,3.0,,2.0,,,1.0,,1.0,,,1.0,,,,,1.0,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,,,0.3333333333333333,1.0,,,0.1111111111111111,1.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2013,2012-13,False
200757-201142-201566-201586-202704,1610612760,"Thabo Sefolosha, Kevin Durant, Russell Westbrook, Serge Ibaka, Reggie Jackson","Sefolosha, Durant, Westbrook, Ibaka, Jackson",200757-201142-201566-201586-202704,OKC,1434.0,13,24.0,-13.0,51.0,50.0,101,8.0,4.0,13.0,13.0,14.0,28.0,19.0,54.0,67.0,6.0,13.0,3.0,5.0,1.0,12.0,2.0,12.0,24.0,,41.0,0.21428571428571427,0.25,0.5,0.39361702127659576,0.47368421052631576,0.40425531914893614,0.3333333333333333,0.4444444444444444,0.5,101.42259414225941,12.411764705882353,16.02,11.294117647058824,15.18,0.1702127659574468,0.2765957446808511,0.3076923076923077,0.3333333333333333,0.25,0.2765957446808511,0.574468085106383,0.4767255319148936,9.310714285714287,24.931578947368422,5.0,1.0,0.625,0.8333333333333334,0.2,5.0,7.0,22.0,1.0,6.0,5.0,19.0,0.5,0.42857142857142855,0.14893617021276595,0.7142857142857143,0.7142857142857143,0.2,30.0,11.0,2.0,4.0,1.0,3.0,6.0,1.0,13.0,7.0,4.0,12.0,2.0,2.0,4.0,0.5,0.42857142857142855,0.5909090909090909,0.2857142857142857,0.4375,0.36666666666666664,,0.3333333333333333,0.5714285714285714,0.5,0.14285714285714285,0.4646166666666667,0.24074074074074073,17.0,1.0,2.0,2.0,6.0,1.0,6.0,3.0,17.0,5.0,8.0,9.0,24.0,6.0,3.0,4.0,1.0,3.0,2.0,,2.0,4.0,,5.0,,4.0,3.0,1.0,1.0,,,8.0,1.0,2.0,1.0,1.0,12.0,,,21.0,1.0,9.0,6.0,4.0,,2.0,6.0,1.0,24.0,17.0,0.6666666666666666,0.15789473684210525,0.15789473684210525,0.625,0.47058823529411764,0.5454545454545454,0.10714285714285714,0.25,0.625,1.0,0.6666666666666666,0.2222222222222222,0.5,0.6666666666666666,0.16666666666666666,0.1276595744680851,0.3333333333333333,0.3333333333333333,1.0,0.07692307692307693,0.07692307692307693,,0.11764705882352941,0.5,0.35294117647058826,0.07692307692307693,0.4249764705882353,0.16363636363636364,0.25,0.4444444444444444,0.3333333333333333,,,1.0,3.0,1.0,7.0,2.0,8.0,1.0,1.0,1.0,2.0,2.0,0.2222222222222222,0.07692307692307693,0.3333333333333333,0.75,0.037037037037037035,0.17647058823529413,0.3333333333333333,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2013,2012-13,False
200757-201142-201566-201586-2555,1610612760,"Thabo Sefolosha, Kevin Durant, Russell Westbrook, Serge Ibaka, Nick Collison","Sefolosha, Durant, Westbrook, Ibaka, Collison",200757-201142-201566-201586-2555,OKC,2752.0,19,46.0,17.0,89.0,95.0,184,26.0,6.0,17.0,9.0,32.0,59.0,19.0,110.0,93.0,32.0,9.0,16.0,24.0,,56.0,9.0,39.0,52.0,,93.0,0.5,0.5714285714285714,0.5423728813559322,0.6025641025641025,0.6411764705882353,0.24358974358974358,0.6923076923076923,0.7291666666666666,0.7777777777777778,96.27906976744185,14.617977528089888,15.273684210526316,13.865168539325843,14.642105263157895,0.3333333333333333,0.21794871794871795,0.35294117647058826,0.375,,0.11538461538461539,0.5769230769230769,0.5473378205128204,8.299999999999999,24.23157894736842,20.0,12.0,0.7692307692307693,0.9523809523809523,0.6,6.0,16.0,32.0,4.0,26.0,9.0,22.0,0.7428571428571429,0.8,0.20512820512820512,0.375,0.375,0.6666666666666666,39.0,13.0,5.0,5.0,,6.0,7.0,2.0,17.0,4.0,9.0,13.0,7.0,5.0,4.0,0.8571428571428571,0.8333333333333334,0.85,0.34615384615384615,0.4444444444444444,0.37142857142857144,0.3,0.5,0.5555555555555556,1.0,,0.57654375,0.15454545454545454,9.0,1.0,2.0,5.0,10.0,5.0,,10.0,16.0,2.0,6.0,,7.0,24.0,6.0,8.0,5.0,6.0,8.0,3.0,5.0,4.0,2.0,11.0,4.0,6.0,10.0,,5.0,1.0,,21.0,3.0,4.0,1.0,2.0,15.0,,1.0,17.0,2.0,8.0,6.0,6.0,,,6.0,5.0,7.0,9.0,0.8,0.5263157894736842,0.5263157894736842,0.3333333333333333,0.3333333333333333,0.4375,0.1016949152542373,0.19230769230769232,0.5238095238095238,1.0,0.5,0.3,0.6363636363636364,0.7857142857142857,0.8333333333333334,0.1282051282051282,0.5,0.5,1.0,0.5555555555555556,0.5555555555555556,0.6,0.3333333333333333,0.5,,0.5555555555555556,0.48564999999999997,0.09523809523809523,0.12307692307692308,0.06363636363636363,0.10112359550561797,1.0,0.5,,,,2.0,,3.0,,,1.0,1.0,,,0.058823529411764705,,0.4,,,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.2222222222222222,0.5,1.0,,,,,,,,,,,,,,,,,,,1610612760,2013,2012-13,False
200757-201142-201566-201586-2570,1610612760,"Thabo Sefolosha, Kevin Durant, Russell Westbrook, Serge Ibaka, Kendrick Perkins","Sefolosha, Durant, Westbrook, Ibaka, Perkins",200757-201142-201566-201586-2570,OKC,74669.0,94,1244.0,237.0,2402.0,2404.0,4806,696.0,154.0,399.0,292.0,844.0,1661.0,414.0,2658.0,2421.0,864.0,291.0,432.0,571.0,55.0,1281.0,254.0,942.0,1251.0,12.0,2310.0,0.5118483412322274,0.5603112840466926,0.5081276339554486,0.523855421686747,0.5630592245419684,0.19951807228915663,0.7426900584795322,0.7089201877934272,0.7397769516728625,92.68424647444053,14.890091590341383,16.18261231281198,14.307243963363863,15.430532445923461,0.33542168674698797,0.19228915662650603,0.38596491228070173,0.4106666666666667,0.35714285714285715,0.14072289156626505,0.5349397590361445,0.5201242760617761,8.865743527995186,24.550483091787434,442.0,233.0,0.6350574712643678,0.7083333333333334,0.5271493212669683,248.0,566.0,824.0,144.0,652.0,178.0,429.0,0.6965811965811965,0.6140845070422535,0.2727710843373494,0.4381625441696113,0.4404973357015986,0.5806451612903226,365.0,268.0,95.0,152.0,34.0,116.0,204.0,37.0,348.0,59.0,242.0,309.0,211.0,133.0,30.0,0.5686274509803921,0.5995850622406639,0.6327272727272727,0.29802955665024633,0.24279835390946503,0.2853080568720379,0.2222222222222222,0.21264367816091953,0.6307053941908713,0.625,0.14107883817427386,0.5367551020408163,0.1309255079006772,420.0,80.0,130.0,52.0,122.0,110.0,63.0,162.0,484.0,128.0,256.0,82.0,501.0,417.0,69.0,146.0,110.0,99.0,139.0,89.0,50.0,36.0,78.0,222.0,32.0,128.0,157.0,29.0,94.0,3.0,21.0,379.0,30.0,59.0,20.0,25.0,465.0,1.0,22.0,609.0,46.0,263.0,256.0,178.0,20.0,58.0,265.0,164.0,496.0,417.0,0.8580246913580247,0.391304347826087,0.3922518159806295,0.5,0.5384615384615384,0.5956937799043063,0.059602649006622516,0.10344827586206896,0.5857519788918206,0.8571428571428571,0.3779527559055118,0.31275720164609055,0.6692015209125475,0.8113207547169812,0.6188679245283019,0.05879518072289157,0.4262295081967213,0.4262295081967213,0.9615384615384616,0.3767123287671233,0.3767123287671233,0.8090909090909091,0.38461538461538464,0.6153846153846154,0.1863905325443787,0.37800687285223367,0.5309729166666667,0.11672473867595819,0.14004259850905218,0.18848758465011287,0.17485428809325562,17.0,0.7534246575342466,12.0,19.0,24.0,59.0,36.0,137.0,8.0,38.0,15.0,51.0,40.0,0.43902439024390244,0.06015037593984962,0.1509433962264151,0.3188405797101449,0.0397489539748954,0.05621301775147929,0.631578947368421,0.38095238095238093,2.0,3.0,19.0,10.0,15.0,18.0,12.0,0.5135135135135135,0.012448132780082987,0.6666666666666666,0.5,17.0,1.0,1.0,5.0,9.0,8.0,1.0,8.0,0.00530035335689046,0.12631578947368421,0.5,0.9411764705882353,0.011961722488038277,,,,,,1610612760,2013,2012-13,False
200757-201142-201566-201586-2755,1610612760,"Thabo Sefolosha, Kevin Durant, Russell Westbrook, Serge Ibaka, Kevin Martin","Sefolosha, Durant, Westbrook, Ibaka, Martin",200757-201142-201566-201586-2755,OKC,7751.0,47,129.0,14.0,255.0,250.0,505,51.0,12.0,37.0,35.0,65.0,135.0,49.0,291.0,277.0,68.0,35.0,34.0,54.0,1.0,128.0,27.0,92.0,117.0,,276.0,0.5230769230769231,0.53125,0.48148148148148145,0.5244565217391305,0.6223175965665236,0.266304347826087,0.7941176470588235,0.6923076923076923,0.7857142857142857,93.82015223842085,14.07843137254902,16.644,13.411764705882353,15.524,0.27717391304347827,0.20108695652173914,0.32432432432432434,0.375,0.08333333333333333,0.19021739130434784,0.5434782608695652,0.5057790760869565,9.112592592592591,24.824489795918367,34.0,21.0,0.6666666666666666,0.7727272727272727,0.6176470588235294,19.0,47.0,62.0,12.0,63.0,25.0,64.0,0.65625,0.6,0.2554347826086957,0.40425531914893614,0.40425531914893614,0.631578947368421,85.0,20.0,1.0,4.0,1.0,4.0,14.0,1.0,15.0,5.0,20.0,25.0,21.0,12.0,9.0,0.2857142857142857,0.26666666666666666,0.4166666666666667,0.2898550724637681,0.19230769230769232,0.2631578947368421,0.2857142857142857,0.2222222222222222,0.26666666666666666,0.25,0.06666666666666667,0.46836666666666665,0.05154639175257732,130.0,17.0,24.0,6.0,14.0,15.0,14.0,21.0,98.0,32.0,61.0,23.0,146.0,60.0,3.0,2.0,15.0,12.0,20.0,14.0,6.0,2.0,9.0,30.0,2.0,17.0,16.0,3.0,13.0,2.0,,46.0,5.0,29.0,7.0,4.0,64.0,,2.0,105.0,4.0,30.0,25.0,15.0,2.0,8.0,25.0,16.0,136.0,125.0,0.9523809523809523,0.42857142857142855,0.42857142857142855,0.5245901639344263,0.5238095238095238,0.6359649122807017,0.08888888888888889,0.13725490196078433,0.6521739130434783,0.6666666666666666,0.25,0.32,0.5652173913043478,0.7878787878787878,0.64,0.07608695652173914,0.42857142857142855,0.42857142857142855,1.0,0.42857142857142855,0.4411764705882353,0.9333333333333333,0.2857142857142857,0.7083333333333334,0.16666666666666666,0.42857142857142855,0.5006386904761905,0.15165876777251186,0.18633540372670807,0.5017182130584192,0.5098039215686274,1.0,0.8333333333333334,5.0,9.0,3.0,7.0,8.0,58.0,,1.0,2.0,22.0,16.0,0.34782608695652173,0.13513513513513514,,0.125,0.011904761904761904,0.10714285714285714,0.5555555555555556,0.21428571428571427,,,,1.0,2.0,3.0,,,,,,,,1.0,2.0,,,,,,,,,0.04,1.0,0.02040816326530612,0.02857142857142857,,,1610612760,2013,2012-13,False
