EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,Corner3FGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,PtsAssisted2s,NonHeaveArc3FGA,Fg3aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Turnovers,Fouls,FoulsDrawn,BlockingFoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,FG3APctBlocked,Corner3PctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PlusMinus,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,PtsPutbacks,LongMidRangeAssists,OffTwoPtRebounds,DefThreePtRebounds,FTDefRebounds,OffRebounds,ShootingFouls,2pt And 1 Free Throw Trips,Blocked2s,BlockedShortMidRange,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,DefFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,DeadBallTurnovers,Offensive Fouls,BlockedAtRim,RecoveredBlocks,Arc3PctBlocked,BlocksRecoveredPct,SecondChanceAtRimPctAssisted,SecondChanceFtPoints,Fg2aBlocked,ShortMidRangeAssists,FG2APctBlocked,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,ShortMidRangePctAssisted,PenaltyCorner3FGA,PenaltyFG3A,PenaltyFtPoints,LostBallSteals,LostBallOutOfBoundsTurnovers,PenaltyTurnovers,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,DefCorner3ReboundPct,PenaltyCorner3Frequency,PenaltyArc3FGA,HeaveAttempts,PenaltyArc3Frequency,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,OffThreePtRebounds,SelfOReb,SecondChanceTurnovers,Loose Ball Fouls Drawn,Offensive Fouls Drawn,Technical Free Throw Trips,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,AtRimPctBlocked,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,SelfORebPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Corner3FGM,PenaltyCorner3FGM,Corner3Assists,FTOffRebounds,Travels,OffFTReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,StepOutOfBoundsTurnovers,BlockingFouls,Charge Fouls,Loose Ball Fouls,Charge Fouls Drawn,Blocked3s,BlockedArc3,BlockedLongMidRange,LongMidRangePctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BadPassOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BlockedCorner3,Defensive 3 Seconds Violations,DefensiveGoaltends,team_id,year,season,team_vs
1495-1938-201168-201980-202390,1610612759,"Tim Duncan, Manu Ginobili, Tiago Splitter, Danny Green, Gary Neal","Duncan, Ginobili, Splitter, Green, Neal",1495-1938-201168-201980-202390,SAS,109.0,2,2.0,5.0,4.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,1.0,118.89908256880734,12.2,12.0,12.2,12.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.4000666666666666,0.25,0.5,2.6,24.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2013,2012-13,False
1495-1938-201168-201980-202695,1610612759,"Tim Duncan, Manu Ginobili, Tiago Splitter, Danny Green, Kawhi Leonard","Duncan, Ginobili, Splitter, Green, Leonard",1495-1938-201168-201980-202695,SAS,387.0,6,6.0,9.0,12.0,21.0,3.0,3.0,,,7.0,10.0,,2.0,16.0,12.0,4.0,,,2.0,2.0,1.0,4.0,3.0,5.0,6.0,,,,,,,2.0,1.0,,2.0,2.0,14.0,0.2857142857142857,0.3333333333333333,0.7,0.7,0.8,,,,,0.42857142857142855,0.5,,78.13953488372093,17.666666666666668,19.0,17.666666666666668,18.416666666666668,0.3,1.0,1.0,0.3333333333333333,,,0.3,0.44587000000000004,0.2,0.2,10.32,,4.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,2.0,10.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.25,0.6666666666666666,1.0,0.3,1.0,1.0,0.4,0.25,0.25,1.0,1.0,1.0,0.5,1.0,0.6265,0.48605,0.125,0.125,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2013,2012-13,False
1495-1938-201168-201980-2225,1610612759,"Tim Duncan, Manu Ginobili, Tiago Splitter, Danny Green, Tony Parker","Duncan, Ginobili, Splitter, Green, Parker",1495-1938-201168-201980-2225,SAS,194.0,2,3.0,7.0,6.0,13.0,1.0,2.0,,1.0,3.0,5.0,1.0,,6.0,10.0,4.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,,,,,,1.0,3.0,,,,,4.0,0.6666666666666666,0.6666666666666666,0.6,0.5,0.5,0.16666666666666666,1.0,,,1.0,1.0,,96.49484536082474,15.0,14.833333333333334,14.714285714285714,14.833333333333334,0.3333333333333333,0.5,0.5,1.0,,0.16666666666666666,0.5,0.44815000000000005,,,11.6,24.6,-4.0,,3.0,1.0,1.0,1.0,,,,,2.0,3.0,1.0,1.0,2.0,,,,2.0,,1.0,,,,,1.0,,1.0,,1.0,,,1.0,1.0,,1.0,,1.0,,,,,,,1.0,1.0,,,,,0.5,0.6666666666666666,0.6666666666666666,0.5,1.0,1.0,,,0.5892,,0.3333333333333333,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2013,2012-13,False
1495-1938-201168-202390-2225,1610612759,"Tim Duncan, Manu Ginobili, Tiago Splitter, Gary Neal, Tony Parker","Duncan, Ginobili, Splitter, Neal, Parker",1495-1938-201168-202390-2225,SAS,50.0,2,1.0,1.0,1.0,2.0,1.0,1.0,,,1.0,1.0,,,2.0,2.0,2.0,,,1.0,1.0,1.0,2.0,,,,,,,,,,,1.0,,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,57.599999999999994,20.0,30.0,20.0,16.0,1.0,1.0,1.0,1.0,,,1.0,0.6819,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2013,2012-13,False
1495-1938-201168-202695-202709,1610612759,"Tim Duncan, Manu Ginobili, Tiago Splitter, Kawhi Leonard, Cory Joseph","Duncan, Ginobili, Splitter, Leonard, Joseph",1495-1938-201168-202695-202709,SAS,107.0,1,2.0,4.0,4.0,8.0,1.0,1.0,,,2.0,4.0,,1.0,5.0,,4.0,,,2.0,2.0,1.0,4.0,3.0,4.0,6.0,,,1.0,1.0,,1.0,,2.0,,2.0,1.0,4.0,1.0,1.0,0.5,0.5,0.5,,,,1.0,1.0,1.0,1.0,107.66355140186916,10.75,16.0,10.0,16.0,0.25,1.0,1.0,1.0,,,0.25,0.477125,0.2,0.2,8.05,,5.0,,,1.0,,,,,1.0,3.0,,,,1.0,1.0,,,,,,,2.0,1.0,,2.0,,,,,,,,,,,,,0.25,,,1.0,1.0,1.0,,1.0,1.0,1.0,0.75,0.3333333333333333,0.5,,,,,,,,,0.3478,,0.2,,,,,,,,,,1.0,1.0,1.0,0.25,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2013,2012-13,False
1495-1938-201168-202695-2225,1610612759,"Tim Duncan, Manu Ginobili, Tiago Splitter, Kawhi Leonard, Tony Parker","Duncan, Ginobili, Splitter, Leonard, Parker",1495-1938-201168-202695-2225,SAS,645.0,6,11.0,21.0,21.0,42.0,4.0,4.0,2.0,,8.0,12.0,2.0,5.0,21.0,14.0,8.0,,,4.0,4.0,2.0,8.0,7.0,13.0,13.0,1.0,,3.0,3.0,,4.0,3.0,3.0,,6.0,1.0,21.0,0.5,0.5,0.6666666666666666,0.5714285714285714,0.6176470588235294,0.14285714285714285,,,0.75,0.4666666666666667,0.5789473684210527,1.0,93.76744186046511,14.142857142857142,16.571428571428573,14.142857142857142,14.571428571428571,0.2857142857142857,1.0,1.0,0.5,0.14285714285714285,,0.42857142857142855,0.5044607142857143,0.06666666666666667,0.07692307692307693,10.166666666666666,23.7,7.0,6.0,11.0,,,,,,2.0,3.0,2.0,5.0,,,,1.0,1.0,5.0,8.0,,1.0,,4.0,2.0,,1.0,,6.0,1.0,6.0,5.0,6.0,,,1.0,,0.3333333333333333,,0.5,1.0,,1.0,,,0.2,1.0,1.0,0.21428571428571427,0.6666666666666666,0.6666666666666666,0.35714285714285715,0.4,0.4,0.5,,,,,,0.6021166666666666,,0.23809523809523808,0.2857142857142857,1.0,,5.0,2.0,,0.3333333333333333,,,,1.0,,,,0.5,2.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2013,2012-13,False
1495-1938-201168-2225-2588,1610612759,"Tim Duncan, Manu Ginobili, Tiago Splitter, Tony Parker, Matt Bonner","Duncan, Ginobili, Splitter, Parker, Bonner",1495-1938-201168-2225-2588,SAS,2.0,1,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,44.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2013,2012-13,False
1495-1938-201980-202390-202695,1610612759,"Tim Duncan, Manu Ginobili, Danny Green, Gary Neal, Kawhi Leonard","Duncan, Ginobili, Green, Neal, Leonard",1495-1938-201980-202390-202695,SAS,1140.0,10,19.0,36.0,36.0,72.0,8.0,13.0,2.0,9.0,11.0,21.0,11.0,15.0,49.0,33.0,10.0,9.0,,5.0,8.0,4.0,19.0,9.0,18.0,25.0,1.0,,2.0,1.0,1.0,3.0,11.0,12.0,1.0,18.0,5.0,37.0,0.45454545454545453,0.5555555555555556,0.5238095238095238,0.53125,0.6,0.34375,,,0.6666666666666666,0.75,0.8,0.8333333333333334,90.94736842105263,14.333333333333334,17.333333333333332,13.11111111111111,17.194444444444443,0.40625,0.6153846153846154,0.6666666666666666,0.5,0.0625,0.28125,0.75,0.5153234375,0.1388888888888889,0.2,6.261904761904762,25.036363636363635,16.0,19.0,6.0,8.0,2.0,4.0,4.0,7.0,1.0,5.0,2.0,3.0,2.0,5.0,12.0,4.0,9.0,27.0,12.0,4.0,1.0,3.0,7.0,2.0,7.0,3.0,1.0,,,,27.0,19.0,1.0,0.4,0.4444444444444444,0.7142857142857143,0.5833333333333334,0.75,0.675,1.0,0.3333333333333333,0.875,0.4375,,0.5,0.75,0.8571428571428571,0.15625,0.2,0.25,0.09375,0.6666666666666666,0.6666666666666666,0.5,0.5714285714285714,0.5,0.5833333333333334,0.5714285714285714,0.44045,0.555775,0.24489795918367346,0.5510204081632653,0.5277777777777778,1.0,1.0,,,,,,2.0,2.0,,0.09523809523809523,0.2,,,,3.0,13.0,1.0,,2.0,4.0,3.0,1.0,,3.0,,0.25,4.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,9.0,3.0,4.0,3.0,3.0,4.0,2.0,1.0,2.0,1.0,1.0,0.75,0.36363636363636365,1.0,0.6666666666666666,0.36363636363636365,0.07692307692307693,0.5714285714285714,0.6,0.4,1.0,0.13333333333333333,0.4444444444444444,0.4444444444444444,0.75,0.2857142857142857,1.0,1.0,0.6666666666666666,0.4444444444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2013,2012-13,False
1495-1938-201980-202390-202709,1610612759,"Tim Duncan, Manu Ginobili, Danny Green, Gary Neal, Cory Joseph","Duncan, Ginobili, Green, Neal, Joseph",1495-1938-201980-202390-202709,SAS,220.0,3,4.0,5.0,7.0,12.0,,,,2.0,1.0,3.0,2.0,,5.0,13.0,,2.0,,,1.0,,3.0,1.0,1.0,1.0,,,,,,,,2.0,,,,5.0,,,0.3333333333333333,0.5,0.5,0.4,,,,1.0,0.5,,78.54545454545455,23.2,14.857142857142858,23.2,11.857142857142858,,,,,,0.4,0.4,0.45332,,,8.833333333333334,24.95,-8.0,,2.0,,,,,,1.0,3.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.6,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,3.0,,1.0,1.0,1.0,,,,,,,1.0,0.5,,,0.5,,,,,,,0.5,0.5,1.0,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2013,2012-13,False
1495-1938-201980-202390-2225,1610612759,"Tim Duncan, Manu Ginobili, Danny Green, Gary Neal, Tony Parker","Duncan, Ginobili, Green, Neal, Parker",1495-1938-201980-202390-2225,SAS,567.0,7,9.0,21.0,21.0,42.0,3.0,7.0,2.0,2.0,6.0,11.0,4.0,7.0,25.0,27.0,6.0,2.0,,3.0,5.0,1.0,12.0,4.0,5.0,11.0,,,2.0,1.0,1.0,5.0,6.0,7.0,,12.0,4.0,18.0,0.5,0.5,0.5454545454545454,0.6,0.5952380952380952,0.26666666666666666,,,0.4,0.5714285714285714,0.5,0.3333333333333333,106.66666666666667,13.380952380952381,13.619047619047619,12.333333333333334,12.476190476190476,0.4666666666666667,0.42857142857142855,0.6,0.3333333333333333,0.13333333333333333,0.13333333333333333,0.7333333333333333,0.50614,0.21052631578947367,0.26666666666666666,6.236363636363635,24.225,-2.0,13.0,9.0,5.0,,2.0,3.0,4.0,1.0,1.0,2.0,3.0,1.0,3.0,7.0,4.0,5.0,18.0,6.0,,2.0,3.0,,1.0,6.0,3.0,,3.0,2.0,3.0,18.0,13.0,1.0,0.3333333333333333,0.8,0.3333333333333333,0.875,0.5833333333333334,0.75,1.0,0.6,,0.7142857142857143,,,1.0,,0.06666666666666667,1.0,1.0,0.2,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,,0.5,0.75,0.46485,0.5135375,0.28,0.72,0.6190476190476191,3.0,1.0,1.0,2.0,,0.6666666666666666,,5.0,2.0,,0.18181818181818182,,,,2.0,3.0,4.0,,,2.0,2.0,2.0,,0.25,1.0,,0.125,1.0,,,1.0,2.0,,,2.0,6.0,,1.0,2.0,1.0,2.0,1.0,,,1.0,,1.0,0.5,,0.6666666666666666,0.5,0.2857142857142857,1.0,0.75,1.0,1.0,0.2,0.5,0.5,1.0,,,,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.25,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,1610612759,2013,2012-13,False
