EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,PtsPutbacks,OffTwoPtRebounds,OffRebounds,Rebounds,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,LongMidRangeFGM,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG3M,FG3A,FtPoints,SecondChanceFG3A,SecondChanceFtPoints,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg3ptShotDistance,Arc3FGM,PenaltyArc3FGM,NonHeaveArc3FGM,Arc3Assists,SecondChanceTurnovers,Offensive Fouls Drawn,ShortMidRangePctBlocked,OffArc3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,BlockingFouls,Technical Free Throw Trips,DefAtRimReboundPct,SecondChanceCorner3FGM,SecondChanceFG3M,HeaveAttempts,BadPassOutOfBoundsTurnovers,Offensive Fouls,Blocked3s,BlockedArc3,BlockedAtRim,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Defensive 3 Seconds Violations,PtsUnassisted3s,Loose Ball Fouls,Charge Fouls,SecondChanceArc3FGM,SecondChanceArc3FGA,StepOutOfBoundsTurnovers,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,FTOffRebounds,Travels,OffFTReboundPct,SecondChanceAtRimPctAssisted,Clear Path Fouls,3SecondViolations,BlockedCorner3,DefensiveGoaltends,LongMidRangePctBlocked,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,HeaveMakes,OffensiveGoaltends,Corner3PctBlocked,team_id,year,season,team_vs
101132-101161-101181-101187-101249,1610612761,"Linas Kleiza, Amir Johnson, Jose Calderon, Alan Anderson, John Lucas III","Kleiza, Johnson, Calderon, Anderson, Lucas III",101132-101161-101181-101187-101249,TOR,63.0,1,1.0,-2.0,3.0,2.0,3.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,1.0,114.28571428571428,10.666666666666666,15.5,9.666666666666666,15.5,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.36673333333333336,0.3549,0.36673333333333336,1.0,1.0,12.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2013,2012-13,True
101132-101161-101181-101187-201942,1610612761,"Linas Kleiza, Amir Johnson, Jose Calderon, Alan Anderson, DeMar DeRozan","Kleiza, Johnson, Calderon, Anderson, DeRozan",101132-101161-101181-101187-201942,TOR,1308.0,6,22.0,,39.0,40.0,26.0,17.0,5.0,79.0,6.0,9.0,2.0,2.0,3.0,6.0,9.0,7.0,12.0,25.0,43.0,43.0,2.0,3.0,8.0,9.0,17.0,31.0,12.0,4.0,7.0,8.0,26.0,31.0,26.0,0.48,0.6666666666666666,0.5294117647058824,0.45454545454545453,0.5,0.5454545454545454,0.5119047619047619,0.5714285714285714,0.5535714285714286,0.5384615384615384,0.42105263157894735,0.6,86.97247706422019,16.0,17.1,14.794871794871796,16.125,0.2727272727272727,0.6666666666666666,0.75,0.2727272727272727,0.21212121212121213,0.5,1.0,0.2727272727272727,0.5,0.5151515151515151,0.4983818181818182,0.58175,0.4905136363636364,0.18604651162790697,0.7209302325581395,8.092,0.6666666666666666,4.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,3.0,2.0,8.0,13.0,1.0,4.0,2.0,5.0,7.0,12.0,6.0,4.0,1.0,6.0,2.0,8.0,2.0,2.0,3.0,1.0,18.0,1.0,9.0,8.0,1.0,18.0,2.0,2.0,1.0,1.0,6.0,3.0,3.0,6.0,3.0,5.0,11.0,14.0,1.0,2.0,1.0,19.0,1.0,7.0,3.0,2.0,1.0,1.0,2.0,1.0,35.0,2.0,3.0,0.5,0.6,1.0,0.25,0.4,0.25,0.24242424242424243,0.04,0.1111111111111111,1.0,0.5,0.8888888888888888,0.8181818181818182,0.16666666666666666,0.85,0.3333333333333333,0.6,0.5,0.5,1.0,0.8333333333333334,0.8,0.1111111111111111,0.5,0.3333333333333333,0.4444444444444444,0.4444444444444444,0.75,0.2857142857142857,0.2857142857142857,0.5,0.12121212121212122,0.5,0.5,1.0,0.12121212121212122,0.25,0.09090909090909091,1.0,0.13636363636363635,0.1794871794871795,0.22580645161290322,25.3375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2013,2012-13,True
101132-101161-101181-101187-203082,1610612761,"Linas Kleiza, Amir Johnson, Jose Calderon, Alan Anderson, Terrence Ross","Kleiza, Johnson, Calderon, Anderson, Ross",101132-101161-101181-101187-203082,TOR,415.0,3,7.0,9.0,14.0,13.0,11.0,6.0,2.0,27.0,3.0,4.0,1.0,1.0,2.0,2.0,3.0,1.0,6.0,8.0,21.0,12.0,1.0,1.0,2.0,4.0,4.0,17.0,6.0,2.0,2.0,3.0,7.0,17.0,11.0,0.75,1.0,1.0,0.6923076923076923,1.0,0.875,0.7,1.0,0.85,1.0,0.6,1.0,93.6867469879518,14.642857142857142,16.153846153846153,14.285714285714286,15.23076923076923,0.3076923076923077,0.75,0.75,0.23076923076923078,0.07692307692307693,1.0,1.0,0.25,1.0,0.6923076923076923,0.5206038461538461,0.5552,0.5446,0.09523809523809523,0.8095238095238095,5.2375,0.7857142857142857,2.0,1.0,1.0,1.0,,1.0,1.0,4.0,3.0,2.0,5.0,3.0,,,2.0,4.0,3.0,6.0,6.0,4.0,1.0,3.0,2.0,5.0,1.0,2.0,,1.0,12.0,1.0,3.0,1.0,,4.0,,1.0,,1.0,1.0,1.0,,1.0,,1.0,5.0,3.0,,,,4.0,,2.0,,,,,,,19.0,1.0,,0.5,0.6,1.0,0.4,0.5,0.4,0.38461538461538464,0.125,,1.0,,0.3333333333333333,0.75,0.3333333333333333,0.5714285714285714,1.0,,,,0.3333333333333333,1.0,0.5,,,0.6666666666666666,0.6666666666666666,1.0,,1.0,1.0,1.0,0.07692307692307693,1.0,1.0,1.0,0.3076923076923077,,0.125,1.0,0.375,0.13333333333333333,0.2,24.72,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.25,0.25,1.0,0.3333333333333333,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2013,2012-13,True
101132-101161-101181-101249-200745,1610612761,"Linas Kleiza, Amir Johnson, Jose Calderon, John Lucas III, Andrea Bargnani","Kleiza, Johnson, Calderon, Lucas III, Bargnani",101132-101161-101181-101249-200745,TOR,337.0,2,6.0,-5.0,9.0,9.0,,,2.0,18.0,,3.0,,,,,4.0,2.0,3.0,9.0,9.0,14.0,1.0,2.0,2.0,,,,4.0,,2.0,2.0,5.0,,,0.3333333333333333,0.5,,0.3333333333333333,0.5,,0.4,0.5,,0.3333333333333333,0.3333333333333333,,76.9139465875371,22.0,15.444444444444445,19.0,15.333333333333334,0.3333333333333333,,,0.4444444444444444,0.2222222222222222,,,,,0.3333333333333333,0.4159111111111111,0.3742,,0.2222222222222222,,7.377777777777776,,3.0,,,,,,,,,,,3.0,,,,,,2.0,,,1.0,1.0,,1.0,,,1.0,,2.0,,1.0,2.0,,3.0,,,,,,,,1.0,,1.0,1.0,1.0,,,1.0,3.0,,1.0,,,,,,,7.0,,,0.3333333333333333,0.3333333333333333,,,,,,0.1111111111111111,,,,1.0,0.5,,0.75,0.6666666666666666,,,1.0,1.0,,1.0,,,,0.75,1.0,0.3333333333333333,,,,,,,,,,,,,0.1,0.1,,,,,,,,0.25,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2013,2012-13,True
101132-101161-101181-200745-200768,1610612761,"Linas Kleiza, Amir Johnson, Jose Calderon, Andrea Bargnani, Kyle Lowry","Kleiza, Johnson, Calderon, Bargnani, Lowry",101132-101161-101181-200745-200768,TOR,47.0,1,1.0,2.0,2.0,1.0,2.0,1.0,,3.0,,1.0,,,,1.0,1.0,,1.0,2.0,2.0,,,,,1.0,2.0,2.0,2.0,,,,1.0,2.0,2.0,0.5,,0.5,0.5,,0.5,0.5,,0.5,,,,91.91489361702128,13.5,20.0,13.5,18.0,0.5,,,0.5,,,,0.5,,0.5,0.42525,,0.42525,,1.0,7.95,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,0.5,,,0.5,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2013,2012-13,True
101132-101161-101181-200745-201942,1610612761,"Linas Kleiza, Amir Johnson, Jose Calderon, Andrea Bargnani, DeMar DeRozan","Kleiza, Johnson, Calderon, Bargnani, DeRozan",101132-101161-101181-200745-201942,TOR,1756.0,10,29.0,7.0,55.0,57.0,24.0,12.0,5.0,112.0,11.0,20.0,1.0,4.0,5.0,7.0,2.0,13.0,12.0,35.0,49.0,42.0,1.0,4.0,5.0,6.0,11.0,30.0,16.0,,4.0,6.0,36.0,30.0,24.0,0.34285714285714286,0.25,0.5454545454545454,0.3829787234042553,0.5,0.6176470588235294,0.4528301886792453,0.5,0.6904761904761905,0.18181818181818182,0.20689655172413793,0.5,91.84510250569477,14.545454545454545,16.771929824561404,13.89090909090909,15.631578947368421,0.425531914893617,0.55,0.6111111111111112,0.0425531914893617,0.2765957446808511,0.8,0.25,0.4117647058823529,0.7142857142857143,0.6808510638297872,0.5140184782608695,0.5594166666666667,0.5567687499999999,0.10204081632653061,0.6122448979591837,8.38,0.43636363636363634,,1.0,2.0,3.0,1.0,1.0,2.0,9.0,4.0,4.0,12.0,13.0,1.0,,3.0,6.0,9.0,8.0,12.0,8.0,2.0,4.0,4.0,8.0,2.0,3.0,,1.0,20.0,2.0,5.0,22.0,3.0,30.0,2.0,4.0,3.0,1.0,4.0,3.0,1.0,10.0,4.0,5.0,11.0,12.0,2.0,1.0,2.0,13.0,,2.0,4.0,5.0,2.0,2.0,6.0,6.0,44.0,1.0,4.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.5,0.36363636363636365,0.2553191489361702,0.05714285714285714,0.1,0.4,0.75,0.88,0.7142857142857143,0.2857142857142857,0.84375,0.1111111111111111,0.18181818181818182,,0.8888888888888888,0.9,0.6666666666666666,1.0,0.07407407407407407,1.0,0.2727272727272727,,,,0.07692307692307693,0.07692307692307693,1.0,0.06382978723404255,0.6666666666666666,0.6666666666666666,1.0,0.19148936170212766,0.2,0.11764705882352941,0.5,0.23529411764705882,0.04081632653061224,0.05405405405405406,27.974999999999998,2.0,2.0,2.0,2.0,1.0,,,0.3333333333333333,0.2222222222222222,0.2222222222222222,1.0,0.5,0.25,6.0,2.0,,1.0,0.8333333333333334,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2013,2012-13,True
101132-101161-101181-200745-203082,1610612761,"Linas Kleiza, Amir Johnson, Jose Calderon, Andrea Bargnani, Terrence Ross","Kleiza, Johnson, Calderon, Bargnani, Ross",101132-101161-101181-200745-203082,TOR,311.0,2,5.0,-4.0,8.0,9.0,4.0,4.0,1.0,17.0,4.0,5.0,,,1.0,1.0,,,4.0,5.0,10.0,14.0,,,,1.0,1.0,4.0,4.0,,1.0,1.0,3.0,4.0,4.0,0.8,,1.0,0.8,,1.0,0.7142857142857143,,0.6666666666666666,1.0,1.0,,78.71382636655949,18.5,18.11111111111111,18.125,16.77777777777778,1.0,0.8,0.8,,,,,1.0,1.0,1.0,0.6854,,0.6767,,0.4,0.6599999999999999,0.5,,,,,,,,,,,,2.0,,,,,2.0,4.0,,,,2.0,,2.0,,2.0,,,4.0,,1.0,1.0,,2.0,1.0,1.0,1.0,,,,,1.0,,1.0,3.0,2.0,,,,4.0,,2.0,,,,,,,10.0,1.0,,0.5,0.5,,,,,,,,,,1.0,0.5,,0.6666666666666666,1.0,,,,1.0,0.5,,1.0,,0.5,,,,,,,,,,,,,,,,0.2857142857142857,0.2857142857142857,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2013,2012-13,True
101132-101161-101181-200768-202334,1610612761,"Linas Kleiza, Amir Johnson, Jose Calderon, Kyle Lowry, Ed Davis","Kleiza, Johnson, Calderon, Lowry, Davis",101132-101161-101181-200768-202334,TOR,140.0,1,2.0,-3.0,5.0,5.0,5.0,5.0,,10.0,,1.0,,,,1.0,1.0,,,2.0,5.0,8.0,,,,,2.0,5.0,,,,,2.0,5.0,5.0,,,,0.5,,0.5,0.625,,0.625,,,,102.85714285714285,15.2,12.8,15.2,12.8,0.3333333333333333,,,0.3333333333333333,,,,0.3333333333333333,,0.6666666666666666,0.5369499999999999,,0.5369499999999999,,1.0,4.0,1.0,,,1.0,1.0,,1.0,1.0,,,1.0,1.0,2.0,,,1.0,1.0,2.0,,3.0,,1.0,,1.0,1.0,1.0,,,,3.0,,2.0,,,2.0,,,,,,,,1.0,1.0,,1.0,1.0,,,,2.0,,,1.0,,,,,,5.0,,1.0,,,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,,,,1.0,,1.0,,,,,,1.0,1.0,,,,,,,,,,0.3333333333333333,1.0,1.0,1.0,,,0.3333333333333333,1.0,,,,24.1,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2013,2012-13,True
101132-101161-101181-200768-203082,1610612761,"Linas Kleiza, Amir Johnson, Jose Calderon, Kyle Lowry, Terrence Ross","Kleiza, Johnson, Calderon, Lowry, Ross",101132-101161-101181-200768-203082,TOR,22.0,1,,-2.0,,1.0,,1.0,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,65.45454545454545,,22.0,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2013,2012-13,True
101132-101161-101181-201187-201942,1610612761,"Linas Kleiza, Amir Johnson, Jose Calderon, Dominic McGuire, DeMar DeRozan","Kleiza, Johnson, Calderon, McGuire, DeRozan",101132-101161-101181-201187-201942,TOR,26.0,1,,2.0,1.0,,1.0,,,1.0,1.0,1.0,,,1.0,1.0,,,1.0,1.0,2.0,,,,,1.0,1.0,2.0,,,,,,2.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,55.38461538461538,7.0,,7.0,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,0.5818,,0.5818,,1.0,1.8,1.0,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,1.0,,1.0,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2013,2012-13,True
