EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,Fouls,Offensive Fouls,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,LongMidRangeFGM,Corner3FGM,Corner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,Fg2aBlocked,Corner3Assists,LongMidRangeAssists,FTDefRebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,PenaltyTurnovers,ShootingFouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,3SecondViolations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyOffPossPct,2pt And 1 Free Throw Trips,PenaltyCorner3FGA,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceFtPoints,PtsUnassisted3s,ShortMidRangeAssists,OffThreePtRebounds,FTOffRebounds,Loose Ball Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,ShortMidRangePctBlocked,OffFTReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,ShortMidRangePctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Frequency,SelfOReb,LostBallOutOfBoundsTurnovers,BlockedShortMidRange,SelfORebPct,PenaltyCorner3FGM,Fg3aBlocked,Technical Free Throw Trips,FG3APctBlocked,Corner3PctBlocked,SecondChanceAtRimPctAssisted,PenaltyCorner3Accuracy,BlockingFouls,Charge Fouls,Clear Path Fouls,Charge Fouls Drawn,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3FGM,SecondChanceArc3Accuracy,DefensiveGoaltends,Travels,StepOutOfBoundsTurnovers,Blocked3s,BlockedCorner3,SecondChanceArc3PctAssisted,HeaveAttempts,BlockedLongMidRange,Defensive 3 Seconds Violations,Arc3PctBlocked,OffensiveGoaltends,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BlockedArc3,3pt And 1 Free Throw Trips,HeaveMakes,team_id,year,season,team_vs
200752-201144-201188-201573-201578,1610612763,"Rudy Gay, Mike Conley, Marc Gasol, Jerryd Bayless, Marreese Speights","Gay, Conley, Gasol, Bayless, Speights",200752-201144-201188-201573-201578,MEM,248.0,3,4.0,10.0,8.0,7.0,2.0,15.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,5.0,2.0,2.0,12.0,2.0,1.0,1.0,2.0,4.0,2.0,6.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,10.0,1.0,1.0,5.0,6.0,1.0,7.0,1.0,2.0,2.0,1.0,1.0,1.0,10.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.6,1.0,0.8571428571428571,1.0,0.8571428571428571,1.0,0.2857142857142857,0.8333333333333334,0.5,1.0,0.8571428571428571,0.5,1.0,0.6666666666666666,1.0,1.0,87.09677419354838,12.125,21.571428571428573,10.0,20.857142857142858,0.42857142857142855,1.0,1.0,0.6666666666666666,0.14285714285714285,0.14285714285714285,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,1.0,0.5722357142857143,0.66,0.16666666666666666,5.6,25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2013,2012-13,True
200752-201144-201188-201573-201589,1610612763,"Rudy Gay, Mike Conley, Marc Gasol, Jerryd Bayless, Darrell Arthur","Gay, Conley, Gasol, Bayless, Arthur",200752-201144-201188-201573-201589,MEM,643.0,7,11.0,-4.0,23.0,23.0,1.0,46.0,2.0,4.0,,,1.0,5.0,2.0,2.0,4.0,10.0,3.0,3.0,19.0,23.0,,1.0,,2.0,6.0,9.0,,2.0,2.0,1.0,3.0,4.0,2.0,,11.0,1.0,1.0,2.0,4.0,1.0,5.0,,3.0,7.0,,9.0,1.0,19.0,0.25,0.25,1.0,1.0,1.0,0.4,,0.6538461538461539,,0.6333333333333333,,0.23076923076923078,1.0,0.2,0.5,0.75,0.2,0.25,1.0,,1.0,103.01710730948678,14.08695652173913,13.869565217391305,13.608695652173912,13.782608695652174,0.3076923076923077,0.5,0.6666666666666666,,0.07692307692307693,0.38461538461538464,0.15384615384615385,1.0,1.0,1.0,,,0.5384615384615384,1.0,0.45162307692307696,0.3767,,10.65,24.900000000000002,15.0,7.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,12.0,2.0,1.0,1.0,1.0,4.0,3.0,1.0,4.0,2.0,2.0,3.0,5.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,15.0,2.0,1.0,1.0,0.2857142857142857,0.5555555555555556,0.5454545454545454,0.2,0.25,0.2,0.5714285714285714,1.0,1.0,1.0,1.0,1.0,0.2,0.25,1.0,0.07692307692307693,1.0,1.0,1.0,0.4444444444444444,0.5,0.2222222222222222,1.0,0.45635,0.07142857142857142,0.09090909090909091,0.631578947368421,0.6521739130434783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2013,2012-13,True
200752-201144-201188-201573-202347,1610612763,"Rudy Gay, Mike Conley, Marc Gasol, Jerryd Bayless, Quincy Pondexter","Gay, Conley, Gasol, Bayless, Pondexter",200752-201144-201188-201573-202347,MEM,16.0,1,,3.0,1.0,1.0,,2.0,1.0,1.0,,,,,,,1.0,1.0,,,3.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,1.0,,1.0,,1.5,,,,,,,,,,,,180.0,3.0,13.0,3.0,13.0,1.0,1.0,1.0,,,,,,,,,,1.0,,0.8366,,,2.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2013,2012-13,True
200752-201144-201188-201573-2216,1610612763,"Rudy Gay, Mike Conley, Marc Gasol, Jerryd Bayless, Zach Randolph","Gay, Conley, Gasol, Bayless, Randolph",200752-201144-201188-201573-2216,MEM,2322.0,19,39.0,-3.0,68.0,68.0,7.0,136.0,5.0,13.0,1.0,5.0,9.0,8.0,7.0,16.0,13.0,30.0,12.0,24.0,82.0,85.0,2.0,6.0,5.0,18.0,8.0,33.0,2.0,16.0,7.0,9.0,11.0,20.0,6.0,2.0,51.0,2.0,4.0,12.0,16.0,8.0,24.0,1.0,2.0,7.0,,18.0,,77.0,0.6923076923076923,0.75,0.9166666666666666,0.5,0.5,0.43333333333333335,0.3333333333333333,0.5740740740740741,0.2857142857142857,0.6029411764705882,0.3125,0.4444444444444444,0.5454545454545454,0.11764705882352941,0.5714285714285714,0.5517241379310345,0.2413793103448276,,0.375,0.5555555555555556,0.4,84.34108527131782,15.0,19.147058823529413,14.294117647058824,17.441176470588236,0.24074074074074073,0.38461538461538464,0.45454545454545453,0.4,0.16666666666666666,0.14814814814814814,0.2962962962962963,0.4375,0.4375,0.8571428571428571,0.7142857142857143,0.2,0.6851851851851852,0.4375,0.5099898148148149,0.5511874999999999,0.06097560975609756,8.183333333333334,24.704166666666666,31.0,26.0,1.0,5.0,3.0,5.0,5.0,8.0,5.0,9.0,20.0,3.0,12.0,5.0,10.0,12.0,33.0,4.0,5.0,4.0,,6.0,3.0,3.0,5.0,4.0,1.0,3.0,8.0,22.0,28.0,9.0,5.0,,,,,,33.0,31.0,1.0,5.0,0.5,0.25,0.4772727272727273,0.532258064516129,0.13333333333333333,0.15384615384615385,,0.7142857142857143,,0.8,,0.3333333333333333,0.42857142857142855,0.625,0.625,0.8,0.14814814814814814,0.625,0.625,1.0,0.22727272727272727,0.2,0.4090909090909091,0.5555555555555556,0.49882272727272725,0.14285714285714285,0.23076923076923078,0.4024390243902439,0.45588235294117646,,1.0,1.0,1.0,1.0,3.0,3.0,5.0,1.0,3.0,2.0,2.0,1.0,0.2222222222222222,0.25,0.4166666666666667,0.125,0.16666666666666666,0.4444444444444444,0.3333333333333333,1.0,1.0,0.14285714285714285,0.045454545454545456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2013,2012-13,True
200752-201144-201188-201573-2754,1610612763,"Rudy Gay, Mike Conley, Marc Gasol, Jerryd Bayless, Tony Allen","Gay, Conley, Gasol, Bayless, Allen",200752-201144-201188-201573-2754,MEM,4.0,1,,,1.0,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.0,4.0,,4.0,,,,,,,1.0,,,,,,,,,0.2089,,,20.7,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,0.2089,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2013,2012-13,True
200752-201144-201188-201578-201961,1610612763,"Rudy Gay, Mike Conley, Marc Gasol, Marreese Speights, Wayne Ellington","Gay, Conley, Gasol, Speights, Ellington",200752-201144-201188-201578-201961,MEM,1125.0,9,19.0,-11.0,33.0,33.0,8.0,66.0,5.0,9.0,1.0,2.0,9.0,12.0,1.0,7.0,10.0,30.0,1.0,7.0,27.0,38.0,4.0,7.0,10.0,14.0,6.0,3.0,,7.0,1.0,7.0,1.0,8.0,1.0,4.0,17.0,7.0,1.0,7.0,8.0,9.0,17.0,,2.0,3.0,,7.0,,17.0,0.7,0.7,1.0,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.5714285714285714,0.3108108108108108,0.4444444444444444,0.34615384615384615,0.5,0.1891891891891892,0.3888888888888889,0.35,1.0,0.42105263157894735,0.34615384615384615,0.14285714285714285,0.2,0.5,1.0,84.48,17.454545454545453,16.636363636363637,15.696969696969697,15.818181818181818,0.24324324324324326,0.5555555555555556,0.5555555555555556,0.8,0.24324324324324326,0.32432432432432434,0.1891891891891892,0.14285714285714285,0.14285714285714285,1.0,0.2222222222222222,0.5,0.43243243243243246,0.14285714285714285,0.4928527027027027,0.4707928571428571,0.37037037037037035,10.51,25.5,17.0,4.0,3.0,7.0,,5.0,,,1.0,4.0,4.0,6.0,19.0,1.0,4.0,,15.0,1.0,,3.0,,3.0,1.0,2.0,1.0,1.0,,,5.0,6.0,4.0,2.0,,5.0,2.0,5.0,1.0,1.0,15.0,17.0,1.0,,0.25,0.3157894736842105,0.32608695652173914,0.32608695652173914,0.03333333333333333,,,0.3333333333333333,,0.75,0.2,,,0.4166666666666667,0.4166666666666667,0.6,,,,,0.30434782608695654,0.42857142857142855,0.17391304347826086,0.25,0.5013478260869565,0.05128205128205128,0.0625,0.5555555555555556,0.5151515151515151,,,2.0,2.0,2.0,,,2.0,,1.0,,,,0.1111111111111111,,0.3333333333333333,0.5,0.4444444444444444,0.3333333333333333,,,,0.2222222222222222,,1.0,1.0,3.0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2013,2012-13,True
200752-201144-201188-201578-202347,1610612763,"Rudy Gay, Mike Conley, Marc Gasol, Marreese Speights, Quincy Pondexter","Gay, Conley, Gasol, Speights, Pondexter",200752-201144-201188-201578-202347,MEM,661.0,7,11.0,1.0,19.0,21.0,5.0,40.0,4.0,9.0,3.0,5.0,5.0,5.0,,,7.0,19.0,1.0,2.0,24.0,23.0,3.0,5.0,7.0,6.0,8.0,3.0,4.0,,,3.0,1.0,4.0,,2.0,9.0,5.0,3.0,5.0,8.0,6.0,14.0,,1.0,1.0,,4.0,1.0,17.0,0.42857142857142855,0.6,1.0,0.5,0.5,0.3684210526315789,0.6,0.40476190476190477,0.6,0.5,0.7,0.09523809523809523,0.7142857142857143,0.4166666666666667,0.75,0.7272727272727273,0.46153846153846156,,0.75,,0.75,87.14069591527988,18.05263157894737,15.142857142857142,16.68421052631579,14.095238095238095,0.42857142857142855,0.4444444444444444,0.4444444444444444,0.5,0.23809523809523808,0.23809523809523808,,,,,1.0,0.6,0.5238095238095238,,0.477352380952381,0.5691200000000001,0.2916666666666667,7.505263157894737,23.55,9.0,11.0,,3.0,1.0,2.0,1.0,2.0,,,7.0,3.0,7.0,1.0,2.0,2.0,11.0,1.0,1.0,,,,,,,,,1.0,1.0,5.0,9.0,4.0,1.0,2.0,2.0,2.0,2.0,,11.0,9.0,,,0.5,0.42857142857142855,0.5,0.55,0.05263157894736842,,,,,1.0,1.0,0.2,0.25,0.4,0.4,,0.09523809523809523,0.5,1.0,1.0,0.3333333333333333,,,,0.4812222222222223,0.17391304347826086,0.19047619047619047,0.4583333333333333,0.47368421052631576,2.0,2.0,,,1.0,,1.0,1.0,,1.0,,,,0.2,,1.0,0.6,0.5,,1.0,,1.0,,0.2222222222222222,2.0,,,0.18181818181818182,1.0,1.0,1.0,0.5,0.5,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2013,2012-13,True
200752-201144-201188-201578-2754,1610612763,"Rudy Gay, Mike Conley, Marc Gasol, Marreese Speights, Tony Allen","Gay, Conley, Gasol, Speights, Allen",200752-201144-201188-201578-2754,MEM,2511.0,11,42.0,-3.0,81.0,78.0,11.0,159.0,11.0,21.0,3.0,6.0,11.0,24.0,3.0,8.0,21.0,56.0,6.0,12.0,70.0,73.0,4.0,9.0,12.0,26.0,16.0,18.0,4.0,8.0,3.0,13.0,6.0,19.0,3.0,9.0,44.0,10.0,5.0,25.0,30.0,12.0,42.0,2.0,7.0,17.0,2.0,16.0,,58.0,0.6190476190476191,0.6842105263157895,1.0,0.5,0.5,0.375,0.4444444444444444,0.4411764705882353,0.4444444444444444,0.45454545454545453,0.5,0.17647058823529413,0.6944444444444444,0.29411764705882354,0.7142857142857143,0.6976744186046512,0.275,0.125,0.8181818181818182,0.6428571428571429,0.5,91.18279569892472,15.839506172839506,15.743589743589743,15.37037037037037,14.974358974358974,0.3088235294117647,0.5238095238095238,0.6111111111111112,0.8181818181818182,0.16176470588235295,0.35294117647058826,0.11764705882352941,0.375,0.375,1.0,0.6666666666666666,0.5,0.4852941176470588,0.375,0.49417058823529414,0.5219555555555555,0.17142857142857143,10.425,24.458333333333332,5.0,7.0,1.0,3.0,3.0,7.0,3.0,4.0,,,10.0,1.0,5.0,,,2.0,4.0,8.0,3.0,4.0,,7.0,1.0,6.0,10.0,5.0,5.0,2.0,6.0,15.0,18.0,8.0,1.0,4.0,2.0,4.0,3.0,,4.0,5.0,,1.0,,0.2,0.2,0.3333333333333333,0.14285714285714285,0.14285714285714285,0.08333333333333333,0.5882352941176471,,0.6363636363636364,0.75,0.2727272727272727,0.375,0.2916666666666667,0.3181818181818182,0.5714285714285714,0.058823529411764705,0.75,0.75,1.0,0.6,0.3333333333333333,,,0.48318000000000005,0.10526315789473684,0.125,0.05714285714285714,0.06172839506172839,,,,,4.0,,,1.0,1.0,3.0,1.0,,,0.2727272727272727,0.3333333333333333,0.16666666666666666,0.6,0.25,0.2,,1.0,,,,1.0,,2.0,0.030303030303030304,,,,,,0.3333333333333333,,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2013,2012-13,True
200752-201144-201188-201589-201961,1610612763,"Rudy Gay, Mike Conley, Marc Gasol, Darrell Arthur, Wayne Ellington","Gay, Conley, Gasol, Arthur, Ellington",200752-201144-201188-201589-201961,MEM,604.0,5,10.0,-2.0,16.0,18.0,2.0,34.0,2.0,3.0,1.0,1.0,4.0,6.0,,2.0,4.0,13.0,1.0,3.0,11.0,13.0,1.0,1.0,5.0,4.0,4.0,3.0,2.0,2.0,,2.0,1.0,3.0,,1.0,7.0,3.0,2.0,7.0,9.0,3.0,12.0,,2.0,2.0,,4.0,,6.0,0.5,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.3076923076923077,1.0,0.34375,1.25,0.34375,1.25,0.1875,0.875,0.3333333333333333,1.0,0.9,0.2727272727272727,0.4,0.6666666666666666,1.0,1.0,81.05960264900662,19.9375,15.833333333333334,19.0,15.833333333333334,0.1875,0.6666666666666666,0.6666666666666666,0.5,0.25,0.375,0.125,,,,0.5,1.0,0.375,,0.47451875,0.632175,0.45454545454545453,11.3,25.166666666666668,5.0,2.0,,,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,,2.0,2.0,1.0,1.0,,2.0,1.0,1.0,,,,2.0,1.0,5.0,,,,2.0,2.0,2.0,2.0,,2.0,5.0,1.0,,,1.0,0.5,0.5,0.15384615384615385,,0.16666666666666666,,,1.0,1.0,0.25,0.3333333333333333,0.16666666666666666,0.2,1.0,0.0625,1.0,1.0,1.0,,,0.5,,0.407075,,,0.18181818181818182,0.3125,,,,1.0,,,,,,,1.0,,,0.25,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,1610612763,2013,2012-13,True
200752-201144-201188-201589-202347,1610612763,"Rudy Gay, Mike Conley, Marc Gasol, Darrell Arthur, Quincy Pondexter","Gay, Conley, Gasol, Arthur, Pondexter",200752-201144-201188-201589-202347,MEM,433.0,5,7.0,5.0,15.0,13.0,1.0,28.0,1.0,1.0,,,,4.0,3.0,6.0,2.0,5.0,3.0,7.0,19.0,14.0,,,2.0,4.0,,9.0,,6.0,3.0,2.0,3.0,5.0,3.0,1.0,13.0,,2.0,2.0,4.0,1.0,5.0,,1.0,2.0,,,,17.0,1.0,1.0,1.0,0.42857142857142855,0.42857142857142855,0.4,,0.5416666666666666,,0.6333333333333333,1.0,0.5833333333333334,0.6666666666666666,,1.0,0.8,0.16666666666666666,,,1.0,1.0,93.11778290993071,14.666666666666666,16.384615384615383,14.666666666666666,15.538461538461538,0.08333333333333333,1.0,1.0,1.0,,0.3333333333333333,0.5,0.5,0.5,1.0,,,0.6666666666666666,0.5,0.4841875,,0.10526315789473684,16.5,24.914285714285715,13.0,,1.0,1.0,,1.0,,1.0,3.0,6.0,6.0,1.0,4.0,3.0,6.0,6.0,17.0,,,1.0,,1.0,1.0,,1.0,,1.0,2.0,,6.0,7.0,2.0,2.0,,,,,,17.0,13.0,,2.0,0.5,0.25,0.55,0.6538461538461539,,,,0.5,,1.0,,,,0.25,0.25,1.0,0.08333333333333333,,,,0.1,1.0,0.6,0.5,0.480555,0.15384615384615385,0.3333333333333333,0.8947368421052632,0.8666666666666667,1.0,,,,2.0,,,1.0,,,,,,,,0.25,,,0.3333333333333333,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2013,2012-13,True
