EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2A,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,Turnovers,Fouls,Charge Fouls,FoulsDrawn,Charge Fouls Drawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,Avg2ptShotDistance,FtPoints,SecondChanceFtPoints,SecondChancePoints,ShortMidRangeAssists,LiveBallTurnovers,LostBallTurnovers,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,SecondChanceTsPct,LiveBallTurnoverPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,ShortMidRangePctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG3A,SecondChanceFG2M,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,NonHeaveArc3FGA,OffThreePtRebounds,Steals,LostBallSteals,ShootingFouls,2pt And 1 Free Throw Trips,BlockedAtRim,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,PenaltyTsPct,FG3APct,ShortMidRangePctBlocked,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,LongMidRangeFrequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,Corner3FGA,PtsPutbacks,BadPassSteals,Corner3Frequency,FTDefRebounds,BadPassTurnovers,Travels,DefFTReboundPct,PenaltyDefPoss,LongMidRangeFGM,PenaltyFtPoints,Fg3aBlocked,LongMidRangeAssists,PenaltyTurnovers,FG3APctBlocked,Arc3PctBlocked,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3FGM,PenaltyArc3FGM,FG3M,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Loose Ball Fouls Drawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,Corner3FGM,Corner3Assists,BlockingFoulsDrawn,LongMidRangePctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3FGA,SecondChanceTurnovers,OffCorner3ReboundPct,PenaltyCorner3Frequency,BadPassOutOfBoundsTurnovers,Technical Free Throw Trips,DefensiveGoaltends,LostBallOutOfBoundsTurnovers,BlockingFouls,HeaveAttempts,SelfOReb,Loose Ball Fouls,Offensive Fouls Drawn,Blocked3s,BlockedArc3,SelfORebPct,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,OffLongMidRangeReboundPct,StepOutOfBoundsTurnovers,SecondChanceAtRimPctAssisted,team_id,year,season,team_vs
1712-1897-202721-2200-959,1610612747,"Antawn Jamison, Metta World Peace, Darius Morris, Pau Gasol, Steve Nash","Jamison, World Peace, Morris, Gasol, Nash",1712-1897-202721-2200-959,LAL,203.0,1,3.0,-5.0,6.0,7.0,1.0,13.0,1.0,3.0,1.0,3.0,2.0,6.0,4.0,9.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,0.25,1.0,0.6666666666666666,0.25,0.5,1.0,1.0,92.21674876847291,20.833333333333332,11.142857142857142,19.333333333333332,10.428571428571429,0.5,0.3333333333333333,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,0.5,0.5580333333333333,0.4175,4.033333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2013,2012-13,True
1712-1897-202721-2730-2768,1610612747,"Antawn Jamison, Metta World Peace, Darius Morris, Dwight Howard, Chris Duhon","Jamison, World Peace, Morris, Howard, Duhon",1712-1897-202721-2730-2768,LAL,102.0,1,2.0,4.0,4.0,4.0,1.0,8.0,1.0,1.0,1.0,1.0,2.0,2.0,6.0,2.0,,2.0,2.0,,1.0,1.0,,2.0,,1.0,2.0,3.0,,3.0,,1.0,,,2.0,,4.0,0.5,0.5,1.0,1.0,1.0,,,1.0,,1.0,1.0,,,,,112.94117647058823,10.25,15.25,10.25,15.25,0.5,1.0,1.0,,0.5,1.0,1.0,0.5,0.5658,,5.05,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2013,2012-13,True
1712-1897-2200-2581-959,1610612747,"Antawn Jamison, Metta World Peace, Pau Gasol, Steve Blake, Steve Nash","Jamison, World Peace, Gasol, Blake, Nash",1712-1897-2200-2581-959,LAL,254.0,1,4.0,-2.0,6.0,6.0,1.0,12.0,2.0,3.0,1.0,3.0,3.0,7.0,6.0,8.0,1.0,,6.0,1.0,,,,,2.0,1.0,1.0,2.0,3.0,5.0,,1.0,1.0,,2.0,,4.0,,,0.42857142857142855,0.375,0.375,0.14285714285714285,,1.0,0.5,1.0,1.0,0.6,1.0,,1.0,68.03149606299212,22.333333333333332,20.0,17.166666666666668,20.0,0.375,0.6666666666666666,0.6666666666666666,,0.375,0.3333333333333333,0.5,0.5,0.480825,0.5631,6.814285714285715,,,2.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.5,1.0,,,1.0,,0.125,0.14285714285714285,0.3333333333333333,3.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,1.0,0.6,0.5,0.5,0.5,0.125,0.3333333333333333,1.0,0.5,1.0,1.0,0.125,0.125,0.5,1.0,0.5,0.5,0.6666666666666666,0.16666666666666666,0.5095500000000001,1.0,25.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2013,2012-13,True
1712-201941-201947-202721-202726,1610612747,"Antawn Jamison, Jordan Hill, Earl Clark, Darius Morris, Andrew Goudelock","Jamison, Hill, Clark, Morris, Goudelock",1712-201941-201947-202721-202726,LAL,112.0,1,2.0,4.0,4.0,3.0,1.0,7.0,2.0,3.0,,,2.0,4.0,4.0,,1.0,2.0,2.0,,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,2.0,,,,,,,2.0,0.5,1.0,0.5,0.4,0.4,,,1.0,0.5,,1.0,0.3333333333333333,1.0,1.0,,90.0,15.0,17.333333333333332,15.0,17.333333333333332,0.6,0.6666666666666666,0.6666666666666666,0.5,,,,0.8,0.60352,0.6395,4.825,,,2.0,,,,,,,,,,1.0,,,,,,,,0.5,,1.0,1.0,,,1.0,,,,1.0,1.0,,,,,,,,2.0,,,,,,,1.0,,1.0,,,0.2,,,,,,0.2,,1.0,1.0,,,,,,,23.2,,1.0,2.0,2.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2013,2012-13,True
1712-201941-201947-202721-2768,1610612747,"Antawn Jamison, Jordan Hill, Earl Clark, Darius Morris, Chris Duhon","Jamison, Hill, Clark, Morris, Duhon",1712-201941-201947-202721-2768,LAL,99.0,1,2.0,,4.0,4.0,,8.0,2.0,2.0,,,2.0,2.0,4.0,4.0,,2.0,2.0,,1.0,1.0,1.0,2.0,,,,1.0,,1.0,1.0,2.0,1.0,,,,4.0,0.5,0.5,1.0,1.0,1.0,,,,,,,,,,,116.36363636363637,12.75,12.0,12.75,12.0,1.0,1.0,1.0,0.5,,,,1.0,0.5579,,1.6,,,,,1.0,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2013,2012-13,True
1712-201941-201947-202726-2768,1610612747,"Antawn Jamison, Jordan Hill, Earl Clark, Andrew Goudelock, Chris Duhon","Jamison, Hill, Clark, Goudelock, Duhon",1712-201941-201947-202726-2768,LAL,44.0,1,1.0,2.0,2.0,2.0,,4.0,1.0,1.0,,,1.0,1.0,4.0,2.0,,2.0,,,1.0,1.0,1.0,2.0,,,,,,,,,,,1.0,,4.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,130.9090909090909,13.5,8.5,13.5,8.5,1.0,1.0,1.0,1.0,,,,1.0,0.4744,,2.3,2.0,,,,,,2.0,1.0,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2013,2012-13,True
1712-201941-202721-202726-2768,1610612747,"Antawn Jamison, Jordan Hill, Darius Morris, Andrew Goudelock, Chris Duhon","Jamison, Hill, Morris, Goudelock, Duhon",1712-201941-202721-202726-2768,LAL,156.0,1,3.0,1.0,6.0,5.0,1.0,11.0,1.0,1.0,,,2.0,3.0,7.0,6.0,,4.0,,,2.0,2.0,1.0,4.0,,1.0,1.0,2.0,1.0,3.0,,1.0,1.0,,2.0,,6.0,1.0,1.0,0.6666666666666666,0.5,0.5833333333333334,,,1.0,,1.0,1.0,0.5,,1.0,1.0,101.53846153846153,15.833333333333334,12.2,15.666666666666666,12.2,0.25,1.0,1.0,1.0,,,,0.5,0.4168125,,12.866666666666667,3.0,1.0,1.0,,1.0,1.0,4.0,2.0,,,,,0.5,1.0,,,,,0.3333333333333333,0.4,0.14285714285714285,4.0,,,1.0,1.0,2.0,1.0,,,1.0,,,2.0,2.0,,6.0,1.0,1.0,,,1.0,,,6.0,4.0,,1.0,,1.0,1.0,0.25,,1.0,,1.0,,0.5,0.25,,,,0.5,1.0,,0.39535,0.8571428571428571,25.9,0.6666666666666666,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2013,2012-13,True
1712-201947-201975-2200-2581,1610612747,"Antawn Jamison, Earl Clark, Jodie Meeks, Pau Gasol, Steve Blake","Jamison, Clark, Meeks, Gasol, Blake",1712-201947-201975-2200-2581,LAL,199.0,1,3.0,6.0,6.0,7.0,,13.0,,,2.0,2.0,2.0,3.0,13.0,7.0,,4.0,,,2.0,3.0,,7.0,,,3.0,4.0,,4.0,,,3.0,,2.0,,13.0,1.0,1.0,0.6666666666666666,1.0,0.9285714285714286,,,0.75,,,0.75,,,1.0,,94.07035175879396,12.0,18.142857142857142,12.0,18.142857142857142,,,,,0.4,1.0,1.0,0.4,0.40271999999999997,,10.200000000000001,3.0,,,2.0,,,5.0,,1.0,,1.0,1.0,,,0.5,,1.0,1.0,0.16666666666666666,,,5.0,,,,,1.0,2.0,,2.0,2.0,,,1.0,2.0,2.0,10.0,2.0,,,,1.0,,1.0,10.0,5.0,,0.5,,1.0,1.0,0.4,,,,,1.0,0.2,0.4,,,,,,0.5,0.40635,0.7692307692307693,25.45,0.8333333333333334,,,,,1.0,,,1.0,4.0,,2.0,,,,,,,,,2.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2013,2012-13,True
1712-201947-201975-2200-959,1610612747,"Antawn Jamison, Earl Clark, Jodie Meeks, Pau Gasol, Steve Nash","Jamison, Clark, Meeks, Gasol, Nash",1712-201947-201975-2200-959,LAL,190.0,1,3.0,2.0,7.0,5.0,,12.0,,,1.0,2.0,3.0,5.0,6.0,4.0,,4.0,2.0,,2.0,2.0,,4.0,,,1.0,2.0,,2.0,,,3.0,,,,6.0,0.6666666666666666,0.6666666666666666,0.6,0.5,0.5,,,1.0,,,1.0,,,1.0,,90.94736842105263,13.285714285714286,19.4,13.285714285714286,19.4,,,,,0.3333333333333333,0.5,0.5,0.16666666666666666,0.412475,,14.280000000000001,,,,1.0,,,,,,,,,,,,,,1.0,,,,3.0,,,,,3.0,,,,1.0,,,1.0,3.0,,2.0,,,1.0,1.0,2.0,,,2.0,3.0,,0.3333333333333333,,0.3333333333333333,0.3333333333333333,0.16666666666666666,,,,,,0.5,,,,,,,,0.36283333333333334,0.3333333333333333,23.1,0.42857142857142855,1.0,,,0.16666666666666666,1.0,,,1.0,1.0,2.0,,,1.0,,,,0.6666666666666666,0.6666666666666666,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2013,2012-13,True
1712-201947-201975-2581-2730,1610612747,"Antawn Jamison, Earl Clark, Jodie Meeks, Steve Blake, Dwight Howard","Jamison, Clark, Meeks, Blake, Howard",1712-201947-201975-2581-2730,LAL,309.0,1,5.0,8.0,11.0,10.0,1.0,21.0,,2.0,1.0,1.0,1.0,4.0,10.0,2.0,1.0,,2.0,2.0,,1.0,,3.0,,2.0,2.0,4.0,1.0,5.0,,3.0,1.0,,3.0,,10.0,,,0.25,0.4166666666666667,0.5555555555555556,0.5,0.5,1.0,,1.0,1.0,0.25,,1.0,1.0,97.86407766990291,14.454545454545455,15.0,13.818181818181818,15.0,0.3333333333333333,,,,0.16666666666666666,1.0,1.0,0.6666666666666666,0.5543666666666667,,7.725,5.0,,,,3.0,2.0,6.0,1.0,,,,,,1.0,1.0,,,,0.14285714285714285,0.2,,4.0,,1.0,,2.0,1.0,1.0,,1.0,2.0,,,,2.0,1.0,4.0,1.0,1.0,3.0,2.0,,,,4.0,4.0,,,,,0.4,0.3333333333333333,,1.0,,1.0,,0.16666666666666666,0.16666666666666666,1.0,,,0.6666666666666666,,0.3333333333333333,0.6260333333333333,0.4,24.45,0.36363636363636365,1.0,,1.0,0.16666666666666666,,1.0,,,,,4.0,,,,,,,,,,,1.0,,3.0,,,1.0,,,,2.0,,2.0,1.0,0.5,,0.5,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2013,2012-13,True
