EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PtsAssisted2s,PtsUnassisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,FG2APctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,FtPoints,HeaveAttempts,AtRimAssists,LostBallTurnovers,Offensive Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,DefCorner3ReboundPct,AtRimPctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyOffPoss,PenaltyDefPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,ThreePtAssists,Corner3Assists,Charge Fouls,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,ShortMidRangeFGM,ShortMidRangeFGA,PenaltyArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3A,3SecondViolations,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,PenaltyArc3Frequency,SecondChanceShotQualityAvg,SecondChancePointsPct,Travels,PenaltyTurnovers,Technical Free Throw Trips,BlockedShortMidRange,Arc3Assists,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,RecoveredBlocks,DefensiveGoaltends,Defensive 3 Seconds Violations,AtRimPctBlocked,BlocksRecoveredPct,Arc3PctAssisted,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeAssists,FTDefRebounds,LostBallOutOfBoundsTurnovers,DefFTReboundPct,OffAtRimReboundPct,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyCorner3FGA,PtsPutbacks,OffThreePtRebounds,FTOffRebounds,LostBallSteals,BlockingFouls,ThreePtShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,ShortMidRangePctBlocked,OffFTReboundPct,OffThreePtReboundPct,OffCorner3ReboundPct,PenaltyCorner3Frequency,ThreePtShootingFoulsDrawnPct,PenaltyArc3FGM,PenaltyFG3M,Loose Ball Fouls,BlockingFoulsDrawn,PenaltyFg3Pct,PenaltyArc3Accuracy,PenaltyCorner3FGM,PenaltyCorner3Accuracy,Blocked3s,BlockedCorner3,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SelfOReb,StepOutOfBoundsTurnovers,Charge Fouls Drawn,Offensive Fouls Drawn,SecondChanceFg3Pct,OffArc3ReboundPct,SelfORebPct,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,Clear Path Fouls,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,3pt And 1 Free Throw Trips,BlockedArc3,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,team_id,year,season,team_vs
101109-200779-202697-2030-467,1610612752,"Raymond Felton, Steve Novak, Iman Shumpert, Kenyon Martin, Jason Kidd","Felton, Novak, Shumpert, Martin, Kidd",101109-200779-202697-2030-467,NYK,284.0,1,5.0,-5.0,8.0,9.0,1.0,17.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,3.0,7.0,12.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,4.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,7.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5833333333333334,0.5833333333333334,0.5,0.3333333333333333,0.5,0.6666666666666666,0.5,1.0,1.0,0.6,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,86.19718309859155,18.375,15.222222222222221,18.25,14.555555555555555,0.16666666666666666,1.0,1.0,0.3333333333333333,0.5,1.0,1.0,0.3333333333333333,0.16666666666666666,1.0,1.0,0.6666666666666666,1.0,0.5098,12.799999999999999,24.333333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2013,2012-13,True
101109-200779-2030-2546-467,1610612752,"Raymond Felton, Steve Novak, Kenyon Martin, Carmelo Anthony, Jason Kidd","Felton, Novak, Martin, Anthony, Kidd",101109-200779-2030-2546-467,NYK,260.0,2,4.0,,9.0,8.0,,17.0,1.0,1.0,2.0,3.0,1.0,,1.0,3.0,4.0,,2.0,8.0,8.0,4.0,2.0,,,,,2.0,2.0,1.0,4.0,,1.0,3.0,4.0,,4.0,2.0,1.0,1.0,3.0,,1.0,2.0,,,,8.0,0.6666666666666666,0.6666666666666666,,,0.75,0.5,0.5714285714285714,0.3333333333333333,,,0.6666666666666666,1.0,,1.0,1.0,,,,1.0,,94.15384615384616,12.333333333333334,18.625,12.333333333333334,18.625,0.16666666666666666,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,0.5,0.16666666666666666,0.16666666666666666,,,0.5,,0.51532,14.825,40.3,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.14285714285714285,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2013,2012-13,True
101109-200779-203142-2546-2747,1610612752,"Raymond Felton, Steve Novak, Chris Copeland, Carmelo Anthony, JR Smith","Felton, Novak, Copeland, Anthony, Smith",101109-200779-203142-2546-2747,NYK,2.0,1,,-2.0,,1.0,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,720.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2013,2012-13,True
101109-200779-2199-2546-467,1610612752,"Raymond Felton, Steve Novak, Tyson Chandler, Carmelo Anthony, Jason Kidd","Felton, Novak, Chandler, Anthony, Kidd",101109-200779-2199-2546-467,NYK,94.0,3,2.0,3.0,5.0,4.0,,9.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,7.0,4.0,2.0,,,,,,1.0,2.0,,5.0,,2.0,,2.0,,2.0,,,2.0,2.0,,,2.0,,,,7.0,1.0,1.0,1.0,1.0,1.0,1.25,1.1666666666666667,0.5,,,,,,0.6666666666666666,0.6666666666666666,,,,,0.6666666666666666,137.87234042553192,9.4,11.75,9.4,10.5,0.5,1.0,1.0,,,,,0.5,,,,1.0,,0.6675,0.3,23.2,2.0,,1.0,,,1.0,2.0,,,1.0,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7734,0.5714285714285714,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2013,2012-13,True
101109-202697-2030-203143-2546,1610612752,"Raymond Felton, Iman Shumpert, Kenyon Martin, Pablo Prigioni, Carmelo Anthony","Felton, Shumpert, Martin, Prigioni, Anthony",101109-202697-2030-203143-2546,NYK,296.0,4,5.0,-2.0,10.0,8.0,2.0,18.0,,1.0,2.0,2.0,,,1.0,4.0,6.0,,1.0,10.0,12.0,2.0,6.0,,1.0,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,3.0,,1.0,3.0,,,,6.0,0.25,0.25,,,0.6666666666666666,0.5714285714285714,0.625,0.14285714285714285,,,0.3333333333333333,1.0,0.5,1.0,1.0,0.5,,,,1.0,87.56756756756756,17.1,15.625,13.7,15.625,0.14285714285714285,,,0.2857142857142857,1.0,1.0,0.5,,0.14285714285714285,,,0.2857142857142857,,0.40882857142857143,12.166666666666666,25.0,2.0,,,,1.0,2.0,2.0,1.0,,,0.125,0.14285714285714285,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.306,,0.1,2.0,3.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.42857142857142855,0.6666666666666666,0.6666666666666666,1.0,0.3498,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2013,2012-13,True
101109-202697-2030-203143-467,1610612752,"Raymond Felton, Iman Shumpert, Kenyon Martin, Pablo Prigioni, Jason Kidd","Felton, Shumpert, Martin, Prigioni, Kidd",101109-202697-2030-203143-467,NYK,309.0,1,5.0,-9.0,9.0,9.0,,18.0,,2.0,,1.0,,,1.0,,3.0,,1.0,4.0,13.0,,,,1.0,,,,,,,,2.0,2.0,4.0,,4.0,2.0,,1.0,3.0,,,,2.0,1.0,2.0,4.0,,,,,,,0.25,0.25,,,0.6666666666666666,0.5,,0.5,0.5,,,,,0.6666666666666666,83.88349514563106,17.333333333333332,17.0,17.333333333333332,13.222222222222221,0.5,,,0.25,,,,,0.25,,,0.75,,0.5250625,5.7,26.0,4.0,,,2.0,,3.0,5.0,1.0,,,0.2,0.25,7.0,7.0,,1.0,,,2.0,3.0,3.0,,,,,,1.0,3.0,7.0,1.0,,,,0.3,,,,0.3333333333333333,,0.5099833333333333,0.75,0.7777777777777778,,,1.0,,,,,1.0,,,,,,0.6666666666666666,,,,0.3333333333333333,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2013,2012-13,True
101109-202697-2030-2199-2546,1610612752,"Raymond Felton, Iman Shumpert, Kenyon Martin, Tyson Chandler, Carmelo Anthony","Felton, Shumpert, Martin, Chandler, Anthony",101109-202697-2030-2199-2546,NYK,633.0,1,11.0,10.0,19.0,19.0,,38.0,3.0,5.0,3.0,4.0,2.0,1.0,2.0,8.0,12.0,2.0,4.0,22.0,12.0,6.0,10.0,,2.0,1.0,1.0,3.0,5.0,1.0,12.0,,3.0,9.0,12.0,,12.0,1.0,1.0,3.0,4.0,,1.0,4.0,3.0,3.0,3.0,22.0,0.375,0.375,0.5,0.5,0.6666666666666666,0.6875,0.6875,0.25,0.08333333333333333,,0.25,0.8181818181818182,,1.0,0.8571428571428571,,,0.6,1.0,1.0,86.44549763033174,13.842105263157896,19.473684210526315,13.842105263157896,19.31578947368421,0.3125,0.6,0.75,0.25,0.75,0.75,0.3333333333333333,0.125,0.125,0.5,0.5,0.5625,0.5,0.52501875,9.408333333333333,25.05,,,2.0,,1.0,2.0,1.0,1.0,1.0,0.6666666666666666,0.0625,0.08333333333333333,,,,,1.0,,,,,6.0,2.0,1.0,,,,,,,1.0,,,,0.5,0.5,1.0,,,,,,2.0,3.0,,,,,,,,,,,,1.0,0.1875,0.6666666666666666,0.6666666666666666,,,,,,,,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.2,0.6666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2013,2012-13,True
101109-202697-2030-2199-2747,1610612752,"Raymond Felton, Iman Shumpert, Kenyon Martin, Tyson Chandler, JR Smith","Felton, Shumpert, Martin, Chandler, Smith",101109-202697-2030-2199-2747,NYK,228.0,1,4.0,6.0,7.0,8.0,2.0,15.0,3.0,4.0,,,,,1.0,5.0,7.0,,1.0,11.0,5.0,6.0,4.0,,1.0,,,3.0,3.0,,6.0,2.0,1.0,3.0,5.0,2.0,7.0,,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,6.0,0.6,0.6,,,0.7142857142857143,0.625,0.6875,0.125,,,,0.75,1.0,1.0,0.8,0.6666666666666666,,0.6666666666666666,,,94.73684210526316,15.0,15.375,13.714285714285714,15.375,0.5,0.75,0.75,,,,,,0.125,,,0.625,,0.4907875,4.6571428571428575,24.9,1.0,,2.0,,,2.0,2.0,2.0,1.0,0.6666666666666666,0.25,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,2.0,2.0,1.0,5.0,,,1.0,1.0,1.25,1.0,1.0,0.375,0.6666666666666666,0.6666666666666666,,0.46295,0.45454545454545453,1.0,,,,,1.0,1.0,,2.0,2.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2013,2012-13,True
101109-202697-2030-2546-2747,1610612752,"Raymond Felton, Iman Shumpert, Kenyon Martin, Carmelo Anthony, JR Smith","Felton, Shumpert, Martin, Anthony, Smith",101109-202697-2030-2546-2747,NYK,1290.0,8,22.0,-10.0,39.0,37.0,5.0,76.0,10.0,13.0,1.0,3.0,4.0,,5.0,13.0,22.0,,9.0,42.0,52.0,10.0,16.0,,4.0,,1.0,5.0,5.0,,10.0,4.0,3.0,6.0,11.0,6.0,17.0,2.0,2.0,3.0,5.0,,5.0,7.0,3.0,3.0,3.0,36.0,0.38461538461538464,0.5,,,0.5909090909090909,0.41935483870967744,0.5121951219512195,0.2903225806451613,0.045454545454545456,,0.4,0.5,0.4444444444444444,1.0,0.6,0.29411764705882354,,0.16666666666666666,0.75,1.0,84.83720930232558,17.76923076923077,16.135135135135137,16.71794871794872,15.702702702702704,0.41935483870967744,0.7692307692307693,0.7692307692307693,0.0967741935483871,0.3333333333333333,0.3333333333333333,,0.12903225806451613,0.16129032258064516,,,0.7096774193548387,,0.5170466666666667,5.795454545454546,27.666666666666668,16.0,1.0,4.0,,,14.0,22.0,7.0,,0.4,0.21052631578947367,0.25,24.0,9.0,6.0,9.0,,7.0,14.0,8.0,22.0,,,,,,3.0,21.0,23.0,2.0,,0.5,0.3333333333333333,0.4074074074074074,,,,0.42857142857142855,0.6666666666666666,0.5096125,0.5238095238095238,0.6153846153846154,2.0,6.0,4.0,3.0,5.0,,6.0,7.0,,0.6,0.6,0.6,0.5,1.0,0.1935483870967742,0.3333333333333333,0.4,0.19047619047619047,0.594225,0.14285714285714285,1.0,3.0,,,,3.0,2.0,1.0,1.0,1.0,,,,0.3333333333333333,,3.0,4.0,1.0,2.0,,1.0,0.6666666666666666,0.5,0.8,0.75,,3.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.3333333333333333,0.125,0.25,0.14285714285714285,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2013,2012-13,True
101109-202697-2030-2546-467,1610612752,"Raymond Felton, Iman Shumpert, Kenyon Martin, Carmelo Anthony, Jason Kidd","Felton, Shumpert, Martin, Anthony, Kidd",101109-202697-2030-2546-467,NYK,628.0,3,10.0,9.0,19.0,19.0,,38.0,1.0,1.0,5.0,6.0,,3.0,4.0,7.0,9.0,3.0,4.0,27.0,18.0,6.0,8.0,,4.0,3.0,,3.0,6.0,2.0,15.0,,4.0,3.0,7.0,,7.0,3.0,1.0,1.0,4.0,,1.0,5.0,,,,27.0,0.42857142857142855,0.42857142857142855,0.75,0.75,0.7777777777777778,0.8846153846153846,0.9,0.3076923076923077,,,0.75,0.6,,1.0,0.7777777777777778,,,1.0,0.5,1.0,87.13375796178345,15.473684210526315,17.57894736842105,15.473684210526315,17.42105263157895,0.07692307692307693,1.0,1.0,0.46153846153846156,0.8333333333333334,0.8333333333333334,0.4,,0.3076923076923077,0.75,0.75,0.38461538461538464,0.75,0.43210384615384617,13.033333333333333,26.025,4.0,,,2.0,,4.0,4.0,2.0,,,0.13333333333333333,0.18181818181818182,8.0,8.0,,,,3.0,3.0,2.0,14.0,9.0,3.0,,,,,14.0,8.0,,1.0,1.0,1.0,1.0,,,,,,0.4257666666666667,0.5185185185185185,0.42105263157894735,1.0,2.0,3.0,,,,,3.0,,,,,,0.5,0.15384615384615385,0.5,0.5,0.5,,,,1.0,,,3.0,2.0,1.0,,,,,1.0,,,1.0,,,1.0,,,,,1.0,,,,,,,,1.0,,,2.0,,,,,,,2.0,2.0,2.0,1.0,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2013,2012-13,True
