EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,FoulsDrawn,BlockingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,ShortMidRangeFGM,Corner3FGM,Corner3FGA,FtPoints,PtsUnassisted3s,AtRimAssists,OffThreePtRebounds,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,AtRimPctBlocked,LiveBallTurnoverPct,OffThreePtReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyDefPoss,OffLongMidRangeReboundPct,PenaltyOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,BadPassSteals,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,ShortMidRangeAssists,Loose Ball Fouls,3SecondViolations,ShortMidRangePctAssisted,Travels,SecondChanceCorner3FGA,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,Corner3Assists,FTDefRebounds,BadPassOutOfBoundsTurnovers,PenaltyTurnovers,Loose Ball Fouls Drawn,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,PenaltyFg3Pct,DefFTReboundPct,Corner3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,Defensive 3 Seconds Violations,PenaltyCorner3FGM,DefensiveGoaltends,PenaltyCorner3Accuracy,HeaveAttempts,OffCorner3ReboundPct,Charge Fouls Drawn,FTOffRebounds,OffFTReboundPct,SecondChanceFtPoints,LostBallOutOfBoundsTurnovers,BlockingFouls,Charge Fouls,Offensive Fouls Drawn,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,LongMidRangePctBlocked,OffensiveGoaltends,BlockedLongMidRange,Blocked3s,BlockedArc3,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,StepOutOfBoundsTurnovers,Clear Path Fouls,3pt And 1 Free Throw Trips,Corner3PctBlocked,BlockedCorner3,team_id,year,season,team_vs
1712-1897-201941-201975-202721,1610612747,"Antawn Jamison, Metta World Peace, Jordan Hill, Jodie Meeks, Darius Morris","Jamison, World Peace, Hill, Meeks, Morris",1712-1897-201941-201975-202721,LAL,269.0,2,4.0,-1.0,6.0,8.0,2.0,14.0,1.0,2.0,1.0,2.0,5.0,2.0,2.0,1.0,1.0,3.0,9.0,1.0,1.0,9.0,10.0,2.0,3.0,4.0,2.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,4.0,3.0,1.0,4.0,4.0,8.0,1.0,2.0,1.0,5.0,0.3333333333333333,0.5,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.45,0.6666666666666666,0.45,0.6666666666666666,0.1,0.1111111111111111,0.2,0.25,0.6666666666666666,1.0,0.5714285714285714,0.6666666666666666,1.0,0.6,0.5,1.0,1.0,0.2,74.9442379182156,25.0,14.875,24.0,14.75,0.2,0.5,0.5,0.5,0.2,1.0,1.0,0.5,0.1,1.0,1.0,1.0,0.6666666666666666,0.5,0.3,1.0,0.43678999999999996,0.4967333333333333,0.4444444444444444,8.88888888888889,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2013,2012-13,False
1712-1897-201941-201975-2768,1610612747,"Antawn Jamison, Metta World Peace, Jordan Hill, Jodie Meeks, Chris Duhon","Jamison, World Peace, Hill, Meeks, Duhon",1712-1897-201941-201975-2768,LAL,583.0,2,10.0,-2.0,18.0,18.0,3.0,36.0,2.0,6.0,,2.0,2.0,1.0,1.0,1.0,5.0,4.0,9.0,2.0,6.0,15.0,17.0,,2.0,,4.0,4.0,3.0,,5.0,1.0,2.0,2.0,1.0,3.0,1.0,,7.0,1.0,2.0,6.0,8.0,3.0,11.0,,3.0,,15.0,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,0.4444444444444444,,0.4666666666666667,,0.5,,0.4,0.2222222222222222,,0.5454545454545454,0.2,0.5,0.5333333333333333,0.3333333333333333,0.25,,0.3333333333333333,0.5,0.5,,88.91938250428817,15.055555555555555,17.333333333333332,14.11111111111111,14.5,0.4,0.3333333333333333,0.5,0.13333333333333333,0.06666666666666667,1.0,1.0,,0.3333333333333333,0.2,0.2,1.0,1.0,,0.8,0.2,0.5219766666666666,0.5355,,5.044444444444444,25.266666666666666,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,1.0,6.0,2.0,2.0,6.0,2.0,1.0,1.0,1.0,5.0,4.0,1.0,5.0,2.0,0.3333333333333333,0.6666666666666666,0.5,0.5,0.6666666666666666,0.5,0.4,1.0,0.5,0.5,0.06666666666666667,1.0,1.0,0.06666666666666667,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2013,2012-13,False
1712-1897-201941-201975-977,1610612747,"Antawn Jamison, Metta World Peace, Jordan Hill, Jodie Meeks, Kobe Bryant","Jamison, World Peace, Hill, Meeks, Bryant",1712-1897-201941-201975-977,LAL,99.0,1,2.0,-9.0,3.0,4.0,2.0,7.0,,2.0,,1.0,1.0,,1.0,,1.0,,4.0,,1.0,,9.0,,2.0,,,,,,1.0,,,,,,,,,2.0,,,,2.0,2.0,,,,,,,,,,,,,,,,0.2,,,,0.5,,,0.4,0.5,,,,,,101.81818181818183,17.333333333333332,11.75,15.0,11.75,0.4,,,0.2,0.2,,,,0.2,,,,0.5,,0.6,,0.47122,0.48225,,7.125,25.1,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2013,2012-13,False
1712-1897-201941-202721-2730,1610612747,"Antawn Jamison, Metta World Peace, Jordan Hill, Darius Morris, Dwight Howard","Jamison, World Peace, Hill, Morris, Howard",1712-1897-201941-202721-2730,LAL,680.0,3,11.0,-9.0,18.0,20.0,3.0,38.0,5.0,7.0,,,4.0,,1.0,1.0,2.0,5.0,12.0,1.0,3.0,20.0,29.0,,1.0,3.0,6.0,4.0,3.0,,2.0,1.0,2.0,3.0,1.0,4.0,1.0,,9.0,3.0,2.0,5.0,7.0,3.0,10.0,,6.0,,17.0,0.6,0.6,1.0,0.3333333333333333,0.3333333333333333,0.4166666666666667,,0.43333333333333335,0.75,0.5555555555555556,0.75,0.2,0.16666666666666666,0.5,0.7142857142857143,0.42857142857142855,1.0,0.7777777777777778,0.3333333333333333,,0.5,0.6666666666666666,1.0,,,80.47058823529412,19.5,16.45,19.055555555555557,15.6,0.4666666666666667,0.7142857142857143,0.7142857142857143,0.26666666666666666,0.06666666666666667,,,,0.13333333333333333,0.5,0.5,1.0,,,0.6666666666666666,0.5,0.5355933333333333,0.5439,0.15,4.833333333333333,23.833333333333332,,,1.0,7.0,,3.0,,2.0,1.0,2.0,,1.0,2.0,3.0,1.0,2.0,3.0,1.0,8.0,2.0,4.0,1.0,,1.0,1.0,1.0,,0.6666666666666666,,,,0.75,1.0,0.6,,,0.06666666666666667,,,0.23529411764705882,0.2857142857142857,,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.5,1.0,1.0,1.0,1.0,0.73965,0.25,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2013,2012-13,False
1712-1897-201941-2200-2581,1610612747,"Antawn Jamison, Metta World Peace, Jordan Hill, Pau Gasol, Steve Blake","Jamison, World Peace, Hill, Gasol, Blake",1712-1897-201941-2200-2581,LAL,4.0,1,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.0,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2013,2012-13,False
1712-1897-201941-2581-2730,1610612747,"Antawn Jamison, Metta World Peace, Jordan Hill, Steve Blake, Dwight Howard","Jamison, World Peace, Hill, Blake, Howard",1712-1897-201941-2581-2730,LAL,14.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2013,2012-13,False
1712-1897-201941-2730-977,1610612747,"Antawn Jamison, Metta World Peace, Jordan Hill, Dwight Howard, Kobe Bryant","Jamison, World Peace, Hill, Howard, Bryant",1712-1897-201941-2730-977,LAL,179.0,1,3.0,4.0,6.0,6.0,,12.0,,,,,2.0,1.0,1.0,,1.0,2.0,3.0,,1.0,6.0,2.0,,,,2.0,2.0,,,1.0,,,1.0,,1.0,,,2.0,,1.0,3.0,4.0,,4.0,,1.0,,6.0,0.5,0.5,,,,0.6666666666666666,,0.5,,0.6,,0.25,,,0.5,,1.0,0.5714285714285714,,,,1.0,1.0,,,96.53631284916202,11.333333333333334,18.5,11.333333333333334,15.666666666666666,,,,0.5,0.25,1.0,1.0,,0.25,,,,,,0.25,,0.4395,,,10.700000000000001,25.5,1.0,,,2.0,,,,1.0,,,,1.0,,1.0,,,1.0,,2.0,,1.0,2.0,2.0,,2.0,1.0,,,,,0.4,,0.5,,0.5,0.5,,,,0.2,0.25,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2013,2012-13,False
1712-1897-201941-2768-977,1610612747,"Antawn Jamison, Metta World Peace, Jordan Hill, Chris Duhon, Kobe Bryant","Jamison, World Peace, Hill, Duhon, Bryant",1712-1897-201941-2768-977,LAL,98.0,1,2.0,,3.0,3.0,1.0,6.0,,,,,,,,2.0,3.0,,,2.0,3.0,6.0,6.0,,,,,,,,3.0,2.0,,,,,,,,,,,,1.0,1.0,,,,6.0,,,,0.6666666666666666,0.6666666666666666,,,1.0,,1.0,,1.0,,,,,,,1.0,,,,,,,88.16326530612245,11.333333333333334,21.333333333333332,10.666666666666666,21.333333333333332,,,,,,,,,1.0,0.6666666666666666,0.6666666666666666,,,,1.0,0.6666666666666666,0.5861500000000001,,,,25.133333333333336,,,,,6.0,,1.0,,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2013,2012-13,False
1712-1897-201947-201975-2581,1610612747,"Antawn Jamison, Metta World Peace, Earl Clark, Jodie Meeks, Steve Blake","Jamison, World Peace, Clark, Meeks, Blake",1712-1897-201947-201975-2581,LAL,3222.0,11,54.0,18.0,106.0,111.0,8.0,217.0,24.0,36.0,3.0,4.0,15.0,5.0,12.0,13.0,27.0,32.0,63.0,16.0,33.0,126.0,108.0,4.0,6.0,8.0,42.0,22.0,36.0,2.0,27.0,13.0,11.0,21.0,12.0,33.0,9.0,4.0,78.0,8.0,12.0,28.0,43.0,11.0,54.0,2.0,17.0,,118.0,0.65625,0.6774193548387096,0.75,0.48484848484848486,0.48484848484848486,0.5079365079365079,0.6666666666666666,0.5833333333333334,0.5714285714285714,0.5952380952380952,0.5714285714285714,0.34375,0.1746031746031746,0.26666666666666666,0.6363636363636364,0.25806451612903225,0.7058823529411765,0.6557377049180327,0.22916666666666666,0.08333333333333333,0.5,0.5625,0.6923076923076923,0.75,0.05405405405405406,96.98324022346368,14.679245283018869,15.00900900900901,14.349056603773585,14.36936936936937,0.375,0.6666666666666666,0.8275862068965517,0.15625,0.125,0.4166666666666667,0.4166666666666667,0.8,0.28125,0.48148148148148145,0.48148148148148145,0.6923076923076923,0.5714285714285714,0.75,0.71875,0.48148148148148145,0.5347708333333333,0.5180100000000001,0.06349206349206349,6.282539682539682,25.33939393939394,3.0,3.0,6.0,14.0,12.0,14.0,3.0,10.0,6.0,11.0,5.0,1.0,6.0,12.0,2.0,9.0,17.0,,20.0,,7.0,5.0,3.0,2.0,5.0,2.0,0.19444444444444445,0.9166666666666666,0.17647058823529413,0.21428571428571427,0.6190476190476191,0.8571428571428571,0.4,0.5833333333333334,0.2,0.2727272727272727,0.0625,0.5,0.5,0.07692307692307693,0.1,8.0,0.14285714285714285,16.0,3.0,4.0,,,,1.0,3.0,6.0,1.0,19.0,4.0,1.0,19.0,16.0,1.0,,0.5,0.6428571428571429,0.6333333333333333,,,,0.2857142857142857,0.75,0.537075,0.15079365079365079,0.1509433962264151,3.0,1.0,,1.0,,1.0,1.0,4.0,7.0,4.0,8.0,3.0,3.0,1.0,4.0,3.0,1.0,1.0,1.0,0.5,1.0,1.0,0.3333333333333333,0.14285714285714285,0.07142857142857142,0.5,0.5714285714285714,0.029411764705882353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2013,2012-13,False
1712-1897-201947-201975-2768,1610612747,"Antawn Jamison, Metta World Peace, Earl Clark, Jodie Meeks, Chris Duhon","Jamison, World Peace, Clark, Meeks, Duhon",1712-1897-201947-201975-2768,LAL,243.0,3,4.0,-8.0,7.0,6.0,2.0,13.0,,2.0,,,,,1.0,,3.0,,3.0,,3.0,2.0,10.0,,,,,,,,3.0,,,,,,,,,1.0,,1.0,1.0,2.0,3.0,1.0,2.0,,2.0,,,,,,,,,,0.125,,0.5,,,0.3333333333333333,0.3333333333333333,,0.2,0.3333333333333333,0.5,,,,,0.16666666666666666,77.03703703703704,15.714285714285714,22.166666666666668,15.142857142857142,19.5,0.3333333333333333,,,,0.16666666666666666,,,,0.5,,,,,,0.8333333333333334,,0.560075,,,7.333333333333333,24.8,,,,2.0,,,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,,4.0,,2.0,,,,,,,,0.3333333333333333,0.3333333333333333,0.5,,,,,,,,,0.25,0.4,,,,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2013,2012-13,False
