EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,LongMidRangeAssists,AssistPoints,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,SecondChanceFG2A,PtsUnassisted2s,Fg2aBlocked,OffTwoPtRebounds,OffRebounds,Rebounds,FG2APctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,Arc3FGA,PenaltyArc3FGA,NonHeaveArc3FGA,DefTwoPtRebounds,DefRebounds,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,Arc3Frequency,PenaltyArc3Frequency,AtRimAssists,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,DefAtRimReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,AtRimPctAssisted,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,2pt And 1 Free Throw Trips,LiveBallTurnoverPct,AtRimPctBlocked,Loose Ball Fouls Drawn,FTDefRebounds,Steals,BadPassSteals,DefFTReboundPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Arc3FGM,SecondChanceFG2M,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGM,Arc3Assists,OffThreePtRebounds,DefThreePtRebounds,SelfOReb,LostBallSteals,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,PenaltyTurnovers,Loose Ball Fouls,Technical Free Throw Trips,BlockedShortMidRange,SecondChanceFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefThreePtReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffCorner3ReboundPct,DefArc3ReboundPct,SelfORebPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,NonHeaveArc3Accuracy,SecondChancePointsPct,OffArc3ReboundPct,PenaltyArc3FGM,SecondChanceFtPoints,OffLongMidRangeReboundPct,PenaltyArc3Accuracy,BlockingFoulsDrawn,Offensive Fouls,HeaveAttempts,BlockedLongMidRange,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Offensive Fouls Drawn,ShortMidRangeFGM,Charge Fouls Drawn,DefensiveGoaltends,DefCorner3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceAtRimPctAssisted,Fg3aBlocked,FTOffRebounds,BadPassOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,ThreePtShootingFoulsDrawn,FG3APctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,OffFTReboundPct,ThreePtShootingFoulsDrawnPct,StepOutOfBoundsTurnovers,ShortMidRangeAssists,BlockingFouls,ShortMidRangePctAssisted,Defensive 3 Seconds Violations,Blocked3s,BlockedCorner3,3SecondViolations,HeaveMakes,Charge Fouls,BlockedArc3,3pt And 1 Free Throw Trips,OffensiveGoaltends,Arc3PctBlocked,team_id,year,season,team_vs
101109-200758-200778-200779-2199,1610612752,"Raymond Felton, Ronnie Brewer, James White, Steve Novak, Tyson Chandler","Felton, Brewer, White, Novak, Chandler",101109-200758-200778-200779-2199,NYK,86.0,1,1.0,-1.0,3.0,3.0,3.0,3.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,7.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,6.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,1.25,1.0,1.0,0.5,100.46511627906976,14.666666666666666,14.0,14.666666666666666,14.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,0.531725,0.531725,0.3333333333333333,0.5,1.0,19.9,22.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2013,2012-13,False
101109-200758-200778-200779-467,1610612752,"Raymond Felton, Ronnie Brewer, James White, Steve Novak, Jason Kidd","Felton, Brewer, White, Novak, Kidd",101109-200758-200778-200779-467,NYK,47.0,1,1.0,-1.0,2.0,1.0,2.0,1.0,3.0,,1.0,,,,,1.0,3.0,,,,2.0,3.0,1.0,3.0,,,,2.0,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,,91.91489361702128,18.5,10.0,15.5,10.0,0.3333333333333333,,,,,,,,,,0.3333333333333333,0.4339,0.4339,,,1.0,7.833333333333333,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.5,0.5,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.2183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2013,2012-13,False
101109-200758-200778-200779-739,1610612752,"Raymond Felton, Ronnie Brewer, James White, Steve Novak, Rasheed Wallace","Felton, Brewer, White, Novak, Wallace",101109-200758-200778-200779-739,NYK,85.0,1,1.0,-4.0,2.0,3.0,2.0,3.0,5.0,,,,,,,,,,1.0,2.0,2.0,6.0,,,,1.0,2.0,2.0,,,,,,,,,,1.0,2.0,,2.0,2.0,2.0,,,,,,,,,,,,0.5,0.5,1.0,84.70588235294117,12.0,20.333333333333332,12.0,17.666666666666668,,,,,,,,,,,1.0,0.5658,0.5658,,,1.0,,24.8,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2013,2012-13,False
101109-200758-200778-2199-2747,1610612752,"Raymond Felton, Ronnie Brewer, James White, Tyson Chandler, JR Smith","Felton, Brewer, White, Chandler, Smith",101109-200758-200778-2199-2747,NYK,112.0,3,2.0,,4.0,5.0,2.0,4.0,9.0,,2.0,,,,,1.0,3.0,,1.0,,2.0,2.0,1.0,1.0,,1.0,,2.0,2.0,,1.0,,1.0,,,2.0,1.0,1.0,,,2.0,2.0,2.0,1.0,1.0,1.0,,,,,0.3333333333333333,1.0,0.25,0.5,0.25,0.5,0.25,115.71428571428571,11.5,13.2,11.5,13.2,0.5,,,,,,,,,,0.5,0.4662625,0.527575,,,1.0,12.4,25.8,0.5,,1.0,1.0,1.0,1.0,,,,,,,2.0,,,,,,0.25,1.0,1.0,,0.5,1.0,,1.0,1.0,1.0,2.0,2.0,,,1.0,1.0,,0.25,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2013,2012-13,False
101109-200758-200778-2199-467,1610612752,"Raymond Felton, Ronnie Brewer, James White, Tyson Chandler, Jason Kidd","Felton, Brewer, White, Chandler, Kidd",101109-200758-200778-2199-467,NYK,74.0,1,1.0,-1.0,3.0,3.0,,1.0,6.0,1.0,1.0,,,,,2.0,2.0,,,1.0,5.0,6.0,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,5.0,,,,,,,,,,1.0,,1.0,,1.25,,,116.75675675675676,14.333333333333334,10.333333333333334,14.333333333333334,10.333333333333334,0.5,1.0,1.0,,,,,,,,0.5,0.56335,,0.5,0.5,,9.3,,,,1.0,1.0,,,,,4.0,,,,,,,,,,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2013,2012-13,False
101109-200758-200778-2747-467,1610612752,"Raymond Felton, Ronnie Brewer, James White, JR Smith, Jason Kidd","Felton, Brewer, White, Smith, Kidd",101109-200758-200778-2747-467,NYK,135.0,1,2.0,-7.0,5.0,6.0,5.0,6.0,11.0,,2.0,,,,,1.0,5.0,,,,2.0,9.0,1.0,5.0,,,,2.0,,,,,,,,,1.0,,,,2.0,2.0,5.0,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.2,,117.33333333333333,12.8,11.833333333333334,12.8,11.833333333333334,0.4,,,,,,,,,,0.6,0.5031399999999999,0.5031399999999999,,,1.0,9.120000000000001,,1.0,,1.0,3.0,1.0,3.0,,,2.0,2.0,,,2.0,0.4,,,,,0.6,0.3333333333333333,1.0,,0.6,0.3333333333333333,,,,,2.0,2.0,,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,1.0,,,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2013,2012-13,False
101109-200758-200779-203142-467,1610612752,"Raymond Felton, Ronnie Brewer, Steve Novak, Chris Copeland, Jason Kidd","Felton, Brewer, Novak, Copeland, Kidd",101109-200758-200779-203142-467,NYK,13.0,1,,-2.0,,1.0,,1.0,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,110.76923076923076,,13.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2013,2012-13,False
101109-200758-200779-203143-739,1610612752,"Raymond Felton, Ronnie Brewer, Steve Novak, Pablo Prigioni, Rasheed Wallace","Felton, Brewer, Novak, Prigioni, Wallace",101109-200758-200779-203143-739,NYK,96.0,2,2.0,3.0,5.0,4.0,2.0,2.0,9.0,1.0,1.0,,,,,3.0,4.0,,,1.0,7.0,4.0,1.0,1.0,,,1.0,3.0,2.0,,1.0,,1.0,,1.0,2.0,1.0,1.0,2.0,,7.0,3.0,2.0,,0.3333333333333333,0.3333333333333333,,,,,0.75,1.0,0.75,1.0,0.7,0.75,,135.0,10.8,10.5,10.8,10.5,0.25,1.0,1.0,1.0,,,,,,,0.75,0.628425,0.6397,,,0.42857142857142855,5.3,,0.4,,2.0,3.0,1.0,1.0,,,4.0,1.0,,,1.0,0.25,,,,,0.75,0.6666666666666666,1.0,,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2013,2012-13,False
101109-200758-200779-2199-2546,1610612752,"Raymond Felton, Ronnie Brewer, Steve Novak, Tyson Chandler, Carmelo Anthony","Felton, Brewer, Novak, Chandler, Anthony",101109-200758-200779-2199-2546,NYK,1151.0,4,19.0,3.0,35.0,36.0,4.0,9.0,71.0,3.0,7.0,3.0,4.0,,,10.0,20.0,7.0,11.0,7.0,48.0,45.0,1.0,2.0,,,2.0,4.0,10.0,15.0,5.0,5.0,10.0,3.0,1.0,25.0,8.0,9.0,9.0,3.0,37.0,4.0,4.0,1.0,0.5,0.7142857142857143,0.7142857142857143,0.6363636363636364,,0.6363636363636364,0.5,0.5,0.6612903225806451,0.5,0.6714285714285714,0.6666666666666666,0.3548387096774194,88.82710686359687,16.2,16.22222222222222,15.82857142857143,14.916666666666666,0.22580645161290322,0.42857142857142855,0.42857142857142855,0.3333333333333333,0.12903225806451613,0.75,0.75,1.0,,,0.7096774193548387,0.5609612903225807,0.48725,0.08823529411764706,0.13043478260869565,0.08333333333333333,7.984999999999999,24.672727272727272,0.11428571428571428,5.0,7.0,11.0,,1.0,2.0,4.0,10.0,,4.0,5.0,17.0,,,0.4,0.35714285714285715,0.5,0.3548387096774194,0.6363636363636364,0.6363636363636364,0.06451612903225806,0.5,,0.61215,7.0,,7.0,6.0,12.0,1.0,1.0,0.6,0.5882352941176471,0.7142857142857143,0.22580645161290322,,4.0,3.0,1.0,3.0,1.0,0.5,,0.3333333333333333,0.5714285714285714,4.0,2.0,5.0,4.0,,0.8,,,2.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,11.0,6.0,6.0,4.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.1,1.1,0.5714285714285714,0.25,0.75,1.0,0.6666666666666666,0.14285714285714285,0.5714285714285714,0.5714285714285714,0.5,0.4,1.0,0.2,1.0,1.0,0.5714285714285714,0.22916666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2013,2012-13,False
101109-200758-200779-2199-2747,1610612752,"Raymond Felton, Ronnie Brewer, Steve Novak, Tyson Chandler, JR Smith","Felton, Brewer, Novak, Chandler, Smith",101109-200758-200779-2199-2747,NYK,509.0,3,8.0,-6.0,17.0,18.0,4.0,5.0,35.0,2.0,5.0,,1.0,,,4.0,10.0,3.0,6.0,,17.0,23.0,,3.0,,,,,2.0,9.0,1.0,3.0,4.0,,1.0,11.0,4.0,3.0,,,15.0,,4.0,,0.25,0.25,1.0,0.5,,0.5,0.4,,0.53125,,0.53125,,0.375,99.01768172888016,16.176470588235293,13.0,15.411764705882353,12.833333333333334,0.3125,0.4,0.4,0.5,0.0625,,,,,,0.625,0.543446875,0.6285999999999999,,,,11.52,25.25,0.23529411764705882,1.0,2.0,4.0,,2.0,1.0,1.0,6.0,1.0,,1.0,7.0,0.1,,,0.1111111111111111,,0.25,0.5,0.6666666666666666,0.0625,0.6666666666666666,,,5.0,,5.0,5.0,6.0,,,0.7142857142857143,0.75,0.5,0.3125,,,2.0,1.0,2.0,1.0,1.0,0.5,0.5,,2.0,2.0,2.0,4.0,,1.0,0.25,1.0,,2.0,1.0,,1.0,1.0,,,3.0,1.0,,,2.0,,,3.0,3.0,1.0,1.0,,1.0,,,,1.0,,,1.0,,1.0,1.0,1.0,1.0,0.3333333333333333,,,1.0,,0.6,0.6,1.0,1.0,1.0,,,,0.6,0.11764705882352941,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2013,2012-13,False
