EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,FG2M,FG2A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,Offensive Fouls Drawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,LiveBallTurnoverPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,PlusMinus,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGA,SecondChanceArc3FGA,FG3M,FG3A,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3A,PenaltyFtPoints,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,ThreePtAssists,Corner3Assists,LongMidRangeAssists,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,OffRebounds,Charge Fouls Drawn,Loose Ball Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyCorner3Frequency,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg3ptShotDistance,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG3M,PenaltyFG3M,NonHeaveArc3FGM,Fg2aBlocked,Arc3Assists,LostBallSteals,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,BlockedShortMidRange,SecondChanceFg3Pct,PenaltyFg3Pct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,DefShortMidRangeReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PtsUnassisted3s,OffThreePtRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,BlockingFouls,Charge Fouls,Offensive Fouls,BlockedLongMidRange,OffThreePtReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,PenaltyCorner3FGM,SecondChanceArc3FGM,ShortMidRangeAssists,StepOutOfBoundsTurnovers,Loose Ball Fouls,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,DefensiveGoaltends,3SecondViolations,ShortMidRangePctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,Travels,BlockingFoulsDrawn,OffCorner3ReboundPct,Defensive 3 Seconds Violations,SecondChanceAtRimPctAssisted,HeaveAttempts,Fg3aBlocked,FTOffRebounds,Clear Path Fouls,Technical Free Throw Trips,Blocked3s,BlockedCorner3,FG3APctBlocked,Arc3PctBlocked,OffFTReboundPct,BlockedArc3,OffensiveGoaltends,Corner3PctBlocked,HeaveMakes,team_id,year,season,team_vs
101141-101145-200755-201601-201943,1610612749,"Ersan Ilyasova, Monta Ellis, JJ Redick, Luc Mbah a Moute, Brandon Jennings","Ilyasova, Ellis, Redick, Mbah a Moute, Jennings",101141-101145-200755-201601-201943,MIL,72.0,2,1.0,3.0,4.0,3.0,3.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,140.0,8.666666666666666,11.5,8.666666666666666,11.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9095,0.9095,1.0,0.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2013,2012-13,False
101141-101145-200755-201601-202327,1610612749,"Ersan Ilyasova, Monta Ellis, JJ Redick, Luc Mbah a Moute, Ekpe Udoh","Ilyasova, Ellis, Redick, Mbah a Moute, Udoh",101141-101145-200755-201601-202327,MIL,431.0,3,7.0,14.0,14.0,6.0,12.0,28.0,4.0,7.0,2.0,3.0,6.0,13.0,20.0,16.0,2.0,4.0,8.0,8.0,4.0,5.0,3.0,11.0,,5.0,9.0,,,,,,,2.0,3.0,5.0,,13.0,8.0,6.0,0.6666666666666666,1.0,0.46153846153846156,0.5,0.46875,0.4,0.5555555555555556,0.5714285714285714,,,0.4444444444444444,,93.54988399071925,15.642857142857142,15.142857142857142,15.142857142857142,14.928571428571429,0.4375,0.5714285714285714,0.5714285714285714,0.75,0.6,0.6666666666666666,0.625,0.55218125,0.54135,0.4,6.976923076923077,0.42857142857142855,4.0,4.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,5.0,2.0,2.0,1.0,3.0,7.0,1.0,4.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,4.0,1.0,1.0,5.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.875,0.1875,1.0,0.5714285714285714,0.5714285714285714,0.4444444444444444,0.6666666666666666,0.5,0.5,0.5,1.0,0.5,0.1875,0.3333333333333333,0.3333333333333333,0.1875,0.3333333333333333,0.3333333333333333,1.0,0.125,0.5,0.5,1.0,0.0625,0.3333333333333333,1.0,0.3333333333333333,0.2,0.55265,0.11764705882352941,0.14285714285714285,0.35,24.833333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2013,2012-13,False
101141-101145-200755-201601-202336,1610612749,"Ersan Ilyasova, Monta Ellis, JJ Redick, Luc Mbah a Moute, Larry Sanders","Ilyasova, Ellis, Redick, Mbah a Moute, Sanders",101141-101145-200755-201601-202336,MIL,812.0,9,14.0,26.0,29.0,3.0,6.0,55.0,8.0,12.0,1.0,2.0,9.0,19.0,36.0,27.0,1.0,2.0,7.0,8.0,4.0,9.0,4.0,23.0,1.0,9.0,15.0,5.0,3.0,2.0,1.0,3.0,,2.0,5.0,7.0,,29.0,7.0,3.0,0.4444444444444444,0.5714285714285714,0.47368421052631576,0.5,0.6111111111111112,0.8333333333333334,0.6206896551724138,0.875,0.6666666666666666,1.0,0.75,1.0,97.53694581280789,14.5,15.0,13.576923076923077,14.551724137931034,0.4444444444444444,0.6666666666666666,0.7272727272727273,0.5,0.6666666666666666,0.5,0.7407407407407407,0.6051648148148148,0.6533666666666667,0.19444444444444445,6.147368421052631,0.11538461538461539,9.0,5.0,2.0,2.0,,2.0,1.0,5.0,1.0,2.0,,6.0,1.0,5.0,8.0,3.0,2.0,2.0,2.0,,7.0,1.0,2.0,10.0,15.0,4.0,6.0,5.0,1.0,,6.0,8.0,,6.0,1.0,1.0,4.0,,2.0,,2.0,1.0,2.0,1.0,,,1.0,0.625,0.625,1.0,0.875,0.875,0.2962962962962963,,0.7272727272727273,0.6,0.46153846153846156,1.0,0.5,0.25,1.0,0.8,0.5,0.07407407407407407,,,0.18518518518518517,0.2,0.25,,0.07407407407407407,0.5,0.5,1.0,0.2222222222222222,0.5,1.0,0.25,,0.588625,0.06896551724137931,0.09523809523809523,0.19444444444444445,24.5625,1.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.15789473684210525,0.08333333333333333,0.5,0.2,0.5,0.6666666666666666,0.6666666666666666,1.0,0.25,1.0,1.0,0.3333333333333333,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2013,2012-13,False
101141-101145-200755-201601-202397,1610612749,"Ersan Ilyasova, Monta Ellis, JJ Redick, Luc Mbah a Moute, Ish Smith","Ilyasova, Ellis, Redick, Mbah a Moute, Smith",101141-101145-200755-201601-202397,MIL,133.0,1,2.0,4.0,4.0,,,8.0,1.0,1.0,,,2.0,2.0,4.0,4.0,,,,2.0,1.0,1.0,1.0,2.0,,,,1.0,1.0,,,1.0,,,,1.0,,4.0,,,0.5,0.5,1.0,,0.6666666666666666,,0.6666666666666666,,,,,,86.61654135338345,15.75,17.5,15.75,16.75,0.3333333333333333,1.0,1.0,1.0,,,0.6666666666666666,0.6207666666666667,,,10.65,,,,,,,,1.0,1.0,,,,1.0,,,1.0,,,,,,,,,2.0,,,1.0,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,0.3333333333333333,1.0,1.0,,,,,,0.3333333333333333,,,,,,,,,25.7,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2013,2012-13,False
101141-101145-200755-201601-203089,1610612749,"Ersan Ilyasova, Monta Ellis, JJ Redick, Luc Mbah a Moute, John Henson","Ilyasova, Ellis, Redick, Mbah a Moute, Henson",101141-101145-200755-201601-203089,MIL,1086.0,4,18.0,34.0,33.0,,8.0,67.0,6.0,13.0,,,9.0,21.0,37.0,35.0,,,,6.0,3.0,7.0,2.0,18.0,3.0,10.0,16.0,1.0,1.0,1.0,1.0,5.0,,1.0,6.0,7.0,2.0,29.0,,,0.3333333333333333,0.3333333333333333,0.42857142857142855,,0.5,,0.5285714285714286,,0.2,0.75,0.5555555555555556,0.6666666666666666,88.83977900552486,15.176470588235293,17.272727272727273,14.205882352941176,15.121212121212121,0.3939393939393939,0.46153846153846156,0.5454545454545454,0.3333333333333333,,,0.7575757575757576,0.5356439393939394,,,7.5809523809523816,,2.0,7.0,,1.0,,1.0,3.0,7.0,2.0,2.0,,10.0,1.0,5.0,12.0,4.0,2.0,3.0,1.0,4.0,8.0,,,12.0,12.0,,10.0,4.0,2.0,1.0,4.0,7.0,,6.0,,1.0,4.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,0.8,0.4166666666666667,0.4166666666666667,0.6666666666666666,0.5,0.6666666666666666,0.36363636363636365,,0.5,0.3333333333333333,0.3157894736842105,0.5714285714285714,,,0.4,0.6,1.0,0.030303030303030304,,,0.21212121212121213,0.42857142857142855,0.42857142857142855,0.3333333333333333,0.06060606060606061,1.0,1.0,1.0,0.30303030303030304,0.25,,0.25,,0.489375,0.029411764705882353,0.045454545454545456,0.21621621621621623,25.5,,,3.0,,,,,3.0,2.0,2.0,,,4.0,,1.0,,,,0.09523809523809523,0.15384615384615385,,,0.5,0.3,0.3,0.6666666666666666,,,,,,0.3,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.2857142857142857,0.2857142857142857,1.0,0.058823529411764705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2013,2012-13,False
101141-101145-200755-201943-202336,1610612749,"Ersan Ilyasova, Monta Ellis, JJ Redick, Brandon Jennings, Larry Sanders","Ilyasova, Ellis, Redick, Jennings, Sanders",101141-101145-200755-201943-202336,MIL,3655.0,22,61.0,121.0,117.0,49.0,35.0,238.0,23.0,48.0,14.0,26.0,37.0,90.0,143.0,152.0,17.0,40.0,65.0,40.0,20.0,32.0,14.0,76.0,7.0,29.0,56.0,8.0,3.0,11.0,4.0,17.0,4.0,6.0,22.0,26.0,4.0,109.0,65.0,49.0,0.5405405405405406,0.6451612903225806,0.4111111111111111,0.425,0.5203252032520326,0.5471698113207547,0.5375939849624061,0.5701754385964912,0.6470588235294118,0.6363636363636364,0.65,0.5,93.76744186046513,15.991735537190083,14.7008547008547,15.090909090909092,14.162393162393162,0.3902439024390244,0.4791666666666667,0.5348837209302325,0.6086956521739131,0.49056603773584906,0.5384615384615384,0.6585365853658537,0.5167857723577236,0.5304801886792453,0.45454545454545453,6.877777777777778,0.4049586776859504,-9.0,24.0,5.0,12.0,3.0,19.0,11.0,23.0,4.0,7.0,5.0,26.0,5.0,18.0,33.0,15.0,7.0,17.0,6.0,8.0,34.0,13.0,7.0,34.0,36.0,12.0,26.0,12.0,4.0,5.0,25.0,19.0,3.0,27.0,,2.0,23.0,2.0,10.0,2.0,5.0,3.0,5.0,1.0,9.0,1.0,0.6666666666666666,0.5454545454545454,0.5454545454545454,0.4117647058823529,0.5652173913043478,0.5862068965517241,0.2682926829268293,0.6,0.6551724137931034,0.49019607843137253,0.4153846153846154,0.5416666666666666,0.3333333333333333,0.5833333333333334,0.6363636363636364,0.7,0.2,0.15447154471544716,0.15789473684210525,0.16666666666666666,0.18699186991869918,0.4782608695652174,0.4782608695652174,0.45454545454545453,0.056910569105691054,0.5714285714285714,0.5714285714285714,1.0,0.21138211382113822,0.5217391304347826,0.4166666666666667,0.21739130434782608,0.09433962264150944,0.5544340909090909,0.08396946564885496,0.10204081632653061,0.23776223776223776,25.451515151515146,1.0,1.0,14.0,5.0,8.0,4.0,8.0,14.0,6.0,8.0,5.0,7.0,6.0,,,2.0,0.6666666666666666,0.6153846153846154,0.06666666666666667,0.10416666666666667,0.05263157894736842,,0.625,0.5384615384615384,0.5384615384615384,0.5714285714285714,0.043478260869565216,1.0,1.0,0.1509433962264151,0.625,0.5384615384615384,18.0,2.0,4.0,1.0,,,,,0.14285714285714285,0.18181818181818182,0.8,0.06779661016949153,3.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.3333333333333333,0.6,1.0,0.6,0.030303030303030304,,,,,,,,,,,,,,,,,,,,1610612749,2013,2012-13,False
101141-101145-200755-201943-202970,1610612749,"Ersan Ilyasova, Monta Ellis, JJ Redick, Brandon Jennings, Gustavo Ayon","Ilyasova, Ellis, Redick, Jennings, Ayon",101141-101145-200755-201943-202970,MIL,128.0,1,2.0,2.0,4.0,1.0,2.0,6.0,,,,,1.0,2.0,2.0,5.0,1.0,1.0,2.0,2.0,1.0,1.0,,2.0,1.0,1.0,1.0,,,,,,,1.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,1.0,,1.0,0.3333333333333333,,67.5,20.0,22.0,20.0,17.75,,,,,,,,0.38165,0.3694,1.0,8.7,0.5,-3.0,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2013,2012-13,False
101141-101145-200755-201943-2223,1610612749,"Ersan Ilyasova, Monta Ellis, JJ Redick, Brandon Jennings, Samuel Dalembert","Ilyasova, Ellis, Redick, Jennings, Dalembert",101141-101145-200755-201943-2223,MIL,167.0,1,3.0,6.0,5.0,,,11.0,2.0,4.0,,,3.0,6.0,6.0,8.0,,,,4.0,2.0,2.0,1.0,4.0,,1.0,2.0,1.0,1.0,,,1.0,,,1.0,,,4.0,,,0.6666666666666666,1.0,0.5,,0.5,,0.5,,,,1.0,,94.8502994011976,13.0,17.8,12.666666666666666,17.8,0.6666666666666666,0.5,0.5,0.5,,,0.6666666666666666,0.5884833333333334,,,7.3,,-2.0,1.0,1.0,1.0,,,1.0,2.0,,,,,,,,,1.0,1.0,,,2.0,,,2.0,,2.0,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,0.3333333333333333,0.3333333333333333,0.5,,,,1.0,,,,,0.3333333333333333,0.5,0.5,1.0,,,,,,1.0,1.0,,,0.5944,,,0.3333333333333333,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2013,2012-13,False
101141-101145-200755-201943-2399,1610612749,"Ersan Ilyasova, Monta Ellis, JJ Redick, Brandon Jennings, Mike Dunleavy","Ilyasova, Ellis, Redick, Jennings, Dunleavy",101141-101145-200755-201943-2399,MIL,15.0,1,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,14.0,,14.0,,,,,,,,1.0,0.3975,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2013,2012-13,False
101141-101145-200755-202327-2399,1610612749,"Ersan Ilyasova, Monta Ellis, JJ Redick, Ekpe Udoh, Mike Dunleavy","Ilyasova, Ellis, Redick, Udoh, Dunleavy",101141-101145-200755-202327-2399,MIL,1056.0,10,18.0,33.0,34.0,4.0,4.0,67.0,6.0,8.0,1.0,2.0,8.0,16.0,38.0,42.0,1.0,2.0,4.0,8.0,4.0,10.0,3.0,26.0,12.0,14.0,15.0,1.0,,3.0,1.0,5.0,,2.0,6.0,5.0,1.0,38.0,4.0,4.0,0.5,0.5,0.5,0.5,0.6071428571428571,0.3333333333333333,0.6333333333333333,0.5,0.6,0.8571428571428571,0.6086956521739131,0.8888888888888888,91.36363636363636,14.969696969696969,16.529411764705884,14.787878787878787,15.264705882352942,0.2857142857142857,0.75,0.75,0.5,0.6666666666666666,0.5,0.7142857142857143,0.5482178571428572,0.64005,0.10526315789473684,8.825000000000001,0.12121212121212122,-4.0,1.0,,,,2.0,2.0,6.0,2.0,2.0,,10.0,1.0,6.0,12.0,4.0,,,1.0,,,1.0,2.0,8.0,18.0,,10.0,6.0,2.0,1.0,1.0,2.0,,1.0,,1.0,5.0,1.0,3.0,,,,,,,,1.0,0.5,0.5,,,,0.42857142857142855,,0.2222222222222222,0.125,0.07142857142857142,,,0.25,0.25,1.0,,0.07142857142857142,,,0.21428571428571427,0.3333333333333333,0.3333333333333333,0.5,0.07142857142857142,1.0,1.0,1.0,0.35714285714285715,,,1.0,,0.549,0.1,0.16666666666666666,,25.108333333333334,,,4.0,,1.0,,,4.0,,4.0,1.0,2.0,2.0,1.0,,,,,,,,,,0.4,0.4,1.0,,,,0.3333333333333333,,0.4,,,,,,,1.0,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2013,2012-13,False
