EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,OffPoss,PenaltyOffPoss,TotalPoss,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,Points,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Pace,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,Minutes,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,PenaltyCorner3FGM,FG2M,FG2A,FtPoints,OpponentPoints,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PtsAssisted2s,Fg2aBlocked,TwoPtAssists,Corner3Assists,LongMidRangeAssists,OffTwoPtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,FG2APctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyAtRimFrequency,PenaltyCorner3Accuracy,SecondChanceShotQualityAvg,Avg2ptShotDistance,AtRimFGM,ShortMidRangeFGM,SecondChanceFG2M,SecondChanceFtPoints,SecondChancePoints,PtsUnassisted2s,PtsPutbacks,ShortMidRangeAssists,OffThreePtRebounds,DefTwoPtRebounds,Steals,BadPassSteals,LiveBallTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Charge Fouls Drawn,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,SecondChanceCorner3FGA,SecondChanceArc3FGA,SecondChanceFG3A,PtsUnassisted3s,AtRimAssists,FTDefRebounds,SelfOReb,LostBallSteals,BadPassTurnovers,LostBallOutOfBoundsTurnovers,BlockingFouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,BlockedAtRim,BlockedLongMidRange,DefFTReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,SelfORebPct,AtRimPctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyAtRimAccuracy,Travels,HeaveAttempts,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,ThreePtShootingFoulsDrawnPct,LongMidRangePctBlocked,SecondChanceArc3FGM,SecondChanceFG3M,Offensive Fouls Drawn,BlockingFoulsDrawn,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,FTOffRebounds,3pt And 1 Free Throw Trips,OffFTReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,DefensiveGoaltends,3SecondViolations,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Clear Path Fouls,OffensiveGoaltends,Arc3PctBlocked,team_id,year,season,team_vs
1713-1717-1882-1890-201564,1610612742,"Vince Carter, Dirk Nowitzki, Elton Brand, Shawn Marion, O.J. Mayo","Carter, Nowitzki, Brand, Marion, Mayo",1713-1717-1882-1890-201564,DAL,5.0,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,0.5,0.5,0.5,0.75,0.75,0.75,0.75,1.0,288.0,5.0,5.0,0.5,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.283725,0.283725,1.0,23.85,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2013,2012-13,False
1713-1717-1882-1890-201954,1610612742,"Vince Carter, Dirk Nowitzki, Elton Brand, Shawn Marion, Darren Collison","Carter, Nowitzki, Brand, Marion, Collison",1713-1717-1882-1890-201954,DAL,291.0,6,1.0,10.0,9.0,19.0,2.0,2.0,,,,,1.0,2.0,11.0,1.0,2.0,11.0,3.0,,,1.0,3.0,,7.0,11.0,9.0,8.0,1.0,0.5,0.5,0.5,0.4375,0.4375,0.55,0.55,0.25,94.02061855670104,15.0,14.4,0.25,,,,,0.25,,,0.375,,0.4761,0.4761,1.0,23.55,0.9,5.0,9.0,4.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,6.0,4.0,10.0,1.0,2.0,6.0,4.0,4.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,5.0,1.0,1.0,1.0,3.0,3.0,2.0,4.0,2.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.5,0.5,0.75,0.6,0.4,1.0,1.0,0.5,15.666666666666666,15.333333333333334,0.125,0.25,0.375,0.6666666666666666,0.6666666666666666,1.0,0.5,0.5,1.0,0.125,0.5,0.4694,10.816666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2013,2012-13,False
1713-1717-1882-1890-2229,1610612742,"Vince Carter, Dirk Nowitzki, Elton Brand, Shawn Marion, Mike James","Carter, Nowitzki, Brand, Marion, James",1713-1717-1882-1890-2229,DAL,553.0,4,-1.0,19.0,8.0,36.0,2.0,,,1.0,,,,3.0,16.0,,,4.0,,1.0,,,3.0,,6.0,10.0,4.0,8.0,,,,,0.3333333333333333,0.25,0.4,0.25,0.16666666666666666,93.74321880650994,14.68421052631579,13.68421052631579,0.1111111111111111,0.05555555555555555,,,,,,,0.3333333333333333,,0.46778611111111107,0.46315,0.25,23.866666666666664,0.42105263157894735,9.0,17.0,8.0,4.0,3.0,2.0,9.0,,3.0,,,6.0,15.0,4.0,17.0,2.0,2.0,8.0,,6.0,2.0,3.0,,,2.0,,4.0,3.0,7.0,,1.0,2.0,1.0,2.0,5.0,4.0,,,0.5,0.6,0.4,0.25,0.13333333333333333,0.1111111111111111,0.2222222222222222,,0.6666666666666666,0.25,0.25,,,16.11764705882353,16.058823529411764,0.16666666666666666,0.5,0.16666666666666666,,,,,,,0.25,,0.3838,8.733333333333333,1.0,5.0,2.0,2.0,6.0,6.0,2.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.5,1.0,0.5,0.75,1.0,0.3333333333333333,0.5,0.5555555555555556,0.625,0.6,0.1,0.11764705882352941,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2013,2012-13,False
1713-1717-1882-201564-201954,1610612742,"Vince Carter, Dirk Nowitzki, Elton Brand, O.J. Mayo, Darren Collison","Carter, Nowitzki, Brand, Mayo, Collison",1713-1717-1882-201564-201954,DAL,4985.0,42,4.0,163.0,58.0,322.0,8.0,2.0,6.0,22.0,1.0,5.0,9.0,30.0,169.0,2.0,7.0,66.0,21.0,22.0,6.0,7.0,35.0,4.0,77.0,149.0,66.0,58.0,0.7777777777777778,0.3,0.2857142857142857,0.3,0.46688741721854304,0.4897959183673469,0.5060240963855421,0.5508474576271186,0.1986754966887417,93.01504513540623,15.257668711656441,14.177914110429448,0.052980132450331126,0.1456953642384106,0.2727272727272727,0.2727272727272727,0.6666666666666666,0.04081632653061224,0.10204081632653061,0.2,0.44370860927152317,0.2727272727272727,0.4767198675496689,0.4527234693877551,0.3905325443786982,24.740000000000002,0.3558282208588957,83.0,159.0,91.0,21.0,37.0,14.0,36.0,20.0,48.0,3.0,1.0,57.0,121.0,28.0,165.0,18.0,21.0,42.0,18.0,56.0,5.0,28.0,3.0,9.0,23.0,21.0,60.0,26.0,86.0,3.0,10.0,23.0,22.0,38.0,27.0,34.0,7.0,7.0,0.49122807017543857,0.5384615384615384,0.47107438016528924,0.5,0.04132231404958678,0.027777777777777776,0.3709677419354839,0.875,0.7727272727272727,0.3170731707317073,0.35294117647058826,0.7692307692307693,1.0,15.71069182389937,14.641509433962264,0.24503311258278146,0.23841059602649006,0.31788079470198677,0.4166666666666667,0.4166666666666667,0.45,0.375,0.375,1.0,0.2857142857142857,0.5,0.5426921052631579,10.153719008264462,19.0,18.0,8.0,4.0,20.0,58.0,10.0,10.0,3.0,30.0,14.0,8.0,13.0,5.0,,2.0,7.0,2.0,11.0,5.0,2.0,5.0,3.0,,6.0,0.4444444444444444,0.38095238095238093,0.41304347826086957,0.10810810810810811,0.5652173913043478,0.7142857142857143,0.15,0.4444444444444444,0.06666666666666667,0.625,0.7368421052631579,0.6,0.5135135135135135,0.5757575757575758,0.5,0.5142857142857142,0.5555555555555556,0.06918238993710692,0.08527131782945736,0.11834319526627218,6.0,12.0,7.0,2.0,1.0,3.0,6.0,9.0,9.0,2.0,6.0,8.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,0.3333333333333333,0.4,0.7333333333333333,0.025974025974025976,0.47368421052631576,0.5714285714285714,0.5,0.16666666666666666,0.09523809523809523,0.047619047619047616,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2013,2012-13,False
1713-1717-1882-201564-201958,1610612742,"Vince Carter, Dirk Nowitzki, Elton Brand, O.J. Mayo, Rodrigue Beaubois","Carter, Nowitzki, Brand, Mayo, Beaubois",1713-1717-1882-201564-201958,DAL,529.0,8,-5.0,16.0,3.0,35.0,1.0,,,1.0,,,1.0,2.0,16.0,,,2.0,3.0,1.0,,1.0,3.0,,7.0,16.0,2.0,3.0,1.0,0.5,,0.5,0.46875,0.3333333333333333,0.5,0.3333333333333333,0.125,95.27410207939509,14.6875,14.6875,0.0625,0.0625,,,,,,,0.4375,,0.4988375,0.48606666666666665,0.125,23.15,0.1875,9.0,19.0,8.0,,5.0,1.0,7.0,2.0,2.0,1.0,,6.0,14.0,1.0,21.0,,1.0,3.0,,4.0,,2.0,1.0,1.0,,1.0,8.0,,8.0,,,,3.0,5.0,3.0,1.0,,,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.3333333333333333,,,,1.0,0.875,,,1.0,,15.473684210526315,15.473684210526315,0.3125,0.4375,0.125,1.0,1.0,0.5,1.0,1.0,1.0,0.3333333333333333,,,8.128571428571428,3.0,1.0,,,,8.0,,,,6.0,,,,,,,,,1.0,2.0,1.0,2.0,2.0,,2.0,,,,,,0.8571428571428571,,,,,0.6666666666666666,1.0,0.6,0.6,0.14285714285714285,0.14285714285714285,,0.0625,0.07142857142857142,,,,1.0,,,,,1.0,1.0,,,,,,,2.0,,,1.0,,,1.0,1.0,,,1.0,,0.3333333333333333,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2013,2012-13,False
1713-1717-1882-201564-202346,1610612742,"Vince Carter, Dirk Nowitzki, Elton Brand, O.J. Mayo, Dominique Jones","Carter, Nowitzki, Brand, Mayo, Jones",1713-1717-1882-201564-202346,DAL,142.0,1,1.0,5.0,,9.0,,,1.0,2.0,,,1.0,2.0,5.0,,,,3.0,2.0,1.0,1.0,2.0,1.0,5.0,5.0,,,1.0,0.5,,0.5,0.625,,0.625,,0.5,91.26760563380282,12.6,12.6,,0.5,0.5,0.5,1.0,,,,0.75,0.5,0.51635,,,24.8,,2.0,4.0,,,1.0,,,1.0,1.0,,,1.0,2.0,,4.0,,,,,2.0,,1.0,,1.0,,1.0,2.0,,2.0,,1.0,1.0,,,,,,,1.0,1.0,0.5,,,,,1.0,0.5,,,,1.0,19.75,18.5,0.25,,0.25,1.0,1.0,1.0,,,,,,,10.8,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2013,2012-13,False
1713-1717-1882-201564-203109,1610612742,"Vince Carter, Dirk Nowitzki, Elton Brand, O.J. Mayo, Jae Crowder","Carter, Nowitzki, Brand, Mayo, Crowder",1713-1717-1882-201564-203109,DAL,6.0,1,-2.0,1.0,1.0,2.0,,,,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,1.0,480.0,4.0,4.0,,1.0,,,,,1.0,,1.0,,,,,51.8,1.0,,1.0,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2013,2012-13,False
1713-1717-1882-201564-2229,1610612742,"Vince Carter, Dirk Nowitzki, Elton Brand, O.J. Mayo, Mike James","Carter, Nowitzki, Brand, Mayo, James",1713-1717-1882-201564-2229,DAL,1813.0,19,-22.0,61.0,34.0,119.0,1.0,1.0,2.0,11.0,,4.0,2.0,12.0,55.0,,5.0,27.0,6.0,10.0,2.0,2.0,5.0,2.0,12.0,53.0,27.0,34.0,1.0,0.16666666666666666,,0.18181818181818182,0.4,0.25925925925925924,0.49107142857142855,0.38571428571428573,0.26666666666666666,94.51737451737452,15.770491803278688,15.540983606557377,0.022222222222222223,0.24444444444444444,0.18181818181818182,0.18181818181818182,1.0,0.037037037037037035,0.14814814814814814,,0.4888888888888889,0.2,0.4534500000000001,0.4391596153846154,0.4909090909090909,26.641666666666666,0.5573770491803278,30.0,58.0,34.0,3.0,10.0,7.0,10.0,5.0,13.0,,,15.0,33.0,19.0,77.0,2.0,7.0,22.0,13.0,6.0,2.0,3.0,,3.0,3.0,4.0,16.0,3.0,19.0,3.0,4.0,11.0,4.0,13.0,16.0,25.0,6.0,6.0,0.2,0.2,0.45454545454545453,0.3181818181818182,0.06060606060606061,,0.16666666666666666,0.6666666666666666,0.75,0.1111111111111111,,0.75,0.5,14.672413793103448,14.051724137931034,0.2222222222222222,0.2222222222222222,0.28888888888888886,0.38461538461538464,0.38461538461538464,0.6,,,,0.25925925925925924,,0.57445,10.345454545454544,4.0,6.0,,2.0,2.0,24.0,,,,11.0,4.0,3.0,7.0,1.0,,1.0,5.0,,6.0,1.0,,2.0,1.0,,3.0,,,0.3333333333333333,0.2,0.6363636363636364,0.7857142857142857,,0.16666666666666666,,0.6666666666666666,0.5,0.5,0.4,0.5,0.6,0.6,,0.14,0.16216216216216217,0.03636363636363636,,2.0,2.0,,,,,,1.0,1.0,1.0,6.0,,1.0,1.0,1.0,,2.0,2.0,,1.0,,1.0,0.25,,0.8888888888888888,0.04,,1.0,,,,,0.2857142857142857,,1.0,1.0,1.0,1.0,0.07692307692307693,,,,,,,,,,,,,,,,,,,,,,,1610612742,2013,2012-13,False
1713-1717-1882-201604-201954,1610612742,"Vince Carter, Dirk Nowitzki, Elton Brand, Chris Douglas-Roberts, Darren Collison","Carter, Nowitzki, Brand, Douglas-Roberts, Collison",1713-1717-1882-201604-201954,DAL,54.0,1,,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,106.66666666666666,21.0,21.0,,,,,,,,,0.5,,0.3676,0.3676,,,1.0,1.0,2.0,1.0,,1.0,1.0,,,1.0,,,,2.0,,,,,2.0,,,,,,,,1.0,2.0,,2.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,6.0,6.0,0.5,,0.5,,,,,,,0.5,,,9.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2013,2012-13,False
1713-1717-1882-201604-201958,1610612742,"Vince Carter, Dirk Nowitzki, Elton Brand, Chris Douglas-Roberts, Rodrigue Beaubois","Carter, Nowitzki, Brand, Douglas-Roberts, Beaubois",1713-1717-1882-201604-201958,DAL,304.0,2,2.0,11.0,,21.0,1.0,,,2.0,,,1.0,3.0,12.0,,,,3.0,1.0,,1.0,2.0,,5.0,10.0,,,1.0,0.3333333333333333,,0.5,0.375,,0.42857142857142855,,0.25,99.47368421052632,13.454545454545455,13.0,0.08333333333333333,0.16666666666666666,,,,,,,0.6666666666666666,,0.5049045454545454,,,37.733333333333334,,5.0,10.0,1.0,2.0,5.0,,2.0,1.0,2.0,1.0,,3.0,9.0,3.0,10.0,3.0,,,,2.0,1.0,1.0,1.0,1.0,3.0,,4.0,3.0,7.0,,,1.0,,1.0,2.0,4.0,,,0.3333333333333333,0.5,0.3333333333333333,,0.1111111111111111,,0.5,,0.8,0.42857142857142855,0.5,,,15.6,14.9,0.4166666666666667,0.16666666666666666,0.16666666666666666,0.5,0.5,1.0,1.0,1.0,1.0,,,0.5826666666666667,7.211111111111112,2.0,,1.0,,2.0,4.0,2.0,,,4.0,1.0,1.0,1.0,,,,,,2.0,,,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,1.0,0.8,,0.6666666666666666,,1.0,0.5,,0.4,0.5,,,,0.14285714285714285,0.18181818181818182,0.16666666666666666,1.0,3.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,0.16666666666666666,,1.0,0.3333333333333333,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2013,2012-13,False
